省份编码,省份,年份,原油产量(万吨),天然气产量(亿立方米),原盐产量(万吨),成品糖产量(万吨),啤酒产量(万千升、万吨),卷烟产量(亿支、万箱),纱产量(万吨),布产量(亿米),机制纸及纸板产量(万吨),焦炭产量(万吨),硫酸(折100%)产量(万吨),烧碱(折100%)产量(万吨),纯碱(碳酸钠)产量(万吨),乙烯产量(万吨),农用氮、磷、钾化肥产量(万吨),化学农药原药产量(万吨),初级形态的塑料产量(万吨),化学纤维产量(万吨),水泥产量(万吨),平板玻璃产量(万重量箱),生铁产量(万吨),粗钢产量(万吨),钢材产量(万吨),金属切削机床产量(万台),大中型拖拉机产量(万台),汽车产量(万辆),轿车产量(万辆),家用电冰箱产量(万台),房间空调器产量(万台),家用洗衣机产量(万台),移动通信手持机产量(万台),微型电子计算机产量(万台),集成电路产量(万块),彩色电视机产量(万台),发电量(亿千瓦小时),水电发电量(亿千瓦小时)
110000,北京市,2003,,,,0.03,123.51,22.88,3.82,0.99,15.63,362.39,4.76,13.56,,88.75,1.3,,122.96,0.06,999.0,666.12,788.17,816.41,785.28,0.4,,34.91,7.33,22.73,15.23,23.14,3330.0,470.58,46892.0,,192.16,6.52
110000,北京市,2002,,,,,131.16,22.49,4.22,1.03,11.96,357.44,7.87,12.94,,90.38,1.02,,126.08,0.3,884.0,625.59,772.86,816.94,749.99,0.4,,20.45,0.73,16.2,5.56,8.52,2280.0,415.67,24897.0,,141.98,4.1
110000,北京市,2001,,,,0.06,124.39,20.11,4.49,1.14,10.82,396.36,7.97,10.71,,54.31,3.88,,75.55,1.26,809.0,400.77,783.59,825.11,727.87,0.3,,15.27,0.47,5.9,21.84,10.02,2163.0,339.69,20952.0,0.25,133.28,1.64
110000,北京市,2000,,,,,177.18,17.07,4.09,1.22,10.6,402.07,7.97,15.14,,65.52,6.79,,85.05,1.63,827.0,432.1,773.24,803.42,696.69,0.25,,13.71,0.49,3.6,31.38,21.0,1550.0,257.85,23684.0,0.56,145.26,8.64
120000,天津市,2019,3111.8935,34.9,188.3131,,26.809017,211.6845,,3.73625,261.968438,158.34,19.226539,86.560839,68.3903,135.4091,16.4367,,341.100427,9.354086,687.740753,3324.807802,2073.056746,2194.768074,5454.954199,0.1041,0.5319,104.1491,57.106,44.5878,219.2582,118.2225,11.4961,0.0,147439.1,78.6558,732.98,0.12
120000,天津市,2018,3085.5475,33.9418,195.65,,32.83,211.6,,0.66,276.0,164.723,21.22,82.03,62.22,132.69,15.02,,334.64,8.87,619.42,3377.13,1649.43,2022.96,4733.84,0.14,0.65,86.26,54.97,49.94,164.5,26.23,2680.27,,163000.0,93.08,711.466796,0.1469
120000,天津市,2017,3102.4228,21.4964,182.28,,34.28,213.06,,0.77,286.43,157.7113,17.08,77.23,60.97,134.71,13.61,,332.42,8.99,418.56,3166.86,1637.78,1812.55,4373.97,0.13,0.77,83.33,52.67,53.49,180.9,25.76,4474.09,0.0,143700.0,209.41,610.999716,0.0674
120000,天津市,2016,3273.2553,19.6893,158.39,,31.95,220.28,,2.43,285.0,204.7834,20.52,75.27,62.42,114.44,13.43,,323.91,9.57,788.61,3094.19,1660.77,1798.93,8667.05,0.1,0.66,52.91,51.79,64.29,175.43,29.59,4973.46,,159800.0,224.1,617.5452,0.0317
120000,天津市,2015,3496.7744,20.543,171.6,,31.3,227.3,,2.5,249.3,195.9246,19.1,96.8,59.5,129.9,13.1,0.9,381.5,11.1,777.6,3139.9,1953.2,2068.9,8186.2,0.1,1.03,52.9,49.6,58.4,242.4,24.3,7315.6,1029.7,149000.0,245.8,622.844666,0.16
120000,天津市,2014,3074.84,21.15,163.8,,27.5,236.0,,2.3,249.7,229.15,24.5,103.43,58.5,129.0,15.31,0.8,345.9,11.6,1071.16,3284.7,2182.5,2287.1,7303.9,0.1,1.25,51.2,51.2,45.4,222.5,32.5,9754.2,1100.5,142000.0,279.2,625.52,0.2
120000,天津市,2013,3044.53,18.73,154.8,,26.2,234.0,3.273965,2.1,231.1,260.19,28.4,112.4,53.1,130.8,13.5,1.1,342.9,12.2,951.9,2137.1,2214.2,2289.5,6640.9,0.1,1.45,55.7,50.0,49.3,218.2,26.0,10336.3,1072.2,96000.0,277.1,624.27,0.2
120000,天津市,2012,3098.3,18.7,149.7,,27.1,239.0,3.050691,2.1,201.0,229.0,30.9,113.9,48.7,113.2,11.8,0.34,322.9,11.1,847.42,1651.4,1974.6,2124.2,5708.6,0.1,1.25,63.8,53.6,51.4,245.8,23.2,9193.9,0.2,85000.0,192.8,589.69,
120000,天津市,2011,3187.8,18.4,184.0,,33.2,226.0,3.1,2.8,125.9,234.32,29.6,129.6,26.2,134.3,6.3,0.05,337.75,12.8,942.56,866.28,2097,2295.7,5164.53,0.1,1.6,75.69,65.23,49.4,322.2,29.1,9061.7,0.6,89000.0,186.6,621.06,
120000,天津市,2010,3332.7,17.2,207.6,,31.97,220.5,3.81,2.6,88.9,238.37,32.34,122.12,46.82,109.26,1.49,0.3,274.67,12.8,831.62,686.83,1926.36,2162.11,4494.19,0.17,1.12,73.81,63.52,62.84,405.13,34.1,9107.9,1.02,89000.0,212.67,589.08,
120000,天津市,2009,2296.96,14.3,227.53,,31.69,207.0,4.32,2.58,31.23,314.57,29.45,109.32,82.97,18.91,13.58,0.24,188.57,10.34,699.51,679.55,1763.4,2124.2,4079.67,0.31,1.48,60.24,52.9,53.87,375.4,23.65,8558.68,1.52,61600.0,140.5,415.77,
120000,天津市,2008,1993.86,14.01,234.25,,21.75,200.5,5.93,2.5,32.98,267.08,19.7,139.11,90.64,17.02,16.39,1.11,162.31,10.82,534.89,648.13,1520.14,1654.04,3006.75,0.14,1.28,54.12,53.81,59.38,499.84,38.43,9004.82,4.07,55800.0,69.85,391.19,0.14
120000,天津市,2007,1924.28,13.34,240.23,,26.52,165.25,7.28,2.85,35.51,339.0918,26.9,134.49,89.46,22.55,18.09,1.6,163.5,17.32,614.79,186.06,1435.4,1602.13,2888.19,0.06,1.2422,45.69,45.43,50.03,532.64,29.87,9778.77,3.23,63000.0,56.76,393.27,0.14
120000,天津市,2006,1943.09,10.5,249.65,,21.89,146.0,7.57,2.94,29.77,376.22,13.76,88.86,88.37,23.17,16.75,1.27,146.5,18.68,609.08,303.78,1131.51,1285.34,2140.97,0.1,1.45,41.24,41.03,9.34,482.13,5.52,10130.0,3.19,57355.0,98.11,359.24,
120000,天津市,2005,1792.99,8.79,234.7,,18.24,132.5,7.32,2.85,21.68,360.55,11.95,80.45,86.87,20.71,16.03,1.28,116.64,20.54,518.64,458.29,660.24,955.27,1670.15,0.1,1.17,32.78,32.56,19.3,434.43,1.96,6310.0,2.15,51958.0,64.9,369.06,
120000,天津市,2004,1446.21,8.72,246.8,,17.12,110.0,7.57,3.43,32.68,376.68,10.39,83.19,87.15,22.81,17.74,0.45,120.96,21.1,522.25,436.14,524.63,788.67,1724.91,0.1,0.87,22.92,22.21,28.25,384.12,2.68,4881.0,2.43,113902.0,109.42,339.76,
120000,天津市,2003,1316.3,8.49,221.07,,17.33,22.0,7.82,2.53,35.5,310.84,10.96,79.95,82.97,23.0,16.12,2.25,101.2,30.02,451.0,262.77,342.65,565.95,1083.5,0.1,0.56,17.25,17.25,29.64,242.33,,3140.0,0.42,36937.0,112.41,320.07,
120000,天津市,2002,1215.94,8.88,240.4,,14.51,22.0,9.18,2.71,27.99,282.38,12.15,63.65,79.46,21.28,16.03,3.3,87.29,22.41,377.75,329.58,247.71,482.58,806.13,0.02,0.42,9.44,9.21,19.14,121.62,0.88,2851.0,0.92,32246.0,76.35,268.83,
120000,天津市,2001,970.29,8.95,238.75,,13.59,16.0,8.46,2.69,24.18,219.3,11.27,49.56,75.33,18.15,15.51,0.85,73.58,22.97,338.99,399.38,228.74,395.73,451.25,0.1,0.37,5.89,5.1,3.85,89.5,18.28,1498.0,0.58,17471.0,51.42,217.43,
120000,天津市,2000,763.99,9.1,241.5,,8.27,17.0,8.8,2.92,25.18,170.92,11.17,49.28,69.85,17.1,12.09,1.54,66.96,11.19,267.81,417.05,227.99,356.76,315.88,0.06,0.32,10.18,8.2,8.42,104.15,37.18,1316.0,1.0,23506.0,72.28,211.49,0.14
130000,河北省,2019,550.0031,5.84,311.017187,39.24454,180.622314,758.354,,12.616276,322.735027,4982.97,185.369275,115.408358,228.9832,,186.676633,4.15405,144.152673,99.75366,10527.38759,16357.288905,21774.366793,24157.695456,28409.631645,0.2739,0,105.0836,12.4731,,1311.2578,5.3656,,,435.45,,3297.66,16.44
130000,河北省,2018,537.2054,6.1506,276.37,31.23,166.76,762.0,,22.31,282.14,4747.11634,157.4,135.32,224.94,0.72,199.65,2.26,189.57,72.96,9554.3,12156.03,21396,23723.37,26916.86,0.04,,121.06,5.57,,1153.83,4.0,,,1200.0,,3133.178417,10.544808
130000,河北省,2017,539.106,7.3901,286.17,36.64,174.89,751.5,235.7,57.68,372.11,4813.843098,142.6,125.67,344.75,,239.74,9.09,165.27,67.4,9125.5,13780.23,17997.27,19121.47,24551.08,0.13,,100.86,1.05,0,882.71,56.02,0.0,0.0,500.0,,2817.104322,18.641668
130000,河北省,2016,545.9601,7.7798,280.66,32.8,165.0,763.5,,73.9,345.04,5312.1803,118.77,123.74,348.42,,227.41,6.89,158.68,61.55,9898.58,13693.57,18398.37,19259.97,26150.42,0.14,0.01,128.64,3.13,,941.53,32.31,,,4600.0,,2630.5888,22.2581
130000,河北省,2015,580.1009,10.431423,328.01,7.0,181.7,848.5,,78.38,345.7,5480.624314,142.9,119.1,347.8,,215.8,7.5,136.5,60.7,9126.17,14615.36,17382.3,18832,25244.3,0.1,0.03,112.9,5.6,,862.1,26.6,,,5000.0,,2497.848713,9.983707
130000,河北省,2014,592.33,17.5,334.92,5.8,166.02,863.5,,66.09,458.2,5613.84,169.04,120.72,246.19,,203.09,7.1,111.97,57.82,10721.46,15844.52,16941.95,18530.3,23995.2,1.3,0.01,97.8,8.9,,842.4,31.0,,,5000.0,,2499.9,10.97
130000,河北省,2013,591.01,15.58,302.4,9.5,156.6,847.5,198.19173,72.45,485.9,6395.82,161.22,101.62,257.1,,218.43,2.7,79.6,52.2,12747.38,11836.4,17027.6,18849.6,22861.6,0.1,0.03,97.4,20.1,,633.0,,,,3000.0,,2499.37,10.94
130000,河北省,2012,584,13.4,354.9,2.88,157.51,827.5,188.070555,71.05,511.56,6700.52,141.32,88.84,260.07,,184.76,3.44,79.79,35.88,13131.84,14898.03,16358.54,18048.4,21026.1,0.79,0.05,82.5,20.1,,435.9,0.05,,,3000.0,,2411.24,4.7
130000,河北省,2011,586.1,12.2,377.7,4.99,160.34,807.5,147.6,63.18,534.2,6290.45,84.42,82.5,254.1,,222.86,3.09,83.17,22.3,14533.91,16941.62,15450.38,16450.7,19256.23,0.56,0.07,72.11,19.79,,204.2,0.05,,,2000.0,,2326.98,7.25
130000,河北省,2010,599,12.7,418.97,2.75,134.68,775.0,123.62,61.69,412.58,5045.7,71.88,78.85,230.4,,173.42,3.77,72.46,23.42,12790.21,12368.5,13710.11,14458.79,16782.88,0.16,0.06,71.04,13.97,,,20.2,,,1300.0,,1993.12,5.55
130000,河北省,2009,599.09,10.87,393.76,3.66,111.59,742.5,105.09,45.38,375.95,4800.33,58.86,71.23,199.45,,214.35,3.39,68.47,23.55,10684.55,10964.52,13321.78,13536.27,15158.01,0.07,0.11,51.43,7.79,,,19.43,,,800.0,,1742.46,5.71
130000,河北省,2008,643.1,8.74,362.58,4.65,132.45,710.0,95.67,35.81,378.74,3923.5,78.13,67.92,221.0,,211.28,3.18,63.78,23.58,8953.0,8676.13,11355.66,11589.42,11571.79,0.18,,32.15,1.05,,,18.12,,,100.0,,1599.48,5.78
130000,河北省,2007,660.01,7.14,396.51,7.01,148.08,685.0,92.96,35.96,474.91,3938.855101,95.06,78.5,205.01,,218.76,3.56,71.75,27.34,9758.28,10031.76,10523.01,10569.29,10313.65,0.27,,32.3,,,0.0031,7.84,,,100.0,,1646.24,5.68
130000,河北省,2006,610.81,6.55,428.56,6.41,141.9,620.0,85.93,39.57,389.58,3312.2,97.49,73.03,187.64,,212.45,3.62,67.16,26.03,8625.0,8990.0,8279.8,9096.29,8521.33,0.3,,26.84,,,,10.03,,,,,1461.0,14.42
130000,河北省,2005,562.45,6.92,425.07,3.93,159.17,600.0,68.59,30.76,407.91,2613.43,97.49,56.56,177.37,,214.6,3.35,67.35,22.67,7686.04,7598.18,6841.25,7424.99,6591.12,0.2,,19.36,,,,9.76,,,,,1338.63,5.61
130000,河北省,2004,537.78,6.63,426.54,3.24,124.42,560.04,74.14,30.34,393.26,1941.0,121.58,56.88,167.18,0.83,231.73,3.93,56.8,21.47,7585.47,7136.96,5453.91,5704.49,5056.95,0.3,1.61,16.61,0.13,9.95,0.09,9.07,,,,,1255.56,4.02
130000,河北省,2003,511.01,6.34,418.11,3.21,114.79,117.05,50.14,19.73,370.58,1128.23,99.78,41.73,135.35,,236.36,4.65,64.07,15.44,6811.4,4681.91,4227.34,4065.06,3729.37,0.1,0.0036,11.17,,,0.1,,,,,,1088.34,3.01
130000,河北省,2002,503.26,5.9,512.19,2.47,128.52,117.0,48.3,15.95,288.64,972.61,120.47,39.09,117.67,,198.43,6.38,46.6,10.2,5769.24,2800.97,2921.05,2659.63,2509.99,0.1,0.01,1.88,,,0.13,,,,,,1014.26,3.64
130000,河北省,2001,513.22,5.21,463.27,1.77,134.86,117.05,45.99,16.74,225.41,920.55,92.74,36.27,103.01,,183.11,5.85,40.44,9.17,4878.03,2328.27,2177.09,1969.65,1871.01,0.1,0.01,1.29,,,0.14,,,,,,901.63,3.62
130000,河北省,2000,518.26,5.14,432.62,1.28,130.6,107.97,43.7,15.6,216.35,792.47,96.83,32.48,99.84,,195.23,5.57,31.25,10.24,4694.59,2083.3,1709.23,1230.1,1306.52,0.06,0.02,0.94,,,0.15,,,,,,844.42,4.7
140000,山西省,2019,0,64.62,,,18.095396,153.0,,0.209418,60.896716,9699.53,49.4515,50.426146,,,400.579664,0.0374,97.822859,0.156348,5257.591545,1846.895811,5557.061368,6039.050548,5594.245035,,0,6.578,0.506,,,,1862.2028,,,,3361.67,49.07
140000,山西省,2018,,52.419013,,,17.52,149.0,,0.24,46.07,9256.16112,49.89,50.43,,,361.26,0.14,89.09,,4415.57,2121.66,4761.33,5386.24,4903.31,,,10.77,,,,,1979.4,,,,3180.517356,43.184331
140000,山西省,2017,0,46.759282,,,33.67,150.0,3.2,0.36,45.55,8383.137561,51.22,53.42,,,373.87,0.03,79.47,,3760.28,1702.6,3951.86,4429.68,4335.4,,,9.34,,0,,,2047.72,0.0,,,2823.939589,42.221418
140000,山西省,2016,,43.2209,,0.27,33.96,155.5,,0.65,41.67,8185.9889,53.62,48.1,,,431.08,0.06,67.24,,3851.54,1648.08,3641.09,3936.13,4278.97,,,0.66,,,,,2693.44,,,,2535.0775,37.5018
140000,山西省,2015,,43.078945,,,39.5,163.5,,0.8,35.3,8039.883647,53.4,45.1,,,465,0.1,65.5,,3786.06,1400.8,3576.4,3847,4267.3,,,,,,,,2038.4,,,,2449.267727,29.26113
140000,山西省,2014,,31.6,,,43.62,163.5,,0.79,25.9,8765.85,41.8,45.5,3.0,,424.35,,49.4,,4831.96,1758.91,4059.26,4325.4,4631.69,,,,,,,,2255.4,,,,2647.02,32.93
140000,山西省,2013,,31.59,,2.7,43.7,158.5,5.692292,0.8,33.36,9076.82,18.5,49.5,9.8,,446.1,0.1,48.5,0.2,5100.1,2065.3,4303.2,4519.6,4486.2,0.0466,,0.0178,,,,,2387.6,,,,2627.92,38.9
140000,山西省,2012,,,,5.3,41.92,156.0,4.8089,0.78,28.15,8607.91,18.1,55.8,16.0,,383.82,0.1,51.9,0.5,5076.19,1975.81,4009.63,3950.18,3799.34,0.1,,0.7,,,,,1517.0,,,,2545.91,43.79
140000,山西省,2011,,,,4.3,45.68,155.0,5.4,0.82,20.0,9009.63,21.1,59.8,18.6,,363.29,0.08,46.3,0.6,4101.46,1847.61,3786.04,3490.39,3371.15,0.2,,0.61,,,,,,,,,2343.97,34.63
140000,山西省,2010,,,2.0,4.35,33.92,147.5,4.51,0.73,20.96,8504.75,24.87,48.49,17.55,,331.37,0.13,20.24,1.0,3668.25,1673.37,3402.44,3048.82,2866.37,0.17,,0.32,,,,,,,,,2151.0,36.63
140000,山西省,2009,,,,3.42,25.44,145.0,3.79,0.52,16.5,7649.35,26.33,34.33,13.61,,374.38,0.12,16.26,0.89,2753.18,1275.7,3166.84,2648.49,2288.99,0.1,,0.15,,,,,,0.09,,,1873.8,21.66
140000,山西省,2008,,,,3.44,12.04,145.0,5.1,0.83,26.68,8235.94,54.62,50.08,15.87,,412.83,,45.73,3.02,2074.98,1324.02,2781.71,2345.03,1976.45,0.15,,0.08,,,,,,0.26,,,1797.24,23.96
140000,山西省,2007,,,,2.57,17.25,140.0,9.99,2.05,34.65,9722.834568,60.88,52.73,19.74,,366.72,0.03,55.7,4.35,2780.91,971.91,3727.64,2506.36,2097.27,0.21,,,,,,,100.0,0.46,,,1760.5,47.32
140000,山西省,2006,,6.02,,2.87,27.17,130.0,10.48,2.78,36.0,9202.0,62.73,45.6,18.43,,313.64,0.2,37.39,3.51,2681.13,814.15,3556.43,1938.74,1677.63,0.2,,,,,,,,0.56,,,1526.37,23.87
140000,山西省,2005,,3.24,,0.41,21.14,125.0,10.39,3.63,40.49,7981.05,75.67,40.68,15.59,,349.45,0.2,29.28,2.71,2310.68,360.24,3229.8,1654.72,1368.6,0.2,,0.01,,,,,0.15,0.68,,,1311.97,20.32
140000,山西省,2004,,3.04,,0.45,18.53,125.0,10.98,3.01,32.24,6582.31,63.22,27.95,11.95,,219.14,0.74,16.16,3.68,2385.71,427.09,2328.49,1293.85,1127.63,0.3,,0.07,,0.07,,,,0.43,,9.94,1078.99,21.0
140000,山西省,2003,,2.5,,0.13,17.14,25.0,10.61,3.35,38.67,6747.41,58.27,23.28,5.52,,193.13,0.18,4.67,2.17,1949.0,304.62,2572.16,1002.69,823.52,0.2,,0.07,,,0.6,,,,,16.07,965.01,19.29
140000,山西省,2002,,2.06,,,16.73,25.5,10.44,3.34,14.57,5852.0,53.46,19.81,0.11,,200.93,0.26,4.02,2.77,1680.0,340.21,1641.67,769.96,581.39,0.2,,0.09,,,,19.81,,,,24.18,842.01,18.83
140000,山西省,2001,,1.58,,0.74,15.61,24.5,9.51,3.27,33.53,4987.72,51.93,18.3,0.95,,160.19,0.72,3.17,2.89,1573.01,457.03,2088.54,606.77,494.43,0.1,,0.13,,,,27.16,,,,12.12,710.33,16.73
140000,山西省,2000,,1.14,,0.77,12.36,30.34,9.14,3.26,10.08,4967.22,47.16,16.16,2.11,,160.67,0.4,3.04,2.9,1193.65,356.72,1097.77,470.9,390.04,0.06,,0.11,,,,19.47,,0.08,,10.15,620.31,13.04
150000,内蒙古自治区,2019,11.824099,22.07,121.1621,52.594655,64.322531,255.1,,,7.8979,3677.23,420.48783,305.552798,12.1068,4.576036,515.419603,4.029679,763.673547,0.524201,3380.074338,992.5991,2215.973137,2653.688829,2565.028097,,0,2.8977,2.7444,,,,,,,164.2782,5495.08,58.07
150000,内蒙古自治区,2018,10.665221,16.071,119.32,35.95,64.62,262.6,,,12.72,3374.118238,313.22,317.04,22.31,,377.51,3.15,724.0,0.55,3052.33,1037.7,1744.28,2307.58,2259.46,,,0.54,0.48,,,,,,,82.31,5002.958228,36.488016
150000,内蒙古自治区,2017,12.206366,0.1903,125.34,36.87,70.44,314.5,,0,12.86,3046.366204,257.61,326.58,55.08,3.82,473.67,2.68,532.34,1.53,3073.86,988.37,1550.43,1983.51,2002.67,,,3.06,1.71,0,,,0.0,0.0,,78.99,4435.938639,19.990617
150000,内蒙古自治区,2016,44.9247,0.2736,154.89,72.25,99.83,329.5,0.4949,,12.27,2816.7169,300.4,297.34,52.03,,253.49,6.41,494.25,2.5,6298.44,1001.23,1469.37,1813.24,2016.81,,,2.14,0.94,,,,,,,27.03,3949.806,27.484
150000,内蒙古自治区,2015,45.823587,9.2402,164.6,67.3,104.1,355.0,,,12.3,3040.992521,277.8,265.1,51.7,,293,7.8,464.2,2.5,5830.76,1014.0,1461.4,1735.1,1897.2,,,2.6,1.6,,,,,,,123.42,3928.771555,36.417908
150000,内蒙古自治区,2014,21.48,15.45,193.68,51.1,109.4,355.0,,,29.1,3445.94,293.88,256.4,60.0,,126.1,5.1,416.1,3.0,6404.5,567.59,1330.7,1661.5,1763.2,,,2.4,1.2,,,,,,,171.66,3857.81,34.62
150000,内蒙古自治区,2013,,0.19,243.0,42.3,109.9,332.5,0.346633,,11.9,3114.93,277.74,196.8,59.85,,113.58,7.5,335.4,3.0,6437.17,521.6,1367.2,1978.6,1797.7,,,1.66,0.3,,,,,,,180.94,3520.7,19.76
150000,内蒙古自治区,2012,,,253.62,31.1,104.3,315.0,1.09291,0.4,15.0,2569.1,251.58,163.6,71.9,,123,6.2,280.6,2.7,6062.3,549.15,1326.4,1734.1,1661.81,,,2.1,,,,,,,,141.31,3172.18,17.66
150000,内蒙古自治区,2011,,,311.0,17.96,116.4,287.5,2.0,1,30.8,2482.37,270.9,174.9,103.6,,126.1,5.4,202.0,,6499.31,1259.5,1431.1,1669.7,1417.4,,,3.65,,,,,,,,261.1,2972.83,12.21
150000,内蒙古自治区,2010,,,278.42,12.04,113.03,265.0,2.06,1,28.84,2034.29,241.58,130.5,110.51,,123.47,4.88,137.4,,5435.52,1196.58,1358.97,1232.84,1341.39,,,5.16,,,,,10.3,,,204.37,2489.28,16.29
150000,内蒙古自治区,2009,,,216.98,15.42,99.65,240.0,2.03,0.8,46.69,1834.39,189.98,90.07,71.98,,148.8,5.46,66.55,,4333.75,1564.89,1437.07,1261.94,1294.87,,,3.28,,,,,50.77,,,217.42,2242.37,14.82
150000,内蒙古自治区,2008,,,236.81,22.37,98.28,222.5,1.68,0.55,35.53,1324.44,148.27,94.58,71.76,,88.78,2.85,44.13,0.06,3424.06,1458.32,1256.55,1211.03,1047.34,,,2.97,,,,,17.59,,,866.75,2136.0,10.42
150000,内蒙古自治区,2007,,,245.79,19.46,84.05,215.0,4.56,1.48,25.87,1436.843104,84.41,50.04,80.6,,84.3,2.11,47.04,0.46,2871.17,1395.72,1260.09,1040.36,912.32,,,2.1,,,,,142.58,,,830.26,1931.95,11.86
150000,内蒙古自治区,2006,,,206.44,16.62,75.69,185.0,1.43,1.36,19.74,1060.15,96.68,39.41,78.78,,68.83,1.37,29.54,0.41,2211.18,999.52,1108.33,861.86,823.97,,,0.89,,,,,204.0,,,333.74,1412.54,12.8
150000,内蒙古自治区,2005,,,215.84,14.75,64.55,172.5,3.22,0.83,25.74,1034.19,48.92,30.93,75.97,,60.89,1.06,20.23,0.23,1632.25,1144.6,922.69,805.49,747.77,,,0.69,,,,,99.0,0.8,,239.09,1056.59,11.55
