省份编码,省份,年份,大中型工业企业单位数(个),大中型工业企业亏损企业单位数(个),大中型工业企业实收资本(亿元),大中型工业企业国家资本金(亿元),大中型工业企业集体资本金(亿元),大中型工业企业法人资本金(亿元),大中型工业企业个人资本金(亿元),大中型工业企业港澳台资本金(亿元),大中型工业企业外商资本金(亿元),大中型工业企业流动资产合计(亿元),大中型工业企业应收账款净额(亿元),大中型工业企业存货(亿元),大中型工业企业产成品(亿元),大中型工业企业固定资产合计(亿元),大中型工业企业固定资产原价合计(亿元),大中型工业企业累计折旧(亿元),大中型工业企业资产总计(亿元),大中型工业企业流动负债合计(亿元),大中型工业企业应付帐款(亿元),大中型工业企业负债合计(亿元),大中型工业企业所有者权益合计(亿元),大中型工业企业主营业务收入(亿元),大中型工业企业主营业务成本(亿元),大中型工业企业销售费用(亿元),大中型工业企业主营业务税金及附加(亿元),大中型工业企业管理费用(亿元),大中型工业企业财务费用(亿元),大中型工业企业利息支出(亿元),大中型工业企业营业利润(亿元),大中型工业企业利润总额(亿元),大中型工业亏损企业亏损总额(亿元),大中型工业企业应交所得税(亿元),大中型工业企业本年应交增值税(亿元),大中型工业企业工业销售产值(现价)(亿元),大中型工业企业出口交货值(亿元)
110000,北京市,2009,633,125,4689.14259,2628.84058,4.73645,1370.82847,121.59307,78.70341,484.44061,5058.94179,1149.76959,1036.5775,274.95648,4238.13849,6030.10253,2375.75036,16151.67955,4279.19437,1541.68441,7926.50753,8225.17202,9297.54963,8007.58374,334.76872,157.04191,361.38231,101.71529,88.20487,546.8727,579.32691,101.81406,110.20435,256.8108,8250.82945,1363.16142
110000,北京市,2008,650,156,4477.71377,2414.11904,6.64692,1405.33561,98.79257,73.33423,479.4854,4537.62246,941.166,946.76139,291.06004,4172.95492,5609.4379,2078.68227,13819.6229,3977.33499,1180.23829,6341.53838,7478.08452,8584.80285,7627.55029,298.88952,76.43051,324.32441,88.97347,88.18057,382.78641,429.60378,134.89683,78.56194,218.9209,7830.40183,1593.46627
110000,北京市,2007,606,112,4031.23458,2379.97257,10.43195,1081.19988,65.65453,42.23534,451.74031,3649.62615,809.09511,890.52172,263.394,3918.95096,4983.01334,1839.83662,13428.17076,3469.22254,1140.93081,4910.13808,8518.03268,8017.76837,7026.05991,257.33155,68.97145,302.55669,49.49074,56.26383,339.72232,547.12747,37.60433,100.73812,228.19114,7265.10665,1678.66776
110000,北京市,2006,565,94,4002.92185,2402.28575,14.63874,1114.82415,55.17366,38.1719,377.82765,2981.89805,658.06779,748.77955,232.18738,3131.48932,4196.23309,1568.98444,11671.44427,2799.67788,906.89004,4103.50724,7569.89092,6809.26546,6041.96892,209.75942,58.32211,274.50039,49.45264,48.34351,196.93042,408.31295,64.37536,49.69221,171.34093,6189.74197,1367.67758
110000,北京市,2005,536,106,3885.42302,2285.17154,4.34019,1173.52742,53.15917,34.10436,335.12034,2553.54943,560.13826,674.4699,216.28458,2722.25656,3665.65369,1343.97651,10588.35976,2259.97338,714.31685,3404.03975,7184.32001,5446.08337,4796.62125,174.72297,49.28105,238.2067,36.76912,42.6354,169.10887,324.32561,62.84352,45.88049,146.48421,5087.70987,988.10173
110000,北京市,2004,496,84,3790.62,2331.13,6.96,1139.06,57.32,29.06,227.1,2128.25,437.28,567.67,188.08,2430.79,3188.98,1156.35,9679.49,1904.86,533.16,2852.17,6827.31,4300.7,3662.07,151.53,42.14,216.58,43.79,39.11,200.69,308.57,31.69,49.34,139.0,4003.02,551.38
110000,北京市,2003,451,74,1010.05522,450.92177,11.06651,322.46078,35.04642,28.60674,161.953,1633.18071,350.86614,439.64636,142.85712,1540.57226,2246.45725,902.53399,3723.07443,1421.09443,381.52496,1960.9952,1759.26509,2820.26153,2355.5919,116.91396,32.91584,185.90227,32.98015,27.73919,113.99925,160.74167,16.64783,23.30429,107.95372,2690.7872,312.79382
110000,北京市,2002,565,130,998.91778,382.58364,8.1761,404.09565,23.67027,23.76693,156.62519,1339.49306,334.04535,368.1636,113.03781,1443.58127,2076.38185,816.00979,3266.78865,1213.8546,,1708.72947,1558.05918,2126.50464,1780.82782,86.66359,23.89556,166.72676,32.9809,27.95924,60.98522,96.38794,24.11992,16.08271,84.0249,2124.53875,247.20544
110000,北京市,2001,637,145,959.74804,374.79865,12.40894,363.16594,27.86073,33.05239,148.46139,1392.67434,380.38734,384.08837,113.56513,1544.54197,2117.74411,759.52863,3416.50032,1283.78771,,1870.42714,1546.07318,2232.4789,1924.65996,86.77797,22.93841,165.65916,36.25706,36.60272,35.68487,85.84626,39.18822,17.67233,83.11178,2122.7969,243.43662
110000,北京市,2000,476,115,761.04665,386.23734,10.66828,246.05627,12.22537,14.03848,91.82091,1026.18115,259.25222,307.48412,99.75922,1420.83401,1897.25128,674.59164,2776.81921,1021.08649,,1589.18699,1187.63222,1387.70483,1186.98371,35.43321,21.39835,123.10595,33.98972,32.89489,4.71952,36.25503,19.91737,14.42656,54.52883,1184.78302,93.22737
120000,天津市,2019,586,,,,,,,,,6698.61,1691.21,1366.41,459.18,,,,14455.21,,,8204.94,,,,282.02,,541.67,79.58,,,1040.01,,,,,
120000,天津市,2018,641,,,,,,,,,6964.8,1562.5,1401.8,504.9,,,,14947.2,,,8464.7,,,,341.7,,505.8,116.6,,,1046.6,,,,,
120000,天津市,2017,651,151,3462.4,1038.56,41.92,1126.03,358.61,221.36,675.72,6944.01,1649.18,1602.85,650.94,5178.55,10451.37,5486.36,15242.42,7265.38,2115.8,8974.82,6208.46,11349.19,9378.9,341.44,,483.36,129.54,138.0,849.03,898.97,142.78,,,,
120000,天津市,2016,906,110,3868.26,1188.03,19.28,1334.38,429.49,131.3,748.83,8702.12,2054.32,1977.28,771.83,7583.34,12392.31,6300.39,19176.63,8780.82,2322.82,11801.29,7799.45,18669.89,15389.18,515.89,,621.01,116.42,424.33,1676.27,1720.0,148.66,,,19269.47,1967.56
120000,天津市,2015,974,147,3569.88,1419.04,20.78,943.39,252.71,130.76,799.23,9487.65,2453.23,2132.55,763.05,6864.0,11798.32,5674.97,19338.47,10038.52,2366.55,12249.11,7069.72,20953.05,17533.59,507.84,,623.0,145.43,180.45,1871.84,1894.55,119.36,,,20468.97,2262.26
120000,天津市,2014,1013,157,3396.83,966.93,21.25,1142.77,402.75,134.37,782.51,9458.91,2284.61,2183.3,726.43,6779.03,11061.7,5065.93,18410.18,9481.83,2529.53,11507.28,7079.86,21842.39,18495.63,505.56,300.37,577.1,175.9,193.43,1919.59,1946.76,113.35,274.32,821.84,21204.77,2398.36
120000,天津市,2013,999,157,3123.86,703.45,25.27,1216.3,168.61,161.72,734.86,8628.32,2242.38,1898.29,707.48,6539.13,10314.96,4427.37,16823.33,9058.37,2981.11,10812.06,5992.04,20818.08,17548.92,518.82,293.46,556.96,156.61,180.04,1931.46,1936.81,69.63,317.78,983.59,20320.0,2386.29
120000,天津市,2012,994,165,3028.3902,757.93531,22.04815,1253.66186,176.47489,136.65862,681.61137,8104.15328,2032.75173,1860.28303,641.72646,6050.3195,9003.77058,3852.71623,15608.00898,8379.72645,2698.66648,10093.65793,5505.33344,18371.70768,15308.11959,431.13441,286.78888,499.31493,148.80165,163.5101,1831.34613,1838.01468,82.41556,302.50222,763.02624,18109.49585,2377.60053
120000,天津市,2011,982,172,2614.69762,407.76216,27.36546,1194.31015,151.56606,194.47919,639.21457,7192.84778,1801.67367,1713.74883,630.63283,5276.98115,7889.86359,3252.03144,13852.94189,7312.81203,2414.77631,8794.32138,5041.71386,16381.85721,13543.95805,323.53142,259.47624,449.73545,100.88071,126.09987,1662.92273,1687.66129,79.51036,280.71441,634.42019,16162.27412,2022.36952
120000,天津市,2010,797,112,2374.63848,607.12619,10.95835,885.33116,99.47872,137.28753,634.45653,5188.21845,1139.28265,1322.36014,438.42632,4691.76402,6799.55067,2631.48076,10900.08455,5334.54094,1686.74681,6718.57151,4181.51303,13024.44226,10992.35377,266.8842,193.35468,394.78586,85.71884,79.38782,1260.43991,1307.49259,40.08313,222.68547,554.51268,12491.19103,1776.95245
120000,天津市,2009,687,135,1986.88914,433.14213,11.18282,791.32208,93.87269,127.95214,529.41728,4301.92855,882.16574,1049.65582,326.66659,3909.96831,5471.25203,2130.34961,9194.94812,4898.35527,1265.69121,5978.62738,3216.22072,9584.09263,8162.3653,221.96102,137.01102,341.98719,67.65236,62.5609,831.93704,685.21478,58.14816,111.08119,393.43787,9242.67775,1429.02668
120000,天津市,2008,683,176,2150.31947,813.87295,17.17861,624.19232,78.95874,126.55785,489.559,3482.88838,660.14086,985.6119,306.83258,3015.27379,4147.31858,1640.24506,7495.68461,3745.52992,1094.70566,4587.511,2908.17361,9325.59241,8016.10825,223.18715,86.42536,272.60883,76.27503,73.5066,598.55763,638.72755,151.04434,121.27218,215.99842,8887.70824,1995.19597
120000,天津市,2007,601,109,1680.48448,482.2209,10.32186,545.16926,79.26705,78.5294,484.97601,2927.19684,689.80227,782.40244,223.69069,2448.47347,3829.10369,1713.95969,5988.14163,3043.02736,888.40589,3573.1995,2414.94213,7651.45519,6461.16899,265.05561,73.67592,214.90959,48.00349,42.54566,626.0814,653.45332,53.57046,50.00335,191.00728,7371.46253,2178.1114
120000,天津市,2006,562,112,1420.0753,384.66551,19.31678,483.15503,59.16606,65.47062,408.3013,2525.45332,644.93739,650.03102,189.79516,2163.30906,3358.25066,1529.07866,5142.82775,2475.19091,755.90772,2932.37593,2210.45182,6703.59245,5565.91258,185.37619,84.29612,193.27799,32.04165,30.20811,590.359,605.88955,57.75899,66.6606,169.05183,6286.0413,1725.3959
120000,天津市,2005,548,93,1284.51354,338.1243,13.28147,433.67026,70.13351,60.27591,369.02809,2183.78796,587.58434,540.21754,143.41796,1815.64008,2953.42717,1333.7985,4360.24511,2039.74423,694.40526,2474.49006,1886.6457,5232.50666,4383.51022,149.27308,64.60132,161.60893,26.18863,37.73782,449.57793,463.28296,45.75132,54.19111,139.37695,5035.75038,1484.98441
120000,天津市,2004,516,106,1116.43,169.25,12.78,570.94,56.41,29.81,277.25,1690.25,434.27,431.56,122.06,1576.3,2549.54,1130.0,3563.6,1550.58,426.91,1901.72,1661.87,4166.73,3479.23,140.16,47.18,138.12,29.93,33.11,346.02,344.21,30.62,44.75,103.38,4084.3,1200.41
120000,天津市,2003,481,99,842.96084,212.24673,21.74253,290.75663,30.52268,51.31163,236.38064,1434.81857,421.05995,371.74589,96.16182,1445.41572,2346.88429,1030.11208,3167.31122,1354.0062,407.35705,1787.71853,1379.59269,3042.23858,2567.45504,113.38015,34.2207,121.30046,38.03007,33.47891,186.65821,174.18559,27.009,13.90275,88.30439,2790.1215,766.6432
120000,天津市,2002,826,366,979.27843,339.9877,27.4575,257.86133,14.01769,56.33395,283.62026,1332.63744,399.32784,323.92596,105.18812,1584.9664,2466.47539,979.83417,3323.49822,1344.60509,,1890.50463,1432.99359,2311.47443,1904.82428,102.36013,27.85113,121.42203,43.74743,39.20029,131.82325,112.77826,47.18622,15.36686,76.98546,2182.085,575.5667
120000,天津市,2001,804,318,927.5899,396.44915,26.27093,168.78506,14.29409,60.15276,261.63791,1292.00964,409.97302,330.12399,121.82341,1562.5559,2295.54992,855.70389,3200.79724,1236.4768,,1811.14766,1343.48544,1976.86413,1610.99109,83.18321,24.46643,119.87092,43.92884,4.82398,108.80427,125.81889,46.69885,11.67598,85.79832,1865.44088,415.69541
120000,天津市,2000,694,219,795.69236,413.21842,14.43281,133.3316,9.41443,32.70652,192.58858,1219.34122,412.26748,333.94985,114.11293,1436.20128,1995.70205,703.13898,2932.82689,1154.59247,,1725.74672,1207.08017,1762.6786,1442.23408,73.44685,18.24115,99.67468,43.38192,45.57062,105.48614,112.76915,42.25296,5.84437,61.55326,1656.02408,369.3565
130000,河北省,2019,1413,,,,,,,,,14330.28,3157.23,2866.8,1003.13,,,,32076.94,,,19646.31,,,,643.86,,1058.65,342.2,,,1503.18,,,,,
130000,河北省,2018,1890,,,,,,,,,13898.0,2207.7,3152.7,1035.9,,,,31650.1,,,19525.9,,,,644.3,,959.4,404.0,,,1684.1,,,,,
130000,河北省,2017,1878,323,5151.64,2069.66,77.83,1630.01,960.68,177.27,266.32,13055.85,2024.21,2898.88,974.47,12480.86,20546.53,8550.48,31679.17,15106.01,4433.55,19331.12,12345.66,26978.57,22794.38,621.63,,970.56,390.34,387.27,1877.73,1856.18,143.6,,,,
130000,河北省,2016,2042,308,5479.64,1878.57,46.27,2021.62,1006.72,211.14,315.34,12092.11,2027.19,2832.31,917.06,14216.88,22566.29,9382.89,31663.94,14864.44,4338.55,18570.81,13090.19,28439.51,24484.84,543.69,,925.88,374.67,370.54,1533.96,1570.06,190.26,,,27723.74,1130.37
130000,河北省,2015,2169,427,4843.29,1380.44,81.28,1807.1,1034.51,206.41,333.55,11534.68,1958.33,2688.41,892.26,14322.63,21681.26,8792.91,30535.75,14385.23,3952.76,18190.42,12322.13,27616.58,24069.25,506.94,,922.11,413.91,409.0,1134.43,1180.07,380.7,,,26951.47,1124.65
130000,河北省,2014,2221,407,4758.36,1591.03,39.7,1714.44,863.83,176.06,373.3,11603.12,1890.23,2909.91,963.78,14788.68,21530.96,8032.32,31324.46,14648.61,4030.92,18668.01,12605.36,29822.94,25767.95,502.59,371.75,987.76,477.7,468.69,1415.85,1452.0,320.73,229.13,806.34,29054.41,1304.31
130000,河北省,2013,2200,327,4416.57,1353.68,42.18,1741.92,765.59,172.96,337.26,11247.19,1790.49,2864.28,910.31,12570.45,19538.79,7175.18,28200.31,13605.35,3779.47,17271.53,10834.76,29564.42,25726.04,464.4,333.65,936.23,435.12,452.28,1457.78,1475.24,202.21,209.45,799.96,28422.54,1138.1
130000,河北省,2012,2184,363,4130.30475,1009.5912,50.89046,1891.68841,658.85995,188.40989,330.86484,10436.2606,1586.95391,2715.65062,837.17262,12045.74809,16914.80847,6447.54654,26017.06323,12371.51213,3195.08038,16105.05652,9863.24318,28859.28215,25107.65308,405.40202,334.92923,891.76183,432.77644,427.84945,1429.87638,1397.84222,220.64794,216.52212,830.20914,27480.36516,1146.51639
130000,河北省,2011,2044,259,3724.4172,818.2042,60.79654,1790.93887,588.7706,173.17698,292.53001,9924.13057,1421.52932,2665.01023,800.42042,10113.52235,14774.77702,5866.17715,23506.30585,11059.95374,2995.22744,14713.24296,8733.49312,26792.8316,23099.66969,357.19302,289.82664,842.6525,362.95911,349.67011,1620.84907,1537.92396,142.08798,231.10306,743.36271,25678.54371,1039.49877
130000,河北省,2010,1627,220,3247.18053,716.03481,54.77318,1582.77372,475.0035,143.43019,275.16513,7962.56901,1159.78617,2245.61702,644.79175,9115.69015,12034.3289,4295.70461,19539.54061,8989.25271,2287.93309,12361.787,7097.44265,20931.39992,17980.15162,292.8969,294.40838,674.08706,259.79699,235.27438,1542.6827,1266.01837,93.34328,208.37783,606.27632,19757.49079,874.00328
130000,河北省,2009,1466,258,2856.01644,701.15126,58.98287,1368.74326,375.78008,131.64867,219.7103,6243.64388,880.60478,1738.06261,539.89398,7880.28919,10066.98078,3475.15763,16155.76085,7389.50467,1888.98491,10129.74771,6000.5696,15951.39364,13797.44132,252.66383,206.08761,516.75542,198.74795,194.13402,1059.46457,844.71583,105.0939,128.19256,533.54074,15255.66634,538.26738
130000,河北省,2008,1457,307,2388.76343,800.41935,67.60163,852.36225,344.20442,129.94841,194.22737,5424.57589,772.38372,1643.56788,585.55193,6127.62579,8266.08066,2852.49522,13397.2024,6358.26456,1574.04448,8339.40374,5052.15091,15289.6153,13338.1823,237.0968,131.25142,504.50104,208.85871,198.54935,963.52196,862.32781,182.42642,137.33886,566.82007,15133.20189,843.99975
130000,河北省,2007,1346,182,2020.66276,742.51402,56.88132,651.66492,310.5454,83.75833,175.29877,4576.76931,647.2871,1347.48321,432.10497,5054.83627,6954.03546,2483.21968,10820.60929,4929.00455,1174.93293,6477.19937,4335.78242,11732.65302,9984.0538,208.48581,105.45449,393.03338,150.35713,145.76838,904.37341,875.58928,64.95903,143.0223,454.89173,11451.06304,650.53041
130000,河北省,2006,1298,234,1851.23905,726.71787,46.48194,623.47204,229.30188,68.54363,156.72169,3608.1084,498.35699,1037.07286,378.05175,4501.45536,6192.76396,2261.88567,8881.50586,4071.85819,912.90301,5491.95031,3385.93275,9087.25828,7740.1994,166.47558,85.76728,367.69349,121.80243,115.17012,620.27147,601.70432,99.59458,131.69829,369.9944,9097.43863,414.08996
130000,河北省,2005,1206,230,1502.72825,629.39322,35.93877,466.3968,172.82176,55.65053,142.52717,3044.22671,460.77958,913.84205,326.49239,3761.25724,5184.68775,1888.15763,7404.46588,3391.0031,787.07093,4592.09247,2812.37341,7455.86891,6359.3363,143.75654,72.363,308.91854,98.68482,91.70294,496.58761,477.12221,58.50745,107.3665,293.27609,7405.95151,307.62342
130000,河北省,2004,1164,195,1373.89,743.59,38.51,289.83,170.06,48.86,83.04,2687.63,402.64,786.88,252.45,3198.59,4506.64,1622.06,6467.53,2836.77,647.34,4027.28,2440.25,5977.76,5067.12,117.21,60.43,289.2,92.16,86.39,375.34,373.18,58.35,79.96,251.59,5868.09,268.2
130000,河北省,2003,1018,159,1261.05236,650.59982,42.67435,345.80451,106.25974,39.87737,75.83657,2136.74157,384.48285,589.97175,220.35858,2791.43929,3947.25923,1418.16003,5433.28989,2270.3569,447.67239,3325.90274,2107.38715,4230.06716,3502.21259,91.97654,51.24344,227.40494,82.85826,77.29524,282.88043,296.69746,25.75979,50.4737,201.43611,3818.69831,204.01797
130000,河北省,2002,1047,325,911.37017,545.51809,22.95972,244.489,42.18004,25.67744,30.54588,1523.66978,317.42908,404.30662,172.83441,2324.66915,3214.36215,1147.78473,4207.846,1727.27929,,2660.30432,1547.54168,2455.99336,2002.85098,59.02435,39.74035,172.49915,69.46297,66.83599,118.5229,139.48066,26.19148,40.35603,138.46084,2158.81397,100.5357
130000,河北省,2001,1090,342,912.54814,652.41564,22.39275,148.7302,34.43526,24.54328,30.03101,1429.04039,334.70024,412.81546,176.65434,2249.96731,3006.74258,1188.29361,4015.54648,1617.84345,,2547.77058,1467.7759,2123.22563,1741.65487,55.46105,34.32111,160.1664,63.96139,63.1933,78.4793,96.413,32.84643,27.2479,122.65934,1915.04407,93.6005
130000,河北省,2000,1127,280,893.21694,706.5975,24.15297,81.87996,30.47363,26.78149,23.33139,1347.34114,363.36787,400.02955,175.01741,2089.77931,2726.63643,919.99076,3760.85162,1453.32253,,2267.01663,1493.83499,1993.841,1612.41861,54.43608,31.34135,150.88501,63.09675,60.91135,87.32583,103.3404,27.51473,28.83064,109.72185,1836.04068,105.82752
140000,山西省,2019,1193,,,,,,,,,13791.28,2284.77,1584.18,585.15,,,,33715.08,,,24091.66,,,,506.58,,977.64,548.13,,,996.93,,,,,
140000,山西省,2018,1086,,,,,,,,,12448.4,1892.5,1673.8,569.5,,,,30988.5,,,22144.5,,,,511.3,,886.3,571.0,,,1199.2,,,,,
140000,山西省,2017,1097,306,3981.16,2043.92,72.95,1216.65,483.63,35.74,128.26,11911.93,1963.81,1641.58,573.86,10171.27,16561.13,6969.98,29929.71,15317.35,3446.26,22195.73,7733.87,14237.14,11206.96,481.27,,830.97,575.83,592.17,894.86,894.96,268.54,,,,
140000,山西省,2016,1066,431,3660.06,1953.99,76.08,1030.91,405.14,87.09,106.86,11123.68,1755.02,1518.62,555.96,10693.61,15533.13,6558.71,28367.09,15177.18,3101.79,21709.51,6655.37,11294.72,9352.14,409.41,,682.67,521.88,541.46,197.27,206.15,320.35,,,9695.58,893.96
140000,山西省,2015,1073,549,3424.36,1879.89,105.36,809.22,424.7,76.07,127.69,10496.41,1776.51,1453.61,596.41,10590.09,14583.99,6184.23,26735.55,13530.22,2795.32,20445.34,6280.02,11754.78,10127.69,430.45,,661.39,512.81,509.08,-121.74,-73.96,501.98,,,9631.94,626.56
140000,山西省,2014,1144,518,3334.59,1531.04,112.64,1044.85,445.42,69.08,131.21,9955.88,1772.67,1561.36,627.32,10657.13,14534.03,5989.57,25680.99,12797.7,2869.71,18984.5,6661.25,14370.4,12269.34,473.4,129.95,810.77,531.25,525.96,123.53,145.01,380.55,97.67,512.2,11660.16,654.61
140000,山西省,2013,1190,444,3251.51,1245.27,94.1,1270.81,441.12,56.63,133.25,9429.13,1482.93,1634.42,607.92,9304.18,13271.73,5643.47,23988.27,11402.0,2652.9,17201.15,6776.47,14903.49,12508.64,451.71,139.04,927.55,476.08,487.02,470.08,488.55,303.55,143.68,637.03,12919.04,591.46
140000,山西省,2012,1184,392,3043.45593,1073.02695,71.09303,1297.53716,445.5819,34.91846,121.29843,9300.44198,1410.05495,1576.76765,559.17427,8178.73852,11800.76499,4993.83442,21603.80729,10520.14413,2383.11016,14930.18786,6628.28649,14826.00235,12236.02133,402.86271,142.94544,931.05472,392.15068,385.84402,892.03453,894.42065,232.12929,211.77789,711.46232,13261.45768,456.20511
140000,山西省,2011,1238,299,2733.79505,715.83605,53.04143,1404.55649,401.88794,44.54544,111.9277,8783.73083,1216.87714,1566.87811,581.04444,7854.38911,10655.66177,4289.24085,19572.8687,9371.67961,2160.02184,13141.67633,6380.23665,13892.6647,11049.51221,380.19015,144.631,926.82312,313.14036,304.8449,1218.69905,1145.58979,138.41487,298.61325,777.85915,12567.25328,258.38272
140000,山西省,2010,1119,299,2494.28972,810.10333,45.49003,1185.95074,306.33939,67.53451,78.87172,6964.46953,915.97467,1364.86208,464.34163,6613.3298,8934.06504,3474.63394,15886.94301,7233.39544,1731.7239,10379.61642,5484.77709,10645.51928,8461.39369,315.45977,120.46481,721.29966,240.8753,221.61551,931.71,881.58627,120.91117,220.40035,625.32481,9965.78343,252.57496
140000,山西省,2009,1003,352,2201.4509,761.04006,46.46898,943.18352,317.8663,55.48961,77.40243,5307.24384,659.8372,1085.629,373.34467,5762.33958,7782.93331,2747.1211,13104.18084,5982.67142,1502.67261,8680.02638,4418.2176,7704.78352,6289.53133,250.88773,84.75388,557.33649,202.70104,190.11496,467.94024,447.95724,156.85837,136.04782,489.86581,7562.19828,181.15979
140000,山西省,2008,1063,294,1958.30247,894.17954,47.23341,653.9718,253.35048,35.21609,74.35115,4616.4395,625.89673,1185.27724,460.02602,5183.87704,6701.23275,2308.80189,11464.79902,5450.97776,1345.21987,7707.08813,3757.71089,8364.31154,6636.95929,305.33676,98.96492,564.66537,210.60577,194.7757,570.99072,556.00119,112.6004,147.37443,553.12858,8011.58033,376.72011
140000,山西省,2007,987,162,1597.03926,588.28233,43.85972,666.27597,216.48336,29.39313,52.74475,3502.25913,519.65957,953.69635,354.60351,4588.83578,5690.43662,1933.12125,9162.37153,4260.74473,1060.22595,6145.10176,3003.78976,6472.23513,5044.82326,280.6112,75.12798,414.17376,149.86798,146.66232,507.90008,502.5986,18.95106,115.48627,411.93971,6210.36495,391.79629
140000,山西省,2006,927,241,1376.43618,514.70856,26.28352,601.63996,173.05323,16.65008,44.10083,2870.76944,394.66921,757.7879,287.37713,3880.12915,4816.91674,1593.55445,7498.37459,3364.33908,768.79244,5059.25339,2316.88595,4765.88755,3701.23409,220.95481,55.17848,346.2548,106.64825,101.28532,314.82414,310.66238,35.4635,89.9267,314.26185,4635.88532,263.10618
