年份,亿元以上商品交易零售市场成交额,食品、饮料、烟酒类零售市场成交额,食品类零售市场成交额,粮油类零售市场成交额,肉禽蛋类零售市场成交额,水产品类零售市场成交额,蔬菜类零售市场成交额,干鲜果品类零售市场成交额,饮料类零售市场成交额,烟酒类零售市场成交额,服装鞋帽、针、纺织品类零售市场成交额,服装类零售市场成交额,鞋帽类零售市场成交额,针、纺织品类零售市场成交额,化妆品类零售市场成交额,金银珠宝类零售市场成交额,日用品类零售市场成交额,洗涤用品类零售市场成交额,儿童玩具类零售市场成交额,五金、电料类零售市场成交额,体育、娱乐用品类零售市场成交额,书报杂志类零售市场成交额,电子出版物及音像制品类零售市场成交额,家用电器和音像器材类零售市场成交额,中西药品类零售市场成交额,西药类零售市场成交额,中草药及中成药类零售市场成交额,文化办公用品类零售市场成交额,家具类零售市场成交额,通讯器材类零售市场成交额,煤炭及制品类零售市场成交额,木材及制品类零售市场成交额,石油及制品类零售市场成交额,化工材料及制品类零售市场成交额,化肥类零售市场成交额,金属材料类零售市场成交额,建筑及装潢材料类零售市场成交额,机电产品及设备类零售市场成交额,农机类零售市场成交额,汽车类零售市场成交额,种子饲料类零售市场成交额,棉麻类零售市场成交额,其他类零售市场成交额
2009,9655.5419,2277.6411,2073.2409,202.3849,593.0515,515.4416,427.9532,173.8677,100.1953,104.2049,1236.2383,814.5777,199.0001,222.6605,56.0418,38.3015,345.0768,65.2034,40.2163,193.8563,33.7981,16.7581,34.4201,171.8678,56.2153,6.5947,46.7467,475.3078,546.7171,88.3265,1.9862,52.9452,1.611,20.0356,7.1192,49.133,1166.5124,62.3106,2.6672,2436.454,4.1336,5.1797,281.3068
2008,9337.9178,2322.4483,2119.3249,186.3652,638.5625,537.2135,445.3432,169.657,83.6348,119.4886,1209.3896,807.1763,203.7409,198.4724,49.8197,35.5633,290.3033,69.0481,24.9026,173.5931,18.5029,20.8778,27.0157,148.3881,41.5062,6.6169,32.37,437.2773,474.4993,91.5375,1.5695,148.9962,0.4573,38.2472,6.005,208.5643,1108.5301,76.3501,9.9577,2070.3024,5.3621,39.5794,381.7531
2007,8213.6389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,7457.5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5476.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,4985.7897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4681.9097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4389.1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5156.5172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4710.861884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
