年份,亿元以上商品交易市场成交额,食品、饮料、烟酒类成交额,食品类成交额,粮油类成交额,肉禽蛋类成交额,水产品类成交额,蔬菜类成交额,干鲜果品类成交额,饮料类成交额,烟酒类成交额,服装鞋帽、针、纺织品类成交额,服装类成交额,鞋帽类成交额,针、纺织品类成交额,化妆品类成交额,金银珠宝类成交额,日用品类成交额,洗涤用品类成交额,儿童玩具类成交额,五金、电料类成交额,体育、娱乐用品类成交额,书报杂志类成交额,电子出版物及音像制品类成交额,家用电器和音像器材类成交额,中西药品类成交额,西药类成交额,中草药及中成药类成交额,文化办公用品类成交额,家具类成交额,通讯器材类成交额,煤炭及制品类成交额,木材及制品类成交额,石油及制品类成交额,化工材料及制品类成交额,化肥类成交额,金属材料类成交额,建筑及装潢材料类成交额,机电产品及设备类成交额,农机类成交额,汽车类成交额,种子饲料类成交额,棉麻类成交额,其他类成交额
2009,57963.7907,15259.976,14075.9607,2010.5775,1930.4683,2744.2992,3851.0544,2669.4651,582.4356,601.5797,9666.2153,4132.858,1097.1997,4436.1576,242.0012,315.2014,1922.1837,394.56,245.6088,1329.5464,144.6572,66.6647,143.2232,632.312,394.9662,26.1987,343.8017,946.9641,1017.2808,184.9244,317.0003,692.5078,899.0968,2196.0899,86.658,11529.7693,3240.1271,1031.9485,123.5315,3608.4634,88.6842,403.4611,1687.1585
2008,52457.9577,13294.8241,12221.5758,1552.38,1768.722,2538.2537,3263.5909,2234.0034,509.4674,563.7809,8734.4642,3747.0859,1030.4209,3956.9574,255.3947,235.8714,1698.7564,337.9017,235.1926,1112.4255,114.3752,64.9989,123.8938,488.1833,325.6472,46.7442,254.704,809.6487,854.2745,143.2631,206.7075,642.0041,701.9742,2730.7385,72.8462,11108.8185,2820.9101,889.3412,160.0307,3022.7356,124.2076,402.9718,1551.5276
2007,44085.0978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,37137.4661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,30020.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,26102.7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,21514.4785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,19840.0373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,17719.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,16358.892711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
