年份,亿元以上商品交易批发市场成交额,食品、饮料、烟酒类批发市场成交额,食品类批发市场成交额,粮油类批发市场成交额,肉禽蛋类批发市场成交额,水产品类批发市场成交额,蔬菜类批发市场成交额,干鲜果品类批发市场成交额,饮料类批发市场成交额,烟酒类批发市场成交额,服装鞋帽、针、纺织品类批发市场成交额,服装类批发市场成交额,鞋帽类批发市场成交额,针、纺织品类批发市场成交额,化妆品类批发市场成交额,金银珠宝类批发市场成交额,日用品类批发市场成交额,洗涤用品类批发市场成交额,儿童玩具类批发市场成交额,五金、电料类批发市场成交额,体育、娱乐用品类批发市场成交额,书报杂志类批发市场成交额,电子出版物及音像制品类批发市场成交额,家用电器和音像器材类批发市场成交额,中西药品类批发市场成交额,西药类批发市场成交额,中草药及中成药类批发市场成交额,文化办公用品类批发市场成交额,家具类批发市场成交额,通讯器材类批发市场成交额,煤炭及制品类批发市场成交额,木材及制品类批发市场成交额,石油及制品类批发市场成交额,化工材料及制品类批发市场成交额,化肥类批发市场成交额,金属材料类批发市场成交额,建筑及装潢材料类批发市场成交额,机电产品及设备类批发市场成交额,农机类批发市场成交额,汽车类批发市场成交额,种子饲料类批发市场成交额,棉麻类批发市场成交额,其他类批发市场成交额
2009,48308.2488,12982.3349,12002.7198,1808.1926,1337.4168,2228.8576,3423.1012,2495.5974,482.2403,497.3748,8429.977,3318.2803,898.1996,4213.4971,185.9594,276.8999,1577.1069,329.3566,205.3925,1135.6901,110.8591,49.9066,108.8031,460.4442,338.7509,19.604,297.055,471.6563,470.5637,96.5979,315.0141,639.5626,897.4858,2176.0543,79.5388,11480.6363,2073.6147,969.6379,120.8643,1172.0094,84.5506,398.2814,1405.8517
2008,43120.0399,10972.3758,10102.2509,1366.0148,1130.1595,2001.0402,2818.2477,2064.3464,425.8326,444.2923,7525.0746,2939.9096,826.68,3758.485,205.575,200.3081,1408.4531,268.8536,210.29,938.8324,95.8723,44.1211,96.8781,339.7952,284.141,40.1273,222.334,372.3714,379.7752,51.7256,205.138,493.0079,701.5169,2692.4913,66.8412,10900.2542,1712.38,812.9911,150.073,952.4332,118.8455,363.3924,1252.2905
2007,35871.4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,29679.9278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,24544.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,21116.9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,16832.5688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,15450.8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12562.5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,11648.030827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
