年份,餐饮业企业主营业务收入,内资餐饮业企业主营业务收入,国有餐饮业企业主营业务收入,集体餐饮业企业主营业务收入,股份合作餐饮业企业主营业务收入,联营餐饮业企业主营业务收入,国有联营餐饮业企业主营业务收入,集体联营餐饮业企业主营业务收入,国有与集体联营餐饮业企业主营业务收入,其他联营餐饮业企业主营业务收入,有限责任公司餐饮业企业主营业务收入,国有独资公司餐饮业企业主营业务收入,其他有限责任公司餐饮业企业主营业务收入,股份有限公司餐饮业企业主营业务收入,私营餐饮业企业主营业务收入,私营独资餐饮业企业主营业务收入,私营合伙餐饮业企业主营业务收入,私营有限责任公司餐饮业企业主营业务收入,私营股份有限公司餐饮业企业主营业务收入,其他餐饮业企业主营业务收入,港、澳、台商投资餐饮业企业主营业务收入,港、澳、台商合资经营餐饮业企业主营业务收入,港、澳、台商合作经营餐饮业企业主营业务收入,港、澳、台商独资经营餐饮业企业主营业务收入,港、澳、台商投资股份有限公司餐饮业企业主营业务收入,其他港澳台商投资餐饮业企业主营业务收入,外商投资餐饮业企业主营业务收入,中外合资经营餐饮业企业主营业务收入,中外合作经营餐饮业企业主营业务收入,外资餐饮业企业主营业务收入,外商投资股份有限公司餐饮业企业主营业务收入,其他外商投资餐饮业企业主营业务收入,正餐服务业主营业务收入,快餐服务业主营业务收入,饮料及冷饮服务业主营业务收入,餐饮配送及外卖送餐服务主营业务收入,其他餐饮服务业主营业务收入
2009,2668.03751,2002.0486,67.23454,32.75867,25.77018,1.89235,,0.24555,0.10377,1.54303,401.74667,1.71344,400.03323,80.16132,1342.47397,362.79234,61.93761,840.73266,77.01136,50.0109,206.4061,45.1117,13.96089,121.32782,26.00569,,459.58281,109.45802,23.05572,313.98513,13.08394,,2052.12184,498.73797,25.66672,,91.51098
2008,2581.8249,1946.4109,65.1466,30.4746,24.9555,2.9158,0.3848,0.3571,,2.1439,344.3966,2.3136,342.083,72.3411,1348.7427,420.4681,62.5213,806.3063,59.4471,57.4381,189.7591,43.3386,12.5888,109.9423,23.8894,,445.6549,105.6062,21.6183,307.8071,10.6234,,2048.7203,443.1259,17.2062,,72.7726
2007,1815.90923,1324.96646,53.90587,28.51816,23.15166,4.98458,1.39371,0.89073,0.08162,2.61852,262.73788,1.47254,261.26534,48.24208,880.58769,196.8179,38.58027,608.95727,36.23225,22.83854,119.43774,37.41917,8.82416,70.85436,2.34005,,371.50503,121.26424,44.48171,204.82246,0.93662,,1427.82204,339.26786,13.06288,,35.75645
2006,1465.1361,1062.379,53.0722,26.1514,27.0095,3.6678,0.8232,0.6984,0.1272,2.0189,203.6843,1.6642,202.0201,42.4247,688.6485,139.6181,28.0868,489.8604,31.0833,17.7206,100.5746,30.9783,11.7638,57.5398,0.2927,,302.1825,106.1525,38.5635,156.4668,0.9997,,1143.9921,272.0002,12.9387,,36.2052
2005,1207.80462,868.99513,49.06613,27.72865,24.51208,3.93002,0.89569,0.70878,0.1222,2.20335,164.40345,1.0234,163.38005,39.71732,547.41037,99.60531,25.40747,392.26845,30.12914,12.15079,96.68383,46.19626,14.59815,35.5641,0.32532,,233.60929,80.54525,38.69276,113.18789,1.18339,,948.52242,212.93458,7.4774,,30.35385
2004,1153.26923,841.42903,55.13409,29.2365,25.46857,4.06697,1.18356,0.5131,0.48343,1.88688,162.95602,1.43061,161.52541,32.88895,525.12277,94.56977,26.13355,375.37441,29.04504,6.55516,92.74014,47.68247,15.71393,29.27596,0.06778,0.0,219.10006,82.11838,48.81241,87.78494,0.38433,,912.69468,204.38047,7.73575,,28.45833
2003,746.98792,526.02779,69.63438,37.01335,21.94599,3.25761,0.97868,0.23665,0.80795,1.23433,105.85386,0.67482,105.17904,24.5332,260.40229,57.7462,20.32407,170.64469,11.68733,3.38711,82.57574,31.3263,16.52711,34.11668,0.60565,,138.38439,59.26418,24.27968,53.78626,1.05427,,585.34023,145.13776,1.76879,,14.7
2002,624.24706,429.0602,73.323,37.3083,26.6557,4.5156,1.385,0.8336,0.9879,1.309,76.9973,1.9307,75.0666,24.3778,184.1995,41.1588,11.0997,122.3824,9.5586,1.683,71.4693,37.7712,14.6463,18.3375,0.7144,,123.7175,54.5507,23.9014,44.3276,0.9379,,475.8035,133.4119,133.4119,,15.0
2001,489.8943,326.6106,70.2645,38.1888,21.6823,3.2079,0.7064,0.5496,0.8905,1.0613,60.7843,3.9201,56.8643,18.3535,113.6829,27.6682,4.8331,74.5367,6.6449,0.4464,65.7743,36.8823,14.5168,13.5834,0.7918,,97.5094,45.8774,17.0997,34.0723,0.46,,377.6176,106.2886,106.2886,,6.0
2000,405.2445,262.0603,83.7616,40.803,15.317,3.4744,1.2677,0.3793,1.0837,0.7437,43.237,3.8342,39.4028,17.5634,57.8082,19.379,2.6617,32.1351,3.6325,0.0956,56.209,34.6696,10.9944,10.1204,0.4246,,86.9752,43.5709,13.572,29.3828,0.4495,,314.6884,84.8384,,,5.7177
