年份,图书出版印数,使用“中国标准书号”部分图书出版印数,马列主义、毛泽东思想图书出版印数,哲学图书出版印数,社会科学总论图书出版印数,政治、法律图书出版印数,军事图书出版印数,经济图书出版印数,文化、科学、教育、体育图书出版印数,语言、文字图书出版印数,文学图书出版印数,艺术图书出版印数,历史、地理图书出版印数,自然科学总论图书出版印数,数理科学、化学图书出版印数,天文学、地球科学图书出版印数,生物科学图书出版印数,医学、卫生图书出版印数,农业科学图书出版印数,工业技术图书出版印数,交通运输图书出版印数,航空、航天图书出版印数,环境科学图书出版印数,综合性图书出版图书出版印数,不使用“中国标准书号”部分图书出版印数,图片出版印数,国标(GB)、部标(BB)等标准类文件印品出版印数,活页文选、活页歌篇、小件印品等出版印数
2009,70.4,70.2338,0.0808,0.4962,0.2609,1.9423,0.0681,1.5468,53.0481,2.022,2.6989,1.402,1.5406,0.1216,0.3672,0.129,0.1028,1.073,0.5357,2.1501,0.2336,0.0122,0.2065,0.1954,0.1337,0.1337,,
2008,70.6,69.1305,0.1801,0.4036,0.215,1.5037,0.0458,1.5673,52.6339,2.0422,2.3708,1.6792,1.5552,0.1804,0.4161,0.0835,0.105,0.9811,0.3781,2.1676,0.1929,0.0133,0.1614,0.2543,0.2265,0.2265,,
2007,62.9,62.6531,0.1335,0.3746,0.2033,1.4007,0.0513,1.4847,47.8766,1.6864,1.6536,1.6621,1.9504,0.1592,0.3299,0.0618,0.0784,0.7359,0.2439,2.0216,0.1814,0.0131,0.1803,0.1704,0.28,0.28,,
2006,64.1,63.888,0.0558,0.3116,0.199,1.2403,0.0447,1.3418,49.8318,1.7169,1.588,1.7564,1.5806,0.2791,0.3791,0.0549,0.068,0.7217,0.2221,1.962,0.1747,0.0103,0.1242,0.225,0.1929,0.1929,,
2005,64.7,64.4675,0.0738,0.3242,0.1966,1.1934,0.0574,1.4299,48.9649,1.6986,1.3974,1.7976,2.9402,0.3389,0.4281,0.0361,0.0745,0.6515,0.2185,1.9698,0.1702,0.0044,0.3248,0.1767,0.1922,,,
2004,64.1,63.8399,0.1601,0.2698,0.1733,1.1054,0.0446,1.1638,49.5267,1.5841,1.3657,2.0562,2.4032,0.3009,0.439,0.0345,0.0574,0.6509,0.2208,1.8813,0.1463,0.0036,0.0703,0.182,0.2936,,,
2003,66.7,66.2843,0.0921,0.2061,0.1786,1.0039,0.0474,1.0776,53.5055,1.3692,1.4731,2.4856,0.9899,0.359,0.4019,0.0207,0.063,0.7427,0.233,1.5818,0.1335,0.0082,0.0508,0.2607,0.4157,,,
2002,68.7,68.2839,0.068,0.1798,0.1532,1.1162,0.0406,1.0101,56.311,1.3973,1.2191,2.6819,0.6786,0.3631,0.3741,0.0169,0.0431,0.5774,0.1954,1.3735,0.1479,0.0034,0.0461,0.2872,0.4126,,,
2001,63.1,62.7278,0.0328,0.1313,0.1201,1.0124,0.0307,0.8848,52.093,1.1722,1.2291,2.4837,0.4134,0.3927,0.3138,0.0198,0.0301,0.5282,0.204,1.2354,0.1192,0.0041,0.0271,0.2499,0.3741,,,
2000,62.7,62.2965,0.0531,0.1099,0.1251,0.7475,0.0318,0.8842,53.9671,1.0067,1.0594,0.997,0.3564,0.3883,0.2613,0.0188,0.0299,0.4639,0.2821,1.1014,0.1153,0.0038,0.0251,0.2684,0.4484,,,
