省份编码,省份,年份,邮政营业网点(处),快递营业网点(处),信筒信箱数量(处),农村投递路线(公里),城市投递路线(公里),邮路总长度(公里),航空邮路总长度(公里),铁路邮路总长度(公里),汽车邮路总长度(公里)
150000,内蒙古自治区,2011,1662,1112,2368,112903,36842,110791.6,46224,5720,56797.6
150000,内蒙古自治区,2010,1733,,2455,114545,,92391.0,,6205,46649.0
150000,内蒙古自治区,2009,1613,,2521,112612,,72245.0,,6403,46726.0
150000,内蒙古自治区,2008,1691,,2565,108556,,67906.0,,5836,43747.0
150000,内蒙古自治区,2007,1802,,2567,111007,,61900.0,,5946,43851.0
150000,内蒙古自治区,2006,1748,,2549,109635,,58523.0,,5946,44027.0
150000,内蒙古自治区,2005,1773,,2805,109398,,60713.0,,6196,43895.0
150000,内蒙古自治区,2004,1691,,3099,110812,,57762.0,,5699,43074.0
150000,内蒙古自治区,2003,1686,,3022,111636,,62344.0,,5764,42799.0
150000,内蒙古自治区,2002,1679,,3478,111395,,62307.0,,5764,42558.0
150000,内蒙古自治区,2001,1671,,3294,111394,,72499.0,,5838,42969.0
150000,内蒙古自治区,2000,,,,,,,,,
210000,辽宁省,2019,9076,,2523,105752,90261,291361.0,198843,2837,89596.0
210000,辽宁省,2018,7117,,2997,112953.2,74632.2,255394.5,173207,5866,76208.5
210000,辽宁省,2017,7125,,3650,114163.19,66677.36,298684.1,214518,5866,78192.1
210000,辽宁省,2016,5937,,4002,113454.39,62045.79,278423.1,203459,5871,68978.1
210000,辽宁省,2015,5301,5295,4025,112625.09,62860.07,277348.1,209737,2842,64629.1
210000,辽宁省,2014,3846,3846,4924,116326.39,55994.57,295151.1,232042,3786,58780.1
210000,辽宁省,2013,3722,3641,5315,114386.28,53790.97,251159.0,188669,8318,54028.6
210000,辽宁省,2012,3087,3087,5213,113875.4,56642.45,252991.1,186973,7774,57951.1
210000,辽宁省,2011,2339.21193633952,2545,5666,95574,51417,136098.8,67744,7774,57748.5
210000,辽宁省,2010,2172,,6164,95582,,198335.0,,7016,48162.0
210000,辽宁省,2009,1907,,6552,95402,,163248.0,,7296,55639.0
210000,辽宁省,2008,1804,,6833,102839,,153174.0,,4021,52073.0
210000,辽宁省,2007,1904,,7053,95555,,141282.0,,4022,38564.0
210000,辽宁省,2006,1645,,6815,96603,,136129.0,,4158,33136.0
210000,辽宁省,2005,1686,,7366,94088,,144996.0,,4158,34187.0
210000,辽宁省,2004,1668,,7848,95844,,138851.0,,4158,34829.0
210000,辽宁省,2003,1643,,7622,93475,,118248.0,,4282,32629.0
210000,辽宁省,2002,1644,,7588,93355,,134867.0,,4282,32446.0
210000,辽宁省,2001,1635,,8369,93737,,135386.0,,4282,31675.0
210000,辽宁省,2000,,,,,,,,,
220000,吉林省,2019,5100,,1488,102426,55528,186078.0,146625,15,39438.0
220000,吉林省,2018,4659,,1644,94677,30568.9,184623.0,145878,2996,35749.0
220000,吉林省,2017,4711,,1572,91766.9,32402.61,183551.2,145878,3005,34650.7
220000,吉林省,2016,3748,,1205,92791.8,31366.25,126118.3,84486,3444,37743.3
220000,吉林省,2015,4081,4081,1295,95231.25,33839.56,92147.2,54324,3748,33835.7
220000,吉林省,2014,2369,2369,3962,96667.77,31684.4,127662.3,91514,3729,31654.0
220000,吉林省,2013,2290,2278,4123,97657.85,30972.71,140651.0,99789,10006,30488.1
220000,吉林省,2012,1609,1601,4111,99697.55,30862.51,179250.13,134579,11513.43,32789.6
220000,吉林省,2011,1500,1429,4631,97283,26981,91455.5,55131,11594,24702.5
220000,吉林省,2010,1302,,4615,95524,,84349.0,,6516,26013.0
220000,吉林省,2009,1131,,4065,92800,,47827.0,,4924,25657.0
220000,吉林省,2008,1242,,4031,94445,,49175.0,,7158,26005.0
220000,吉林省,2007,1401,,4291,100242,,46769.0,,7157,25479.0
220000,吉林省,2006,1423,,4572,84317,,44130.0,,7687,23266.0
220000,吉林省,2005,1395,,4986,88419,,67942.0,,7696,23385.0
220000,吉林省,2004,1382,,5387,90572,,67671.0,,7696,23131.0
220000,吉林省,2003,1374,,5502,90993,,69201.0,,7687,23816.0
220000,吉林省,2002,1413,,5676,90604,,100965.0,,7703,22665.0
220000,吉林省,2001,1389,,5594,87935,,94000.0,,8377,22370.0
220000,吉林省,2000,,,,,,,,,
230000,黑龙江省,2019,6638,,2312,115492,56469,167886.0,84721,21159,62006.0
230000,黑龙江省,2018,6155,,2277,119373,43614.5,162298.5,84721,15802,61775.5
230000,黑龙江省,2017,5818,,2454,119749.53,45000.17,177532.0,84721,22733,70078.0
230000,黑龙江省,2016,4714,,2718,120741.73,44088.52,152970.0,84721,12202,56047.0
230000,黑龙江省,2015,4348,4244,2738,123119.92,41290.58,160629.9,96768,10421,53375.4
230000,黑龙江省,2014,3156,2897,2681,120421.42,45714.89,163632.5,96768,8392,58407.0
230000,黑龙江省,2013,2645,2645,3411,124453.16,44781.32,153496.0,96768,12944,43735.5
230000,黑龙江省,2012,2450,1881,3386,120323.09,48425.04,138855.43,62483,13916.43,62382.5
230000,黑龙江省,2011,2111.66472148541,1654,4418,111132,33832,114962.35,57085,14241,43364.85
230000,黑龙江省,2010,1974,,4612,115499,,101025.0,,14565,40558.0
230000,黑龙江省,2009,1794,,4998,142040,,107325.0,,11137,39693.0
230000,黑龙江省,2008,2200,,6768,120552,,102225.0,,10318,37862.0
230000,黑龙江省,2007,2215,,5537,120558,,94827.0,,10239,38056.0
230000,黑龙江省,2006,2161,,5735,118440,,99736.0,,12339,37814.0
230000,黑龙江省,2005,2138,,5775,117588,,95569.0,,12339,36606.0
230000,黑龙江省,2004,2169,,7107,117242,,105912.0,,16984,37176.0
230000,黑龙江省,2003,2165,,6990,120685,,105874.0,,15786,35912.0
230000,黑龙江省,2002,2158,,8137,117585,,105241.0,,15786,35984.0
230000,黑龙江省,2001,2132,,9349,116533,,115933.0,,15964,34972.0
230000,黑龙江省,2000,,,,,,,,,
310000,上海市,2019,5503,,2651,38526,92643,132147.0,45866,6474,79157.0
310000,上海市,2018,4716,,3013,36760,51914,110893.0,47102,8641,54489.0
310000,上海市,2017,16374,,3025,34493,56829,189648.0,47102,8641,133200.0
310000,上海市,2016,7629,,3075,26899,69443,234650.0,161361,10921,61673.0
310000,上海市,2015,7796,7781,3111,22992,68400,242348.6,161361,10920,69160.0
310000,上海市,2014,4480,4477,3169,22755,67501,207970.0,102413,12830,91777.0
310000,上海市,2013,4569,4568,3210,22405,61253,197750.0,97216,17812,56215.0
310000,上海市,2012,3792,3792,3443,22684,62958,192241.43,97216,19384.43,74361.0
310000,上海市,2011,5077.85543766578,5208,3482,26211,59807,259717.0,195651,19212,43645.0
310000,上海市,2010,4210,,3568,23554,,137618.0,,16134,45927.0
310000,上海市,2009,2374,,3673,32812,,278199.0,,14499,51315.0
310000,上海市,2008,4875,,3726,32457,,261798.0,,14637,47697.0
310000,上海市,2007,4710,,3818,30395,,252469.0,,14637,44929.0
310000,上海市,2006,673,,3842,30003,,189691.0,,14720,39926.0
310000,上海市,2005,647,,4022,26844,,211266.0,,14720,39672.0
310000,上海市,2004,616,,4028,28275,,198572.0,,14720,37596.0
310000,上海市,2003,601,,4392,28279,,189100.0,,14720,32336.0
310000,上海市,2002,594,,4139,28286,,182750.0,,14720,24046.0
310000,上海市,2001,584,,4291,27561,,209635.0,,14720,23473.0
310000,上海市,2000,580,,,,,,,,
320000,江苏省,2019,21469,,13375,280337,151947,490910.0,233837,,257073.0
320000,江苏省,2018,15202,,6870,257907.2,100030.8,487431.9,244870,,242561.9
320000,江苏省,2017,15190,,8177,262950.82,98752.5,539417.0,291760,,247657.0
320000,江苏省,2016,12951,,9236,255753.86,104358.55,205555.2,,,205555.2
320000,江苏省,2015,10898,10866,8065,260728.55,95180.08,405531.4,217929,,187602.4
320000,江苏省,2014,11861,11861,6945,259663.48,99705.61,383630.3,217929,,165701.3
320000,江苏省,2013,8913,8913,7530,261629.25,91542.78,228317.0,97723,1162,129357.7
320000,江苏省,2012,6772,6405,7361,266262.75,91897,240629.7,94477,5811,140267.7
320000,江苏省,2011,5551.35835543767,5837,8287,267426,92399,211467.8,97225,5811,108357.8
320000,江苏省,2010,4808,,8440,261298,,223253.0,,5953,106543.0
320000,江苏省,2009,3920,,9093,258311,,145897.0,,4718,88629.0
320000,江苏省,2008,3560,,9285,257051,,136959.0,,4619,89852.0
320000,江苏省,2007,3874,,9387,251462,,132319.0,,4734,88160.0
320000,江苏省,2006,3023,,9793,251765,,125594.0,,4790,81622.0
320000,江苏省,2005,3164,,10579,253889,,124619.0,,4790,80530.0
320000,江苏省,2004,3207,,10709,253755,,113950.0,,4790,75129.0
320000,江苏省,2003,3216,,11220,252724,,109008.0,,4790,68570.0
320000,江苏省,2002,3185,,11308,253270,,111184.0,,4790,65815.0
320000,江苏省,2001,2920,,11399,251297,,107652.0,,4796,61218.0
320000,江苏省,2000,,,,,,,,,
330000,浙江省,2019,27381,,19431,251448,124161,1095967.0,741562,47350,306812.0
330000,浙江省,2018,25861,,23912,200105.6,121945.6,729059.1,361407,76491,290641.1
330000,浙江省,2017,26487,,25579,188092.55,109768.5,758228.4,361407,48442,346884.8
330000,浙江省,2016,11948,,26489,184694.02,96433.96,694120.3,361407,29735,299963.2
330000,浙江省,2015,11959,11829,26904,181748.32,86689.23,618999.1,360308,34222,221213.5
330000,浙江省,2014,7499,7217,27718,182703.75,87395.26,501588.05,258801,32203,206175.45
330000,浙江省,2013,7035,6816,26870,179220.12,79242.24,428691.0,220301,26933,176615.9
330000,浙江省,2012,5305,5155,25408,170166.57,77714.83,449588.3,329552,9411,105424.2
330000,浙江省,2011,3754.98647214854,3965,15041,184497,74415,260053.7,160849,9238,80628.2
330000,浙江省,2010,3734,,10389,179456,,234673.0,,3658,91809.0
330000,浙江省,2009,2792,,11316,167932,,236647.0,,2880,69806.0
330000,浙江省,2008,2693,,12367,157968,,212595.0,,2880,64948.0
330000,浙江省,2007,2986,,14752,150651,,198935.0,,3081,54977.0
330000,浙江省,2006,2347,,15125,143793,,174237.0,,3081,50376.0
330000,浙江省,2005,2374,,15474,134966,,131193.0,,3081,48012.0
330000,浙江省,2004,2405,,15730,127287,,119537.0,,3081,42905.0
330000,浙江省,2003,2453,,16968,118614,,116277.0,,3466,41537.0
330000,浙江省,2002,2446,,16510,119349,,120149.0,,3466,40407.0
330000,浙江省,2001,2372,,17287,115838,,131355.0,,3838,38544.0
330000,浙江省,2000,,,,,,,,,
340000,安徽省,2019,13104,,2219,143644,77318,214098.0,51885,1109,161104.0
340000,安徽省,2018,10479,,2273,146883.9,50034.6,187071.6,38175,1109,147780.6
340000,安徽省,2017,10652,,2533,146126.27,49315.73,185191.0,38175,1109,145859.0
340000,安徽省,2016,7528,,2511,141849.17,37724.15,61375.5,,1109,60143.5
340000,安徽省,2015,7229,7039,2401,148848.57,40897.6,150960.2,,1109,72075.2
340000,安徽省,2014,4008,3786,3704,151639.79,49013.55,134963.0,63900,1682,69266.5
340000,安徽省,2013,4031,2925,4641,144837.52,42612.35,104462.0,39237,2927,62124.8
340000,安徽省,2012,2548,2434,3961,133559.58,45227.38,139363.8,60384,2355,76371.8
340000,安徽省,2011,2808.69151193634,2260,4554,132819,43521,65218.9,,2292,62489.9
340000,安徽省,2010,2309,,6693,150902,,84200.0,,2434,54330.0
340000,安徽省,2009,2323,,6736,150570,,86463.0,,2485,50607.0
340000,安徽省,2008,2235,,6112,141632,,88337.0,,1929,47466.0
340000,安徽省,2007,2521,,6334,141777,,68800.0,,2097,44614.0
340000,安徽省,2006,2601,,6471,138749,,64927.0,,2097,42634.0
340000,安徽省,2005,2560,,6378,134844,,70599.0,,1725,51111.0
340000,安徽省,2004,2698,,9063,129916,,70751.0,,2097,41061.0
340000,安徽省,2003,2700,,8465,137047,,70671.0,,2087,38871.0
340000,安徽省,2002,2605,,7689,137147,,72502.0,,2087,39853.0
340000,安徽省,2001,2150,,6656,136389,,67202.0,,2097,33331.0
340000,安徽省,2000,,,,,,,,,
350000,福建省,2019,8902,,7351,116760,75353,683020.0,585766,,96984.0
350000,福建省,2018,10255,,7584,102319.3,41174.6,712095.7,585766,,125997.0
350000,福建省,2017,9308,,8239,98721.36,41004.98,456716.0,386390,,69992.0
350000,福建省,2016,7418,,8368,93163.96,37707.49,227353.9,129466,1302,96087.9
350000,福建省,2015,6467,6453,8730,92261.75,33146.57,203778.4,129466,1302,72386.9
350000,福建省,2014,4341,4222,9623,93056.77,36047.32,192848.0,129466,987,61700.5
350000,福建省,2013,4275,4125,9901,91686.62,32268.09,182600.0,116466,2834,62623.5
350000,福建省,2012,3177,3117,11414,93039.07,33904.17,182583.5,115628,2834,63439.5
350000,福建省,2011,2067.32175066313,2288,14352,89999,34808,195662.0,130913,13416,50566.0
350000,福建省,2010,2256,,14429,89432,,218405.0,,13416,43770.0
350000,福建省,2009,1763,,15014,88940,,225977.0,,13416,45781.0
350000,福建省,2008,1657,,14674,88314,,151233.0,,13416,39996.0
350000,福建省,2007,1819,,14009,89950,,136176.0,,2867,36597.0
350000,福建省,2006,1605,,15740,85590,,137001.0,,2867,30179.0
350000,福建省,2005,1638,,15349,81607,,136434.0,,2903,30655.0
350000,福建省,2004,1674,,14426,79186,,142804.0,,1216,33753.0
350000,福建省,2003,1654,,14595,78661,,136627.0,,1216,32962.0
350000,福建省,2002,1653,,14830,79411,,138195.0,,1216,34110.0
350000,福建省,2001,1612,,14673,75111,,135521.0,,1216,31099.0
350000,福建省,2000,,,,,,,,,
360000,江西省,2019,8897,,2028,93489,49132,135015.0,45916,2650,86423.0
360000,江西省,2018,7384,,2039,90190.3,44142.5,98971.7,5953,,92986.7
360000,江西省,2017,10238,,2066,90373.3,40920.07,90254.4,5953,,84269.4
360000,江西省,2016,6561,,2181,89872.2,33435.85,94040.6,20800,,72910.5
360000,江西省,2015,4724,4384,2130,90019.22,27621.85,86390.2,20800,1775,63456.1
360000,江西省,2014,3852,3360,3247,99595.1,31207.86,85251.8,27913,1775,54978.8
360000,江西省,2013,3845,3827,3197,99768.1,28815.26,81476.0,23419,3905,53792.68
360000,江西省,2012,2715,2369,3624,100828.2,28397.1,108197.58,34048,5694,68096.58
360000,江西省,2011,2271.14641909814,2142,3672,96330,24276,93086.42,25952,7119,59710.42
360000,江西省,2010,2046,,3674,97950,,98020.0,,7113,60957.0
360000,江西省,2009,1888,,3909,100488,,92561.0,,7113,60740.0
360000,江西省,2008,1884,,4357,101106,,71416.0,,7113,49776.0
360000,江西省,2007,1895,,4624,103297,,78727.0,,7525,47210.0
360000,江西省,2006,1862,,5499,110528,,73234.0,,7078,45245.0
360000,江西省,2005,1858,,6051,114673,,75355.0,,7078,44063.0
360000,江西省,2004,1906,,6544,119250,,107941.0,,7063,42145.0
360000,江西省,2003,1979,,7583,119295,,90867.0,,7063,41182.0
360000,江西省,2002,2381,,8503,117613,,102089.0,,6649,40329.0
360000,江西省,2001,1848,,9270,118770,,90112.0,,6582,39513.0
360000,江西省,2000,,,,,,,,,
370000,山东省,2019,19038,,3855,282275,119887,442719.0,273940,,168605.0
370000,山东省,2018,14762,,4329,281181.4,116681.6,408335.8,272469,,135692.8
370000,山东省,2017,14936,,5778,280036.52,111819.74,452268.1,269749,,182383.1
370000,山东省,2016,10221,,6053,281237.65,106089.72,439670.52,269749,3208,166577.52
370000,山东省,2015,8605,8599,5548,266895.01,90976.34,369063.3,201546,1616,165457.3
370000,山东省,2014,6498,6498,6333,269972.74,98372.63,322284.2,182765,2146,137237.2
370000,山东省,2013,6567,6153,6155,272354.79,89900.55,242453.0,125919,15110,101358.5
370000,山东省,2012,5820,5173,10354,264798.85,95114.1,309689.3,201815,16180,91373.3
370000,山东省,2011,3891.10981432361,5506,5407,252438,82097,302217.25,219856,10491,71689.25
370000,山东省,2010,4206,,15271,271512,,252049.0,,7398,80890.0
370000,山东省,2009,3408,,15271,263443,,180810.0,,9860,68780.0
370000,山东省,2008,3344,,12547,266450,,176120.0,,9860,70562.0
370000,山东省,2007,3411,,12770,252731,,165559.0,,11416,57483.0
370000,山东省,2006,3048,,12077,241729,,169627.0,,10208,61727.0
370000,山东省,2005,5841,,11924,243763,,173098.0,,10098,62516.0
370000,山东省,2004,6608,,18727,239500,,162232.0,,7931,50777.0
370000,山东省,2003,4410,,34979,240162,,156848.0,,7025,49946.0
370000,山东省,2002,3057,,13486,233956,,164773.0,,7025,49790.0
370000,山东省,2001,3040,,24906,229045,,162592.0,,10474,50987.0
370000,山东省,2000,,,,,,,,,
410000,河南省,2019,16627,,3252,182441,104438,591371.0,434936,4911,151509.0
410000,河南省,2018,14138,,3602,191462.5,71679.5,412682.0,281749,3499,127234.5
410000,河南省,2017,12150,,4187,192167,68592.5,425176.0,288756,3499,132459.0
410000,河南省,2016,10827,,4271,190287.5,63882,153230.94,40019,3508,109704.36
410000,河南省,2015,7434,7408,4148,194476,65876.5,158490.28,49778.65,3508,104684.63
410000,河南省,2014,6526,6481,4597,199992,71630,157954.76,49778.65,3508,103984.26
410000,河南省,2013,5626,5626,4525,198257.9,60285,147995.0,49043,7621,90521.0
410000,河南省,2012,4368,4305,4574,197726,59681,131284.0,42450,7621,80403.0
410000,河南省,2011,4365.86100795756,4325,4614,193183,50364,149659.0,45831,9275,93487.0
410000,河南省,2010,3908,,4590,193690,,142133.0,,7545,85533.0
410000,河南省,2009,2904,,4711,193533,,109963.0,,7545,66669.0
410000,河南省,2008,2772,,5034,195657,,105886.0,,7545,63996.0
410000,河南省,2007,2821,,5247,192717,,102630.0,,7080,61059.0
410000,河南省,2006,2649,,5206,191480,,93787.0,,5656,57507.0
410000,河南省,2005,2739,,5259,191083,,94534.0,,5656,57201.0
410000,河南省,2004,2801,,5316,187449,,96204.0,,5656,55402.0
410000,河南省,2003,2828,,6009,186332,,87167.0,,4104,49714.0
410000,河南省,2002,2936,,6797,187403,,88658.0,,4087,49220.0
410000,河南省,2001,3078,,6720,187728,,89275.0,,4156,49181.0
410000,河南省,2000,,,,,,,,,
420000,湖北省,2019,13703,,2442,187419,73688,265399.5,142291,,123106.5
420000,湖北省,2018,14210,,2465,187782.3,56372.4,262099.6,150750,,111349.6
420000,湖北省,2017,14222,,2385,196029.96,55006.93,199007.7,68433,3317,127257.7
420000,湖北省,2016,11812,,2575,194241.32,52423.39,178814.5,69988,3209,105617.5
420000,湖北省,2015,9198,9129,2417,205501.98,51566.58,163136.0,69988,3209,89809.0
420000,湖北省,2014,5581,5581,4180,207494.39,54472.24,161205.1,69988,3209,87967.6
420000,湖北省,2013,5194,5178,4091,206146.16,52144.19,153786.0,68984,10605,74164.0
420000,湖北省,2012,4046,4035,4173,211898.01,50902.81,124877.0,55055,10605,59182.9
420000,湖北省,2011,2455.26392572944,2569,3497,179515,58371,191578.1,128991,10605,51961.1
420000,湖北省,2010,2422,,11109,194656,,243416.0,,8642,58809.0
420000,湖北省,2009,2254,,12788,195327,,83796.0,,8956,37311.0
420000,湖北省,2008,2351,,15538,190582,,79223.0,,8064,37432.0
420000,湖北省,2007,2262,,19011,196967,,92235.0,,8797,47899.0
420000,湖北省,2006,2115,,16812,197731,,100739.0,,8675,46070.0
420000,湖北省,2005,2119,,17502,190449,,80613.0,,6703,43732.0
420000,湖北省,2004,2480,,20081,194307,,78091.0,,5368,43954.0
420000,湖北省,2003,2644,,53929,192869,,93627.0,,5216,45729.0
420000,湖北省,2002,2640,,12953,194250,,92839.0,,5530,43630.0
420000,湖北省,2001,2013,,1730,183399,,96580.0,,5530,40885.0
420000,湖北省,2000,,,,,,,,,
430000,湖南省,2019,11474,,2777,203940,88728,424023.0,296081,,127921.0
430000,湖南省,2018,10433,,2867,208931.5,99397.5,369957.2,242928,,126948.2
430000,湖南省,2017,9810,,2450,214278.18,88014.27,170705.6,31992,,138596.6
430000,湖南省,2016,8004,,2470,212357.68,61926.9,96801.85,,,96709.85
430000,湖南省,2015,7249,7016,2451,214427.63,58746.98,183302.0,82553,,100410.0
430000,湖南省,2014,5190,4792,3443,212110.57,63145.68,172200.0,82885,,88714.0
430000,湖南省,2013,6354,4364,4702,216820.51,57000.87,172456.0,82885,1593,87375.3
430000,湖南省,2012,3115,2846,3617,215940.62,53010.92,142207.0,54478,1607,85626.0
430000,湖南省,2011,3045.50265251989,2510,4008,191837,36151,115764.8,44205,3016,68285.8
430000,湖南省,2010,3095,,5242,199222,,134386.0,,1593,77745.0
430000,湖南省,2009,5133,,34351,194146,,97254.0,,3303,54678.0
430000,湖南省,2008,5053,,51198,207237,,93338.0,,3033,52660.0
430000,湖南省,2007,5985,,13096,202649,,90436.0,,3033,51053.0
430000,湖南省,2006,6940,,13276,203611,,86274.0,,3033,50017.0
430000,湖南省,2005,6525,,13776,209864,,86906.0,,3033,52584.0
430000,湖南省,2004,5749,,16493,212557,,97104.0,,3267,54599.0
430000,湖南省,2003,4353,,15965,219859,,96018.0,,3267,53427.0
