省份编码,省份,年份,公路营运汽车拥有量(万辆),公路营运载客汽车拥有量(万辆),公路营运汽车客位数(万客位),公路营运载货汽车拥有量(万辆),公路营运普通载货汽车拥有量(万辆),公路营运载货汽车吨位数(吨),公路营运普通载货汽车吨位数(吨位)
150000,内蒙古自治区,2016,31.9761,1.1719,39.7458,30.8042,20.9475,2314223,1103738
150000,内蒙古自治区,2015,33.1365,1.2149,40.7233,31.9216,21.7231,2445946,1203756
150000,内蒙古自治区,2014,40.9705,1.2699,42.0226,39.7006,26.7762,3093016,1536676
150000,内蒙古自治区,2013,41.2618,1.288,43.0358,39.9738,26.9211,3199716,1589671
150000,内蒙古自治区,2012,35.9773,1.2768,39.8179,34.7005,33.5123,2946074,2806429
150000,内蒙古自治区,2011,33.7297,1.2258,37.8448,32.5039,31.3804,2823975,2686249
150000,内蒙古自治区,2010,29.29,1.22,34.73,28.07,26.98,2189300,2070000
150000,内蒙古自治区,2009,30.8264,6.2571,58.36,24.5693,23.7867,1866969,1760107
150000,内蒙古自治区,2008,28.4256,5.6946,53.4044,22.731,21.9807,1852198,1753913
150000,内蒙古自治区,2007,26.8553,5.6185,50.519,21.2368,20.4144,1737255,1621135
150000,内蒙古自治区,2006,26.6656,5.2913,46.8985,21.3743,20.084,1820305,1646844
150000,内蒙古自治区,2005,22.8037,4.2186,39.2702,18.5851,18.2037,1410300,1369000
150000,内蒙古自治区,2004,34.95,18.61,127.25,16.33,15.99,957600,927100
150000,内蒙古自治区,2003,25.38,13.08,90.49,12.31,12.12,576100,563100
150000,内蒙古自治区,2002,23.91,11.59,80.69,12.31,12.01,556700,542800
150000,内蒙古自治区,2001,21.24,8.94,67.32,12.29,12.18,555700,547000
150000,内蒙古自治区,2000,20.87,8.68,67.25,12.19,12.07,566500,557100
210000,辽宁省,2019,49.9399,2.7925,84.3056,47.1474,17.1623,6479982,1706073
210000,辽宁省,2018,77.5709,2.931,85.3607,74.6399,47.9696,6148274,2179121
210000,辽宁省,2017,79.4869,3.0939,86.4465,76.393,53.5047,5615704,2290718
210000,辽宁省,2016,77.1729,3.0583,82.7028,74.1146,54.9398,4989928,2300375
210000,辽宁省,2015,81.7271,3.1615,87.9361,78.5656,59.7173,5132695,2583569
210000,辽宁省,2014,82.1296,2.6006,82.318,79.529,61.714,5064862,2813654
210000,辽宁省,2013,79.3537,2.522,78.5641,76.8317,59.6385,4653474,2635284
210000,辽宁省,2012,67.3635,2.7332,75.7578,64.6303,60.1969,4103404,3432691
210000,辽宁省,2011,62.4412,2.7008,71.9977,59.7404,55.7765,3692291,3098600
210000,辽宁省,2010,55.23,2.56,65.35,52.67,49.16,3083700,2584900
210000,辽宁省,2009,56.67,10.6193,103.4865,46.0507,42.9594,2483175,2067511
210000,辽宁省,2008,49.4498,10.4772,100.1315,38.9726,36.1901,2108668,1739151
210000,辽宁省,2007,44.6257,10.2905,96.285,34.3352,31.9309,1768406,1453764
210000,辽宁省,2006,44.0454,10.8444,116.7158,33.201,30.4964,1595646,1292135
210000,辽宁省,2005,32.6178,1.8097,48.6589,30.8081,29.1297,1399100,1235000
210000,辽宁省,2004,30.76,1.76,47.25,29.01,27.67,1165600,1009800
210000,辽宁省,2003,29.14,1.85,46.99,27.29,25.99,1050800,917800
210000,辽宁省,2002,26.02,1.92,51.02,24.1,22.89,922200,798500
210000,辽宁省,2001,25.68,1.82,46.27,23.85,22.79,905300,778300
210000,辽宁省,2000,25.69,1.73,46.44,23.96,23.03,899800,798500
220000,吉林省,2019,21.5358,1.3278,44.2581,20.208,8.2065,2315017,842111
220000,吉林省,2018,35.1903,1.3678,46.0027,33.8225,23.4558,2312771,1143083
220000,吉林省,2017,33.4633,1.3658,44.9988,32.0975,23.5419,2262167,1153738
220000,吉林省,2016,34.2927,1.4244,46.0303,32.8683,25.2981,2216592,1235571
220000,吉林省,2015,37.2838,1.4332,45.4039,35.8506,28.5129,2437006,1511969
220000,吉林省,2014,35.8907,1.4253,44.2903,34.4654,27.5713,2254969,1424120
220000,吉林省,2013,32.9363,1.4263,42.9982,31.51,25.38,2082778,1321240
220000,吉林省,2012,32.1337,1.4151,41.9916,30.7186,29.5268,1864434,1726327
220000,吉林省,2011,28.3759,1.3133,36.8342,27.0626,26.1058,1624570,1515830
220000,吉林省,2010,25.09,1.29,34.91,23.8,22.88,1388500,1282700
220000,吉林省,2009,28.6866,8.634,86.5164,20.0526,19.1784,1020588,927248
220000,吉林省,2008,22.6798,5.209,50.7196,17.4708,16.7314,854687,772729
220000,吉林省,2007,19.6232,4.9296,48.6787,14.6936,14.0006,685387,618422
220000,吉林省,2006,17.9725,4.7945,45.9791,13.178,12.6965,573641,522225
220000,吉林省,2005,16.9436,4.626,44.3841,12.3176,11.8874,499000,460500
220000,吉林省,2004,22.49,7.81,88.74,14.68,14.26,535800,504600
220000,吉林省,2003,21.95,8.0,90.82,13.95,13.6,496500,469000
220000,吉林省,2002,23.43,8.79,105.35,14.64,14.35,542300,522900
220000,吉林省,2001,18.72,6.89,62.04,11.83,11.53,455600,435200
220000,吉林省,2000,16.23,4.66,55.74,11.57,11.31,446700,430600
230000,黑龙江省,2019,35.6471,1.633,52.5638,34.0141,17.9748,4097449,1844251
230000,黑龙江省,2018,50.1081,1.6304,52.7759,48.4777,33.822,3988419,2106636
230000,黑龙江省,2017,49.8386,1.5785,51.862,48.2601,37.499,3698107,2293042
230000,黑龙江省,2016,51.0498,1.6198,52.1651,49.43,38.613,3653120,2114787
230000,黑龙江省,2015,49.4084,1.6443,52.815,47.7641,38.3454,3500033,2090440
230000,黑龙江省,2014,49.318,1.6797,52.4489,47.6383,38.2389,3416236,2029301
230000,黑龙江省,2013,47.5852,1.8062,51.5445,45.779,37.9489,3372177,2237321
230000,黑龙江省,2012,46.5916,2.0653,52.6646,44.5263,43.4506,2953249,2802138
230000,黑龙江省,2011,43.485,2.006,51.6267,41.479,40.5169,2616990,2480552
230000,黑龙江省,2010,38.43,2.16,53.66,36.27,35.5,2190900,2081200
230000,黑龙江省,2009,38.1602,10.7809,103.8893,27.3793,26.973,1440135,1391344
230000,黑龙江省,2008,27.2231,10.1964,97.8774,17.0267,16.4022,860674,807868
230000,黑龙江省,2007,22.7485,9.4172,94.7986,13.3313,12.8915,591578,554049
230000,黑龙江省,2006,21.449,9.1303,85.437,12.3187,11.6101,516615,433860
230000,黑龙江省,2005,20.9408,7.9012,58.3777,13.0396,12.6672,506200,475100
230000,黑龙江省,2004,38.6,21.14,148.53,17.46,17.22,634900,616800
230000,黑龙江省,2003,38.16,20.67,157.72,17.49,17.25,666600,648600
230000,黑龙江省,2002,34.22,17.01,169.95,17.21,16.33,651700,614900
230000,黑龙江省,2001,33.75,16.28,169.67,17.47,16.63,702100,668100
230000,黑龙江省,2000,33.65,15.81,174.45,17.84,16.95,722600,686300
310000,上海市,2019,26.9275,4.5105,65.7842,22.417,6.9791,3084619,722662
310000,上海市,2018,25.9163,4.3259,65.5219,21.5904,6.7823,2890152,661883
310000,上海市,2017,25.5653,4.3337,65.0635,21.2316,7.8549,2577036,604244
310000,上海市,2016,23.8825,3.6921,62.7458,20.1904,8.4683,2314044,629260
310000,上海市,2015,23.8957,2.7156,56.7416,21.1801,10.3373,2282127,713560
310000,上海市,2014,23.7646,2.2659,52.7153,21.4987,11.4674,2169114,714099
310000,上海市,2013,23.994,2.1312,52.7994,21.8628,12.4463,1944079,674609
310000,上海市,2012,19.5989,2.1508,54.8591,17.4481,13.9567,1698934,904925
310000,上海市,2011,19.1857,2.0662,55.7814,17.1195,13.7051,1599286,828911
310000,上海市,2010,18.43,2.04,52.36,16.39,13.51,1315500,683400
310000,上海市,2009,24.7384,8.441,196.1658,16.2974,13.7052,1184981,637650
310000,上海市,2008,23.9633,8.2976,192.3054,15.6657,13.1703,1118372,600279
310000,上海市,2007,24.0377,8.3532,187.4947,15.6845,13.1248,1047694,568199
310000,上海市,2006,23.6447,8.1539,190.376,15.4908,12.3362,686422,272880
310000,上海市,2005,17.9043,1.5704,38.8497,16.3339,14.7929,738800,537800
310000,上海市,2004,21.87,3.65,42.69,18.21,16.38,923900,613100
310000,上海市,2003,19.91,3.55,41.48,16.37,15.05,678200,556400
310000,上海市,2002,17.91,3.47,39.6,14.43,13.11,584100,438600
310000,上海市,2001,16.78,3.64,36.45,13.13,11.98,523200,371100
310000,上海市,2000,15.59,3.08,30.98,12.51,11.93,483600,392000
320000,江苏省,2019,80.7316,5.0561,154.6142,75.6755,43.5929,8764714,3643984
320000,江苏省,2018,90.6305,5.2729,167.5427,85.3576,54.2487,8356812,3570627
320000,江苏省,2017,85.9247,5.0778,168.5588,80.8469,52.7048,7641695,3347985
320000,江苏省,2016,80.7012,4.8126,163.7037,75.8886,51.3832,6859566,3169997
320000,江苏省,2015,77.4189,4.6685,162.3065,72.7504,50.8848,6224058,3018787
320000,江苏省,2014,79.1921,4.5306,167.5943,74.6615,53.5597,6142987,3150301
320000,江苏省,2013,77.1789,4.4005,162.218,72.7784,50.6945,5792966,2781570
320000,江苏省,2012,65.9825,4.4221,163.9611,61.5604,53.5764,5254975,4023469
320000,江苏省,2011,62.9991,4.0935,154.7061,58.9056,51.7568,4823187,3872064
320000,江苏省,2010,55.98,3.96,145.55,52.02,47.18,3806400,3132800
320000,江苏省,2009,52.2913,9.2566,200.3743,43.0347,39.5171,2765258,2280408
320000,江苏省,2008,44.1499,8.8261,173.491,35.3238,32.4502,2012565,1656920
320000,江苏省,2007,40.9324,8.4817,158.5267,32.4507,29.9541,1735040,1458605
320000,江苏省,2006,40.2751,8.0476,130.8504,32.2275,29.7557,1624249,1359041
320000,江苏省,2005,41.0338,8.6038,123.7004,32.43,30.9874,1479900,1301800
320000,江苏省,2004,144.28,98.57,731.82,45.71,43.73,1804900,1626600
320000,江苏省,2003,90.13,56.54,486.71,33.59,31.99,1230400,1106000
320000,江苏省,2002,72.02,39.56,360.55,32.46,31.4,1092900,1014200
320000,江苏省,2001,61.76,33.72,302.37,28.04,27.41,953800,904400
320000,江苏省,2000,54.39,27.3,266.66,27.09,26.5,955100,905300
330000,浙江省,2019,30.7902,2.0758,74.5566,28.7144,11.9708,4012782,1426622
330000,浙江省,2018,38.1546,2.2196,78.1103,35.935,20.9958,3636566,1378263
330000,浙江省,2017,36.8049,2.3576,81.8947,34.4473,21.4701,3150386,1232323
330000,浙江省,2016,36.6296,2.399,82.4113,34.2306,23.4089,2715941,1131787
330000,浙江省,2015,45.9749,2.6587,91.2585,43.3162,32.4546,2790464,1258823
330000,浙江省,2014,51.2041,3.0517,101.0836,48.1524,36.9929,2836024,1283159
330000,浙江省,2013,51.4165,3.1684,102.627,48.2481,38.0548,2734943,1293039
330000,浙江省,2012,54.058,3.3348,103.28,50.7232,46.4367,2534201,1666958
330000,浙江省,2011,52.3612,3.5042,108.8344,48.857,44.7439,2344562,1539287
330000,浙江省,2010,50.81,4.2,128.52,46.6,43.57,2057300,1499800
330000,浙江省,2009,54.2139,7.8371,131.6563,46.3768,43.6962,1681184,1255803
330000,浙江省,2008,52.3061,7.653,124.7443,44.6531,42.1678,1474693,1018684
330000,浙江省,2007,51.0884,7.4794,115.9476,43.609,41.1424,1440817,1028854
330000,浙江省,2006,44.5739,7.1682,106.022,37.4057,35.0377,1206008,867474
330000,浙江省,2005,31.5615,7.4322,102.8832,24.1293,22.6648,879800,663700
330000,浙江省,2004,145.04,97.86,613.47,47.18,45.76,1098700,925300
330000,浙江省,2003,111.57,69.91,471.81,41.66,40.63,923800,820800
330000,浙江省,2002,80.78,44.75,331.6,36.04,35.33,823100,752400
330000,浙江省,2001,64.17,32.54,260.38,31.63,31.05,739600,685500
330000,浙江省,2000,53.79,25.95,210.55,27.83,27.33,669100,624700
340000,安徽省,2019,66.9591,2.2597,71.0023,64.6994,26.468,8116936,2484810
340000,安徽省,2018,71.9683,2.5862,78.4811,69.3821,36.9831,7040325,2636022
340000,安徽省,2017,68.9867,2.8169,82.252,66.1698,41.8424,6379438,2859672
340000,安徽省,2016,68.5228,2.9224,82.5011,65.6004,44.7396,5898712,2904883
340000,安徽省,2015,66.979,2.9429,83.3188,64.0361,43.9064,5185429,2657150
340000,安徽省,2014,72.3137,3.3528,89.6263,68.9609,50.9071,5194403,2821097
340000,安徽省,2013,69.5637,3.441,89.7033,66.1227,49.0698,4727364,2497007
340000,安徽省,2012,64.7425,3.8143,94.6386,60.9282,58.5617,4318585,4015249
340000,安徽省,2011,55.1229,3.7683,90.8227,51.3546,49.6083,3366246,3121167
340000,安徽省,2010,47.29,3.68,86.87,43.6,41.79,2723900,2504800
340000,安徽省,2009,45.4224,8.6344,105.4876,36.788,34.9971,2089256,1892368
340000,安徽省,2008,39.6461,8.1956,98.512,31.4505,30.1548,1662018,1515155
340000,安徽省,2007,34.744,7.8737,91.4353,26.8703,25.8529,1138171,1044463
340000,安徽省,2006,31.7385,7.6114,87.2788,24.1271,22.9341,1007575,917584
340000,安徽省,2005,26.5746,4.3515,69.1381,22.2231,21.5938,917100,861400
340000,安徽省,2004,24.32,4.32,69.81,20.0,19.56,811000,782600
340000,安徽省,2003,22.27,4.17,64.07,18.1,17.69,650900,623300
340000,安徽省,2002,20.18,3.93,61.7,16.25,15.98,592300,574700
340000,安徽省,2001,19.2,3.62,61.58,15.58,15.4,575800,564900
340000,安徽省,2000,19.58,4.11,63.48,15.47,15.27,574100,560600
350000,福建省,2019,20.9822,1.4606,43.4916,19.5216,7.7342,2889542,872745
350000,福建省,2018,27.1427,1.4775,43.5576,25.6652,15.3242,2621408,875588
350000,福建省,2017,25.8011,1.5816,45.8485,24.2195,14.9278,2318235,769317
350000,福建省,2016,26.6867,1.6529,47.4853,25.0338,16.9964,2121149,800318
350000,福建省,2015,26.9217,1.6708,47.8991,25.2509,17.8697,1991540,790699
350000,福建省,2014,29.5691,1.8214,50.6972,27.7477,20.608,1939037,829067
350000,福建省,2013,27.4929,1.8765,51.7454,25.6164,19.4153,1647444,720931
350000,福建省,2012,25.6579,2.0328,53.1908,23.6251,21.081,1477468,932411
350000,福建省,2011,23.9171,2.0217,51.0683,21.8954,19.7264,1285748,785045
350000,福建省,2010,22.8,2.04,49.76,20.76,18.78,1190000,746100
350000,福建省,2009,22.1069,3.5569,57.2528,18.55,16.7743,996407,611547
350000,福建省,2008,19.6019,3.4488,54.6079,16.1531,14.2725,891940,503737
350000,福建省,2007,19.6789,3.4652,53.4577,16.2137,14.6715,717194,446765
350000,福建省,2006,17.9195,3.3683,49.3061,14.5512,13.1825,632002,385637
350000,福建省,2005,16.0897,3.261,47.0152,12.8287,11.7554,438400,311700
350000,福建省,2004,14.65,3.23,45.31,11.42,10.56,366800,276200
350000,福建省,2003,14.68,3.16,42.69,11.53,10.72,331100,253600
350000,福建省,2002,14.83,3.12,43.09,11.71,10.89,331500,255900
350000,福建省,2001,14.17,3.11,42.1,11.06,10.4,318400,260000
350000,福建省,2000,13.29,3.08,41.36,10.21,9.64,307600,263400
360000,江西省,2019,33.1904,1.3222,40.1818,31.8682,14.8961,4074467,1545109
360000,江西省,2018,37.8976,1.6671,49.9831,36.2305,19.8308,4059930,1609854
360000,江西省,2017,34.6115,1.5728,45.8681,33.0387,18.1162,3577772,1363967
360000,江西省,2016,32.9302,1.6078,46.0346,31.3224,19.1512,3199111,1281826
360000,江西省,2015,38.0204,1.676,46.6502,36.3444,24.2513,3316807,1443171
360000,江西省,2014,40.1807,1.7211,47.3621,38.4596,26.8686,3373375,1568010
360000,江西省,2013,40.3833,1.7976,48.395,38.5857,27.2705,3255339,1623998
360000,江西省,2012,32.2099,1.8953,49.2156,30.3146,28.9766,1821929,1649413
360000,江西省,2011,28.955,1.8604,46.4636,27.0946,25.9299,1437263,1305689
360000,江西省,2010,25.39,1.77,42.2,23.62,22.61,1136100,1031800
360000,江西省,2009,21.7424,2.7364,46.7635,19.006,18.2316,831888,756090
360000,江西省,2008,18.66,2.6047,43.7994,16.0553,15.5464,682035,632848
360000,江西省,2007,16.2095,2.427,39.6119,13.7825,13.2981,558155,519789
360000,江西省,2006,14.2501,2.3633,37.7556,11.8868,11.075,522432,442970
360000,江西省,2005,13.3468,2.3367,35.9798,11.0101,10.8031,425000,406300
360000,江西省,2004,12.86,2.7,36.84,10.16,10.02,339900,328700
360000,江西省,2003,10.99,1.84,35.25,9.15,9.06,288700,284000
360000,江西省,2002,10.0,1.8,34.46,8.2,8.14,268200,265000
360000,江西省,2001,8.57,1.54,30.73,7.02,6.98,228400,226100
360000,江西省,2000,8.39,1.57,31.73,6.82,6.76,232800,229500
370000,山东省,2019,107.0084,2.0088,73.1724,104.9996,29.4662,14730152.0,3602525
370000,山东省,2018,115.9575,2.098,75.4506,113.8595,42.7762,14292158.0,3506385
370000,山东省,2017,109.093,2.4029,83.7549,106.6901,43.12,13101800.0,3402197
370000,山东省,2016,102.5674,2.5593,88.4947,100.0081,45.674,11880984.0,3410730
370000,山东省,2015,96.9205,2.6938,89.1441,94.2267,49.3028,10279947.0,3494977
370000,山东省,2014,105.7597,2.9924,96.3037,102.7673,60.5394,9874983,3729520
370000,山东省,2013,113.7611,3.2206,100.2914,110.5405,70.4518,9500902,3713689
370000,山东省,2012,105.0897,3.4723,101.6987,101.6174,95.2055,8671807,7329581
370000,山东省,2011,104.1565,3.4381,97.102,100.7184,94.7143,7826111,6627026
370000,山东省,2010,91.38,3.77,99.72,87.6,82.09,6639600,5532100
370000,山东省,2009,78.7783,11.7024,171.7834,67.0759,62.8249,4359530,3595694
370000,山东省,2008,67.4887,11.0505,154.9258,56.4382,52.8819,3399456,2836416
370000,山东省,2007,61.3644,10.8721,149.4881,50.4923,47.4185,2926035,2443035
370000,山东省,2006,58.8722,10.5956,141.0052,48.2766,45.0954,2275212,1963158
370000,山东省,2005,58.2825,10.1073,118.1537,48.1752,45.2486,2139000,1884400
370000,山东省,2004,60.72,14.25,141.12,46.47,43.93,1944700,1732300
370000,山东省,2003,60.73,18.04,168.56,42.68,40.69,1530700,1379500
370000,山东省,2002,56.61,16.47,158.13,40.15,38.4,1404400,1264600
370000,山东省,2001,53.15,15.51,145.37,37.63,36.2,1277500,1156400
370000,山东省,2000,48.15,13.6,135.76,34.55,33.36,1181800,1082400
410000,河南省,2019,82.3452,3.5627,110.6215,78.7825,28.5937,10134524.0,2561323
410000,河南省,2018,106.0175,3.8782,119.6021,102.1393,56.5147,10083032.0,3210535
410000,河南省,2017,102.3173,4.1344,127.6297,98.1829,60.9634,8756157,3301702
410000,河南省,2016,101.4037,4.498,138.1625,96.9057,64.0454,8143172,3337005
410000,河南省,2015,116.7575,4.6799,140.5371,112.0776,77.9495,8212287,3484749
410000,河南省,2014,123.5375,4.9436,144.232,118.5939,84.9191,8550754,3929959
410000,河南省,2013,114.6566,5.0031,144.5624,109.6535,82.3767,7325221,3728959
410000,河南省,2012,99.8012,4.9472,140.0262,94.854,92.81,6445077,6148728
410000,河南省,2011,93.7418,4.8622,135.7365,88.8796,87.046,5877789,5612217
410000,河南省,2010,83.77,4.94,131.22,78.83,77.31,4867000,4663600
410000,河南省,2009,80.0354,8.2388,143.125,71.7966,69.206,4016410,3540797
410000,河南省,2008,55.5689,7.6947,130.0738,47.8742,45.6645,2638026,2308501
410000,河南省,2007,49.2586,7.496,126.4731,41.7626,40.3711,2207115,2050051
410000,河南省,2006,42.991,7.6042,120.6905,35.3868,34.2849,1841147,1722484
410000,河南省,2005,38.2802,7.4868,146.8982,30.7934,30.2488,1512200,1469900
410000,河南省,2004,28.77,4.82,87.09,23.96,23.31,1149100,1113400
410000,河南省,2003,25.72,3.95,81.4,21.77,21.3,882600,851100
410000,河南省,2002,25.78,4.64,78.63,21.14,20.73,862100,836900
410000,河南省,2001,23.87,4.33,78.69,19.54,19.21,774600,753200
410000,河南省,2000,22.62,4.28,77.0,18.34,18.0,700600,679500
420000,湖北省,2019,33.2336,3.1468,78.3717,30.0868,16.4671,3797213,1656175
420000,湖北省,2018,38.057,3.2967,76.872,34.7603,23.9842,3172760,1563194
420000,湖北省,2017,37.9378,3.5954,82.3041,34.3424,24.8642,2794231,1447274
420000,湖北省,2016,41.9164,3.7832,84.0159,38.1332,28.4487,2728272,1537549
420000,湖北省,2015,42.8831,3.9479,85.8228,38.9352,29.489,2567141,1458390
420000,湖北省,2014,47.2288,4.0553,90.2473,43.1735,34.2433,2583616,1531853
420000,湖北省,2013,47.0005,4.2237,91.8292,42.7768,33.9782,2333710,1404576
420000,湖北省,2012,40.7847,4.2075,89.4766,36.5772,34.6729,1588247,1356965
420000,湖北省,2011,37.3754,4.1567,87.4718,33.2187,31.3696,1370540,1147889
420000,湖北省,2010,34.66,4.09,85.88,30.57,29.06,1223300,1052000
420000,湖北省,2009,33.52,7.2801,97.9003,26.2399,24.9197,1042762,910167
