省份编码,省份,年份,互联网上网人数(万人),域名数(万个),网站数(万个),网页数(万个),互联网宽带接入端口(万个),互联网拨号用户(万户),移动互联网用户(万户),移动互联网接入流量(万GB),互联网宽带接入用户(万户),城市宽带接入用户(万户),农村宽带接入用户(万户)
130000,河北省,2013,3389,25.3335,8.9634,543079.9641,2049.3,0.1,,,1031.6,601.1215,430.4452
130000,河北省,2012,3008,27.2654,8.6452,260005.9497,1755.9999,0.1762,,,963.9093,741.3443,222.565
130000,河北省,2011,2597,21.6685,6.5749,218263.5029,1150.4,0.4,,,824.5,631.5,193.0
130000,河北省,2010,2197,,,,924.3,,,,,,
130000,河北省,2009,1842,,,,724.0143,,,,,,
130000,河北省,2008,1334,,,,466.7603,,,,,,
130000,河北省,2007,762,,,,301.9,,,,,,
130000,河北省,2006,631,,,,235.9242,,,,,,
130000,河北省,2005,486,,,,,,,,,,
130000,河北省,2004,387,,,,,,,,,,
130000,河北省,2003,289.1,,,,,,,,,,
130000,河北省,2002,273.2256,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,
140000,山西省,2019,,82.0642,,383103.8657,2148.1917,,3142.3145,269032.058473,1126.062,909.1595,216.9025
140000,山西省,2018,,107.5614,5.7058,294992.298,1989.15,,3086.33,145721.07,991.03,794.32,196.71
140000,山西省,2017,,24.4481,5.4983,327970.8743,1840.1175,3.3608,2956.1459,49212.86,872.8714,687.0624,185.809
140000,山西省,2016,2035,23.9006,5.3249,427968.4045,1582.8919,3.41,2485.33,16817.84,747.19,626.45,120.74
140000,山西省,2015,1975,21.5,5.0,217518.1,1345.88,3.44,2162.22,6779.87,723.94,602.02,121.92
140000,山西省,2014,1838,13.1922,3.6039,453314.0132,996.79,3.5,1917.14,3722.54,571.13,521.47,49.66
140000,山西省,2013,1755,8.1775,3.4628,412507.7932,881.7,3.5,,,521.3,470.2273,51.0611
140000,山西省,2012,1589,7.1069,2.1739,41326.8048,737.3558,3.6566,,,504.7848,452.3306,52.4542
140000,山西省,2011,1405,5.6625,1.7316,43595.0269,639.2,4.2,,,416.1,366.6,49.5
140000,山西省,2010,1250,,,,502.8,,,,,,
140000,山西省,2009,1064,,,,377.7464,,,,,,
140000,山西省,2008,819,,,,282.9901,,,,,,
140000,山西省,2007,536,,,,188.6,,,,,,
140000,山西省,2006,380,,,,147.9617,,,,,,
140000,山西省,2005,269,,,,,,,,,,
140000,山西省,2004,211,,,,,,,,,,
140000,山西省,2003,148.8,,,,,,,,,,
140000,山西省,2002,130.017,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,
150000,内蒙古自治区,2019,,27.9128,,18453.4517,1372.7252,,2606.1546,244419.255795,682.504,594.7937,87.7103
150000,内蒙古自治区,2018,,12.2409,1.6003,15460.4959,1358.38,,2508.06,142977.45,628.28,531.9,96.38
150000,内蒙古自治区,2017,,9.9292,1.7262,13474.6648,1294.0788,0.0007,2360.2668,44887.32,493.9967,390.5307,103.466
150000,内蒙古自治区,2016,1311,10.7501,1.5534,14108.6211,1200.7329,,2045.16,12852.62,417.18,319.86,97.31
150000,内蒙古自治区,2015,1259,8.7,1.4,45204.3,915.95,0.01,1865.03,5698.13,365.65,281.39,84.26
150000,内蒙古自治区,2014,1142,6.3131,1.2036,27920.1993,739.91,,1672.43,3613.94,316.78,244.98,71.8
150000,内蒙古自治区,2013,1093,4.5576,1.2289,22709.6393,677.2,,,,284.4,223.5078,60.9391
150000,内蒙古自治区,2012,965,3.9254,1.2946,13143.4473,548.735,,,,274.7991,250.0141,24.785
150000,内蒙古自治区,2011,854,2.9052,1.0015,9839.8864,409.3,0.3,,,231.0,211.2,19.8
150000,内蒙古自治区,2010,747,,,,267.0,,,,,,
150000,内蒙古自治区,2009,575,,,,179.7577,,,,,,
150000,内蒙古自治区,2008,385,,,,135.8823,,,,,,
150000,内蒙古自治区,2007,322,,,,99.7,,,,,,
150000,内蒙古自治区,2006,160,,,,69.9016,,,,,,
150000,内蒙古自治区,2005,116,,,,,,,,,,
150000,内蒙古自治区,2004,93,,,,,,,,,,
150000,内蒙古自治区,2003,74.9,,,,,,,,,,
150000,内蒙古自治区,2002,34.3045,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,
210000,辽宁省,2019,,96.1913,,219863.3421,3270.7261,,4062.3021,308539.75853,1230.4063,1101.9337,128.4726
210000,辽宁省,2018,,64.7158,11.398,177231.6699,3240.31,,3905.94,190081.05,1135.99,922.45,213.54
210000,辽宁省,2017,,47.4958,12.3272,209977.0944,3118.7719,16.6521,3936.7678,86655.41,1058.6202,844.905,213.7152
210000,辽宁省,2016,2741,59.2988,11.8373,171138.9644,3239.5273,16.82,3529.83,43747.56,971.73,751.1,220.63
210000,辽宁省,2015,2731,48.2,11.1,184054.7,2710.76,19.75,3160.9,19434.53,860.47,679.43,181.04
210000,辽宁省,2014,2580,30.2609,9.6599,240854.6354,2083.51,20.04,2797.28,6421.32,772.06,621.08,150.98
210000,辽宁省,2013,2453,22.3388,8.648,228210.9954,1631.4,22.2,,,726.9,619.4465,107.4706
210000,辽宁省,2012,2199,22.8795,6.4369,182183.2142,1267.4684,22.5705,,,707.9349,577.5853,130.3496
210000,辽宁省,2011,2092,14.2505,4.7744,97184.4193,981.3,25.1,,,655.1,553.7,101.4
210000,辽宁省,2010,1916,,,,793.4,,,,,,
210000,辽宁省,2009,1595,,,,596.8194,,,,,,
210000,辽宁省,2008,1138,,,,426.6023,,,,,,
210000,辽宁省,2007,783,,,,288.0,,,,,,
210000,辽宁省,2006,483,,,,224.1168,,,,,,
210000,辽宁省,2005,372,,,,,,,,,,
210000,辽宁省,2004,322,,,,,,,,,,
210000,辽宁省,2003,291.5,,,,,,,,,,
210000,辽宁省,2002,441.2532,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,
220000,吉林省,2019,,62.6679,,205284.578,1686.6192,,2304.8076,219168.017385,618.2973,521.7578,96.5395
220000,吉林省,2018,,37.0859,3.5034,180765.8832,1526.74,,2366.22,135590.42,588.22,493.92,94.3
220000,吉林省,2017,,24.6436,3.3284,152993.9661,1761.0791,4.672,2349.5805,65368.95,501.4876,426.5,74.9876
220000,吉林省,2016,1402,20.4574,2.7437,140826.9147,1560.7068,4.75,2029.74,35625.11,440.01,385.08,54.92
220000,吉林省,2015,1313,14.7,2.5,134479.3,987.18,5.58,1793.33,13385.39,427.25,357.84,69.41
220000,吉林省,2014,1243,10.7369,2.0649,130892.1226,805.95,5.64,1646.09,2785.09,414.9,341.22,73.68
220000,吉林省,2013,1163,7.6449,2.0783,105090.9426,695.0,6.0,,,379.6,303.6088,76.0367
220000,吉林省,2012,1062,6.6827,2.1091,40642.2825,635.5814,6.1673,,,364.5579,296.4942,68.0637
220000,吉林省,2011,966,5.1012,1.6336,14408.3975,498.8,7.3,,,307.4,254.4,53.0
220000,吉林省,2010,882,,,,362.2,,,,,,
220000,吉林省,2009,726,,,,288.1456,,,,,,
220000,吉林省,2008,520,,,,216.633,,,,,,
220000,吉林省,2007,434,,,,128.2,,,,,,
220000,吉林省,2006,271,,,,96.16,,,,,,
220000,吉林省,2005,201,,,,,,,,,,
220000,吉林省,2004,179,,,,,,,,,,
220000,吉林省,2003,146.5,,,,,,,,,,
220000,吉林省,2002,118.1718,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,
230000,黑龙江省,2019,,56.0257,,184494.2262,2181.0824,,2901.7532,196893.917308,848.2783,580.6432,267.6351
230000,黑龙江省,2018,,28.1005,4.2977,205114.917,2113.15,,2894.93,120181.46,810.67,569.53,241.13
230000,黑龙江省,2017,,20.1075,4.3015,258253.1939,1937.2369,7.9012,2858.6799,56155.48,664.5863,513.8197,150.7666
230000,黑龙江省,2016,1835,23.6937,4.0408,208860.4056,1964.9386,7.9,2510.91,20813.27,575.05,485.47,89.58
230000,黑龙江省,2015,1707,72.1,3.7,61188.5,1308.82,7.9,2009.01,6846.63,519.54,436.62,82.92
230000,黑龙江省,2014,1599,79.0851,2.816,34804.6672,1044.0,7.88,2015.85,3813.0,484.61,425.18,59.43
230000,黑龙江省,2013,1514,85.7496,2.7141,6482.0672,865.2,10.1,,,459.6,402.101,57.4552
230000,黑龙江省,2012,1329,7.3258,2.0258,54211.1759,771.666,17.8443,,,435.8319,386.8731,48.9588
230000,黑龙江省,2011,1206,6.7775,1.6668,41508.8897,640.6,11.7,,,385.4,342.1,43.4
230000,黑龙江省,2010,1127,,,,498.4,,,,,,
230000,黑龙江省,2009,912,,,,367.4419,,,,,,
230000,黑龙江省,2008,620,,,,293.7783,,,,,,
230000,黑龙江省,2007,476,,,,217.6,,,,,,
230000,黑龙江省,2006,366,,,,174.6248,,,,,,
230000,黑龙江省,2005,316,,,,,,,,,,
230000,黑龙江省,2004,278,,,,,,,,,,
230000,黑龙江省,2003,226,,,,,,,,,,
230000,黑龙江省,2002,136.1889,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,
310000,上海市,2019,,138.8849,,2117050.0933,2028.6084,,3197.4407,231299.800417,890.1477,888.7039,1.4438
310000,上海市,2018,,147.4461,37.819,2069686.3189,1871.82,,3032.0,134846.76,772.92,772.92,
310000,上海市,2017,,240.5562,41.4567,1892366.4217,1810.2014,0.0137,3393.1443,48162.73,681.3347,681.3347,
310000,上海市,2016,1791,263.2136,10.0,1661722.8345,1595.6625,0.02,2662.29,21073.45,635.71,635.71,
310000,上海市,2015,1773,204.8,37.2,1023781.0,1464.79,0.02,2569.29,10818.82,568.76,566.39,2.37
310000,上海市,2014,1716,102.3124,31.4374,1131036.1238,1404.49,0.32,2562.72,5802.33,532.15,532.15,
310000,上海市,2013,1683,78.2976,31.6862,921222.8038,1374.6,1.1,,,511.1,511.1182,
310000,上海市,2012,1606,84.3503,27.0327,1081481.8142,1491.4957,1.5207,,,541.0208,541.0208,
310000,上海市,2011,1525,68.1291,23.768,690155.3074,706.4,2.3,,,493.5,493.5,
310000,上海市,2010,1239,,,,819.1,,,,,,
310000,上海市,2009,1171,,,,662.4451,,,,,,
310000,上海市,2008,1110,,,,611.3139,,,,,,
310000,上海市,2007,830,,,,533.8,,,,,,
310000,上海市,2006,510,,,,421.2802,,,,,,
310000,上海市,2005,463,,,,,,,,,,
310000,上海市,2004,441,,,,,,,,,,
310000,上海市,2003,431.6,,,,,,,,,,
310000,上海市,2002,336.4294,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,
320000,江苏省,2019,,242.5387,,1438429.1053,7248.9556,,8452.6038,852332.976626,3585.7369,2217.4651,1368.2718
320000,江苏省,2018,,188.3479,28.6616,1378142.3044,7131.47,,7979.54,514026.66,3351.87,2107.5,1244.38
320000,江苏省,2017,,161.6149,28.9345,1291048.089,6531.7332,3.7223,9257.6462,178112.06,3106.1459,1953.2389,1152.907
320000,江苏省,2016,4513,173.2428,25.4074,1341772.7486,5676.8488,3.9,7436.86,70635.99,2685.24,1682.3,1002.94
320000,江苏省,2015,4416,130.3,21.4,1199967.4,4697.26,5.18,6728.9,34143.0,2346.32,1464.54,881.78
320000,江苏省,2014,4274,83.6449,16.4935,1451157.211,3503.32,10.75,6345.36,15972.81,1523.35,935.15,588.2
320000,江苏省,2013,4095,64.8607,16.6267,1259479.871,3063.2,11.1,,,1431.3,856.1736,575.1716
320000,江苏省,2012,3952,52.2351,17.081,823366.3796,2892.3719,11.5948,,,1350.7157,811.192,539.5237
320000,江苏省,2011,3685,40.6578,12.6298,522445.3739,2064.2,12.4,,,1171.0,764.9,406.1
320000,江苏省,2010,3306,,,,1806.4,,,,,,
320000,江苏省,2009,2765,,,,1092.4736,,,,,,
320000,江苏省,2008,2084,,,,954.4906,,,,,,
320000,江苏省,2007,1757,,,,777.5,,,,,,
320000,江苏省,2006,1027,,,,547.2881,,,,,,
320000,江苏省,2005,790,,,,,,,,,,
320000,江苏省,2004,661,,,,,,,,,,
320000,江苏省,2003,610.9,,,,,,,,,,
320000,江苏省,2002,314.7268,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,
330000,浙江省,2019,,184.0148,,3552363.3334,6284.4011,,7046.995,762041.202756,2778.9142,1856.4189,922.4953
330000,浙江省,2018,,149.1945,41.7303,3354070.9383,5970.97,,6833.64,429803.0,2653.79,1751.48,902.3
330000,浙江省,2017,,207.5633,40.0281,3316217.1165,5455.1214,29.572,7456.2509,150822.8,2464.5659,1860.3826,604.1833
330000,浙江省,2016,3632,336.1612,33.5887,2827740.8194,4720.6193,29.81,6366.29,63212.58,2159.71,1664.46,495.24
330000,浙江省,2015,3596,208.8,26.2,2532235.7,4768.88,30.03,5813.63,33327.18,1906.83,1403.26,503.58
330000,浙江省,2014,3458,91.1562,21.863,2663566.8755,2632.62,30.22,5362.13,16068.6,1276.09,871.02,405.06
330000,浙江省,2013,3330,69.1006,21.9693,2126604.4955,2447.4,35.8,,,1242.7,702.3051,540.4016
330000,浙江省,2012,3221,342.9977,19.5546,958898.545,2250.4207,36.1984,,,1152.6431,664.4343,488.2088
330000,浙江省,2011,3052,87.4559,21.6855,818250.9849,1458.2,39.9,,,1019.7,593.6,426.0
330000,浙江省,2010,2786,,,,1316.6,,,,,,
330000,浙江省,2009,2452,,,,947.2537,,,,,,
330000,浙江省,2008,2108,,,,822.046,,,,,,
330000,浙江省,2007,1509,,,,701.3,,,,,,
330000,浙江省,2006,977,,,,549.9409,,,,,,
330000,浙江省,2005,707,,,,,,,,,,
330000,浙江省,2004,534,,,,,,,,,,
330000,浙江省,2003,451.2,,,,,,,,,,
330000,浙江省,2002,318.5437,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,
340000,安徽省,2019,,151.3616,,351206.5237,3481.2894,,4790.8396,462271.877487,1864.7013,1158.7637,705.9376
340000,安徽省,2018,,90.4734,8.6831,319693.7025,3373.97,,4596.33,251826.2,1662.42,1022.07,640.35
340000,安徽省,2017,,72.1542,8.0503,206187.6293,2872.2355,19.4288,4639.6768,85024.93,1323.6528,900.8093,422.8435
340000,安徽省,2016,2721,74.5403,6.8201,220360.0859,2527.3319,19.43,4179.9,36624.11,1075.03,774.35,300.68
340000,安徽省,2015,2395,48.9,5.6,245359.6,2211.53,19.43,3671.75,11536.04,913.29,655.46,257.83
340000,安徽省,2014,2225,35.6011,4.0029,155013.4292,1175.7,19.48,2668.56,5961.56,563.82,420.13,143.69
340000,安徽省,2013,2150,21.1612,3.7903,129682.7492,1124.6,20.1,,,546.8,404.7771,141.988
340000,安徽省,2012,1869,11.9306,3.4547,247603.1556,1063.7677,20.5385,,,507.011,377.2836,129.7274
340000,安徽省,2011,1585,9.3898,2.5805,124759.063,732.8,20.8,,,432.6,319.4,113.3
340000,安徽省,2010,1392,,,,609.5,,,,,,
340000,安徽省,2009,1069,,,,471.9055,,,,,,
340000,安徽省,2008,723,,,,248.2527,,,,,,
340000,安徽省,2007,587,,,,194.7,,,,,,
340000,安徽省,2006,337,,,,134.3156,,,,,,
340000,安徽省,2005,276,,,,,,,,,,
340000,安徽省,2004,240,,,,,,,,,,
340000,安徽省,2003,183.5,,,,,,,,,,
340000,安徽省,2002,107.3959,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,
350000,福建省,2019,,695.1243,,709222.2905,3232.0506,,3915.7563,356052.373779,1779.043,990.5017,788.5413
350000,福建省,2018,,736.3736,27.9946,812747.6602,3244.96,,3793.55,209900.32,1629.12,1061.1,568.02
350000,福建省,2017,,882.4912,30.2777,827546.3424,2861.7724,0.0374,3508.7596,71383.34,1373.599,913.6199,459.9791
350000,福建省,2016,2678,509.5881,28.5936,703105.3839,2482.2859,0.07,3267.49,30358.89,1144.62,787.98,356.64
350000,福建省,2015,2648,200.6,24.8,546580.8,2335.32,0.16,3048.19,14350.97,1044.8,702.59,342.22
350000,福建省,2014,2471,90.2089,22.3442,176838.3516,1618.68,0.29,2959.87,7359.0,899.17,591.38,307.79
350000,福建省,2013,2402,66.1253,22.0671,90848.2916,1439.4,16.6,,,835.6,595.4305,240.1922
350000,福建省,2012,2280,81.5661,18.8992,469872.7949,1439.8376,16.9789,,,737.9513,520.3962,217.5551
350000,福建省,2011,2102,52.8072,15.1096,352462.8981,910.3,20.1,,,605.2,427.5,177.7
350000,福建省,2010,1848,,,,747.1,,,,,,
350000,福建省,2009,1629,,,,471.7752,,,,,,
350000,福建省,2008,1379,,,,411.65,,,,,,
350000,福建省,2007,866,,,,368.6,,,,,,
350000,福建省,2006,516,,,,305.6345,,,,,,
350000,福建省,2005,397,,,,,,,,,,
350000,福建省,2004,326,,,,,,,,,,
350000,福建省,2003,318.2,,,,,,,,,,
350000,福建省,2002,249.8577,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,
360000,江西省,2019,,156.6758,,216169.9656,2369.4979,,3506.4361,326224.79446,1448.7784,987.8692,460.9092
360000,江西省,2018,,77.1029,4.9744,208694.3193,2032.68,,3340.8,173557.28,1323.36,908.05,415.31
360000,江西省,2017,,33.2293,4.4145,212189.2696,1985.9154,0.6922,3079.2753,57687.94,997.0684,687.7717,309.2967
360000,江西省,2016,2035,38.4982,3.7191,227629.0931,2055.5926,0.78,2602.79,22665.96,822.5,578.52,243.98
360000,江西省,2015,1759,35.6,3.1,322767.4,1693.24,0.85,2167.13,10176.89,710.94,508.03,202.91
360000,江西省,2014,1543,18.0127,2.314,307100.5572,975.14,1.35,1914.57,4495.23,434.24,322.63,111.61
360000,江西省,2013,1468,9.6139,2.2404,265168.2372,868.6,2.8,,,410.1,306.1865,103.9332
360000,江西省,2012,1267,7.7075,2.1545,193304.8617,719.3201,3.377,,,371.9891,279.8518,92.1373
360000,江西省,2011,1088,6.1083,1.6032,136356.0479,562.0,5.2,,,313.0,239.7,73.3
360000,江西省,2010,950,,,,358.9,,,,,,
360000,江西省,2009,790,,,,281.7919,,,,,,
360000,江西省,2008,610,,,,219.0706,,,,,,
360000,江西省,2007,511,,,,167.8,,,,,,
360000,江西省,2006,285,,,,122.1198,,,,,,
360000,江西省,2005,187,,,,,,,,,,
360000,江西省,2004,156,,,,,,,,,,
360000,江西省,2003,169.4,,,,,,,,,,
360000,江西省,2002,119.3187,,,,,,,,,,
360000,江西省,2001,,,,,,,,,,,
360000,江西省,2000,,,,,,,,,,,
370000,山东省,2019,,177.3097,,584439.8886,6915.2254,,8855.056,647314.583226,3186.0969,2169.1396,1016.9573
370000,山东省,2018,,151.659,31.7296,525752.0029,6312.27,,8418.57,383441.08,2884.82,1933.49,951.32
370000,山东省,2017,,119.6463,31.2313,502119.6779,5596.9108,38.7791,8507.9881,118818.08,2588.7434,1744.1287,844.6147
370000,山东省,2016,5207,172.0673,27.2766,446928.6898,4680.022,39.8,7391.24,39890.0,2366.53,1637.26,729.27
370000,山东省,2015,4789,199.3,22.6,388823.1,4003.35,39.94,6109.58,17936.58,1980.82,1379.17,601.65
370000,山东省,2014,4634,304.1693,15.8028,627574.6273,2949.1,40.05,5569.23,10684.0,1523.9,1070.39,453.51
370000,山东省,2013,4329,432.3922,14.5757,535262.8473,2537.0,40.1,,,1465.1,1016.2932,448.7687
370000,山东省,2012,3866,46.898,14.2863,292335.7797,2144.8616,40.3184,,,1364.118,961.2631,402.8549
370000,山东省,2011,3625,38.3059,10.9402,254666.9383,1756.4,11.6,,,1154.1,852.8,301.3
370000,山东省,2010,3332,,,,1424.0,,,,,,
370000,山东省,2009,2769,,,,1028.8904,,,,,,
370000,山东省,2008,1983,,,,743.5125,,,,,,
370000,山东省,2007,1256,,,,529.3,,,,,,
370000,山东省,2006,1126,,,,433.7821,,,,,,
370000,山东省,2005,988,,,,,,,,,,
370000,山东省,2004,848,,,,,,,,,,
370000,山东省,2003,626.6,,,,,,,,,,
370000,山东省,2002,279.5953,,,,,,,,,,
370000,山东省,2001,,,,,,,,,,,
370000,山东省,2000,,,,,,,,,,,
410000,河南省,2019,,313.5248,,1478915.2264,4752.8367,,8245.6913,685946.38405,2769.1966,1986.0608,783.1358
410000,河南省,2018,,207.48,24.8896,1310626.7112,4780.81,,7766.49,434883.94,2503.91,1774.23,729.69
410000,河南省,2017,,123.1752,23.5364,1187272.5726,4475.8499,,7542.4476,134407.23,2128.3817,1535.5716,592.8101
410000,河南省,2016,4110,117.7483,20.037,1090153.9276,4345.7858,,6378.26,43678.61,1767.23,1274.47,492.76
410000,河南省,2015,3703,103.2,16.6,920384.0,3241.88,,5398.41,19685.13,1488.98,1070.0,418.99
410000,河南省,2014,3474,63.2911,12.3824,510325.5581,2016.41,100.85,4483.28,10532.53,1087.93,773.52,314.41
410000,河南省,2013,3283,36.7511,11.1152,445741.1381,1747.0,103.3,,,1000.5,698.78,301.6769
410000,河南省,2012,2856,22.8049,7.9301,596860.258,1435.7101,103.3499,,,927.6176,672.3016,255.316
410000,河南省,2011,2582,19.7583,6.3128,480935.8506,1104.1,103.4,,,784.5,594.8,189.7
410000,河南省,2010,2417,,,,875.8,,,,,,
410000,河南省,2009,2007,,,,693.1679,,,,,,
410000,河南省,2008,1283,,,,497.3005,,,,,,
410000,河南省,2007,956,,,,321.4,,,,,,
410000,河南省,2006,517,,,,230.8212,,,,,,
410000,河南省,2005,396,,,,,,,,,,
410000,河南省,2004,305,,,,,,,,,,
410000,河南省,2003,225.7,,,,,,,,,,
410000,河南省,2002,211.8238,,,,,,,,,,
410000,河南省,2001,,,,,,,,,,,
410000,河南省,2000,,,,,,,,,,,
420000,湖北省,2019,,206.3296,,199019.2685,3062.2842,,4635.6213,382653.421188,1708.3228,1208.5734,499.7494
420000,湖北省,2018,,106.2054,12.282,156806.0833,2961.29,,4551.95,217677.65,1480.73,1074.17,406.56
420000,湖北省,2017,,78.9674,11.6646,189036.0493,2605.5062,12.7055,4116.3928,74503.95,1242.9214,979.4872,263.4342
420000,湖北省,2016,3009,101.9556,10.1126,229188.8188,2594.6797,13.05,3639.94,30269.66,1131.88,950.63,181.25
420000,湖北省,2015,2723,133.2,8.7,246085.3,2061.13,13.08,3255.41,15462.6,1014.36,859.45,154.91
420000,湖北省,2014,2625,35.4941,6.7815,190176.2067,1266.06,13.12,2904.48,7403.44,869.73,723.47,146.27
420000,湖北省,2013,2491,21.0035,6.3882,167299.5067,1153.2,13.3,,,813.3,669.2666,144.0658
420000,湖北省,2012,2309,15.6517,6.0296,259235.0255,1023.5322,10.7589,,,707.9847,581.6358,126.3489
420000,湖北省,2011,2129,14.1973,5.1506,173466.0413,746.1,10.9,,,580.1,478.1,102.0
420000,湖北省,2010,1902,,,,588.4,,,,,,
420000,湖北省,2009,1469,,,,433.3183,,,,,,
420000,湖北省,2008,1050,,,,327.3678,,,,,,
420000,湖北省,2007,706,,,,282.0,,,,,,
420000,湖北省,2006,532,,,,221.6556,,,,,,
420000,湖北省,2005,463,,,,,,,,,,
420000,湖北省,2004,429,,,,,,,,,,
420000,湖北省,2003,380.9,,,,,,,,,,
420000,湖北省,2002,151.8244,,,,,,,,,,
420000,湖北省,2001,,,,,,,,,,,
420000,湖北省,2000,,,,,,,,,,,
430000,湖南省,2019,,250.1484,,140563.1922,2997.9385,,5489.6781,491368.220693,1873.7724,1228.2891,645.4833
430000,湖南省,2018,,122.2839,9.5295,127461.8691,2821.1,,5226.59,266950.44,1635.32,1115.14,520.18
