省份编码,省份,年份,铁路运输业就业人员数(人),公路运输业就业人员数(人),城市公共交通业就业人员数(人),水上运输业就业人员数(人),航空运输业就业人员数(人),管道运输业就业人员数(人),装卸搬运和其他运输服务业就业人员数(人),邮政业就业人员数(人),电信和其他信息传输服务业就业人员数(人)
330000,浙江省,2011,25520,104126,42504,28069,9862,43,16393,38164,82512
330000,浙江省,2010,25788,89728,46627,22970,8385,,16084,33917,77264
330000,浙江省,2009,25256,82866,47337,24257,7221,,14622,30747,72769
330000,浙江省,2008,21033,72234,39994,24975,6180,,10382,17734,52514
330000,浙江省,2007,21037,66572,36487,22736,5912,,10662,20569,45535
330000,浙江省,2006,23989,64818,35009,22315,5396,,9634,20080,41466
330000,浙江省,2005,25349,63864,31507,22319,7244,,8929,20232,35992
330000,浙江省,2004,23850,65896,30628,24977,6237,13,7573,21073,37996
330000,浙江省,2003,26230,67309,29253,25391,6205,16,8041,20423,37414
330000,浙江省,2002,27374,42173,,11309,1674,17,,,
330000,浙江省,2001,25472,41337,,13948,1321,16,,,
330000,浙江省,2000,29000,54000,,20000,1000,,,,
340000,安徽省,2019,47294,132343,,8420,3995,27,,23137,
340000,安徽省,2018,38727,133448,,10923,4901,69,,40304,
340000,安徽省,2017,39458,143166,,12421,4465,,3749,29857,
340000,安徽省,2016,40208,128272,,12734,4386,,4876,29540,
340000,安徽省,2015,40261,123153,,11675,4139,,6154,27512,
340000,安徽省,2014,40656,116732,,12401,2761,,4861,30004,
340000,安徽省,2013,42541,112095,,14613,4116,,5327,32275,
340000,安徽省,2012,41733,78565,,10393,2968,,2102,21424,
340000,安徽省,2011,42532,56685,24674,10859,2892,,2937,20281,40075
340000,安徽省,2010,37140,51578,24301,8283,2601,,3539,18171,34971
340000,安徽省,2009,33977,50194,23845,7885,2651,,4467,18478,34740
340000,安徽省,2008,33035,41791,29366,8799,2273,,4404,12439,27606
340000,安徽省,2007,31667,45557,26570,10890,2190,,6195,13483,27551
340000,安徽省,2006,31825,45937,26078,11603,2099,,5394,13794,27293
340000,安徽省,2005,28536,54204,25892,16728,2146,,4856,13214,26347
340000,安徽省,2004,31192,56681,28290,18307,2122,,6762,13379,23763
340000,安徽省,2003,29136,59242,23851,21586,2139,,6587,14009,22227
340000,安徽省,2002,38654,49039,,16393,2118,,,,
340000,安徽省,2001,44355,55435,,18287,2203,11,,,
340000,安徽省,2000,47000,62000,,23000,2000,,,,
350000,福建省,2019,33462,96020,,14619,27767,33,,31962,
350000,福建省,2018,40736,96647,,15236,26260,63,,28389,
350000,福建省,2017,41423,103841,,15879,19261,37,21614,31715,
350000,福建省,2016,39513,104685,,16310,18111,20,21296,29113,
350000,福建省,2015,38941,107797,,16678,16818,12,24111,34541,
350000,福建省,2014,40401,108676,,16482,16389,12,22800,29950,
350000,福建省,2013,40309,105271,,14927,15234,12,29352,32842,
350000,福建省,2012,41037,76966,,13245,13457,913,16720,18944,
350000,福建省,2011,37391,44713,30930,12227,12897,843,13048,21244,42596
350000,福建省,2010,33765,41650,29511,12716,11707,,13263,18903,33948
350000,福建省,2009,32483,39681,29333,12627,10472,,13721,18445,33835
350000,福建省,2008,26698,32975,27823,12682,10067,,14691,16092,29551
350000,福建省,2007,28436,19858,26544,12925,9882,,15139,17590,32094
350000,福建省,2006,28761,32295,19630,13717,9568,,13896,16159,33712
350000,福建省,2005,30951,31307,19478,13605,9142,,12148,15630,25768
350000,福建省,2004,31433,32742,20854,14384,8770,,12402,16147,23846
350000,福建省,2003,26881,33459,20682,15737,7900,,11047,15944,25744
350000,福建省,2002,21746,27297,,9150,5921,356,,,
350000,福建省,2001,25855,29421,,9707,5348,,,,
350000,福建省,2000,27000,31000,,15000,6000,,,,
360000,江西省,2019,56340,89676,,3358,4732,245,,19350,
360000,江西省,2018,59669,93132,,4591,4299,16,,20109,
360000,江西省,2017,60840,105139,,6819,3388,119,1601,20297,
360000,江西省,2016,60672,103024,,7363,2917,116,1442,20346,
360000,江西省,2015,61409,104811,,8554,2872,78,1765,24635,
360000,江西省,2014,61338,103656,,9246,2693,276,1795,21331,
360000,江西省,2013,61574,106077,,7894,4844,808,3030,21578,
360000,江西省,2012,60757,43973,,2815,914,603,1480,14071,
360000,江西省,2011,61098,38878,13323,3625,2689,5,1152,14165,29320
360000,江西省,2010,64038,48205,12956,3475,2587,,2341,13399,30481
360000,江西省,2009,64717,49527,12288,5021,2775,,2437,13874,27859
360000,江西省,2008,57483,52461,8495,4547,2664,,3281,12079,23636
360000,江西省,2007,58845,47197,9578,5821,2861,,4304,13378,24556
360000,江西省,2006,57727,46152,12683,6371,2535,,4105,16785,24877
360000,江西省,2005,58042,45783,12521,7038,2358,14,4579,14908,23209
360000,江西省,2004,61951,47917,9372,4840,4962,,4214,11416,22460
360000,江西省,2003,62349,45165,11477,6745,2015,,4571,13525,19415
360000,江西省,2002,65633,29927,,7767,1639,,,,
360000,江西省,2001,65175,29707,,8087,1716,,,,
360000,江西省,2000,73000,31000,,10000,2000,,,,
370000,山东省,2019,88039,203676,,38377,19734,2787,,42768,
370000,山东省,2018,96131,224934,,46669,8287,3817,,47215,
370000,山东省,2017,82549,225533,,57181,19713,3382,24076,45965,
370000,山东省,2016,83083,224205,,62645,17820,3442,35753,46938,
370000,山东省,2015,82517,224541,,64010,16125,3768,28567,44323,
370000,山东省,2014,81304,234715,,62345,14758,3326,28632,51077,
370000,山东省,2013,82442,234278,,70405,14113,3547,25688,53203,
370000,山东省,2012,74684,164478,,54572,14714,2446,25590,25880,
370000,山东省,2011,71566,107995,52790,52940,10680,1469,14996,22846,67377
370000,山东省,2010,70233,104576,51122,50869,11033,1507,12770,23939,50769
370000,山东省,2009,70089,101643,49827,51915,10987,1464,11653,22539,49075
370000,山东省,2008,64034,86503,47675,43320,10305,1605,11602,17491,44317
370000,山东省,2007,76571,79990,46409,42350,9026,1066,7584,19500,42599
370000,山东省,2006,69993,79899,43983,42829,9049,1154,9828,19092,44768
370000,山东省,2005,60219,83018,41674,46244,7628,1389,14714,21840,44945
370000,山东省,2004,64200,102767,37029,48608,6813,1205,9142,22097,46926
370000,山东省,2003,61819,103097,36965,48340,6437,1232,10493,23429,50276
370000,山东省,2002,78375,72075,,14152,3581,1241,,,
370000,山东省,2001,79903,81051,,14800,3024,1172,,,
370000,山东省,2000,79000,87000,,16000,3000,1000,,,
410000,河南省,2019,110841,229495,,2097,9368,526,,28978,
410000,河南省,2018,109329,201620,,1698,8977,280,,40539,
410000,河南省,2017,112658,253742,,3451,7823,245,11429,36559,
410000,河南省,2016,113594,254487,,4219,11194,220,12486,34570,
410000,河南省,2015,110423,249899,,4441,10391,205,12535,35353,
410000,河南省,2014,117956,242084,,5096,11035,147,10941,31586,
410000,河南省,2013,120139,234278,,5768,7795,74,10929,33954,
410000,河南省,2012,116531,135835,,2104,7234,457,10394,15668,
410000,河南省,2011,102656,98972,42914,2800,7130,,7725,17954,55224
410000,河南省,2010,103114,93380,39597,1386,281,,7023,23458,44894
410000,河南省,2009,98233,91875,39368,1362,315,30,5116,29322,48500
410000,河南省,2008,103236,99008,36421,3030,229,,8148,18986,34164
410000,河南省,2007,107062,107665,32520,3543,1979,,9212,24981,39462
410000,河南省,2006,101546,114698,36253,2805,2030,,10688,24254,41819
410000,河南省,2005,110594,123332,34700,3533,1691,,9059,21366,36215
410000,河南省,2004,110949,125649,33227,2823,1566,,15970,19930,35971
410000,河南省,2003,111382,122755,30721,2860,1526,94,13984,20645,36580
410000,河南省,2002,118905,78730,,1701,41,1390,,,
410000,河南省,2001,117737,81374,,2792,1322,98,,,
410000,河南省,2000,129000,87000,,4000,1000,,,,
420000,湖北省,2019,78615,159683,,13201,7983,806,,32665,
420000,湖北省,2018,85818,157194,,14728,9611,4557,,60244,
420000,湖北省,2017,86808,166875,,15631,10551,4481,8592,51404,
420000,湖北省,2016,86669,166210,,16154,7067,818,8962,53161,
420000,湖北省,2015,86920,160326,,15410,7232,546,8824,53781,
420000,湖北省,2014,86947,156845,,14582,6686,738,9277,57998,
420000,湖北省,2013,83833,145880,,15757,9137,788,11010,54184,
420000,湖北省,2012,83437,97426,,12860,7438,940,10124,24061,
420000,湖北省,2011,89021,66202,37338,16901,5445,1004,10701,21474,41697
420000,湖北省,2010,88502,62321,38939,18351,5853,1035,13801,17790,36206
420000,湖北省,2009,151764,64266,36527,20024,4921,927,14094,18028,37588
420000,湖北省,2008,137976,64894,34093,21059,6305,1082,18548,13769,33090
420000,湖北省,2007,127487,59313,34297,22379,5387,663,20018,16866,36676
420000,湖北省,2006,70165,81046,35820,28786,6134,546,17934,16366,51588
420000,湖北省,2005,73836,81500,35040,32995,4566,577,17258,16462,38954
420000,湖北省,2004,77669,95028,34443,36602,5999,558,16736,16162,28341
420000,湖北省,2003,82585,101759,36521,39621,4928,569,17832,16026,27532
420000,湖北省,2002,99804,60104,,22504,3003,569,,,
420000,湖北省,2001,88195,57235,,31915,3834,574,,,
420000,湖北省,2000,91000,61000,,37000,4000,1000,,,
430000,湖南省,2019,77840,129511,,3233,6718,394,,26929,
430000,湖南省,2018,72930,97592,,2392,8982,306,,28376,
430000,湖南省,2017,76921,102379,,2773,9138,271,5687,32426,
430000,湖南省,2016,78233,102405,,2857,8517,209,5166,37672,
430000,湖南省,2015,79466,103606,,2809,8452,208,6407,38096,
430000,湖南省,2014,77848,107524,,4549,8334,170,6953,39954,
430000,湖南省,2013,76901,103424,,4761,7463,169,8273,39273,
430000,湖南省,2012,77023,98687,,4374,8343,88,12256,30069,
430000,湖南省,2011,76063,66072,30693,5412,4794,88,20509,22545,62049
430000,湖南省,2010,76653,62099,25477,4368,3954,124,13100,18284,49925
430000,湖南省,2009,77668,61256,29537,5316,3707,85,13631,20543,46370
430000,湖南省,2008,71727,61897,28083,5792,3069,,9355,19038,39567
430000,湖南省,2007,71436,64070,27921,7354,3054,,8585,21129,33269
430000,湖南省,2006,72584,58690,24540,7446,3003,,9183,18312,32765
430000,湖南省,2005,73671,61637,21985,8924,4003,,9508,18278,31141
430000,湖南省,2004,76133,72328,21370,11488,2190,5,11086,18582,33743
430000,湖南省,2003,78847,74580,23232,12727,4270,10,15547,22122,32109
430000,湖南省,2002,73545,48856,,8488,3028,53,,,
430000,湖南省,2001,79171,49137,,11038,3008,,,,
430000,湖南省,2000,90000,65000,,15000,1000,,,,
440000,广东省,2019,72094,388267,,41430,127911,524,,88171,
440000,广东省,2018,59100,397895,,42287,132231,450,,109102,
440000,广东省,2017,60902,397181,,49000,134402,248,64610,97821,
440000,广东省,2016,61613,393904,,50296,129470,250,54347,93163,
440000,广东省,2015,60949,385321,,51963,114637,287,56017,126622,
440000,广东省,2014,62602,383629,,60873,108539,270,56691,147963,
440000,广东省,2013,27452,380485,,60106,109755,319,54503,167041,
440000,广东省,2012,64067,301012,,67255,49202,251,25672,83968,
440000,广东省,2011,59636,186881,150678,62566,41449,184,36696,58108,120795
440000,广东省,2010,60660,171423,128174,72695,44182,176,28095,35608,108204
440000,广东省,2009,58741,158214,113147,76755,41861,176,27468,36328,110581
440000,广东省,2008,46922,141857,88718,73947,41470,161,26586,33242,101589
440000,广东省,2007,51012,136423,87408,76179,37826,163,26611,36931,94375
440000,广东省,2006,53057,128693,87894,78156,36760,165,26239,36132,94211
440000,广东省,2005,54457,124259,91116,78696,28920,136,26653,36594,94445
440000,广东省,2004,57277,117358,81807,80270,24508,317,24646,36977,95628
440000,广东省,2003,58822,114582,74754,87837,21712,315,15353,37082,93527
440000,广东省,2002,56529,62231,,42444,14060,151,,,
440000,广东省,2001,54812,62115,,47445,12564,148,,,
440000,广东省,2000,59000,63000,,54000,12000,,,,
450000,广西壮族自治区,2019,66436,66832,,4385,8631,,,28730,
450000,广西壮族自治区,2018,63674,67507,,5204,8692,,,28399,
450000,广西壮族自治区,2017,64366,69308,,6096,8238,,9662,27790,
450000,广西壮族自治区,2016,64134,75405,,7179,7757,,9649,25013,
450000,广西壮族自治区,2015,62758,78600,,7150,9496,35,13238,23579,
450000,广西壮族自治区,2014,65814,79232,,10777,9416,,13896,23903,
450000,广西壮族自治区,2013,66108,82659,,10430,5229,72,14361,27251,
450000,广西壮族自治区,2012,56860,77093,,12972,6173,92,7657,18579,
450000,广西壮族自治区,2011,54533,58675,15021,16797,6057,,7764,19998,40989
450000,广西壮族自治区,2010,53163,59559,16264,16439,4140,,7972,16810,34864
450000,广西壮族自治区,2009,49699,61968,16635,15893,3716,,6252,15659,34265
450000,广西壮族自治区,2008,43357,61030,15291,15999,3568,61,4242,12794,26786
450000,广西壮族自治区,2007,44833,63006,16359,16011,3620,,6462,13980,27546
450000,广西壮族自治区,2006,45537,56805,16018,19532,3422,,5917,11917,27365
450000,广西壮族自治区,2005,46222,53587,15427,19323,3509,,9154,12458,25022
450000,广西壮族自治区,2004,44589,54297,13649,18847,3683,,7566,10957,23117
450000,广西壮族自治区,2003,46504,53611,11964,19525,3219,,9292,10151,21362
450000,广西壮族自治区,2002,46402,28860,,8261,646,8675,,,
450000,广西壮族自治区,2001,46916,31608,,8971,1893,148,,,
450000,广西壮族自治区,2000,50000,31000,,10000,2000,,,,
460000,海南省,2019,6485,19442,,6083,24943,28,,10463,
460000,海南省,2018,6361,23993,,6329,25408,28,,9606,
460000,海南省,2017,6444,22582,,5674,21736,28,4633,8937,
460000,海南省,2016,6224,21705,,6257,22461,28,4551,7968,
460000,海南省,2015,5672,19668,,6454,20715,28,4852,7329,
