省份编码,省份,年份,新注册民用汽车拥有量(万辆),新注册民用载客汽车拥有量(万辆),新注册民用大型载客汽车拥有量(万辆),新注册民用中型载客汽车拥有量(万辆),新注册民用小型载客汽车拥有量(万辆),新注册民用微型载客汽车拥有量(万辆),新注册民用载货汽车拥有量(万辆),新注册民用重型载货汽车拥有量(万辆),新注册民用中型载货汽车拥有量(万辆),新注册民用轻型载货汽车拥有量(万辆),新注册民用微型载货汽车拥有量(万辆),新注册民用其他汽车拥有量(万辆)
130000,河北省,2002,48.9563,28.4144,1.0526,0.5034,18.7648,8.0936,18.9171,6.6435,2.4094,8.7989,1.0653,1.6248
130000,河北省,2001,,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,,
140000,山西省,2019,63.88,51.6754,0.2807,0.0796,51.2778,0.0373,11.7805,5.8026,0.0934,5.8842,0.0003,0.4241
140000,山西省,2018,66.4948,56.0538,0.2967,0.0658,55.5546,0.1367,10.1301,5.2712,0.0473,4.8113,0.0003,0.3109
140000,山西省,2017,73.6892,62.632,0.4991,0.0669,61.8171,0.2489,10.8473,5.5738,0.2595,5.0139,0.0001,0.2099
140000,山西省,2016,69.1635,61.7665,0.5831,0.068,60.7038,0.4116,7.2588,3.7354,0.0584,3.4646,0.0004,0.1382
140000,山西省,2015,60.2358,55.0473,0.2771,0.1087,54.2404,0.4211,5.0693,1.9677,0.0552,3.0463,0.0001,0.1192
140000,山西省,2014,58.415,52.0937,0.272,0.1275,51.0866,0.6076,6.1463,2.3373,0.0796,3.7293,0.0001,0.175
140000,山西省,2013,59.0604,51.8234,0.3511,0.1546,50.618,0.6997,7.009,2.6754,0.1008,4.2318,0.001,0.228
140000,山西省,2012,56.6133,49.3403,0.4484,0.1715,47.5347,1.1857,6.9818,2.6198,0.1314,4.2236,0.007,0.2912
140000,山西省,2011,51.6291,43.1586,0.4174,0.1823,41.2244,1.3345,8.1633,3.8673,0.1516,4.1365,0.0079,0.3072
140000,山西省,2010,47.7054,37.3873,0.2851,0.1563,35.313,1.6329,10.054,5.4566,0.2748,4.3026,0.02,0.2641
140000,山西省,2009,37.1059,30.4443,0.2,0.1161,28.0565,2.0717,6.4367,2.4465,0.2788,3.6711,0.0403,0.2249
140000,山西省,2008,32.8673,25.2328,0.2145,0.1326,23.3593,1.5264,6.0336,2.6177,0.6299,2.6244,0.1616,1.6009
140000,山西省,2007,22.1225,17.7491,0.2006,0.1662,16.4154,0.9669,3.7172,1.0562,0.651,1.9656,0.0444,0.6562
140000,山西省,2006,18.8309,15.3559,0.2004,0.1904,13.8996,1.0655,3.1784,0.6819,0.4371,1.8858,0.1736,0.2966
140000,山西省,2005,17.8795,14.4871,0.1931,0.2422,12.6507,1.4011,3.2192,0.5674,0.4427,2.0196,0.1895,0.1732
140000,山西省,2004,15.4637,10.4714,0.209,0.3022,8.1138,1.8464,4.6591,1.9248,0.7775,1.7089,0.2479,0.3332
140000,山西省,2003,20.0825,12.736,0.2932,0.5215,8.3403,3.581,7.0296,1.6343,2.0736,2.6886,0.6331,0.3169
140000,山西省,2002,9.3243,5.4434,0.1443,0.1967,2.9124,2.19,3.6558,1.1567,0.9541,1.2588,0.2862,0.2251
140000,山西省,2001,,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,,
150000,内蒙古自治区,2019,38.2731,32.0919,0.1863,0.0401,31.8528,0.0127,5.9267,1.3399,0.0522,4.5332,0.0014,0.2545
150000,内蒙古自治区,2018,42.6794,37.2085,0.2212,0.0458,36.8925,0.049,5.2612,1.2342,0.0384,3.9875,0.0011,0.2097
150000,内蒙古自治区,2017,53.4088,47.4792,0.3053,0.058,47.024,0.0919,5.7304,1.5128,0.2361,3.9814,0.0001,0.1992
150000,内蒙古自治区,2016,46.7746,42.6252,0.2427,0.0616,42.2117,0.1092,3.9852,0.5914,0.0625,3.3313,,0.1642
150000,内蒙古自治区,2015,39.5279,36.5614,0.1588,0.0748,36.1901,0.1377,2.8686,0.3117,0.0408,2.5161,,0.0979
150000,内蒙古自治区,2014,40.447,36.2041,0.2229,0.0769,35.6867,0.2176,4.1135,0.664,0.0824,3.3671,,0.1294
150000,内蒙古自治区,2013,43.3257,38.0093,0.3164,0.0777,37.3408,0.2744,5.1275,1.069,0.1015,3.9569,0.0001,0.1889
150000,内蒙古自治区,2012,45.4619,39.0983,0.3294,0.0918,38.3159,0.3612,6.0878,1.4764,0.1218,4.4863,0.0033,0.2758
150000,内蒙古自治区,2011,46.3634,38.3335,0.309,0.1109,37.2535,0.6601,7.5904,2.7739,0.1668,4.633,0.0167,0.4395
150000,内蒙古自治区,2010,39.8478,31.3464,0.2527,0.0907,30.2596,0.7434,8.1041,3.4941,0.2142,4.3734,0.0224,0.3973
150000,内蒙古自治区,2009,29.7461,24.3774,0.2542,0.0716,23.4252,0.6264,5.1839,1.5914,0.2,3.3858,0.0067,0.1848
150000,内蒙古自治区,2008,21.4529,16.0052,0.2801,0.0992,15.2275,0.3984,4.1479,1.5255,0.2214,2.3589,0.0421,1.2998
150000,内蒙古自治区,2007,5.9035,4.4065,0.0663,0.0353,4.1649,0.14,1.26,0.4588,0.0717,0.7062,0.0233,0.237
150000,内蒙古自治区,2006,2.4006,1.6647,0.0292,0.0163,1.5711,0.0481,0.5087,0.2337,0.0333,0.2291,0.0126,0.2272
150000,内蒙古自治区,2005,11.2964,7.8522,0.1507,0.0885,7.0253,0.5877,2.7302,1.2168,0.2684,0.5012,0.7438,0.714
150000,内蒙古自治区,2004,9.9888,5.1548,0.1536,0.1192,4.189,0.693,3.8219,2.5636,0.2446,0.933,0.0807,1.0121
150000,内蒙古自治区,2003,5.4734,3.8337,0.0975,0.1047,2.6656,0.9659,1.4688,0.6352,0.2062,0.5709,0.0565,0.1709
150000,内蒙古自治区,2002,4.9749,2.5087,0.1119,0.0941,1.3743,0.9284,2.3425,1.0155,0.4246,0.8135,0.0889,0.1237
150000,内蒙古自治区,2001,,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,,
210000,辽宁省,2019,57.8507,50.5767,0.3265,0.0761,50.1583,0.0158,6.993,2.7878,0.1375,4.0677,,0.281
210000,辽宁省,2018,63.2638,56.6363,0.3598,0.1101,56.1299,0.0365,6.3574,2.4441,0.1634,3.7499,,0.2701
210000,辽宁省,2017,73.9376,65.4997,0.8217,0.1389,64.493,0.0461,8.1973,3.5275,0.2341,4.4357,,0.2406
210000,辽宁省,2016,76.4999,69.6611,0.6988,0.1694,68.7235,0.0694,6.6475,2.2078,0.225,4.2145,0.0002,0.1913
210000,辽宁省,2015,67.3188,62.6409,0.7193,0.1415,61.6561,0.124,4.519,1.1709,0.1762,3.1716,0.0003,0.1589
210000,辽宁省,2014,50.1724,44.1182,0.4829,0.1387,43.3192,0.1774,5.8743,1.7796,0.2683,3.8262,0.0002,0.1799
210000,辽宁省,2013,63.4207,54.834,0.8661,0.2364,53.3848,0.3467,8.3032,2.2832,0.4286,5.5906,0.0008,0.2835
210000,辽宁省,2012,44.7773,37.3918,0.6234,0.2167,36.2665,0.2852,7.1359,1.9945,0.4463,4.6926,0.0025,0.2496
210000,辽宁省,2011,60.9866,50.2539,0.6947,0.3483,48.6013,0.6096,10.3132,3.3716,0.5427,6.3918,0.0071,0.4195
210000,辽宁省,2010,54.5807,42.3135,0.6115,0.388,40.5856,0.7284,11.8568,3.569,0.6977,7.5772,0.0129,0.4104
210000,辽宁省,2009,42.5028,33.1244,0.527,0.3521,31.8686,0.3767,9.133,1.8559,0.6789,6.5917,0.0065,0.2454
210000,辽宁省,2008,18.6477,14.4877,0.3499,0.2217,13.7904,0.1257,3.36,0.6948,0.2725,2.3736,0.0191,0.8
210000,辽宁省,2007,16.8834,13.1082,0.3566,0.2706,12.3507,0.1303,3.2181,0.7612,0.3555,2.0451,0.0563,0.5571
210000,辽宁省,2006,18.0106,14.2991,0.4138,0.3867,13.2324,0.2662,3.3864,0.6403,0.3105,2.3847,0.0509,0.3251
210000,辽宁省,2005,17.9705,14.0576,0.3662,0.4418,12.7558,0.4938,3.5499,0.6468,0.3414,2.4724,0.0893,0.363
210000,辽宁省,2004,15.7413,11.9168,0.3421,0.6373,10.4815,0.4559,3.3928,1.0043,0.3764,1.9179,0.0942,0.4317
210000,辽宁省,2003,12.2268,9.3139,0.3463,0.7466,7.4108,0.8102,2.6452,0.5978,0.9296,0.8893,0.2285,0.2677
210000,辽宁省,2002,8.8901,6.5677,0.3468,0.5287,4.696,0.9962,2.0748,0.4134,0.2912,1.1954,0.1748,0.2476
210000,辽宁省,2001,,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,,
220000,吉林省,2019,32.2328,28.3522,0.2472,0.0439,28.0566,0.0045,3.6828,1.0828,0.0541,2.5458,0.0001,0.1978
220000,吉林省,2018,34.6739,30.1993,0.2633,0.0445,29.8785,0.013,4.2428,1.7049,0.0524,2.4852,0.0003,0.2318
220000,吉林省,2017,44.0605,39.2182,0.3397,0.0601,38.7941,0.0243,4.665,1.7676,0.0635,2.8338,0.0001,0.1773
220000,吉林省,2016,42.8903,39.3831,0.3627,0.0854,38.8765,0.0585,3.3552,0.9995,0.0541,2.3013,0.0003,0.152
220000,吉林省,2015,39.2291,36.4273,0.2475,0.0916,36.0031,0.0851,2.6672,0.5918,0.0469,2.0282,0.0003,0.1346
220000,吉林省,2014,38.7872,34.3813,0.3397,0.1065,33.8402,0.0949,4.2984,1.1471,0.1183,3.033,,0.1075
220000,吉林省,2013,35.2333,30.3426,0.4146,0.148,29.6362,0.1438,4.7472,1.4372,0.1608,3.1492,,0.1435
220000,吉林省,2012,32.4849,27.9711,0.5656,0.1655,27.0018,0.2382,4.3587,1.1924,0.136,3.0276,0.0027,0.1551
220000,吉林省,2011,31.0168,25.788,0.4323,0.1469,24.8391,0.3697,4.9805,1.6297,0.299,3.0442,0.0076,0.2483
220000,吉林省,2010,30.9763,24.852,0.3639,0.1494,23.8474,0.4913,5.9367,2.0679,0.5013,3.3627,0.0048,0.1876
220000,吉林省,2009,24.8771,20.1639,0.3107,0.1226,19.2457,0.4849,4.592,1.1621,0.5771,2.8457,0.0071,0.1212
220000,吉林省,2008,8.515,6.9712,0.1547,0.082,6.4219,0.3126,1.2938,0.2244,0.1333,0.9085,0.0276,0.25
220000,吉林省,2007,11.8615,9.7652,0.1974,0.1361,8.9448,0.4869,1.7186,0.3295,0.2621,1.0913,0.0357,0.3777
220000,吉林省,2006,10.5765,8.9676,0.1936,0.1215,7.9244,0.7281,1.2459,0.3052,0.1157,0.7734,0.0516,0.363
220000,吉林省,2005,9.0881,7.7769,0.2037,0.1232,6.6353,0.8147,1.1886,0.2147,0.1598,0.7452,0.0689,0.1226
220000,吉林省,2004,7.3244,5.903,0.253,0.1659,3.9437,1.5404,1.2412,0.3272,0.1885,0.6435,0.082,0.1802
220000,吉林省,2003,5.7566,4.6286,0.1807,0.1617,3.3519,0.9343,0.9888,0.2144,0.1825,0.5307,0.0612,0.1392
220000,吉林省,2002,4.6229,3.6047,0.147,0.2015,2.122,1.1342,0.9819,0.1393,0.1672,0.5684,0.107,0.0363
220000,吉林省,2001,,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,,
230000,黑龙江省,2019,37.1713,32.0713,0.3495,0.0479,31.6679,0.006,4.8881,1.5027,0.0815,3.3039,,0.2119
230000,黑龙江省,2018,41.4445,36.4621,0.4796,0.0904,35.8769,0.0152,4.7667,1.418,0.1138,3.2349,,0.2157
230000,黑龙江省,2017,49.7943,43.6207,0.5337,0.0811,42.9898,0.0161,6.0062,2.2518,0.1611,3.5933,,0.1674
230000,黑龙江省,2016,50.1015,44.8751,0.3739,0.1332,44.337,0.031,5.0337,1.1645,0.1775,3.6916,0.0001,0.1927
230000,黑龙江省,2015,42.2355,38.0193,0.3861,0.1598,37.4211,0.0523,4.0565,0.8047,0.1478,3.1039,0.0001,0.1597
230000,黑龙江省,2014,39.3088,35.358,0.4658,0.1193,34.6908,0.0821,3.8146,0.6374,0.3283,2.8489,,0.1362
230000,黑龙江省,2013,37.3898,31.5841,0.5354,0.182,30.7728,0.0939,5.6135,1.2595,0.3451,4.0089,,0.1922
230000,黑龙江省,2012,35.5835,29.3793,0.5224,0.1775,28.5528,0.1266,5.9448,1.3938,0.359,4.1892,0.0028,0.2594
230000,黑龙江省,2011,36.7182,29.1175,0.5383,0.2151,28.0819,0.2822,7.2711,2.4816,0.5646,4.2182,0.0067,0.3296
230000,黑龙江省,2010,36.3133,27.4432,0.5159,0.2106,26.1103,0.6064,8.5893,2.7712,0.8701,4.9384,0.0096,0.2808
230000,黑龙江省,2009,33.6609,25.8917,0.427,0.205,24.7502,0.5095,7.5768,1.7998,1.2186,4.5489,0.0095,0.1924
230000,黑龙江省,2008,18.1002,14.1861,0.3204,0.1552,13.4736,0.2369,3.0476,0.4266,0.5829,1.9985,0.0396,0.8665
230000,黑龙江省,2007,2.4069,1.7798,0.059,0.0297,1.6262,0.0649,0.4894,0.0841,0.1099,0.2819,0.0135,0.1377
230000,黑龙江省,2006,11.7365,9.5294,0.2938,0.1559,8.6709,0.4088,1.9007,0.3129,0.2188,1.3069,0.0621,0.3064
230000,黑龙江省,2005,9.1195,7.2552,0.2711,0.1897,6.4561,0.3383,1.6772,0.2867,0.1812,1.1297,0.0796,0.1871
230000,黑龙江省,2004,8.1143,6.1256,0.2772,0.2066,4.7893,0.8525,1.7038,0.4711,0.2009,0.8697,0.1621,0.2849
230000,黑龙江省,2003,7.0235,4.5641,0.2522,0.2023,3.2869,0.8227,1.957,0.7416,0.3002,0.7692,0.146,0.5024
230000,黑龙江省,2002,5.2655,2.9319,0.1445,0.1257,1.2669,1.3948,1.8616,0.8147,0.2571,0.6266,0.1632,0.472
230000,黑龙江省,2001,,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,,
310000,上海市,2019,46.7437,43.5515,0.3497,0.0981,43.0644,0.0393,2.9539,1.9662,0.2824,0.7053,,0.2383
310000,上海市,2018,50.3658,46.7164,0.3838,0.1203,46.1458,0.0665,3.4041,2.2187,0.2026,0.9828,,0.2453
310000,上海市,2017,53.677,48.7588,0.5871,0.137,47.9259,0.1088,4.6554,2.9062,0.3882,1.361,,0.2628
310000,上海市,2016,54.7912,50.6874,0.645,0.1822,49.8036,0.0566,3.2604,1.7214,0.4667,1.0723,,0.8434
310000,上海市,2015,44.9341,41.2236,0.6084,0.21,40.3587,0.0465,3.0554,1.4682,0.442,1.1451,0.0001,0.6551
310000,上海市,2014,37.1994,32.0434,0.7717,0.3474,30.8765,0.0478,3.2513,1.5129,0.5663,1.1721,,1.9047
310000,上海市,2013,34.9923,30.3841,0.4677,0.2629,29.5822,0.0713,3.6186,1.7291,0.808,1.0815,,0.9896
310000,上海市,2012,32.9988,30.3252,0.359,0.2667,29.6076,0.0919,2.2623,1.0723,0.5473,0.6427,,0.4113
310000,上海市,2011,31.106,28.1002,0.367,0.2998,27.2528,0.1806,2.3053,1.0729,0.5518,0.6806,,0.7005
310000,上海市,2010,34.5693,31.2169,0.6533,0.3798,29.8781,0.3057,2.5609,1.119,0.6668,0.7751,,0.7915
310000,上海市,2009,22.4996,20.994,0.5666,0.3065,19.9658,0.1551,1.5056,0.4812,0.3999,0.6245,,
310000,上海市,2008,18.5955,17.3366,0.3914,0.3016,16.587,0.0566,1.2589,0.2371,0.3123,0.7087,0.0008,
310000,上海市,2007,20.0732,18.2252,0.5374,0.536,17.1044,0.0474,1.848,0.2821,0.6059,0.9563,0.0037,
310000,上海市,2006,20.5156,18.4239,0.6505,0.8187,16.8554,0.0993,2.0917,0.2361,0.6682,1.1811,0.0063,0.0
310000,上海市,2005,16.9715,15.0646,0.4745,0.9773,13.4182,0.1946,1.9069,0.1706,0.669,1.0456,0.0217,0.0
310000,上海市,2004,15.6909,13.3337,0.4132,1.1344,11.629,0.1571,2.3572,0.1835,1.0019,1.1493,0.0225,
310000,上海市,2003,13.8079,11.715,0.4509,1.1984,9.9812,0.0845,2.0929,0.1137,1.0054,0.9347,0.0391,
310000,上海市,2002,11.054,9.1804,0.3789,1.243,7.3023,0.2562,1.8736,0.104,0.944,0.7801,0.0455,
310000,上海市,2001,,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,,
320000,江苏省,2019,195.3759,177.3998,0.816,0.1589,176.2302,0.1947,16.6244,6.8137,0.6686,9.1414,0.0007,1.3517
320000,江苏省,2018,205.1374,189.1811,1.0002,0.1758,187.2303,0.7748,14.7481,5.5584,0.5452,8.6443,0.0002,1.2082
320000,江苏省,2017,218.3613,202.825,0.9837,0.2275,201.0195,0.5943,14.6891,5.9989,0.9223,7.7674,0.0005,0.8472
320000,江苏省,2016,221.6585,206.2362,1.7852,0.3111,203.73,0.4099,14.7474,5.8366,1.6296,7.2807,0.0005,0.6749
320000,江苏省,2015,185.1835,176.0656,1.7035,0.2766,173.6852,0.4003,8.6288,3.0109,0.856,4.7614,0.0005,0.4891
320000,江苏省,2014,177.5304,166.5992,1.2264,0.3527,164.4654,0.5547,10.2426,3.8434,0.9736,5.4255,0.0001,0.6886
320000,江苏省,2013,156.8341,144.861,1.0638,0.392,142.833,0.5722,11.2613,4.559,1.1329,5.5691,0.0003,0.7118
320000,江苏省,2012,137.4738,126.9666,0.9969,0.405,124.6713,0.8934,9.8765,3.5586,1.1104,5.2069,0.0006,0.6307
320000,江苏省,2011,131.1206,118.7725,1.1616,0.4887,115.7369,1.3853,11.6062,5.0109,1.371,5.2191,0.0052,0.7419
320000,江苏省,2010,122.2552,108.5981,1.236,0.4838,105.3775,1.5008,12.2918,4.4562,1.7733,6.0461,0.0162,1.3653
320000,江苏省,2009,86.3865,78.1324,0.904,0.3565,75.8106,1.0613,8.0866,2.5444,1.3094,4.2111,0.0217,0.1675
320000,江苏省,2008,56.1834,50.295,0.9405,0.3385,48.5202,0.4958,4.6183,1.0681,0.9044,2.623,0.0228,1.2701
320000,江苏省,2007,56.0286,49.5968,0.896,0.5765,47.6277,0.4966,4.9764,1.3454,1.0483,2.534,0.0487,1.4554
320000,江苏省,2006,47.8682,42.5631,0.6605,0.6482,40.5048,0.7496,4.3569,0.9975,0.9461,2.3573,0.056,0.9482
320000,江苏省,2005,38.162,33.4787,0.6075,0.8133,31.1244,0.9335,3.9968,0.6093,0.9988,2.3255,0.0632,0.6865
320000,江苏省,2004,33.6725,27.4015,0.5832,1.1129,24.6195,1.0859,5.1204,0.8085,1.6376,2.6068,0.0675,1.1506
320000,江苏省,2003,28.6603,22.2633,0.5592,1.156,18.0651,2.483,5.6238,0.6822,2.1145,2.7112,0.1159,0.7732
320000,江苏省,2002,19.191,14.1059,0.6364,1.0957,9.0134,3.3604,4.6715,0.6195,1.8288,2.0476,0.1756,0.4136
320000,江苏省,2001,,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,,
330000,浙江省,2019,169.6149,149.185,0.7938,0.1867,148.0408,0.1637,19.4305,4.8916,0.3452,14.1927,0.001,0.9994
330000,浙江省,2018,171.2563,152.8157,0.7855,0.2061,150.9916,0.8325,17.7207,3.9189,0.2458,13.5559,0.0001,0.7199
330000,浙江省,2017,170.1388,153.4131,0.7309,0.166,151.3935,1.1227,16.1645,3.581,0.2836,12.2991,0.0008,0.5612
330000,浙江省,2016,161.9078,148.2573,0.7456,0.2558,146.822,0.4339,13.167,2.3617,0.3267,10.4784,0.0002,0.4835
330000,浙江省,2015,150.9927,136.0061,1.0634,0.4601,133.3985,1.0841,14.5743,2.429,0.4924,11.6464,0.0065,0.4123
330000,浙江省,2014,147.4927,131.9429,0.6696,0.3609,130.0453,0.8671,15.1889,2.2281,0.5001,12.4303,0.0304,0.3609
330000,浙江省,2013,140.9464,127.2408,0.8079,0.311,125.4725,0.6494,13.3565,2.3565,0.4563,10.534,0.0097,0.3491
330000,浙江省,2012,127.704,115.3954,0.8208,0.285,113.4483,0.8413,11.9213,1.5374,0.4175,9.9367,0.0297,0.3873
