省份编码,省份,年份,固定长途电话交换机容量(万路端),局用交换机容量(万门),移动电话交换机容量(万户),光缆线路长度(公里),长途光缆线路长度(万公里)
130000,河北省,2018,11.28,891.91,14637,2119472.28,3.510241
130000,河北省,2017,25.438,1016.5751,13981,1714466.33,3.818821
130000,河北省,2016,25.438,1219.37,11930.66,1179975.77,3.696991
130000,河北省,2015,26.95,1125.64,11781.66,1031585.92,3.6794
130000,河北省,2014,31.816,1511.37,11550.66,878407.15,3.573621
130000,河北省,2013,31.777,1567.1,11258.8,808204.9,3.53308
130000,河北省,2012,31.147,1756.9843,11205.22,647544.24,3.427969
130000,河北省,2011,34.299,1405.5,9435,524775.5,3.18823
130000,河北省,2010,34.299,1739.7,8080,,3.0471
130000,河北省,2009,34.299,2050.1,7843,,2.9925
130000,河北省,2008,64.49,2121.4,5851,,2.741
130000,河北省,2007,48.494,2105.1,3952.5,,2.123
130000,河北省,2006,48.434,2263.4,2777.8,,2.06644
130000,河北省,2005,43.463,2159.0,2041.5,,1.837
130000,河北省,2004,42.278,2067.7,1728,,1.8002
130000,河北省,2003,22.1375,1730.5,1350,,1.3889
130000,河北省,2002,22.2877,1387.8,1055.5,,1.1277
130000,河北省,2001,20.3027,1016.6382,830.8,,0.99639
130000,河北省,2000,,,,,
140000,山西省,2019,11.592,254.2862,7359.2,1278772.4,3.107877
140000,山西省,2018,17.613,267.58,6090.83,1194827.86,3.006015
140000,山西省,2017,21.519,432.0425,5562.5,1069757.59,3.243956
140000,山西省,2016,21.519,470.78,5096.49,904757.68,3.162893
140000,山西省,2015,30.237,542.55,5021.16,765678.94,3.0891
140000,山西省,2014,30.237,890.74,5021.16,677418.78,2.980911
140000,山西省,2013,30.237,967.8,5255.8,599864.7,3.60847
140000,山西省,2012,30.6834,1070.3246,4648.9,599659.05,2.782605
140000,山西省,2011,30.6834,957.2,4477.2,570035.5,2.75955
140000,山西省,2010,32.2104,1009.3,3772.5,,2.7681
140000,山西省,2009,32.2104,1069.6,4223.5,,2.6096
140000,山西省,2008,22.8184,1072.7,2363.9,,2.6111
140000,山西省,2007,27.7084,1241.6,1867.4,,2.2941
140000,山西省,2006,29.1004,1211.7,1457.3,,2.254404
140000,山西省,2005,28.951,1122.3,1088.2,,2.130044
140000,山西省,2004,25.678,957.0,942.4,,2.0085
140000,山西省,2003,14.2841,792.5,698.2,,1.6624
140000,山西省,2002,13.9795,646.9,527.7,,1.6733
140000,山西省,2001,15.913,410.0805,399,,1.47327
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,,176.033,6136.3,1309859.3,7.642891
150000,内蒙古自治区,2018,,181.45,5969,876328.05,7.510927
150000,内蒙古自治区,2017,4.5924,238.091,6083.3,985570.99,7.78646
150000,内蒙古自治区,2016,10.0809,327.35,6294.1,586203.2,7.748304
150000,内蒙古自治区,2015,12.7944,385.67,6257.3,465965.95,7.149
150000,内蒙古自治区,2014,21.2004,541.28,5885.3,399841.3,6.674425
150000,内蒙古自治区,2013,21.1164,833.0,6136.3,352845.1,5.77601
150000,内蒙古自治区,2012,20.2524,863.5286,5148.3029,322218.61,5.693661
150000,内蒙古自治区,2011,20.2524,675.5,4200.1,278664.4,5.60764
150000,内蒙古自治区,2010,20.2524,711.4,3565.4,,4.6831
150000,内蒙古自治区,2009,24.8814,713.8,4122,,4.2626
150000,内蒙古自治区,2008,34.4765,719.1,2673,,3.9278
150000,内蒙古自治区,2007,24.8369,722.8,2013,,3.3896
150000,内蒙古自治区,2006,25.6984,849.2,1223.6,,3.481843
150000,内蒙古自治区,2005,25.5214,780.9,773.7,,3.308886
150000,内蒙古自治区,2004,25.3744,722.4,677.8,,3.1114
150000,内蒙古自治区,2003,14.69,624.8,545.4,,2.844
150000,内蒙古自治区,2002,13.206,523.2,495.4,,2.4989
150000,内蒙古自治区,2001,11.561,320.1785,398.6,,1.72228
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,,373.8545,6499.17,1499785.84,2.325578
210000,辽宁省,2018,11.28,429.36,6499.17,1354702.85,2.1866
210000,辽宁省,2017,23.3606,1030.4522,6499.17,1174385.38,2.495771
210000,辽宁省,2016,23.3606,1310.95,6775.17,1035313.88,2.411364
210000,辽宁省,2015,48.5698,1627.38,13111.17,770702.28,2.4636
210000,辽宁省,2014,48.5698,2081.31,6406.17,634591.58,2.458271
210000,辽宁省,2013,48.6698,2041.5,6258.7,522756.7,2.45077
210000,辽宁省,2012,50.7645,2090.8184,6229.8238,442167.77,2.460377
210000,辽宁省,2011,43.3175,1857.8,6185.8,400975.4,2.50354
210000,辽宁省,2010,43.3175,1953.4,5425,,2.3922
210000,辽宁省,2009,48.8583,2108.0,4449.8,,2.3997
210000,辽宁省,2008,50.1319,2085.6,3600.5,,2.5489
210000,辽宁省,2007,60.6679,1997.7,2727,,2.0622
210000,辽宁省,2006,63.2787,2155.2,2286.6,,2.070885
210000,辽宁省,2005,67.881,2022.8,1811.7,,1.972415
210000,辽宁省,2004,58.545,1909.4,1613.2,,1.8356
210000,辽宁省,2003,30.9628,1707.7,1366.8,,1.5285
210000,辽宁省,2002,30.4848,1278.3,1138.2,,1.3624
210000,辽宁省,2001,32.5074,945.0155,920.21,,1.01076
210000,辽宁省,2000,,,,,
220000,吉林省,2019,10.257,244.8526,5244,791001.83,2.639468
220000,吉林省,2018,10.257,255.95,5244,872629.18,3.374697
220000,吉林省,2017,8.6288,413.3966,5103.5,429755.0,2.3444
220000,吉林省,2016,8.6288,485.18,3851.5,411279.0,2.3397
220000,吉林省,2015,8.6288,554.78,3731,394073.0,2.3877
220000,吉林省,2014,8.619,886.59,3895,310694.05,2.35436
220000,吉林省,2013,22.4357,877.6,3814,265265.1,2.34308
220000,吉林省,2012,22.5353,918.46,3751,243389.09,2.270435
220000,吉林省,2011,22.5353,793.4,3550,217792.5,2.18435
220000,吉林省,2010,28.6713,833.1,3340,,2.181
220000,吉林省,2009,27.6018,857.1,3103,,2.0161
220000,吉林省,2008,26.4978,893.6,2253.7,,2.0461
220000,吉林省,2007,25.4226,1075.9,1958,,1.6584
220000,吉林省,2006,28.6626,1141.6,1384.3,,1.661208
220000,吉林省,2005,29.2956,1082.4,1027.3,,1.6757
220000,吉林省,2004,23.8747,1035.9,863.1,,1.5902
220000,吉林省,2003,12.3014,870.1,767.1,,1.4635
220000,吉林省,2002,20.8772,712.3,664.4,,1.3289
220000,吉林省,2001,19.3393,565.25,473,,1.2658
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,,535.3979,9079.36,1274097.93,5.01842
230000,黑龙江省,2018,23.4684,608.88,9067.36,1063840.16,5.024228
230000,黑龙江省,2017,26.2137,4525.2826,8850.8594,1083490.0,5.38
230000,黑龙江省,2016,27.8454,4899.88,8546.86,615654.0,5.0222
230000,黑龙江省,2015,35.9997,1069.96,7318.7,550690.0,4.6513
230000,黑龙江省,2014,35.9997,7401.83,7185.2,498302.82,4.561943
230000,黑龙江省,2013,41.1477,1344.5,5388.7,434222.8,4.51938
230000,黑龙江省,2012,41.1477,1364.7626,5010.755,398742.51,4.053775
230000,黑龙江省,2011,46.5117,1230.5,4976.2,346874.4,4.01123
230000,黑龙江省,2010,48.9057,1317.8,4493.1,,3.9785
230000,黑龙江省,2009,48.2924,1384.2,4229.6,,4.1304
230000,黑龙江省,2008,41.0872,1397.5,3223.7,,4.0483
230000,黑龙江省,2007,31.9717,1537.9,2256.9,,3.5639
230000,黑龙江省,2006,31.9717,1541.4,1629.3,,3.57637
230000,黑龙江省,2005,31.9807,1495.3,1304.5,,3.57348
230000,黑龙江省,2004,37.322,1402.9,1145.5,,3.412
230000,黑龙江省,2003,22.3384,1177.7,1037.8,,3.0256
230000,黑龙江省,2002,26.2176,852.5,942,,2.9761
230000,黑龙江省,2001,18.3637,717.8442,560.6,,2.65642
230000,黑龙江省,2000,,,,,
310000,上海市,2019,35.784,168.0456,6548,672080.16,0.420522
310000,上海市,2018,35.784,480.06,6548,617610.83,0.402406
310000,上海市,2017,46.3517,550.6976,5044,582873.96,0.533096
310000,上海市,2016,46.3517,991.0,4424,532551.25,0.55648
310000,上海市,2015,71.6262,1200.46,4424,475024.56,0.5142
310000,上海市,2014,71.6262,1274.51,4228,407677.95,0.509792
310000,上海市,2013,74.1942,1360.4,3923,317955.7,0.36637
310000,上海市,2012,73.9677,1380.5155,3973,266173.46,0.475751
310000,上海市,2011,79.0527,1328.0,3978,202043.4,0.4729
310000,上海市,2010,73.0407,1338.6,3995,,0.467
310000,上海市,2009,67.0854,1386.9,4548,,0.4297
310000,上海市,2008,65.6887,1402.2,3370,,0.4333
310000,上海市,2007,65.6677,1454.7,2626,,0.2974
310000,上海市,2006,51.7397,1374.6,2384.1,,0.334784
310000,上海市,2005,50.6857,1356.4,1991,,0.46173
310000,上海市,2004,45.0007,1113.3,1768,,0.4525
310000,上海市,2003,23.5,872.5,1547,,0.4215
310000,上海市,2002,23.5,815.2,1375,,0.2691
310000,上海市,2001,30.746,728.2459,1111.65,,0.23473
310000,上海市,2000,,,,,
320000,江苏省,2019,,65.9376,22838.08,3679239.34,3.91072
320000,江苏省,2018,12.246,72.98,19333.74,3511780.79,3.739109
320000,江苏省,2017,21.1751,168.2022,10643.7174,3248411.28,4.311012
320000,江苏省,2016,37.5551,698.07,10863.08,2939497.74,3.90833
320000,江苏省,2015,37.5551,1758.79,10633.08,2511542.63,3.884
320000,江苏省,2014,37.5551,2784.51,10473.08,2081008.46,3.624935
320000,江苏省,2013,37.5551,3358.0,10356.5,1735687.0,2.99814
320000,江苏省,2012,109.4821,3767.9995,9665.7372,1567816.75,3.281968
320000,江苏省,2011,109.4821,4132.4,9536,1162101.2,3.28413
320000,江苏省,2010,109.6711,4288.4,8795.1,,3.3034
320000,江苏省,2009,113.2342,4465.5,7950.4,,3.2137
320000,江苏省,2008,123.2387,5507.1,6382.4,,3.1256
320000,江苏省,2007,117.8445,4693.4,5244.9,,2.9541
320000,江苏省,2006,94.0132,4578.7,4239.4,,2.777982
320000,江苏省,2005,93.0079,4187.5,3397,,2.569915
320000,江苏省,2004,80.4273,3615.7,2644.6,,2.3057
320000,江苏省,2003,51.2399,2671.8,2380.8,,1.9361
320000,江苏省,2002,48.2415,2218.6,2002.5,,1.291
320000,江苏省,2001,40.865,1759.1858,1652.4375,,1.12323
320000,江苏省,2000,,,,,
330000,浙江省,2019,,243.4209,15414.2666,3265293.21,2.658546
330000,浙江省,2018,66.7907,375.66,16201.97,3021204.53,2.676964
330000,浙江省,2017,78.363,478.7724,15234.6652,2776879.0,2.7714
330000,浙江省,2016,85.152,504.34,11698.66,2287947.0,2.6273
330000,浙江省,2015,85.152,1211.05,11423.66,2072207.0,2.63
330000,浙江省,2014,85.152,1769.85,11141.21,1656973.06,2.574444
330000,浙江省,2013,85.152,2612.8,10807.2,1156446.1,2.58007
330000,浙江省,2012,85.152,2855.4403,9871.2166,1017797.73,2.500124
330000,浙江省,2011,84.7552,2985.8,9605.2,800554.0,2.37922
330000,浙江省,2010,93.2332,3061.4,8666.2,,2.3534
330000,浙江省,2009,91.4657,3109.7,8170.7,,2.2955
330000,浙江省,2008,86.9294,3200.1,7900.6,,2.3942
330000,浙江省,2007,83.1801,3246.4,5903.1,,2.6052
330000,浙江省,2006,64.2281,3093.2,4194.1,,2.55621
330000,浙江省,2005,56.9365,2874.9,3582.2,,2.48008
330000,浙江省,2004,53.5028,2620.6,3007.3,,2.2889
330000,浙江省,2003,44.0981,2193.8,2492.3,,2.0464
330000,浙江省,2002,36.9457,1914.6,2055.5,,1.5082
330000,浙江省,2001,34.1483,1237.2174,1798.15,,1.16911
330000,浙江省,2000,,,,,
340000,安徽省,2019,,55.3379,8224.3,2252491.55,3.532971
340000,安徽省,2018,,106.92,8224.3,2161095.44,3.527527
340000,安徽省,2017,1.7639,166.6814,8563.2,1799590.59,3.88994
340000,安徽省,2016,5.367,203.06,8407.84,1360127.03,3.222151
340000,安徽省,2015,14.409,633.99,8407.84,972902.6,3.0944
340000,安徽省,2014,14.409,749.03,7561.94,817238.89,2.953679
340000,安徽省,2013,20.7736,828.0,7561.9,710744.9,2.83671
340000,安徽省,2012,73.7127,1237.9588,7479.9,607096.93,2.63329
340000,安徽省,2011,71.6918,1443.6,6912,503397.9,2.57943
340000,安徽省,2010,71.6701,1528.8,6058.6,,2.4866
340000,安徽省,2009,71.6721,1603.3,4584.5,,2.3674
340000,安徽省,2008,73.2336,1613.8,3341.6,,2.2874
340000,安徽省,2007,71.7022,1837.5,2026.4,,2.6141
340000,安徽省,2006,47.9859,1756.6,1450.6,,2.6151
340000,安徽省,2005,44.3825,1622.8,1213.94,,2.54883
340000,安徽省,2004,41.1426,1453.0,941.2,,2.4679
340000,安徽省,2003,34.9825,1272.5,827,,2.0042
340000,安徽省,2002,31.1418,972.0,731.7,,1.9062
340000,安徽省,2001,23.9393,675.0676,527.78,,1.37625
340000,安徽省,2000,,,,,
350000,福建省,2019,,89.8175,8636.8001,1556751.07,2.473303
350000,福建省,2018,,249.57,7417.6,1547783.55,2.347668
350000,福建省,2017,4.1292,280.2035,7263.6,1270629.29,2.534381
350000,福建省,2016,9.5082,399.7,7963.6,1025648.29,2.428181
350000,福建省,2015,9.5082,922.35,8203.6,831927.48,2.3278
350000,福建省,2014,9.5082,1246.71,7895,738003.12,2.247106
350000,福建省,2013,55.0731,1548.0,7726,654370.3,2.16921
350000,福建省,2012,61.2621,1641.6227,7704.6,569905.88,2.175321
350000,福建省,2011,64.9851,1747.5,7179.9,485191.1,2.16222
350000,福建省,2010,65.0271,1809.3,6282.2,,2.1061
350000,福建省,2009,65.0859,1924.7,5741.2,,1.9553
350000,福建省,2008,67.4042,1956.4,4629.1,,2.0314
350000,福建省,2007,68.9942,1968.5,3721,,1.8068
350000,福建省,2006,36.8293,1908.1,2296.2,,1.768135
350000,福建省,2005,44.8521,1795.1,1573.7,,2.485398
350000,福建省,2004,41.2449,1650.6,1370.7,,2.2659
350000,福建省,2003,31.0569,1409.1,1173.9,,1.9186
350000,福建省,2002,30.6234,1200.3,1109.1,,1.8427
350000,福建省,2001,29.7059,794.5569,956,,1.5038
350000,福建省,2000,,,,,
360000,江西省,2019,15.258,41.8807,7285.8928,1879451.11,3.153695
360000,江西省,2018,8.352,346.71,6484.89,1772864.8,2.838519
360000,江西省,2017,20.667,408.415,6125.8928,1540826.04,2.539746
360000,江西省,2016,20.748,467.45,4183.89,683454.04,2.149646
360000,江西省,2015,20.748,720.36,4085.89,593134.58,2.1115
360000,江西省,2014,20.748,708.87,4085.89,584039.34,1.999776
360000,江西省,2013,34.2237,837.5,4088.4,478612.9,1.82239
360000,江西省,2012,55.4829,852.4495,3945.8662,472608.07,2.149207
360000,江西省,2011,43.8459,851.9,3811,409803.7,2.13357
360000,江西省,2010,55.4829,1125.4,3333,,2.1201
360000,江西省,2009,54.2348,1208.5,3574.8,,2.1589
360000,江西省,2008,55.2348,1229.5,2741,,2.0819
360000,江西省,2007,52.8313,1205.1,1933.2,,2.0374
360000,江西省,2006,46.9508,1177.4,1747.2,,1.755589
360000,江西省,2005,40.0094,1096.3,951.156,,1.626039
360000,江西省,2004,30.4242,922.3,780.3,,1.4607
360000,江西省,2003,26.9847,843.4,681.3,,1.3836
360000,江西省,2002,26.3425,692.1,584.5,,1.3713
360000,江西省,2001,26.0355,486.8586,442.5,,1.13519
360000,江西省,2000,,,,,
370000,山东省,2019,,283.4987,12977.3845,2414178.07,3.804944
370000,山东省,2018,12.3988,357.16,12870.38,2340000.13,3.639977
370000,山东省,2017,19.0768,822.0311,13290.3865,2096624.77,4.0667
370000,山东省,2016,23.2143,1138.25,12667.89,1766637.86,3.9093
370000,山东省,2015,31.2543,1523.54,11970.39,1371672.41,3.6737
370000,山东省,2014,40.0775,2245.77,11824.39,999448.62,3.487264
370000,山东省,2013,45.7175,2762.8,11424.4,811453.0,3.23731
370000,山东省,2012,45.7175,3069.1404,11103.3845,649970.65,3.264065
370000,山东省,2011,45.7175,2471.4,10822.4,530305.6,3.30496
370000,山东省,2010,45.6621,2723.2,10477.7,,3.006
370000,山东省,2009,48.4801,3410.5,10538.7,,3.0067
370000,山东省,2008,48.7913,3384.6,9391.5,,2.9387
370000,山东省,2007,48.9143,3270.2,7638,,2.7906
370000,山东省,2006,60.9436,3553.9,3874.5,,2.755647
370000,山东省,2005,59.8016,3437.8,2641.078,,2.686907
370000,山东省,2004,60.8107,3226.5,2152.4,,2.1487
370000,山东省,2003,39.0687,2817.4,1814.7,,1.7715
370000,山东省,2002,50.7924,2312.5,1581,,1.9341
370000,山东省,2001,43.2387,1498.3579,1295.41,,1.31889
370000,山东省,2000,,,,,
410000,河南省,2019,,610.1281,14004.76,1761147.41,3.501702
410000,河南省,2018,,774.19,12115.5,1768718.25,3.412356
410000,河南省,2017,18.804,877.7137,12239,1751132.61,3.4589
410000,河南省,2016,18.804,901.07,12357,1738627.04,3.2533
410000,河南省,2015,32.898,1043.95,11713,1231505.25,3.3578
410000,河南省,2014,133.7449,1298.35,11097,1027113.4,3.143025
410000,河南省,2013,144.6394,1843.4,8968.1,838961.3,3.14133
410000,河南省,2012,151.1918,1804.1754,8550.4,634262.24,3.139824
410000,河南省,2011,151.0861,1857.3,8428.4,509364.2,3.05192
410000,河南省,2010,150.7479,2002.7,7948,,3.6672
410000,河南省,2009,105.8034,2312.7,7288.3,,3.6431
410000,河南省,2008,104.851,2340.6,6300.3,,3.5719
410000,河南省,2007,58.596,2437.1,4092.9,,3.0549
410000,河南省,2006,58.593,2482.1,2936.3,,2.94629
410000,河南省,2005,58.548,2266.0,2089.22,,2.87159
410000,河南省,2004,56.1162,2068.1,1679,,2.8849
410000,河南省,2003,28.083,1703.6,1184.5,,2.3198
410000,河南省,2002,28.6677,1521.2,926,,2.2985
410000,河南省,2001,27.7317,1049.7065,808,,2.11067
410000,河南省,2000,,,,,
420000,湖北省,2019,,46.6849,8712.3,1780905.28,3.080537
420000,湖北省,2018,,322.12,8502.3,1592658.85,2.9055
420000,湖北省,2017,3.5456,408.4047,8833.5,1421350.44,3.233559
420000,湖北省,2016,7.4336,491.66,8748.7,1223699.79,3.237246
420000,湖北省,2015,16.9976,920.41,8753.3,930328.61,3.1706
420000,湖北省,2014,16.9976,1196.43,8255.84,757282.14,3.034431
420000,湖北省,2013,49.0675,1483.0,7235.2,660229.3,2.81247
420000,湖北省,2012,49.0768,1571.789,6805.69,537604.3,2.768593
420000,湖北省,2011,49.0768,1575.4,6245.3,446858.4,2.71165
420000,湖北省,2010,49.2784,1690.9,5862.7,,2.7035
420000,湖北省,2009,57.763,1733.3,5296.7,,2.9242
420000,湖北省,2008,66.1855,1794.8,4296,,2.7651
420000,湖北省,2007,63.4208,1754.4,3321,,2.759
420000,湖北省,2006,46.7135,1683.9,2547.4,,2.294392
420000,湖北省,2005,46.8277,1605.5,1861.8,,2.1672
420000,湖北省,2004,42.5277,1437.2,1258.8,,2.1371
420000,湖北省,2003,24.9936,1274.6,1118.2,,1.8148
420000,湖北省,2002,26.8736,1028.8,859,,1.6205
420000,湖北省,2001,24.7999,789.5391,740,,1.44678
420000,湖北省,2000,,,,,
430000,湖南省,2019,,83.0712,10165,2030592.97,4.321879
430000,湖南省,2018,36.404,310.94,10123,2001617.23,4.179665
430000,湖南省,2017,40.967,452.9113,9803,1898039.0,4.9655
430000,湖南省,2016,40.967,477.58,7257.48,1285322.52,4.1526
430000,湖南省,2015,46.37,815.67,7276.38,1076348.9,4.0875
430000,湖南省,2014,46.37,1057.61,7266.38,935322.29,3.877815
430000,湖南省,2013,46.37,1297.0,7090.9,792941.2,3.84107
430000,湖南省,2012,50.6,1428.8404,5688.4,632815.23,3.641868
430000,湖南省,2011,50.6,1545.8,5358.9,440833.2,3.61887
430000,湖南省,2010,50.3615,1750.4,4719,,3.6189
430000,湖南省,2009,56.7148,1745.0,4392.5,,3.5218
430000,湖南省,2008,63.2645,1790.5,3635,,3.4123
430000,湖南省,2007,61.4184,1762.4,2489.5,,3.3736
430000,湖南省,2006,46.5687,1705.2,2008.1,,2.94957
430000,湖南省,2005,47.4425,1562.3,1585.87,,2.80968
430000,湖南省,2004,40.1164,1410.2,1472.7,,3.0286
430000,湖南省,2003,33.5125,1232.2,1050.8,,2.3813
430000,湖南省,2002,32.533,1060.3,839.9,,1.8595
430000,湖南省,2001,27.5478,990.1975,685,,1.64501
430000,湖南省,2000,,,,,
440000,广东省,2019,4.4994,413.4599,23803.814,2919314.73,5.826145
440000,广东省,2018,25.7964,473.81,23037.51,2588927.29,5.395455
440000,广东省,2017,50.1714,701.9413,23037.514,2408413.54,5.518772
440000,广东省,2016,58.1124,1656.82,21982.3,2101665.08,5.812025
440000,广东省,2015,64.0014,2844.7,22025.8,1645703.16,5.6136
440000,广东省,2014,64.0014,3157.57,21418.1,1345387.34,5.064952
440000,广东省,2013,108.3374,4086.5,21148.1,1200747.7,4.98902
440000,广东省,2012,258.7636,4360.5665,20392.6,1054583.47,4.906495
440000,广东省,2011,264.4348,4781.5,19076.7,888782.6,4.68128
440000,广东省,2010,269.1113,5334.4,14766.9,,4.6289
440000,广东省,2009,309.1375,5426.1,16623.9,,4.571
440000,广东省,2008,283.0552,5405.3,12833.9,,4.5508
440000,广东省,2007,276.7211,5362.5,11365.8,,4.4901
440000,广东省,2006,236.0802,4953.5,7741.8,,4.2907
440000,广东省,2005,211.1499,4778.0,7924.765,,4.2643
440000,广东省,2004,186.8339,4593.3,5870.8,,4.5807
440000,广东省,2003,141.4646,3356.5,5328.1,,4.1333
440000,广东省,2002,92.716,2617.1,3682.7,,2.9455
440000,广东省,2001,84.2185,1752.3542,2790.8,,2.11646
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,13.2,22.637,11662,1758471.84,4.033489
450000,广西壮族自治区,2018,23.5488,912.19,12582,1340275.58,3.972458
450000,广西壮族自治区,2017,25.3408,1034.193,11809,1093488.66,3.9216
450000,广西壮族自治区,2016,27.9605,1158.05,5191.13,889399.69,3.887722
450000,广西壮族自治区,2015,28.7285,1318.79,5181.13,652917.47,3.8953
450000,广西壮族自治区,2014,32.4485,1765.31,4623.29,555157.16,3.84722
450000,广西壮族自治区,2013,58.1925,1829.0,4462,505632.7,3.78905
450000,广西壮族自治区,2012,57.9717,1190.1725,3865.5,441059.92,3.484566
450000,广西壮族自治区,2011,61.681,1175.6,3746.1,378032.2,3.47253
450000,广西壮族自治区,2010,62.0282,1380.0,3567.1,,3.4379
450000,广西壮族自治区,2009,63.3555,1401.8,3770.5,,3.6525
450000,广西壮族自治区,2008,60.5934,1385.6,2556.4,,3.644
450000,广西壮族自治区,2007,56.7967,1361.7,1979.2,,3.7805
450000,广西壮族自治区,2006,38.6823,1313.8,1463.8,,3.356174
450000,广西壮族自治区,2005,35.0375,1285.4,1310.028,,3.212594
450000,广西壮族自治区,2004,35.1758,1072.6,1073.7,,3.0206
450000,广西壮族自治区,2003,27.0964,843.5,803.5,,2.8549
450000,广西壮族自治区,2002,28.0711,663.0,571.7,,2.3174
450000,广西壮族自治区,2001,22.7806,460.6501,441.9,,1.79146
450000,广西壮族自治区,2000,,,,,
460000,海南省,2019,,18.6622,2119,285184.8,0.321519
460000,海南省,2018,,49.14,2119,255302.37,0.091496
460000,海南省,2017,1.5008,46.7241,1684,233372.0,0.3376
460000,海南省,2016,4.1108,62.75,1612.4,200215.0,0.3376
460000,海南省,2015,4.1108,115.3,1572.4,152717.0,0.3376
460000,海南省,2014,4.1108,144.58,1532.4,119921.73,0.3302
460000,海南省,2013,9.1576,227.0,1532.4,105218.1,0.3301
460000,海南省,2012,9.1576,273.1895,1512.4,85460.68,0.3302
460000,海南省,2011,9.1576,289.6,1347.4,66991.3,0.3302
460000,海南省,2010,9.1576,290.7,1099.4,,0.3256
460000,海南省,2009,8.6674,289.0,864.4,,0.0803
460000,海南省,2008,6.6244,308.6,620,,0.1839
460000,海南省,2007,6.6244,302.7,478,,0.1702
460000,海南省,2006,11.6712,309.3,319,,0.08504
460000,海南省,2005,9.0376,280.6,245,,0.06423
460000,海南省,2004,7.8376,262.6,194,,0.0618
460000,海南省,2003,7.1966,240.9,158,,0.118
460000,海南省,2002,6.6102,188.9,139,,0.1155
460000,海南省,2001,5.5,83.6181,125.6,,0.0333
460000,海南省,2000,,,,,
500000,重庆市,2019,,111.8104,4613,1201848.29,0.607817
500000,重庆市,2018,,333.44,4099,1059427.09,0.617385
500000,重庆市,2017,6.5016,239.4595,4099,930677.0,0.8173
500000,重庆市,2016,6.5016,241.49,4037,817013.0,0.8309
500000,重庆市,2015,6.5016,451.69,3887.6,654413.0,0.7606
500000,重庆市,2014,6.5016,857.31,3887.6,538637.15,0.713366
500000,重庆市,2013,21.9016,1025.5,3810,437662.8,0.63974
500000,重庆市,2012,21.9016,1130.2695,3715.03,372289.2,0.610242
500000,重庆市,2011,21.9016,1100.9,2976,309523.3,0.60876
500000,重庆市,2010,21.9016,1150.3,2746.2,,1.1054
500000,重庆市,2009,23.8846,1147.3,2340.2,,1.1143
500000,重庆市,2008,22.9086,1155.3,2448.3,,0.8779
500000,重庆市,2007,22.9086,1146.9,1844.3,,0.9316
500000,重庆市,2006,14.3316,1112.5,1238.3,,0.825528
