省份编码,省份,年份,民用汽车拥有量(万辆),民用载客汽车拥有量(万辆),民用大型载客汽车拥有量(万辆),民用中型载客汽车拥有量(万辆),民用小型载客汽车拥有量(万辆),民用微型载客汽车拥有量(万辆),民用载货汽车拥有量(万辆),民用重型载货汽车拥有量(万辆),民用中型载货汽车拥有量(万辆),民用轻型载货汽车拥有量(万辆),民用微型载货汽车拥有量(万辆),民用其他汽车拥有量(万辆),机动车驾驶员人数(万人),汽车驾驶员人数(万人)
130000,河北省,2004,180.9087,103.0467,2.8884,2.4626,69.6445,28.0512,70.6423,21.6598,11.5866,32.6169,4.779,7.2197,676.0178,614.6146
130000,河北省,2003,155.6064,87.394,2.8526,2.1517,59.0174,23.3723,63.5851,19.6658,10.0845,29.8477,3.9871,4.6273,629.1413,324.1247
130000,河北省,2002,135.74,71.61,2.82,1.24,48.44,19.12,60.5,19.95,8.88,24.02,7.65,3.62,577.02,298.44
130000,河北省,2001,119.8784,59.8713,,,,,58.4803,,,,,1.53,558.4418,289.8239
130000,河北省,2000,104.13,50.2,,,,,52.43,,,,,1.49999999999999,476.83,254.32
140000,山西省,2019,710.547,631.2389,3.6061,1.2156,613.6147,12.8025,76.3988,30.8373,1.2682,44.1738,0.1195,2.9093,1044.2446,1032.2473
140000,山西省,2018,652.1468,579.317,3.5097,1.2389,561.2309,13.3375,70.2534,29.0609,1.2757,39.6994,0.2174,2.5764,976.5989,963.511
140000,山西省,2017,591.9838,525.6709,3.3415,1.2463,506.9981,14.085,63.9361,26.7615,1.2891,35.5729,0.3126,2.3768,927.5342,912.3678
140000,山西省,2016,526.3936,464.5665,3.0555,1.3265,445.4065,14.778,59.5149,24.3571,1.4168,33.313,0.428,2.3122,857.5787,840.8109
140000,山西省,2015,468.9722,409.4053,2.7651,1.452,389.0782,16.11,57.1789,21.9743,1.7851,32.8452,0.5743,2.388,763.9245,745.7987
140000,山西省,2014,424.3625,362.8362,2.839,1.66,340.8281,17.5091,59.1108,21.7545,2.3675,34.3429,0.6459,2.4155,682.5867,661.4069
140000,山西省,2013,378.2688,317.5615,2.8195,1.8236,293.8509,19.0675,58.2913,21.3641,2.9694,33.2718,0.686,2.416,617.8581,593.0658
140000,山西省,2012,329.9456,270.8017,2.7359,2.1028,245.7245,20.2385,56.7788,21.2804,4.0352,30.6705,0.7927,2.3651,588.7663,543.9312
140000,山西省,2011,295.3253,231.6189,2.7793,2.8772,204.1252,21.8372,61.2696,22.9244,7.1171,29.8324,1.3957,2.4368,518.5655,482.9284
140000,山西省,2010,247.89,189.93,2.49,2.95,163.81,20.67,55.82,20.0,8.03,26.23,1.55,2.15,455.92,417.01
140000,山西省,2009,205.9535,155.5324,2.3278,3.0556,130.8182,19.3308,48.5446,15.7149,8.6119,22.5389,1.6789,1.8765,425.0028,376.5625
140000,山西省,2008,174.2158,127.2342,2.1735,3.0031,104.6515,17.4061,42.6521,12.2194,9.0044,19.6378,1.7905,4.3295,387.6424,338.4404
140000,山西省,2007,144.3307,102.8553,2.0027,2.9125,82.0195,15.9206,38.7232,10.448,8.9917,17.482,1.8015,2.7522,350.2121,296.2408
140000,山西省,2006,121.547,83.2787,1.8173,2.7787,63.8848,14.7979,36.2904,9.7091,8.6542,15.777,2.1501,1.9779,307.1188,275.0478
140000,山西省,2005,107.435,67.7746,1.7047,2.7274,49.7352,13.6073,37.9599,10.2828,8.9106,14.8227,3.9438,1.7005,255.0265,204.5257
140000,山西省,2004,81.6298,47.7582,1.439,2.2658,33.0606,10.9928,32.4389,9.3271,7.7041,11.8366,3.5711,1.4327,220.5484,158.0184
140000,山西省,2003,73.8226,40.6653,1.3667,2.2771,26.3047,10.7168,31.8919,7.3625,9.4463,11.0013,4.0818,1.2654,216.4902,139.4765
140000,山西省,2002,63.85,33.32,4.53,1.63,19.02,8.14,29.39,9.18,8.23,8.83,3.16,1.14,201.98,128.93
140000,山西省,2001,59.3676,27.6428,,,,,30.6804,,,,,1.05,189.3285,111.3764
140000,山西省,2000,55.01,25.35,,,,,27.82,,,,,1.84,159.86,100.92
150000,内蒙古自治区,2019,576.7446,507.3147,3.0429,1.2055,497.7457,5.3206,66.4736,20.6046,1.4735,44.338,0.0575,2.9563,797.1175,755.7794
150000,内蒙古自治区,2018,531.9102,468.2082,2.9552,1.192,458.4793,5.5817,60.9978,18.9913,1.5373,40.3828,0.0864,2.7042,762.8705,718.4056
150000,内蒙古自治区,2017,480.2156,421.7186,2.8661,1.1531,411.9419,5.7575,55.9673,16.811,1.6488,37.3811,0.1264,2.5297,726.5397,678.6237
150000,内蒙古自治区,2016,418.5264,364.6836,2.6565,1.1001,354.6603,6.2667,51.4168,15.4055,1.3212,34.5236,0.1665,2.426,682.9227,630.68
150000,内蒙古自治区,2015,373.6092,322.035,2.4457,1.0309,309.6204,8.938,49.2265,13.7506,1.1578,34.0412,0.2769,2.3477,628.0854,571.1963
150000,内蒙古自治区,2014,342.1416,288.6157,2.4635,1.0246,275.7008,9.4268,51.1683,14.84,1.3644,34.6743,0.2896,2.3576,573.6715,511.8009
150000,内蒙古自治区,2013,306.8651,254.464,2.4355,1.0357,241.213,9.7798,49.9608,15.7073,1.4948,32.462,0.2967,2.4403,529.9394,465.6382
150000,内蒙古自治区,2012,266.078,215.9439,2.293,1.1459,202.9012,9.6038,47.7214,16.691,1.7068,28.9364,0.3872,2.4127,512.6313,448.6467
150000,内蒙古自治区,2011,233.1533,176.1036,2.7037,2.1096,161.9913,9.299,54.5221,24.0915,4.9527,24.9712,0.5067,2.5276,456.2118,391.0748
150000,内蒙古自治区,2010,187.8,137.19,2.47,2.04,123.95,8.74,48.51,21.83,5.41,20.71,0.57,2.09,332.77,280.67
150000,内蒙古自治区,2009,150.0616,106.1527,2.3011,2.0406,93.6637,8.1473,42.1962,18.7554,5.8784,16.9088,0.6536,1.7127,432.6692,311.5389
150000,内蒙古自治区,2008,121.0713,81.1922,2.0514,2.0066,69.5169,7.6173,33.8015,13.6574,5.8611,13.5804,0.7026,6.0776,380.2718,277.8521
150000,内蒙古自治区,2007,99.7693,64.3648,1.7562,1.992,53.2422,7.3744,30.5163,12.4709,5.9213,11.352,0.7721,4.8882,87.3938,27.8979
150000,内蒙古自治区,2006,83.7858,51.3375,1.6148,1.8971,40.5732,7.2524,28.4285,12.2379,5.8889,9.4496,0.8521,4.0198,280.3755,252.2348
150000,内蒙古自治区,2005,65.8245,38.4575,1.2335,1.7827,28.6128,6.8285,24.8809,10.6455,5.5881,7.7552,0.8921,2.4861,364.2791,261.7085
150000,内蒙古自治区,2004,60.1805,34.1371,1.3497,1.8827,24.3662,6.5385,24.0591,10.2463,5.8983,7.0562,0.8583,1.9843,353.9188,250.5381
150000,内蒙古自治区,2003,49.8547,28.6481,1.2689,1.8397,19.6684,5.8711,20.2306,7.0382,6.1181,6.1022,0.9721,0.976,281.4755,107.8184
150000,内蒙古自治区,2002,42.73,23.77,1.1,1.83,16.28,4.56,18.3,6.53,5.52,5.48,0.77,0.67,205.07,83.76
150000,内蒙古自治区,2001,43.3033,24.1364,,,,,18.0481,,,,,1.11,195.3292,83.7579
150000,内蒙古自治区,2000,36.11,18.82,,,,,16.7,,,,,0.59,175.38,77.11
210000,辽宁省,2019,861.093,757.8137,7.4963,4.0179,741.2893,5.0102,99.2033,32.6852,4.4449,62.0376,0.0356,4.076,1370.1861,1301.1405
210000,辽宁省,2018,796.3726,698.3557,7.3826,4.3007,681.3845,5.2879,94.1222,30.6023,4.5822,58.8763,0.0614,3.8947,1323.8925,1252.3595
210000,辽宁省,2017,727.0843,633.1473,7.3912,4.6238,615.5965,5.5358,90.1939,28.7192,4.6569,56.7298,0.088,3.7431,1290.2669,1216.809
210000,辽宁省,2016,659.412,568.462,7.2788,5.2766,549.3678,6.5388,87.1238,26.0703,4.804,56.1286,0.1209,3.8262,1214.618,1138.1351
210000,辽宁省,2015,582.5013,496.0891,6.8729,5.3764,475.9305,7.9093,82.6639,23.5496,4.8209,54.1269,0.1665,3.7483,1134.2241,1054.2224
210000,辽宁省,2014,520.0376,436.5154,6.4171,5.2905,416.7373,8.0705,80.0382,22.0864,4.8167,52.9576,0.1775,3.484,1048.3118,936.5502
210000,辽宁省,2013,457.0467,379.9227,6.1864,5.5974,359.6043,8.5346,73.5137,20.1173,4.9227,48.2616,0.2121,3.6103,895.5298,783.6292
210000,辽宁省,2012,414.8777,328.6283,6.6669,9.6101,303.6804,8.6709,82.2223,23.6824,7.0416,51.2145,0.2838,4.0271,851.041,763.9061
210000,辽宁省,2011,356.7492,276.1589,6.2606,9.9996,251.7017,8.197,76.8524,22.3423,7.2682,46.8576,0.3843,3.7379,808.6368,705.8383
210000,辽宁省,2010,296.32,225.67,5.7,9.81,202.71,7.45,67.42,18.83,7.03,41.09,0.47,3.22,748.26,624.25
210000,辽宁省,2009,242.0687,182.4077,5.1896,9.5144,160.9338,6.7699,56.79,15.2693,6.682,34.1695,0.6692,2.871,710.3213,557.6327
210000,辽宁省,2008,194.9849,144.8814,4.7361,9.1409,124.941,6.0634,43.9966,9.9866,5.5666,27.6254,0.818,6.1069,630.1941,508.0466
210000,辽宁省,2007,171.3592,124.129,4.4545,9.0735,104.3534,6.2476,42.461,9.865,5.9829,25.56,1.0531,4.7692,501.2966,348.6709
210000,辽宁省,2006,159.2211,107.3364,4.1703,9.5785,85.1226,8.465,47.305,11.9303,7.8203,26.4209,1.1335,4.5797,427.867,357.9975
210000,辽宁省,2005,134.867,89.6221,4.2007,8.538,70.6246,6.2588,42.389,10.5694,6.2469,24.0927,1.48,2.8559,416.8676,335.0089
210000,辽宁省,2004,116.2679,73.5006,5.131,6.2621,57.3191,4.7884,38.8911,10.7167,4.5877,22.303,1.2837,3.8762,377.825,269.2441
210000,辽宁省,2003,103.5356,64.5902,5.1999,4.9115,48.0844,6.3944,35.9399,10.3572,8.716,15.8422,1.0245,3.0055,359.4462,238.0645
210000,辽宁省,2002,88.68,52.42,3.24,2.84,42.16,4.18,35.13,11.27,3.66,19.38,0.82,1.13,346.75,232.26
210000,辽宁省,2001,85.5678,49.7838,,,,,34.2957,,,,,1.48999999999999,326.377,220.4651
210000,辽宁省,2000,78.61,43.79,,,,,33.23,,,,,1.59,295.61,200.6
220000,吉林省,2019,451.1058,402.1008,3.6095,1.3417,393.7016,3.448,46.9195,15.2675,1.8251,29.8033,0.0236,2.0855,779.1654,729.3644
220000,吉林省,2018,421.9217,375.3886,3.5903,1.4361,366.3685,3.9937,44.5711,14.7371,1.958,27.8354,0.0406,1.962,744.6022,694.3449
220000,吉林省,2017,387.1534,344.059,3.4555,1.479,334.6976,4.4269,41.2875,13.2389,2.0622,25.9264,0.06,1.8069,720.5891,662.9825
220000,吉林省,2016,352.9308,309.2738,3.69,1.6069,298.3897,5.5872,41.9125,13.0231,2.6352,26.1656,0.0886,1.7445,693.0384,629.6516
220000,吉林省,2015,313.7351,271.029,3.5925,1.6444,258.2389,7.5532,40.9959,12.4332,2.8133,25.6038,0.1456,1.7102,651.5476,583.4351
220000,吉林省,2014,284.5722,240.7444,3.6414,1.8805,227.2847,7.9378,42.2215,12.1924,3.0664,26.8066,0.1561,1.6063,591.8327,517.1892
220000,吉林省,2013,248.3472,206.5541,3.445,1.8702,193.1063,8.1326,40.2344,11.5268,3.3821,25.0334,0.2921,1.5587,529.8764,447.8772
220000,吉林省,2012,209.4901,170.9421,2.8932,1.8709,158.1436,8.0344,36.9872,10.5666,3.6782,22.5467,0.1957,1.5608,514.7021,428.4148
220000,吉林省,2011,183.0041,144.5402,3.2684,2.6065,130.5717,8.0936,36.9843,11.2209,5.3123,20.1719,0.2792,1.4796,470.8445,378.262
220000,吉林省,2010,152.89,118.78,2.95,2.51,105.37,7.95,32.85,9.68,5.24,17.59,0.35,1.26,461.41,360.77
220000,吉林省,2009,123.7362,94.9215,2.7041,2.411,82.1432,7.6632,27.7349,7.6217,4.9034,14.756,0.4538,1.0798,390.2657,291.8068
220000,吉林省,2008,98.9791,74.4729,2.3882,2.1851,62.4374,7.4622,22.2921,5.0082,4.3226,12.4035,0.5578,2.2141,405.8251,313.5307
220000,吉林省,2007,86.7991,64.2892,2.2081,2.0241,52.7765,7.2805,20.8043,4.6981,4.1763,11.3771,0.5528,1.7056,372.0614,288.6119
220000,吉林省,2006,72.2532,53.4203,2.0497,1.8306,42.6075,6.9325,17.6207,4.3328,3.6111,9.1685,0.5083,1.2122,340.1552,260.887
220000,吉林省,2005,65.2695,46.5617,1.9274,1.6694,36.2518,6.7131,17.9071,4.3197,3.8157,9.2601,0.5116,0.8007,297.6879,239.809
220000,吉林省,2004,57.3132,39.4372,1.7595,1.4941,30.2869,5.8967,17.2113,3.9396,4.229,8.5929,0.4498,0.6647,272.703,218.9483
220000,吉林省,2003,53.0728,34.9057,1.6383,1.3296,26.897,5.0408,17.6281,3.7919,4.7592,8.692,0.385,0.539,239.7652,172.5367
220000,吉林省,2002,47.57,29.68,1.6,1.28,22.99,3.81,17.72,3.6,6.95,6.57,0.6,0.17,213.77,170.21
220000,吉林省,2001,43.4844,24.2696,,,,,17.825,,,,,1.38,232.8115,157.3081
220000,吉林省,2000,40.42,22.31,,,,,16.84,,,,,1.27,213.12,124.99
230000,黑龙江省,2019,516.1132,444.769,5.1,2.0983,434.6147,2.956,68.3939,20.5386,4.1883,43.6284,0.0386,2.9503,938.4477,905.0838
230000,黑龙江省,2018,477.4063,409.8669,4.9927,2.1522,399.4284,3.2936,64.7419,19.39,4.4098,40.8736,0.0685,2.7975,883.5735,848.4135
230000,黑龙江省,2017,435.3221,371.5728,4.6053,2.1471,361.2423,3.5781,61.0734,18.1283,4.5047,38.341,0.0994,2.6759,835.2255,798.0275
230000,黑龙江省,2016,394.1923,330.1301,4.6425,2.365,318.6973,4.4253,61.3708,18.3122,5.2186,37.7031,0.1369,2.6914,788.3546,749.9099
230000,黑龙江省,2015,351.7503,288.6922,4.5761,2.4553,275.3824,6.2784,60.3118,18.4324,5.5443,36.1281,0.207,2.7463,725.6735,685.3062
230000,黑龙江省,2014,322.7792,258.3428,4.9312,2.8013,242.8763,7.734,61.773,19.6397,6.1964,35.7153,0.2216,2.6634,654.4664,610.9913
230000,黑龙江省,2013,289.8103,228.9447,4.5989,2.6851,213.18,8.4807,58.1362,18.2084,6.0159,33.6806,0.2313,2.7294,591.5944,546.086
230000,黑龙江省,2012,259.8722,201.4178,4.4234,2.9745,184.809,9.2109,55.8566,17.9003,6.6834,30.7637,0.5092,2.5978,545.1124,498.6293
230000,黑龙江省,2011,231.101,173.3658,4.7715,4.0567,155.305,9.2326,55.2744,18.5939,9.0007,27.0226,0.6572,2.4608,492.8793,446.6336
230000,黑龙江省,2010,194.79,143.66,4.46,3.95,126.14,9.11,48.98,15.69,9.11,23.34,0.84,2.15,455.96,407.12
230000,黑龙江省,2009,160.172,116.9978,4.1602,3.8612,100.1759,8.8005,41.2662,12.4653,8.7333,18.9548,1.1128,1.908,442.0404,391.7701
230000,黑龙江省,2008,126.2094,91.0924,3.7974,3.6549,75.1615,8.4786,30.7693,7.0861,7.631,14.7127,1.3395,4.3477,395.8838,349.1629
230000,黑龙江省,2007,108.097,77.0121,3.5305,3.5148,61.5065,8.4603,27.9591,6.2627,7.1562,12.9667,1.5735,3.1258,345.3803,289.0837
230000,黑龙江省,2006,94.0011,65.8417,3.2317,3.3838,50.7518,8.4744,25.8011,5.6261,6.8764,11.4937,1.8049,2.3583,313.4101,256.999
230000,黑龙江省,2005,85.8985,57.6685,2.9684,3.3003,43.2885,8.1113,26.2784,5.6609,7.4771,10.8525,2.2879,1.9516,260.6416,239.4194
230000,黑龙江省,2004,74.1613,48.5901,2.5877,3.0954,35.3235,7.5835,23.9254,4.9031,7.1668,9.5718,2.2837,1.6458,216.1429,202.727
230000,黑龙江省,2003,76.1682,48.0014,2.7541,2.7057,35.6909,6.8507,26.6724,4.6975,9.4791,10.5041,1.9917,1.4944,204.0092,151.966
230000,黑龙江省,2002,60.28,35.93,4.89,1.51,21.93,7.59,23.51,5.1,8.3,5.65,4.45,0.84,178.06,139.15
230000,黑龙江省,2001,56.334,33.9992,,,,,21.3523,,,,,0.979999999999997,161.4358,128.4203
230000,黑龙江省,2000,54.52,31.45,,,,,21.48,,,,,1.59,171.9,160.06
310000,上海市,2019,413.8172,378.4954,4.9528,2.4377,370.1734,0.9315,33.0656,20.7525,4.5725,7.7406,,2.2562,790.0603,776.8749
310000,上海市,2018,393.367,358.3715,5.0823,2.6321,349.6406,1.0165,32.8703,20.0503,4.961,7.8587,0.0003,2.1252,751.4652,737.8706
310000,上海市,2017,360.9593,328.1738,5.119,2.7831,319.2139,1.0578,30.8067,18.2921,4.9669,7.5471,0.0006,1.9788,715.6813,701.5493
310000,上海市,2016,322.8702,293.8526,4.9324,2.8747,285.0036,1.0419,21.8561,10.2926,4.6849,6.8772,0.0014,7.1615,679.1244,663.8239
310000,上海市,2015,282.2314,256.2636,4.5243,3.0866,247.5009,1.1518,19.4932,8.6548,4.3215,6.5136,0.0033,6.4746,650.6686,631.093
310000,上海市,2014,255.0338,228.5839,4.4688,4.2595,218.0149,1.8407,19.5572,7.8343,5.179,6.5379,0.006,6.8927,625.6273,602.568
310000,上海市,2013,234.9116,207.9852,4.3981,4.9858,195.215,3.3863,20.14,7.0624,6.7486,6.3208,0.0082,6.7864,593.4362,531.409
310000,上海市,2012,212.6637,185.7134,4.4874,5.2601,172.5084,3.4575,20.7333,5.6312,8.3541,6.7326,0.0154,6.217,558.9596,531.409
310000,上海市,2011,194.7515,163.9125,4.4145,5.5777,150.476,3.4443,24.8338,5.733,10.8503,7.8243,0.4262,6.0052,501.7277,468.9725
310000,上海市,2010,175.51,146.24,4.39,5.88,132.42,3.55,23.81,4.82,10.48,7.96,0.54,5.46,448.48,412.56
310000,上海市,2009,147.1052,124.914,3.9876,6.3572,111.1062,3.463,22.1912,3.7339,9.9426,7.9438,0.5709,0.0,410.7924,362.7814
310000,上海市,2008,132.1229,110.7299,3.8473,6.8284,96.6333,3.4209,21.393,3.3015,9.6531,7.828,0.6104,,373.0595,319.2914
310000,上海市,2007,119.699,98.9239,3.8076,7.3575,84.2337,3.5251,20.7751,3.0582,9.3077,7.7179,0.6913,,338.8952,279.4078
310000,上海市,2006,107.0375,87.0571,3.6663,7.6662,72.1179,3.6067,19.9804,2.8237,8.8093,7.4855,0.8619,,306.6314,296.5616
310000,上海市,2005,95.1553,75.9988,3.5677,7.9967,60.7199,3.7145,19.1565,2.6505,8.2852,7.0902,1.1306,,276.2889,208.2744
310000,上海市,2004,83.5109,64.69,3.4089,7.5833,49.8924,3.8054,18.8209,2.4785,7.9077,6.9009,1.5338,,253.2307,185.7168
310000,上海市,2003,71.8964,54.0309,3.3,6.8732,39.8888,3.9689,17.8655,2.2779,7.1173,6.5222,1.9481,,222.5871,160.7097
310000,上海市,2002,62.3,45.09,3.18,6.03,31.76,4.12,17.21,2.3,6.3,6.06,2.55,,189.63,148.57
