省份编码,省份,年份,年末常住人口(万人),城镇人口(万人),乡村人口(万人)
340000,安徽省,2011,5968,2673.664,3294.336
340000,安徽省,2010,5956.7,2561.97667,3394.72333
340000,安徽省,2009,6131,2581.151,3549.849
340000,安徽省,2008,6135,2484.675,3650.325
340000,安徽省,2007,6118,2367.666,3750.334
340000,安徽省,2006,6110,2266.81,3843.19
340000,安徽省,2005,6120.09,2172.63195,3947.45805
340000,安徽省,2004,6228,,
340000,安徽省,2003,6163,,
340000,安徽省,2002,6144,,
340000,安徽省,2001,6128,,
340000,安徽省,2000,6093,,
350000,福建省,2019,3973,2642,1331
350000,福建省,2018,3941,2593.9662,1347.0338
350000,福建省,2017,3911,2534.328,1376.672
350000,福建省,2016,3874,2463.864,1410.136
350000,福建省,2015,3839,2403.214,1435.786
350000,福建省,2014,3806,2352.108,1453.892
350000,福建省,2013,3774,2293.4598,1480.5402
350000,福建省,2012,3748,2233.808,1514.192
350000,福建省,2011,3720,2161.32,1558.68
350000,福建省,2010,3693,2108.703,1584.297
350000,福建省,2009,3666,2019.966,1646.034
350000,福建省,2008,3639,1928.67,1710.33
350000,福建省,2007,3612,1856.568,1755.432
350000,福建省,2006,3585,1806.84,1778.16
350000,福建省,2005,3557,1757.158,1799.842
350000,福建省,2004,3529.09583333333,,
350000,福建省,2003,3501.975,,
350000,福建省,2002,3476.03333333333,,
350000,福建省,2001,3445.375,,
350000,福建省,2000,3410,,
360000,江西省,2019,4666,2679,1987
360000,江西省,2018,4648,2603.8096,2044.1904
360000,江西省,2017,4622,2523.612,2098.388
360000,江西省,2016,4592,2438.352,2153.648
360000,江西省,2015,4565.63,2356.778206,2208.851794
360000,江西省,2014,4542.16,2281.072752,2261.087248
360000,江西省,2013,4522.15,2209.974705,2312.175295
360000,江西省,2012,4503.9321,2139.81814071,2364.11395929
360000,江西省,2011,4488.4367,2051.2155719,2437.2211281
360000,江西省,2010,4462.2489,1966.06686534,2496.18203466
360000,江西省,2009,4432.1581,1913.80586758,2518.35223242
360000,江西省,2008,4400.1038,1819.88293168,2580.22086832
360000,江西省,2007,4368.4125,1738.628175,2629.784325
360000,江西省,2006,4339.1287,1678.37498116,2660.75371884
360000,江西省,2005,4311.2439,1595.160243,2716.083657
360000,江西省,2004,4284,,
360000,江西省,2003,4254,,
360000,江西省,2002,4222,,
360000,江西省,2001,4185.77,,
360000,江西省,2000,4149,,
370000,山东省,2019,10070,6194,3876
370000,山东省,2018,10047,6146.7546,3900.2454
370000,山东省,2017,10005.83,6061.531814,3944.298186
370000,山东省,2016,9947,5870.7194,4076.2806
370000,山东省,2015,9847.16,5613.865916,4233.294084
370000,山东省,2014,9789.43,5385.165443,4404.264557
370000,山东省,2013,9733.39,5231.697125,4501.692875
370000,山东省,2012,9684.87,5077.777341,4607.092659
370000,山东省,2011,9637.27,4910.189065,4727.080935
370000,山东省,2010,9587.87,4765.17139,4822.69861
370000,山东省,2009,9470.3,4576.04896,4894.25104
370000,山东省,2008,9417.23,4482.60148,4934.62852
370000,山东省,2007,9366.97,4379.058475,4987.911525
370000,山东省,2006,9308.9,4291.4029,5017.4971
370000,山东省,2005,9248.18,4161.681,5086.499
370000,山东省,2004,9180,,
370000,山东省,2003,9125,,
370000,山东省,2002,9082,,
370000,山东省,2001,9041,,
370000,山东省,2000,8998,,
410000,河南省,2019,9640,5129,4511
410000,河南省,2018,9605,4966.7455,4638.2545
410000,河南省,2017,9559.13,4794.859608,4764.270392
410000,河南省,2016,9532,4623.02,4908.98
410000,河南省,2015,9480,4441.38,5038.62
410000,河南省,2014,9436,4265.072,5170.928
410000,河南省,2013,9413.35,4123.0473,5290.3027
410000,河南省,2012,9406.2,3991.05066,5415.14934
410000,河南省,2011,9388.24,3808.808968,5579.431032
410000,河南省,2010,9405.47,3621.10595,5784.36405
410000,河南省,2009,9487.05,3576.61785,5910.43215
410000,河南省,2008,9429,3397.2687,6031.7313
410000,河南省,2007,9360,3214.224,6145.776
410000,河南省,2006,9392,3049.5824,6342.4176
410000,河南省,2005,9380,2874.97,6505.03
410000,河南省,2004,9717,,
410000,河南省,2003,9667,,
410000,河南省,2002,9613,,
410000,河南省,2001,9555,,
410000,河南省,2000,9488,,
420000,湖北省,2019,5927,3615,2312
420000,湖北省,2018,5917,3567.951,2349.049
420000,湖北省,2017,5902,3499.886,2402.114
420000,湖北省,2016,5885,3419.185,2465.815
420000,湖北省,2015,5851.5,3326.57775,2524.92225
420000,湖北省,2014,5816,3237.7672,2578.2328
420000,湖北省,2013,5799,3161.0349,2637.9651
420000,湖北省,2012,5779,3091.765,2687.235
420000,湖北省,2011,5758,2984.3714,2773.6286
420000,湖北省,2010,5727.9143,2846.7734071,2881.1408929
420000,湖北省,2009,5720,2631.2,3088.8
420000,湖北省,2008,5711,2581.372,3129.628
420000,湖北省,2007,5699,2524.657,3174.343
420000,湖北省,2006,5693,2493.534,3199.466
420000,湖北省,2005,5710,2466.72,3243.28
420000,湖北省,2004,5698,,
420000,湖北省,2003,5685,,
420000,湖北省,2002,5672,,
420000,湖北省,2001,5658,,
420000,湖北省,2000,5646,,
430000,湖南省,2019,6918,3959,2959
430000,湖南省,2018,6899,3864.8198,3034.1802
430000,湖南省,2017,6860.15,3747.01393,3113.13607
430000,湖南省,2016,6822,3598.605,3223.395
430000,湖南省,2015,6783.03,3451.883967,3331.146033
430000,湖南省,2014,6737.24,3320.111872,3417.128128
430000,湖南省,2013,6690.6,3208.81176,3481.78824
430000,湖南省,2012,6638.93,3097.060845,3541.869155
430000,湖南省,2011,6595.6,2974.6156,3620.9844
430000,湖南省,2010,6570.1,2844.8533,3725.2467
430000,湖南省,2009,6406,2767.392,3638.608
430000,湖南省,2008,6380,2689.17,3690.83
430000,湖南省,2007,6355,2570.5975,3784.4025
430000,湖南省,2006,6342,2454.9882,3887.0118
430000,湖南省,2005,6326,2340.62,3985.38
430000,湖南省,2004,6698,,
430000,湖南省,2003,6663,,
430000,湖南省,2002,6629,,
430000,湖南省,2001,6595.85,,
430000,湖南省,2000,6562,,
440000,广东省,2019,11521,8226,3295
440000,广东省,2018,11346,8021.622,3324.378
440000,广东省,2017,11169,7801.5465,3367.4535
440000,广东省,2016,10999,7611.308,3387.692
440000,广东省,2015,10849,7454.3479,3394.6521
440000,广东省,2014,10724,7292.32,3431.68
440000,广东省,2013,10644,7212.3744,3431.6256
440000,广东省,2012,10594,7140.356,3453.644
440000,广东省,2011,10505,6985.825,3519.175
440000,广东省,2010,10440.94,6909.814092,3531.125908
440000,广东省,2009,10130.1854628636,6422.53758345554,3707.64787940809
440000,广东省,2008,9893.48,6269.498276,3623.981724
440000,广东省,2007,9659.52,6099.020928,3560.499072
440000,广东省,2006,9442.07,5948.5041,3493.5659
440000,广东省,2005,9194,5578.9192,3615.0808
440000,广东省,2004,9110.66,,
440000,广东省,2003,8962.69,,
440000,广东省,2002,8842.08,,
440000,广东省,2001,8733.18,,
440000,广东省,2000,8650,,
450000,广西壮族自治区,2019,4960,2534,2426
450000,广西壮族自治区,2018,4926,2473.8372,2452.1628
450000,广西壮族自治区,2017,4885,2403.9085,2481.0915
450000,广西壮族自治区,2016,4838,2326.1104,2511.8896
450000,广西壮族自治区,2015,4796,2256.9976,2539.0024
450000,广西壮族自治区,2014,4754,2187.3154,2566.6846
450000,广西壮族自治区,2013,4719,2114.5839,2604.4161
450000,广西壮族自治区,2012,4682,2038.0746,2643.9254
450000,广西壮族自治区,2011,4645,1941.61,2703.39
450000,广西壮族自治区,2010,4610,1844,2766
450000,广西壮族自治区,2009,4856,1903.552,2952.448
450000,广西壮族自治区,2008,4816,1837.7856,2978.2144
450000,广西壮族自治区,2007,4768,1727.9232,3040.0768
450000,广西壮族自治区,2006,4719,1634.6616,3084.3384
450000,广西壮族自治区,2005,4660,1566.692,3093.308
450000,广西壮族自治区,2004,4889,,
450000,广西壮族自治区,2003,4857,,
450000,广西壮族自治区,2002,4822,,
450000,广西壮族自治区,2001,4788,,
450000,广西壮族自治区,2000,4751,,
460000,海南省,2019,945,560,385
460000,海南省,2018,934,551.6204,382.3796
460000,海南省,2017,926,537.4504,388.5496
460000,海南省,2016,917,520.6726,396.3274
460000,海南省,2015,910.82,502.043984,408.776016
460000,海南省,2014,903.48,485.710848,417.769152
460000,海南省,2013,895.28,472.170672,423.109328
460000,海南省,2012,886.55,457.4598,429.0902
460000,海南省,2011,877.38,443.0769,434.3031
460000,海南省,2010,868.55,432.5379,436.0121
460000,海南省,2009,864.07,424.517591,439.552409
460000,海南省,2008,854.18,410.0064,444.1736
460000,海南省,2007,845.03,398.85416,446.17584
460000,海南省,2006,835.88,385.34068,450.53932
460000,海南省,2005,828,374.256,453.744
460000,海南省,2004,818,,
460000,海南省,2003,811,,
460000,海南省,2002,803,,
460000,海南省,2001,795.55,,
460000,海南省,2000,789,,
500000,重庆市,2019,3124,2087,1037
500000,重庆市,2018,3102,2031.81,1070.19
500000,重庆市,2017,3075.16,1970.562528,1104.597472
500000,重庆市,2016,3048,1908.048,1139.952
500000,重庆市,2015,3016.55,1838.28557,1178.26443
500000,重庆市,2014,2991.4,1782.8744,1208.5256
500000,重庆市,2013,2970,1732.698,1237.302
500000,重庆市,2012,2945,1678.061,1266.939
500000,重庆市,2011,2919,1606.0338,1312.9662
500000,重庆市,2010,2884.62,1529.425524,1355.194476
500000,重庆市,2009,2859,1474.9581,1384.0419
500000,重庆市,2008,2839,1419.2161,1419.7839
500000,重庆市,2007,2816,1360.128,1455.872
500000,重庆市,2006,2808,1311.336,1496.664
500000,重庆市,2005,2798,1264.696,1533.304
500000,重庆市,2004,2793.32,,
500000,重庆市,2003,2803.19,,
500000,重庆市,2002,2814.43,,
500000,重庆市,2001,2829.21,,
500000,重庆市,2000,2849,,
510000,四川省,2019,8375,4505,3870
510000,四川省,2018,8341,4361.5089,3979.4911
510000,四川省,2017,8302,4216.5858,4085.4142
510000,四川省,2016,8262,4065.7302,4196.2698
510000,四川省,2015,8204,3912.4876,4291.5124
510000,四川省,2014,8140.2,3768.9126,4371.2874
510000,四川省,2013,8107,3640.043,4466.957
510000,四川省,2012,8076.2,3515.56986,4560.63014
510000,四川省,2011,8050,3367.315,4682.685
510000,四川省,2010,8044.92,3232.44835421179,4812.47164578821
510000,四川省,2009,8185,3167.595,5017.405
510000,四川省,2008,8138,3043.612,5094.388
510000,四川省,2007,8127,2893.212,5233.788
510000,四川省,2006,8169,2801.967,5367.033
510000,四川省,2005,8212,2709.96,5502.04
510000,四川省,2004,8090,,
510000,四川省,2003,8176,,
510000,四川省,2002,8110,,
510000,四川省,2001,8143,,
510000,四川省,2000,8329,,
520000,贵州省,2019,3623,1776,1847
520000,贵州省,2018,3600,1710.72,1889.28
520000,贵州省,2017,3580,1647.516,1932.484
520000,贵州省,2016,3555,1569.5325,1985.4675
520000,贵州省,2015,3529.5,1482.74295,2046.75705
520000,贵州省,2014,3508.04,1403.566804,2104.473196
520000,贵州省,2013,3502.22,1324.889826,2177.330174
520000,贵州省,2012,3484.07,1268.549887,2215.520113
520000,贵州省,2011,3469,1212.7624,2256.2376
520000,贵州省,2010,3479,1176.2499,2302.7501
520000,贵州省,2009,3537,1057.2093,2479.7907
520000,贵州省,2008,3595.98,1046.789778,2549.190222
520000,贵州省,2007,3631.98,1025.671152,2606.308848
520000,贵州省,2006,3690,1013.274,2676.726
520000,贵州省,2005,3730,1002.251,2727.749
520000,贵州省,2004,3904,,
520000,贵州省,2003,3870,,
520000,贵州省,2002,3837,,
520000,贵州省,2001,3798.51,,
520000,贵州省,2000,3756,,
530000,云南省,2019,4858,2376,2482
530000,云南省,2018,4830,2309.223,2520.777
530000,云南省,2017,4800.5,2241.35345,2559.14655
530000,云南省,2016,4771,2148.3813,2622.6187
530000,云南省,2015,4741.8,2054.62194,2687.17806
530000,云南省,2014,4713.9,1967.11047,2746.78953
530000,云南省,2013,4686.6,1897.13568,2789.46432
530000,云南省,2012,4659,1831.4529,2827.5471
530000,云南省,2011,4631,1704.208,2926.792
530000,云南省,2010,4601.6,1596.7552,3004.8448
530000,云南省,2009,4571,1554.14,3016.86
530000,云南省,2008,4543,1499.19,3043.81
530000,云南省,2007,4514,1426.424,3087.576
530000,云南省,2006,4483,1367.315,3115.685
530000,云南省,2005,4450.4,1312.868,3137.532
530000,云南省,2004,4415,,
530000,云南省,2003,4376,,
530000,云南省,2002,4333,,
530000,云南省,2001,4287.4,,
530000,云南省,2000,4241,,
540000,西藏自治区,2019,351,111,240
540000,西藏自治区,2018,344,107.1216,236.8784
540000,西藏自治区,2017,337,104.0993,232.9007
540000,西藏自治区,2016,331,97.8436,233.1564
540000,西藏自治区,2015,323.97,89.869278,234.100722
540000,西藏自治区,2014,317.55,81.769125,235.780875
540000,西藏自治区,2013,312.04,73.984684,238.055316
540000,西藏自治区,2012,307.62,69.98355,237.63645
540000,西藏自治区,2011,303.3,68.87943,234.42057
540000,西藏自治区,2010,300.22,68.0623708082764,232.157629191724
540000,西藏自治区,2009,295.84,65.97232,229.86768
540000,西藏自治区,2008,292.33,64.02027,228.30973
540000,西藏自治区,2007,288.83,62.09845,226.73155
540000,西藏自治区,2006,285.08,60.237404,224.842596
540000,西藏自治区,2005,280.31,58.444635,221.865365
540000,西藏自治区,2004,276.35,,
540000,西藏自治区,2003,272.16,,
540000,西藏自治区,2002,268.24,,
540000,西藏自治区,2001,263.55,,
540000,西藏自治区,2000,258,,
610000,陕西省,2019,3876,2304,1572
610000,陕西省,2018,3864,2246.1432,1617.8568
610000,陕西省,2017,3835,2177.8965,1657.1035
610000,陕西省,2016,3813,2110.1142,1702.8858
610000,陕西省,2015,3793,2045.1856,1747.8144
610000,陕西省,2014,3775.12,1984.60605488118,1790.51394511882
610000,陕西省,2013,3764,1931.33379585411,1832.66620414589
610000,陕西省,2012,3753,1877.27592163668,1875.72407836332
610000,陕西省,2011,3743,1770.439,1972.561
610000,陕西省,2010,3735,1709.136,2025.864
610000,陕西省,2009,3727,1621.245,2105.755
610000,陕西省,2008,3718,1565.278,2152.722
610000,陕西省,2007,3708,1506.1896,2201.8104
610000,陕西省,2006,3699,1447.0488,2251.9512
610000,陕西省,2005,3690,1373.787,2316.213
610000,陕西省,2004,3681.22571226294,,
610000,陕西省,2003,3671.7440893228,,
610000,陕西省,2002,3662.23636871638,,
610000,陕西省,2001,3653.14372940625,,
610000,陕西省,2000,3644,,
620000,甘肃省,2019,2647,1284,1363
620000,甘肃省,2018,2637,1257.5853,1379.4147
620000,甘肃省,2017,2626,1218.2014,1407.7986
620000,甘肃省,2016,2610,1166.409,1443.591
620000,甘肃省,2015,2599.55,1122.745645,1476.804355
620000,甘肃省,2014,2590.78,1079.837104,1510.942896
620000,甘肃省,2013,2582.18,1036.228834,1545.951166
620000,甘肃省,2012,2577.55,998.800625,1578.749375
620000,甘肃省,2011,2564.19,952.596585,1611.593415
620000,甘肃省,2010,2559.98,924.664776,1635.315224
620000,甘肃省,2009,2554.91,891.408099,1663.501901
620000,甘肃省,2008,2550.88,856.075328,1694.804672
620000,甘肃省,2007,2548.19,821.791275,1726.398725
620000,甘肃省,2006,2546.79,791.797011,1754.992989
620000,甘肃省,2005,2545.1,764.03902,1781.06098
620000,甘肃省,2004,2541.48,,
620000,甘肃省,2003,2537.19,,
620000,甘肃省,2002,2530.76,,
620000,甘肃省,2001,2523.35,,
620000,甘肃省,2000,2515,,
630000,青海省,2019,608,337,271
630000,青海省,2018,603,328.4541,274.5459
630000,青海省,2017,598,317.3586,280.6414
630000,青海省,2016,593,306.1659,286.8341
630000,青海省,2015,588.43,295.98029,292.44971
630000,青海省,2014,583.42,290.426476,292.993524
630000,青海省,2013,577.79,280.285929,297.504071
630000,青海省,2012,573.17,271.911848,301.258152
630000,青海省,2011,568.17,262.608174,305.561826
630000,青海省,2010,563.47,251.983784,311.486216
630000,青海省,2009,557.3,233.5087,323.7913
630000,青海省,2008,554.3,226.48698,327.81302
630000,青海省,2007,551.6,221.02612,330.57388
630000,青海省,2006,547.7,215.02702,332.67298
630000,青海省,2005,543.2,213.206,329.994
630000,青海省,2004,539,,
630000,青海省,2003,534,,
630000,青海省,2002,529,,
630000,青海省,2001,523.1,,
630000,青海省,2000,517,,
640000,宁夏回族自治区,2019,695,416,279
640000,宁夏回族自治区,2018,688,405.0944,282.9056
640000,宁夏回族自治区,2017,682,395.4236,286.5764
640000,宁夏回族自治区,2016,675,379.9575,295.0425
640000,宁夏回族自治区,2015,667.88,368.870124,299.009876
640000,宁夏回族自治区,2014,661.54,354.651594,306.888406
640000,宁夏回族自治区,2013,654.19,340.244219,313.945781
