年份,原煤开采累计新增生产能力,焦炭累计新增生产能力,天然原油开采累计新增生产能力,天然气开采累计新增生产能力,铁矿开采(原矿)累计新增生产能力,生铁累计新增生产能力,粗钢累计新增生产能力,铁合金累计新增生产能力,铜采矿(原矿)累计新增生产能力,铜选矿处理原矿累计新增生产能力,铜选矿铜含量累计新增生产能力,铜冶炼累计新增生产能力,电解铜累计新增生产能力,铅锌采矿累计新增生产能力,铅锌选矿处理原矿累计新增生产能力,铅含量累计新增生产能力,锌含量累计新增生产能力,铅冶炼累计新增生产能力,电解铅累计新增生产能力,锌冶炼累计新增生产能力,电解锌累计新增生产能力,氧化铝累计新增生产能力,电解铝累计新增生产能力,水力发电累计新增生产能力,火力发电累计新增生产能力,核能发电累计新增生产能力,风能发电累计新增生产能力,其他发电累计新增生产能力,水泥累计新增生产能力,平板玻璃累计新增生产能力,电石累计新增生产能力,氮肥累计新增生产能力,磷肥累计新增生产能力,钾肥累计新增生产能力,塑料树脂及共聚物累计新增生产能力,轮胎外胎累计新增生产能力,轮胎内胎累计新增生产能力,载货汽车制造累计新增生产能力,客车制造累计新增生产能力,轿车制造累计新增生产能力,其他汽车制造累计新增生产能力,电视机累计新增生产能力,化学纤维累计新增生产能力,棉纺锭累计新增生产能力,毛纺锭累计新增生产能力,啤酒累计新增生产能力,白酒累计新增生产能力,其他酒累计新增生产能力,卷烟累计新增生产能力,机制纸浆累计新增生产能力,家用电冰箱累计新增生产能力,家用洗衣机累计新增生产能力,新建铁路投产里程累计新增生产能力,新建公路累计新增生产能力,改建公路累计新增生产能力,新(扩)建港口码头年吞吐量累计新增生产能力,新(扩)建港口码头泊位累计新增生产能力,城市自来水供水能力(万吨/日)累计新增生产能力
2009,45825.07,8044.98,2930.08,24.92,9380.26,4649.2,3624.75,2203984.7,2204.08,851.35,13167.0,1528611.6,995406.0,1998.94,1151.5,84818.5,72375.0,992261.1,212500.0,829042.0,266400.0,2094800.0,705714.0,6014.68,9082.9,127.0,,2185.23,48244.87,11321.78,1987491.0,8512961.0,4436604.0,2136772.0,2769837.8,4748.2,7282.3,482030.0,60440.0,2762676.0,126900.0,424.64,2228343.2,11504299.0,184702.0,383.54,198.92,93.95,1359137.0,305.74,361.0,496.5,6305.23,115891.68,169334.99,19181.23,215.0,3009.44
2008,31589.45,5436.83,1978.19,62.26,9287.68,5679.79,3213.11,2124177.87,1595.02,330.5,3590.0,1185096.24,314546.0,1473.12,902.29,105331.4,123939.4,620519.0,327880.0,450353.0,72200.0,3331940.0,273265.0,5099.18,9850.34,457.0,,1289.51,29085.57,17453.07,2931194.0,5370168.0,3130818.0,784247.5,4057632.01,7763.55,4466.52,186046.0,43900.0,2374603.0,145375.0,535.4,3589820.36,11084609.0,355949.0,612.59,191.11,46.29,1259999.0,193.96,1184.55,535.5,1716.92,82934.43,156123.82,19181.68,159.0,2192.88
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
