年份,原煤开采新增生产能力,焦炭新增生产能力,天然原油开采新增生产能力,天然气开采新增生产能力,铁矿开采(原矿)新增生产能力,生铁新增生产能力,粗钢新增生产能力,铁合金新增生产能力,铜采矿(原矿)新增生产能力,铜选矿处理原矿新增生产能力,铜选矿铜含量新增生产能力,铜冶炼新增生产能力,电解铜新增生产能力,铅锌采矿新增生产能力,铅锌选矿处理原矿新增生产能力,铅含量新增生产能力,锌含量新增生产能力,铅冶炼新增生产能力,电解铅新增生产能力,锌冶炼新增生产能力,电解锌新增生产能力,氧化铝新增生产能力,电解铝新增生产能力,水力发电新增生产能力,火力发电新增生产能力,核能发电新增生产能力,风能发电新增生产能力,其他发电新增生产能力,水泥新增生产能力,平板玻璃新增生产能力,电石新增生产能力,氮肥新增生产能力,磷肥新增生产能力,钾肥新增生产能力,塑料树脂及共聚物新增生产能力,轮胎外胎新增生产能力,轮胎内胎新增生产能力,载货汽车制造新增生产能力,客车制造新增生产能力,轿车制造新增生产能力,其他汽车制造新增生产能力,电视机新增生产能力,化学纤维新增生产能力,棉纺锭新增生产能力,毛纺锭新增生产能力,啤酒新增生产能力,白酒新增生产能力,其他酒新增生产能力,卷烟新增生产能力,机制纸浆新增生产能力,家用电冰箱新增生产能力,家用洗衣机新增生产能力,新建铁路投产里程新增生产能力,新建公路新增生产能力,改建公路新增生产能力,新(扩)建港口码头年吞吐量新增生产能力,新(扩)建港口码头泊位新增生产能力,城市自来水供水能力(万吨/日)新增生产能力
2009,32005.7,6327.48,2559.22,19.92,6823.83,4098.53,2911.55,1333710.7,1929.78,797.75,9206.0,1126580.6,594406,1878.79,695.7,84818.5,66624.0,892551.1,212500.0,667332.0,251400.0,1950800.0,695714.0,2486.69,5043.25,116.0,,1612.38,37960.12,10179.58,1342985.5,6336714.0,3575323.0,1074772.0,1937933.5,3518.7,7082.3,275650,58740,1760565,121300,299.64,1923430.2,10249173.0,161190.0,240.31,182.22,66.58,1315007.0,267.48,361.0,496.5,5597.79,107674.63,151945.42,13941.23,187,2268.84
2008,23059.13,4203.33,1765.17,60.56,8211.88,2144.39,2255.11,2050110.27,1458.02,319.2,3590.0,1161856.2,313806,1462.03,900.29,105331.4,123939.4,616698.0,327880.0,450197.0,72200.0,2682830.0,215260.15,2514.7,5704.84,292.9,,973.88,23547.37,15935.55,2526438.0,4648925.0,1665438.0,654147.5,3290094.93,5912.55,4136.52,92900,43500,830603,77757,514.2,2817572.26,9816359.0,352621.0,550.69,178.84,44.47,820000.0,192.26,1091.05,535.5,1458.8,75415.53,128652.62,17411.68,143,1701.95
2007,26983.86,4553.65,1956.48,112.71,8521.35,3108.71,2862.21,2791788.0,1119.62,448.03,211575.0,863079.8,277912,1921.34,3051.69,241873.0,356817.0,1056521.0,380000.0,739835.0,322000.0,1854430.0,788030.0,1674.43,7379.16,252.2,,626.11,24261.11,5628.97,1821761.0,3285902.0,2389156.0,551546.0,5481880.0,10754.6,6910.0,199341,14834,1520269,159335,344.0,2704284.0,20419912.0,175120.0,752.69,518.2,151.0,1074420.0,341.19,640.0,259.0,955.6,89686.97,157341.01,19830.55,186,2479.98
2006,22648.0,5113.0,1602.0,76.0,7908.0,3740.0,2784.0,2357315.0,623.0,857.0,40914.0,1085318.0,304945,1580.0,1284.0,161813.0,231221.0,765303.0,392750.0,803656.0,434797.0,2053518.0,663601.0,1295.0,8019.0,,,430.0,21219.0,5461.0,760060.0,6696240.0,2902662.0,643020.0,1974181.0,6637,1561.0,359895,2300,1194509,115040,1996.0,1217605.0,17565145.0,278309.0,481.0,228.0,51.0,701514.0,229.0,382.0,157.0,1756.0,62267,144297.0,30073,255,1818.0
2005,18376.54,7336.64,2388.24,128.96,9211.1,6872.54,4565.14,877.0,745.95,307.58,20914.0,1113448.05,498125,1089.44,399.0,75000.0,115772.0,505852.0,261300.0,670732.0,207040.0,1844360.0,1211171.0,1278.22,5276.08,2.0,,166.61,24117.08,6874.52,1097328.0,4424786.0,3165465.0,665790.0,4709032.0,3752,2243.5,134925,206800,948777,130356,2714.5,2665296.0,13786476.6,163844.0,383.75,316.22,47.71,1551074.0,194.1,604.0,909.7,1281.44,60374.05,105065.39,14840,181,2066.69
2004,15441.07,9284.31,2467.74,114.25,6322.15,5642.85,5282.9,752.93,396.95,413.82,13129.0,371435.0,75975,610.6,349.48,55045.0,107111.0,495241.0,169940.0,366105.0,166310.0,574000.0,1199360.0,1108.44,3698.11,65.0,,245.25,18909.27,5659.77,4591529.0,1485925.0,2526258.0,1573170.0,1124960.0,4395.44,2300.5,180350,140795,1435499,72988,1761.5,3295972.0,6741370.0,165788.0,309.55,117.97,46.53,1168950.0,170.15,263.9,339.4,1304.62,67729.94,93155.5,11408.43,140,1404.98
2003,7442.54,4091.75,1716.16,53.79,680.9,3030.45,3240.0,203.63,106.0,100.0,14365.0,337690.0,305390,3205.8,150.6,28915.0,31720.0,50320.0,16000.0,179819.0,82000.0,675800.0,1827359.47,1267.99,2139.1,,,13.42,7568.38,1172.5,981436.0,2578201.0,2066750.0,137100.0,687846.0,1667,438.4,37800,381400,361000,14100,233.5,875720.0,4480113.0,38014.0,228.69,51.73,16.01,435167.0,,77.0,212.5,930.9,27440.45,64071.94,9888,116,1019.55
2002,3419.31,1169.01,2540.58,164.07,303.05,1143.14,616.4,61.0,45.7,75.72,73.0,83800.0,75800,240.7,2237.8,20998.0,25884.0,32900.0,5000.0,228760.0,116500.0,387015.0,580664.0,522.58,3316.59,333.0,,160.75,4775.61,1530.0,416771.0,1133413.0,1106226.0,126788.0,789786.0,855.7,2060.0,80845,313000,419000,19200,470.0,297054.0,1692153.0,4580.0,216.4,61.85,8.51,274762.0,,15.0,90.0,2146.36,26085.78,60763.56,12254.65,165,849.02
2001,2719.7,1014.3,1930.73,17.64,363.6,580.43,391.5,70.0,44.98,84.0,2500.0,3865.0,,200.1,10.6,2200.0,25500.0,185100.0,132800.0,166351.0,86700.0,403000.0,555446.0,534.08,1261.41,,,155.01,3049.4,1802.1,246852.0,1843418.0,1913400.0,198101.0,967707.0,651,103.5,75900,3800,95500,19700,210.0,323153.0,467720.0,17201.0,519.09,37.3,8.81,680566.0,,81.0,250.0,986.84,18209.94,43373.78,6248.32,83,1439.87
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
