年份,原煤开采施工规模,焦炭施工规模,天然原油开采施工规模,天然气开采施工规模,铁矿开采(原矿)施工规模,生铁施工规模,粗钢施工规模,铁合金施工规模,铜采矿(原矿)施工规模,铜选矿处理原矿施工规模,铜选矿铜含量施工规模,铜冶炼施工规模,电解铜施工规模,铅锌采矿施工规模,铅锌选矿处理原矿施工规模,铅含量施工规模,锌含量施工规模,铅冶炼施工规模,电解铅施工规模,锌冶炼施工规模,电解锌施工规模,氧化铝施工规模,电解铝施工规模,水力发电施工规模,火力发电施工规模,核能发电施工规模,风能发电施工规模,其他发电施工规模,水泥施工规模,平板玻璃施工规模,电石施工规模,氮肥施工规模,磷肥施工规模,钾肥施工规模,塑料树脂及共聚物施工规模,轮胎外胎施工规模,轮胎内胎施工规模,载货汽车制造施工规模,客车制造施工规模,轿车制造施工规模,其他汽车制造施工规模,电视机施工规模,化学纤维施工规模,棉纺锭施工规模,毛纺锭施工规模,啤酒施工规模,白酒施工规模,其他酒施工规模,卷烟施工规模,机制纸浆施工规模,家用电冰箱施工规模,家用洗衣机施工规模,新建铁路投产里程施工规模,新建公路施工规模,改建公路施工规模,新(扩)建港口码头年吞吐量施工规模,新(扩)建港口码头泊位施工规模,城市自来水供水能力(万吨/日)施工规模
2009,101007.96,18461.98,2802.58,29.91,16411.93,6247.54,5199.5,5272880.7,3346.3,1788.45,72248.0,2640646.5,1231646.0,3535.92,2577.04,142798.5,178037.0,1477021.1,444180.0,2503422.0,983330.0,5981900.0,2988406.0,11117.86,18043.07,2985.9,,3534.01,93978.81,18935.53,6389909.5,15645973.0,6985658.67,3296149.0,6622962.3,8751.45,24736.3,698030.0,644420.0,3485065.0,374919.0,755.64,4244650.7,16342129.7,216802.0,736.28,272.3,112.27,4030006.0,623.07,636.0,977.5,20994.42,167687.57,216840.94,43080.07,498.0,8269.81
2008,89492.89,17168.79,2199.47,138.95,18370.19,10000.29,7115.61,5136785.12,3199.23,865.16,31896.0,2043914.7,824346.1,2832.1,1723.34,168259.4,193702.4,1149196.0,507880.0,1694601.3,504259.0,8668750.0,2200645.0,13188.02,21059.6,1717.9,,3103.93,75704.54,40633.12,7135681.0,11048616.0,5135529.3,1724663.94,7972789.23,9437.37,5517.52,303100.0,345950.0,3425118.0,271122.0,697.4,6468620.36,15445976.0,807306.0,916.88,329.96,80.99,2460005.0,423.21,1501.55,801.5,16408.82,119587.35,202289.32,19287273.0,511.0,7647.86
2007,109746.3,13358.6,3697.09,288.52,18383.51,9791.77,8014.01,6435847.0,4292.29,2268.55,275652.0,2629628.8,981412.0,3766.17,4245.29,334898.0,506192.0,2534065.0,1070000.0,8029819.0,685738.0,8202970.0,2892238.0,25044.48,23138.8,1078.2,,2128.71,60364.74,12522.42,4446131.0,13017239.0,7033293.0,2674426.0,13096544.0,14999.65,9379.0,493069.0,529284.0,3552227.0,387563.0,618.2,6356437.0,31788070.0,247880.0,1386.04,691.71,209.98,4088422.0,588.91,1384.9,607.25,12976.86,141541.82,240051.66,18572959.0,687.0,
2006,95264.64,13060.03,2137.14,119.77,16071.02,7462.35,7291.82,4905262.31,1055.65,1187.4,50032.0,2184148.0,786016.0,3186.01,1687.88,200189.0,272687.0,1718899.0,848550.0,1401319.0,723697.0,11438718.0,3383819.0,16789.94,25101.38,731.08,,1278.36,53145.09,8886.55,2041180.0,13423526.0,9086657.0,2345345.0,7675882.0,16005.01,13827.05,637813.0,187250.0,3541029.0,407070.0,2446.2,3388779.0,30385226.0,363355.0,896.51,340.04,172.47,3842714.0,405.36,607.0,773.0,9215.29,107992.26,206715.33,21700.22,50919.98,
2005,75655.99,18481.47,2628.23,152.79,18189.62,13501.48,,1543.77,1008.67,522.54,36615.0,1950339.0,781675.0,1528.07,720.3,95700.0,140172.0,1242208.0,821300.0,1278327.0,228045.0,10677570.0,3219177.5,15190.34,27253.31,532.0,,848.94,58312.14,17048.26,2577960.0,9806545.0,6214065.0,1542796.0,10404741.0,7676.8,3443.5,504680.0,346337.0,4198296.0,375055.0,4253.5,4939477.0,22927497.0,441164.0,760.06,389.22,130.0,5261368.0,560.68,922.7,1184.7,,102010.72,152268.54,,572.0,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,26156.0,11091.0,2218.0,54.0,2237.0,7912.0,7042.0,785.0,342.0,410.0,24510.0,423300.0,390500.0,3258.0,295.0,35435.0,41730.0,278320.0,56000.0,481819.0,221500.0,4479800.0,4716229.0,6690.0,9120.0,460.0,,172.0,17582.0,2218.0,1644607.0,3802676.0,3195650.0,307350.0,3564930.0,4380.0,977.0,106094.0,956400.0,1472999.0,57800.0,264.0,1536510.0,6149367.0,71514.0,317.0,62.0,30.0,3807167.0,1071.0,168.0,224.0,,53502.0,102701.0,,20374.0,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
