年份,政府部门实物交易资金来源_净出口,政府部门实物交易资金来源_增加值,政府部门实物交易资金来源_劳动者报酬,政府部门实物交易资金来源_工资及工资性收入,政府部门实物交易资金来源_单位社会保险付款,政府部门实物交易资金来源_生产税净额,政府部门实物交易资金来源_生产税,政府部门实物交易资金来源_生产补贴,政府部门实物交易资金来源_财产收入,政府部门实物交易资金来源_利息,政府部门实物交易资金来源_红利,政府部门实物交易资金来源_地租,政府部门实物交易资金来源_其他财产收入,政府部门实物交易资金来源_初次分配总收入,政府部门实物交易资金来源_经常转移,政府部门实物交易资金来源_收入税,政府部门实物交易资金来源_社会保险缴款,政府部门实物交易资金来源_社会保险福利,政府部门实物交易资金来源_社会补助,政府部门实物交易资金来源_其他经常转移,政府部门实物交易资金来源_可支配总收入,政府部门实物交易资金来源_最终消费,政府部门实物交易资金来源_居民消费,政府部门实物交易资金来源_政府消费,政府部门实物交易资金来源_总储蓄,政府部门实物交易资金来源_资本转移,政府部门实物交易资金来源_投资性补助,政府部门实物交易资金来源_其他资本转移,政府部门实物交易资金来源_资本形成总额,政府部门实物交易资金来源_固定资本形成总额,政府部门实物交易资金来源_存货增加,政府部门实物交易资金来源_其他非金融资产获得减处置,政府部门实物交易资金来源_净金融投资
2009,,33231.2742418623,,,,41962.7575438905,,,6252.87119571225,1706.65485829852,2064.86118541373,1733.808814,747.546338,49606.338018973,33521.0741500862,15486.184512,16115.6,,,1919.28963808618,62603.3356510491,,,,16913.1356510491,1006.462,,1006.462,,,,,
2008,,29688.9926524295,,,,39556.3366666667,,,5546.16079524479,1893.4712058485,1598.61958939629,1337.06,717.01,46549.1445087619,30725.160236596,14897.94,13696.1,,,2131.120236596,60544.0695694769,,,,18791.9695694769,768.03287929,,768.03287929,,,,,
2007,,24304.2464657321,,,,35304.8632,,,3438.43044742292,1653.90314742292,271.0368,965.6565,547.834,39266.8590424631,24465.06151648,11964.83,10812.3,,,1687.93151648,51192.0948108631,,,,15291.6948108631,655.149788,,655.149788,,,,,
2006,,19915.5,,,,27656.6856117,,,2837.06618537708,1463.23478537708,329.7385,579.864,464.2289,31372.9915429133,18643.525060926,8814.8529,8643.2,,,1185.472160926,39724.8531502913,,,,9196.45315029133,558.51150064,,558.51150064,,,,,
2005,,17113.1365675279,,,,23685.681399,,,1496.14077925847,923.644679258472,191.9474,306.0631,74.4856,26073.9352939888,14855.696654146,6949.2665,6975.2,,,931.230154146,32573.6857413288,,,,6174.85574132877,480.691176799,,480.691176799,,,,2183.967833,
2004,,14480.2145736576,,,,20608.8261,,,1053.1886765665,724.828676566498,99.84,175.1,53.42,21912.6586382763,11831.031059648,5408.8443,5780.3,,,641.886759648,26517.5758512683,,,,4183.45585126828,75.04,,75.04,,,,,
2003,,12347.7,,,,17516.1702,,,847.789331669729,562.899331669729,78.08,126.15,80.66,18387.5235701358,9618.36277398,4195.8818,4882.9,,,539.58097398,21946.8185753958,,,,1911.11857539582,37.28,,37.28,,,,,
2002,,11389.16,,,,14761.7561,,,1183.0813994658,415.061399465804,618.9,110.53,38.59,16599.9521849969,8079.70284284,3542.89,4048.7,,,488.11284284,19505.9400744969,,,,746.040074496865,20.51,,20.51,,,,,
2001,,9110.68372104467,,,,12968.1697732936,,,754.040906437614,378.890906437614,263.12,92.84,19.19,13697.282635238,6877.47670188,3363.0008,3101.9,,,412.57590188,16324.182435678,,,,-1173.81756432198,10.33,,10.33,,,,,
2000,,7808.92446718097,,,,11975.3053093033,,,500.16752935639,369.56752935639,20.6,84.17,25.83,12865.1999294063,5115.216951712,2118.8631,2644.9,,,351.453851712,14314.0617166383,,,,-1347.3382833617,8.39,,8.39,,,,,
