省份编码,省份,年份,农用塑料薄膜使用量(吨)
150000,内蒙古自治区,2016,95631.25
150000,内蒙古自治区,2015,95020.9
150000,内蒙古自治区,2014,89409.37
150000,内蒙古自治区,2013,80822
150000,内蒙古自治区,2012,69234
150000,内蒙古自治区,2011,60659.756
150000,内蒙古自治区,2010,60558
150000,内蒙古自治区,2009,51136
150000,内蒙古自治区,2008,49058
150000,内蒙古自治区,2007,41253
150000,内蒙古自治区,2006,40779.5
150000,内蒙古自治区,2005,40306
150000,内蒙古自治区,2004,40124
150000,内蒙古自治区,2003,32066
150000,内蒙古自治区,2002,30031
150000,内蒙古自治区,2001,30420
150000,内蒙古自治区,2000,34586
210000,辽宁省,2019,113505
210000,辽宁省,2018,117975.7235
210000,辽宁省,2017,124791.339936559
210000,辽宁省,2016,137273.22
210000,辽宁省,2015,141942.21
210000,辽宁省,2014,146206.8
210000,辽宁省,2013,146068
210000,辽宁省,2012,145054
210000,辽宁省,2011,143348
210000,辽宁省,2010,125382
210000,辽宁省,2009,123338
210000,辽宁省,2008,109889
210000,辽宁省,2007,112390
210000,辽宁省,2006,99322
210000,辽宁省,2005,91765
210000,辽宁省,2004,83114
210000,辽宁省,2003,80316
210000,辽宁省,2002,91369
210000,辽宁省,2001,84904
210000,辽宁省,2000,80678
220000,吉林省,2019,53130
220000,吉林省,2018,56216
220000,吉林省,2017,60752
220000,吉林省,2016,59565
220000,吉林省,2015,59164
220000,吉林省,2014,57858
220000,吉林省,2013,58485
220000,吉林省,2012,56700
220000,吉林省,2011,57069
220000,吉林省,2010,52552
220000,吉林省,2009,51980
220000,吉林省,2008,50107
220000,吉林省,2007,47250
220000,吉林省,2006,45620
220000,吉林省,2005,41718
220000,吉林省,2004,41848
220000,吉林省,2003,42793
220000,吉林省,2002,45253
220000,吉林省,2001,51460
220000,吉林省,2000,36390
230000,黑龙江省,2019,71831
230000,黑龙江省,2018,77431
230000,黑龙江省,2017,79770
230000,黑龙江省,2016,82575
230000,黑龙江省,2015,83097
230000,黑龙江省,2014,84424
230000,黑龙江省,2013,85378
230000,黑龙江省,2012,84590
230000,黑龙江省,2011,75589
230000,黑龙江省,2010,69377
230000,黑龙江省,2009,64567
230000,黑龙江省,2008,65606
230000,黑龙江省,2007,63612
230000,黑龙江省,2006,60025
230000,黑龙江省,2005,56565
230000,黑龙江省,2004,51657
230000,黑龙江省,2003,49884
230000,黑龙江省,2002,48944
230000,黑龙江省,2001,51561
230000,黑龙江省,2000,52878
310000,上海市,2019,13213
310000,上海市,2018,14780.8
310000,上海市,2017,15664.3
310000,上海市,2016,17061.9208
310000,上海市,2015,18030.25
310000,上海市,2014,19286.79
310000,上海市,2013,19436
310000,上海市,2012,19300.2
310000,上海市,2011,20489
310000,上海市,2010,21128.22
310000,上海市,2009,20389
310000,上海市,2008,21280
310000,上海市,2007,21287
310000,上海市,2006,22107
310000,上海市,2005,24414
310000,上海市,2004,23743
310000,上海市,2003,22472
310000,上海市,2002,22460
310000,上海市,2001,22273
310000,上海市,2000,21306
320000,江苏省,2019,114153
320000,江苏省,2018,116064
320000,江苏省,2017,115085
320000,江苏省,2016,113941
320000,江苏省,2015,113243
320000,江苏省,2014,119846
320000,江苏省,2013,116846
320000,江苏省,2012,112550
320000,江苏省,2011,106440
320000,江苏省,2010,100194
320000,江苏省,2009,94252
320000,江苏省,2008,85375
320000,江苏省,2007,80407
320000,江苏省,2006,75100
320000,江苏省,2005,72029
320000,江苏省,2004,70433
320000,江苏省,2003,69678
320000,江苏省,2002,68823
320000,江苏省,2001,66102
320000,江苏省,2000,65058
330000,浙江省,2019,66737
330000,浙江省,2018,68731
330000,浙江省,2017,67891
330000,浙江省,2016,67300
330000,浙江省,2015,67458
330000,浙江省,2014,65677
330000,浙江省,2013,64663
330000,浙江省,2012,62287
330000,浙江省,2011,58416
330000,浙江省,2010,55426
330000,浙江省,2009,54402
330000,浙江省,2008,52104
330000,浙江省,2007,49150
330000,浙江省,2006,47500
330000,浙江省,2005,44730
330000,浙江省,2004,43615
330000,浙江省,2003,42429
330000,浙江省,2002,39240
330000,浙江省,2001,35361
330000,浙江省,2000,31636
340000,安徽省,2019,103735
340000,安徽省,2018,97828
340000,安徽省,2017,97601
340000,安徽省,2016,96966
340000,安徽省,2015,97943
340000,安徽省,2014,96155
340000,安徽省,2013,94882
340000,安徽省,2012,91171
340000,安徽省,2011,86114
340000,安徽省,2010,80721
340000,安徽省,2009,76678
340000,安徽省,2008,71660
340000,安徽省,2007,77394
340000,安徽省,2006,76209
340000,安徽省,2005,78293
340000,安徽省,2004,72813
340000,安徽省,2003,67565
340000,安徽省,2002,65487
340000,安徽省,2001,65655
340000,安徽省,2000,58101
350000,福建省,2019,58507
350000,福建省,2018,60002
350000,福建省,2017,62415
350000,福建省,2016,62424
350000,福建省,2015,62067
350000,福建省,2014,60932
350000,福建省,2013,59154
350000,福建省,2012,58692
350000,福建省,2011,57814
350000,福建省,2010,57053
350000,福建省,2009,58350
350000,福建省,2008,61799
350000,福建省,2007,60881
350000,福建省,2006,48452
350000,福建省,2005,36023
350000,福建省,2004,29538
350000,福建省,2003,26491
350000,福建省,2002,25553
350000,福建省,2001,22697
350000,福建省,2000,21152
360000,江西省,2019,52020
360000,江西省,2018,52218
360000,江西省,2017,53509
360000,江西省,2016,52757
360000,江西省,2015,53977
360000,江西省,2014,53122
360000,江西省,2013,51401
360000,江西省,2012,50275
360000,江西省,2011,47710
360000,江西省,2010,45491
360000,江西省,2009,43719
360000,江西省,2008,41645
360000,江西省,2007,38071
360000,江西省,2006,40854
360000,江西省,2005,45010
360000,江西省,2004,42828
360000,江西省,2003,33930
360000,江西省,2002,35407
360000,江西省,2001,30778
360000,江西省,2000,28599
370000,山东省,2019,267113
370000,山东省,2018,276935
370000,山东省,2017,287098
370000,山东省,2016,297961
370000,山东省,2015,301575
370000,山东省,2014,305168
370000,山东省,2013,318727
370000,山东省,2012,318055
370000,山东省,2011,318317
370000,山东省,2010,322965
370000,山东省,2009,313844
370000,山东省,2008,321250
370000,山东省,2007,341192
370000,山东省,2006,343524
370000,山东省,2005,331646
370000,山东省,2004,327160
370000,山东省,2003,305676
370000,山东省,2002,292175
370000,山东省,2001,257711
370000,山东省,2000,225120
410000,河南省,2019,150762
410000,河南省,2018,152838
410000,河南省,2017,157298
410000,河南省,2016,163149
410000,河南省,2015,162001
410000,河南省,2014,163477
410000,河南省,2013,167794
410000,河南省,2012,155169
410000,河南省,2011,151616
410000,河南省,2010,146979
410000,河南省,2009,141354
410000,河南省,2008,130736
410000,河南省,2007,126619
410000,河南省,2006,118414
410000,河南省,2005,108427
410000,河南省,2004,101631
410000,河南省,2003,98809
410000,河南省,2002,98610
410000,河南省,2001,94092
410000,河南省,2000,91901
420000,湖北省,2019,58801
420000,湖北省,2018,63554
420000,湖北省,2017,65876
420000,湖北省,2016,67306
420000,湖北省,2015,71321
420000,湖北省,2014,69186
420000,湖北省,2013,66310
420000,湖北省,2012,65044
420000,湖北省,2011,65044
420000,湖北省,2010,63768
420000,湖北省,2009,61300
420000,湖北省,2008,59135
420000,湖北省,2007,58421
420000,湖北省,2006,55830
420000,湖北省,2005,54622
420000,湖北省,2004,55099
420000,湖北省,2003,67621
420000,湖北省,2002,52443
420000,湖北省,2001,53526
420000,湖北省,2000,51420
430000,湖南省,2019,83792
430000,湖南省,2018,85397.28
430000,湖南省,2017,85208.72
430000,湖南省,2016,84679
430000,湖南省,2015,83989
430000,湖南省,2014,82946
430000,湖南省,2013,82406.8
430000,湖南省,2012,79536
430000,湖南省,2011,73729
430000,湖南省,2010,73173
430000,湖南省,2009,71353
430000,湖南省,2008,69465
430000,湖南省,2007,68042
430000,湖南省,2006,63674
430000,湖南省,2005,59306
430000,湖南省,2004,58717
430000,湖南省,2003,50609
430000,湖南省,2002,47568
430000,湖南省,2001,43011
430000,湖南省,2000,40446
440000,广东省,2019,43842
440000,广东省,2018,44814
440000,广东省,2017,45866.9
440000,广东省,2016,45505
440000,广东省,2015,46795
440000,广东省,2014,46206
440000,广东省,2013,45781
440000,广东省,2012,44430
440000,广东省,2011,44035
440000,广东省,2010,42116
440000,广东省,2009,40594
440000,广东省,2008,35602
440000,广东省,2007,32374
440000,广东省,2006,32790.5
440000,广东省,2005,33207
440000,广东省,2004,36331
440000,广东省,2003,32063
440000,广东省,2002,31452
440000,广东省,2001,28560
440000,广东省,2000,25302
450000,广西壮族自治区,2019,47577
450000,广西壮族自治区,2018,47195.12
450000,广西壮族自治区,2017,47693
450000,广西壮族自治区,2016,48445
450000,广西壮族自治区,2015,46276
450000,广西壮族自治区,2014,44087
450000,广西壮族自治区,2013,41479
450000,广西壮族自治区,2012,39699
450000,广西壮族自治区,2011,37403
450000,广西壮族自治区,2010,35119
450000,广西壮族自治区,2009,33263
450000,广西壮族自治区,2008,29708
450000,广西壮族自治区,2007,26747
450000,广西壮族自治区,2006,25077
450000,广西壮族自治区,2005,23614
450000,广西壮族自治区,2004,20927
450000,广西壮族自治区,2003,20540
450000,广西壮族自治区,2002,19944
450000,广西壮族自治区,2001,18889
450000,广西壮族自治区,2000,17737
460000,海南省,2019,30550
460000,海南省,2018,25539
460000,海南省,2017,27641.86
460000,海南省,2016,26703.98
460000,海南省,2015,32433
460000,海南省,2014,28100
460000,海南省,2013,23332.97
460000,海南省,2012,21394
460000,海南省,2011,19386.69
460000,海南省,2010,16075
460000,海南省,2009,14756.17
460000,海南省,2008,19417.41
460000,海南省,2007,21947.21
460000,海南省,2006,15766.05
460000,海南省,2005,9584.89
460000,海南省,2004,4169.22
460000,海南省,2003,5095
460000,海南省,2002,3530
460000,海南省,2001,730
460000,海南省,2000,599
500000,重庆市,2019,42559
500000,重庆市,2018,44625
500000,重庆市,2017,45478.81
500000,重庆市,2016,45264.71
500000,重庆市,2015,45161.65
500000,重庆市,2014,43824
500000,重庆市,2013,42860
500000,重庆市,2012,40928
500000,重庆市,2011,39332
500000,重庆市,2010,36602
500000,重庆市,2009,34712
500000,重庆市,2008,30914
500000,重庆市,2007,30053
500000,重庆市,2006,28226
500000,重庆市,2005,27472
500000,重庆市,2004,26834
500000,重庆市,2003,24245
500000,重庆市,2002,25337
500000,重庆市,2001,19444
500000,重庆市,2000,19575
510000,四川省,2019,123235
510000,四川省,2018,120186
510000,四川省,2017,130993
510000,四川省,2016,132384
510000,四川省,2015,132170
510000,四川省,2014,130263
510000,四川省,2013,127854
510000,四川省,2012,126827
510000,四川省,2011,122227
510000,四川省,2010,114161
510000,四川省,2009,109217
510000,四川省,2008,103240
510000,四川省,2007,99424
510000,四川省,2006,96327
510000,四川省,2005,91255
510000,四川省,2004,85900
510000,四川省,2003,81751
510000,四川省,2002,75648
510000,四川省,2001,74311
510000,四川省,2000,72551
520000,贵州省,2019,44121
520000,贵州省,2018,55030.67
520000,贵州省,2017,51138.39
520000,贵州省,2016,51053
520000,贵州省,2015,49403
520000,贵州省,2014,48949
520000,贵州省,2013,47495
520000,贵州省,2012,44062
520000,贵州省,2011,40857
520000,贵州省,2010,36174
520000,贵州省,2009,46470
520000,贵州省,2008,47765
520000,贵州省,2007,33710
520000,贵州省,2006,30681
520000,贵州省,2005,29321
520000,贵州省,2004,26657
520000,贵州省,2003,24629
520000,贵州省,2002,22838
520000,贵州省,2001,19805
520000,贵州省,2000,19892
530000,云南省,2019,122139
530000,云南省,2018,119685
530000,云南省,2017,120150
530000,云南省,2016,115926
530000,云南省,2015,113104
530000,云南省,2014,110993
530000,云南省,2013,106606
530000,云南省,2012,101280
530000,云南省,2011,91229
530000,云南省,2010,85690
530000,云南省,2009,81354
530000,云南省,2008,74830
530000,云南省,2007,69845
530000,云南省,2006,68833
530000,云南省,2005,67821
530000,云南省,2004,63127
530000,云南省,2003,61542
530000,云南省,2002,56638
530000,云南省,2001,50929
530000,云南省,2000,48591
540000,西藏自治区,2019,1492
540000,西藏自治区,2018,1777.82
540000,西藏自治区,2017,1870.28
540000,西藏自治区,2016,1784.33
540000,西藏自治区,2015,1866.29
540000,西藏自治区,2014,1723.8
540000,西藏自治区,2013,1335.7
540000,西藏自治区,2012,1152.31
540000,西藏自治区,2011,1031.68
540000,西藏自治区,2010,852
540000,西藏自治区,2009,440.57
540000,西藏自治区,2008,527
540000,西藏自治区,2007,484.31
540000,西藏自治区,2006,602.185
540000,西藏自治区,2005,720.06
540000,西藏自治区,2004,680
540000,西藏自治区,2003,578.96
540000,西藏自治区,2002,521
540000,西藏自治区,2001,294
540000,西藏自治区,2000,128.33
610000,陕西省,2019,44780
610000,陕西省,2018,44146.71
610000,陕西省,2017,43953.56
610000,陕西省,2016,43716.55
610000,陕西省,2015,43068.4
610000,陕西省,2014,41478.69
610000,陕西省,2013,40847.058
610000,陕西省,2012,39076.697
610000,陕西省,2011,37912
610000,陕西省,2010,36811
610000,陕西省,2009,34970.917
610000,陕西省,2008,27612
610000,陕西省,2007,26780
610000,陕西省,2006,24991
610000,陕西省,2005,23644
610000,陕西省,2004,22913
610000,陕西省,2003,21778.11
610000,陕西省,2002,20612
610000,陕西省,2001,23071
610000,陕西省,2000,25343
620000,甘肃省,2019,152253
620000,甘肃省,2018,161272
620000,甘肃省,2017,172188
620000,甘肃省,2016,195092
620000,甘肃省,2015,183735
620000,甘肃省,2014,176169
620000,甘肃省,2013,165791
620000,甘肃省,2012,150374
620000,甘肃省,2011,143989
620000,甘肃省,2010,123712
620000,甘肃省,2009,98483.2
620000,甘肃省,2008,90670
620000,甘肃省,2007,84642
620000,甘肃省,2006,79189
620000,甘肃省,2005,78174
620000,甘肃省,2004,77013
620000,甘肃省,2003,77200
620000,甘肃省,2002,79410
620000,甘肃省,2001,69969
620000,甘肃省,2000,64233
630000,青海省,2019,7780
630000,青海省,2018,7556.34
630000,青海省,2017,8415.78
630000,青海省,2016,7943.9
630000,青海省,2015,7377
630000,青海省,2014,7045.86
630000,青海省,2013,6472.24
630000,青海省,2012,5329.18
630000,青海省,2011,5405.86
630000,青海省,2010,3113.36
630000,青海省,2009,2113.79
630000,青海省,2008,1070
630000,青海省,2007,958.62
630000,青海省,2006,1123
630000,青海省,2005,1157
630000,青海省,2004,960.01
630000,青海省,2003,994.22
630000,青海省,2002,821
630000,青海省,2001,645
630000,青海省,2000,636
640000,宁夏回族自治区,2019,15600
640000,宁夏回族自治区,2018,14975.224
640000,宁夏回族自治区,2017,15087.329
640000,宁夏回族自治区,2016,15136.775
640000,宁夏回族自治区,2015,15641.545
640000,宁夏回族自治区,2014,15281.258
640000,宁夏回族自治区,2013,16627.265
640000,宁夏回族自治区,2012,15281.744
640000,宁夏回族自治区,2011,15243.52
640000,宁夏回族自治区,2010,14052.512
640000,宁夏回族自治区,2009,12232.32
640000,宁夏回族自治区,2008,9364.56
640000,宁夏回族自治区,2007,7737
640000,宁夏回族自治区,2006,6536.155
640000,宁夏回族自治区,2005,6061.469
640000,宁夏回族自治区,2004,5979
640000,宁夏回族自治区,2003,5919
640000,宁夏回族自治区,2002,5289
640000,宁夏回族自治区,2001,5232
640000,宁夏回族自治区,2000,4801
650000,新疆维吾尔自治区,2019,262677
650000,新疆维吾尔自治区,2018,269839
650000,新疆维吾尔自治区,2017,252646
650000,新疆维吾尔自治区,2016,266197.5
650000,新疆维吾尔自治区,2015,268901.07
650000,新疆维吾尔自治区,2014,262921.1
650000,新疆维吾尔自治区,2013,206666
650000,新疆维吾尔自治区,2012,187756
650000,新疆维吾尔自治区,2011,182977
650000,新疆维吾尔自治区,2010,170713
650000,新疆维吾尔自治区,2009,158280
650000,新疆维吾尔自治区,2008,169034
650000,新疆维吾尔自治区,2007,141331.5
650000,新疆维吾尔自治区,2006,128626.25
650000,新疆维吾尔自治区,2005,115921
650000,新疆维吾尔自治区,2004,105636
650000,新疆维吾尔自治区,2003,99390
650000,新疆维吾尔自治区,2002,96828
650000,新疆维吾尔自治区,2001,104717
650000,新疆维吾尔自治区,2000,88125
