省份编码,省份,年份,猪出栏数量(万头),牛出栏数量(万头),羊出栏数量(万只),家禽出栏量(万只)
150000,内蒙古自治区,2014,930.07612,336.80832,5665.70505413322,11534.87
150000,内蒙古自治区,2013,931.94,320.16,5401.05343578,11364.3544
150000,内蒙古自治区,2012,940.3989,316.30049,5390.27289,11887.4196
150000,内蒙古自治区,2011,905.1,306.79,5300.17,9434.46
150000,内蒙古自治区,2010,913.91535,306.789,5397.9312,8958.90632
150000,内蒙古自治区,2009,883.01,294.0,5339.2,8838.7
150000,内蒙古自治区,2008,833.12,267.8,5183.7,8751.2
150000,内蒙古自治区,2007,775.9,253.7889,4874.9435,8773.9
150000,内蒙古自治区,2006,917.956828,227.696012,4513.02158,9191.66754
150000,内蒙古自治区,2005,957.72,218.0,4539.6,14535.89
150000,内蒙古自治区,2004,875.84,186.33,3782.99,12603.18
150000,内蒙古自治区,2003,791.91,149.07,2867.74,9234.94
150000,内蒙古自治区,2002,838.5,129.6,2156.01,7005.95
150000,内蒙古自治区,2001,878.0,161.8,2146.5,5339.9
150000,内蒙古自治区,2000,851.3,158.43,2081.21,4682.12
210000,辽宁省,2019,,,,
210000,辽宁省,2018,2495.8,175.1,583.6,76271.3
210000,辽宁省,2017,2627.2,159.885,620.8,75891.8142029051
210000,辽宁省,2016,2151.847853285,155.211,569.595380693595,79951.9284058102
210000,辽宁省,2015,2249.91997411466,160.567829416583,574.59231727939,76511.4295629952
210000,辽宁省,2014,2433.99455608442,180.695134666583,626.666390142492,68881.9528573814
210000,辽宁省,2013,2434.48066983276,193.774593518418,594.656301607685,68587.5583441144
210000,辽宁省,2012,2430.76920959683,204.764875497214,600.662868927447,70659.0356405036
210000,辽宁省,2011,2408.64633100658,212.75433438593,624.285191612958,68684.0655943393
210000,辽宁省,2010,2483.81143141512,222.740123711406,646.840496565827,68157.186924829
210000,辽宁省,2009,2451.21741707569,228.100491387685,658.680651532461,65304.5515225723
210000,辽宁省,2008,2398.80825465652,226.991025938151,636.839549885037,63838.4239487121
210000,辽宁省,2007,2222.1917158306,243.235674555158,626.436040136093,61383.1425546689
210000,辽宁省,2006,2245.79488,236.45076,597.22652,55341.163625
210000,辽宁省,2005,2301.86,278.8074,563.0,54757.84
210000,辽宁省,2004,2102.16,247.92,483.7,51223.42
210000,辽宁省,2003,1712.8,224.63,403.1,47962.0
210000,辽宁省,2002,1539.8,198.6,319.84,45592.0
210000,辽宁省,2001,1397.3,181.9,267.29,41175.0
210000,辽宁省,2000,1320.1,171.74,239.23,38038.83
220000,吉林省,2019,,,,
220000,吉林省,2018,1570.41795993506,249.557074334653,383.018080606869,45062.2641990025
220000,吉林省,2017,1691.7063758057,233.60035774811,406.671574148392,42818.4400258215
220000,吉林省,2016,1570.07944805989,242.03253533871,412.307078055549,48098.8226521929
220000,吉林省,2015,1618.64023483792,245.23323062874,396.550897969705,44597.0847834614
220000,吉林省,2014,1679.05684827936,248.103092772431,366.6468428894,42350.9556133802
220000,吉林省,2013,1633.44028793035,251.813208516515,342.324991033975,44353.1492366006
220000,吉林省,2012,1595.41754009323,257.304911393472,328.730411268105,45014.8406163325
220000,吉林省,2011,1457.51678628093,261.610937027891,314.462426067567,41769.2126760951
220000,吉林省,2010,1436.69311472372,267.302842721206,308.339769903268,40033.5371673078
220000,吉林省,2009,1362.13416397737,264.42378561921,295.809579031314,40175.6545463954
220000,吉林省,2008,1263.96699796419,258.806519340532,283.786727604262,38327.698005463
220000,吉林省,2007,1168.48494971617,315.572875505576,355.406646426484,45678.1702755324
220000,吉林省,2006,1302.2817573,310.530369765,330.34378,43831.704945
220000,吉林省,2005,1272.38,350.02,335.01,47997.98
220000,吉林省,2004,1159.09,335.01,320.0,45500.03
220000,吉林省,2003,1127.08,322.01,303.0,44323.55
220000,吉林省,2002,1008.6,295.9,284.83,43547.7
220000,吉林省,2001,1197.8,282.1,272.8,43113.8
220000,吉林省,2000,1153.9,268.08,256.85,41498.8
230000,黑龙江省,2019,,,,
230000,黑龙江省,2018,1964.37,270.18,743.907683,24632.78
230000,黑龙江省,2017,2090.45434212326,281.5458,780.38415,25464.6782460143
230000,黑龙江省,2016,2026.29010845907,274.328361734943,782.771227767365,23656.0429038609
230000,黑龙江省,2015,2027.63472419882,269.742735235932,755.988985290409,22473.0381039121
230000,黑龙江省,2014,2070.81487616841,263.619069666928,731.834318642389,21600.8268452874
230000,黑龙江省,2013,1945.36061245758,256.237651532334,726.766896133698,21939.1095561161
230000,黑龙江省,2012,1867.42733464247,255.981669862471,743.613988878824,21502.2534715983
230000,黑龙江省,2011,1714.53184996549,252.816,718.727525655991,19563.0042911967
230000,黑龙江省,2010,1663.13267033054,251.9361,736.490059944209,18810.5109664177
230000,黑龙江省,2009,1555.80164044955,237.9,703.675948157729,17859.5092655634
230000,黑龙江省,2008,1369.47052076079,210.7,635.868896669088,16701.4582714205
230000,黑龙江省,2007,1244.62862855493,214.6,632.282395558439,16078.861452079
230000,黑龙江省,2006,1330.79716,212.0227242,624.48,13119.18696
230000,黑龙江省,2005,1392.24,212.86,693.7,15096.34
230000,黑龙江省,2004,1295.53,214.31,582.87,14943.9
230000,黑龙江省,2003,1174.2,203.52,422.7,14273.08
230000,黑龙江省,2002,1131.3,192.3,319.62,13856.39
230000,黑龙江省,2001,1006.7,159.2,266.6,17625.8
230000,黑龙江省,2000,1101.8,182.47,235.74,17057.79
310000,上海市,2019,,,,
310000,上海市,2018,148.86,0.26,16.47,983.95
310000,上海市,2017,189.67,0.9849,22.39,1272.7382
310000,上海市,2016,238.6271,0.4343,18.4897847113885,1620.6628805265
310000,上海市,2015,275.687502963482,0.36011313850225,23.7591696183586,1848.85063329121
310000,上海市,2014,297.145903382379,0.321567972388312,25.3146094842536,2071.65500793703
310000,上海市,2013,292.415903382379,0.296425643552854,28.1477790228179,2540.90170229309
310000,上海市,2012,279.275903382379,0.039448189145371,30.6517949393958,3530.44382175506
310000,上海市,2011,273.155903382379,0.0,31.1079399350822,4181.94014852189
310000,上海市,2010,272.915903382379,,33.6213150348341,3993.81272924389
310000,上海市,2009,276.675903382379,0.02,36.1357469778042,4030.11620176103
310000,上海市,2008,265.155903382379,0.02,38.033545900116,4408.6315781667
310000,上海市,2007,212.025903382379,0.10810368,16.4940389075684,4504.24151660116
310000,上海市,2006,206.1156427,0.1201152,17.93076,4743.13788
310000,上海市,2005,280.0,0.3,46.63,7700.0
310000,上海市,2004,106.53,0.05,53.61,3149.88
310000,上海市,2003,410.0,0.15,72.0,14800.0
310000,上海市,2002,450.0,0.37,72.0,15900.0
310000,上海市,2001,480.0,0.26,66.8,17500.0
310000,上海市,2000,473.0,0.32,61.88,17213.07
320000,江苏省,2019,,,,
320000,江苏省,2018,2680.9042,15.4905,690.4795,64200.9775
320000,江苏省,2017,2805.5,16.36,707.7,66150.9
320000,江苏省,2016,2787.36709703852,16.972,646.711677192679,75966.599241776
320000,江苏省,2015,2921.8620215428,17.3998511633655,647.415651094855,77695.6934049902
320000,江苏省,2014,3021.75572098292,17.5996989064869,646.436792553912,79535.4121130222
320000,江苏省,2013,3004.50497787392,17.2909562807296,640.957215934193,83600.4137872704
320000,江苏省,2012,3004.54407451841,18.818756096501,634.903697306684,91884.827332954
320000,江苏省,2011,2847.78882048288,19.3591720034628,620.788470110078,86754.3461602454
320000,江苏省,2010,2822.91628643655,18.7065398959316,637.437071828616,82431.7792673265
320000,江苏省,2009,2730.62253814933,17.4989521827666,659.877834404813,74010.3297873833
320000,江苏省,2008,2593.24515938975,15.9989051425938,632.253472418576,69069.7582562924
320000,江苏省,2007,2425.94304923788,15.0088445026997,648.157430753168,64635.5998515491
320000,江苏省,2006,2791.39626,15.56866822,657.885105,63252.3
320000,江苏省,2005,2974.88,30.71,1569.06,61706.22
320000,江苏省,2004,2988.63,28.43,1523.52,58258.68
320000,江苏省,2003,3009.06,29.9,1548.04,61151.7
320000,江苏省,2002,2955.7,28.54,1504.26,60486.36
320000,江苏省,2001,2919.5,26.81,1433.59,58355.33
320000,江苏省,2000,2780.0,27.43,1372.4,57275.3
330000,浙江省,2019,,,,
330000,浙江省,2018,911.62,8.15,135.06,17195.93
330000,浙江省,2017,1022.42,8.79,141.95,17319.88
330000,浙江省,2016,1157.64010735584,9.52,150.233982949682,18294.388937068
330000,浙江省,2015,1315.63,8.95,137.35,18240.37
330000,浙江省,2014,1724.53,8.71,124.84,20434.2
330000,浙江省,2013,1895.1,8.8,123.05,24166.75
330000,浙江省,2012,1934.41,8.91,118.6,28399.42
330000,浙江省,2011,1929.91,8.33,125.21,26908.1
330000,浙江省,2010,1922.17,7.91,121.9,28876.56
330000,浙江省,2009,1894.0,7.21,110.19,27650.85
330000,浙江省,2008,1888.98,7.02,112.13,28470.81
330000,浙江省,2007,1658.86,7.13,125.65,22251.97
330000,浙江省,2006,1855.5426,6.431701724,134.446075,21232.75287
330000,浙江省,2005,1867.07,9.25,218.03,21624.47
330000,浙江省,2004,1893.08,9.94,212.22,19174.84
330000,浙江省,2003,1792.01,9.56,200.21,20761.32
330000,浙江省,2002,1719.2,8.97,181.08,18693.32
330000,浙江省,2001,1669.3,8.1,162.4,17017.0
330000,浙江省,2000,1359.8,6.99,159.25,17380.8
340000,安徽省,2019,,,,
340000,安徽省,2018,2837.3883048,56.7430078896,1197.23182190416,89360.9836271798
340000,安徽省,2017,2828.9016,53.1301572,1170.33049408801,87351.8901536459
340000,安徽省,2016,2760.43581889129,55.026,693.530381308175,91376.7803072918
340000,安徽省,2015,2872.20363425658,58.1310681907754,717.607317678065,86665.4946153279
340000,安徽省,2014,2990.35612692057,69.4319541734568,690.259188349255,81164.9340829945
340000,安徽省,2013,2888.19485492876,73.0398606249462,708.976766467911,80794.113711991
340000,安徽省,2012,2857.09929738519,78.5238770874464,728.683498086772,77904.3218952819
340000,安徽省,2011,2666.36788071885,83.4155668925172,749.232113867662,73309.9141514428
340000,安徽省,2010,2737.24196561853,93.3470986007114,796.911073077837,68978.500156501
340000,安徽省,2009,2647.73284774676,96.4202897831931,820.156820617821,65233.4864054249
340000,安徽省,2008,2506.89195180083,101.570208625492,845.638926181781,60662.6955140277
340000,安徽省,2007,2353.49639768407,108.999246105033,880.302248465045,56180.2732031332
340000,安徽省,2006,2300.4274496,123.352774,929.592105,53749.7
340000,安徽省,2005,2629.49346979635,235.576708990773,1171.655328542,48794.4399921048
340000,安徽省,2004,2531.31,253.966,1173.56346645803,48245.2808487761
340000,安徽省,2003,2557.166,248.9607,1077.898,45328.34
340000,安徽省,2002,2453.9,252.262045239986,852.201815185932,44203.8429093756
340000,安徽省,2001,2408.0,205.02,906.7,43802.77
340000,安徽省,2000,2226.8,244.18,935.81,46521.34
350000,福建省,2019,,,,
350000,福建省,2018,1421.34385437601,17.8743,144.2766,95537.6510383788
350000,福建省,2017,1606.0981,15.9691,138.292971123989,91460.5783913515
350000,福建省,2016,1988.59390455623,14.792022,133.745620042542,83289.1969016656
350000,福建省,2015,1945.46799674059,15.3571060558423,130.594060071141,72484.2521873863
350000,福建省,2014,2234.92742314473,15.4594337732526,126.322687438558,51972.3041990295
350000,福建省,2013,2315.214810665,15.5240073271783,122.402625233159,43333.4253113906
350000,福建省,2012,2256.85348535034,15.855872164712,119.868790947401,35805.5833803538
350000,福建省,2011,2096.8729212529,16.3037,119.504109402066,26766.6730876111
350000,福建省,2010,2080.38227977397,16.7981973111246,118.472423227079,23662.8325658765
350000,福建省,2009,2008.30783283168,17.4040841703925,116.757531745378,22164.464371726
350000,福建省,2008,1894.19514417466,18.4538227466385,113.675372355248,21779.7801820065
350000,福建省,2007,1669.94442563485,18.6298888112685,102.226042525861,18489.6344478635
350000,福建省,2006,1866.14276969,19.5003432944,104.13751,17040.41838
350000,福建省,2005,1878.99489626628,29.69,150.13,19585.0218886289
350000,福建省,2004,1725.89566324538,28.79,131.79,17914.5807775328
350000,福建省,2003,1603.12645430232,25.58,118.65,17210.9487552486
350000,福建省,2002,1488.3,23.9,107.8,18093.97
350000,福建省,2001,1438.0,22.4,104.0,22002.7
350000,福建省,2000,1347.7,21.31,97.8,20633.89
360000,江西省,2019,,,,
360000,江西省,2018,3124.0,119.43,131.51,45423.54
360000,江西省,2017,3180.46,115.864,123.46,43888.1740931281
360000,江西省,2016,3130.30828906279,114.63488,115.07283074661,45385.8424197183
360000,江西省,2015,3268.10523745747,113.807414558595,104.747026238396,43169.6285385683
360000,江西省,2014,3348.97786251443,113.615011226357,98.4631040929468,41996.200331876
360000,江西省,2013,3169.58031455234,113.98896223586,93.46972063498,40235.8836856489
360000,江西省,2012,3066.62102497848,113.272310860523,88.4876203154131,40281.5412354853
360000,江西省,2011,2897.4197215656,112.608383346889,84.8454513999671,39203.228045579
360000,江西省,2010,2857.15983929999,113.320191867591,84.7752218606705,38295.8079522803
360000,江西省,2009,2721.31783307718,113.539161565666,82.0275477772837,36424.1336209323
360000,江西省,2008,2541.33331308846,114.762299974804,81.1983351733911,35410.060936992
360000,江西省,2007,2383.57996502909,110.03699511645,74.6549008481656,34389.5144666202
360000,江西省,2006,2271.574968,69.65812685,71.361875,33989.69095
360000,江西省,2005,2237.8,101.43,103.4,35313.92
360000,江西省,2004,2051.05,90.04,96.97,32738.71
360000,江西省,2003,1858.8,72.54,86.97,30856.47
360000,江西省,2002,1957.0,67.08,74.36,28153.71
360000,江西省,2001,1998.3,59.6,65.8,29091.9
360000,江西省,2000,1863.0,57.45,61.64,28521.55
370000,山东省,2019,,,,
370000,山东省,2018,5082.25664357212,363.3739897347,2682.35971368079,216869.943660193
370000,山东省,2017,5180.68974879931,361.56615894,2629.76442517724,220172.531634714
370000,山东省,2016,5093.23427613,360.84447,2540.83519340797,214069.84644375
370000,山东省,2015,5156.44171845519,370.191636225906,2527.1159629382,191799.060501764
370000,山东省,2014,5245.7274853742,372.371555224371,2530.63597590715,182023.915558179
370000,山东省,2013,5043.03415235816,382.594443306491,2472.14992589851,195656.540151616
370000,山东省,2012,4800.79355166325,385.344573117045,2493.35090030871,198877.930467075
370000,山东省,2011,4387.81970377298,390.037734143921,2546.51191946654,181263.698920842
370000,山东省,2010,4425.45980584471,413.006872031071,2707.40213833466,169272.805883016
370000,山东省,2009,4245.44755583835,426.490665489849,2827.01180387989,161151.110233826
370000,山东省,2008,3972.95390259562,439.302178782346,2941.32938998413,155662.062084763
370000,山东省,2007,3680.16988888906,440.296062775672,3001.42398530055,140913.617736503
370000,山东省,2006,4389.903875,436.570302477,3026.243985,151090.9019
370000,山东省,2005,4585.6914,546.0352,3876.8559,173620.0387
370000,山东省,2004,4330.24,530.6,3641.44,146834.98
370000,山东省,2003,4016.1626,509.1127,3466.054,135918.9588
370000,山东省,2002,3803.2,488.12,3358.58,126352.58
370000,山东省,2001,3594.7,461.8,3210.88,119102.28
370000,山东省,2000,3426.8,413.8,3014.91,109168.0
410000,河南省,2019,,,,
410000,河南省,2018,6402.38,231.156637145344,2208.19,92767.2840076691
410000,河南省,2017,6220.0,232.952061888,2145.0,90681.6070456199
410000,河南省,2016,5983.13142963145,231.103236,1791.49184572821,83926.1540912397
410000,河南省,2015,6151.35558773904,251.291142682692,1790.23285667919,83132.3508514558
410000,河南省,2014,6291.97868257701,272.765490056715,1792.13869645629,82685.4018837152
410000,河南省,2013,5981.88117938669,291.763968823039,1778.05491059061,87514.4412055467
410000,河南省,2012,5699.01215885924,317.699957285365,1807.92743404222,88482.3043270899
410000,河南省,2011,5351.62514931727,353.199020090146,1863.28618059787,84214.3617814714
410000,河南省,2010,5382.79688023919,390.084581087939,1959.15739054092,81530.7210340549
410000,河南省,2009,5138.08629321795,431.525720914985,2054.44477350764,77965.1555858065
410000,河南省,2008,4844.43489424709,470.800832477523,2136.79695046574,73409.5826833246
410000,河南省,2007,4487.19549628828,502.005784045258,2099.90710354586,67873.708337242
410000,河南省,2006,5254.35669967032,546.977470208,2105.28527,66828.7284
410000,河南省,2005,5568.0,689.0,4166.0,69270.0
410000,河南省,2004,5189.0,672.38,3953.88,62858.0
410000,河南省,2003,4850.0,652.8,3780.0,59300.0
410000,河南省,2002,4498.0,640.0,3437.22,52847.92
410000,河南省,2001,4219.0,621.34,3132.01,48797.71
410000,河南省,2000,3930.0,578.0,2903.83,43872.31
420000,湖北省,2019,,,,
420000,湖北省,2018,4363.50378770475,108.33,609.23,53244.82
420000,湖北省,2017,4448.01609348089,107.9,604.397179581364,51946.1722967462
420000,湖北省,2016,4442.24680929208,107.4342387,602.589411347322,53278.1254325602
420000,湖北省,2015,4566.00117862763,111.489584618011,592.478825351615,52177.5332001286
420000,湖北省,2014,4659.50344565324,110.41233857425,578.374101297931,52490.4924158192
420000,湖北省,2013,4513.09704368001,105.985906598432,545.269553714326,52965.5070282445
420000,湖北省,2012,4309.38692088101,103.587862792224,536.580495271054,50484.171231406
420000,湖北省,2011,3970.32221327839,103.43011762538,522.814817450664,46358.3710774368
420000,湖北省,2010,3905.43617131032,104.86299314871,526.219153031721,47049.6274824014
420000,湖北省,2009,3792.49233415833,105.456758928034,506.205253583316,43820.0423124937
420000,湖北省,2008,3533.79238586213,103.748367509639,468.778549801669,39711.4507483957
420000,湖北省,2007,3147.44590525774,105.297493754439,399.441963137138,36092.8907391748
420000,湖北省,2006,3100.5927536,102.4194402,360.552786,36054.95619
420000,湖北省,2005,3428.4,114.38,381.15,35792.3
420000,湖北省,2004,3126.15,111.76,356.57,33907.28
420000,湖北省,2003,3000.7,104.45,319.68,33297.39
420000,湖北省,2002,2752.0,102.78,279.14,31506.97
420000,湖北省,2001,2506.0,101.8,220.3,31438.7
420000,湖北省,2000,2418.6,104.26,205.26,29967.3
430000,湖南省,2019,,,,
430000,湖南省,2018,5993.7,152.7,911.0,42476.7
430000,湖南省,2017,6116.3,147.0,901.8,42263.8
430000,湖南省,2016,5990.81606035036,143.351375,888.504767174461,42732.8987905228
430000,湖南省,2015,6141.74703068492,142.494724124172,839.959997792959,41528.0499097612
430000,湖南省,2014,6278.99102691622,139.056650531052,795.357283234282,40089.5774723759
430000,湖南省,2013,5950.99996397804,136.755575504127,757.852947673534,41324.8863378884
430000,湖南省,2012,5920.35146243676,131.099462980155,720.702867365581,41685.9929774491
430000,湖南省,2011,5608.72202648017,128.917755739664,700.641701480036,39292.230331097
430000,湖南省,2010,5750.43585659526,134.126162151692,711.639686582498,38377.0944122123
430000,湖南省,2009,5528.13110409926,132.014131659477,722.658493035322,36895.7771192261
430000,湖南省,2008,5165.20923752773,125.247109457111,682.1278213218,34779.901788094
430000,湖南省,2007,4822.35394192188,124.95168506719,661.812107653829,32806.6507873245
430000,湖南省,2006,5126.8955265,121.700859699232,638.936768,32867.760825
430000,湖南省,2005,6176.33,167.39,763.4,39209.78
430000,湖南省,2004,6088.69,154.56,662.12,42816.63
430000,湖南省,2003,5905.8,148.3,604.9,41497.0
430000,湖南省,2002,5653.1,146.8,526.0,35286.0
430000,湖南省,2001,5540.5,125.0,435.2,32672.0
430000,湖南省,2000,5491.3,128.07,397.06,30448.88
440000,广东省,2019,,,,
440000,广东省,2018,3757.39674077902,33.2498361888122,110.698067640442,109246.836171906
440000,广东省,2017,3712.00189932318,33.2742215407999,110.411634117953,108703.319574035
440000,广东省,2016,3850.60777837845,33.121040757325,108.63083944581,105625.582399469
440000,广东省,2015,3959.62281253994,34.5785599183538,101.930664808988,104806.536096526
440000,广东省,2014,4062.02148950722,36.7020562722312,93.843349682205,101509.89547069
440000,广东省,2013,3978.2222766639,38.8901898458421,86.0175595683871,110163.361803983
440000,广东省,2012,3934.93531770218,40.285209526582,78.464411677243,118716.302355574
440000,广东省,2011,3825.83109113574,41.8616628432268,74.9264285771381,116475.404055493
440000,广东省,2010,3863.23485426577,42.4058468063166,67.5655559202569,117484.079239917
440000,广东省,2009,3695.54149232921,43.840676273106,60.7504428978218,116417.946862567
440000,广东省,2008,3528.23374900302,44.1691744294193,52.2216092538842,110716.061645709
440000,广东省,2007,3241.76589271437,43.2750622053294,44.9667849184769,103118.353186202
440000,广东省,2006,3444.67582,44.6962815,39.69717,93029.0
440000,广东省,2005,3616.74,67.0784,40.3029,101019.4
440000,广东省,2004,3308.95,58.84,33.97,98744.44
440000,广东省,2003,3269.71,53.26,28.66,102183.02
440000,广东省,2002,3162.2,46.68,25.21,96613.9
440000,广东省,2001,3052.2,47.39,23.8,94517.2
440000,广东省,2000,2955.0,47.64,22.01,92913.43
450000,广西壮族自治区,2019,,,,
450000,广西壮族自治区,2018,3465.77659075576,123.638370356467,210.93808,84929.5201841193
450000,广西壮族自治区,2017,3355.05962319048,116.971022096941,209.682311145131,86486.2730999178
450000,广西壮族自治区,2016,3456.48807269822,116.823748662437,270.687418487333,91441.976484842
450000,广西壮族自治区,2015,3581.72977045753,119.348739917114,261.180687893285,88923.0842335088
450000,广西壮族自治区,2014,3668.55822864418,122.65665918117,253.870056225558,85223.0638010507
450000,广西壮族自治区,2013,3585.82289922311,124.543027299292,247.884753108706,88557.0410198664
450000,广西壮族自治区,2012,3448.79854923518,127.221906154269,241.827251786781,88062.7783241138
450000,广西壮族自治区,2011,3279.88935822205,132.817971402249,234.270910122725,83482.9578896374
450000,广西壮族自治区,2010,3298.39233944458,132.422708540848,236.259562844464,80398.9640943529
450000,广西壮族自治区,2009,3169.31581075879,132.721548890546,222.11782515276,75189.4883410395
450000,广西壮族自治区,2008,2965.91022320137,127.185485063818,201.331563051649,71195.942382262
450000,广西壮族自治区,2007,2781.83387161361,122.320525392071,180.768401760724,65226.4836074672
450000,广西壮族自治区,2006,2957.2,117.10142,166.54495,60123.0
450000,广西壮族自治区,2005,2831.87,188.26,255.0,27111.61
450000,广西壮族自治区,2004,2462.45,163.48,217.71,20166.09
450000,广西壮族自治区,2003,2555.14,144.35,194.36,21206.93
450000,广西壮族自治区,2002,2656.5,129.08,181.54,22918.33
450000,广西壮族自治区,2001,2768.4,115.47,173.76,24617.29
450000,广西壮族自治区,2000,2749.9,108.91,164.98,37981.88
460000,海南省,2019,,,,
460000,海南省,2018,561.64,20.02,84.62,16011.48
460000,海南省,2017,547.82,19.2165,84.27,15564.87
460000,海南省,2016,579.683453052359,18.52625229,82.3346253738815,15314.9759
460000,海南省,2015,555.7098,19.0934894300868,77.4546,14686.03
