省份编码,省份,年份,农村居民家庭拥有汽车数量(辆/百户),农村居民家庭拥有大中型拖拉机数量(台/百户),农村居民家庭拥有小型和手扶拖拉机数量(台/百户),农村居民家庭拥有机动脱粒机数量(台/百户),农村居民家庭拥有胶轮大车数量(辆/百户),农村居民家庭拥有水泵数量(台/百户),农村居民家庭拥有役畜数量(头/百户),农村居民家庭拥有产品畜数量(头/百户)
320000,江苏省,2011,2.95588235294118,1.14705882352941,18.2352941176471,5.35294117647059,3.17647058823529,17.1176470588235,1.64705882352941,23.2352941176471
320000,江苏省,2010,1.82352941176471,0.970588235294118,18.0176470588235,8.73529411764706,12.4411764705882,17.9705882352941,1.32352941176471,14.1470588235294
320000,江苏省,2009,2.28,1.21,17.11,10.26,13.35,19.07,1.59,21.53
320000,江苏省,2008,2.13,1.03,17.02,10.85,14.0,20.05,1.76,23.59
320000,江苏省,2007,2.10294117647059,1.45588235294118,17.3117647058824,12.0294117647059,13.5294117647059,19.8617647058824,2.02941176470588,22.4411764705882
320000,江苏省,2006,2.04411764705882,1.20588235294118,17.7382352941176,13.8529411764706,15.5,17.8382352941176,2.70588235294118,17.8529411764706
320000,江苏省,2005,2.02058823529412,0.970588235294118,16.9941176470588,12.2941176470588,18.0,17.3617647058824,3.65588235294118,16.5882352941176
320000,江苏省,2004,1.26470588235294,1.11764705882353,17.4117647058824,24.8958823540631,23.2647058823529,17.6808823529412,3.15735294117647,17.9411764705882
320000,江苏省,2003,1.32352941176471,0.852941176470588,19.5967647058824,25.9535294117647,24.6176470588235,16.9411764705882,4.89411764705882,22.5588235294118
320000,江苏省,2002,1.07,0.6,19.38,26.91,23.76,16.1,4.69,21.59
320000,江苏省,2001,1.02941176470588,0.479411764705882,19.6352941176471,26.5882352941176,25.1764705882353,15.2147058823529,4.43823529411765,23.0882352941176
320000,江苏省,2000,1.02941176470588,0.485294117647059,18.1058823529412,24.1970588235294,19.6617647058824,13.2264705882353,6.59705882352941,26.8529411764706
330000,浙江省,2019,,,,,,,,
330000,浙江省,2018,,,,,,,,
330000,浙江省,2017,,,,,,,,
330000,浙江省,2016,,,,,,,,
330000,浙江省,2015,,,,,,,,
330000,浙江省,2014,,,,,,,,
330000,浙江省,2013,,,,,,,,
330000,浙江省,2012,4.77777777777778,1.37037037037037,2.40740740740741,4.88888888888889,1.18518518518519,10.4444444444444,5.59259259259259,71.8888888888889
330000,浙江省,2011,4.03703703703704,1.37037037037037,2.22222222222222,4.81481481481481,1.25925925925926,10.2592592592593,4.37037037037037,62.0740740740741
330000,浙江省,2010,2.40740740740741,1.37037037037037,2.2962962962963,16.9314814814815,2.45555555555556,22.4444444444444,6.07407407407407,111.592592592593
330000,浙江省,2009,2.33,1.3,2.41,17.22,2.71,23.57,7.48,104.63
330000,浙江省,2008,2.19,1.3,2.81,15.08,2.64,22.72,1.63,110.11
330000,浙江省,2007,2.62962962962963,1.74074074074074,3.62962962962963,16.0259259259259,2.82592592592593,22.8703703703704,1.7037037037037,91.0740740740741
330000,浙江省,2006,2.22222222222222,2.03703703703704,3.07407407407407,16.2725925940054,3.80851851922494,21.7222222222222,2.57407407407407,53.962962962963
330000,浙江省,2005,2.40740740740741,1.55555555555556,2.81481481481481,15.7892592606721,3.41962963033605,21.6111111111111,2.44444444444444,24.2592592592593
330000,浙江省,2004,2.17592592592593,1.2962962962963,4.22222222222222,25.5796296296296,8.4,21.9925925925926,1.95851851922494,24.7407407407407
330000,浙江省,2003,2.21296296296296,1.51851851851852,4.88888888888889,27.45,10.6851851851852,21.6962962962963,2.99074074074074,14.0
330000,浙江省,2002,1.97,1.0,5.89,28.85,11.92,24.95,4.29,20.41
330000,浙江省,2001,1.6037037037037,0.592592592592593,6.35185185185185,29.5962962962963,15.0851851851852,23.7481481481482,4.07037037037037,29.2222222222222
330000,浙江省,2000,1.51851851851852,0.444444444444444,6.14814814814815,33.0518518518519,15.337037037037,22.4925925925926,5.27037037037037,29.7703703703704
340000,安徽省,2019,,,,,,,,
340000,安徽省,2018,,,,,,,,
340000,安徽省,2017,,,,,,,,
340000,安徽省,2016,,,,,,,,
340000,安徽省,2015,,,,,,,,
340000,安徽省,2014,,,,,,,,
340000,安徽省,2013,,,,,,,,
340000,安徽省,2012,2.87096774193548,5.74193548387097,35.2741935483871,12.5483870967742,2.74193548387097,48.1290322580645,2.48387096774194,34.0967741935484
340000,安徽省,2011,2.61290322580645,5.96774193548387,35.241935483871,12.3387096774194,2.64516129032258,46.8064516129032,2.47806451612903,14.5161290322581
340000,安徽省,2010,1.71935483870968,3.66129032258065,39.8225806451613,16.141935483871,4.29032258064516,55.3838709677419,5.57096774193548,14.3548387096774
340000,安徽省,2009,1.33,4.85,39.73,15.52,5.19,54.22,5.61,19.61
340000,安徽省,2008,1.45,3.68,39.91,16.16,4.9,53.66,5.19,20.32
340000,安徽省,2007,1.54193548387097,3.11290322580645,40.1387096774194,15.6838709677419,4.80645161290323,52.9612903225806,5.94967741935484,23.1354838709677
340000,安徽省,2006,0.816129032258065,3.25258064577656,40.0483870967742,16.3193548387097,4.51612903225806,52.5935483870968,7.53806451674431,26.5806451612903
340000,安徽省,2005,1.0,2.14516129032258,40.1596774193548,14.2677419354839,5.74193548387097,53.0935483870968,9.23612903318098,27.9032258064516
340000,安徽省,2004,0.741935483870968,2.51612903225806,34.7193548387097,19.0677419354839,9.75806451612903,50.6016129032258,12.617483876982,16.3387096774194
340000,安徽省,2003,0.629032258064516,1.96774193548387,35.1783870967742,21.1790322580645,11.758064516129,47.5629032258065,15.0574193548387,20.4064516129032
340000,安徽省,2002,0.56,2.48,34.58,23.28,14.91,48.31,19.96,41.2
340000,安徽省,2001,0.354838709677419,1.64516129032258,32.7064516129032,21.8870967741935,14.2741935483871,45.1129032258064,21.6935483870968,28.2387096774194
340000,安徽省,2000,0.467741935483871,1.40322580645161,29.0225806451613,19.1806451612903,12.1935483870968,39.5516129032258,23.2225806451613,28.0645161290323
350000,福建省,2019,,,,,,,,
