省份编码,省份,年份,受灾面积(千公顷),水灾受灾面积(千公顷),旱灾受灾面积(千公顷),风雹灾受灾面积(千公顷),冷冻灾受灾面积(千公顷),成灾面积(千公顷),水灾成灾面积(千公顷),旱灾成灾面积(千公顷),风雹灾成灾面积(千公顷),冷冻灾成灾面积(千公顷)
120000,天津市,2004,74.537,1.1,37.937,35.1,0.4,29.9,,13,16.9,
120000,天津市,2003,142.5,,120,22.5,,94.6,,80,14.6,
120000,天津市,2002,235,,219,16,,136.0,,130,6.0,
120000,天津市,2001,182,5.0,160,17,,107.0,5.0,93,9.0,
120000,天津市,2000,310,0.0,300,10,,185.0,,180,5.0,
130000,河北省,2019,315,,131,116,10.0,145.0,,87,36.0,5.0
130000,河北省,2018,557,107.8,44,139.7,121.1,356.0,60.3,36.1,95.6,74.3
130000,河北省,2017,718,58.1,367.4,217.6,41.4,336.3,23.0,146.1,114.7,36.6
130000,河北省,2016,1447.22244930333,953.5,216.733333333333,261.60811597,15.381,561.778603623333,372.133333333333,20.8,156.65727029,12.188
130000,河北省,2015,1798.8,282.2,1112.7,346.8,57.1,967.7,236.2,533.1,167.1,31.3
130000,河北省,2014,1435.7,48.4,1027.9,254.2,105.2,816.2,15.9,592.7,159.9,47.7
130000,河北省,2013,1106.5,311.3,250.3,386.3,158.6,528.3,197.7,138.9,160.2,31.5
130000,河北省,2012,1329,358.3,430.3,268.7,254.4,753.4,251.4,212.7,124.1,156.7
130000,河北省,2011,1383.3,227.3,855.7,260.5,39.8,528.1,88.4,372.2,59.7,7.8
130000,河北省,2010,1527.4,284.9,595.6,236,410.9,833.4,49.3,432.2,81.3,270.6
130000,河北省,2009,2627.5,119.9,1543.9,747.6,216.1,1642.03333333333,49.1,1062.9,444.733333333333,85.3
130000,河北省,2008,1151.5,54.5,629.2,448.6,19.2,833.703333333333,28.97,480,313.866666666667,10.8666666666667
130000,河北省,2007,2337.56666666667,491.2,1297.5,312.866666666667,236.0,1420.13333333333,271.933333333333,829,169.266666666667,149.933333333333
130000,河北省,2006,2264.3,120.7,1344.7,430.2,368.7,1362.92,66.6,867.32,286.6,142.4
130000,河北省,2005,1126.6,64.5,826,172.8,38.7,417.4,44.7,257.3,108.1,5.7
130000,河北省,2004,1756.7817,112.6,516.539,781.5,173.0,797.0165,27.0165,314,413.0,43.0
130000,河北省,2003,2998,198.0,1782,1013,5.0,1947.0,160.0,1183,602.0,2.0
130000,河北省,2002,2995,36.0,2170,661,128.0,1847.0,25.0,1600,180.0,42.0
130000,河北省,2001,2964,24.0,2390,400,150.0,1923.0,13.0,1730,150.0,30.0
130000,河北省,2000,2710,220.0,2390,100,,1855.0,135.0,1640,80.0,
140000,山西省,2019,1474,,1285,73,44.0,587.0,,513,27.0,13.0
140000,山西省,2018,830.8,140.7,150,23,517.1,587.0,104.7,103.7,17.5,361.1
140000,山西省,2017,821.3,52.9,497.3,218.1,53.0,370.6,36.1,149.3,155.7,29.5
140000,山西省,2016,503.7129867,256.5,77.0133333333333,104.466666666667,65.7329867,206.81532,78.0666666666667,43.58,70.9333333333333,14.23532
140000,山西省,2015,1142.6,31.4,1023.4,55.8,32.0,548.4,22.5,477.7,20.2,28.0
140000,山西省,2014,1173.5,90.3,721.6,153.9,207.7,495.4,67.1,208,124.0,96.3
140000,山西省,2013,1592.4,145.1,1001.7,161.4,284.2,577.9,86.7,257.9,129.3,104.0
140000,山西省,2012,931,261.4,403.9,123.4,142.3,474.6,191.6,100.8,81.5,100.7
140000,山西省,2011,1015,240.8,476.7,192.8,104.7,544.8,102.3,263.3,129.3,49.9
140000,山西省,2010,1395.7,209.3,727.8,79.9,378.7,890.9,33.1,543,67.0,247.8
140000,山西省,2009,1786.5,53.0,1384,131.2,218.3,1229.34666666667,30.28,966.1,92.8666666666667,140.1
140000,山西省,2008,2163.5,56.5,1917.3,108.7,80.7,1007.3,22.7,906.7,59.4,18.2
140000,山西省,2007,2403.5,520.0,1433.8,122.3,327.4,865.9,117.7,646.8,45.9333333333333,55.4666666666667
140000,山西省,2006,1040.3,34.0,446.3,69,490.8,862.3,12.4,389.9,48.0,412.0
140000,山西省,2005,1764.9,10.7,1688,44.9,21.3,1051.8,5.1,1016,16.7,14.0
140000,山西省,2004,947.40053,92.0,295.7,289.194,162.0,440.8,51.8,196,126.0,67.0
140000,山西省,2003,828.8,272.8,287,233,36.0,345.0,98.0,73,156.0,18.0
140000,山西省,2002,1602.9,206.9,1200,151,45.0,935.0,145.0,680,85.0,25.0
140000,山西省,2001,2553,38.0,2275,170,70.0,1827.0,24.0,1618,121.0,64.0
140000,山西省,2000,2455,45.0,2320,90,,1616.0,32.0,1546,38.0,
150000,内蒙古自治区,2019,1454,,380,498,353.0,622.0,,153,246.0,122.0
150000,内蒙古自治区,2018,2629.8,663.9,1427,204.7,325.5,1580.3,463.1,944.2,140.7,24.8
150000,内蒙古自治区,2017,3917.3,212.0,3238.8,254.6,211.9,2418.0,151.8,1963.8,138.1,164.3
150000,内蒙古自治区,2016,3629.9002499,256.2,2770.5,418.6800599,184.52019,2277.54463333333,61.3333333333333,1957.9,96.2,162.1113
150000,内蒙古自治区,2015,2700.8,185.2,2171.7,301.5,42.4,1740.4,132.8,1346.7,221.3,39.6
150000,内蒙古自治区,2014,1878.3,77.8,1313.6,439.4,47.5,1144.5,60.1,740,337.2,7.2
150000,内蒙古自治区,2013,1733.1,549.1,582.6,469.6,131.8,858.3,294.0,172.5,322.1,69.7
150000,内蒙古自治区,2012,2060.7,965.5,453.6,243.5,398.1,1361.5,768.5,188.7,192.1,212.2
150000,内蒙古自治区,2011,2036.6,389.9,1131.2,346.4,169.1,908.7,220.0,483.6,183.6,21.5
150000,内蒙古自治区,2010,2032.7,215.6,1434.1,267.8,115.2,1290.3,86.9,1059,88.5,55.9
150000,内蒙古自治区,2009,4770.36333333333,449.31,3890.12,143.933333333333,287.0,2389.92,160.8,1922.62,132.6,173.9
150000,内蒙古自治区,2008,2496.7,434.0,1658,324.1,80.6,1317.84666666667,158.78,938,203.666666666667,17.4
150000,内蒙古自治区,2007,3399.46666666667,59.0666666666667,3183.6,141.1,15.7,2427.16666666667,38.9,2307,73.7333333333333,7.53333333333333
150000,内蒙古自治区,2006,3560.4,195.2,1878.7,237,1249.5,2570.3,149.5,1381.8,139.4,899.6
150000,内蒙古自治区,2005,1814.1466,280.8,1382,99.4466,51.9,1047.0,194.0,735.4,78.2,39.4
150000,内蒙古自治区,2004,3216,192.0,2161,214,357.0,1710.9,161.5,1284,117.0,148.4
150000,内蒙古自治区,2003,3227,362.0,2372,349,144.0,2312.0,255.0,1673,250.0,134.0
150000,内蒙古自治区,2002,2387.5,114.5,1899,359,15.0,1468.3,93.3,1167,198.0,10.0
150000,内蒙古自治区,2001,3595,115.0,3120,210,150.0,2440.0,82.0,2067,160.0,131.0
150000,内蒙古自治区,2000,3397,77.0,3160,140,20.0,2345.0,63.0,2200,80.0,2.0
210000,辽宁省,2019,325,,14,29,,78.0,,11,9.0,
210000,辽宁省,2018,1467.3,4.2,1167.5,56.9,0.0,465.3,2.3,243.7,39.4,0.0
210000,辽宁省,2017,949.6,112.7,777.6,58.9,0.4,292.1,71.4,186.2,34.1,0.4
210000,辽宁省,2016,581.93940044,95.8,401,39.39350044,0.0,122.653333333333,57.4,48.5866666666667,10.0,0.0
210000,辽宁省,2015,1482.8,6.8,1429.5,46.5,,973.1,2.0,928.3,42.8,
210000,辽宁省,2014,1931.4,14.1,1811.4,24.1,72.9,1318.9,3.4,1262.3,19.0,27.2
210000,辽宁省,2013,450.5,336.1,23.9,90.5,0.0,271.3,203.3,13.5,54.5,0.0
210000,辽宁省,2012,355.4,18.4,0,32.1,0.0,282.8,3.3,0,22.3,0.0
210000,辽宁省,2011,450.2,256.0,6.7,41.6,26.3,173.1,117.4,0,16.1,8.0
210000,辽宁省,2010,755.6,707.5,17.6,30.5,0.0,566.7,531.3,12.5,22.9,0.0
210000,辽宁省,2009,2171.78666666667,20.42,2083.7,66.6666666666667,1.0,1033.7,5.3,971.8,56.6,0.0
210000,辽宁省,2008,538.9,173.2,321.3,31.8,12.6,298.833333333333,35.6,236,24.7333333333333,2.5
210000,辽宁省,2007,2392.8,42.5,2251,82,17.3,1076.73333333333,16.2,1005,47.8666666666667,7.66666666666667
210000,辽宁省,2006,1116.6,86.0,930.6,22,78.0,787.3,32.5,685.3,13.3,56.2
210000,辽宁省,2005,987.057,344.5,394,76.557,29.0,570.8,209.9,268,36.0,26.9
210000,辽宁省,2004,1249.94684,46.0,1056.90614,84.5927,60.772,757.2,8.2,718,31.0,
210000,辽宁省,2003,1169,58.0,1049,62,,1026.0,31.0,941,54.0,
210000,辽宁省,2002,1592,252.0,1120,207,13.0,1153.0,195.0,748,203.0,7.0
210000,辽宁省,2001,2665,103.0,2067,62,433.0,1534.0,65.0,1140,26.0,303.0
210000,辽宁省,2000,2831,5.0,2786,40,,1885.0,2.0,1860,23.0,
220000,吉林省,2019,536,,,125,,197.0,,,50.0,
220000,吉林省,2018,1319.7,16.9,1086,162.6,0.0,344.9,14.7,193.5,104.0,0.0
220000,吉林省,2017,983.1,451.9,475.4,54.8,1.0,521.6,318.6,166.9,35.2,0.9
220000,吉林省,2016,748.174568694881,70.7,524.266668694881,61.3349,18.823,456.780901448724,42.8,336.940001448724,40.8819,10.559
220000,吉林省,2015,846.2,24.2,700,121.8,0.2,414.7,15.8,329.5,69.3,0.1
220000,吉林省,2014,689.3,24.3,568.3,89.2,7.5,318.2,17.6,232.5,67.4,0.7
220000,吉林省,2013,623.2,427.1,0,196,0.1,221.4,210.6,0,10.7,0.1
220000,吉林省,2012,632.8,70.4,303.8,51.7,6.9,218.3,8.0,166,33.9,2.4
220000,吉林省,2011,616.4,58.2,252,107.6,198.6,221.7,21.1,139.6,37.5,23.5
220000,吉林省,2010,896.1,373.3,349.3,115.1,58.4,563.3,265.6,225.3,72.3,0.1
220000,吉林省,2009,2670.63,37.03,2440,188,5.3,1630.36666666667,15.5,1471.3,138.666666666667,4.8
220000,吉林省,2008,579.7,51.7,466,62,0.0,243.983333333333,29.45,165,49.5333333333333,0.0
220000,吉林省,2007,3016,23.5,2888.7,99.7,4.1,1967.13333333333,17.0,1906,44.1333333333333,
220000,吉林省,2006,1051.1,133.0,701,215.9,0.7,847.48,63.0,618.48,165.7,0.3
220000,吉林省,2005,1023.1,364.3,406,234.8,18.0,642.0,252.0,242,148.0,
220000,吉林省,2004,2549.53,105.4,2361.53,80.6,2.0,967.0,56.0,896,14.0,1.0
220000,吉林省,2003,1905,65.0,1510,204,126.0,768.0,46.0,521,153.0,48.0
220000,吉林省,2002,1426,189.0,862,179,196.0,768.0,136.0,389,157.0,86.0
220000,吉林省,2001,2917,64.0,2698,60,95.0,2212.0,38.0,2038,60.0,76.0
220000,吉林省,2000,3245,53.0,3102,85,,2584.0,37.0,2490,57.0,
230000,黑龙江省,2019,3541,,,224,37.0,1431.0,,,152.0,
230000,黑龙江省,2018,4155,1051.9,2294,384.5,386.3,1450.6,703.6,247.3,238.9,233.4
230000,黑龙江省,2017,1550.5,188.0,997.2,325.3,40.0,424.1,95.6,128.6,183.9,16.0
230000,黑龙江省,2016,4223.68449333333,283.8,2955,210.933333333333,100.45116,2663.66692333333,65.4,2166.2,150.666666666667,96.73359
230000,黑龙江省,2015,1175.3,481.7,484.1,146.5,63.0,844.2,320.4,371.1,99.7,53.0
230000,黑龙江省,2014,810,513.2,61.8,234.9,0.0,458.1,268.7,31.4,157.9,0.0
230000,黑龙江省,2013,2734.1,2654.0,0,66.2,13.9,1896.1,1850.0,0,44.1,2.0
230000,黑龙江省,2012,2429.4,349.8,1200,186.5,0.0,828.9,1.9,416.3,95.2,0.0
230000,黑龙江省,2011,1536.8,234.0,703.4,518.5,80.9,682.5,68.5,291.4,297.1,25.5
230000,黑龙江省,2010,1432.2,220.7,1011.6,109.4,90.5,973.5,125.1,775.5,57.9,15.0
230000,黑龙江省,2009,7393.7,1570.4,4871.7,536.6,415.0,3130.1,800.0,1907,245.6,177.5
230000,黑龙江省,2008,2367.08638095238,159.4,1597,494.07958095238,115.5458,1344.53333333333,53.1,930,257.8,103.133333333333
230000,黑龙江省,2007,6652.6,69.0,6500,78.5,5.1,3187.33333333333,20.0,3133,34.3333333333333,
230000,黑龙江省,2006,3330,1121.7,1648.6,243.6,296.1,2246.7,753.4,1153.9,191.5,147.9
230000,黑龙江省,2005,2101.5,1313.9,438,347.5,2.1,872.7,433.8,162.2,276.7,
230000,黑龙江省,2004,3790.0803,150.2,2954.635,344.211,221.0343,1086.5,78.5,696,107.0,205.0
230000,黑龙江省,2003,6659,1346.0,4544,392,377.0,4160.0,1023.0,2636,280.0,221.0
230000,黑龙江省,2002,4149,405.0,1209,1502,1033.0,1967.0,284.0,660,323.0,700.0
230000,黑龙江省,2001,4238,155.0,3750,80,253.0,2388.0,115.0,2120,50.0,103.0
230000,黑龙江省,2000,3483,30.0,3393,60,,2299.0,20.0,2239,40.0,
310000,上海市,2019,9,,,,,,,,,
310000,上海市,2018,7.3,0.0,0,,,2.9,0.0,0,,
310000,上海市,2017,0,0.0,,,,0.0,0.0,,,
310000,上海市,2016,3.1,0.0,0,0,0.0,2.2,0.0,0,0.0,0.0
310000,上海市,2015,12.3,4.4,,0,,5.1,3.4,,0.0,
310000,上海市,2014,0,,,0,,0.0,,,0.0,
310000,上海市,2013,28,0.0,0,0,0.0,8.5,0.0,0,0.0,0.0
310000,上海市,2012,14.7,0.0,0,0,0.0,8.3,0.0,0,0.0,0.0
310000,上海市,2011,24.3,17.1,0,0.1,0.0,9.2,8.8,0,0.0,0.0
310000,上海市,2010,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
310000,上海市,2009,16.3,0.0,0,0,0.0,8.0,0.0,0,0.0,0.0
310000,上海市,2008,20.977,0.0,,0.877,20.1,8.0,0.0,0,0.0,8.0
310000,上海市,2007,20.8,0.4,0,0,0.0,10.9,0.0,,0.0,
310000,上海市,2006,,,,,,,,,,
310000,上海市,2005,84.7,,,,6.0,42.3,,,,
310000,上海市,2004,5.8,4.8,,1,,3.2,3.2,,,
310000,上海市,2003,1.1,1.1,,,,,,,,
310000,上海市,2002,63,29.0,,34,,12.5,10.5,,2.0,
310000,上海市,2001,60,60.0,,,,50.0,50.0,,,
310000,上海市,2000,18,,,,,13.0,,,,
320000,江苏省,2019,224,,,69,,58.0,,,24.0,
320000,江苏省,2018,380,8.6,5.8,99.4,16.7,177.4,3.9,1.3,46.9,14.4
320000,江苏省,2017,90.7,0.6,37.3,52.8,,58.5,0.4,32.2,25.9,
320000,江苏省,2016,301.12,92.62,134.333333333333,70.0666666666667,4.1,66.5666666666666,44.3,10.1333333333333,11.3333333333333,0.8
320000,江苏省,2015,615.5,200.4,,97,58.8,285.1,92.6,,49.9,26.9
320000,江苏省,2014,554.1,2.3,473.9,56.3,0.5,199.3,2.0,155.8,37.0,0.2
320000,江苏省,2013,487.1,11.7,223.1,164.4,56.0,193.4,4.2,117.3,50.0,15.0
320000,江苏省,2012,697.5,157.0,366.7,34.2,0.0,370.4,53.0,222,12.8,0.0
320000,江苏省,2011,1032.1,290.4,481.6,204.5,3.1,332.7,58.3,241.4,15.7,0.0
320000,江苏省,2010,648.4,527.8,70.4,20,30.2,192.7,140.0,39.3,5.4,8.0
320000,江苏省,2009,1202.6,165.56,598.5,108,166.7,393.39,42.14,198.9,68.19,55.3
320000,江苏省,2008,497.04,100.7,,77.7,176.8,274.56,95.06,0,26.9,100.0
320000,江苏省,2007,1642.03333333333,719.4,70,76,373.333333333333,609.916666666667,258.866666666667,49,14.1333333333333,186.666666666667
320000,江苏省,2006,1713.6,1173.4,316.4,199,24.8,958.1,750.1,138.6,69.1,0.3
320000,江苏省,2005,1682.87,63.5,348,129.67,328.0,750.7,28.0,153.9,82.8,114.0
320000,江苏省,2004,956.137,111.39,244,191.177,25.0,172.6,47.4,41,55.0,20.0
320000,江苏省,2003,2863.7,2676.0,,177,1.3,1677.3,1595.0,,75.0,1.0
320000,江苏省,2002,771.4,221.4,405,130,15.0,392.0,121.0,202,69.0,
320000,江苏省,2001,1178,226.0,672,180,100.0,649.0,104.0,480,35.0,30.0
320000,江苏省,2000,3177,80.0,1901,206,330.0,2062.0,36.0,1360,116.0,100.0
330000,浙江省,2019,354,,12,1,,123.0,,5,,
330000,浙江省,2018,168.6,0.4,0,3.4,119.2,107.3,0.3,0,0.8,85.3
330000,浙江省,2017,107.3,86.5,,0.9,1.1,53.7,40.9,,0.4,0.6
330000,浙江省,2016,456,75.8,0,0.4,266.2,171.8,36.1,0,0.4,77.6
330000,浙江省,2015,393.2,24.0,,0.8,,184.0,9.0,,0.5,
330000,浙江省,2014,204,134.9,,5.3,6.5,98.8,67.5,,3.1,3.4
330000,浙江省,2013,1326.9,28.7,635.6,3.1,46.6,586.6,14.4,247.1,2.2,20.0
330000,浙江省,2012,554.2,145.1,0,0.6,30.1,253.4,60.4,0,0.4,11.9
330000,浙江省,2011,431.1,283.5,4.1,1.4,127.4,159.3,131.7,1.9,0.0,22.1
330000,浙江省,2010,282.5,245.2,1.5,4.2,19.0,61.0,57.7,1.4,0.4,1.5
330000,浙江省,2009,463.313333333333,67.0666666666667,22.48,9.13333333333333,0.0,243.33,42.27,5.7,17.53,0.0
330000,浙江省,2008,1074.9,233.1,22.7,66.9022000000002,612.9,518.633333333333,134.3,9.3,10.1,335.066666666667
330000,浙江省,2007,900.946666666667,31.0,83,5.6,40.8666666666667,465.12,21.4,33.6666666666667,4.26666666666667,10.8666666666667
330000,浙江省,2006,379.3,38.8,87.3,32.7,28.0,192.5,26.8,72.8,,16.7
330000,浙江省,2005,1180.722,57.7,119,20.122,85.9,524.5,23.8,60,6.8,37.7
330000,浙江省,2004,795.865,20.395,276.1,24.166,28.0,385.0,16.0,184,14.0,7.0
330000,浙江省,2003,612.8,55.0,542,9.8,,344.2,24.0,311,6.2,
330000,浙江省,2002,763,465.0,,36,,384.4,220.0,,21.0,
330000,浙江省,2001,370,270.0,36,16,4.0,195.0,133.0,31,9.0,3.0
330000,浙江省,2000,787,41.0,98,,260.0,416.0,30.0,66,,110.0
340000,安徽省,2019,958,,857,53,,526.0,,490,18.0,
340000,安徽省,2018,863.2,149.0,0,36.9,266.9,468.4,93.0,0,22.7,100.3
340000,安徽省,2017,399.8,156.8,216.9,26,0.1,201.6,84.5,100.9,16.2,0.0
340000,安徽省,2016,1341.2354,1107.2,179.5,35.2354,19.3,557.6,405.0,127.4,10.0,15.2
340000,安徽省,2015,966.7,690.9,,118.7,58.1,556.2,441.7,,43.8,14.2
340000,安徽省,2014,641.3,269.1,283.3,9.8,41.0,250.0,150.0,60,6.5,10.5
340000,安徽省,2013,1769.7,317.1,1165,38.8,248.8,509.7,194.8,234.3,10.0,70.6
340000,安徽省,2012,1152.5,290.0,616.1,21.9,1.3,555.8,171.3,276,12.9,0.9
340000,安徽省,2011,1317.2,396.1,687.3,88.6,145.2,198.5,121.8,20.9,22.5,33.3
340000,安徽省,2010,1751.6,1276.6,41.3,41,392.7,484.7,364.7,0,20.0,100.0
340000,安徽省,2009,2101.32,494.153333333333,909,400,269.5,320.0,178.7,52,60.0,13.3
340000,安徽省,2008,1277.1,301.5,,57.4599999999999,695.3,620.8,202.0,0,21.1333333333333,266.666666666667
340000,安徽省,2007,1989.7,1470.0,11,82,335.6,1062.76666666667,967.733333333333,6,14.2666666666667,38.4666666666667
340000,安徽省,2006,1471.9,703.3,464.3,201,65.1,543.8,367.2,118.5,37.6,
340000,安徽省,2005,2881.81,1463.0,597.71,62.7,185.0,1615.7,1027.0,286.7,34.7,29.3
340000,安徽省,2004,714.945,159.4,284,229.1,25.43,303.5,83.0,123,80.0,17.0
340000,安徽省,2003,3747.4,2415.8,399,265.6,667.0,2619.2,1746.2,173,167.0,533.0
340000,安徽省,2002,1159,752.0,391,16,,677.0,465.0,199,13.0,
340000,安徽省,2001,2790,107.0,2547,130,6.0,1680.0,76.0,1560,40.0,4.0
340000,安徽省,2000,3502,373.0,2990,99,40.0,2499.0,190.0,2250,39.0,20.0
350000,福建省,2019,123,,22,8,,57.0,,13,3.0,
350000,福建省,2018,78.7,7.6,23.9,0.8,10.5,48.4,3.2,19.4,0.3,7.5
350000,福建省,2017,57.5,12.8,20,0.1,,26.0,8.1,10,0.1,
350000,福建省,2016,386.666666666667,50.0,0,1.5,155.866666666667,193.7,29.4,0,1.3,79.4
350000,福建省,2015,203.3,76.8,,0.2,,115.5,49.1,,0.1,
350000,福建省,2014,102.6,49.3,,2.7,2.1,58.8,30.2,,2.2,2.1
350000,福建省,2013,276.8,17.5,31.9,20,7.7,147.7,13.3,15.8,17.3,1.9
350000,福建省,2012,159.3,82.2,0,17.1,0.7,86.7,42.7,0,13.1,0.4
350000,福建省,2011,133.1,8.5,55.6,1.5,17.2,48.3,6.2,22.6,0.4,2.3
350000,福建省,2010,605.1,310.3,4.8,35,149.8,302.2,174.9,0.7,10.8,53.5
350000,福建省,2009,265.693333333333,12.66,42.26,0.133333333333333,65.0,128.36,8.46,26.08,0.0,24.1
350000,福建省,2008,230.63,57.7,4.43,47.05,32.8,82.06,23.7,1.8,0.133333333333333,12.4666666666667
350000,福建省,2007,328.81,49.8,101,4.2,7.4,198.776666666667,31.3333333333333,81,0.0,1.33333333333333
350000,福建省,2006,938.8,324.9,43.9,6.3,38.6,439.4,164.3,12.9,1.6,9.1
350000,福建省,2005,946.19,281.9,14.5,32.5,181.8,428.6,111.0,5.7,12.7,84.7
350000,福建省,2004,671.32,81.4,292.4,23.4563,61.4,220.1,51.0,109,6.0,26.0
350000,福建省,2003,1097,34.0,906,,157.0,509.0,20.0,389,,100.0
350000,福建省,2002,894,341.0,354,20,54.0,462.2,174.0,193,,28.0
350000,福建省,2001,253,62.0,48,20,,148.0,37.0,27,12.0,
350000,福建省,2000,502,215.0,72,,30.0,328.0,125.0,40,,20.0
360000,江西省,2019,1201,,493,37,,667.0,,330,14.0,
360000,江西省,2018,530.7,130.0,309.7,19.4,34.6,363.4,107.2,192.4,15.4,19.2
360000,江西省,2017,441.4,387.1,41.2,5.3,,308.7,272.0,26.9,4.6,
360000,江西省,2016,786.1,416.6,35.3,35.2,290.8,393.6,263.933333333333,30.2,10.0,83.2666666666667
360000,江西省,2015,455.3,399.2,,16,,331.4,293.6,,12.3,
360000,江西省,2014,487.1,381.1,,42.4,28.4,328.8,263.4,,28.9,11.7
360000,江西省,2013,1049.1,291.8,576.1,24.5,132.1,606.2,162.0,334.2,20.1,79.7
360000,江西省,2012,673.5,342.7,0,84.1,141.0,397.8,275.2,0,38.5,36.6
360000,江西省,2011,1075.3,447.4,518.4,9.2,100.3,426.7,234.6,139.9,1.6,50.6
360000,江西省,2010,2075.2,1812.9,0,119.7,142.6,993.0,918.8,0,16.4,57.8
360000,江西省,2009,1351.67666666667,471.77,621.3,122.066666666667,125.2,656.993333333333,296.25,260.96,47.9333333333333,47.3
360000,江西省,2008,2376.2,812.0,128,72.2,1205.05,1142.35666666667,255.39,45.7,12.8,786.866666666667
360000,江西省,2007,1319.98,125.6,1019,80.8,16.2,597.766666666667,79.7333333333333,470,22.5333333333333,9.4
360000,江西省,2006,1255.5,455.5,228.6,245.3,124.0,532.5,281.5,41.5,69.1,36.2
360000,江西省,2005,1425.623,555.313,56.897,70.113,497.5,612.5,153.0,28.2,26.0,233.1
360000,江西省,2004,1121.78077,308.46766,473.11101,125.5228,128.6,595.6,135.0,330,66.0,60.0
360000,江西省,2003,1823,595.0,1057,51,120.0,1328.0,380.0,853,33.0,62.0
360000,江西省,2002,1040,654.0,54,332,,602.0,459.0,28,115.0,
360000,江西省,2001,630,204.0,396,30,,413.0,127.0,276,10.0,
360000,江西省,2000,1416,290.0,820,40,210.0,1008.0,172.0,627,10.0,170.0
370000,山东省,2019,1341,,283,112,,685.0,,113,39.0,
370000,山东省,2018,983.8,37.8,22.9,103.2,6.5,574.5,26.3,10.7,56.4,4.9
370000,山东省,2017,856.9,67.3,531,227.1,1.3,311.3,25.1,265.4,4.9,0.5
370000,山东省,2016,552.2,105.6,211.6,208.5,26.5,228.3,59.2,85.3,78.7333333333333,5.06666666666667
370000,山东省,2015,1379,239.1,883.2,207.6,43.1,663.7,105.5,404.7,143.5,9.2
370000,山东省,2014,886.1,65.9,688.5,57.7,0.2,337.2,22.3,230.7,39.2,0.2
