省份编码,省份,年份,木材产量(万立方米),橡胶产量(吨),松脂产量(吨),生漆产量(吨),油桐籽产量(吨),油茶籽产量(吨),乌桕籽产量(吨),五倍籽产量(吨),棕片产量(吨),竹笋片产量(吨),紫胶产量(吨)
360000,江西省,2013,266.9101,,101314,235,8012,412339,184,13,2170,18569,
360000,江西省,2012,286.6278,,90607,81,8189,448189,325,143,2723,12196,
360000,江西省,2011,290.2764,,79864,638,12562,427212,292,310,2473,10909,
360000,江西省,2010,340.7429,,71982,822,12663,179697,343,245,3960,8659,
360000,江西省,2009,339.7918,,57306,758,12433,268966,285,161,3450,9979,4
360000,江西省,2008,610.2295,,48214,562,7848,191377,372,221,6014,7536,
360000,江西省,2007,491.557,,80722,629,18778,208332,474,122,3905,18013,12
360000,江西省,2006,483.0324,,97098,495,12526,230365,795,126,4986,7624,71
360000,江西省,2005,,,93164,355,16160,189020,268,123,5140,6921,2
360000,江西省,2004,,,75892,739,10252.3,193170,532,97,4569,6814.8,88
360000,江西省,2003,,,54758,107,12681,163191,453,111,5092,8600,
360000,江西省,2002,306.0,,48801,796,14252,189586,2952,42,4408,10019,5
360000,江西省,2001,176.04,,46387,33,15448,171726,395,23,3898,10492,371
360000,江西省,2000,283.4,,41638,,13973,194763,2397,32,4244,11041,191
370000,山东省,2019,516.3182,,,,,,,,,,
370000,山东省,2018,474.2627,,,,,,,,,,
370000,山东省,2017,421.7947,,,,,,,,,,
370000,山东省,2016,356.1428,,,,,,,,,,
370000,山东省,2015,364.0117,,,,,,,,,,
370000,山东省,2014,429.5501,,,,,,,,,,
370000,山东省,2013,559.0952,,,,,,,,,,
370000,山东省,2012,551.6431,,,,,,,,,,
370000,山东省,2011,347.982,,,,,,,,,,
370000,山东省,2010,301.2837,,,,,,,,,,
370000,山东省,2009,221.1811,,,,,,,,,,
370000,山东省,2008,180.738,,,,,,,,,,
370000,山东省,2007,175.8543,,,,,,,,,,
370000,山东省,2006,118.1589,,,,,,,,,,
370000,山东省,2005,,,,,,,,,,,
370000,山东省,2004,,,,,,,,,,,
370000,山东省,2003,,,,,,,,,,,
370000,山东省,2002,126.23,,,,,,,,,,
370000,山东省,2001,151.86,,,,,,,,,,
370000,山东省,2000,208.0,,,,,,,,,,
410000,河南省,2019,256.0331,,,,,54822,,,,,
410000,河南省,2018,258.3602,,7,1998,66397,49134,,,,,
410000,河南省,2017,246.0325,,7,2086,68173,32047,,,,,
410000,河南省,2016,273.9954,,7,2092,81155,29213,7869,4072,,1112,
410000,河南省,2015,228.8846,,14,2111,79182,24324,8235,8235,,1101,
410000,河南省,2014,256.2781,,2714,2103,84397,18438,9765,4163,,1047,
410000,河南省,2013,243.129,,3064,2209,83830,17461,10825,4181,,180,
410000,河南省,2012,278.4451,,2912,2100,96241,6551,10052,4131,,166,
