省份编码,省份,年份,有效灌溉面积(千公顷),农用化肥施用折纯量(万吨),农用氮肥施用折纯量(万吨),农用磷肥施用折纯量(万吨),农用钾肥施用折纯量(万吨),农用复合肥施用折纯量(万吨),乡村办水电站个数(个),乡村办水电站装机容量(万千瓦),农村用电量(亿千瓦小时)
140000,山西省,2014,1408.17,119.613778,35.865949,17.496746,10.006916,56.244167,149,19.1296,97.081075
140000,山西省,2013,1382.794,121.0196,38.3819,18.6694,9.8695,54.0988,148,18.5891,99.7819
140000,山西省,2012,1319.06,118.2795,39.0141,19.1018,9.3355,50.8281,145,17.9166,94.951703
140000,山西省,2011,1319.8537,114.5667,39.3054,19.3397,8.9587,46.9629,161,17.8398,86.598392
140000,山西省,2010,1274.15,110.36627,40.02029,19.99955,8.50689,41.83954,168,17.3245,81.17629
140000,山西省,2009,1260.99,104.32,38.67,18.91,8.05,38.69,169,17.26,81.19662
140000,山西省,2008,1254.56,103.4042,40.31,18.65,7.82,36.62,169,16.216,78.9864
140000,山西省,2007,1255.69,100.83,40.54,18.74,7.51,34.04,70,2.39,75.939
140000,山西省,2006,1172.14,98.265,40.795,18.89,7.185,31.395,78.5,2.345,71.439
140000,山西省,2005,1088.59,95.7,41.05,19.04,6.86,28.75,87,2.3,66.939
140000,山西省,2004,1088.15,93.44,40.53,18.87,7.14,26.9,88,2.34,63.2232
140000,山西省,2003,1095.25,89.91,39.79,18.62,6.54,24.96,94,3.63,58.1206
140000,山西省,2002,1103.7,89.01,40.76,19.31,5.79,23.15,99,3.69,57.6055
140000,山西省,2001,1104.25,84.89,39.68,19.46,5.13,20.62,105,2.49,57.7524
140000,山西省,2000,1105.04,86.99,42.19,19.78,5.15,19.87,106,2.49,53.1441
150000,内蒙古自治区,2019,3199.19,218.436632,83.456435,38.484279,18.3589,78.137018,38,,91.155445
150000,内蒙古自治区,2018,3196.52,222.6717687058,86.1487233948147,40.8260486222318,18.4472779951067,77.2497186936469,38,9.502,85.509688
150000,内蒙古自治区,2017,3174.83,235.0396,94.853883,43.541012,19.540742,77.103963,40,9.5245,78.900979
150000,内蒙古自治区,2016,3131.53,234.642506,98.4251,42.904609,19.146745,74.166052,40,9.5245,71.091775
150000,内蒙古自治区,2015,3086.9,229.35,98.68,41.4,19.31,69.96,40,9.5145,72.261134
150000,内蒙古自治区,2014,3011.88,222.668178,97.14791,38.664158,18.97048,67.88563,40,9.3475,63.122684
150000,内蒙古自治区,2013,2957.76,202.4244,88.6859,34.9792,16.6294,62.1299,40,9.3475,59.5647
150000,内蒙古自治区,2012,3125.24,189.03518,82.842154,31.931124,14.416601,58.793401,39,8.7525,55.1546
150000,内蒙古自治区,2011,3072.39,176.9381748,80.9629103,30.0051751,14.7165805,49.8537054,38,8.0025,52.2992
150000,内蒙古自治区,2010,3027.5,177.24,80.49,30.89,14.55,51.31,37,6.396,48.4138
150000,内蒙古自治区,2009,2949.75,171.4236,79.9291,28.9543,13.4742,49.066,36,5.346,41.145388
150000,内蒙古自治区,2008,2871.26,154.098,73.0002,25.0163,12.8303,43.2512,36,5.346,36.501366
150000,内蒙古自治区,2007,2816.62,140.29,67.6,25.2,13.46,34.03,3,,34.0982
150000,内蒙古自治区,2006,2759.405,128.505,64.025,22.835,11.33,30.315,3,,31.701749
150000,内蒙古自治区,2005,2702.19,116.72,60.45,20.47,9.2,26.6,3,,29.305298
150000,内蒙古自治区,2004,2635.94,104.35,54.17,18.32,7.01,24.85,2,,26.731819
150000,内蒙古自治区,2003,2568.54,93.19,50.45,15.61,5.7,21.43,3,0.06,24.632358
150000,内蒙古自治区,2002,2537.59,82.84,45.92,14.52,4.53,17.87,4,0.03,23.604826
150000,内蒙古自治区,2001,2472.25,79.26,44.83,14.04,3.88,16.51,4,0.03,22.828895
150000,内蒙古自治区,2000,2371.67,74.75,42.81,14.37,3.14,14.43,4,,21.29718
210000,辽宁省,2019,1629.175,139.906175590826,51.2133076728261,9.5306278539,11.1818149772,67.980425091,190,,176.9725
210000,辽宁省,2018,1619.325,145.0245219512,54.83037326,9.9832463392,11.833796477,68.377105875,189,45.4299,306.2159947
210000,辽宁省,2017,1610.55,145.466042451,56.930942272,10.032513432,11.669831407,66.83275534,188,44.3529,528.006023847549
210000,辽宁省,2016,1572.99,148.057577874,60.488227292,10.7526652,11.63055455,65.186130832,188,44.3529,489.801506352087
210000,辽宁省,2015,1520.3058,152.0869964368,65.5742547168,11.763577228,12.769846392,61.9793181,187,44.2554,457.758417151483
210000,辽宁省,2014,1473.9668,151.5501725624,67.9487620032,12.1367313224,12.8635565668,58.60112267,184,43.5243,433.073242338205
210000,辽宁省,2013,1407.8408,151.760633,70.078678,12.2276,13.497955,55.9564,179,42.7373,394.779619269102
210000,辽宁省,2012,1698.82,146.9018,68.2799,12.2085,12.861,53.5524,176,38.7573,373.4373117
210000,辽宁省,2011,1588.3807,144.64,69.73,12.15,12.39,50.37,173,31.3348,366.3305
210000,辽宁省,2010,1537.535,140.0755,68.3203,11.4367,12.2411,48.0774,170,31.1488,359.5
210000,辽宁省,2009,1509.575,133.6098,66.7618,11.7538,11.5769,43.5173,166,30.7333,283.85777
210000,辽宁省,2008,1492.93,128.7733,65.5529,11.7246,11.4143,40.0815,164,29.4984,281.2851
210000,辽宁省,2007,1490.52,127.47,65.42,11.45,10.88,39.72,153,38.53,265.3633
210000,辽宁省,2006,1527.1,121.08,63.39,11.31,10.02,36.36,146,38.4,183.0
210000,辽宁省,2005,1527.08,119.86,63.96,11.4,9.61,34.88,146,38.42,183.0
210000,辽宁省,2004,1520.06,117.85,64.42,11.44,9.05,32.94,140,34.67,158.0
210000,辽宁省,2003,1512.83,112.62,62.86,11.35,8.43,29.98,134,20.88,136.0
210000,辽宁省,2002,1494.77,111.41,63.48,10.7,8.3,28.93,134,21.88,119.168292
210000,辽宁省,2001,1482.78,109.8,65.0,10.6,7.9,26.4,133,20.88,105.41
210000,辽宁省,2000,1440.69,109.8,66.69,11.12,8.31,23.68,119,12.8,103.5
220000,吉林省,2019,1909.501,227.05833542,53.30020043,5.8653344,13.181062,154.71173859,268,,54.87646994
220000,吉林省,2018,1893.05,228.296825,58.390583,6.294192,14.01315,149.5989,266,60.341,54.85387
220000,吉林省,2017,1893.05,231.024658,63.277771,6.541808,15.0637,146.141379,261,58.874,52.9617
220000,吉林省,2016,1832.17,233.607543,66.87,6.945744,15.21465,144.577149,261,58.6365,51.12528
220000,吉林省,2015,1790.8726,231.24,69.06,7.0,15.43,139.75,259,58.1285,49.60033
220000,吉林省,2014,1628.433667,226.66,70.4,7.16,15.67,133.43,251,57.228,48.75264
220000,吉林省,2013,1510.131667,216.79,71.45,7.08,14.64,123.62,244,51.452,48.22553
220000,吉林省,2012,1851.87,206.73,70.97,6.97,14.4,114.39,241,49.8565,46.1174
220000,吉林省,2011,1807.52,195.198972,69.380295,6.82,13.2,105.8,231,45.2065,42.50721
220000,吉林省,2010,1726.8,182.8,66.89,6.63,12.19,97.09,209,39.931,39.49739
220000,吉林省,2009,1684.8,174.18,65.33,6.63,11.99,90.23,203,39.098,37.49085
220000,吉林省,2008,1654.11,163.843845,63.916254,6.666592,11.93615,81.324849,186,37.4519,34.6761
220000,吉林省,2007,1640.57,154.39,62.71,6.51,11.06,74.12,69,4.15,32.62702
220000,吉林省,2006,1636.39,146.7,62.11,6.23,10.47,67.89,69,4.3,30.19709
220000,吉林省,2005,1613.74,138.1,61.26,6.2,9.99,60.65,80,5.48,28.02048
220000,吉林省,2004,1595.19,159.09,88.44,7.08,9.73,53.84,63,4.79,23.71959
220000,吉林省,2003,1545.52,122.26,61.85,6.26,9.22,44.93,67,3.35,23.11047
220000,吉林省,2002,1499.18,117.03,62.87,6.19,8.92,39.05,62,3.49,23.87558
220000,吉林省,2001,1382.62,114.06,63.87,5.53,8.51,36.15,66,3.86,24.11881
220000,吉林省,2000,1315.1,112.05,64.7,5.51,8.48,33.36,63,3.7,23.75416
230000,黑龙江省,2019,6177.59,223.26616,72.96969,44.07376,30.57865,75.64406,95,,85.63676
230000,黑龙江省,2018,6119.57,245.64,83.56,49.48,34.68,77.92,87,38.446,82.8042
230000,黑龙江省,2017,6030.97,251.2,85.45,52.58,35.62,77.55,86,37.328,79.7667
230000,黑龙江省,2016,5932.74,252.75,87.1,50.7,36.37,78.58,85,35.828,77.4675
230000,黑龙江省,2015,5530.8361,255.31,88.46,52.11,37.27,77.47,84,34.8555,72.5812
230000,黑龙江省,2014,5305.1961,251.93,88.95,52.41,37.85,72.72,81,29.4425,69.5625
230000,黑龙江省,2013,5342.1169,244.96,86.78,50.85,36.98,70.35,81,29.4425,66.9533
230000,黑龙江省,2012,4776.48,240.28,85.98,51.05,35.71,67.54,80,29.4425,64.3269
230000,黑龙江省,2011,4332.65,228.4366,81.9024,49.073,34.0986,63.3626,77,25.9585,58.2411
230000,黑龙江省,2010,3875.22,214.8852,77.3541,47.4006,30.7803,59.3502,71,24.1605,55.7278
230000,黑龙江省,2009,3405.86,198.8724,72.2202,43.9135,27.7306,55.0081,70,24.1605,48.4379
230000,黑龙江省,2008,3122.51,180.73,66.64,40.34,24.68,49.08,69,23.5105,44.2525
230000,黑龙江省,2007,2950.26,175.2,65.92,39.31,22.72,47.25,15,1.36,41.0335
230000,黑龙江省,2006,2648.2,162.2,61.2,37.4,19.8,43.8,13,1.4,38.0124
230000,黑龙江省,2005,2394.07,150.92,57.51,33.76,17.67,41.98,14,1.37,36.3498
230000,黑龙江省,2004,2282.11,143.81,57.12,33.66,15.78,37.25,13,1.29,33.5362
230000,黑龙江省,2003,2111.53,125.7,50.4,28.3,13.8,33.2,11,1.1,30.7402
230000,黑龙江省,2002,2185.27,129.72,52.65,30.76,13.42,32.89,12,1.13,29.1372
230000,黑龙江省,2001,2090.35,123.24,52.24,28.45,11.81,30.74,26,1.13,28.7034
230000,黑龙江省,2000,2032.0,121.55,52.41,28.71,10.53,29.89,15,1.03,27.4956
310000,上海市,2019,190.755,7.53282277118534,3.1283248658796,0.442808525571885,0.293140546480427,3.66854883325343,,,1102.036036
310000,上海市,2018,190.755,8.37,3.75,0.55,0.29,3.78,0,0.0,1053.424492
310000,上海市,2017,190.755,8.89630869242995,4.32167030381422,0.592166219346459,0.368052817941952,3.61441935132732,0,0.0,1013.197428
310000,上海市,2016,189.81,9.1301250565,4.61614185,0.6433798065,0.40885774,3.46174566,,,983.2207
310000,上海市,2015,188.21,9.91726643,4.9811086,0.72789743,0.4513042,3.7569562,,0.0,919.1928
310000,上海市,2014,184.09,10.153844587078,5.13315579149482,0.78182780285121,0.464935649537893,3.77392534319408,29,0.0,885.6424510144
310000,上海市,2013,184.09,10.7833,5.2661,0.8318,0.4914,4.1932,,0.0,874.378388
310000,上海市,2012,199.02,10.99,5.37,0.8,0.52,4.3,0,0.0,208.9794
310000,上海市,2011,199.61,11.97,6.41,0.81,0.59,4.16,,,204.281
310000,上海市,2010,201.0,11.84,6.19,1.01,0.59,4.05,0,,195.4842
310000,上海市,2009,202.32,12.56,6.34,1.03,0.6,4.59,,,191.8013
310000,上海市,2008,234.46,14.32,8.85,1.07,0.51,3.89,,0.0,178.0542
310000,上海市,2007,206.05,14.08,8.27,1.32,0.57,3.92,,,171.6757
310000,上海市,2006,208.0,14.53,8.7,1.5,0.55,3.78,,,143.5445
310000,上海市,2005,237.34,14.44,8.91,1.49,0.46,3.58,,,124.529731
310000,上海市,2004,245.74,15.02,9.46,1.54,0.39,3.63,,,114.34751
310000,上海市,2003,257.31,15.87,9.72,1.54,0.48,4.13,,,89.6977
310000,上海市,2002,270.38,17.68,12.38,1.48,0.5,3.32,,,81.7903
310000,上海市,2001,280.56,20.28,14.71,1.82,0.56,3.19,,,79.66
310000,上海市,2000,285.9,19.3,14.9,1.6,0.5,2.3,,,73.1929
320000,江苏省,2019,4205.443,286.21,141.11,32.26,16.95,95.89,38,,1949.1052
320000,江苏省,2018,4179.827,292.45,145.59,33.97,17.23,95.66,30,4.0191,1933.1397
320000,江苏省,2017,4131.88,303.8503,151.3619,36.8186,18.1755,97.4943,29,3.9871,1887.99387
320000,江苏省,2016,4054.07,312.52,158.17,40.88,18.88,94.59,29,3.9671,1869.2682
320000,江苏省,2015,3952.5023,319.99,162.05,42.35,19.25,96.34,29,3.9631,1836.1867
320000,江苏省,2014,3890.5325,323.61,163.91,43.32,19.43,96.95,3196,3.6512,1834.9274
320000,江苏省,2013,3785.26893,326.83,165.66,44.65,19.88,96.64,28,4.1107,1801.8637
320000,江苏省,2012,3929.72,330.95,169.19,46.16,20.1,95.5,136,6.109,1696.4133
320000,江苏省,2011,3817.923,337.21,173.94,47.51,20.39,95.37,131,5.1416,1606.8336
320000,江苏省,2010,3819.738,341.11,179.53,47.73,20.8,93.05,133,5.2396,1472.8862
320000,江苏省,2009,3813.655,344.0024,181.7528,47.9936,21.0337,93.2223,134,5.2656,1316.6207
320000,江苏省,2008,3817.103,340.76,180.73,48.05,20.08,91.9,132,6.8739,1234.1407
320000,江苏省,2007,3835.15,342.03,182.84,48.08,21.04,90.07,,,1159.0288
320000,江苏省,2006,3837.72,342.01,182.829308540187,48.0771885507119,21.0387696985645,90.0647332105371,,,1011.7947
320000,江苏省,2005,3817.67,340.81,183.03,48.22,21.66,87.9,2,,825.1005
320000,江苏省,2004,3839.02,336.8,183.06,48.58,20.75,84.41,2,,679.831
320000,江苏省,2003,3840.98,334.67,183.4,48.67,19.59,83.01,2,,529.4992
320000,江苏省,2002,3886.04,337.53,185.97,51.15,18.43,81.98,3,40.0,423.6134
320000,江苏省,2001,3899.99,338.0,188.13,50.47,17.77,81.63,3,40.0,345.0455
320000,江苏省,2000,3900.85,335.45,189.27,51.24,16.23,78.71,4,40.0,314.597
330000,浙江省,2019,1405.427,72.5007,35.4276,7.834,5.8593,23.3798,3043,,1026.728
330000,浙江省,2018,1440.797,77.761,40.1476,8.586,6.1004,22.927,3125,409.9507,1008.3147
330000,浙江省,2017,1444.7,82.6301,42.9043,9.3381,6.5598,23.8279,3179,405.4524,976.6521
330000,浙江省,2016,1446.31,84.4772,44.1875,9.7085,6.5843,23.9969,3193,397.8018,926.0937
330000,浙江省,2015,1432.153462,87.5237,46.2629,10.1507,6.8432,24.2669,3200,395.9191,905.5557
330000,浙江省,2014,1425.374322,89.617,47.6381,10.6615,7.1959,24.1215,825,392.4061,905.3449
330000,浙江省,2013,1409.392193,92.4278,50.4641,11.4453,7.3163,23.2021,3196,390.0471,904.9055
330000,浙江省,2012,1471.02,92.1505,51.2274,11.7513,7.2469,21.9249,3206,382.9931,869.8702
330000,浙江省,2011,1456.804,92.07,51.57,11.88,7.36,21.26,3189,376.8133,847.9986
330000,浙江省,2010,1450.98,92.2,52.5,11.97,7.17,20.56,3175,369.8568,765.1491
330000,浙江省,2009,1446.37,93.5959,53.3778,11.9457,7.5231,20.7493,3167,361.0103,709.4076
330000,浙江省,2008,1435.85,92.98,53.61,11.97,7.47,19.93,3194,342.3712,675.409
330000,浙江省,2007,1431.35,92.82,53.88,11.98,7.82,19.14,2434,247.35,649.9677
330000,浙江省,2006,1422.32,93.98,55.41,12.2,7.74,18.63,2332,213.0,579.5773
330000,浙江省,2005,1417.71,94.27,56.11,12.59,7.51,18.06,2273,192.0,520.5692
330000,浙江省,2004,1406.86,93.34,55.32,12.93,7.99,17.1,2546,179.9,441.1995
330000,浙江省,2003,1403.8,90.38,53.94,12.19,7.59,16.66,2592,154.9,409.0423
330000,浙江省,2002,1406.04,91.91,56.75,12.51,7.44,15.21,2482,134.96,341.0978
330000,浙江省,2001,1400.34,90.32,57.25,12.42,6.58,14.07,2385,116.98,285.2455
330000,浙江省,2000,1403.24,89.72,59.66,12.16,5.84,12.06,2319,104.0,255.2724
340000,安徽省,2019,4580.836,298.022,87.971,26.1795,26.8983,156.9732,790,,189.145434
340000,安徽省,2018,4538.29,311.8,95.6,28.2,27.9,160.1,785,111.2456,180.789728
340000,安徽省,2017,4504.14,318.7237,100.7495,32.3636,29.7464,155.8642,826,111.3915,171.313624
340000,安徽省,2016,4437.46,327.0082,104.8639,32.083,30.7317,159.3296,844,111.4395,161.619809
340000,安徽省,2015,4400.338631,338.6944,107.5774,34.0737,32.077,164.9663,842,110.7925,156.748205
340000,安徽省,2014,4331.692229,341.3912,111.5873,35.7266,32.5621,161.5152,6608,107.628,147.5282
340000,安徽省,2013,4305.530862,338.4041,113.5163,35.5628,31.4137,157.9113,818,103.1035,138.390673
340000,安徽省,2012,3585.09,333.5258,114.0841,36.5074,32.5326,150.4017,841,97.4653,128.796505
340000,安徽省,2011,3547.6516,329.6711,114.3555,36.0829,32.8369,146.3958,823,91.9345,117.276091
340000,安徽省,2010,3519.781,319.7727,112.1418,35.9378,31.8306,139.8625,810,84.0484,107.411689
340000,安徽省,2009,3484.078,312.79,111.84,36.75,30.56,133.64,800,82.8404,98.013324
340000,安徽省,2008,3453.73,307.35,111.83,36.71,31.61,127.2,772,71.6514,89.907895
340000,安徽省,2007,3403.23,305.02,111.45,36.97,32.91,123.69,600,25.64,81.960006
340000,安徽省,2006,3346.25,294.29,111.69,39.43,30.74,112.43,562,18.56,73.799779
340000,安徽省,2005,3330.88,285.67,111.08,38.92,30.66,105.01,509,16.81,63.962182
340000,安徽省,2004,3304.58,277.56,110.88,40.52,29.45,96.71,511,14.74,59.395109
340000,安徽省,2003,3285.38,281.28,120.19,46.76,28.03,86.3,530,10.88,57.524253
340000,安徽省,2002,3263.82,270.33,118.86,42.45,28.56,80.46,531,10.48,51.826278
340000,安徽省,2001,3228.73,280.74,126.93,48.52,27.95,77.34,556,11.73,47.430759
340000,安徽省,2000,3197.21,253.15,118.39,42.58,24.87,67.31,550,9.52,45.806019
350000,福建省,2019,1076.778,106.263,39.9308,14.8785,20.772,30.6817,5986,,417.9238
350000,福建省,2018,1085.177,110.7377,41.9377,15.5304,21.91,31.3596,6168,739.0664,403.8675
350000,福建省,2017,1064.838,116.3227,44.3547,16.4672,23.0475,32.4533,6522,741.7445,388.3797
350000,福建省,2016,1055.37,123.8417,47.531,17.6964,24.8266,33.7877,6554,740.6086,384.4476
350000,福建省,2015,1061.654002,123.8017,47.6421,17.7165,24.8599,33.5832,6585,738.1901,381.06463
350000,福建省,2014,1116.12145,122.6138,47.4721,17.2246,24.8066,33.1105,3889,734.1376,367.6659
350000,福建省,2013,1122.419185,120.5733,46.868,16.758,24.506,32.4413,6596,731.5815,346.6813
350000,福建省,2012,968.51,120.866,47.2108,16.8942,24.4375,32.3235,6576,726.1407,312.8548
350000,福建省,2011,967.477,120.9317,47.5633,16.9556,24.4971,31.9157,6536,703.8769,270.5792
350000,福建省,2010,967.5149,121.0372,47.7413,17.0585,24.674,31.5634,6606,699.4576,257.4895
350000,福建省,2009,960.117,120.6801,47.909,16.9969,24.4539,31.3203,6647,684.679,230.089381
350000,福建省,2008,955.45,118.6741,47.3473,16.6197,24.1489,30.5582,6576,669.5774,209.679073
350000,福建省,2007,952.9,119.69,48.44,16.26,24.86,30.12,5148,279.54,183.4387
350000,福建省,2006,951.305,120.855,49.865,16.37,24.635,29.98,5053.5,251.075,172.0115
350000,福建省,2005,949.71,122.02,51.29,16.48,24.41,29.84,4959,222.61,160.5843
350000,福建省,2004,941.45,121.67,51.32,16.76,24.29,29.3,4629,186.47,137.5738
350000,福建省,2003,939.95,120.29,51.39,16.32,23.83,28.74,3998,144.55,118.455
350000,福建省,2002,938.8,119.91,52.14,16.4,23.55,27.82,3760,121.52,106.5019
350000,福建省,2001,942.35,117.37,52.09,16.1,23.0,26.18,3540,103.38,86.809
350000,福建省,2000,940.18,123.33,55.66,16.83,23.77,27.07,3507,92.78,72.429
360000,江西省,2019,2036.144,115.571,30.5992,15.9891,16.1869,52.7958,3903,,119.2362
360000,江西省,2018,2032.016,123.1965,34.0258,18.4547,17.8527,52.8633,3868,344.9893,112.47159
360000,江西省,2017,2039.42,134.9715,38.0961,20.5138,20.3219,56.0397,3955,340.2721,108.50233
360000,江西省,2016,2036.83,141.9742,41.2411,22.0991,21.2413,57.3927,3950,335.9287,104.57809
360000,江西省,2015,2027.667,143.5826,42.2396,22.1307,21.5128,57.6995,3925,325.5002,99.9196
360000,江西省,2014,2001.573,142.8709,42.2759,22.3805,21.4543,56.7602,129,310.3986,97.62145
360000,江西省,2013,1995.604091,141.577,42.7126,22.1303,20.9217,55.8124,3870,306.5626,90.9014
360000,江西省,2012,1907.06,141.26,42.8817,22.6669,21.1376,54.5738,3743,290.541,84.616
360000,江西省,2011,1867.67,140.77,43.78,22.17,21.28,53.54,3586,275.39,77.26
360000,江西省,2010,1852.394,137.62,43.39,22.14,21.21,50.88,3517,263.5634,71.5738
360000,江西省,2009,1840.432,135.76,43.3,21.74,20.77,49.95,3492,258.8517,65.4143
360000,江西省,2008,1841.169,132.97,44.13,21.47,20.84,46.53,3420,239.2454,58.5165
360000,江西省,2007,1839.93,132.65,45.25,22.65,21.37,43.38,2233,84.26,63.1287
360000,江西省,2006,1836.42,132.58,47.39,25.91,20.9,38.38,1933,69.17,48.3143
360000,江西省,2005,1831.42,129.39,47.75,25.4,20.78,35.46,1816,60.85,45.1319
360000,江西省,2004,1841.59,123.53,46.98,24.02,20.59,31.94,1853,52.39,42.3032
360000,江西省,2003,1873.16,110.98,44.4,22.18,18.89,25.51,1849,43.43,39.731
