省份编码,省份,年份,水产品总产量(万吨),捕捞产量(吨),养殖产量(吨),鱼类产量(吨),虾蟹类产量(吨),贝类产量(吨),藻类产量(吨),海水产品产量(万吨),海洋捕捞产量(吨),海水养殖产量(吨),天然生产海水产品产量(万吨),人工养殖海水产品产量(万吨),鱼类海水产品产量(万吨),虾蟹类海水产品产量(万吨),贝类海水产品产量(万吨),藻类海水产品产量(万吨),淡水产品产量(万吨),淡水捕捞产量(吨),淡水养殖产量(吨),天然生产淡水产品产量(万吨),人工养殖淡水产品产量(万吨),鱼类淡水产品产量(万吨),虾蟹类淡水产品产量(万吨),贝类淡水产品产量(万吨)
130000,河北省,2006,87.1418,331014.732000777,669754,626202,124281,288928,,49.9047,313734,304765,31.3734,30.4765,20.1784,9.6378,28.3422,0,37.2370796627122,96512,364989,9.6512,36.4989,42.4418,2.7903,0.5506
130000,河北省,2005,98.9461,396242,593219,577946,118753,252246,,57.1808,310753,261055,31.0753,26.1055,19.1613,9.5057,24.7257,,41.7653,85489,332164,8.5489,33.2164,38.6333,2.3696,0.4989
130000,河北省,2004,92.3788,393427,530361,537302,121362,221826,,53.6902,311120,225782,31.112,22.5782,18.5987,9.4519,21.6517,,38.6886,82307,304579,8.2307,30.4579,35.1315,2.6843,0.5309
130000,河北省,2003,86.2715,383615,479100,518101,116419,186851,,48.9702,311128,178574,31.1128,17.8574,17.7773,9.0483,18.1284,,37.3013,72487,300526,7.2487,30.0526,34.0328,2.5936,0.5567
130000,河北省,2002,87.0571,390221,480350,497316,111551,231041,,51.844,317249,201191,31.7,20.1,18.1557,9.1831,22.1911,,35.2131,72972,279159,7.3,27.9,31.5759,1.972,0.913
130000,河北省,2001,84.8887,388879,460008,498481,108304,213504,,51.4411,318147,196264,31.8147,19.6264,18.557,9.2362,20.9393,,33.4476,70732,263744,7.0732,26.3744,31.2911,1.5942,0.4111
130000,河北省,2000,80.9496,397975,411521,494480,95791,188468,,48.2032,327371,154661,32.7371,15.4661,18.7945,8.0707,18.4626,,32.7464,70604,256860,7.0604,25.686,30.6535,1.5084,0.3842
140000,山西省,2019,4.6307,2267,44040,45811,218,,,,,,,,,,,,4.6307,2267,44040,0.2267,4.404,4.5811,0.0218,
140000,山西省,2018,4.7773,,,,,,,,,,,,,,,,4.7773,,,0.2322,4.5451,4.7302,0.0183,
140000,山西省,2017,5.3047,,,,,,,,,,,,,,,,5.3047,,,0.2142,5.0905,5.2584,0.0144,
140000,山西省,2016,5.2279,1101,51178,51776,128,,,,,,,,,,,,5.2279,1101,51178,0.1101,5.1178,5.1776,0.0128,
140000,山西省,2015,5.2427,1074,51353,51850,130,,,,,,,,,,,,5.2427,1074,51353,0.1074,5.1353,5.185,0.013,
140000,山西省,2014,5.1248,1060,50188,50637,127,,,,,,,,,,,,5.1248,1060,50188,0.106,5.0188,5.0637,0.0127,
140000,山西省,2013,4.5621,1122,44499,45012,108,,,,,,,,,,,,4.5621,1122,44499,0.1122,4.4499,4.5012,0.0108,
140000,山西省,2012,4.1243,1122,40121,40654,109,,,,,,,,,,,,4.1243,1122,40121,0.1122,4.0121,4.0654,0.0109,
140000,山西省,2011,3.6137,1121,35016,35703,79,,,,,,,,,,,,3.6137,1121,35016,0.1121,3.5016,3.5703,0.0079,
140000,山西省,2010,3.17,831,30869,31308,93,,,,,,,,,,,,3.17,831,30869,0.1,3.1,3.1308,0.0093,
140000,山西省,2009,3.1,749,30251,30781,90,,,,,,,,,,,,3.1,749,30251,0.0749,3.0251,3.0781,0.009,
140000,山西省,2008,3.07,890,29810,30528,91,,,,,,,,,,,,3.07,890,29810,0.089,2.981,3.0528,0.0091,
140000,山西省,2007,2.9575,1200.85197170038,28373.588025083,29370,167,,,,,,,,,,,,2.95744399967834,1200.85197170038,28373.588025083,0.1201,2.8374,2.937,0.0167,
140000,山西省,2006,2.8408,1181.07943649126,41814,42795,282,,,,,,0.0,0.0,0.0,0,0,0,2.84085195039524,1792,41814,0.1792,4.1814,4.2795,0.0282,0
140000,山西省,2005,3.7542,1433,36109,37441,42,,,,,,,,,,,,3.7542,1433,36109,0.1433,3.6109,3.7441,0.0042,
140000,山西省,2004,3.5364,2084,33280,35273,34,,,,,,,,,,,,3.5364,2084,33280,0.2084,3.328,3.5273,0.0034,
140000,山西省,2003,3.1067,269,30798,31008,12,,,,,,,,,,,,3.1067,269,30798,0.0,3.0798,3.1008,0.0012,
140000,山西省,2002,2.9226,218,29008,29177,4,,,,,,,,,,,,2.9226,218,29008,0.0,2.9,2.9177,0.0004,
140000,山西省,2001,2.7552,215,27337,27504,4,,,,,,,,,,,,2.7552,215,27337,0.0215,2.7337,2.7504,0.0004,
140000,山西省,2000,2.6021,195,25826,25974,9,,,,,,,,,,,,2.6021,195,25826,0.0195,2.5826,2.5974,0.0009,
150000,内蒙古自治区,2019,12.5956,14052,111904,122819,1248,,1789,,,,,,,,,,12.5956,14052,111904,1.4052,11.1904,12.2819,0.1248,
150000,内蒙古自治区,2018,13.9499,,,,,,,,,,,,,,,,13.9499,,,2.132,11.8179,13.6257,0.1409,
150000,内蒙古自治区,2017,15.6181,,,,,,,,,,,,,,,,15.6181,,,2.8354,12.7827,15.2775,0.1362,
150000,内蒙古自治区,2016,15.8298,29303,128995,155146,1240,,1793,,,,,,,,,,15.8298,29303,128995,2.9303,12.8995,15.5146,0.124,
150000,内蒙古自治区,2015,15.3525,29364,124161,150467,1070,,1842,,,,,,,,,,15.3525,29364,124161,2.9364,12.4161,15.0467,0.107,
150000,内蒙古自治区,2014,14.7949,29918,118031,144644,1273,,1838,,,,,,,,,,14.7949,29918,118031,2.9918,11.8031,14.4644,0.1273,
150000,内蒙古自治区,2013,14.1321,31009,110312,138587,813,,1845,,,,,,,,,,14.1321,31009,110312,3.1009,11.0312,13.8587,0.0813,
150000,内蒙古自治区,2012,13.1575,31133,100442,128836,774,,1887,,,,,,,,,,13.1575,31133,100442,3.1133,10.0442,12.8836,0.0774,
150000,内蒙古自治区,2011,12.29,30468,92432,119751,1243,,1795,,,,,,,,,,12.29,30468,92432,3.0468,9.2432,11.9751,0.1243,
150000,内蒙古自治区,2010,11.3804,30671,83133,110998,1446,,1238,,,,,,,,,,11.3804,30671,83133,3.1,8.3,11.0998,0.1446,
150000,内蒙古自治区,2009,10.5979,29586,76393,103615,1397,,,,,,,,,,,,10.5979,29586,76393,2.9586,7.6393,10.3615,0.1397,
150000,内蒙古自治区,2008,9.8212,27929,70283,95968,1287,,,,,,,,,,,,9.8212,27929,70283,2.7929,7.0283,9.5968,0.1287,
150000,内蒙古自治区,2007,9.3565,29429,64136,90461,2092,,,,,,,,,,,,9.3565,29429,64136,2.9429,6.4136,9.0461,0.2092,
150000,内蒙古自治区,2006,8.7049,29536,57010,82991,3298,,,,,,0.0,0.0,0.0,0,0,0,8.7049,29536,57010,2.9536,5.701,8.2991,0.3298,0
150000,内蒙古自治区,2005,8.2608,29254,53354,77127,4347,,,,,,,,,,,,8.2608,29254,53354,2.9254,5.3354,7.7127,0.4347,
150000,内蒙古自治区,2004,7.7257,29014,48243,73987,2801,,,,,,,,,,,,7.7257,29014,48243,2.9014,4.8243,7.3987,0.2801,
150000,内蒙古自治区,2003,7.2794,28184,44610,68885,3294,2,,,,,,,,,,,7.2794,28184,44610,2.8184,4.461,6.8885,0.3294,0.0002
150000,内蒙古自治区,2002,7.7707,31868,45839,74751,1656,,,,,,,,,,,,7.7707,31868,45839,3.2,4.6,7.4751,0.1656,
150000,内蒙古自治区,2001,7.6084,30363,45721,73628,1717,,,,,,,,,,,,7.6084,30363,45721,3.0363,4.5721,7.3628,0.1717,
150000,内蒙古自治区,2000,7.211,26756,45354,68303,3260,,,,,,,,,,,,7.211,26756,45354,2.6756,4.5354,6.8303,0.326,
210000,辽宁省,2019,455.0106,791137,3758969,1379576,218232,2288265,467844,369.934,752022,2947318,75.2022,294.7318,61.7994,13.6503,228.8101,46.7844,85.0766,39115,811651,3.9115,81.1651,76.1582,8.1729,0.0164
210000,辽宁省,2018,450.824,,,,,,,367.0133,,,80.6499,286.3634,65.6411,14.4216,234.9038,34.1838,83.8107,,,3.9379,79.8728,76.5853,6.4529,0.0189
210000,辽宁省,2017,479.4374,,,,,,,391.8774,,,83.74,308.1374,68.2773,14.6633,253.5615,33.0473,87.56,,,4.56,83.0,79.6407,6.8555,0.0384
210000,辽宁省,2016,550.0694,1420973,4079721,1916913,339111,2617146,325858,446.973,1367026,3102704,136.7026,310.2704,100.352,23.3771,261.6714,32.5858,103.0964,53947,977017,5.3947,97.7017,91.3393,10.534,0.0432
210000,辽宁省,2015,531.2765,1433810,3878955,1879749,340669,2450751,348495,431.9822,1377857,2941965,137.7857,294.1965,99.8286,24.1184,245.0291,34.8495,99.2943,55953,936990,5.5953,93.699,88.1463,9.9485,0.046
210000,辽宁省,2014,525.6719,1461988,3794731,1891600,341748,2410609,351402,429.6825,1406300,2890525,140.63,289.0525,104.2868,24.5531,240.9997,35.1402,95.9894,55688,904206,5.5688,90.4206,84.8732,9.6217,0.0612
210000,辽宁省,2013,505.0252,1337940,3712312,1755176,325115,2374097,319720,411.1302,1283693,2827609,128.3693,282.7609,92.2035,23.3465,237.3454,31.972,93.895,54247,884703,5.4247,88.4703,83.3141,9.165,0.0643
210000,辽宁省,2012,478.6268,1309225,3477043,1691097,317031,2191596,325585,389.3291,1257664,2635627,125.7664,263.5627,89.3345,23.3528,219.1447,32.5585,89.2977,51561,841416,5.1561,84.1416,79.7752,8.3503,0.0149
210000,辽宁省,2011,451.4693,1268721,3245972,1637992,305839,2019523,312425,365.7958,1222774,2435184,122.2774,243.5184,86.7228,23.1405,201.9354,31.2425,85.6735,45947,810788,4.5947,81.0788,77.0764,7.4434,0.0169
210000,辽宁省,2010,430.3774,1239452,3064322,1321324,287843,1906140,265013,349.7366,1182672,2314694,118.3,231.5,59.5791,22.4091,190.5122,26.5013,80.6408,56780,749628,5.7,75.0,72.5533,6.3752,0.1018
210000,辽宁省,2009,400.605,1188428,2817622,1254580,278329,1784398,248383,327.5288,1132120,2143168,113.212,214.3168,59.4485,21.9836,178.3403,24.8383,73.0762,56308,674454,5.6308,67.4454,66.0095,5.8493,0.0995
210000,辽宁省,2008,377.6505,1177734,2598771,1147333,270130,1695834,246541,316.1333,1140353,2020980,114.0353,202.098,57.5802,23.28,169.5669,24.6541,61.5172,37381,577791,3.7381,57.7791,57.1531,3.733,0.0165
210000,辽宁省,2007,361.2708,1206813.58695788,2405894.02035738,1247746,326352,1586407,254302,302.1559,1166194,1855365,116.6194,185.5365,71.4495,27.9663,158.5899,25.4302,59.1148864358237,40620.0448962355,550528.819462002,4.062,55.0529,53.3251,4.6689,0.0508
210000,辽宁省,2006,351.3281,1211721.41843865,2881406,1502261,399850,1910075,342760,295.9907,1481696,2223919,148.1696,222.3919,87.2972,34.8995,190.9541,34.276,55.3374012199552,35302,657487,3.5302,65.7487,62.9289,5.0855,0.0534
210000,辽宁省,2005,425.3388,1562820,2690568,1457408,406133,1736414,394558,364.1624,1520371,2121253,152.0371,212.1253,91.3006,34.9834,173.5305,39.4558,61.1764,42449,569315,4.2449,56.9315,54.4402,5.6299,0.1109
210000,辽宁省,2004,402.5331,1533461,2491870,1414139,403500,1635678,383705,346.1571,1491192,1970379,149.1192,197.0379,90.1019,36.1938,163.562,38.3705,56.376,42269,521491,4.2269,52.1491,51.312,4.1562,0.0058
210000,辽宁省,2003,381.9845,1510192,2309653,1307616,355418,1656243,330441,330.8457,1479639,1828818,147.9639,182.8818,83.8219,32.5568,165.2123,33.0441,51.1388,30553,480835,3.0553,48.0835,46.9397,2.985,0.412
210000,辽宁省,2002,374.8309,1520203,2228106,1309807,403119,1528430,348902,327.0787,1488365,1782422,148.8,178.2,87.6244,36.5854,152.8377,34.8902,47.7522,31838,445684,3.2,44.6,43.3563,3.7265,0.0053
210000,辽宁省,2001,350.7602,1530318,1977284,1180355,396973,1426751,325344,310.4923,1496053,1608870,149.6053,160.887,81.2894,37.1511,142.6661,32.5344,40.2679,34265,368414,3.4265,36.8414,36.7461,2.5462,0.009
210000,辽宁省,2000,338.4556,1533358,1851198,1099353,401362,1383437,350244,302.3084,1501887,1521197,150.1887,152.1197,76.6908,37.938,138.3402,35.0244,36.1472,31471,330001,3.1471,33.0001,33.2445,2.1982,0.0035
220000,吉林省,2019,23.6626,19125,217501,232004,4349,273,,,,,,,,,,,23.6626,19125,217501,1.9125,21.7501,23.2004,0.4349,0.0273
220000,吉林省,2018,23.409,,,,,,,,,,,,,,,,23.409,,,1.93,21.479,22.9694,0.4089,0.0307
220000,吉林省,2017,22.035,,,,,,,,,,,,,,,,22.035,,,1.9304,20.1046,21.6686,0.3377,0.0287
220000,吉林省,2016,20.0683,19509,181174,197492,2812,379,,,,,,,,,,,20.0683,19509,181174,1.9509,18.1174,19.7492,0.2812,0.0379
220000,吉林省,2015,19.52,19654,175546,192398,2352,450,,,,,,,,,,,19.52,19654,175546,1.9654,17.5546,19.2398,0.2352,0.045
220000,吉林省,2014,19.0125,20657,169468,187606,2024,490,,,,,,,,,,,19.0125,20657,169468,2.0657,16.9468,18.7606,0.2024,0.049
220000,吉林省,2013,18.5827,20852,164975,183733,1535,493,,,,,,,,,,,18.5827,20852,164975,2.0852,16.4975,18.3733,0.1535,0.0493
220000,吉林省,2012,18.21,20126,161974,180529,1284,262,,,,,,,,,,,18.21,20126,161974,2.0126,16.1974,18.0529,0.1284,0.0262
220000,吉林省,2011,17.2816,20087,152729,171952,714,148,,,,,,,,,,,17.2816,20087,152729,2.0087,15.2729,17.1952,0.0714,0.0148
220000,吉林省,2010,16.5958,19756,146202,165200,595,157,,,,,,,,,,,16.5958,19756,146202,2.0,14.6,16.52,0.0595,0.0157
220000,吉林省,2009,16.5184,19186,145998,164349,653,180,,,,,,,,,,,16.5184,19186,145998,1.9186,14.5998,16.4349,0.0653,0.018
220000,吉林省,2008,15.5,20130,134870,154108,696,196,,,,,,,,,,,15.5,20130,134870,2.013,13.487,15.4108,0.0696,0.0196
220000,吉林省,2007,15.161,20521,131089,150639,804,167,,,,,,,,,,,15.161,20521,131089,2.0521,13.1089,15.0639,0.0804,0.0167
220000,吉林省,2006,13.0763,24528,106235,129853,744,166,,,,,0.0,0.0,0.0,0,0,0,13.0763,24528,106235,2.4528,10.6235,12.9853,0.0744,0.0166
220000,吉林省,2005,11.893,24911,94019,117914,822,144,,,,,,,,,,,11.893,24911,94019,2.4911,9.4019,11.7914,0.0822,0.0144
220000,吉林省,2004,11.9821,27783,92038,119162,487,172,,,,,,,,,,,11.9821,27783,92038,2.7783,9.2038,11.9162,0.0487,0.0172
220000,吉林省,2003,10.8748,19298,89450,107260,470,1018,,,,,,,,,,,10.8748,19298,89450,1.9298,8.945,10.726,0.047,0.1018
220000,吉林省,2002,10.5142,23398,81744,104692,370,80,,,,,,,,,,,10.5142,23398,81744,2.3,8.2,10.4692,0.037,0.008
220000,吉林省,2001,11.0238,27860,82378,110168,48,22,,,,,,,,,,,11.0238,27860,82378,2.786,8.2378,11.0168,0.0048,0.0022
220000,吉林省,2000,14.0107,43943,96164,139484,153,470,,,,,,,,,,,14.0107,43943,96164,4.3943,9.6164,13.9484,0.0153,0.047
230000,黑龙江省,2019,64.83,40000,608300,637562,9951,735,,,,,,,,,,,64.83,40000,608300,4.0,60.83,63.7562,0.9951,0.0735
230000,黑龙江省,2018,62.432,,,,,,,,,,,,,,,,62.432,,,4.71,57.722,61.5619,0.8122,0.0495
230000,黑龙江省,2017,58.7302,,,,,,,,,,,,,,,,58.7302,,,5.164,53.5662,57.9801,0.6981,0.0439
230000,黑龙江省,2016,57.2955,54551,518404,566398,6124,377,,,,,,,,,,,57.2955,54551,518404,5.4551,51.8404,56.6398,0.6124,0.0377
230000,黑龙江省,2015,54.2368,57169,485199,537152,4808,357,,,,,,,,,,,54.2368,57169,485199,5.7169,48.5199,53.7152,0.4808,0.0357
230000,黑龙江省,2014,51.3534,54138,459396,508805,4359,319,,,,,,,,,,,51.3534,54138,459396,5.4138,45.9396,50.8805,0.4359,0.0319
230000,黑龙江省,2013,48.8615,51560,437055,483859,4346,358,,,,,,,,,,,48.8615,51560,437055,5.156,43.7055,48.3859,0.4346,0.0358
230000,黑龙江省,2012,45.284,51946,400894,447524,4914,356,,,,,,,,,,,45.284,51946,400894,5.1946,40.0894,44.7524,0.4914,0.0356
230000,黑龙江省,2011,41.9685,54203,365482,414369,4765,512,,,,,,,,,,,41.9685,54203,365482,5.4203,36.5482,41.4369,0.4765,0.0512
230000,黑龙江省,2010,39.97,46885,352815,394052,5323,284,,,,,,,,,,,39.97,46885,352815,4.7,35.3,39.4052,0.5323,0.0284
230000,黑龙江省,2009,38.07,43149,337551,375354,4943,377,,,,,,,,,,,38.07,43149,337551,4.3149,33.7551,37.5354,0.4943,0.0377
230000,黑龙江省,2008,35.58,41795,314005,350628,4784,367,,,,,,,,,,,35.58,41795,314005,4.1795,31.4005,35.0628,0.4784,0.0367
230000,黑龙江省,2007,34.2506,38736.8887523875,303769.3352357,335677,5525,372,,,,,,,,,,,34.2506223988088,38736.8887523875,303769.3352357,3.8737,30.3769,33.5677,0.5525,0.0372
230000,黑龙江省,2006,33.0852,38801.488853267,415925,460031,9070,547,,,,,0.0,0.0,0.0,0,0,0,33.0853629704442,55259,415925,5.5259,41.5925,46.0031,0.907,0.0547
230000,黑龙江省,2005,44.597,50762,395208,438486,5936,451,,,,,,,,,,,44.597,50762,395208,5.0762,39.5208,43.8486,0.5936,0.0451
