省份编码,省份,年份,大牲畜年底头数(万头),牛期末数量(万头),马期末数量(万头),驴期末数量(万头),骡期末数量(万头),骆驼期末数量(万头),猪年底头数(万头),羊年底只数(万头),山羊期末数量(万头),绵羊期末数量(万头)
140000,山西省,2017,116.7906,100.7308,0.9781,10.9527,4.126,0.003,544.110864,943.1812376,382.097105023871,561.084132576129
140000,山西省,2016,125.5027,106.5452,1.0475,11.9742,5.9336,0.0022,449.6784,910.4066,363.5579,546.8487
140000,山西省,2015,122.001146,101.059846,1.1469,12.7421,7.0459,0.0064,485.9129403792,1001.461493,436.223868,565.237625
140000,山西省,2014,123.8718,100.9,1.205,13.5568,8.2079,0.0021,514.7382843,922.74227112668,397.74227112668,525.0
140000,山西省,2013,123.860831947017,94.8089319470172,1.5199,15.63,11.901,0.001,502.183692,877.966004877907,387.447411344651,490.518593533256
140000,山西省,2012,122.7147,91.9548,1.4606,16.2886,13.0063,,473.7582,833.9877,364.142303895349,469.845396104651
140000,山西省,2011,121.2228,86.1,1.5797,18.539,15.0022,,446.1,778.7,369.247464630024,409.452535369976
140000,山西省,2010,127.6422,90.1,1.7064,18.8726,16.9617,,474.8353232,734.7,353.4,381.3
140000,山西省,2009,133.6883,90.6,2.2271,21.3444,19.5153,,498.7766,747.700453,375.065,372.635453
140000,山西省,2008,139.39,93.8,2.25,22.89,20.45,,452.2,744.0,416.281275026211,327.718724973789
140000,山西省,2007,152.39,110.9,2.26,20.42,18.81,,422.194740962578,746.4,374.58,371.82
140000,山西省,2006,175.5969,113.8869,3.5,30.14,28.07,,377.3153,733.9449,476.91,663.8
140000,山西省,2005,312.67,218.59,3.9,32.43,31.11,,463.28,1029.34,421.0,608.3
140000,山西省,2004,283.66,212.15,4.23,33.68,33.6,,452.73,998.79,404.608741785462,594.181258214539
140000,山西省,2003,294.09,218.34,4.7,35.53,35.52,,462.53,1015.77,415.4,600.4
140000,山西省,2002,297.99,217.49,5.22,36.62,38.66,,472.7,1067.97,454.95522,613.01478
140000,山西省,2001,296.26,214.92,5.64,35.6,40.1,,475.5,1096.94,495.053022130634,601.886977869367
140000,山西省,2000,309.26,225.01,5.78,37.21,41.26,,468.4,1058.42,474.85,583.57
150000,内蒙古自治区,2019,786.9272,626.0795,67.1148,69.3102,7.1632,17.2595,429.5876,5975.8949,1623.2252,4352.6697
150000,内蒙古自治区,2018,778.7001,616.2,63.8332,72.796,8.6017,17.2692,497.3,6001.915430868,1631.9732137781,4369.9422170899
150000,内蒙古自治区,2017,824.4093091968,656.1651091968,64.3728,75.4519,11.5069,16.9126,505.6,6111.930174,1694.17156818427,4417.75860581573
150000,内蒙古自治区,2016,854.8952984,654.8553984,80.4585,83.2215,20.4455,15.9144,640.0,5506.2434,1512.27811690141,3993.96528309859
150000,内蒙古自治区,2015,884.5753,670.9584,87.6871,88.5399,22.4834,14.9065,645.341124,5777.8,1603.5,4174.3
150000,内蒙古自治区,2014,839.8571,630.6,81.7229,88.9367,24.7737,13.8238,669.441,5569.2798902441,1553.09620223598,4016.18368800812
150000,内蒙古自治区,2013,819.605360861034,612.431660861034,76.6346,90.9445,26.3531,13.2415,684.5,5239.20968038015,1511.93968038015,3727.27
150000,内蒙古自治区,2012,839.0918,624.9825,75.8641,95.9765,30.0127,12.256,693.7788,5144.05125,1659.64838680587,3484.40286319413
150000,内蒙古自治区,2011,846.0363,634.5,74.5976,94.3257,31.6951,10.9179,684.2,5275.95,1706.11,3569.84
150000,内蒙古自治区,2010,883.4,676.5,71.9,92.1,32.9,10.0,684.38148779,5277.2,1708.2,3569.0
150000,内蒙古自治区,2009,868.8507,663.9007,70.66,90.54,34.17,9.58,683.69779,5197.2,1991.9,3205.3
150000,内蒙古自治区,2008,895.13,687.98,70.04,90.4,37.89,8.82,644.39,5125.27,1896.3499,3228.9201
150000,内蒙古自治区,2007,818.25,613.12,69.69,87.28,39.71,8.45,636.365121349638,5063.29,2237.89,2825.4
150000,内蒙古自治区,2006,787.4256,576.4456,69.81,88.98,42.59,9.6,620.2411,5123.4044,1862.18,3732.26
150000,内蒙古自治区,2005,783.28,576.42,67.89,86.82,43.61,8.54,738.65,5419.99,1711.03,3708.97
150000,内蒙古自治区,2004,718.19,514.72,68.74,81.58,45.03,8.12,711.22,5318.48,1719.13,3599.35
150000,内蒙古自治区,2003,615.43,409.73,72.02,78.64,47.48,7.56,647.73,4450.15,1617.23,2832.92
150000,内蒙古自治区,2002,543.37,327.32,79.67,77.73,50.96,7.69,681.8,3951.74,1545.8,2405.94
150000,内蒙古自治区,2001,536.32,301.1,90.99,80.17,55.18,8.88,765.4,3515.9,1356.63614142569,2159.26385857431
150000,内蒙古自治区,2000,622.13,351.6,111.79,85.92,60.82,12.0,801.3,3551.58,1304.31,2247.27
210000,辽宁省,2019,314.5763,264.4,5.5419,40.1355,4.4988,0.0001,1055.2,783.6,398.7,384.9
210000,辽宁省,2018,306.0442,248.3,6.1556,46.3651,5.2232,0.0003,1262.2,772.8,407.9,364.9
210000,辽宁省,2017,290.7703803,227.7775803,6.9053,49.8796,6.2073,0.0006,1308.015426,792.61412274,418.793844243922,373.820278496078
210000,辽宁省,2016,461.98819,399.60979,7.3175,48.3082,6.7523,0.0004,1406.4682,889.57814,471.745983333333,417.832156666667
210000,辽宁省,2015,499.745,384.61,16.9915,86.3038,11.8397,,1457.48,908.66,483.36,425.3
210000,辽宁省,2014,502.2487,361.8,20.4855,105.4936,14.4696,,1558.8,793.5,427.4,366.1
210000,辽宁省,2013,515.530407843469,365.367607843469,22.2212,111.8698,16.0718,,1624.5,735.4425,401.0,334.4425
210000,辽宁省,2012,524.4331,367.1168,22.8552,117.4283,17.0327,,1592.6,721.8,392.3,329.5
210000,辽宁省,2011,530.81,371.2,24.84,116.31,18.46,,1585.4,725.6,401.8,323.8
210000,辽宁省,2010,525.918,366.744,26.9375,112.1175,20.119,,1567.627776,733.49123146737,414.1,319.391231467369
210000,辽宁省,2009,515.6014,354.0,26.4558,113.9101,21.2355,,1606.176,717.000226263313,447.791,269.209226263313
210000,辽宁省,2008,492.8335,325.1,27.745,116.239,23.7495,,1584.0,678.7,388.288693230011,290.411306769989
210000,辽宁省,2007,484.1691,332.2311,26.1394,103.9889,21.8097,,1429.43747090151,675.9259126,349.727726716601,326.198185883399
210000,辽宁省,2006,426.468,281.489,26.816,95.5911,22.5719,,1416.1218,673.9042,422.5481,395.9058
210000,辽宁省,2005,495.9246,344.7355,28.1931,98.8591,24.1369,,1453.55,995.6221,510.7,484.9
210000,辽宁省,2004,476.91,329.05,31.29,91.81,24.76,,1364.84,1204.54,569.634390068238,634.905609931762
210000,辽宁省,2003,455.03,301.88,33.33,91.86,27.96,,1275.42,1076.86,471.1,605.8
210000,辽宁省,2002,421.46,264.8,34.36,92.93,29.37,,1281.8,446.0,204.8924,241.1076
210000,辽宁省,2001,411.73,251.1,35.66,93.49,31.48,,1291.8,449.4,212.574730189813,236.825269810187
210000,辽宁省,2000,420.66,254.0,37.03,95.28,34.35,,1300.2,386.1107,187.3377,198.773
220000,吉林省,2019,338.4335286,331.4835286,3.58,2.96,0.41,,792.83,402.354658,54.46264,347.892018
220000,吉林省,2018,330.694823593074,325.294823593074,2.8,2.33,0.27,,870.401070819991,396.589438898086,54.2807236553828,342.308715242703
220000,吉林省,2017,342.051053292578,337.555013875068,2.432644581129,1.85749364521631,0.205901191164436,,911.098281368585,399.851204077042,51.9937611498054,347.857442927237
220000,吉林省,2016,475.11482768996,427.28482768996,24.66,16.49,6.68,,948.073133578133,438.439530172035,52.5327436206442,385.906786551391
220000,吉林省,2015,501.032392078017,450.722392078017,25.6,17.3,7.41,,972.382701105777,452.894287790655,54.5948082491601,398.299479541495
220000,吉林省,2014,490.661877,430.911877,30.05,21.83,7.87,,1000.396539,410.819311,54.37464,356.444671
220000,吉林省,2013,503.055022752473,437.616022752473,34.6836,22.2356,8.5198,,1001.15136,396.198805020396,55.1427671168813,341.056037903515
220000,吉林省,2012,504.24714,431.35714,37.14,26.48,9.27,,1001.15136,393.914893,69.4086723496528,324.506220650347
220000,吉林省,2011,508.86,423.73,43.41,28.78,12.94,,989.28,391.5655,102.103366580917,289.462133419083
220000,吉林省,2010,537.55,455.72,45.77,23.17,12.89,,986.585292,398.79,117.57,281.22
220000,吉林省,2009,556.63,474.7,47.21,22.17,12.55,,1007.748,422.9,187.87,235.03
220000,吉林省,2008,539.2,460.9,47.8,18.0,12.5,,976.5,406.6,130.112,276.488
220000,吉林省,2007,615.05211299,539.29098699,47.76426,16.543796,11.45307,,1084.7700291,457.25104544,91.4302218671501,365.82082357285
220000,吉林省,2006,571.0947175,486.7247175,53.16,16.76,14.45,,929.5373,424.2448,70.0,380.0
220000,吉林省,2005,634.94,550.03,53.65,16.78,14.48,,615.19,430.01,64.96,365.05
220000,吉林省,2004,615.15,525.03,57.83,16.74,15.55,,568.04,410.0,62.45,347.55
220000,吉林省,2003,599.41,500.0,64.38,18.29,16.74,,523.89,392.0,60.04,331.96
220000,吉林省,2002,560.39,460.0,64.98,17.29,18.12,,474.5,372.32,58.0,314.32
220000,吉林省,2001,550.99,454.6,62.46,16.62,17.31,,889.6,359.3,55.9815580728659,303.318441927134
220000,吉林省,2000,539.76,431.86,72.23,16.8,18.87,,646.0,352.96,54.12,298.84
230000,黑龙江省,2019,492.5992,474.93,12.1335,4.8573,0.6784,,1173.23307,767.17,154.05008819713,613.11991180287
230000,黑龙江省,2018,476.1886,456.51,13.4174,5.2402,1.021,,1353.21,772.715696,166.008078,606.707618
230000,黑龙江省,2017,509.3204,489.3154,15.54,3.326,1.139,,1433.90853853433,835.1848,175.9039,659.2809
230000,黑龙江省,2016,524.232742636956,494.352742636956,20.51,6.86,2.51,,1275.98190944994,864.345538247551,185.928311065276,678.417227182276
230000,黑龙江省,2015,543.494982062971,510.694982062971,22.6,7.33,2.87,,1314.09053496389,895.694858287618,196.236079304423,699.458778983195
230000,黑龙江省,2014,536.577497156273,502.185797156273,23.5557,7.7058,3.1302,,1360.2907844076,856.835693668671,228.13835141428,628.697343465065
230000,黑龙江省,2013,531.683010688753,495.383010688753,24.6,8.4,3.3,,1356.7435923858,817.767570669229,247.075397734383,570.692172934846
230000,黑龙江省,2012,557.64762,519.84762,25.87,8.69,3.24,,1381.61261953748,898.312470694315,323.017941526123,575.294529168192
230000,黑龙江省,2011,557.68,518.81,26.74,8.7,3.43,,1367.93328667077,915.684,337.293237932656,578.390762067344
230000,黑龙江省,2010,573.62,533.72,27.59,8.85,3.46,,1360.7701,893.212050463613,331.59,561.622050463613
230000,黑龙江省,2009,572.0,533.2,26.8,8.3,3.7,,1356.7,897.700553229762,338.295,559.405553229762
230000,黑龙江省,2008,558.85,518.85,28.2,8.1,3.7,,1286.04,849.17828810452,351.575921658154,497.602366446366
230000,黑龙江省,2007,565.04420237,523.49420237,29.86,8.07,3.62,,1217.2,821.25559778,287.457790995289,533.797806784711
230000,黑龙江省,2006,548.39601,504.81601,32.18,7.53,3.87,,1209.8156,777.5569,346.7,650.05
230000,黑龙江省,2005,580.8,527.14,41.25,7.61,4.79,,1316.83,1180.3,408.88,771.42
230000,黑龙江省,2004,590.78,532.77,45.5,7.69,4.82,,1217.28,1153.57,448.21403,705.36
230000,黑龙江省,2003,592.29,526.39,53.0,7.7,5.2,,1046.22,1029.5,403.0,626.5
230000,黑龙江省,2002,564.6,491.91,59.99,7.57,5.13,,1010.8,749.1,228.72,520.38
230000,黑龙江省,2001,558.27,478.2,66.61,8.14,5.32,,971.2,567.8,147.345190038395,420.454809961605
230000,黑龙江省,2000,547.68,461.38,72.78,7.94,5.58,,992.6,507.41,123.83,383.58
310000,上海市,2019,5.185,5.15,0.035,,,,50.74,12.98,12.22,0.760000000000002
310000,上海市,2018,5.8037,5.79,0.0137,,,,96.48,13.72,12.87,0.85
310000,上海市,2017,6.5154,6.5,0.0154,,,,111.24,19.56,18.51,1.05
310000,上海市,2016,5.4,5.4,,,,,100.06,25.64,24.58,1.06
310000,上海市,2015,5.94,5.94,,,,,143.86,30.53,29.07,1.46
310000,上海市,2014,5.9,5.9,0.0,0.0,,,171.68,28.08,26.7,1.38
310000,上海市,2013,5.9126,5.9126,,,,,184.7525,26.1132,24.91,1.2032
310000,上海市,2012,6.98,6.98,0.0,0.0,0.0,,178.75,25.61,24.46,1.15
310000,上海市,2011,6.98,6.98,,,,,180.65,24.4,23.27,1.13
310000,上海市,2010,6.83271,6.83271,,,,,171.87,24.46,23.32,1.14
310000,上海市,2009,6.52,6.52,,,,,175.16,25.08,23.56,1.52
310000,上海市,2008,6.11,6.11,,,,,162.52,23.92,22.64,1.28
310000,上海市,2007,7.4824704,7.4824704,,,,,122.9328715,10.9604444,10.442788602752,0.517655797248047
310000,上海市,2006,7.0656,7.0656,,,,,108.3109,11.4649,26.88,1.38
310000,上海市,2005,5.44,5.5,,,,,156.0,30.1,27.6,2.5
310000,上海市,2004,1.23,1.23,,,,,50.75,61.915,55.35201,6.56299
310000,上海市,2003,6.28,6.28,,,,,195.0,62.0,53.5,8.5
310000,上海市,2002,6.2,6.2,,,,,216.1,47.0,40.3636,6.6364
310000,上海市,2001,6.3,6.3,,,,,239.5,54.54,44.9061814308539,9.6338185691461
310000,上海市,2000,6.27,6.05,,,,,230.0,55.44,45.98,9.46
320000,江苏省,2019,28.9963,27.7428,0.0941,0.7333,0.4261,,577.4273887477,356.229,338.2866,17.9424
320000,江苏省,2018,31.724,29.234,0.18,1.69,0.62,,1551.9727,390.2101,380.6985,9.51159999999999
320000,江苏省,2017,32.9078999304145,30.5,0.156678420129709,1.7234626214268,0.527758888857969,,1640.3,398.5,389.25,9.25
320000,江苏省,2016,33.54,30.3,0.21,2.34,0.69,,1690.56,404.3,394.84,9.46000000000004
320000,江苏省,2015,34.15,30.7,0.25,2.44,0.76,,1780.3,417.5,407.64,9.86000000000001
320000,江苏省,2014,34.54,30.59,0.28,2.77,0.9,,1799.5,413.8,404.1,9.69999999999999
320000,江苏省,2013,34.534,30.414,0.29,2.82,1.01,,1787.2629,403.065288166591,393.586988166591,9.47829999999999
320000,江苏省,2012,36.4019,32.0619,0.31,2.98,1.05,,1775.16582165,400.6113116,391.239550861422,9.37176073857802
320000,江苏省,2011,39.1219,34.0519,0.36,3.64,1.07,,1745.49245,415.5719,405.69,9.88
320000,江苏省,2010,40.86,35.66,0.38,3.73,1.09,,1728.5164,411.15,401.32,9.83
320000,江苏省,2009,39.65,33.9,0.42,4.08,1.25,,1760.2,426.500092868285,419.236,7.26409286828454
320000,江苏省,2008,41.7478,34.26,0.7384,5.3525,1.3969,,1716.23,410.69,402.4762,8.21379999999999
320000,江苏省,2007,40.6722871236194,33.3112747332727,0.933221549448844,5.4033692358246,1.02442160507326,,1620.06031757311,404.670038650098,389.261873944215,15.4081647058824
320000,江苏省,2006,40.154826,33.1,0.64,5.48,0.91,,1550.7757,444.8802,1167.49,19.01
320000,江苏省,2005,73.88,64.61,1.35,6.39,1.53,,1927.2,1174.99,1155.0,20.0
320000,江苏省,2004,74.05,65.82,1.11,5.73,1.39,,1910.78,1196.89,1176.7,20.19
320000,江苏省,2003,74.12,66.4,0.87,5.98,0.87,,1992.96,1205.14,1184.81,20.33
320000,江苏省,2002,78.84,63.61,0.97,11.82,2.44,,2011.7,1147.02,1109.512446,37.507554
320000,江苏省,2001,72.0,59.07,1.07,10.62,1.24,,2028.5,1088.12,1056.66,31.46
320000,江苏省,2000,74.51,59.14,1.4,12.57,1.4,,2015.0,1022.97,994.39,28.58
330000,浙江省,2019,13.24,13.24,,,,,427.3,117.46,44.35,73.11
330000,浙江省,2018,13.71,13.71,,,,,516.79,125.88,40.84,85.04
330000,浙江省,2017,14.9,14.9,,,,,542.55,133.8,48.38,85.42
330000,浙江省,2016,14.5,14.5,,,,,573.83,113.08,40.1,72.98
330000,浙江省,2015,14.99,14.99,,,,,730.19,113.37,40.14,73.23
330000,浙江省,2014,15.75,15.75,0.0,0.0,,,964.64,111.42,40.49,70.93
330000,浙江省,2013,17.47771,17.47771,,,,,1287.53,109.96624,41.69624,68.27
330000,浙江省,2012,17.7,17.7,,,,,1338.33492,107.18,42.16,65.02
330000,浙江省,2011,19.13,19.13,,,,,1281.93,109.45,41.91,67.54
330000,浙江省,2010,19.89,19.89,,,,,1248.428157375,111.67,42.1,69.57
330000,浙江省,2009,20.37,20.37,,,,,1225.75175,111.551012394446,43.21,68.3410123944456
330000,浙江省,2008,20.6573,20.6573,,,,,1161.85,111.35,61.2425,50.1075
330000,浙江省,2007,20.8322380599,20.7422380599,0.05,0.01,0.03,,1039.103856,111.8994891,53.9514273490833,57.9480617509167
330000,浙江省,2006,23.0603633,22.9703633,0.05,0.01,0.03,,1002.996,123.9197,93.88,104.44
330000,浙江省,2005,35.64,35.54,0.06,,0.04,,1213.15,222.35,105.4,117.0
330000,浙江省,2004,39.31,39.25,0.06,,,,1125.27,256.72,131.22,125.5
330000,浙江省,2003,38.9,38.9,,,,,1132.38,262.9,138.5,124.4
330000,浙江省,2002,39.63,39.63,,,,,1139.2,258.61,136.778829,121.831171
330000,浙江省,2001,39.3,39.3,,,,,1146.9,245.0,132.389192718962,112.610807281038
330000,浙江省,2000,38.95,38.95,,,,,1043.0,233.51,113.37,120.14
340000,安徽省,2019,88.1721137193578,87.8155137193578,0.0754,0.2555,0.0257,,1091.788851615,548.142493032687,547.268669115918,0.873823916768401
340000,安徽省,2018,79.97510208,79.62110208,0.0739,0.2532,0.0269,,1356.259443,500.586751628024,499.832526998307,0.754224629717669
340000,安徽省,2017,80.92226,80.58816,0.0755,0.2143,0.0443,,1417.199,505.107463425684,504.320983753715,0.786479671969516
340000,安徽省,2016,168.2291,167.892,0.0881,0.2094,0.0396,,1468.5876,655.983718734655,654.973486652919,1.01023208173581
340000,安徽省,2015,164.968085968853,164.614285968853,0.0947,0.2222,0.0369,,1539.37199526,688.335486605094,687.237672130861,1.09781447423294
340000,安徽省,2014,153.0090963671,152.6872963671,0.1074,0.1562,0.0582,,1585.34706,642.747659682118,641.678498721626,1.06916096049176
340000,安徽省,2013,155.65566093541,155.08826093541,0.1113,0.3956,0.0605,,1612.58991697641,605.283005182037,604.217042110759,1.06596307127793
340000,安徽省,2012,152.26298241,151.85388241,0.1291,0.2187,0.0613,,1555.2029289,592.1916,591.210413024226,0.981186975773561
340000,安徽省,2011,147.6788,147.23,0.1461,0.2389,0.0638,,1467.311,591.6,590.6,1.0
340000,安徽省,2010,151.532589925185,150.901089925185,0.1746,0.3671,0.0898,,1442.53579365,590.5,589.595325960279,0.904674039721054
340000,安徽省,2009,149.47,148.81,0.2,0.36,0.1,,1482.56505,584.200133170143,583.211,0.989133170142622
340000,安徽省,2008,145.17,144.52,0.21,0.33,0.11,,1432.43,560.28,557.4786,2.80140000000006
340000,安徽省,2007,144.0003236,142.9703236,0.25,0.61,0.17,,1334.2,535.9937508,532.987283530418,3.006467269582
340000,安徽省,2006,149.6578,148.6178,0.29,0.59,0.16,,1202.9,551.4339,817.72,2.08
340000,安徽省,2005,433.6,371.2,0.35,1.12,0.34,,2034.04277009334,921.263297841595,918.5,2.8
340000,安徽省,2004,464.376534302001,461.796534302001,0.64,1.51,0.43,,1968.95916615625,953.845592153795,951.61028803567,2.23530411812447
340000,安徽省,2003,496.3255,492.5555,1.03,2.13,0.61,,2019.31444,1049.922,1047.0,2.9
340000,安徽省,2002,587.643905773958,582.503905773958,1.49,2.84,0.81,,1995.4,948.654746695562,945.808782455476,2.84596424008669
340000,安徽省,2001,533.93,528.42,1.46,3.04,1.01,,1910.6,720.85,718.678815172987,2.17118482701318
340000,安徽省,2000,559.35,552.95,1.58,3.73,1.09,,1858.4,794.94,792.52,2.43
350000,福建省,2019,29.7055,29.7055,,,,,641.5179554,105.6876,105.6876,
350000,福建省,2018,30.9232,30.9232,,,,,799.8977,95.3176,95.3176,
350000,福建省,2017,32.648205,32.646005,0.0022,,,,921.7987,89.0308414,89.0308414,
350000,福建省,2016,66.6267,66.6245,0.0022,,,,983.18,127.98546,127.98546,
350000,福建省,2015,67.3104,67.308,0.0024,,,,1066.163094,127.73,127.73,
350000,福建省,2014,67.797,67.7948,0.0022,,,,1149.350968,121.4441,121.4441,
350000,福建省,2013,68.87,68.8678,0.0022,,,,1296.244026,115.8401,115.8401,
350000,福建省,2012,68.4668,68.4628,0.004,,,,1340.85679512255,110.8126,110.8126,0.0
350000,福建省,2011,69.7734,69.7694,0.004,,,,1297.79744,107.5822,107.5822,
350000,福建省,2010,70.1737,70.1696,0.004,0.0001,,,1272.57,106.2415,106.2415,0.0
350000,福建省,2009,70.2841,70.28,0.0041,,,,1315.79,103.3921,103.3921,
350000,福建省,2008,70.8412,70.8405,0.0083,,,,1324.09,96.5864,96.5864,
350000,福建省,2007,63.13236141562,63.13236141562,,,,,1294.62101599,81.8173726,81.8173726,
350000,福建省,2006,64.1458661,64.1458661,,,,,1242.438595,80.3707,132.34,0.0
