省份编码,省份,年份,乡镇数(个),乡数(个),镇数(个),村民委员会数(个)
210000,辽宁省,2012,885,270,615,11416
210000,辽宁省,2011,897,290,607,11558
210000,辽宁省,2010,905,324,581,11166
210000,辽宁省,2009,934,357,577,11100
210000,辽宁省,2008,941,369,572,11723
210000,辽宁省,2007,945,370,575,11896
210000,辽宁省,2006,976,378,598,11902
210000,辽宁省,2005,993,382,611,11920
210000,辽宁省,2004,1007,387,620,12024
210000,辽宁省,2003,1011,394,617,13720
210000,辽宁省,2002,1418,796,622,15950
210000,辽宁省,2001,1585,927,658,16033
210000,辽宁省,2000,1587,934,653,16192
220000,吉林省,2019,,,,
220000,吉林省,2018,608,182,426,9325
220000,吉林省,2017,608,182,426,9327
220000,吉林省,2016,610,182,428,9327
220000,吉林省,2015,611,182,429,9327
220000,吉林省,2014,618,184,434,9313
220000,吉林省,2013,618,184,434,9760
220000,吉林省,2012,618,189,429,9109
220000,吉林省,2011,618,190,428,9172
220000,吉林省,2010,620,194,426,8989
220000,吉林省,2009,621,196,425,9121
220000,吉林省,2008,621,198,423,9127
220000,吉林省,2007,622,198,424,9317
220000,吉林省,2006,626,197,429,9335
220000,吉林省,2005,624,195,429,9375
220000,吉林省,2004,767,314,453,9370
220000,吉林省,2003,774,317,457,9569
220000,吉林省,2002,788,330,458,9850
220000,吉林省,2001,791,338,453,10005
220000,吉林省,2000,856,401,455,10107
230000,黑龙江省,2019,,,,
230000,黑龙江省,2018,888,347,541,8967
230000,黑龙江省,2017,885,353,532,8968
230000,黑龙江省,2016,886,365,521,9050
230000,黑龙江省,2015,886,374,512,9077
230000,黑龙江省,2014,893,380,513,8902
230000,黑龙江省,2013,893,398,495,8906
230000,黑龙江省,2012,894,409,485,8988
230000,黑龙江省,2011,895,417,478,8992
230000,黑龙江省,2010,896,423,473,9057
230000,黑龙江省,2009,896,429,467,9055
230000,黑龙江省,2008,898,431,467,9057
230000,黑龙江省,2007,877,428,449,8970
230000,黑龙江省,2006,877,428,449,8956
230000,黑龙江省,2005,878,430,448,8952
230000,黑龙江省,2004,882,432,450,8951
230000,黑龙江省,2003,904,452,452,9018
230000,黑龙江省,2002,909,457,452,9115
230000,黑龙江省,2001,915,473,442,9502
230000,黑龙江省,2000,1161,724,437,14206
310000,上海市,2019,,,,
310000,上海市,2018,109,2,107,1572
310000,上海市,2017,109,2,107,1585
310000,上海市,2016,109,2,107,1590
310000,上海市,2015,109,2,107,1593
310000,上海市,2014,109,2,107,1605
310000,上海市,2013,110,2,108,1610
310000,上海市,2012,110,2,108,1613
310000,上海市,2011,110,2,108,1702
310000,上海市,2010,111,2,109,1739
310000,上海市,2009,111,2,109,1722
310000,上海市,2008,112,3,109,1781
310000,上海市,2007,103,3,100,1788
310000,上海市,2006,104,3,101,1839
310000,上海市,2005,103,3,100,1875
310000,上海市,2004,109,3,106,1905
310000,上海市,2003,127,3,124,1991
310000,上海市,2002,133,3,130,2090
310000,上海市,2001,151,3,148,2715
310000,上海市,2000,153,3,150,2784
320000,江苏省,2019,,,,
320000,江苏省,2018,767,44,723,14410
320000,江苏省,2017,826,68,758,14462
320000,江苏省,2016,832,69,763,14477
320000,江苏省,2015,839,72,767,14486
320000,江苏省,2014,859,79,780,14428
320000,江苏省,2013,876,79,797,14538
320000,江苏省,2012,932,96,836,15173
320000,江苏省,2011,956,96,860,15625
320000,江苏省,2010,975,98,877,15803
320000,江苏省,2009,1018,107,911,16393
320000,江苏省,2008,1039,109,930,16686
320000,江苏省,2007,1011,111,900,17095
320000,江苏省,2006,1061,55,1006,17605
320000,江苏省,2005,1092,114,978,18282
320000,江苏省,2004,1153,123,1030,18619
320000,江苏省,2003,1259,126,1133,19520
320000,江苏省,2002,1281,139,1142,20245
320000,江苏省,2001,1287,167,1120,20782
320000,江苏省,2000,1482,280,1202,33259
330000,浙江省,2019,,,,
330000,浙江省,2018,908,269,639,24711
330000,浙江省,2017,915,274,641,27458
330000,浙江省,2016,929,274,655,27568
330000,浙江省,2015,906,265,641,27901
330000,浙江省,2014,887,258,629,27997
330000,浙江省,2013,903,264,639,28339
330000,浙江省,2012,929,279,650,28798
330000,浙江省,2011,944,290,654,28812
330000,浙江省,2010,1171,443,728,29303
330000,浙江省,2009,1180,445,735,29958
330000,浙江省,2008,1193,446,747,30068
330000,浙江省,2007,1207,458,749,31060
330000,浙江省,2006,1215,461,754,32976
330000,浙江省,2005,1251,493,758,34515
330000,浙江省,2004,1281,518,763,35445
330000,浙江省,2003,1334,543,791,38322
330000,浙江省,2002,1375,553,822,39125
330000,浙江省,2001,1415,576,839,40569
330000,浙江省,2000,1723,752,971,42226
340000,安徽省,2019,,,,
340000,安徽省,2018,1239,271,968,14516
340000,安徽省,2017,1240,275,965,14482
340000,安徽省,2016,1242,289,953,14586
340000,安徽省,2015,1249,303,946,14688
340000,安徽省,2014,1253,315,938,14786
340000,安徽省,2013,1257,330,927,14925
340000,安徽省,2012,1257,334,923,15054
340000,安徽省,2011,1257,343,914,14882
340000,安徽省,2010,1261,349,912,15546
340000,安徽省,2009,1262,357,905,15732
340000,安徽省,2008,1269,361,908,15856
340000,安徽省,2007,1247,376,871,18767
340000,安徽省,2006,1356,480,876,20628
340000,安徽省,2005,1466,551,915,24076
340000,安徽省,2004,1584,649,935,26545
340000,安徽省,2003,1739,769,970,28852
340000,安徽省,2002,1760,783,977,29186
340000,安徽省,2001,1791,825,966,29810
340000,安徽省,2000,1841,900,941,30658
350000,福建省,2019,,,,
350000,福建省,2018,923,272,651,14358
350000,福建省,2017,926,284,642,14399
350000,福建省,2016,926,288,638,14407
350000,福建省,2015,927,294,633,14429
350000,福建省,2014,929,301,628,14440
350000,福建省,2013,929,313,616,14441
350000,福建省,2012,929,320,609,14435
350000,福建省,2011,929,329,600,14435
350000,福建省,2010,929,334,595,14432
350000,福建省,2009,929,338,591,14432
350000,福建省,2008,928,338,590,15170
350000,福建省,2007,929,338,591,14420
350000,福建省,2006,931,339,592,14525
350000,福建省,2005,934,341,593,14630
350000,福建省,2004,954,351,603,14745
350000,福建省,2003,960,352,608,14894
350000,福建省,2002,928,352,576,15001
350000,福建省,2001,936,359,577,15008
350000,福建省,2000,943,365,578,14988
360000,江西省,2019,,,,
360000,江西省,2018,1405,578,827,17004
360000,江西省,2017,1404,579,825,17033
360000,江西省,2016,1403,579,824,17046
360000,江西省,2015,1402,582,820,16947
360000,江西省,2014,1403,587,816,17011
360000,江西省,2013,1401,594,807,16918
360000,江西省,2012,1398,596,802,16961
360000,江西省,2011,1396,602,794,16937
360000,江西省,2010,1398,610,788,16934
360000,江西省,2009,1398,620,778,16880
360000,江西省,2008,1397,627,770,16876
360000,江西省,2007,1403,632,771,17235
360000,江西省,2006,1402,636,766,17145
360000,江西省,2005,1435,663,772,17233
360000,江西省,2004,1435,666,769,17354
360000,江西省,2003,1449,681,768,17955
360000,江西省,2002,1507,722,785,20183
360000,江西省,2001,1666,889,777,20550
360000,江西省,2000,1817,1071,746,20738
370000,山东省,2019,,,,
370000,山东省,2018,1160,68,1092,69599
370000,山东省,2017,1164,70,1094,74167
370000,山东省,2016,1179,73,1106,74217
370000,山东省,2015,1190,75,1115,73811
370000,山东省,2014,1195,81,1114,73388
370000,山东省,2013,1198,91,1107,74798
370000,山东省,2012,1207,113,1094,71570
370000,山东省,2011,1246,128,1118,71625
370000,山东省,2010,1274,156,1118,72943
370000,山东省,2009,1365,269,1096,74844
370000,山东省,2008,1381,270,1111,79882
370000,山东省,2007,1348,270,1078,82784
370000,山东省,2006,1424,276,1148,83538
370000,山东省,2005,1423,277,1146,83483
370000,山东省,2004,1468,295,1173,86121
370000,山东省,2003,1476,296,1180,86666
370000,山东省,2002,1494,302,1192,86700
370000,山东省,2001,1499,335,1164,87282
370000,山东省,2000,2207,781,1426,87817
410000,河南省,2019,,,,
410000,河南省,2018,1791,618,1173,45651
410000,河南省,2017,1791,640,1151,46198
410000,河南省,2016,1802,682,1120,46831
410000,河南省,2015,1808,703,1105,46925
410000,河南省,2014,1821,718,1103,46938
410000,河南省,2013,1840,755,1085,46997
410000,河南省,2012,1841,827,1014,47140
410000,河南省,2011,1863,852,1011,47347
410000,河南省,2010,1878,929,949,47311
410000,河南省,2009,1882,978,904,47346
410000,河南省,2008,1889,1033,856,47447
410000,河南省,2007,1856,1089,767,48071
410000,河南省,2006,1871,1105,766,48081
410000,河南省,2005,2008,1232,776,48145
410000,河南省,2004,2014,1241,773,48330
410000,河南省,2003,2014,1243,771,48442
410000,河南省,2002,2019,1242,777,48480
410000,河南省,2001,2029,1252,777,48556
410000,河南省,2000,2031,1289,742,48437
420000,湖北省,2019,,,,
420000,湖北省,2018,925,163,762,23392
420000,湖北省,2017,926,165,761,24970
420000,湖北省,2016,927,168,759,25064
420000,湖北省,2015,929,168,761,25109
420000,湖北省,2014,931,170,761,25448
420000,湖北省,2013,932,175,757,25452
420000,湖北省,2012,934,188,746,25575
420000,湖北省,2011,936,194,742,25643
420000,湖北省,2010,940,199,741,25763
420000,湖北省,2009,944,204,740,25517
420000,湖北省,2008,943,210,733,25551
420000,湖北省,2007,945,213,732,26045
420000,湖北省,2006,947,211,736,26235
420000,湖北省,2005,954,217,737,26682
420000,湖北省,2004,964,224,740,26697
420000,湖北省,2003,964,225,739,27634
420000,湖北省,2002,966,227,739,28671
420000,湖北省,2001,969,231,738,31616
420000,湖北省,2000,1329,476,853,32400
430000,湖南省,2019,,,,
430000,湖南省,2018,1530,392,1138,23897
430000,湖南省,2017,1532,398,1134,23906
430000,湖南省,2016,1536,401,1135,23955
430000,湖南省,2015,1536,417,1119,40448
430000,湖南省,2014,2055,902,1153,41523
430000,湖南省,2013,2063,925,1138,41922
430000,湖南省,2012,2083,952,1131,42018
430000,湖南省,2011,2159,1038,1121,42539
430000,湖南省,2010,2161,1052,1109,42863
430000,湖南省,2009,2162,1056,1106,42928
430000,湖南省,2008,2164,1063,1101,43550
430000,湖南省,2007,2166,1071,1095,43867
430000,湖南省,2006,2193,1099,1094,44202.5
430000,湖南省,2005,2220,1127,1093,44538
430000,湖南省,2004,2343,1245,1098,45722
430000,湖南省,2003,2357,1259,1098,50195
430000,湖南省,2002,2364,1262,1102,50088
430000,湖南省,2001,2358,1286,1072,50064
430000,湖南省,2000,2353,1314,1039,50068
440000,广东省,2019,,,,
440000,广东省,2018,1134,11,1123,19792
440000,广东省,2017,1135,11,1124,19785
440000,广东省,2016,1139,11,1128,19734
440000,广东省,2015,1139,11,1128,19632
440000,广东省,2014,1139,11,1128,19347
440000,广东省,2013,1139,11,1128,19257
440000,广东省,2012,1142,11,1131,19180
440000,广东省,2011,1143,11,1132,19034
440000,广东省,2010,1145,11,1134,19506
440000,广东省,2009,1148,11,1137,19502
440000,广东省,2008,1150,11,1139,19472
440000,广东省,2007,1290,153,1137,22080
440000,广东省,2006,1256,84,1172,21952.5
440000,广东省,2005,1223,16,1207,21825
440000,广东省,2004,1247,16,1231,21917
440000,广东省,2003,1395,16,1379,22574
440000,广东省,2002,1527,25,1502,22842
440000,广东省,2001,1591,32,1559,22881
440000,广东省,2000,1612,35,1577,22962
450000,广西壮族自治区,2019,,,,
450000,广西壮族自治区,2018,1118,312,806,14229
450000,广西壮族自治区,2017,1118,319,799,14258
450000,广西壮族自治区,2016,1118,330,788,14276
450000,广西壮族自治区,2015,1123,350,773,14273
450000,广西壮族自治区,2014,1123,350,773,14291
450000,广西壮族自治区,2013,1127,405,722,14313
450000,广西壮族自治区,2012,1126,411,715,14345
450000,广西壮族自治区,2011,1126,424,702,14355
450000,广西壮族自治区,2010,1126,424,702,14355
450000,广西壮族自治区,2009,1126,424,702,14361
450000,广西壮族自治区,2008,1126,424,702,14353
450000,广西壮族自治区,2007,1126,424,702,14358
450000,广西壮族自治区,2006,1126,427,699,14432
450000,广西壮族自治区,2005,1130,432,698,14453
450000,广西壮族自治区,2004,1324,578,746,14560
450000,广西壮族自治区,2003,1325,578,747,14601
450000,广西壮族自治区,2002,1337,585,752,14660
450000,广西壮族自治区,2001,1356,611,745,14837
450000,广西壮族自治区,2000,1360,615,745,14849
460000,海南省,2019,,,,
460000,海南省,2018,196,21,175,2558
460000,海南省,2017,196,21,175,2562
460000,海南省,2016,196,21,175,2552
460000,海南省,2015,196,21,175,2561
460000,海南省,2014,197,21,176,2561
460000,海南省,2013,203,21,182,2570
460000,海南省,2012,204,21,183,2568
460000,海南省,2011,204,21,183,2567
460000,海南省,2010,204,21,183,2567
460000,海南省,2009,204,21,183,2556
460000,海南省,2008,204,21,183,2554
460000,海南省,2007,203,21,182,2620
460000,海南省,2006,201.5,20.5,181,2617.5
460000,海南省,2005,200,20,180,2615
460000,海南省,2004,200,20,180,2624
460000,海南省,2003,200,20,180,2633
460000,海南省,2002,200,20,180,2666
460000,海南省,2001,299,98,201,2676
460000,海南省,2000,309,104,205,2647
500000,重庆市,2019,,,,
500000,重庆市,2018,804,177,627,8031
500000,重庆市,2017,808,182,626,8090
500000,重庆市,2016,812,190,622,8064
500000,重庆市,2015,812,195,617,8220
500000,重庆市,2014,817,207,610,8255
500000,重庆市,2013,824,213,611,8318
500000,重庆市,2012,824,220,604,8467
500000,重庆市,2011,823,225,598,8575
500000,重庆市,2010,839,252,587,8605
500000,重庆市,2009,845,267,578,8803
500000,重庆市,2008,871,291,580,8967
500000,重庆市,2007,891,311,580,9035
500000,重庆市,2006,905,319,586,9718
500000,重庆市,2005,958,364,594,10015
500000,重庆市,2004,1035,421,614,10143
500000,重庆市,2003,1183,541,642,14357
500000,重庆市,2002,1223,559,664,16407
500000,重庆市,2001,1237,574,663,18264
500000,重庆市,2000,1472,822,650,20589
510000,四川省,2019,,,,
510000,四川省,2018,4259,2027,2232,45524
510000,四川省,2017,4260,2064,2196,45683
510000,四川省,2016,4287,2182,2105,45945
510000,四川省,2015,4303,2271,2032,46240
510000,四川省,2014,4319,2382,1937,46318
510000,四川省,2013,4355,2502,1853,46492
510000,四川省,2012,4380,2549,1831,46604
510000,四川省,2011,4395,2579,1816,46613
510000,四川省,2010,4406,2585,1821,47368
510000,四川省,2009,4407,2586,1821,47997
510000,四川省,2008,4409,2588,1821,47906
510000,四川省,2007,4432,2604,1828,49122
510000,四川省,2006,4434,2588,1846,50613
510000,四川省,2005,4658,2789,1869,51198
510000,四川省,2004,4808,2932,1876,52875
510000,四川省,2003,5008,3077,1931,54742
510000,四川省,2002,5052,3119,1933,55017
510000,四川省,2001,5051,3174,1877,55047
510000,四川省,2000,5062,3274,1788,55020
520000,贵州省,2019,,,,
520000,贵州省,2018,1154,317,837,13295
520000,贵州省,2017,1156,317,839,13436
520000,贵州省,2016,1158,326,832,14619
520000,贵州省,2015,1197,401,796,16612
520000,贵州省,2014,1262,500,762,16747
520000,贵州省,2013,1388,606,782,16859
520000,贵州省,2012,1439,710,729,18099
520000,贵州省,2011,1445,751,694,17583
520000,贵州省,2010,1446,757,689,17672
520000,贵州省,2009,1446,757,689,17568
520000,贵州省,2008,1449,758,691,17332
520000,贵州省,2007,1387,754,633,17954
520000,贵州省,2006,1384,748,636,19633
520000,贵州省,2005,1385,761,624,19696
520000,贵州省,2004,1380,761,619,20053
520000,贵州省,2003,1381,760,621,22245
520000,贵州省,2002,1457,760,697,23898
520000,贵州省,2001,1460,764,696,24890
520000,贵州省,2000,1463,771,692,25692
530000,云南省,2019,,,,
530000,云南省,2018,1225,543,682,11865
530000,云南省,2017,1225,543,682,11905
530000,云南省,2016,1226,545,681,11971
530000,云南省,2015,1226,545,681,12024
530000,云南省,2014,1226,561,665,12035
530000,云南省,2013,1226,574,652,12137
530000,云南省,2012,1243,584,659,12292
530000,云南省,2011,1244,667,577,12344
530000,云南省,2010,1286,689,597,12619
530000,云南省,2009,1286,689,597,12953
530000,云南省,2008,1305,725,580,10442
530000,云南省,2007,1201,722,479,13120
530000,云南省,2006,1248.5,779.5,469,13030
530000,云南省,2005,1296,837,459,12940
530000,云南省,2004,1402,933,469,13198
530000,云南省,2003,1406,939,467,13308
530000,云南省,2002,1419,942,477,13380
530000,云南省,2001,1433,1028,405,13419
530000,云南省,2000,1564,1102,462,13433
540000,西藏自治区,2019,,,,
540000,西藏自治区,2018,677,539,138,5266
540000,西藏自治区,2017,685,545,140,5259
540000,西藏自治区,2016,685,545,140,5259
540000,西藏自治区,2015,684,544,140,5257
540000,西藏自治区,2014,684,544,140,5255
540000,西藏自治区,2013,684,544,140,5255
540000,西藏自治区,2012,683,543,140,5259
540000,西藏自治区,2011,682,542,140,5259
540000,西藏自治区,2010,682,542,140,5261
540000,西藏自治区,2009,682,542,140,5261
540000,西藏自治区,2008,682,542,140,5261
540000,西藏自治区,2007,684,542,142,5775
540000,西藏自治区,2006,684.5,542.5,142,5830.5
540000,西藏自治区,2005,685,543,142,5886
540000,西藏自治区,2004,685,540,145,6009
540000,西藏自治区,2003,685,543,142,6047
540000,西藏自治区,2002,683,541,142,6050
540000,西藏自治区,2001,719,604,115,6422
540000,西藏自治区,2000,720,566,154,6449
610000,陕西省,2019,,,,
610000,陕西省,2018,996,21,975,17022
610000,陕西省,2017,1006,23,983,18116
610000,陕西省,2016,1011,23,988,20277
610000,陕西省,2015,1012,23,989,22743
610000,陕西省,2014,1216,74,1142,26608
610000,陕西省,2013,1216,74,1142,26751
610000,陕西省,2012,1216,80,1136,26890
610000,陕西省,2011,1219,82,1137,27100
610000,陕西省,2010,1570,648,922,27313
610000,陕西省,2009,1570,649,921,27370
610000,陕西省,2008,1579,672,907,27396
610000,陕西省,2007,1502,671,831,27492
610000,陕西省,2006,1519,675,844,27625
610000,陕西省,2005,1521,678,843,27809
610000,陕西省,2004,1526,679,847,28506
610000,陕西省,2003,1544,682,862,28956
610000,陕西省,2002,1556,684,872,29207
610000,陕西省,2001,1919,1068,851,31083
610000,陕西省,2000,1933,1089,844,31329
620000,甘肃省,2019,,,,
620000,甘肃省,2018,1229,343,886,16062
620000,甘肃省,2017,1229,413,816,16039
620000,甘肃省,2016,1228,487,741,16027
620000,甘肃省,2015,1228,600,628,16032
620000,甘肃省,2014,1228,702,526,15957
620000,甘肃省,2013,1228,750,478,16022
620000,甘肃省,2012,1228,758,470,16053
620000,甘肃省,2011,1227,759,468,15736
620000,甘肃省,2010,1227,761,466,16150
620000,甘肃省,2009,1226,762,464,16149
620000,甘肃省,2008,1225,763,462,16143
620000,甘肃省,2007,1226,769,457,16253
620000,甘肃省,2006,1229,774,455,16357
620000,甘肃省,2005,1251,800,451,16585
620000,甘肃省,2004,1371,928,443,17043
620000,甘肃省,2003,1523,1081,442,17491
620000,甘肃省,2002,1528,1152,376,17725
620000,甘肃省,2001,1533,1253,280,17834
620000,甘肃省,2000,1534,1315,219,17825
630000,青海省,2019,,,,
630000,青海省,2018,366,223,143,4144
630000,青海省,2017,366,223,143,4147
630000,青海省,2016,365,225,140,4146
630000,青海省,2015,365,225,140,4143
630000,青海省,2014,365,225,140,4157
630000,青海省,2013,365,228,137,4170
630000,青海省,2012,366,228,138,4170
630000,青海省,2011,366,229,137,4170
630000,青海省,2010,366,229,137,4160
630000,青海省,2009,366,229,137,4161
630000,青海省,2008,366,229,137,4153
630000,青海省,2007,367,238,129,4173
630000,青海省,2006,369,241,128,4162
630000,青海省,2005,392,283,109,4161
630000,青海省,2004,392,285,107,4158
630000,青海省,2003,392,285,107,4133
630000,青海省,2002,392,285,107,4129
630000,青海省,2001,422,349,73,4123
630000,青海省,2000,430,390,40,4120
640000,宁夏回族自治区,2019,,,,
640000,宁夏回族自治区,2018,193,90,103,2257
640000,宁夏回族自治区,2017,193,90,103,2260
640000,宁夏回族自治区,2016,192,90,102,2275
640000,宁夏回族自治区,2015,192,90,102,2272
640000,宁夏回族自治区,2014,193,91,102,2274
640000,宁夏回族自治区,2013,193,92,101,2269
640000,宁夏回族自治区,2012,193,92,101,2231
640000,宁夏回族自治区,2011,193,92,101,2294
640000,宁夏回族自治区,2010,192,93,99,2320
640000,宁夏回族自治区,2009,192,93,99,2316
640000,宁夏回族自治区,2008,191,93,98,2312
640000,宁夏回族自治区,2007,191,94,97,2309
640000,宁夏回族自治区,2006,190,97,93,2369
640000,宁夏回族自治区,2005,191,97,94,2382
640000,宁夏回族自治区,2004,192,99,93,2515
640000,宁夏回族自治区,2003,189,100,89,2685
640000,宁夏回族自治区,2002,293,234,59,2664
640000,宁夏回族自治区,2001,291,233,58,2690
640000,宁夏回族自治区,2000,309,245,64,2692
650000,新疆维吾尔自治区,2019,,,,
650000,新疆维吾尔自治区,2018,875,489,386,9111
650000,新疆维吾尔自治区,2017,872,523,349,8920
650000,新疆维吾尔自治区,2016,872,523,349,8702
650000,新疆维吾尔自治区,2015,868,548,320,8744
650000,新疆维吾尔自治区,2014,867,562,305,8774
650000,新疆维吾尔自治区,2013,865,589,276,8661
650000,新疆维吾尔自治区,2012,863,601,262,8601
650000,新疆维吾尔自治区,2011,857,615,242,8809
650000,新疆维吾尔自治区,2010,858,621,237,8799
650000,新疆维吾尔自治区,2009,854,620,234,8830
650000,新疆维吾尔自治区,2008,854,625,229,8800
650000,新疆维吾尔自治区,2007,798,626,172,8965
650000,新疆维吾尔自治区,2006,797,626.5,170,8959
650000,新疆维吾尔自治区,2005,796,627,169,8953
650000,新疆维吾尔自治区,2004,797,629,168,9026
650000,新疆维吾尔自治区,2003,799,632,167,9445
650000,新疆维吾尔自治区,2002,798,634,164,9471
650000,新疆维吾尔自治区,2001,793,644,149,9421
650000,新疆维吾尔自治区,2000,794,670,124,9378
