省份编码,省份,年份,农业机械总动力(万千瓦),农用大中型拖拉机数量(台),农用大中型拖拉机动力(万千瓦),小型拖拉机数量(台),小型拖拉机动力(万千瓦),大中型拖拉机配套农具(部),小型拖拉机配套农具(部),农用排灌电动机数量(台),农用排灌电动机动力(万千瓦),农用排灌柴油机数量(台),农用排灌柴油机动力(万千瓦),联合收割机数量(台),联合收割机动力(万千瓦),机动脱粒机数量(台),渔用机动船数量(艘),渔用机动船动力(万千瓦)
110000,北京市,2001,394.95,11200,51.57,23606,24.9,21007,12631,70511,65.88,1911,1.15,5125,30.96,10761,2,0.02
110000,北京市,2000,399.21,11781,54.38,25004,26.56,21822,12416,72759,67.37,1257,1.07,4485,25.32,13228,2,2.0
120000,天津市,2019,359.8381,13163,,3606,,20414,,,,,,5000,,17000,,
120000,天津市,2018,347.98,13799,,3102,,18800,,,,,,5400,,17300,,
120000,天津市,2017,464.65,15500,,1800,,33200,14200,,,37000,,5700,,19700,,
120000,天津市,2016,470.0,15400,,2200,,32200,14500,63500,,37200,,5800,,20100,,
120000,天津市,2015,546.92,15000,,2800,,31900,15200,63500,,37900,,5800,,20300,,
120000,天津市,2014,552.33,15800,,4600,,30200,18000,63100,,38100,,5800,,20800,,
120000,天津市,2013,554.18,15600,,9200,,24200,26600,63100,,37600,,5900,,21600,,
120000,天津市,2012,568.13,15000,59.44,23100,25.11,21900,37700,65800,84.54,38300,29.98,5600,33.99,21400,,
120000,天津市,2011,583.87,14300,58.47,27800,29.1,20600,38200,68500,86.74,38600,30.44,4700,27.44,20700,,
120000,天津市,2010,587.79,13000,53.92,31200,32.59,19700,38700,68500,88.38,39500,31.42,4000,21.96,19200,,
120000,天津市,2009,595.0,12800,52.99,31800,33.81,18400,38800,70200,90.37,39400,32.8,3500,18.94,19200,,
120000,天津市,2008,596.6,11500,47.13,32300,34.34,17300,38500,73200,93.7,39300,32.32,3300,16.78,19300,,
120000,天津市,2007,604.9,11000,45.31,34070,35.07,16860,37910,73500,95.35,44810,31.45,4260,14.14,20820,0,
120000,天津市,2006,608.42,10630,44.385,34715,35.77,15820,37975,73420,94.995,41445,31.5,3490,12.89,21035,,
120000,天津市,2005,611.94,10260,43.46,35360,36.47,14780,38040,73340,94.64,38080,31.49,2720,11.64,21250,,
120000,天津市,2004,608.13,9400,40.28,36400,35.44,14200,37900,74900,94.32,37700,29.27,2700,10.3,21700,,
120000,天津市,2003,601.66,9290,37.49,35820,35.22,10560,34430,72450,95.52,36570,28.11,2490,9.04,27090,0,0.0
120000,天津市,2002,612.72,8900,37.94,36500,36.1,11000,34300,72200,102.37,35900,26.74,2600,8.58,29400,10400,8.3
120000,天津市,2001,603.32,9300,39.37,37100,35.8,10800,37900,72200,102.87,36000,26.71,2700,9.07,36600,12000,10.2
120000,天津市,2000,593.4,9500,40.82,37800,36.22,12600,42800,74600,96.49,35800,25.68,2800,8.73,30500,10400,6.58
130000,河北省,2019,7830.72308,280018,,1223857,,419438,,,,,,167000,,157000,,
130000,河北省,2018,7706.2,272957,,1223000,,405700,,,,,,160500,,159600,,
130000,河北省,2017,7580.58,314700,,1289900,,597900,1687800,,,753500,,156000,,168100,,
130000,河北省,2016,7401.97,298700,,1318100,,538000,1733900,1529100,,884700,,147400,,193300,,
130000,河北省,2015,11102.81,274300,,1362600,,497800,1803900,1544600,,942700,,137700,,198200,,
130000,河北省,2014,10942.86,254600,,1386200,,458200,1837400,1536200,,970300,,127700,,202500,,
130000,河北省,2013,10762.72,234300,,1424200,,435300,1910500,1523900,,1007500,,115200,,207100,,
130000,河北省,2012,10553.81,213700,896.61,1462700,1591.32,409700,1954600,1498800,1243.2,1052800,953.19,101400,514.9,211900,,
130000,河北省,2011,10349.19,193374,807.34,1491000,1620.46,379600,1993800,1487600,1220.12,1093600,992.36,85900,403.33,207100,,
130000,河北省,2010,10151.3,172600,713.81,1505000,1630.99,345300,2010400,1481800,1208.07,1132100,1037.7,79260,354.42,217800,,
130000,河北省,2009,9861.12,155200,624.27,1491400,1611.41,320000,1994500,1469300,1189.2,1150000,1056.47,73000,318.67,216900,,
130000,河北省,2008,9525.38,136200,541.91,1500500,1619.81,260500,1989600,1452300,1157.87,1179000,1073.29,68600,289.43,218100,,
130000,河北省,2007,9134.53,114345,463.88,1481451,1571.63,223486,2005543,1426205,1137.35,1231205,1110.1,63618,253.26,259693,16498,49.39
130000,河北省,2006,8795.77,111080,421.07,1454696,1519.79,205530,2276914,1398692,1105.47,1243347,1113.28,60412,237.24,269214,15433,47.18
130000,河北省,2005,8487.21,100894,366.19,1446840,1484.96,183516,1916292,1394573,1096.13,1258359,1116.56,56015,214.91,284750,13226,38.37
130000,河北省,2004,8135.63,89745,321.3,1396019,1426.11,163534,1825403,1366091,1074.04,1284381,1132.39,53619,200.03,290713,13754,44.21
130000,河北省,2003,7764.54,73400,280.8,1337894,1344.09,143412,1706313,1336011,1059.6,1302060,1139.14,50578,186.97,306028,12687,42.65
130000,河北省,2002,7451.21,68500,260.64,1349350,1342.9,132318,1676141,1304277,1041.73,1318377,1157.45,45808,164.04,366627,13254,42.81
130000,河北省,2001,7244.43,61500,237.21,1321390,1301.74,123114,1639876,1280137,1017.55,1351368,1186.57,43946,153.73,450186,14443,43.03
130000,河北省,2000,7000.39,63624,233.3,1298453,1265.97,108349,1566911,1312284,992.85,1382338,1194.6,41945,145.55,467150,13502,38.86
140000,山西省,2019,1517.5697525,104580,,279847,,93609,,,,,,33000,,53000,,
140000,山西省,2018,1441.09,98700,,280700,,89200,,,,,,30600,,52100,,
140000,山西省,2017,1376.3,130800,,241500,,254900,280600,,,17300,,27700,,51300,,
140000,山西省,2016,1744.26,138100,,354100,,271700,514000,144900,,25600,,36700,,86100,,
140000,山西省,2015,3351.65,130700,,357900,,256900,511000,146100,,26800,,34400,,91400,,
140000,山西省,2014,3286.2,119000,,355300,,242600,499300,145500,,27300,,31200,,88700,,
140000,山西省,2013,3183.3,107200,,347400,,221000,483100,144200,,27200,,27000,,85200,,
140000,山西省,2012,3056.09,97800,347.55,333800,312.34,200500,462400,142600,168.27,26700,37.34,22100,120.66,81600,,
140000,山西省,2011,2927.3,88900,308.95,316100,298.28,184700,433500,136900,160.95,26000,35.29,17500,94.76,70800,,
140000,山西省,2010,2809.17,73200,261.25,299500,276.82,151700,390500,135300,157.53,21400,29.41,12800,65.06,60600,,
140000,山西省,2009,2655.0425,62568,223.7124,284675,269.6377,126941,372117,133607,154.6321,20298,26.5043,10407,49.9393,52038,,
140000,山西省,2008,2509.8966,51703,177.922,267598,251.9167,105166,348113,125501,140.1073,19441,25.3321,8224,37.802,53022,,
140000,山西省,2007,2440.79,41379,152.9,259533,243.1,88512,332090,122015,141.04,18872,24.37,6014,27.73,53261,33,0.1
140000,山西省,2006,2364.745,38653.5,140.295,255396.5,238.94,81559.5,318718.5,118918.5,139.14,18507.5,23.31,6225,26.525,53492.5,31.5,0.09
140000,山西省,2005,2288.7,35928,127.69,251260,234.78,74607,305347,115822,137.24,18143,22.25,6436,25.32,53724,30,0.08
140000,山西省,2004,2186.48,29862,103.84,252189,230.54,62080,286805,110142,134.99,16120,19.86,5751,23.93,52796,29,0.08
140000,山西省,2003,1928.21,22792,85.88,192658,189.17,46736,230476,109239,133.47,18783,21.69,5847,23.56,56803,19,0.04
140000,山西省,2002,1869.39,22563,84.42,196479,194.07,44276,237374,107803,134.17,16801,19.82,5578,21.08,59788,16,0.03
140000,山西省,2001,1767.51,22400,83.67,202332,196.99,43744,222133,111304,129.55,16872,19.31,5626,19.05,60247,0,0.0
140000,山西省,2000,1701.3,23160,87.1,198058,193.66,43449,209028,108388,130.54,16397,19.15,6026,18.15,59169,,
150000,内蒙古自治区,2019,3866.41556,354049,,835445,,201111,,,,,,41000,,129000,,
150000,内蒙古自治区,2018,3663.66,316476,,857441,,178809,,,,,,38600,,127900,,
150000,内蒙古自治区,2017,3483.55,796800,,356000,,1351100,840300,,,217300,,35100,,125600,,
150000,内蒙古自治区,2016,3331.086,767400,1879.760381,366700,428.524404,1241600,846400,184800,166.565,219000,233.6383,32800,214.869113,119000,,
150000,内蒙古自治区,2015,3805.11,723800,,382100,,1167400,866400,182900,,218000,,30100,,113100,,
150000,内蒙古自治区,2014,3632.55,671500,,407800,,1070800,848800,178300,,213100,,24700,,109900,,
150000,内蒙古自治区,2013,3430.57,623400,,428200,,995300,885600,180500,,210800,,19300,,107700,,
150000,内蒙古自治区,2012,3280.56,579400,1281.71,439300,534.88,939200,895400,176200,154.58,205700,218.33,15900,97.41,101500,,
150000,内蒙古自治区,2011,3172.6955,547661,1179.324,479091,580.1076,869986,898523,171330,149.7391,200692,212.82934,10998,67.96528,101211,,
150000,内蒙古自治区,2010,3033.58,514100,1068.71,501300,609.54,808500,871400,160300,139.4,200900,211.25,8000,51.43,93100,,
150000,内蒙古自治区,2009,2891.64,482600,977.01,500700,609.63,735800,820300,166300,134.98,190000,198.98,6300,40.39,84400,,
150000,内蒙古自治区,2008,2779.44,451900,891.88,510800,621.72,639400,806400,144100,136.94,189000,193.38,5600,35.86,79000,,
150000,内蒙古自治区,2007,2209.27,170668,420.01,538042,625.47,252379,806243,173595,127.59,181681,172.69,5527,31.99,96012,163,0.44
150000,内蒙古自治区,2006,2065.635,122163,323.105,541321,632.235,176496.5,772730,169409,124.645,175497,164.095,5089.5,29.595,86119,133,0.385
150000,内蒙古自治区,2005,1922.0,73658,226.2,544600,639.0,100614,739217,165223,121.7,169313,155.5,4652,27.2,76226,103,0.33
150000,内蒙古自治区,2004,1772.29,51117,178.35,521931,599.93,71285,677595,160347,117.0,156051,143.33,4435,25.76,72254,103,0.32
150000,内蒙古自治区,2003,1616.61,42270,160.3,498816,554.83,57022,624173,156696,112.27,148554,135.88,4257,25.74,66381,78,0.27
150000,内蒙古自治区,2002,1510.22,37148,150.7,470454,525.58,54738,607529,121796,105.1,135963,118.34,4410,27.98,64694,110,0.27
150000,内蒙古自治区,2001,1423.6,34500,145.28,452551,494.9,47193,535429,118609,101.99,128861,111.08,4482,27.5,61484,90,0.28
150000,内蒙古自治区,2000,1350.25,32900,141.02,435933,468.53,48786,505568,116459,101.12,123280,103.95,4238,24.71,66176,41,0.13
210000,辽宁省,2019,2353.886412,176753,,402153,,165309,,,,,,33000,,134000,,
210000,辽宁省,2018,2243.72,169990,,407700,,159700,,,,,,30800,,138900,,
210000,辽宁省,2017,2215.14,250700,,319500,,336300,473300,,,226900,,28600,,141800,,
210000,辽宁省,2016,2168.45,242600,,327600,,322600,483800,784000,,226400,,26600,,146300,,
210000,辽宁省,2015,2813.86,231500,,340100,,305500,509400,803800,,225900,,24500,,147500,,
210000,辽宁省,2014,2730.22,223400,,332500,,292000,501800,808000,,226800,,18600,,149100,,
210000,辽宁省,2013,2631.98,208000,,322500,,274000,491700,809900,,216300,,14500,,147200,,
210000,辽宁省,2012,2526.89,190600,510.26,308400,304.78,251900,472400,817100,181.04,239000,171.7,10900,56.29,137700,,
210000,辽宁省,2011,2399.892261,174200,463.08,282600,287.52,223700,445100,831800,180.37,215600,170.06,7900,41.99,133600,,
210000,辽宁省,2010,2248.66,151600,387.75,263300,276.85,187400,410600,794900,175.77,228700,173.64,5400,26.59,126600,,
210000,辽宁省,2009,2142.93,135700,354.64,244600,258.31,170200,355200,820500,179.27,214200,166.48,3900,18.7,117000,,
210000,辽宁省,2008,2042.68,117600,290.28,236900,253.01,155100,323000,788500,180.0,194100,159.0,2360,10.81,117000,,
210000,辽宁省,2007,1941.69,67556,219.06,240121,272.6,76588,334337,854586,181.32,176347,143.02,1456,5.0,119174,47312,145.68
210000,辽宁省,2006,1995.3,45000,176.6,244300,275.14,60900,311900,841600,178.93,154200,133.82,1200,2.31,114000,62200,125.6
210000,辽宁省,2005,1918.05,42777,158.55,235585,267.78,56958,281368,829542,177.32,147318,132.23,1055,2.04,113413,37590,121.7
210000,辽宁省,2004,1619.47,35566,141.99,175577,181.6,50846,227494,784876,177.96,132307,122.27,1037,2.01,114756,43481,117.71
210000,辽宁省,2003,1542.33,34630,135.58,168738,168.65,47675,204707,750583,180.12,127736,117.86,919,1.55,122784,40825,111.9
210000,辽宁省,2002,1484.67,35191,136.07,165244,164.43,46386,193783,733683,179.9,115649,105.27,911,1.6,115629,35918,105.27
210000,辽宁省,2001,1401.3,32900,131.59,159707,158.1,46753,185064,660798,174.83,113662,98.89,931,2.4,115438,35887,101.22
210000,辽宁省,2000,1339.82,35101,138.31,158238,154.18,47676,180065,637550,168.11,86854,78.32,883,1.31,116583,37572,103.54
220000,吉林省,2019,3653.742291,341000,,890423,,92616,,,,,,101000,,162000,,
220000,吉林省,2018,3466.0,315900,,901500,,123600,,,,,,91400,,59905,,
220000,吉林省,2017,3284.65,584300,,618100,,919800,1861200,,,264900,,82500,,161400,,
220000,吉林省,2016,3105.27,560000,,629500,,899700,1887200,200800,,266800,,73000,,170200,,
220000,吉林省,2015,3152.54,521600,,646400,,858800,1903200,198600,,265700,,63200,,157300,,
220000,吉林省,2014,2919.09,480800,,660800,,811000,1896300,197100,,264100,,46700,,171200,,
220000,吉林省,2013,2730.04,440400,,670800,,778600,1881900,197600,,265300,,35500,,168300,,
220000,吉林省,2012,2554.65,395900,936.25,660700,632.98,747900,1861800,201100,103.56,266000,205.59,30700,118.35,168900,,
220000,吉林省,2011,2355.04,350700,819.9,637700,613.71,680900,1828300,198900,102.42,269500,208.3,21900,82.74,165600,,
220000,吉林省,2010,2145.0,293600,665.7,612000,592.0,590000,1778000,200000,103.0,266500,206.0,15437,66.88,160000,,
220000,吉林省,2009,2001.13,251200,528.58,590000,573.0,480000,1680000,191800,94.48,277700,211.6,9000,37.54,150000,,
220000,吉林省,2008,1800.0,201300,415.77,566800,554.23,389600,1630000,171500,89.0,287600,209.6,5500,21.27,143000,,
220000,吉林省,2007,1678.33,165300,339.5,558400,555.0,136406,1739265,155423,74.37,290662,215.47,3001,11.12,130904,746,0.69
220000,吉林省,2006,1572.33,108700,265.0,638642,697.26,114827,1583500,155068,70.9,287332,207.4,1607,5.8,146179,767,0.73
220000,吉林省,2005,1471.3,90750,203.0,538024,540.0,171632,1443844,134479,62.51,289489,208.67,756,2.97,152021,920,1.31
220000,吉林省,2004,1319.76,66424,160.32,496945,495.65,141433,1272226,137504,62.97,276941,191.12,555,2.19,154618,876,0.76
220000,吉林省,2003,1230.56,48749,132.26,465259,459.83,100160,1172776,134344,63.62,264467,180.01,331,1.46,157053,1049,1.32
220000,吉林省,2002,1150.67,35763,112.07,449601,436.97,74193,938415,106419,67.92,269920,181.72,259,1.15,144718,906,0.87
220000,吉林省,2001,1096.53,33300,111.82,412934,397.8,76586,863916,100079,58.6,258602,172.77,186,1.03,145174,883,0.84
220000,吉林省,2000,1015.44,32548,110.56,389256,372.12,74659,827250,98129,56.83,241020,155.16,146,0.94,129826,155,0.3
230000,黑龙江省,2019,6359.083965,578241,,1037162,,427319,,,,,,158000,,149000,,
230000,黑龙江省,2018,6084.65,551700,,1057100,,416100,,,,,,151400,,159504,,
230000,黑龙江省,2017,5813.76,1060600,,544300,,1449600,1086000,,,245700,,140500,,162700,,
230000,黑龙江省,2016,5634.27,1015600,,570000,,1444000,1111400,149600,,250700,,129800,,172800,,
230000,黑龙江省,2015,5442.29,968000,,603000,,1383200,1129900,143500,,249500,,118700,,174100,,
230000,黑龙江省,2014,5155.52,921600,,624000,,1303100,1149400,141300,,248800,,108800,,172300,,
230000,黑龙江省,2013,4849.28,873300,,645300,,1179500,1185100,131200,,250800,,91700,,168700,,
230000,黑龙江省,2012,4552.93,808900,2135.42,664500,721.16,1044700,1196200,123000,108.65,260300,264.8,76200,596.74,168800,,
230000,黑龙江省,2011,4097.83629,732100,1897.11,688300,745.73,946600,1229400,114200,100.21,250800,250.69,56400,419.51,164900,,
230000,黑龙江省,2010,3736.29,654700,1623.34,692700,740.87,759200,1180700,97200,84.8,224900,237.88,43800,299.58,165700,,
230000,黑龙江省,2009,3401.27,583000,1415.95,711000,766.1,673800,1169900,84600,75.55,216200,219.35,35500,234.4,163600,,
230000,黑龙江省,2008,3018.36,482000,1145.9,713000,771.4,593000,1132000,77100,68.27,207000,195.28,30700,199.64,160200,,
230000,黑龙江省,2007,2785.3,381813,927.32,757190,820.28,472034,1102720,70376,61.94,202567,193.21,36968,238.99,149530,4607,2.98
230000,黑龙江省,2006,2570.6,323087,797.1,754770,815.0,408793,1044942,62582,54.7,202461,189.5,31591,207.2,150713,4524,2.8
230000,黑龙江省,2005,2234.04,217275,578.94,744126,790.58,318803,877387,57032,46.95,196996,174.28,25823,170.9,148068,4690,2.73
230000,黑龙江省,2004,1952.17,127795,415.47,715714,734.71,222328,836137,53727,45.22,189953,171.46,20171,144.61,140969,4455,2.93
230000,黑龙江省,2003,1807.74,99462,351.76,695446,691.35,201096,762596,51363,44.87,188788,171.55,17756,127.96,133809,4109,3.43
230000,黑龙江省,2002,1741.75,85266,330.25,680452,668.96,193707,693920,51443,45.46,185881,170.53,12128,85.6,128232,5060,4.02
230000,黑龙江省,2001,1648.29,78200,324.92,653351,627.77,188501,646477,49918,42.43,171142,156.47,12615,76.72,125170,4700,3.8
230000,黑龙江省,2000,1613.8,75553,322.8,651685,624.6,192166,628076,44471,38.9,166961,149.1,15790,107.9,119231,4771,3.6
310000,上海市,2019,98.038088,7625,,2350,,4007,,,,,,2000,,,,
310000,上海市,2018,93.97,7423,,2600,,3800,,,,,,2200,,100,,
310000,上海市,2017,121.84,7700,,2300,,21600,2100,,,0,,2200,,200,,
310000,上海市,2016,122.31,7700,,2800,,21300,2200,13600,,,,2700,,400,,
310000,上海市,2015,119.01,7500,,3000,,20500,2300,13600,,,,2700,,600,,
310000,上海市,2014,117.76,7200,,3300,,19100,3000,13600,,,,2800,,800,,
310000,上海市,2013,113.17,6700,,3600,,18000,3500,13500,,100,,2800,,800,,
310000,上海市,2012,112.73,6500,27.94,4500,4.12,16800,3800,13100,25.29,100,0.03,2600,11.38,2800,,
310000,上海市,2011,105.68,6100,25.43,5200,4.85,15800,4500,13300,22.08,0,0.02,2400,9.56,6300,,
310000,上海市,2010,104.062,5774,24.1209,5788,5.337,14622,5188,13450,21.7866,26,0.0134,2165,8.3298,7544,,
310000,上海市,2009,99.2258,5394,21.7575,6105,5.6802,12481,5464,15708,21.9539,10,0.0104,2035,7.5819,10476,,
310000,上海市,2008,95.3216,4811,19.4183,6457,5.93,11354,6038,16064,21.7405,11,0.0111,1903,5.2541,13920,,
310000,上海市,2007,97.6826,4584,18.0913,6326,6.36,10923,6444,16499,21.44,12,0.011,1934,3.75,30772,1396,17.99
310000,上海市,2006,97.23,4262,16.28,7904,7.18,10402,7219,16823,21.31,6,,2030,3.4,39141,1420,18.15
310000,上海市,2005,96.46,4210,15.84,8152,7.41,10724,7542,18285,21.88,7,,2251,3.18,47841,1248,15.26
310000,上海市,2004,105.15,4324,16.15,8619,7.82,11504,8651,19372,22.92,12,,2654,3.06,68797,2272,16.08
310000,上海市,2003,112.61,5395,20.15,7989,7.25,14232,8043,20012,23.41,9,0.0,3230,2.77,83049,2530,16.74
310000,上海市,2002,126.87,6408,23.9,8425,7.62,17757,8806,20888,23.86,0,,4086,3.0,96909,2662,21.82
310000,上海市,2001,133.92,7200,26.61,9003,8.14,19514,8509,23144,25.35,10,,4730,3.35,106752,2688,20.3
310000,上海市,2000,142.5,7844,29.3,9253,8.3,20253,8895,24777,25.9,20,,4991,2.7,113394,2905,20.5
320000,江苏省,2019,5111.9519454,167744,,626109,,272490,,,,,,184000,,61000,,
320000,江苏省,2018,5017.7087,165400,,674400,,257600,,,,,,176900,,77100,,
320000,江苏省,2017,4991.41,180300,,712000,,353400,1247900,,,177800,,175000,,83300,,
320000,江苏省,2016,4906.55,179900,,760500,,337100,1318600,432100,,178400,,169600,,89300,,
320000,江苏省,2015,4825.49,167600,,818600,,302500,1405900,425400,,178900,,159100,,105000,,
320000,江苏省,2014,4649.98,151200,,881600,,265300,1470400,425900,,180000,,149500,,149500,,
320000,江苏省,2013,4405.62,131300,,925400,,222800,1499800,415900,,192100,,136600,,164400,,
320000,江苏省,2012,4214.64,115900,499.7,987100,934.56,198300,1556400,406000,474.36,189200,182.35,118100,508.36,183900,,
320000,江苏省,2011,4106.11,106800,434.04,1234100,1126.48,191700,1735900,400400,461.99,184000,178.97,103500,410.57,209200,,
320000,江苏省,2010,3937.34,96700,377.74,1228400,1118.64,164100,1688300,396700,449.68,185300,179.95,98500,376.15,330000,,
320000,江苏省,2009,3810.57,85000,320.34,1233200,1119.4,132900,1709100,382600,435.41,179900,173.56,91000,325.59,380000,,
320000,江苏省,2008,3630.86,71700,257.29,1204400,1085.81,110100,1634300,391800,430.48,177700,171.31,85300,298.04,436200,,
320000,江苏省,2007,3392.44,49600,207.52,899500,815.51,91273,1430653,389490,431.4,178370,172.5,78498,238.5572,590039,94520,152.33
320000,江苏省,2006,3278.53,44200,169.0,913700,814.46,83733,1446770,430000,434.0,171736,170.555,77179,220.19,750000,74329,124.98
320000,江苏省,2005,3135.33,41500,153.03,901135,799.82,80792,1436421,432124,415.94,165102,168.61,69569,175.09,739485,54138,97.63
320000,江苏省,2004,3052.51,40100,146.7,867136,777.45,75236,1444501,423399,417.5,173959,162.3,61115,133.68,914464,59724,99.37
320000,江苏省,2003,3029.1,40500,131.1,874587,778.39,78421,1457021,390140,422.78,177448,145.77,58645,125.31,935630,65072,121.99
320000,江苏省,2002,2983.89,55600,172.46,897498,792.0,81666,1450243,401784,444.38,177581,160.34,56151,113.15,1114459,61864,110.86
320000,江苏省,2001,2957.93,43700,163.93,894197,796.3,83873,1514811,397354,407.69,172350,210.96,52025,82.88,1201584,60651,108.69
320000,江苏省,2000,2925.29,53000,178.72,888900,667.29,86200,1524500,373300,423.34,155000,152.91,48800,46.45,1296900,59444,108.6
330000,浙江省,2019,1908.03976,14468,,56494,,8397,,,,,,17000,,126000,,
330000,浙江省,2018,2009.33,13200,,102500,,5700,,,,,,17900,,174700,,
330000,浙江省,2017,2072.27,14400,,108600,,23500,124800,,,81600,,18100,,253700,,
330000,浙江省,2016,2136.69,14000,,117200,,22300,134200,821400,,83700,,18100,,363300,,
330000,浙江省,2015,2360.73,12600,,118600,,19900,137100,830700,,84700,,17800,,504700,,
330000,浙江省,2014,2420.13,12000,,129700,,18400,145600,840000,,87100,,18100,,618800,,
330000,浙江省,2013,2462.2,11700,,139300,,17400,151800,863300,,89800,,18400,,771000,,
330000,浙江省,2012,2489.4,10700,43.27,162700,144.46,16100,172300,874500,236.89,86100,40.73,18800,66.45,858900,,
330000,浙江省,2011,2461.2477,9583,37.2907,168081,150.5259,13800,185588,881893,237.5829,87282,40.9043,18399,62.8914,1026412,,
330000,浙江省,2010,2427.46,8400,31.7,169100,150.93,12000,186900,867300,236.6,94600,42.75,18000,59.81,1105800,,
330000,浙江省,2009,2384.03,7412,26.37,170100,151.87,10700,188800,854800,233.28,94500,43.5,17200,54.39,1215500,,
330000,浙江省,2008,2343.45,5842,19.72,166200,145.36,8300,180400,869800,232.04,87400,42.07,15200,44.51,1312500,,
330000,浙江省,2007,2331.63,6036,18.12,170274,148.32,7605,173506,857746,231.7,90095,42.98,14837,41.67,1453599,50317,438.68
330000,浙江省,2006,2293.0,5075,14.93,166472,145.74,6738,171465,865973,231.79,86982,42.4,13856,37.1,1475587,50541,425.16
330000,浙江省,2005,2111.27,4482,13.09,197453,168.51,6214,201579,416320,173.87,85646,44.6,14173,32.82,1271600,48253,404.24
330000,浙江省,2004,2026.74,4376,12.67,199306,171.04,5498,203292,399492,171.76,79030,39.45,12643,25.76,1265923,49707,411.39
330000,浙江省,2003,2039.66,4600,12.9,218178,173.5,3489,217232,365107,165.34,82350,41.5,12554,23.13,1319097,55569,427.46
330000,浙江省,2002,2053.21,6117,15.65,228414,194.53,3826,228082,359638,165.35,79111,39.84,13325,24.13,1349404,55211,430.2
330000,浙江省,2001,2017.24,6300,16.31,241020,206.09,3987,236746,344305,163.31,78783,39.67,13911,24.22,1337464,56098,426.77
330000,浙江省,2000,1990.09,6758,18.14,251967,215.76,4175,242950,332746,160.85,78393,39.73,14303,25.29,1333739,58168,416.65
340000,安徽省,2019,6650.4725,244447,,2044813,,420254,,,,,,221000,,334000,,
340000,安徽省,2018,6543.81,227632,,2078700,,402000,,,,,,215000,,332600,,
340000,安徽省,2017,6312.86,259600,,2071600,,597300,4854400,,,395600,,205900,,332800,,
340000,安徽省,2016,6867.5,246500,,2094500,,569500,4907600,1217700,,393400,,195800,,331500,,
340000,安徽省,2015,6580.99,220100,,2146700,,515100,5031900,1189900,,391300,,174200,,342400,,
340000,安徽省,2014,6365.83,199300,,2189000,,442100,5157300,1186000,,399500,,159300,,346400,,
340000,安徽省,2013,6140.28,179900,,2249700,,377500,5246200,1174200,,401400,,145000,,356800,,
340000,安徽省,2012,5902.77,164500,667.83,2327800,1881.03,326100,5391800,1142300,375.0,398700,289.72,128500,568.68,361700,,
340000,安徽省,2011,5657.0754,145320,566.191,2380554,1902.2702,276958,5374702,1141383,372.9006,395299,287.2685,118047,507.4326,369240,,
340000,安徽省,2010,5409.78,124700,472.87,2361200,1885.83,233100,5342100,1099100,367.1,386500,282.36,102100,428.63,380500,,
