年份,出口额,第一类活动物；动物产品出口额,01章活动物出口额,02章肉及食用杂碎出口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物出_口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品出口额,05章其他动物产品出口额,第二类植物产品出口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装_饰用簇叶出口额,07章食用蔬菜、根及块茎出口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮出口额,09章咖啡、茶、马黛茶及调味香料出口额,10章谷物出口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋出口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用_植物；稻草、秸秆及饲料出口额,13章虫胶；树胶、树脂及其他植物液、汁出口额,14章编结用植物材料；其他植物产品出口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡出口额,15章动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡出口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的_制品出口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动_物的制品出口额,17章糖及糖食出口额,18章可可及可可制品出口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心出口额,20章蔬菜、水果、坚果或植物其他部分的制品出口额,21章杂项食品出口额,22章饮料、酒及醋出口额,23章食品工业的残渣及废料；配制的动物饲料出口额,24章烟草、烟草及烟草代用品的制品出口额,第五类矿产品出口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥出口额,26章矿砂、矿渣及矿灰出口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物_蜡出口额,第六类化学工业及其相关工业的产品出口额,28章无机化学品；贵金属、稀土金属、放射性元素及其_同位素的有机及无机化合物出口额,29章有机化学品出口额,30章药品出口额,31章肥料出口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜_料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨出口额,33章精油及香膏；芳香料制品及化妆盥洗品出口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、_调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂出口额,35章蛋白类物质；改性淀粉；胶；酶出口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品_出口额,37章照相及电影用品出口额,38章杂项化学产品出口额,第七类塑料及其制品；橡胶及其制品出口额,39章塑料及其制品出口额,40章橡胶及其制品出口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用_品、手提包及类似品；动物肠线(蚕胶丝除外)制品出口额,41章生皮(毛皮除外)及皮革出口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似_容器；动物肠线(蚕胶丝除外)制品出口额,43章毛皮、人造毛皮及其制品出口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、_针茅或其他编结材料制品；篮筐及柳条编结品出口额,44章木及木制品；木炭出口额,45章软木及软木制品出口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳_条编结品出口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；_纸、纸板及其制品出口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品出_口额,48章纸及纸板；纸浆，纸或纸板制品出口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字_稿及设计图纸出口额,第十一类纺织原料及纺织制品出口额,50章蚕丝出口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物出口额,52章棉花出口额,53章其他植物纺织纤维；纸纱线及其机织物出口额,54章化学纤维长丝出口额,55章化学纤维短纤出口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、_缆及其制品出口额,57章地毯及纺织材料的其他铺地制品出口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；_刺绣品出口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制_品出口额,60章针织物及钩编织物出口额,61章针织或钩编的服装及衣着附件出口额,62章非针织或非钩编的服装及衣着附件出口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；_碎织物出口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及_其制品；人造花；人发制品出口额,64章鞋靴、护腿和类似品及其零件出口额,65章帽类及其零件出口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件出口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品出_口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制_品；陶瓷产品；玻璃及其制品出口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品_出口额,69章陶瓷产品出口额,70章玻璃及其制品出口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵_金属及其制品；仿首饰；硬币出口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金_属及其制品；仿首饰；硬币出口额,第十五类贱金属及其制品出口额,72章钢铁出口额,73章钢铁制品出口额,74章铜及其制品出口额,75章镍及其制品出口额,76章铝及其制品出口额,78章铅及其制品出口额,79章锌及其制品出口额,80章锡及其制品出口额,81章其他贱金属，金属陶瓷及其制品出口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件_出口额,83章贱金属杂项制品出口额,第十六类机器、机械器具、电气设备及其零件；录音机及_放声机、电视图像、声音的录制和重放设备及其零件、附件出口额,84章核反应堆、锅炉、机械器具及零件出口额,85章电机、电气设备及其零件；录音机及放声机、电视_图像、声音的录制和重放设备及其零件、附件出口额,第十七类车辆、航空器、船舶及有关运输设备出口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道_轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备出口额,87章车辆及其零件，附件，但铁道及电车道车辆除外出_口额,88章航空器，航天器及其零件出口额,89章船舶及浮动结构体出口额,第十八类光学、照相、电影、计量、检验、医疗或外科用_仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件出口额,90章光学、照相、电影、计量、检验、医疗或外科用仪_器及设备、精密仪器及设备；上述物品的零件、附件出口额,91章钟表及其零件出口额,92章乐器及其零件，附件出口额,第十九类武器、弹药及其零件、附件出口额,93章武器、弹药及其零件，附件出口额,第二十类杂项制品出口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填_充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋出口额,95章玩具、游戏品、运动用品及其零件、附件出口额,96章杂项制品出口额,第二十一类艺术品、收藏品及古物出口额,97章艺术品、收藏品及古物出口额,第二十二类特殊交易品及未分类商品出口额,98章特殊交易品及未分类商品出口额
2009,1201612.0,9576.0,442.0,764.0,6812.0,340.0,1218.0,12319.0,185.0,4853.0,2381.0,1403.0,613.0,465.0,1843.0,517.0,59.0,330.0,330.0,16012.0,4576.0,769.0,130.0,985.0,4752.0,1299.0,832.0,1792.0,878.0,22766.0,2172.0,219.0,20375.0,54026.0,7817.0,24198.0,3450.0,2584.0,3068.0,1936.0,1593.0,1430.0,651.0,806.0,6493.0,35942.0,25278.0,10664.0,16665.0,242.0,15118.0,1305.0,9253.0,7714.0,16.0,1523.0,10021.0,91.0,7568.0,2362.0,161409.0,1290.0,1626.0,9607.0,593.0,7495.0,6061.0,1962.0,1490.0,3526.0,3967.0,6423.0,53814.0,46730.0,16825.0,34461.0,28034.0,2227.0,1848.0,2353.0,20526.0,4861.0,8063.0,7602.0,7515.0,7515.0,77121.0,13485.0,33780.0,3574.0,660.0,9505.0,123.0,230.0,69.0,1802.0,6474.0,7418.0,536967.0,235849.0,301119.0,60091.0,2861.0,27926.0,940.0,28364.0,42579.0,38908.0,2453.0,1217.0,64.0,64.0,72290.0,38927.0,26489.0,6873.0,50.0,50.0,1629.0,1629.0
2008,1430693.0,8472.851121,506.699906,797.702785,5180.702431,621.013241,1366.7327579999999,11554.205119999999,148.589208,4222.042785,2104.372252,1314.859037,672.736536,540.251034,2043.492939,442.209576,65.651753,595.001862,595.001862,18207.897042,6036.255786000001,676.692824,200.227201,992.783803,5841.658544,1238.265269,861.08998,1619.31281,741.610825,36485.871627,3784.157281,928.509744,31773.204602,68874.458388,13333.594367000002,29094.632675,2903.4094720000003,4366.845148,3711.730357,1948.936749,1795.060496,1617.38341,586.901603,958.725325,8557.238786,41386.24694,29808.556771,11577.690169,18272.546874000003,398.981789,16989.375564,884.189521,11465.266841,9334.661751,18.39218,2112.21291,10390.931027,98.386382,7744.995454,2547.549191,179734.024945,1434.022169,2087.464281,10690.520764,594.647395,8769.917278,6886.741108,1916.2207919999998,1618.520636,5360.803854000001,3864.261257,6367.176446,60877.450358,52490.143015,16776.135592,35999.560587,29720.438257,2385.69825,1653.1365819999999,2240.287498,22551.119418,5444.515794,8036.906852,9069.696772,8506.22443,8506.22443,144015.088867,53473.072638,48419.118425,5605.874531,296.975933,14224.670756,277.58399,381.30194300000005,230.136377,4656.422174,7667.33084,8782.60126,610754.506043,268671.157357,342083.348686,70697.46137,10213.52643,39273.457026,1639.685942,19570.791972,47602.901825,43331.344598,2746.677273,1524.879954,77.32141,77.32141,83269.542533,42832.79931,32815.301424,7621.441799,75.752668,75.752668,1704.285142,1704.285142
2007,1220060.0,7397.215022,374.81019,731.290303,4752.379519,461.347637,1077.387373,11265.114923,131.502112,4042.512561,1632.412157,1088.757722,1966.907381,508.729004,1628.836754,206.344415,59.112817,327.022645,327.022645,16474.120851,5831.488643000001,565.704527,147.315817,919.806838,5436.102439,1103.410606,828.750924,1003.001546,638.5395110000001,23587.935896,2691.1484100000002,945.817973,19950.969513,51085.0249,9661.173118,20596.783741,2052.646645,3736.531888,3577.013298,1789.545446,1468.161332,1021.285167,576.444258,765.179941,5840.260066,36512.81093199999,26397.231684,10115.579248,16363.600785,1176.960888,14229.340057,957.29984,11390.308752,9773.119191,18.7963,1598.393261,9192.790131,92.010238,7092.368419,2008.411474,165802.237931,1396.8728600000002,2124.657849,9358.810392,615.8568,7791.568055,6365.696895,1374.541561,1315.233778,4687.43724,2840.492151,5734.507548,61326.006525,47315.655467,13554.900810000001,30579.131379000002,25305.587255,1960.62546,1379.454073,1933.464591,18294.874737,4505.428097,6640.895921,7148.550719,8122.753882,8122.753882,115529.978136,39942.720139,36677.846814,5282.420834,695.484016,11572.95152,691.561504,1345.971824,428.975636,3510.243541,7186.851292,8194.951016,528815.133023,228551.813526,300263.31949699996,54977.382503,9539.753464,31803.561481,1413.95882,12220.108738,40729.21315,37061.719563,2445.30443,1222.1891569999998,58.572525,58.572525,69022.253658,35942.020095,27105.186795,5975.046768,75.448677,75.448677,2172.831569,2172.831569
2006,968978.0,7122.061653,333.048033,746.767361,4744.687546,301.991377,995.567336,8897.1503,105.19237,3714.727064,1283.813013,988.965245,1038.001868,235.681892,1322.78369,154.976668,53.00849,390.974711,390.974711,13802.107357,5491.327381,462.420105,123.672737,861.103196,3781.1749870000003,911.080749,1090.496917,515.227845,565.60344,21391.661889,2698.241131,923.357219,17770.063539,37751.552013,7626.257365,15542.156948000002,1530.560182,1168.772694,2999.628408,1466.81952,1126.928086,729.82722,523.708002,774.715123,4262.178465,29635.496090999997,22224.404274,7411.091817,15381.443841,1759.426153,12403.778832,1218.238856,9910.184683,8572.580809,22.588714,1315.01516,6895.353196000001,58.662865,5397.129982,1439.5603489999999,138093.880108,1423.799076,1996.731142,8877.098555,660.606688,6598.626178,5532.539207999999,1099.976619,1068.648491,3366.502432,2132.254111,4639.953817,44900.426797,43720.321656,12076.395338,26253.271656,21813.377233,1750.356449,1141.824221,1547.713753,15543.123417,3626.417214,6291.310421,5625.395782,6893.922703,6893.922703,85303.336153,25131.81049,26784.042499000003,5831.603256,502.400537,9277.266072,728.231994,1418.409065,238.583983,2762.076046,6036.927738,6591.984473,414045.524881,186569.168838,227476.356043,38427.622284,6651.523928,22373.090264,1293.330393,8109.677699,35621.095436,32610.361145,1994.085488,1016.648803,38.717636,38.717636,55160.003792,27955.148343,22637.391806,4567.463643,65.131891,65.131891,2311.985322,2311.985322
2005,761953.0,6700.0,329.0,743.0,4350.0,267.0,,8282.0,,3052.0,1067.0,927.0,1412.0,,1383.0,,,284.0,,11196.0,4364.0,418.0,,759.0,3094.0,,718.0,,537.0,20920.0,2174.0,1123.0,17623.0,31853.0,,12133.0,1364.0,1011.0,2484.0,1201.0,,,,,,23286.0,17783.0,5503.0,15601.0,1566.0,11420.0,2615.0,7570.0,,,,5114.0,36.0,3929.0,,107661.0,1336.0,1845.0,7438.0,618.0,5890.0,4387.0,860.0,932.0,2709.0,1755.0,3652.0,30871.0,35031.0,10336.0,22773.0,19052.0,1443.0,961.0,1316.0,12257.0,2757.0,5037.0,4463.0,5533.0,,57086.0,15090.0,19032.0,3055.0,305.0,6109.0,485.0,382.0,231.0,,,,322008.0,,,28410.0,6406.0,16594.0,746.0,4663.0,28398.0,,,,,,,,,,,,,
2004,593326.0,6302.381,330.251,706.784,4055.584,234.214,,6605.269,,2537.345,916.374,864.582,740.432,,1195.765,,,158.33,,9411.719,3488.858,252.229,,652.821,2578.111,,742.997,,513.58,16573.25,1525.168,567.667,14480.415,24579.646,,9092.485,1100.28,1309.198,1927.426,929.597,,,,,,16908.318,13105.642,3802.676,13667.332,1400.985,10258.925,2007.422,6063.826,,,,3797.498,16.261,2845.684,,88767.187,1062.306,1715.362,6587.247,552.679,5155.908,3554.463,594.744,773.314,1975.251,1235.107,2993.666,25802.555,28980.87,7783.716,18416.584,15202.613,1179.612,838.759,1195.6,9335.873,2028.961,3889.642,3417.27,4463.223,,43740.613,11466.727,13746.152,2141.661,261.608,5175.296,428.29,410.825,338.839,,,,247784.271,,,20998.693,5495.127,11823.065,520.664,3159.836,19086.765,,,,,,,,,,,,,
2003,438228.0,5271.001,326.571,645.974,3335.482,221.549,,7579.0,,2180.257,751.589,623.987,2588.553,,1125.483,,,127.578,,7669.376,2679.0,196.426,,526.781,2168.0,,622.0,,493.0,12735.0,1368.108,253.0,11114.0,18527.0,,7131.0,918.0,800.192,1526.0,761.25,,,,,,12532.0,9978.0,2553.778,11573.0,1148.981,9511.0,912.0,4358.798,,,,3029.875,21.324,2306.0,,73346.0,824.123,1316.746,6220.0,525.726,3752.019,2786.913,468.889,637.606,1554.639,825.745,2508.29,20678.0,25079.0,6169.0,15628.881,12955.014,938.825,672.942,1062.099,6934.0,1613.443,2958.392,2363.473,3295.379,,25120.0,3417.167,9447.0,952.0,125.969,3393.0,241.639,526.359,191.184,,,,172334.0,,,15592.0,4034.305,8097.0,438.96,3022.136,13105.0,,,,,,,,,,,,,
2002,325596.0,4730.0,344.0,665.0,2873.0,194.0,,5861.0,,1883.0,555.0,552.0,1650.0,,940.0,,,108.0,,6701.0,2327.0,227.0,,454.0,1757.0,,597.0,,433.0,9839.0,1223.0,181.0,8435.0,14614.0,,5567.0,790.0,350.0,1387.0,518.0,,,,,,10027.0,8036.0,1991.0,9333.0,965.0,7828.0,540.0,3566.0,,,,2339.0,16.0,1708.0,,57849.0,767.0,1068.685,4894.217,501.864,2426.302,2523.0,364.797,557.444,1154.984,624.069,2006.0,15984.0,20583.0,4395.316,13405.0,11090.0,747.0,589.931,977.762,5461.126,1313.798,2332.756,1814.0,2843.0,,18907.0,2307.406,7262.0,752.0,51.0,2285.0,243.457,492.187,166.432,,,,115921.0,,,10548.0,2391.563,5793.0,438.597,1924.543,9523.0,,,,,,,,,,,,,
2001,266098.0,4621.0,345.0,841.0,2592.0,192.0,,4920.0,,1746.0,435.0,542.0,1034.0,,911.0,,,118.0,,5792.0,2046.0,156.0,,413.0,1497.0,,573.0,,386.0,9854.0,1346.0,92.0,8416.0,12795.0,,4599.0,737.0,390.0,1210.0,409.0,,,,,,8322.0,6698.0,1624.0,8390.0,903.0,6989.0,498.0,2903.0,,,,1981.0,8.0,1483.0,,49836.0,827.0,1082.0,3658.0,454.0,1624.0,2660.0,330.0,491.0,787.0,449.0,1361.0,13457.0,18956.0,3700.0,12258.0,10096.0,623.0,622.0,917.0,4204.0,1105.0,1776.0,1323.0,2403.0,,16100.0,2238.0,6016.0,621.0,54.0,1469.0,249.0,613.0,301.0,,,,84891.0,,,9383.0,2277.0,4777.0,400.0,1929.0,8467.0,,,,,,,,,,,,,
2000,249203.0,4355.0,385.0,753.0,2270.0,188.0,,5202.0,,1544.0,417.0,506.0,1643.0,,877.0,,,129.0,,5166.0,1883.0,173.0,,360.0,1315.0,,493.0,,302.0,9201.0,1266.0,79.0,7856.0,11639.0,,4170.0,670.0,324.0,1134.0,351.0,,,,,,7949.0,6388.0,1561.0,7505.0,544.0,6571.0,390.0,2680.0,,,,1852.0,10.0,1406.0,,49379.0,928.0,1203.0,3730.0,521.0,1326.0,2724.0,308.0,471.0,743.0,396.0,1288.0,13424.0,18865.0,3452.0,11958.0,9850.0,617.0,602.0,889.0,4047.0,945.0,1936.0,1166.0,2534.0,,16609.0,3590.0,5478.0,829.0,89.0,1032.0,233.0,713.0,471.0,,,,72885.0,,,9337.0,2561.0,4606.0,536.0,1634.0,8536.0,,,,,,,,,,,,,
