年份,进口额,第一类活动物；动物产品进口额,01章活动物进口额,02章肉及食用杂碎进口额,03章鱼、甲壳动物、软体动物及其他水生无脊椎动物进_口额,04章乳品；蛋品；天然蜂蜜；其他食用动物产品进口额,05章其他动物产品进口额,第二类植物产品进口额,06章活树及其他活植物；鳞茎、根及类似品；插花及装_饰用簇叶进口额,07章食用蔬菜、根及块茎进口额,08章食用水果及坚果；甜瓜或柑桔属水果的果皮进口额,09章咖啡、茶、马黛茶及调味香料进口额,10章谷物进口额,11章制粉工业产品；麦芽；淀粉；菊粉；面筋进口额,12章含油子仁及果实；杂项子仁及果实；工业用或药用_植物；稻草、秸秆及饲料进口额,13章虫胶；树胶、树脂及其他植物液、汁进口额,14章编结用植物材料；其他植物产品进口额,第三类动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡进口额,15章动、植物油、脂及其分解产品；精制的食用油脂；_动、植物蜡进口额,第四类食品；饮料、酒及醋；烟草、烟草及烟草代用品的_制品进口额,16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动_物的制品进口额,17章糖及糖食进口额,18章可可及可可制品进口额,19章谷物、粮食粉、淀粉或乳的制品；糕饼点心进口额,20章蔬菜、水果、坚果或植物其他部分的制品进口额,21章杂项食品进口额,22章饮料、酒及醋进口额,23章食品工业的残渣及废料；配制的动物饲料进口额,24章烟草、烟草及烟草代用品的制品进口额,第五类矿产品进口额,25章盐；硫磺；泥土及石料；石膏料、石灰及水泥进口额,26章矿砂、矿渣及矿灰进口额,27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物_蜡进口额,第六类化学工业及其相关工业的产品进口额,28章无机化学品；贵金属、稀土金属、放射性元素及其_同位素的有机及无机化合物进口额,29章有机化学品进口额,30章药品进口额,31章肥料进口额,32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料，颜_料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨进口额,33章精油及香膏；芳香料制品及化妆盥洗品进口额,34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、_调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂进口额,35章蛋白类物质；改性淀粉；胶；酶进口额,36章炸药；烟火制品；火柴；引火合金；易燃材料制品_进口额,37章照相及电影用品进口额,38章杂项化学产品进口额,第七类塑料及其制品；橡胶及其制品进口额,39章塑料及其制品进口额,40章橡胶及其制品进口额,第八类生皮、皮革、毛皮及其制品；鞍具及挽具；旅行用_品、手提包及类似品；动物肠线(蚕胶丝除外)制品进口额,41章生皮(毛皮除外)及皮革进口额,42章皮革制品；鞍具及挽具；旅行用品、手提包及类似_容器；动物肠线(蚕胶丝除外)制品进口额,43章毛皮、人造毛皮及其制品进口额,第九类木及木制品；木炭；软木及软木制品；稻草、秸秆、_针茅或其他编结材料制品；篮筐及柳条编结品进口额,44章木及木制品；木炭进口额,45章软木及软木制品进口额,46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳_条编结品进口额,第十类木浆及其他纤维状纤维素浆；纸及纸板的废碎品；_纸、纸板及其制品进口额,47章木浆及其他纤维状纤维素浆；纸及纸板的废碎品进_口额,48章纸及纸板；纸浆，纸或纸板制品进口额,49章书籍、报纸、印刷图画及其他印刷品；手稿、打字_稿及设计图纸进口额,第十一类纺织原料及纺织制品进口额,50章蚕丝进口额,51章羊毛、动物细毛或粗毛；马毛纱线及其机织物进口额,52章棉花进口额,53章其他植物纺织纤维；纸纱线及其机织物进口额,54章化学纤维长丝进口额,55章化学纤维短纤进口额,56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、_缆及其制品进口额,57章地毯及纺织材料的其他铺地制品进口额,58章特种机织物；簇绒织物；花边；装饰毯；装饰带；_刺绣品进口额,59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制_品进口额,60章针织物及钩编织物进口额,61章针织或钩编的服装及衣着附件进口额,62章非针织或非钩编的服装及衣着附件进口额,63章其他纺织制成品；成套物品；旧衣着及旧纺织品；_碎织物进口额,第十二类鞋、帽、伞、杖、鞭及其零件；已加工的羽毛及_其制品；人造花；人发制品进口额,64章鞋靴、护腿和类似品及其零件进口额,65章帽类及其零件进口额,66章雨伞、阳伞、手杖、鞭子、马鞭及其零件进口额,67章已加工羽毛、羽绒及其制品；人造花；人发制品进_口额,第十三类石料、石膏、水泥、石棉、云母及类似材料的制_品；陶瓷产品；玻璃及其制品进口额,68章石料、石膏、水泥、石棉、云母及类似材料的制品_进口额,69章陶瓷产品进口额,70章玻璃及其制品进口额,第十四类天然或养殖珍珠、宝石或半宝石、贵金属、包贵_金属及其制品；仿首饰；硬币进口额,71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金_属及其制品；仿首饰；硬币进口额,第十五类贱金属及其制品进口额,72章钢铁进口额,73章钢铁制品进口额,74章铜及其制品进口额,75章镍及其制品进口额,76章铝及其制品进口额,78章铅及其制品进口额,79章锌及其制品进口额,80章锡及其制品进口额,81章其他贱金属，金属陶瓷及其制品进口额,82章贱金属工具、器具、利口器、餐匙、餐叉及其零件_进口额,83章贱金属杂项制品进口额,第十六类机器、机械器具、电气设备及其零件；录音机及_放声机、电视图像、声音的录制和重放设备及其零件、附件进口额,84章核反应堆、锅炉、机械器具及零件进口额,85章电机、电气设备及其零件；录音机及放声机、电视_图像、声音的录制和重放设备及其零件、附件进口额,第十七类车辆、航空器、船舶及有关运输设备进口额,86章铁道及电车道机车、车辆及其零件；铁道及电车道_轨道固定装置及其零件、附件；各种机械(包括电动机械)交通信号设备进口额,87章车辆及其零件，附件，但铁道及电车道车辆除外进_口额,88章航空器，航天器及其零件进口额,89章船舶及浮动结构体进口额,第十八类光学、照相、电影、计量、检验、医疗或外科用_仪器及设备、精密仪器及设备；钟表；乐器；上述物品的零件、附件进口额,90章光学、照相、电影、计量、检验、医疗或外科用仪_器及设备、精密仪器及设备；上述物品的零件、附件进口额,91章钟表及其零件进口额,92章乐器及其零件，附件进口额,第十九类武器、弹药及其零件、附件进口额,93章武器、弹药及其零件，附件进口额,第二十类杂项制品进口额,94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填_充制品；未列名灯具及照明装置；发光标志、发光名牌及类似品；活动房屋进口额,95章玩具、游戏品、运动用品及其零件、附件进口额,96章杂项制品进口额,第二十一类艺术品、收藏品及古物进口额,97章艺术品、收藏品及古物进口额,第二十二类特殊交易品及未分类商品进口额,98章特殊交易品及未分类商品进口额
2009,1005923.0,6769.0,140.0,1703.0,3604.0,1046.0,275.0,25352.0,90.0,1052.0,1722.0,86.0,876.0,300.0,21002.0,120.0,103.0,7737.0,7737.0,6416.0,53.0,477.0,262.0,1011.0,333.0,484.0,1115.0,1838.0,844.0,196886.0,2742.0,70099.0,124045.0,69421.0,6218.0,36174.0,6020.0,1993.0,3592.0,1178.0,2080.0,1546.0,44.0,1543.0,9034.0,58890.0,48516.0,10374.0,5636.0,4459.0,712.0,465.0,7290.0,7252.0,33.0,6.0,15569.0,10641.0,3880.0,1049.0,21780.0,109.0,2215.0,6180.0,396.0,3210.0,2509.0,899.0,102.0,620.0,1508.0,2137.0,633.0,1020.0,242.0,1087.0,880.0,21.0,6.0,180.0,4178.0,727.0,416.0,3036.0,6545.0,6545.0,86453.0,27834.0,8885.0,29557.0,5084.0,8540.0,327.0,1377.0,468.0,1074.0,2114.0,1193.0,367264.0,123538.0,243727.0,42947.0,1574.0,28367.0,10526.0,2481.0,68737.0,66986.0,1571.0,180.0,5.0,5.0,3643.0,1840.0,1027.0,775.0,11.0,11.0,3305.0,3305.0
2008,1132562.0,7200.481552,104.292065,2319.967548,3648.212273,872.777614,255.232052,26317.894488,90.896019,584.197697,1237.695201,101.158205,698.520295,233.932334,23182.452777,110.459486,78.582474,10800.78282,10800.78282,6091.167454,79.465536,424.06378,312.958479,718.541156,300.71059,466.361941,1137.278824,1864.002677,787.784471,261305.077597,6116.497799,85936.802723,169251.777075,76911.03178300001,9191.586416,39237.189488,4911.229519,3481.222216,4023.463292,1115.500292,2199.780413,1543.5070589999998,33.188063,1513.87065,9660.494375,60765.419638,48862.558319,11902.861319,6795.288996,5639.531135,700.845945,454.911916,8066.319357,8023.379057,35.357525,7.582775,17444.976004,12260.271854,4363.341269,821.362881,24997.945336,116.64871799999999,2620.072862,7444.854187,412.57281900000004,3651.304218,2520.297736,998.5700529999999,101.289704,737.712523,1727.834926,2311.296246,853.703718,1221.965589,279.822037,1239.077554,1015.343672,24.355603,6.435722,192.942557,4749.732422,882.74372,446.977808,3420.010894,7547.712678,7547.712678,79515.925764,24533.997638,10547.822767999998,26051.360511,5061.910485,6834.93478,126.691844,897.284906,468.872016,1317.057261,2330.553626,1345.439929,405310.41995300003,138795.535916,266514.884037,39753.726799000004,1447.098971,26962.79035,10055.770762,1288.066716,79765.31344499999,77708.54815199999,1859.544316,197.220977,2.987044,2.987044,3551.180125,1526.474715,1193.099918,831.605492,22.071804,22.071804,4407.628829,4407.628829
2007,956115.0,6024.194985,73.474248,1519.760348,3442.765762,753.110456,235.084171,15056.096997,83.886246,800.268843,915.016503,77.371504,515.163041,221.420635,12266.500364,89.91866,86.551201,7575.663593,7575.663593,4543.411897,66.86765,485.33331,210.796632,444.688587,272.805281,376.558033,866.159395,1279.255688,540.947321,162081.580888,3050.621836,54044.854179,104986.104873,68568.875584,6416.530489,38426.062209,3450.82573,2906.1940090000003,3805.67377,809.820486,1859.162521,1331.539546,21.439857,1247.629596,8293.997371,54916.219091,45323.377436,9592.841655,6864.226804999999,5964.673864,508.611024,390.941917,8020.632197,7979.391265,31.372982,9.86795,14526.42476,9589.588831,4287.379066,649.456863,25372.383022,110.841927,2698.303367,7718.198693,500.505044,3757.16248,2807.088255,900.013877,91.002994,767.891524,1707.939728,2328.626261,789.900672,1022.368504,173.0,944.421009,726.495667,16.812699,6.916104,194.196539,4471.738215,760.254092,438.014018,3273.470105,6256.666894999999,6256.666894999999,77695.157829,23015.410799,8045.064074,27165.561233,6521.729088,6744.889168,106.737091,1234.799084,448.462712,969.844381,2180.08574,1262.574459,381002.744503,124173.739855,256829.004648,35015.784427,1422.264233,22132.810767,10467.689883,993.019544,71140.154403,69534.626379,1440.324461,165.203563,2.070065,2.070065,3398.867174,1299.760504,1294.6363,804.47037,9.719466,9.719466,2463.22752,2463.22752
2006,791461.0,4662.359065,63.462187,685.737785,3155.135539,565.242666,192.780888,10975.548299000002,69.534226,755.534116,738.561758,53.506317,820.610003,246.703154,8117.202038,74.98058999999999,98.916097,3920.2750669999996,3920.2750669999996,4071.007502,44.116724,617.698898,183.234588,359.324865,198.209654,322.020328,585.782015,1297.320917,463.299513,123537.710669,2274.842584,32164.433175,89098.43491,56184.369746,6286.801482,29859.484104,2394.219098,2484.397699,3507.281259,599.58514,1497.047347,1067.867893,16.398689,1060.291833,7410.995201999999,46272.877525,37832.891786,8439.985739,6274.98331,5567.19322,356.899075,350.891015,6495.639139999999,6460.065009,26.679149,8.894982,11893.036591,7140.314437,4215.061511,537.660643,25676.709772,127.02494,2140.9472659999997,9109.380965,485.862151,3795.189828,2826.846848,832.578167,75.565894,838.178342,1568.869655,2152.960269,717.046754,868.45852,137.800173,775.552192,608.183132,14.42596,7.677355,145.265745,3942.609779,640.451835,339.097268,2963.060676,4616.207316,4616.207316,59779.351709,20035.923739,6944.612014,17186.657928,3578.446006,6193.593256,84.381456,1580.253269,385.536936,818.311127,1866.891839,1104.744139,328088.168383,109122.425442,218965.742941,29729.004235,1206.092259,17051.798462,10940.357356,530.756158,60098.393262,58859.708831,1105.734282,132.950149,2.073193,2.073193,2423.334278,944.844786,760.387208,718.102284,12.36552,12.36552,2029.291297,2029.291297
2005,659953.0,4258.0,109.0,587.0,2879.0,462.0,,11161.0,,524.0,659.0,42.0,1394.0,,8159.0,,,3311.0,,3458.0,29.0,451.0,,239.0,157.0,,410.0,,384.0,92293.0,2171.0,26033.0,64089.0,50583.0,,28019.0,1959.0,3051.0,3081.0,501.0,,,,,,38893.0,33308.0,5585.0,5424.0,4827.0,253.0,344.0,5746.0,,,,11003.0,6183.0,4387.0,,23445.0,136.0,2147.0,7078.0,477.0,3776.0,3257.0,707.0,62.0,846.0,1450.0,1878.0,695.0,815.0,119.0,671.0,542.0,13.0,9.0,107.0,3384.0,536.0,301.0,2547.0,3470.0,,56593.0,26210.0,5696.0,12896.0,2177.0,5012.0,80.0,1006.0,405.0,,,,271119.0,,,19835.0,483.0,12309.0,6561.0,482.0,51188.0,,,,,,,,,,,,,
2004,561229.0,3734.969,219.909,475.79,2339.944,448.072,,11031.317,,404.843,618.903,32.396,2217.236,,7371.415,,,4208.544,,2809.768,26.228,336.177,,194.939,141.985,,261.072,,292.009,67100.508,1801.157,17272.58,48026.771,42602.472,,23846.481,1571.74,2287.685,2975.183,392.849,,,,,,32797.738,28055.531,4742.207,5120.221,4600.533,182.599,337.089,5235.082,,,,10305.921,5294.714,4637.51,,23006.543,139.599,2088.764,6897.905,470.77,3807.661,3421.497,618.74,58.704,817.878,1349.827,1812.011,642.249,792.599,88.338,608.167,474.837,11.077,11.203,111.05,3247.592,464.499,307.72,2475.373,2655.036,,48548.382,23691.392,4641.312,10476.488,1323.2,4930.81,91.945,653.378,255.691,,,,233914.477,,,19471.633,345.599,13102.352,4990.257,1033.425,41334.51,,,,,,,,,,,,,
2003,412760.0,3308.0,117.252,757.636,1865.182,349.843,,7174.471,,241.77,495.961,27.806,444.335,,5660.241,,,2925.304,,2106.848,27.077,215.807,,148.183,134.484,,186.495,,307.0,37703.0,1280.845,7175.0,29248.0,31789.0,,16006.0,1391.938,1762.643,2582.928,281.0,,,,,,24745.0,21030.0,3715.0,4122.277,3766.322,127.736,228.22,4667.019,,,,8629.776,3892.173,4392.843,,19292.293,110.054,1682.825,4650.001,435.11,3603.422,3261.0,525.0,46.763,707.0,1225.227,1640.395,557.0,784.097,65.596,487.244,373.616,7.365,10.954,95.308,2628.0,342.0,223.518,2063.0,1846.593,,39384.0,22222.997,3373.0,7166.0,896.0,3354.221,48.329,418.417,134.494,,,,175409.0,,,17507.0,448.0,11787.0,4461.286,812.101,26173.0,,,,,,,,,,,,,
2002,295170.0,2709.0,53.0,627.0,1565.0,272.0,,4063.0,,194.0,378.0,23.0,482.0,,2777.0,,,1580.0,,1979.0,19.0,280.0,,149.0,110.0,,148.0,,243.0,24478.0,876.0,4281.0,19321.0,24302.0,,11156.0,1130.0,2353.0,2088.0,201.0,,,,,,19846.0,17378.0,2468.0,3538.0,3261.0,91.0,186.0,4169.0,,,,7374.0,2900.0,4137.0,,16993.0,96.0,1831.484,3327.478,334.562,3332.201,2995.0,434.047,35.213,647.06,1195.0,1432.004,523.287,764.934,44.0,399.598,303.697,6.23,11.194,78.478,2082.0,268.943,147.0,1667.0,1332.0,,26281.0,13240.489,2771.405,5667.872,426.943,2441.033,37.01,312.172,111.436,,,,125388.0,,,11519.0,386.114,6474.0,4051.771,607.223,14421.0,,,,,,,,,,,,,
2001,243553.0,2356.0,35.0,598.0,1331.0,219.0,,4749.0,,210.0,367.0,21.0,607.0,,3344.0,,,776.0,,1883.0,14.0,376.0,,93.0,85.0,,146.0,,268.0,22504.0,782.0,4176.0,17546.0,19071.0,,8977.0,986.0,1556.0,1787.0,176.0,,,,,,17332.0,15261.0,2071.0,3438.0,3169.0,83.0,186.0,3492.0,,,,6759.0,2735.0,3650.0,,16259.0,111.0,1897.0,2941.0,269.0,3330.0,2932.0,401.0,33.0,610.0,1151.0,1337.0,475.0,739.0,33.0,430.0,329.0,7.0,17.0,77.0,1878.0,250.0,160.0,1468.0,988.0,,21913.0,10954.0,2084.0,4887.0,367.0,2233.0,22.0,238.0,97.0,,,,96442.0,,,10017.0,242.0,4531.0,4545.0,699.0,10654.0,,,,,,,,,,,,,
2000,225094.0,2279.0,52.0,637.0,1212.0,218.0,,4321.0,,82.0,368.0,23.0,574.0,,3072.0,,,1023.0,,1810.0,12.0,177.0,,71.0,60.0,,161.0,,204.0,24522.0,707.0,3134.0,20681.0,18100.0,,8327.0,799.0,1730.0,1655.0,161.0,,,,,,16362.0,14456.0,1906.0,3185.0,2955.0,54.0,176.0,3740.0,,,,6962.0,2678.0,3963.0,,16564.0,138.0,1831.0,2789.0,274.0,3642.0,3110.0,393.0,26.0,670.0,1183.0,1339.0,383.0,752.0,34.0,409.0,320.0,7.0,19.0,63.0,1780.0,245.0,126.0,1409.0,2419.0,,20611.0,9569.0,1690.0,4660.0,227.0,3213.0,17.0,224.0,93.0,,,,85177.0,,,6378.0,258.0,3613.0,2171.0,336.0,8191.0,,,,,,,,,,,,,
