年份,港口码头长度,大连港口码头长度,营口港口码头长度,秦皇岛港口码头长度,天津港口码头长度,烟台港口码头长度,青岛港口码头长度,日照港口码头长度,上海港口码头长度,连云港港口码头长度,宁波—舟山港口码头长度,汕头港口码头长度,广州港口码头长度,湛江港口码头长度,海口港口码头长度,八所港口码头长度,港口生产用码头长度,大连港口生产用码头长度,营口港口生产用码头长度,秦皇岛港口生产用码头长度,天津港口生产用码头长度,烟台港口生产用码头长度,青岛港口生产用码头长度,日照港口生产用码头长度,上海港口生产用码头长度,连云港港口生产用码头长度,宁波—舟山港口生产用码头长度,汕头港口生产用码头长度,广州港口生产用码头长度,湛江港口生产用码头长度,海口港口生产用码头长度,八所港口生产用码头长度,港口非生产用码头长度,大连港口非生产用码头长度,营口港口非生产用码头长度,秦皇岛港口非生产用码头长度,天津港口非生产用码头长度,烟台港口非生产用码头长度,青岛港口非生产用码头长度,日照港口非生产用码头长度,上海港口非生产用码头长度,连云港港口非生产用码头长度,宁波—舟山港口非生产用码头长度,汕头港口非生产用码头长度,广州港口非生产用码头长度,湛江港口非生产用码头长度,海口港口非生产用码头长度,八所港口非生产用码头长度
2009,628713,37195,11476,15945,28004,15189,19767,10914,116834,10802,66906,8953,44163,15947,4613,1729,560565,33318,11187,14750,26736,13866,18749,10914,72274,10505,64630,8752,41042,14152,4422,1559,68148,3877,289,1195,1268,1323,1018,,44560,297,2276,201,3121,1795,191,170.0
2008,564800,36825,10974,13712,27715,14220,16636,9294,114931,7855,61566,8953,43183,11429,2710,1729,491870,33168,10685,12394,26357,12897,15618,9294,68191,7406,59345,8752,40062,10250,2710,1559,72930,3657,289,1318,1358,1323,1018,,46740,449,2221,201,3121,1179,,170.0
2007,456632,36562,9638,13863,27320,13151,16202,8993,24468,8153,57911,8810,50863,10439,2922,1729,420245,31746,9349,12245,25607,12048,14969,8993,22194,7683,56278,8662,41301,9011,2922,1729,36387,4816,289,1618,1713,1103,1233,,2274,470,1633,148,9562,1428,,
2006,417749,35708,8135,13566,24584,8769,14163,7838,24561,7715,33275,8918,49348,10439,2922,1412,382492,31112,7846,12248,22871,7961,13380,7838,22194,7245,31415,8662,39886,9011,2922,1412,35257,4596,289,1318,1713,808,783,,2367,470,1860,256,9462,1428,,
2005,378678,30715,5047,11446,20906,7357,13961,7314,23580,6891,28157,8918,46553,10439,2662,1412,340727,26119,4758,10128,18962,6974,13018,6994,20069,6421,26297,8662,36301,9011,2662,1412,37951,4596,289,1318,1944,383,943,320,3511,470,1860,256,10252,1428,,
2004,316520,30715,5034,10077,20324,6608,12788,6114,24046,6891,10042,9297,14645,10072,1719,1412,286566,26119,4953,8759,18380,6225,12005,5794,18959,6421,8645,9041,12768,8844,1719,1412,29954,4596,81,1318,1944,383,783,320,5087,470,1397,256,1877,1228,,
2003,280756,29207,4929,8335,14443,6608,12457,5514,25604,6493,8877,8777,12395,7285,1719,1412,256748,24611,4848,7017,13544,6225,11539,5194,21433,6023,7480,8521,10518,6057,1719,1412,24008,4596,81,1318,899,383,918,320,4171,470,1397,256,1877,1228,,
2002,219150,18553,5205,7888,14464,5977,10915,3779,24370,6252,7144,6232,13114,7285,1719,1412,196942,14543,5124,6694,13565,5777,10147,3459,19831,5803,5906,5976,11237,6057,1719,1412,22208,4010,81,1194,899,200,768,320,4539,449,1238,256,1877,1228,,
2001,212290,18378,5005,7888,13530,5977,10915,3518,23555,6252,7409,6231,12937,6635,1719,1412,189738,14372,4924,6694,12631,5777,10147,3198,18912,5803,6050,5975,10990,5587,1719,1412,22552,4006,81,1194,899,200,768,320,4643,449,1359,256,1947,1048,,
2000,205042,18553,5005,7889,12920,5016,10525,3518,23557,6252,7489,3152,13496,6635,1719,1412,182856,14547,4924,6694,11896,4816,9522,3198,19382,5803,6208,2980,11549,5587,1719,1412,22186,4006,81,1195,1024,200,1003,320,4175,449,1281,172,1947,1048,,
