省份编码,省份,年份,批发业法人企业单位数(个),批发业年末从业人数(人),批发业商品购进总额(亿元),批发业进口额(亿元),批发业商品销售总额(亿元),批发业出口额(亿元),批发业商品库存总额(亿元)
330000,浙江省,2012,9237,332714,25262.8,2328.9,27000.1,3986.1,1279.4
330000,浙江省,2011,8670,313163,22697.8,1728.6,25044.1,3631.2,1305.0
330000,浙江省,2010,7186,248954,17600.0,1265.7,19204.6,3154.1,954.1
330000,浙江省,2009,6416,218180,12954.4,1188.6,13888.0,2300.1,711.1
330000,浙江省,2008,6768,214302,14316.6,,15432.5,,657.0
330000,浙江省,2007,3207,235124,,,,,
330000,浙江省,2006,2883,133779,,,,,
330000,浙江省,2005,2757,141928,,,,,
330000,浙江省,2004,3044,137618,,,,,
330000,浙江省,2003,1481,103939,,,,,
330000,浙江省,2002,1473,120029,,,,,
330000,浙江省,2001,1480,111991,,,,,
330000,浙江省,2000,1389,122624,,,,,
340000,安徽省,2019,2912,116013,8576.6277,588.2253,9608.321,301.7732,644.5407
340000,安徽省,2018,2434,118638,7647.8,509.8,8680.7,237.5,525.9
340000,安徽省,2017,2327,122346,6670.5697,253.8005,7387.0499,221.4571,601.1447
340000,安徽省,2016,2265,122209,5840.2084,152.3441,6562.7267,157.0081,471.5136
340000,安徽省,2015,2218,121523,5188.5775,172.2456,5830.8003,235.0987,431.5109
340000,安徽省,2014,2098,120661,5478.2266,137.3106,6069.3275,205.3793,458.0752
340000,安徽省,2013,1776,112638,5275.25274,219.80738,5944.06712,200.19092,339.91289
340000,安徽省,2012,1376,107209,4879.3,123.3,5293.6,192.5,274.3
340000,安徽省,2011,1096,94095,4495.5,309.7,4990.7,223.8,278.7
340000,安徽省,2010,868,102991,3407.5,202.7,3773.7,162.5,236.4
340000,安徽省,2009,706,93131,2668.9,147.0,2937.0,116.5,158.7
340000,安徽省,2008,758,98311,2624.8,,3023.4,,203.2
340000,安徽省,2007,505,70525,,,,,
340000,安徽省,2006,482,61824,,,,,
340000,安徽省,2005,460,59038,,,,,
340000,安徽省,2004,464,54169,,,,,
340000,安徽省,2003,388,58672,,,,,
340000,安徽省,2002,389,66771,,,,,
340000,安徽省,2001,396,68073,,,,,
340000,安徽省,2000,463,77595,,,,,
350000,福建省,2019,8673,245739,28795.2867,2764.0585,31676.2247,2008.7478,1291.4895
350000,福建省,2018,7156,223297,24185.4,2439.6,27363.3,1633.6,1094.5
350000,福建省,2017,6285,199977,20891.488,2039.8792,22784.0392,1576.6714,1141.241
350000,福建省,2016,6226,188215,17030.6975,1019.3597,18253.8359,1326.1398,844.0934
350000,福建省,2015,5707,178218,15141.6735,1256.4004,16287.5541,1519.4033,830.633
350000,福建省,2014,5137,174386,13573.1362,1329.6528,14761.3216,1487.1906,807.2584
350000,福建省,2013,4387,160298,11900.00858,1239.06664,12630.11567,1486.12345,849.22271
350000,福建省,2012,3523,141892,10060.1,996.6,10755.7,1398.9,748.6
350000,福建省,2011,2828,124165,8517.5,879.1,9303.6,1266.8,646.6
350000,福建省,2010,2181,122996,6285.0,690.3,6374.7,981.7,487.8
350000,福建省,2009,1905,111856,4330.1,410.7,4617.1,813.7,442.0
350000,福建省,2008,2246,106611,4014.7,,4516.4,,349.9
350000,福建省,2007,1398,83068,,,,,
350000,福建省,2006,1441,72090,,,,,
350000,福建省,2005,1496,74878,,,,,
350000,福建省,2004,1816,71188,,,,,
350000,福建省,2003,1060,65323,,,,,
350000,福建省,2002,973,59658,,,,,
350000,福建省,2001,866,60529,,,,,
350000,福建省,2000,850,61319,,,,,
360000,江西省,2019,1676,95762,3882.5249,26.3283,4864.1079,233.6921,221.0248
360000,江西省,2018,1348,94107,2793.2,30.8,3748.6,113.7,212.7
360000,江西省,2017,1121,95833,2266.2105,11.1955,3075.2876,65.7323,195.599
360000,江西省,2016,927,83952,1956.6411,18.3799,2475.0943,63.8549,181.1854
360000,江西省,2015,770,85134,1710.437,25.5284,2224.5213,72.3887,215.7544
360000,江西省,2014,639,82235,1864.1126,15.4528,2417.0133,84.5113,158.4086
360000,江西省,2013,483,55168,1565.47656,7.83456,2175.86662,71.2739,128.70742
360000,江西省,2012,474,54902,1487.1,7.2,1938.6,79.2,117.2
360000,江西省,2011,483,51985,1322.8,5.8,1762.3,67.3,86.7
360000,江西省,2010,449,52775,1061.4,3.2,1452.1,60.0,70.5
360000,江西省,2009,318,43073,776.4,8.9,1002.8,38.4,56.0
360000,江西省,2008,352,49087,750.9,,950.9,,68.0
360000,江西省,2007,232,44777,,,,,
360000,江西省,2006,239,42844,,,,,
360000,江西省,2005,249,45140,,,,,
360000,江西省,2004,280,33421,,,,,
360000,江西省,2003,241,34743,,,,,
360000,江西省,2002,286,36223,,,,,
360000,江西省,2001,322,40533,,,,,
360000,江西省,2000,358,51878,,,,,
370000,山东省,2019,9380,323269,30080.8435,1058.9099,33004.7041,1363.9552,1300.4321
370000,山东省,2018,8308,325784,24409.3,676.8,27161.1,1230.8,1183.3
370000,山东省,2017,7846,344720,21828.4349,795.9875,24025.2192,1039.5113,1156.892
370000,山东省,2016,8217,375536,19803.3276,680.2055,21625.2706,892.2015,1001.3488
370000,山东省,2015,8452,389616,18067.2426,729.6581,19692.4668,996.4821,1015.4766
370000,山东省,2014,8681,418903,20345.2475,1173.2134,22148.6349,938.0037,974.8636
370000,山东省,2013,8431,413110,19379.90423,1255.54429,22074.18927,994.39715,982.38344
370000,山东省,2012,6408,336544,15784.5,1052.8,16786.2,997.4,773.5
370000,山东省,2011,5270,281458,12242.8,758.5,13925.2,708.9,704.2
370000,山东省,2010,4897,314317,9216.3,589.0,10838.3,499.0,608.0
370000,山东省,2009,3866,259108,6338.0,298.6,7584.4,359.4,491.2
370000,山东省,2008,3980,278824,7569.1,,8353.2,,580.4
370000,山东省,2007,1821,234216,,,,,
370000,山东省,2006,1524,167698,,,,,
370000,山东省,2005,1440,166142,,,,,
370000,山东省,2004,1684,159747,,,,,
370000,山东省,2003,865,130585,,,,,
370000,山东省,2002,911,155006,,,,,
370000,山东省,2001,1037,163781,,,,,
370000,山东省,2000,1047,189343,,,,,
410000,河南省,2019,4305,195128,10197.7281,129.0498,11281.8742,240.4111,806.7061
410000,河南省,2018,3778,192606,8157.7,100.8,9220.1,122.8,606.9
410000,河南省,2017,4174,245475,8984.2035,113.1368,10126.8265,102.9692,672.0227
410000,河南省,2016,4350,270925,9370.9417,123.9097,10428.3289,82.6944,558.8347
410000,河南省,2015,3740,222332,7599.433,143.0049,8481.6058,90.4872,498.6011
410000,河南省,2014,3087,197177,6664.7652,134.7095,7831.1692,77.4685,499.5298
410000,河南省,2013,2507,169307,5760.50816,197.40549,6654.45448,83.85117,479.96126
410000,河南省,2012,2089,149567,5829.3,123.8,5755.0,77.6,1413.0
410000,河南省,2011,1978,143399,5242.0,88.2,5260.6,148.6,593.7
410000,河南省,2010,1890,148273,4259.8,106.8,4267.9,78.7,388.0
410000,河南省,2009,1767,142369,2869.3,74.6,3083.0,105.9,901.1
410000,河南省,2008,1859,141647,2602.7,,3097.2,,264.4
410000,河南省,2007,1265,128844,,,,,
410000,河南省,2006,1216,130589,,,,,
410000,河南省,2005,1383,136741,,,,,
410000,河南省,2004,1537,139356,,,,,
410000,河南省,2003,686,118419,,,,,
410000,河南省,2002,708,142527,,,,,
410000,河南省,2001,683,164730,,,,,
410000,河南省,2000,752,163686,,,,,
420000,湖北省,2019,3369,201980,12462.5952,54.2348,14141.7449,142.653,689.6702
420000,湖北省,2018,3241,205023,12379.3,49.6,13852.6,366.6,676.6
420000,湖北省,2017,2731,188037,10656.017,61.0718,11901.1756,385.0132,805.4137
420000,湖北省,2016,2949,192853,9829.3001,50.4001,10881.6178,259.8394,636.9414
420000,湖北省,2015,3039,194098,10001.0124,58.272,10895.9041,187.8972,1039.9105
420000,湖北省,2014,3330,208980,10188.1441,283.8268,10774.0756,172.8607,607.9246
420000,湖北省,2013,3030,203586,9878.12857,121.70199,10459.51097,137.99125,614.33095
420000,湖北省,2012,1857,128494,8020.8,73.5,8447.4,103.6,502.3
420000,湖北省,2011,1340,108244,6396.3,325.6,7091.0,114.0,352.9
420000,湖北省,2010,1195,117740,5119.8,198.2,5806.9,103.5,306.4
420000,湖北省,2009,933,93825,3704.3,154.8,4259.0,111.1,222.4
420000,湖北省,2008,904,89308,4456.2,,4875.8,,254.3
420000,湖北省,2007,605,71011,,,,,
420000,湖北省,2006,642,74271,,,,,
420000,湖北省,2005,689,80392,,,,,
420000,湖北省,2004,761,80402,,,,,
420000,湖北省,2003,372,100054,,,,,
420000,湖北省,2002,398,132674,,,,,
420000,湖北省,2001,469,124704,,,,,
420000,湖北省,2000,544,158652,,,,,
430000,湖南省,2019,2863,128621,6578.8825,186.5446,6818.1683,160.9431,457.6853
430000,湖南省,2018,2529,122447,5909.4,72.4,6229.4,97.0,390.9
430000,湖南省,2017,2119,113009,5092.9878,48.2598,5491.6814,55.9834,445.1816
430000,湖南省,2016,1987,116240,4404.7937,31.3733,4609.2072,51.4966,587.2737
430000,湖南省,2015,1806,110084,4063.7233,64.8563,4199.3182,75.873,1251.2493
430000,湖南省,2014,1847,108854,4650.1201,44.701,4543.8536,64.2087,419.3537
430000,湖南省,2013,2117,126722,4293.5705,76.1684,4122.9762,70.38032,310.04712
430000,湖南省,2012,1101,24154,3363.7,39.9,3095.4,67.6,248.9
430000,湖南省,2011,866,62856,3044.0,18.3,2876.2,72.1,219.0
430000,湖南省,2010,842,67840,2257.9,43.1,2007.6,80.9,172.9
430000,湖南省,2009,823,61846,1822.6,33.5,1643.9,68.9,179.4
430000,湖南省,2008,969,61862,1682.7,,1526.9,,145.3
430000,湖南省,2007,327,47217,,,,,
430000,湖南省,2006,354,52067,,,,,
430000,湖南省,2005,413,55550,,,,,
430000,湖南省,2004,454,59501,,,,,
430000,湖南省,2003,414,59459,,,,,
430000,湖南省,2002,416,62437,,,,,
430000,湖南省,2001,469,74543,,,,,
430000,湖南省,2000,469,95917,,,,,
440000,广东省,2019,27931,1019959,81624.2012,5839.8175,87414.4349,4406.2475,4594.0434
440000,广东省,2018,22639,947949,71099.9,5495.1,77652.9,4415.9,4314.9
440000,广东省,2017,18803,886133,66848.6557,6471.0994,69501.4421,4515.4617,4081.845
440000,广东省,2016,15155,803888,55475.9901,4727.224,59164.2726,4906.441,4181.7298
440000,广东省,2015,13483,732040,49257.1724,4243.9255,52907.2482,5175.9949,2766.9877
440000,广东省,2014,13395,720331,50944.2948,4055.4754,55953.2076,4923.1541,2951.2465
440000,广东省,2013,12635,704604,49346.78299,4694.14488,52617.73794,5007.42335,3074.33299
440000,广东省,2012,8697,560155,35186.9,3081.4,37387.8,3958.0,2253.4
440000,广东省,2011,7687,464058,30339.9,2756.3,32013.3,3430.9,1782.6
440000,广东省,2010,6730,406099,23585.3,2407.6,25660.0,2763.6,1394.7
440000,广东省,2009,5991,358792,17888.3,1663.9,18599.1,1842.8,1089.6
440000,广东省,2008,6193,334218,17124.5,,18084.2,,1113.7
440000,广东省,2007,4012,252622,,,,,
440000,广东省,2006,3949,250624,,,,,
440000,广东省,2005,3928,233783,,,,,
440000,广东省,2004,4001,217818,,,,,
440000,广东省,2003,1722,164578,,,,,
440000,广东省,2002,1821,162125,,,,,
440000,广东省,2001,1804,149642,,,,,
440000,广东省,2000,1582,162242,,,,,
450000,广西壮族自治区,2019,1782,77763,7890.9495,152.676,8376.7049,265.2326,356.5483
450000,广西壮族自治区,2018,1538,76559,5950.7,94.3,6513.2,183.3,308.0
450000,广西壮族自治区,2017,1328,74119,4946.3848,164.5628,5501.1286,320.8673,283.6379
450000,广西壮族自治区,2016,1212,68435,4143.6585,58.9728,4670.4778,233.0073,258.4031
450000,广西壮族自治区,2015,1168,64790,3600.7381,58.1718,4291.5822,179.8614,232.3146
450000,广西壮族自治区,2014,1163,65947,3496.8997,72.7656,3873.9871,107.651,242.1966
450000,广西壮族自治区,2013,1054,66103,3491.91534,42.33365,3740.54473,47.01103,256.65551
450000,广西壮族自治区,2012,975,64506,3259.6,49.5,3267.6,58.2,276.2
450000,广西壮族自治区,2011,855,58760,2655.0,35.5,2545.0,56.3,215.1
450000,广西壮族自治区,2010,704,51562,1840.7,33.8,1938.9,46.5,122.1
450000,广西壮族自治区,2009,685,44440,1415.8,19.4,1464.0,25.4,114.5
450000,广西壮族自治区,2008,759,43302,1432.1,,1540.2,,112.7
450000,广西壮族自治区,2007,433,45569,,,,,
450000,广西壮族自治区,2006,485,47845,,,,,
450000,广西壮族自治区,2005,481,57488,,,,,
450000,广西壮族自治区,2004,501,44735,,,,,
450000,广西壮族自治区,2003,335,39735,,,,,
450000,广西壮族自治区,2002,335,37807,,,,,
450000,广西壮族自治区,2001,343,44775,,,,,
450000,广西壮族自治区,2000,407,46371,,,,,
460000,海南省,2019,376,23421,2062.7149,196.677,2293.2299,23.585,120.9554
460000,海南省,2018,228,19398,1146.4,24.1,1295.8,7.6,72.9
460000,海南省,2017,162,16461,1593.6613,34.166,1765.8512,20.4491,56.0223
460000,海南省,2016,163,16309,1618.8449,31.5296,1771.865,30.1042,57.198
460000,海南省,2015,163,14930,1985.5321,62.138,2128.3883,56.5334,50.8742
460000,海南省,2014,210,16850,2211.0835,210.3664,2312.7115,5.4876,76.1791
460000,海南省,2013,229,18002,2160.50837,158.61964,2300.76108,160.51723,58.57851
460000,海南省,2012,245,16686,1401.0,92.3,1469.3,49.5,52.8
460000,海南省,2011,301,19466,1136.1,47.2,1200.8,28.4,55.7
460000,海南省,2010,335,15841,903.3,51.0,1070.5,39.2,42.3
