省份编码,省份,年份,零售业资产总计(亿元),零售业流动资产合计(亿元),零售业固定资产合计(亿元),零售业负债合计(亿元),零售业所有者权益合计(亿元)
140000,山西省,2005,188.2,116.5,48.7,143.7,44.5
140000,山西省,2004,171.90182,96.74788,47.42573,132.22123,39.68059
140000,山西省,2003,137.4,68.2,58.3,101.0,36.3
140000,山西省,2002,127.5682,59.5131,55.4093,96.6854,30.8828
140000,山西省,2001,106.1464,44.7134,52.6856,77.677,
140000,山西省,2000,99.7481,46.7814,45.3007,73.7622,
150000,内蒙古自治区,2019,602.1852,379.5012,,474.6593,129.4132
150000,内蒙古自治区,2018,603.6,375.7,130.8,458.8,144.9
150000,内蒙古自治区,2017,704.501,471.8619,142.9186,572.0246,132.4764
150000,内蒙古自治区,2016,844.886,540.2634,161.3471,666.9972,177.8888
150000,内蒙古自治区,2015,869.746,594.1183,149.861,686.2622,183.4838
150000,内蒙古自治区,2014,908.1875,634.6377,135.1002,706.996,201.1916
150000,内蒙古自治区,2013,815.004,553.6503,121.7452,628.5541,186.4499
150000,内蒙古自治区,2012,644.4,443.7,100.5,521.9,140.3
150000,内蒙古自治区,2011,592.8,408.6,94.6,448.5,144.3
150000,内蒙古自治区,2010,421.8,252.6,80.9,293.7,128.1
150000,内蒙古自治区,2009,288.2,174.4,59.2,203.0,85.2
150000,内蒙古自治区,2008,213.7,134.9,62.9,150.2,63.5
150000,内蒙古自治区,2007,172.9,108.5,52.8,121.9,51.0
150000,内蒙古自治区,2006,145.6,91.4,40.4,98.4,47.2
150000,内蒙古自治区,2005,113.6,61.8,50.2,74.8,38.8
150000,内蒙古自治区,2004,98.57173,50.5863,25.73753,62.0583,36.51343
150000,内蒙古自治区,2003,58.6,30.4,24.2,41.0,17.6
150000,内蒙古自治区,2002,45.9444,24.8538,17.8152,32.0239,13.9205
150000,内蒙古自治区,2001,42.1992,18.777,19.943,32.7165,
150000,内蒙古自治区,2000,42.7069,20.2565,18.6458,33.4276,
210000,辽宁省,2019,1911.0461,1250.1302,,1447.689,468.9049
210000,辽宁省,2018,1791.4,1210.9,235.7,1411.5,373.9
210000,辽宁省,2017,1722.6678,1184.7374,258.7925,1401.8264,316.9689
210000,辽宁省,2016,1758.2625,1094.7377,324.3331,1362.9794,391.4343
210000,辽宁省,2015,1903.7512,1130.9417,327.4619,1421.3686,481.6797
210000,辽宁省,2014,1885.8379,1126.8143,362.8286,1383.5882,500.6559
210000,辽宁省,2013,1849.5662,1110.3137,354.7626,1333.0413,514.8099
210000,辽宁省,2012,1600.3,1026.6,296.6,1182.6,417.8
210000,辽宁省,2011,1310.0,804.3,270.9,946.8,363.2
210000,辽宁省,2010,1098.4,671.8,218.8,786.0,310.5
210000,辽宁省,2009,823.7,532.1,171.3,596.1,225.8
210000,辽宁省,2008,670.6,405.5,209.6,471.7,188.6
210000,辽宁省,2007,554.5,304.5,199.6,383.6,170.0
210000,辽宁省,2006,477.5,263.5,173.3,342.2,133.7
210000,辽宁省,2005,384.4,220.3,114.5,263.1,121.3
210000,辽宁省,2004,417.61029,235.04589,123.97165,296.22846,117.80007
210000,辽宁省,2003,297.6,140.3,120.8,219.0,78.5
210000,辽宁省,2002,287.0546,122.0065,131.0336,212.9422,74.1123
210000,辽宁省,2001,247.8411,97.2213,115.5068,180.0234,
210000,辽宁省,2000,246.8664,107.2574,107.117,184.1062,
220000,吉林省,2019,946.0892,579.811,,672.0262,257.5052
220000,吉林省,2018,957.0,567.4,279.1,722.4,215.7
220000,吉林省,2017,1098.7353,660.1689,291.4967,798.8526,289.5914
220000,吉林省,2016,970.8489,575.9442,246.1778,721.7263,245.1452
220000,吉林省,2015,874.8131,493.3342,233.3232,657.6733,217.4092
220000,吉林省,2014,732.4379,395.6779,188.8897,523.3821,209.0558
220000,吉林省,2013,631.3935,359.5433,174.6152,474.4118,156.9816
220000,吉林省,2012,531.2,293.3,150.1,398.5,132.7
220000,吉林省,2011,456.2,256.6,140.4,351.5,104.7
220000,吉林省,2010,344.7,192.3,93.4,254.2,90.4
220000,吉林省,2009,253.9,141.9,72.1,184.1,69.8
220000,吉林省,2008,212.3,109.4,99.2,157.9,54.3
220000,吉林省,2007,154.4,78.8,67.9,108.7,45.7
220000,吉林省,2006,153.4,68.1,71.7,131.1525,22.2
220000,吉林省,2005,137.5,64.0,50,111.3,25.0
220000,吉林省,2004,145.66497,62.72992,56.90092,102.35515,35.22942
220000,吉林省,2003,109.0,53.1,45.3,81.4,27.6
220000,吉林省,2002,92.2232,41.1755,42.9364,67.397,24.8262
220000,吉林省,2001,87.7626,37.1825,40.4676,62.0762,
220000,吉林省,2000,87.2223,39.1106,40.8354,72.9706,
230000,黑龙江省,2019,732.232,486.495,,580.8742,146.555
230000,黑龙江省,2018,847.2,539.8,168.4,635.3,211.7
230000,黑龙江省,2017,835.5073,505.1048,180.4943,643.0538,192.4535
230000,黑龙江省,2016,817.6018,527.9089,180.2653,620.4703,197.1315
230000,黑龙江省,2015,769.5861,486.576,174.8786,579.4699,190.1162
230000,黑龙江省,2014,725.2075,438.9458,155.4364,540.6865,184.521
230000,黑龙江省,2013,582.9789,385.42,117.7191,433.7035,149.2753
230000,黑龙江省,2012,514.0,352.2,107,390.3,123.7
230000,黑龙江省,2011,453.8,287.2,102.9,340.9,112.9
230000,黑龙江省,2010,404.4,267.4,89.5,311.1,93.3
230000,黑龙江省,2009,304.3,212.0,68.6,240.2,64.1
230000,黑龙江省,2008,235.7,150.1,85.9,189.9,45.7
230000,黑龙江省,2007,184.9,106.8,79.1,155.9,29.0
230000,黑龙江省,2006,145.5,78.4,72.2,120.4,25.2
230000,黑龙江省,2005,152.6,80.1,58.9,123.2,29.4
230000,黑龙江省,2004,137.5536,64.88362,52.99851,104.37318,33.18042
230000,黑龙江省,2003,97.1,42.4,50.5,71.9,25.2
230000,黑龙江省,2002,96.108,40.7236,50.9946,67.8255,28.2825
230000,黑龙江省,2001,114.1847,50.6434,54.9615,82.0153,
230000,黑龙江省,2000,109.5569,48.6379,56.6115,84.8472,
310000,上海市,2019,4633.6022,3456.2092,,3264.5635,1371.1764
310000,上海市,2018,3777.7,2852.2,378.8,2704.7,1080.9
310000,上海市,2017,3652.2855,2728.3273,413.248,2604.0654,1048.4201
310000,上海市,2016,3362.3697,2379.6295,401.8456,2421.4114,940.9583
310000,上海市,2015,3092.1751,2219.5322,398.7538,2361.6319,730.5432
310000,上海市,2014,3105.7442,2278.3591,403.1925,2356.8321,748.9121
310000,上海市,2013,3009.1063,1861.1943,349.8363,2358.2265,650.8798
310000,上海市,2012,2583.0,1882.1,321.5,1811.4,771.6
310000,上海市,2011,2055.5,1417.7,321.2,1521.1,534.4
310000,上海市,2010,1575.9,1072.6,269.1,1118.5,457.4
310000,上海市,2009,1637.4,1069.3,255.9,1108.8,528.6
310000,上海市,2008,1548.9,978.8,390.2,1091.4,457.5
310000,上海市,2007,1288.6,720.0,364.3,913.0,375.6
310000,上海市,2006,1091.7,620.2,381,737.9,353.8
310000,上海市,2005,903.0,499.2,224.5,604.1,299.0
310000,上海市,2004,824.01139,466.29979,175.00795,584.91183,239.09956
310000,上海市,2003,564.7,281.6,180.8,383.3,181.4
310000,上海市,2002,473.348,243.5413,154.4035,341.1296,132.2184
310000,上海市,2001,436.5095,217.5216,148.5781,280.0927,
310000,上海市,2000,451.3596,186.568,186.8374,298.7112,
320000,江苏省,2019,6024.4917,3939.7898,,3984.8757,2038.8292
320000,江苏省,2018,6423.3,4094.2,741.6,4184.8,2239.2
320000,江苏省,2017,6009.3074,3818.6833,842.646,3925.4925,2083.9321
320000,江苏省,2016,6878.5038,4474.6337,856.4947,4669.6983,2208.8054
320000,江苏省,2015,5267.6381,3329.2034,799.7001,3690.287,1577.3512
320000,江苏省,2014,4692.3912,2877.1367,745.796,3482.3407,1343.8399
320000,江苏省,2013,4228.2654,2651.0497,690.381,3052.4223,1209.8957
320000,江苏省,2012,3322.2,2204.7,513.9,2446.9,875.3
320000,江苏省,2011,2774.8,1838.3,438.3,2028.7,746.1
320000,江苏省,2010,2196.3,1436.4,352.9,1593.3,603.0
320000,江苏省,2009,1828.7,1198.0,316.9,1336.9,491.9
320000,江苏省,2008,1518.1,941.6,435.9,1079.9,438.2
320000,江苏省,2007,999.1,654.7,285,758.2,240.9
320000,江苏省,2006,840.4,525.7,247,609.3,231.1
320000,江苏省,2005,632.9,370.3,167.2,482.8,150.1
320000,江苏省,2004,522.17404,290.35108,137.97639,381.82874,140.3453
320000,江苏省,2003,494.5,277.4,152.2,379.1,115.4
320000,江苏省,2002,362.1284,180.4343,133.059,268.5807,93.5477
320000,江苏省,2001,299.3826,137.5227,127.9705,225.7983,
320000,江苏省,2000,285.8277,130.8679,126.4133,215.3666,
330000,浙江省,2019,3948.6435,2847.5285,,3116.3644,1042.6418
330000,浙江省,2018,3792.4,2718.0,434.9,2990.3,988.9
330000,浙江省,2017,3755.4719,2638.7063,468.4032,2848.6734,906.8058
330000,浙江省,2016,3860.505,2614.252,519.0373,2930.302,930.2
330000,浙江省,2015,3541.8347,2410.9051,473.4598,2714.1391,827.6956
330000,浙江省,2014,3340.528,2312.3769,445.7074,2554.3574,786.4957
330000,浙江省,2013,2990.6012,2102.3218,408.7575,2294.2063,696.3949
330000,浙江省,2012,2622.6,1924.4,349.2,2039.8,582.8
330000,浙江省,2011,2316.1,1695.7,302.7,1778.7,537.2
330000,浙江省,2010,1835.6,1324.1,274,1400.6,435.0
330000,浙江省,2009,1424.9,966.1,237.1,1070.0,354.9
330000,浙江省,2008,1207.2,812.2,292.2,903.4,303.9
330000,浙江省,2007,861.0,574.3,215.6,651.2,209.9
330000,浙江省,2006,645.9,408.5,178.7,471.4,174.5
330000,浙江省,2005,528.8,333.7,120.5,374.5,154.3
330000,浙江省,2004,456.80381,282.48216,105.93312,320.89881,135.905
330000,浙江省,2003,293.1,174.0,86.2,205.7,87.4
330000,浙江省,2002,219.5573,122.7535,72.237,145.4396,74.1177
330000,浙江省,2001,186.2654,94.103,72.8131,123.6093,
330000,浙江省,2000,165.4003,78.4133,73.4893,109.4144,
340000,安徽省,2019,2290.632,1639.1194,,1576.7234,714.0087
340000,安徽省,2018,1975.0,1356.2,276.2,1267.5,707.5
340000,安徽省,2017,1920.6724,1345.6351,310.4019,1268.2245,652.4479
340000,安徽省,2016,2198.8316,1305.097,284.2814,1291.4547,907.3769
340000,安徽省,2015,1948.1817,1187.1956,270.4763,1206.5277,741.654
340000,安徽省,2014,1584.2979,1095.8796,242.9849,1123.21,461.0879
340000,安徽省,2013,1445.869,1009.3802,215.4705,985.3874,460.4816
340000,安徽省,2012,1184.0,842.2,178.1,810.1,374.0
340000,安徽省,2011,855.6,599.2,143,599.9,282.7
340000,安徽省,2010,639.7,456.8,110.4,470.7,168.9
340000,安徽省,2009,441.1,300.9,90,325.5,115.6
340000,安徽省,2008,345.1,226.3,96.2,248.3,96.9
340000,安徽省,2007,236.8,150.5,71,173.9,62.9
340000,安徽省,2006,187.8,110.1,60.845,139.0,48.8
340000,安徽省,2005,141.7,84.4,33.9,104.7,37.1
340000,安徽省,2004,117.95288,70.89783,30.94795,86.8039,31.14898
340000,安徽省,2003,79.1,43.3,28.5,61.2,17.9
340000,安徽省,2002,85.0771,45.9111,32.4679,65.7627,19.3144
340000,安徽省,2001,75.4028,38.5102,30.1331,60.0996,
340000,安徽省,2000,75.1052,35.7961,31.5723,59.8283,
350000,福建省,2019,2444.1622,1612.78,,1437.3527,989.0759
350000,福建省,2018,2082.7,1421.4,228.3,1161.4,919.1
350000,福建省,2017,1941.6731,1387.4301,220.0484,1070.8156,870.8575
350000,福建省,2016,1699.2961,1182.0801,197.7338,987.0577,712.2384
350000,福建省,2015,1473.8821,1072.7818,183.1438,912.2768,561.5437
350000,福建省,2014,1501.455,1064.3807,180.8559,939.3926,562.0608
350000,福建省,2013,1281.6342,908.4242,158.4407,810.0171,471.6171
350000,福建省,2012,1187.9,818.0,144.6,731.9,456.0
350000,福建省,2011,996.0,657.6,136.3,618.7,377.3
350000,福建省,2010,746.1,502.8,100.7,487.2,258.9
350000,福建省,2009,576.8,413.1,85.5,377.3,199.5
350000,福建省,2008,396.6,277.8,85.7,256.5,140.1
350000,福建省,2007,288.3,204.7,56.7,184.1,104.2
350000,福建省,2006,254.0,168.4,64,159.6,94.4
350000,福建省,2005,201.1,137.6,37.3,127.0,74.1
350000,福建省,2004,190.72336,125.76847,39.4621,120.17861,70.54475
350000,福建省,2003,143.3,93.8,39.9,94.0,49.4
350000,福建省,2002,104.8731,61.5706,31.7384,65.4197,39.4534
350000,福建省,2001,92.478,50.9733,29.0983,67.3262,
350000,福建省,2000,77.4589,40.264,22.9103,51.9647,
360000,江西省,2019,1239.6114,835.0847,,817.7289,412.6803
360000,江西省,2018,1106.9,784.1,129.8,742.4,364.5
360000,江西省,2017,1008.13,695.1509,142.0367,636.1973,371.9328
360000,江西省,2016,1170.3053,847.2866,187.2373,846.0694,324.2359
360000,江西省,2015,1029.2815,764.9378,127.6703,800.0065,229.275
360000,江西省,2014,684.3539,452.8154,110.7048,448.9988,235.3551
360000,江西省,2013,568.3693,365.0776,96.1583,367.9118,200.4575
360000,江西省,2012,454.5,308.5,67.2,300.5,154.0
360000,江西省,2011,325.8,217.0,57.6,207.8,118.0
360000,江西省,2010,258.3,158.5,57.3,165.6,92.7
360000,江西省,2009,201.4,122.8,50.6,135.5,65.9
360000,江西省,2008,159.2,91.6,62.8,100.9,58.4
360000,江西省,2007,106.6,66.3,32.2,75.8,30.9
360000,江西省,2006,92.1,57.3,30.8,66.8,25.3
360000,江西省,2005,79.7,49.2,22.6,54.9,24.8
360000,江西省,2004,74.25852,42.17926,21.46972,52.26774,21.99078
360000,江西省,2003,44.8,26.2,14.4,31.6,13.2
360000,江西省,2002,39.5985,21.9015,14.7488,28.6618,10.9368
360000,江西省,2001,34.3708,18.1692,12.8786,25.7474,
360000,江西省,2000,30.896,18.1508,10.802,24.7466,
370000,山东省,2019,3796.4176,2687.0159,,3002.1546,832.8805
370000,山东省,2018,4136.6,2888.4,568.7,3130.8,906.0
370000,山东省,2017,4142.1735,2861.132,704.8786,3054.5266,1124.499
370000,山东省,2016,4388.2664,2863.386,759.3242,3176.9297,1221.9953
370000,山东省,2015,4187.4174,2646.26,764.4699,3095.8663,1091.574
370000,山东省,2014,4210.6336,2726.8143,759.9467,2997.6244,1212.5803
370000,山东省,2013,3618.4635,2343.9263,742.8115,2598.3922,1020.0713
370000,山东省,2012,3058.0,1866.2,590,2216.6,841.4
370000,山东省,2011,2605.3,1725.1,517,1895.9,709.4
370000,山东省,2010,2196.2,1386.1,486.9,1567.8,628.4
370000,山东省,2009,1942.1,1285.7,406.8,1251.9,690.2
370000,山东省,2008,1665.8,1071.9,492.3,1109.8,553.9
370000,山东省,2007,1161.2,753.2,337,852.9,308.3
370000,山东省,2006,869.1,547.7,277.4,684.5,184.6
370000,山东省,2005,769.7,483.9,188.2,576.0,193.7
370000,山东省,2004,649.70047,369.09216,173.06159,496.50612,153.19435
370000,山东省,2003,475.3,265.2,161,373.4,101.9
370000,山东省,2002,361.6939,186.572,139.0297,282.4858,79.2081
370000,山东省,2001,326.7828,165.3976,129.2596,260.738,
370000,山东省,2000,291.3725,137.8986,126.6445,223.3462,
410000,河南省,2019,2431.8748,1743.843,,1734.467,691.686
410000,河南省,2018,2208.0,1618.3,301.6,1568.8,639.2
410000,河南省,2017,2186.6326,1539.8166,384.5967,1433.807,752.8256
410000,河南省,2016,2301.2555,1529.6636,403.29,1534.5399,766.7156
410000,河南省,2015,1989.3064,1324.5284,347.4085,1379.2206,610.0858
410000,河南省,2014,1788.6132,1246.6312,291.1709,1285.7754,502.8378
410000,河南省,2013,1405.7435,990.3309,235.1632,1033.7768,371.9666
410000,河南省,2012,1151.7,796.5,163,846.8,304.9
410000,河南省,2011,946.6,616.2,152.5,686.5,260.1
410000,河南省,2010,786.4,516.6,150.8,582.5,203.9
410000,河南省,2009,651.9,434.4,132,488.3,163.6
410000,河南省,2008,561.8,353.1,184.8,398.9,162.9
410000,河南省,2007,425.4,275.3,117.7,354.5,70.9
410000,河南省,2006,391.6,251.6,116,315.0,76.5
410000,河南省,2005,343.2,200.9,84,281.1,62.1
410000,河南省,2004,330.73508,194.93801,77.65781,260.29423,70.44085
410000,河南省,2003,203.2,121.9,63,182.0,21.2
410000,河南省,2002,165.9646,99.2217,45.5688,147.2255,18.7391
410000,河南省,2001,158.6289,88.8584,55.2166,142.9158,
410000,河南省,2000,152.0595,83.8559,55.0117,135.664,
420000,湖北省,2019,2368.118,1475.7064,,1630.9886,732.316
420000,湖北省,2018,2937.0,1894.4,517,1931.1,1007.4
420000,湖北省,2017,2565.1639,1661.6071,474.4448,1794.86,770.3039
420000,湖北省,2016,2859.9855,1766.7617,527.5276,2038.6932,821.2923
420000,湖北省,2015,2360.3582,1441.6866,513.0575,1668.4926,691.8657
420000,湖北省,2014,2346.2399,1427.7465,522.3835,1597.9234,748.2548
420000,湖北省,2013,2066.6245,1277.9481,441.1987,1431.9775,635.2048
420000,湖北省,2012,1754.3,1110.5,350.2,1143.2,611.1
420000,湖北省,2011,1163.6,719.4,259,824.8,338.8
420000,湖北省,2010,897.2,506.2,218.8,606.3,290.8
420000,湖北省,2009,652.0,378.1,162.2,457.8,194.3
420000,湖北省,2008,492.9,280.1,195.9,355.0,137.9
420000,湖北省,2007,352.6,193.6,142.4,251.2,101.4
420000,湖北省,2006,275.0,146.6,128.5,197.9,77.1
420000,湖北省,2005,274.7,147.2,95.2,209.2,65.4
420000,湖北省,2004,248.70711,122.57365,81.60922,176.49012,72.21699
420000,湖北省,2003,212.1,95.4,83.3,155.7,56.4
420000,湖北省,2002,204.4657,91.903,87.0298,148.2641,56.2016
420000,湖北省,2001,173.2905,69.6212,76.6405,129.8133,
420000,湖北省,2000,178.2502,72.9786,74.2985,129.4364,
430000,湖南省,2019,2538.5818,1407.6064,,1570.4288,958.5998
430000,湖南省,2018,2307.5,1304.4,428.2,1414.1,893.4
430000,湖南省,2017,3596.4163,1296.0627,434.6354,1340.3303,2256.086
430000,湖南省,2016,1988.3567,1160.6891,410.9657,1223.8985,764.4582
430000,湖南省,2015,1740.0829,1009.9708,325.7988,1098.4672,641.6157
430000,湖南省,2014,1565.538,897.9672,298.9946,980.134,585.404
430000,湖南省,2013,1331.6629,781.448,261.0587,850.5603,481.1026
430000,湖南省,2012,1037.7,588.8,197.5,636.3,401.5
430000,湖南省,2011,933.0,534.5,246.6,594.7,338.3
430000,湖南省,2010,667.0,380.9,163.2,413.7,253.3
430000,湖南省,2009,517.1,277.0,123.8,302.4,214.7
430000,湖南省,2008,534.6,315.9,156.7,256.1,278.5
430000,湖南省,2007,264.3,163.9,81.5,180.7,83.6
430000,湖南省,2006,290.7,177.0,105.9,206.0,84.7
430000,湖南省,2005,210.6,113.8,59.7,145.0,65.6
430000,湖南省,2004,170.67548,90.83392,48.52162,116.63872,54.03676
430000,湖南省,2003,136.7,64.6,55,95.3,41.4
430000,湖南省,2002,127.0567,52.8694,57.4432,85.7264,41.3303
430000,湖南省,2001,107.0605,42.5988,49.2484,72.8634,
430000,湖南省,2000,101.949,43.3966,44.2272,70.3415,
440000,广东省,2019,7887.1351,6335.9087,,5246.5493,2640.6499
440000,广东省,2018,7236.4,5931.1,413.2,4863.3,2373.2
440000,广东省,2017,6767.8372,5471.7132,441.9158,4389.5604,2378.2993
440000,广东省,2016,5998.641,4761.9087,475.2225,4062.5584,1936.0861
440000,广东省,2015,5262.4008,4178.5086,426.8172,3613.4671,1647.7219
440000,广东省,2014,5046.1274,3773.9288,442.4546,3541.6794,1503.931
440000,广东省,2013,4457.9003,3203.9294,437.2428,3078.0242,1380.2091
440000,广东省,2012,3827.7,2896.9,398.9,2610.7,1217.0
440000,广东省,2011,3154.0,2240.7,338.7,2063.2,1091.4
440000,广东省,2010,2510.9,1734.9,328.9,1695.5,815.4
440000,广东省,2009,2015.0,1411.1,308.3,1388.7,624.4
440000,广东省,2008,1694.2,1181.6,405.2,1186.3,508.0
440000,广东省,2007,1251.6,891.4,331.5,954.9,296.6
440000,广东省,2006,1107.2,788.6,275.6,780.1,327.2
440000,广东省,2005,916.8,622.9,172.5,694.9,221.8
440000,广东省,2004,764.52884,503.14974,141.95822,562.64068,201.88816
440000,广东省,2003,509.9,322.4,125.4,388.6,121.4
440000,广东省,2002,394.8465,241.0724,95.0477,303.5975,91.249
440000,广东省,2001,308.0971,179.8874,82.8242,232.7577,
440000,广东省,2000,310.1865,176.8901,83.1797,235.8865,
450000,广西壮族自治区,2019,1002.468,763.4218,,678.4129,322.6934
450000,广西壮族自治区,2018,908.3,688.4,91.7,613.9,294.2
450000,广西壮族自治区,2017,977.9481,769.2147,96.4699,684.0549,293.8932
450000,广西壮族自治区,2016,927.1058,710.8806,83.9173,642.6134,284.4924
450000,广西壮族自治区,2015,740.0518,567.8379,82.5306,528.7428,211.309
450000,广西壮族自治区,2014,662.4804,511.6229,75.9416,488.8972,173.5832
450000,广西壮族自治区,2013,534.1171,402.1906,65.3106,385.5746,148.5425
450000,广西壮族自治区,2012,462.1,346.4,56.5,340.8,121.3
450000,广西壮族自治区,2011,379.6,279.9,50.5,275.0,104.5
450000,广西壮族自治区,2010,284.4,203.3,39.1,206.0,78.5
450000,广西壮族自治区,2009,235.4,158.4,44.6,162.6,71.6
450000,广西壮族自治区,2008,178.6,112.0,53.7,118.9,59.7
450000,广西壮族自治区,2007,147.4,93.0,41.9,106.3,41.1
450000,广西壮族自治区,2006,126.1,78.4,38.5,95.7225,30.4
450000,广西壮族自治区,2005,119.3,70.6,28.5,90.3,29.0
450000,广西壮族自治区,2004,101.19176,57.35751,24.83743,74.13197,27.05979
450000,广西壮族自治区,2003,87.4,46.8,32.4,58.5,28.8
450000,广西壮族自治区,2002,108.7926,44.4381,57.8656,65.6787,43.1139
450000,广西壮族自治区,2001,82.5392,32.3332,32.8476,49.5354,
450000,广西壮族自治区,2000,82.0866,38.3999,35.9632,57.2149,
460000,海南省,2019,384.6171,276.0916,,260.0097,124.2992
460000,海南省,2018,309.4,213.6,43.1,195.7,113.7
460000,海南省,2017,295.5541,198.7181,45.0572,189.3519,106.2022
460000,海南省,2016,259.729,163.6983,46.1148,170.5031,89.2259
460000,海南省,2015,248.6802,158.6255,47.1061,163.7392,84.941
460000,海南省,2014,246.1179,167.1985,42.6291,163.5277,82.5902
460000,海南省,2013,206.5652,144.1703,40.6707,133.9514,72.6138
460000,海南省,2012,177.0,116.3,37,120.3,56.7
460000,海南省,2011,143.9,97.7,28,95.7,48.2
460000,海南省,2010,116.8,75.2,26.8,69.6,47.2
460000,海南省,2009,79.8,47.6,23.6,46.1,33.6
460000,海南省,2008,74.6,43.1,33.4,42.6,32.0
