省份编码,省份,年份,零售业法人企业单位数(个),零售业年末从业人数(人),零售业商品购进总额(亿元),零售业进口额(亿元),零售业商品销售总额(亿元),零售业出口额(亿元),零售业商品库存总额(亿元)
130000,河北省,2011,1683,191428,1533.6,6.8,1685.3,,174.8
130000,河北省,2010,1482,171882,1185.3,13.2,1345.9,2.5,135.0
130000,河北省,2009,1010,144980,801.4,2.4,939.9,,88.3
130000,河北省,2008,977,141137,710.7,,811.3,,90.1
130000,河北省,2007,577,119213,,,,,
130000,河北省,2006,538,123395,,,,,
130000,河北省,2005,484,112017,,,,,
130000,河北省,2004,456,118666,,,,,
130000,河北省,2003,389,104858,,,,,
130000,河北省,2002,382,104483,,,,,
130000,河北省,2001,387,105284,,,,,
130000,河北省,2000,346,107510,,,,,
140000,山西省,2019,2068,131517,1589.0837,19.5242,1998.3371,0.9888,192.1792
140000,山西省,2018,1996,141734,1497.9,15.9,2055.9,0.4,185.6
140000,山西省,2017,2051,150391,1899.0673,35.6235,2247.5052,0.5064,319.9524
140000,山西省,2016,2083,150341,1724.2953,19.5719,2003.7682,0.1404,241.6527
140000,山西省,2015,2054,159493,1679.2254,27.6821,2007.2218,0.0494,217.1932
140000,山西省,2014,2094,159482,1770.8208,48.5711,2166.007,0.2542,220.6748
140000,山西省,2013,1987,164057,1801.85584,25.19975,2201.69099,,218.78796
140000,山西省,2012,1827,151100,1740.9,26.9,1971.7,0.4,181.4
140000,山西省,2011,1533,130032,1304.9,18.3,1678.6,,141.8
140000,山西省,2010,1404,141711,981.2,6.3,1251.5,0.3,124.8
140000,山西省,2009,845,107752,689.9,8.3,868.2,,85.6
140000,山西省,2008,794,94678,587.2,,749.3,,77.7
140000,山西省,2007,621,94972,,,,,
140000,山西省,2006,548,83732,,,,,
140000,山西省,2005,562,84945,,,,,
140000,山西省,2004,605,88803,,,,,
140000,山西省,2003,382,66813,,,,,
140000,山西省,2002,360,71596,,,,,
140000,山西省,2001,321,69514,,,,,
140000,山西省,2000,316,73382,,,,,
150000,内蒙古自治区,2019,1086,73725,1064.9621,13.087,1271.8627,0.3753,111.2634
150000,内蒙古自治区,2018,1094,76745,1033.4,15.1,1291.2,0.2,128.0
150000,内蒙古自治区,2017,1235,81718,1184.388,19.2118,1350.9448,0.1049,129.8873
150000,内蒙古自治区,2016,1337,97348,1451.1639,19.5598,1772.0159,0.546,130.9937
150000,内蒙古自治区,2015,1284,96701,1298.0487,21.9196,1517.974,0.4256,146.4406
150000,内蒙古自治区,2014,1200,101720,1347.4156,44.7438,1652.8463,1.0718,149.2564
150000,内蒙古自治区,2013,1062,103109,1293.89305,21.80688,1547.09498,0.89218,169.8943
150000,内蒙古自治区,2012,990,97854,1369.0,30.6,1487.6,0.5,133.1
150000,内蒙古自治区,2011,933,90639,1228.4,19.5,1428.7,0.2,149.3
150000,内蒙古自治区,2010,828,86042,870.2,10.6,998.1,,132.8
150000,内蒙古自治区,2009,707,71963,630.5,2.5,735.3,,58.4
150000,内蒙古自治区,2008,648,70425,495.4,,577.8,,55.3
150000,内蒙古自治区,2007,396,49671,,,,,
150000,内蒙古自治区,2006,375,48941,,,,,
150000,内蒙古自治区,2005,318,39857,,,,,
150000,内蒙古自治区,2004,296,43143,,,,,
150000,内蒙古自治区,2003,177,26765,,,,,
150000,内蒙古自治区,2002,163,26774,,,,,
150000,内蒙古自治区,2001,150,23694,,,,,
150000,内蒙古自治区,2000,150,25171,,,,,
210000,辽宁省,2019,2226,161732,2564.5051,78.7447,3170.3732,4.9267,247.4302
210000,辽宁省,2018,2144,166613,2452.5,84.9,3056.4,2.7,251.7
210000,辽宁省,2017,2289,184960,2647.6721,76.481,3184.7851,1.6356,277.0262
210000,辽宁省,2016,2475,207490,2802.6189,70.3161,3363.3576,3.3042,276.0506
210000,辽宁省,2015,3050,234330,3075.4394,63.413,3614.2192,6.3185,735.7972
210000,辽宁省,2014,3315,243843,3360.6967,103.984,3949.3898,1.5964,279.8252
210000,辽宁省,2013,3290,240759,3006.82657,89.56138,3678.20885,1.77642,289.51961
210000,辽宁省,2012,2955,232734,2791.3,126.6,3226.7,1.2,266.5
210000,辽宁省,2011,2625,212499,2371.7,116.3,2876.3,1.2,298.6
210000,辽宁省,2010,2433,208393,1918.9,94.2,2332.7,1.6,190.9
210000,辽宁省,2009,1899,180341,1305.4,28.5,1676.5,1.3,140.8
210000,辽宁省,2008,1978,175360,1296.1,,1617.3,,141.8
210000,辽宁省,2007,1061,176352,,,,,
210000,辽宁省,2006,932,133864,,,,,
210000,辽宁省,2005,863,129416,,,,,
210000,辽宁省,2004,941,131211,,,,,
210000,辽宁省,2003,520,103884,,,,,
210000,辽宁省,2002,458,107829,,,,,
210000,辽宁省,2001,380,99922,,,,,
210000,辽宁省,2000,379,106601,,,,,
220000,吉林省,2019,1182,74869,929.7203,25.0221,1188.314,,119.8175
220000,吉林省,2018,1531,87492,1149.2,10.2,1595.8,,166.8
220000,吉林省,2017,1861,97276,1514.8752,24.0201,1972.1963,0.4602,174.5219
220000,吉林省,2016,1722,95176,1616.9077,22.8635,1996.0162,1.6214,144.8843
220000,吉林省,2015,1191,82930,1435.3586,28.2426,1807.7952,3.7651,114.3523
220000,吉林省,2014,991,90114,1328.54,19.1337,1605.8858,1.2337,133.9499
220000,吉林省,2013,925,89833,1103.60848,10.48131,1528.02067,,119.77042
220000,吉林省,2012,907,87498,1067.0,4.0,1361.8,,105.7
220000,吉林省,2011,850,84194,830.2,10.7,1175.1,,92.6
220000,吉林省,2010,778,64476,525.6,12.8,755.2,0.1,76.9
220000,吉林省,2009,552,50792,438.6,8.2,548.0,,57.3
220000,吉林省,2008,488,52167,388.4,,496.9,,39.5
220000,吉林省,2007,304,41807,,,,,
220000,吉林省,2006,298,51903,,,,,
220000,吉林省,2005,308,46850,,,,,
220000,吉林省,2004,351,49421,,,,,
220000,吉林省,2003,200,40405,,,,,
220000,吉林省,2002,217,40061,,,,,
220000,吉林省,2001,155,37367,,,,,
220000,吉林省,2000,159,44157,,,,,
230000,黑龙江省,2019,1177,85853,1081.2815,15.3735,1353.2886,,126.5915
230000,黑龙江省,2018,1113,88799,1127.6,18.9,1589.1,,116.7
230000,黑龙江省,2017,1168,92631,1354.9972,22.4129,1658.4896,,143.4834
230000,黑龙江省,2016,1275,96915,1420.4241,23.1079,1691.2922,,140.4576
230000,黑龙江省,2015,1196,96964,1231.9951,24.7702,1569.9504,0.118,126.8824
230000,黑龙江省,2014,1234,100272,1299.744,24.8403,1629.1639,0.1273,139.0961
230000,黑龙江省,2013,1195,101589,1193.15861,14.13437,1501.8972,,137.8255
230000,黑龙江省,2012,1126,100813,1090.1,6.1,1226.6,0.1,119.3
230000,黑龙江省,2011,937,89924,907.8,6.5,1130.0,0.2,133.3
230000,黑龙江省,2010,864,103330,682.5,3.3,912.7,0.2,94.2
230000,黑龙江省,2009,539,82238,564.7,2.7,773.8,,67.8
230000,黑龙江省,2008,510,79669,443.5,,521.0,,50.9
230000,黑龙江省,2007,344,69247,,,,,
230000,黑龙江省,2006,340,56674,,,,,
230000,黑龙江省,2005,376,62166,,,,,
230000,黑龙江省,2004,406,72108,,,,,
230000,黑龙江省,2003,212,56437,,,,,
230000,黑龙江省,2002,232,58754,,,,,
230000,黑龙江省,2001,239,62918,,,,,
230000,黑龙江省,2000,289,77238,,,,,
310000,上海市,2019,2596,393215,7724.8702,461.0983,9536.938,5.4943,1213.1758
310000,上海市,2018,1924,365852,6372.4,436.0,8155.2,0.9,890.1
310000,上海市,2017,1870,356647,5911.3405,444.0773,7437.3054,0.7565,893.4018
310000,上海市,2016,1874,354300,5747.3903,392.4018,7094.9303,2.7249,955.7565
310000,上海市,2015,1942,363710,5153.0735,305.9831,6287.1344,1.031,808.8462
310000,上海市,2014,2029,371673,5025.4331,306.4004,5920.7603,2.2804,815.645
310000,上海市,2013,1693,328380,4329.03733,298.64441,5127.97752,1.9456,577.06287
310000,上海市,2012,1586,313565,4040.1,234.1,5218.0,11.9,643.7
310000,上海市,2011,1629,286485,3820.1,274.9,4462.4,5.3,475.5
310000,上海市,2010,1386,265295,3301.6,107.1,3922.7,0.6,480.2
310000,上海市,2009,1422,274699,2651.6,77.7,3335.8,1.5,342.2
310000,上海市,2008,1720,275257,2738.0,,3503.2,,417.1
310000,上海市,2007,1180,287533,,,,,
310000,上海市,2006,1203,297308,,,,,
310000,上海市,2005,493,264523,,,,,
310000,上海市,2004,637,189517,,,,,
310000,上海市,2003,280,174932,,,,,
310000,上海市,2002,299,198405,,,,,
310000,上海市,2001,333,152181,,,,,
310000,上海市,2000,384,137530,,,,,
320000,江苏省,2019,8824,481297,9339.8392,187.8502,11268.5769,3.8435,868.8231
320000,江苏省,2018,8585,514100,9857.0,218.0,11737.1,3.0,914.5
320000,江苏省,2017,8411,522277,9237.7316,241.2929,11200.8174,4.8904,1438.2728
320000,江苏省,2016,8571,546964,10029.9128,183.0678,11594.1623,2.2014,1017.3936
320000,江苏省,2015,8290,557938,9278.9805,203.4994,10783.1212,2.3248,806.1244
320000,江苏省,2014,8147,574952,9005.3172,264.6717,10320.7263,1.1429,792.399
320000,江苏省,2013,8681,590079,8343.94352,237.06872,9419.95482,1.03244,756.87577
320000,江苏省,2012,5740,495591,6611.1,149.1,7296.3,2.4,611.1
320000,江苏省,2011,4865,437365,5269.0,133.0,6249.0,1.7,516.6
320000,江苏省,2010,4406,412511,4303.7,62.5,5102.0,1.0,382.8
320000,江苏省,2009,3962,390312,3305.2,40.1,3985.3,2.2,307.8
320000,江苏省,2008,4268,390043,3060.1,,3689.8,,297.6
320000,江苏省,2007,2124,295229,,,,,
320000,江苏省,2006,1919,266898,,,,,
320000,江苏省,2005,1256,243891,,,,,
320000,江苏省,2004,1115,220200,,,,,
320000,江苏省,2003,827,247060,,,,,
320000,江苏省,2002,682,231706,,,,,
320000,江苏省,2001,616,178394,,,,,
320000,江苏省,2000,582,176249,,,,,
330000,浙江省,2019,6285,374128,7585.1188,305.2825,9743.3323,7.0583,824.6411
330000,浙江省,2018,5808,381283,7169.2,338.8,9189.2,3.1,808.2
330000,浙江省,2017,5791,379812,6936.6195,348.0966,8398.9069,4.0098,771.2955
330000,浙江省,2016,5639,371580,6983.3541,250.3529,8248.427,10.1213,770.7414
330000,浙江省,2015,5238,369376,6316.5913,295.421,7428.4053,6.7636,800.612
330000,浙江省,2014,4695,361587,6143.7825,338.5925,6945.2407,3.8326,763.992
330000,浙江省,2013,4216,339558,5768.61687,278.30603,6364.25021,5.82316,667.36998
330000,浙江省,2012,3680,308776,5143.7,303.3,5682.9,5.0,531.1
330000,浙江省,2011,3324,296461,4794.0,233.3,5271.0,7.6,554.6
330000,浙江省,2010,2867,267773,3799.6,158.9,4267.6,7.1,347.8
330000,浙江省,2009,2574,234365,2959.7,66.7,3197.7,1.7,249.5
330000,浙江省,2008,2552,216548,2589.5,,2837.5,,254.0
330000,浙江省,2007,1509,189231,,,,,
330000,浙江省,2006,1366,162011,,,,,
330000,浙江省,2005,1095,134348,,,,,
330000,浙江省,2004,1089,128617,,,,,
330000,浙江省,2003,763,92750,,,,,
330000,浙江省,2002,637,80936,,,,,
330000,浙江省,2001,724,83134,,,,,
330000,浙江省,2000,643,92828,,,,,
340000,安徽省,2019,5141,254167,3743.911,155.558,4483.4892,9.8869,371.2345
340000,安徽省,2018,5000,255570,3558.5,65.4,4320.2,3.9,696.3
340000,安徽省,2017,4875,251095,3502.1247,50.9607,4104.5186,0.6245,346.8729
340000,安徽省,2016,4658,253897,3545.1771,35.0238,4119.6939,0.3057,340.0171
340000,安徽省,2015,4312,253965,3200.9699,61.5116,3624.0859,0.6811,325.5994
340000,安徽省,2014,3957,253094,2985.4105,54.8386,3358.1905,2.1504,1092.2985
340000,安徽省,2013,3444,233188,2686.29367,19.9149,2957.71625,1.23132,292.98604
340000,安徽省,2012,2660,207297,2305.3,19.8,2423.4,0.5,252.1
340000,安徽省,2011,2201,180049,1690.0,17.7,1890.1,0.8,193.6
340000,安徽省,2010,1583,158781,1246.3,8.8,1371.1,,161.1
340000,安徽省,2009,1148,124179,847.4,2.3,926.7,0.3,111.6
340000,安徽省,2008,967,111863,634.0,,732.0,,88.5
340000,安徽省,2007,493,83977,,,,,
340000,安徽省,2006,389,71270,,,,,
340000,安徽省,2005,355,68825,,,,,
340000,安徽省,2004,354,65153,,,,,
340000,安徽省,2003,243,51698,,,,,
340000,安徽省,2002,210,51731,,,,,
340000,安徽省,2001,190,49401,,,,,
340000,安徽省,2000,188,54577,,,,,
350000,福建省,2019,7168,290003,5682.2459,138.2822,6822.1888,6.5378,452.3057
350000,福建省,2018,6410,271097,4878.7,92.7,6375.1,13.1,360.2
350000,福建省,2017,6069,276191,4691.1252,137.112,5772.8924,14.3676,368.4334
350000,福建省,2016,5594,260393,3917.1642,127.3243,4750.2011,3.8564,333.0768
350000,福建省,2015,4847,248657,3426.1141,108.4715,4228.8752,2.1674,297.8115
350000,福建省,2014,4138,236822,3146.3467,149.9376,3947.6873,6.6651,315.5649
350000,福建省,2013,3383,217203,2695.2336,79.69927,3399.18472,2.32047,274.98931
350000,福建省,2012,2731,204298,2488.4,69.4,3030.2,3.0,225.4
350000,福建省,2011,2210,177865,1957.9,45.3,2548.9,2.5,201.9
350000,福建省,2010,1743,158242,1422.1,30.2,1929.4,3.1,169.6
350000,福建省,2009,1442,148455,1094.3,20.2,1344.4,0.2,108.4
350000,福建省,2008,1273,107130,826.3,,1227.0,,98.8
350000,福建省,2007,1102,84693,,,,,
350000,福建省,2006,995,75204,,,,,
350000,福建省,2005,1003,79857,,,,,
350000,福建省,2004,1068,76146,,,,,
350000,福建省,2003,769,58646,,,,,
350000,福建省,2002,559,42709,,,,,
350000,福建省,2001,437,44296,,,,,
350000,福建省,2000,368,39279,,,,,
360000,江西省,2019,3446,149917,1993.4947,29.0514,2542.1775,3.3964,295.9525
360000,江西省,2018,3134,148933,1636.3,21.7,2101.2,1.2,200.5
360000,江西省,2017,2894,146993,1557.1253,25.5188,1784.7796,2.1677,226.3909
360000,江西省,2016,2331,138838,1782.8639,27.7807,2046.9476,1.5562,374.6472
360000,江西省,2015,1824,128825,1472.7252,22.1408,1650.5806,1.8603,164.9615
360000,江西省,2014,1392,114184,1245.9177,16.0046,1418.3817,0.5559,142.6664
360000,江西省,2013,1150,102383,1058.05883,9.61252,1223.75439,,123.70741
360000,江西省,2012,1024,91414,952.5,11.1,1000.4,,100.7
360000,江西省,2011,876,78806,653.2,18.2,759.4,0.2,63.8
360000,江西省,2010,738,68394,523.6,4.3,567.2,,44.7
360000,江西省,2009,454,53332,358.9,3.8,453.5,0.2,36.0
360000,江西省,2008,463,59804,310.9,,389.5,,51.5
360000,江西省,2007,350,49166,,,,,
360000,江西省,2006,326,45919,,,,,
360000,江西省,2005,308,43135,,,,,
360000,江西省,2004,298,42430,,,,,
360000,江西省,2003,188,31481,,,,,
360000,江西省,2002,172,27815,,,,,
360000,江西省,2001,149,22154,,,,,
360000,江西省,2000,135,25557,,,,,
370000,山东省,2019,5472,419747,5864.2516,130.6901,6886.6524,6.1484,698.4085
370000,山东省,2018,7404,499907,6493.6,92.8,7717.1,2.2,777.8
370000,山东省,2017,8007,544063,7984.351,76.5849,8918.8151,2.8545,746.5948
370000,山东省,2016,8677,587831,9486.4171,85.4563,10503.9476,3.2975,684.9343
370000,山东省,2015,8705,590896,9021.8284,88.0403,9957.6327,5.7211,685.8434
370000,山东省,2014,8793,604166,8882.1555,117.4129,9957.5545,17.4882,718.1737
370000,山东省,2013,8703,608396,8080.69454,81.95393,9119.21494,4.14005,919.13777
370000,山东省,2012,7253,533783,7061.3,83.2,7580.7,2.9,580.4
370000,山东省,2011,6809,496419,6063.5,61.3,6661.5,3.6,504.4
370000,山东省,2010,6895,541065,4617.3,56.0,5267.3,3.7,417.1
370000,山东省,2009,6160,492363,3394.9,7.6,3951.1,2.7,448.9
370000,山东省,2008,5959,503524,2948.3,,3422.6,,346.8
370000,山东省,2007,3344,411043,,,,,
370000,山东省,2006,2300,323824,,,,,
370000,山东省,2005,1904,280547,,,,,
370000,山东省,2004,1733,244646,,,,,
370000,山东省,2003,1179,220388,,,,,
370000,山东省,2002,841,175736,,,,,
370000,山东省,2001,757,176856,,,,,
370000,山东省,2000,707,176649,,,,,
410000,河南省,2019,6657,375403,3971.1075,80.3009,4981.4509,13.1294,453.8687
410000,河南省,2018,6012,365318,3293.5,40.5,4517.5,0.6,389.9
410000,河南省,2017,7381,434003,4404.1262,62.8696,5157.282,2.0379,414.2424
410000,河南省,2016,7867,472310,4930.2197,77.4816,5693.2381,3.1038,424.3535
410000,河南省,2015,6511,409571,4114.4529,71.7524,4710.0632,2.8426,380.6539
410000,河南省,2014,5710,379884,3735.3087,80.6126,4282.4141,6.0785,422.3091
410000,河南省,2013,4823,346041,3226.45318,87.22662,3569.19451,1.17174,312.49206
410000,河南省,2012,4279,304836,2759.4,62.7,3017.1,1.2,274.7
410000,河南省,2011,4248,297313,2386.8,39.9,2627.5,1.8,239.1
410000,河南省,2010,4415,296437,1920.0,32.4,2072.4,0.2,188.6
410000,河南省,2009,4115,273056,1519.6,12.2,1608.9,0.1,456.5
410000,河南省,2008,4133,277507,1235.2,,1386.2,,159.8
410000,河南省,2007,3345,252124,,,,,
410000,河南省,2006,2970,237884,,,,,
410000,河南省,2005,2195,202820,,,,,
410000,河南省,2004,2454,214604,,,,,
410000,河南省,2003,1341,149221,,,,,
410000,河南省,2002,1372,166763,,,,,
410000,河南省,2001,1167,158977,,,,,
410000,河南省,2000,1200,174430,,,,,
420000,湖北省,2019,5018,301121,5370.1995,76.7464,6262.6787,0.4244,396.061
420000,湖北省,2018,4904,325998,4842.3,65.4,6409.1,1.3,417.1
420000,湖北省,2017,4459,321044,5152.7807,74.9789,5897.8146,1.0941,493.2719
420000,湖北省,2016,5081,336743,6736.8221,667.0526,7477.1192,3.0935,644.6155
420000,湖北省,2015,5139,334585,5198.7544,75.4109,5763.3581,1.3467,641.182
420000,湖北省,2014,5509,353776,5232.7879,84.589,5563.9772,1.1643,982.2581
420000,湖北省,2013,5061,367114,4535.106,93.83608,4987.32968,0.52605,427.20912
420000,湖北省,2012,3310,283810,3500.7,65.1,3865.5,1.4,337.2
420000,湖北省,2011,2609,248554,2531.9,30.0,2992.2,0.9,259.4
420000,湖北省,2010,2284,242360,1902.7,18.9,2206.2,0.1,192.3
420000,湖北省,2009,1190,194222,1280.3,12.4,1517.1,,126.4
420000,湖北省,2008,1011,176581,1145.1,,1307.8,,121.8
420000,湖北省,2007,658,147442,,,,,
420000,湖北省,2006,607,122052,,,,,
420000,湖北省,2005,592,123088,,,,,
420000,湖北省,2004,637,112227,,,,,
420000,湖北省,2003,377,90990,,,,,
420000,湖北省,2002,417,153428,,,,,
420000,湖北省,2001,357,95429,,,,,
420000,湖北省,2000,401,116820,,,,,
430000,湖南省,2019,6596,289433,3784.9009,87.1428,5060.211,0.7533,342.1459
430000,湖南省,2018,5883,293885,3575.8,83.2,4773.1,1.1,348.2
430000,湖南省,2017,5180,264196,4139.8328,87.7059,4965.3278,2.4102,412.1179
430000,湖南省,2016,4670,264319,3906.6298,69.4034,4661.8826,3.0901,525.9671
430000,湖南省,2015,4028,257306,3504.1269,88.033,4227.8097,2.8199,499.4548
430000,湖南省,2014,3688,249022,3182.9838,86.3727,4038.1976,4.0145,428.7209
430000,湖南省,2013,3420,241317,2731.30023,94.02684,3517.80074,1.52816,253.43804
430000,湖南省,2012,2414,65442,2045.3,40.2,2820.5,,174.2
430000,湖南省,2011,1988,175452,1821.5,32.1,2399.3,0.3,160.0
430000,湖南省,2010,1783,169521,1168.3,16.9,1756.9,,102.9
430000,湖南省,2009,1333,133913,848.0,22.7,1324.5,0.1,85.8
430000,湖南省,2008,1337,134494,627.2,,1111.4,,76.6
430000,湖南省,2007,736,128191,,,,,
430000,湖南省,2006,673,124725,,,,,
430000,湖南省,2005,613,91891,,,,,
430000,湖南省,2004,551,88746,,,,,
430000,湖南省,2003,358,76561,,,,,
430000,湖南省,2002,326,61137,,,,,
430000,湖南省,2001,284,56260,,,,,
430000,湖南省,2000,287,59015,,,,,
440000,广东省,2019,8745,680294,11502.3727,437.5415,14168.1133,5.3375,1232.5759
440000,广东省,2018,8224,675995,10641.0,487.4,13403.1,26.9,1214.6
440000,广东省,2017,8954,697034,10745.9478,408.8742,12934.3668,12.9247,1379.0916
440000,广东省,2016,8439,696571,10395.3222,394.8338,12526.7033,57.6863,1168.7102
440000,广东省,2015,7787,654784,9750.5777,365.4302,11293.8016,11.9244,1440.8841
440000,广东省,2014,7535,652313,9306.79,468.6743,10834.9127,15.7073,1761.6743
440000,广东省,2013,6790,615992,8148.49819,406.03273,9464.92563,13.81378,946.49499
440000,广东省,2012,5450,574886,6520.6,326.5,7652.6,19.2,770.6
440000,广东省,2011,5139,529545,6058.0,355.6,6988.2,21.5,656.2
440000,广东省,2010,4613,482138,4968.3,228.1,6099.8,10.4,541.4
440000,广东省,2009,3585,403754,3568.7,130.3,4688.4,7.9,373.3
440000,广东省,2008,3305,381316,3455.2,,4264.6,,410.5
440000,广东省,2007,2305,308363,,,,,
440000,广东省,2006,2127,273377,,,,,
440000,广东省,2005,2141,257898,,,,,
440000,广东省,2004,2052,241176,,,,,
440000,广东省,2003,986,164899,,,,,
440000,广东省,2002,854,144280,,,,,
440000,广东省,2001,797,117322,,,,,
440000,广东省,2000,535,107711,,,,,
450000,广西壮族自治区,2019,2590,130413,1716.1552,29.2538,2013.4772,2.1377,197.705
450000,广西壮族自治区,2018,2402,129146,1524.8,19.7,1789.5,0.5,170.1
450000,广西壮族自治区,2017,2288,130957,1684.3329,26.4682,1929.6345,1.6973,168.1755
450000,广西壮族自治区,2016,1966,120167,1496.3218,40.3984,1732.7315,1.0072,212.4131
450000,广西壮族自治区,2015,1752,115313,1262.3402,36.735,1451.8629,0.368,146.8522
450000,广西壮族自治区,2014,1542,109320,1144.6292,29.1323,1317.9527,0.0024,172.6955
450000,广西壮族自治区,2013,1321,103924,1012.94389,29.1199,1126.97279,,122.84072
450000,广西壮族自治区,2012,1210,100126,898.2,29.5,960.0,,100.8
450000,广西壮族自治区,2011,1004,84952,748.8,22.3,820.7,,87.3
450000,广西壮族自治区,2010,761,71226,598.6,6.2,650.4,0.1,66.7
450000,广西壮族自治区,2009,638,64786,466.3,3.8,568.3,0.2,51.2
450000,广西壮族自治区,2008,623,60210,358.1,,458.5,,39.1
450000,广西壮族自治区,2007,484,52692,,,,,
450000,广西壮族自治区,2006,440,47800,,,,,
450000,广西壮族自治区,2005,421,61870,,,,,
450000,广西壮族自治区,2004,401,48361,,,,,
450000,广西壮族自治区,2003,278,47181,,,,,
450000,广西壮族自治区,2002,234,41288,,,,,
450000,广西壮族自治区,2001,218,45707,,,,,
450000,广西壮族自治区,2000,274,53686,,,,,
460000,海南省,2019,345,31454,681.9335,120.0599,793.5943,,96.0436
460000,海南省,2018,206,26028,522.8,25.3,641.1,,57.3
460000,海南省,2017,206,27299,510.1505,28.831,587.5479,,64.646
460000,海南省,2016,200,28086,444.2749,27.0609,522.6643,,51.8228
460000,海南省,2015,194,26971,416.3642,41.3852,480.6925,,48.4969
460000,海南省,2014,224,28567,465.7601,42.6429,531.3988,0.0012,63.5069
460000,海南省,2013,240,27275,392.50972,29.59526,426.07638,,53.16869
460000,海南省,2012,240,25377,440.4,24.3,470.2,0.6,48.2
460000,海南省,2011,284,22998,388.0,11.9,424.7,,36.7
460000,海南省,2010,291,23276,298.7,7.4,336.2,,27.6
460000,海南省,2009,239,18100,134.0,2.4,202.0,,16.1
460000,海南省,2008,223,16609,179.5,,202.6,,17.6
460000,海南省,2007,135,12234,,,,,
460000,海南省,2006,132,8288,,,,,
460000,海南省,2005,122,6490,,,,,
460000,海南省,2004,129,8668,,,,,
460000,海南省,2003,83,6026,,,,,
460000,海南省,2002,54,4148,,,,,
460000,海南省,2001,40,3622,,,,,
460000,海南省,2000,25,4692,,,,,
500000,重庆市,2019,3261,203704,2905.7533,85.9274,3525.8216,1.032,226.112
500000,重庆市,2018,3203,198651,2796.5,71.2,3349.9,11.5,205.7
500000,重庆市,2017,3483,208586,2965.3112,84.0414,3534.5348,2.7102,233.076
500000,重庆市,2016,3460,216866,3194.3977,63.3441,3912.3002,0.2017,231.0869
