年份,中国从拉丁美洲进口总额,中国从安提瓜和巴布达进口总额,中国从阿根廷进口总额,中国从阿鲁巴岛进口总额,中国从巴哈马进口总额,中国从巴巴多斯进口总额,中国从伯利兹进口总额,中国从玻利维亚进口总额,中国从博内尔进口总额,中国从巴西进口总额,中国从开曼群岛进口总额,中国从智利进口总额,中国从哥伦比亚进口总额,中国从多米尼克进口总额,中国从哥斯达黎加进口总额,中国从古巴进口总额,中国从库腊索岛进口总额,中国从多米尼加共和国进口总额,中国从厄瓜多尔进口总额,中国从法属圭亚那进口总额,中国从格林纳达进口总额,中国从瓜德罗普岛进口总额,中国从危地马拉进口总额,中国从圭亚那进口总额,中国从海地进口总额,中国从洪都拉斯进口总额,中国从牙买加进口总额,中国从马提尼克岛进口总额,中国从墨西哥进口总额,中国从蒙特塞拉特进口总额,中国从尼加拉瓜进口总额,中国从巴拿马进口总额,中国从巴拉圭进口总额,中国从秘鲁进口总额,中国从波多黎各进口总额,中国从萨巴进口总额,中国从圣卢西亚进口总额,中国从圣马丁岛进口总额,中国从圣文森特和格林纳丁斯进口总额,中国从萨尔瓦多进口总额,中国从苏里南进口总额,中国从特立尼达和多巴哥进口总额,中国从特克斯和凯科斯群岛进口总额,中国从乌拉圭进口总额,中国从委内瑞拉进口总额,中国从英属维尔京群岛进口总额,中国从圣其茨-尼维斯进口总额,中国从荷属安地列斯群岛进口总额,中国从拉美其他国家(地区)进口总额
2009,6476879.0,10.0,431724.0,15.0,15.0,223.0,1.0,,,2827692.0,1.0,1291063.0,97930.0,116.0,264648.0,57444.0,,10052.0,76316.0,,3.0,,2333.0,1075.0,288.0,5355.0,2156.0,,389862.0,13.0,324.0,2881.0,2745.0,445130.0,31192.0,,18.0,,,347.0,1191.0,10331.0,,73364.0,438214.0,20.0,4.0,,
2008,7164395.1988,7.549,936134.9629,22.5369,60.8514,141.8197,2.7284,15060.2016,,2986344.2631,,1117281.437,112540.8277,216.4907,227052.0976,90305.7223,,14629.1065,84902.2478,,4.0808,11.3393,1150.2508,1735.9005,747.7344,1614.5947,557.4731,0.8766,369025.4865,2.4128,346.5943,4974.4264,2532.2919,449211.2922,22563.0171,,5.0473,,2619.9458,594.7592,365.9345,2412.5346,,62395.4527,656705.9276,56.0099,14.3387,24.9658,19.219
2007,5111090.1705,,633450.0529,11.4325,1811.8651,113.1438,,5635.5845,,1834183.2778,,1028060.4893,109579.5978,3060.6296,230664.0284,111546.2607,,9984.4056,14119.1352,,4.4668,,4620.9048,1810.5113,633.0297,1608.379,3846.3994,,326329.285,,338.9883,788.6893,1967.5804,433789.0075,13705.0066,,11.52,,,472.8493,305.6853,2053.3006,,34176.1327,302394.57259999996,11.0956,1.0226,,
2006,3417518.9628,,370018.5258,9.9172,6.8018,29.3775,2.0279,4649.4804,,1290949.5161,1.6349,573587.168,26381.7426,818.3871,174727.3688,52831.2618,,9444.5041,8720.2362,,1.9663,,4377.5823,1768.2108,136.4883,1861.7199,35876.7054,2.0714,260710.2793,,76.3147,1430.2343,5366.8927,290784.9844,10322.270299999998,3.0,2.5578,,,389.0864,394.8283,1021.0049,,27000.019300000004,263795.6048,,,16.8794,4.1445
2005,2678527.0,0.0,379921.0,14.0,19.0,21.0,21.0,3105.0,,999252.0,0.0,499154.0,20515.0,95.0,92208.0,23696.0,104.0,2910.0,4272.0,6.0,0.0,0.0,9469.0,757.0,27.0,1417.0,22100.0,0.0,222530.0,0.0,1417.0,2220.0,5855.0,227799.0,11959.0,0.0,3271.0,0.0,0.0,1050.0,732.0,1866.0,2.0,17333.0,123412.0,0.0,0.0,0.0,0.0
2004,2176253.7,0.0,325487.4,6.0,69.5,24.1,0.0,2954.8,,867286.1,0.0,366672.4,17550.7,175.3,64129.0,19494.3,55.6,1559.0,9221.7,1.6,0.0,20.9,4290.7,117.5,26.0,1166.3,26984.6,0.0,213984.0,0.0,295.0,1491.5,5828.9,152289.6,9132.2,0.0,2.7,0.0,0.0,378.6,96.1,367.6,2.2,11030.1,73794.3,267.0,0.0,0.0,0.0
2003,1492938.0,0.0,272908.0,2.5,78.1,4.5,98.8,688.0,,584229.0,0.0,224816.0,6045.9,75.8,56090.0,12050.7,20.7,351.4,3972.5,1.3,30.6,0.0,182.1,30.0,2.0,337.9,10546.1,0.0,167674.0,54.1,36.5,2862.0,1273.9,76001.0,7807.0,0.0,0.7,0.0,0.0,205.6,1608.9,1024.3,1.6,7575.0,54216.0,0.0,0.0,36.3,0.0
2002,833616.0,,123946.0,4.0,6.0,13.0,16.0,1208.0,,300302.0,,156709.0,2912.0,74.0,18449.0,11569.0,,181.0,1357.0,,,,58.0,400.0,,77.0,4880.0,,111496.0,,3.0,372.0,787.0,73161.0,2346.0,,,,2.0,190.0,257.0,481.0,,7807.0,14496.0,56.0,,,1.0
2001,670215.0,,128102.0,3.0,2.0,6.0,,952.0,,234734.0,,130337.0,2693.0,90.0,2651.0,11405.0,,22.0,2810.0,,,,21.0,237.0,3.0,11.0,3393.0,,76110.0,,9.0,195.0,283.0,49804.0,1743.0,,,,,43.0,408.0,7.0,,9553.0,14578.0,,1.0,,9.0
2000,541028.0,,92999.0,,,1.0,,1216.0,,162144.0,,133851.0,3216.0,246.0,,8114.0,,89.0,8013.0,,,,460.0,,,11.0,2956.0,,48828.0,,35.0,102.0,322.0,56026.0,1142.0,,,,,49.0,81.0,44.0,,10134.0,9478.0,,,,
