年份,境内上市公司数(A、B股),上市股票数目,A股股票数目,B股股票数目,股票总发行股本,A股发行股本,B股发行股本,流通股本,A股流通股本,B股流通股本,股票市价总值,A股市价总值,B股市价总值,股票流通市值,A股流通市值,B股流通市值,股票成交金额,A股成交金额,B股成交金额,总成交股数,A股成交股数,B股成交股数,上证综合指数最高,上证综合指数最低,上证综合指数收盘,深证综合指数最高,深证综合指数最低,深证综合指数收盘
2009,1718,1804,1696,108,20606.26,20332.77,273.49,14200.19,13928.17,271.48,243939.12,242127.01,1812.11,151258.65,149455.96,1802.69,535987.0,533889,2097,51106.99,50648.91,458.09,3478.01,1844.09,3277.14,1240.64,557.69,1201.34
2008,1625,1711,1602,109,18900.12,18629.77,270.35,6964.97,6696.76,268.21,121366.43,120566.55,799.88,45213.9,44419.11,794.79,267112.66,265890.43,1222.23,24131.39,23912.78,218.62,5522.78,1664.93,1820.81,1584.4,452.33,553.3
2007,1550,1636,1527,109,17000.4501,16746.6245,253.8356,4933.6429,4682.7699,250.873,327141.0,324587.74,2553.15,93064.0,90526.52,2537.83,460556.2335,454771.2957,5784.9278,36403.748714,35683.925785,719.822929,6124.04,2541.53,5261.56,1567.74,547.89,1447.02
2006,1434,1520,1411,109,12683.99,12445.65,238.34,3444.5,3215.54,228.96,89403.89,88113.96,1289.94,25003.64,23731.26,1272.38,90468.89,89217.11,1251.778,16145.23,15808.62,336.61,2698.9,1161.91,2675.47,552.93,278.99,550.59
2005,1381,1467,1358,109,7629.51,6936.08,227.47,2914.77,2280.8385,218.0534,32430.2814,31810.55,619.73,10630.5143,10028.44,602.08,31664.7762,31099.38,565.4,6623.732,6470.87,152.86,1328.53,998.23,1161.06,333.2787,237.1837,278.75
2004,1377,1463,1353,110,7149.43,6505.83,208.91,2577.18,1996.65,197.5,37055.5682,36309.35,746.22,11688.6395,10998.47,690.17,42333.9472,41576.19,757.76,5827.7329,5672.91,154.83,1783.01,1259.43,1266.5,470.55,315.17,315.81
2003,1287,1372,1261,111,6428.46,5808.31,189.62,2269.92231608,1717.93,179.39,42457.716,41520.48,937.23,13178.517,12305.92,872.6,32115.27,31269.96,845.3,4163.084,3992.28,170.8,1649.6,1307.4,1497.04,449.42,350.74,378.63
2002,1224,1310,1199,111,5875.45,5283.64,179.34,2036.90271945,1508.43,171.51,38329.1286,37526.56,802.57,12484.55,11718.75,765.81,27990.4551,27142.04,848.41,3016.1949,2859.49,156.7,1748.89,1339.2,1357.65,512.38,371.79,388.76
2001,1160,1240,1130,110,5218.01,4650.45,187.9,1813.17,1315.21,165.67,43522.2039,42245.56,1276.65,14463.1700683457,13344.9,1118.28,38305.18,33242.04,5063.13,3152.2876227,2463.41,688.88,2245.44,1514.86,1645.97,664.85,439.36,475.94
2000,1088,1174,1010,114,3791.71,3439.6,173.79,1354.26370679,1078.33,154.99,48090.94433,47455.75,635.19,16087.52,15524.21,563.31,60826.6499,60278.67,547.97,4758.38211587,4558.02,200.36,2125.72,1361.21,2073.48,654.37,414.69,635.73
