年份,CPCI-S收录科技论文篇数,CPCI-S收录数学科技论文篇数,CPCI-S收录力学科技论文篇数,CPCI-S收录信息、系统科学科技论文篇数,CPCI-S收录物理学科技论文篇数,CPCI-S收录化学科技论文篇数,CPCI-S收录天文学科技论文篇数,CPCI-S收录地学科技论文篇数,CPCI-S收录生物学科技论文篇数,CPCI-S收录预防医学与卫生学科技论文篇数,CPCI-S收录基础医学科技论文篇数,CPCI-S收录药学科技论文篇数,CPCI-S收录临床医学科技论文篇数,CPCI-S收录中医学科技论文篇数,CPCI-S收录军事医学与特种医学科技论文篇数,CPCI-S收录农学科技论文篇数,CPCI-S收录林学科技论文篇数,CPCI-S收录畜牧、兽医科学科技论文篇数,CPCI-S收录水产学科技论文篇数,CPCI-S收录测绘科学技术科技论文篇数,CPCI-S收录材料科学科技论文篇数,CPCI-S收录工程与技术基础学科科技论文篇数,CPCI-S收录矿山工程技术科技论文篇数,CPCI-S收录能源科学技术科技论文篇数,CPCI-S收录冶金、金属学科技论文篇数,CPCI-S收录机械、仪表科技论文篇数,CPCI-S收录动力与电气科技论文篇数,CPCI-S收录核科学技术科技论文篇数,CPCI-S收录电子、通讯与自动控制科技论文篇数,CPCI-S收录计算技术科技论文篇数,CPCI-S收录化工科技论文篇数,CPCI-S收录轻工、纺织科技论文篇数,CPCI-S收录食品科技论文篇数,CPCI-S收录土木建筑科技论文篇数,CPCI-S收录水利科技论文篇数,CPCI-S收录交通运输科技论文篇数,CPCI-S收录航空航天科技论文篇数,CPCI-S收录环境科技论文篇数,CPCI-S收录安全科学技术科技论文篇数,CPCI-S收录管理科技论文篇数,CPCI-S收录其他学科科技论文篇数
2009,52159.0,611.0,31.0,,1122.0,520.0,66.0,522.0,888.0,49.0,630.0,5.0,98.0,,,105.0,14.0,,2.0,,2256.0,314.0,1.0,1308.0,322.0,1154.0,,79.0,12605.0,21567.0,58.0,,66.0,1791.0,220.0,90.0,190.0,,840.0,595.0,4040.0
2008,59299.0,1320.0,530.0,1117.0,2272.0,1150.0,195.0,1738.0,350.0,14.0,1149.0,2.0,126.0,,,695.0,14.0,1.0,6.0,3.0,3323.0,3.0,212.0,1087.0,396.0,916.0,233.0,41.0,19049.0,14810.0,133.0,138.0,13.0,1950.0,123.0,50.0,716.0,2327.0,115.0,2907.0,75.0
2007,41392.0,2062.0,473.0,447.0,1583.0,493.0,86.0,1046.0,812.0,203.0,840.0,91.0,546.0,,,204.0,1.0,,17.0,121.0,3305.0,1022.0,522.0,314.0,500.0,912.0,739.0,121.0,5134.0,16183.0,41.0,98.0,59.0,337.0,8.0,16.0,81.0,341.0,483.0,2144.0,7.0
2006,35461.0,637.0,204.0,848.0,2192.0,1047.0,123.0,1131.0,355.0,14.0,954.0,64.0,707.0,,187.0,103.0,6.0,1.0,7.0,60.0,1247.0,658.0,160.0,73.0,238.0,487.0,1286.0,124.0,7872.0,9762.0,255.0,2.0,16.0,1534.0,50.0,225.0,296.0,752.0,86.0,1211.0,487.0
2005,29374.0,241.0,353.0,1553.0,1561.0,1300.0,88.0,829.0,449.0,21.0,376.0,22.0,1284.0,2.0,,101.0,30.0,3.0,21.0,2591.0,1975.0,285.0,18.0,290.0,355.0,900.0,733.0,126.0,4529.0,5834.0,273.0,115.0,32.0,334.0,368.0,303.0,13.0,512.0,918.0,635.0,1.0
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
