省份编码,省份,年份,国内专利申请受理量(项),国内发明专利申请受理量(项),国内实用新型专利申请受理量(项),国内外观设计专利申请受理量(项),国内专利申请授权量(项),国内发明专利申请授权量(项),国内实用新型专利申请授权量(项),国内外观设计专利申请授权量(项)
130000,河北省,2006,7220,1597,3894,1729,4131,407,2699,1025
130000,河北省,2005,6401,1273,3618,1510,3585,371,2246,968
130000,河北省,2004,5647,979,3258,1410,3407,357,2064,986
130000,河北省,2003,5623,986,3272,1365,3572,275,2197,1100
130000,河北省,2002,5390,889,3103,1398,3353,190,2018,1145
130000,河北省,2001,4695,651,2810,1234,2791,197,1837,757
130000,河北省,2000,3848,601,2429,818,2812,221,1917,674
140000,山西省,2019,31705,8424,20938,2343,16598,2300,12758,1540
140000,山西省,2018,27106,9395,15788,1923,15060,2284,11258,1518
140000,山西省,2017,20697,7379,11719,1599,11311,2382,7730,1199
140000,山西省,2016,20031,8208,10079,1744,10062,2411,6532,1119
140000,山西省,2015,14948,5680,7911,1357,10020,2432,6037,1551
140000,山西省,2014,15687,6107,7055,2525,8371,1559,5569,1243
140000,山西省,2013,18859,6025,7527,5307,8565,1332,5708,1525
140000,山西省,2012,16786,5417,6735,4634,7196,1297,4689,1210
140000,山西省,2011,12769,4602,5238,2929,4974,1114,3036,824
140000,山西省,2010,7927,3046,3533,1348,4752,739,3096,917
140000,山西省,2009,6822,2422,2791,1609,3227,603,1967,657
140000,山西省,2008,5386,2053,2283,1050,2279,420,1559,300
140000,山西省,2007,3333,1212,1615,506,1992,307,1265,420
140000,山西省,2006,2824,965,1341,518,1421,314,890,217
140000,山西省,2005,1985,610,1036,339,1220,280,695,245
140000,山西省,2004,1949,571,1013,365,1189,295,636,258
140000,山西省,2003,1743,480,951,312,1175,276,662,237
140000,山西省,2002,1630,473,928,229,934,161,597,176
140000,山西省,2001,1473,350,857,266,1047,132,669,246
140000,山西省,2000,1475,338,861,276,968,173,627,168
150000,内蒙古自治区,2019,21069,4889,13895,2285,11059,911,8768,1380
150000,内蒙古自治区,2018,16426,3757,11051,1618,9625,864,7530,1231
150000,内蒙古自治区,2017,11701,2845,7468,1388,6271,848,4453,970
150000,内蒙古自治区,2016,10672,2878,6401,1393,5846,871,3981,994
150000,内蒙古自治区,2015,8876,2254,5609,1013,5522,797,3757,968
150000,内蒙古自治区,2014,6359,1924,3562,873,4031,458,2908,665
150000,内蒙古自治区,2013,6388,1935,3213,1240,3836,549,2494,793
150000,内蒙古自治区,2012,4732,1492,2566,674,3084,569,1894,621
150000,内蒙古自治区,2011,3841,1267,2034,540,2262,364,1415,483
150000,内蒙古自治区,2010,2912,932,1406,574,2096,262,1276,558
150000,内蒙古自治区,2009,2484,719,1266,499,1494,178,762,554
150000,内蒙古自治区,2008,2221,695,980,546,1328,140,866,322
150000,内蒙古自治区,2007,2015,565,966,484,1313,120,788,405
150000,内蒙古自治区,2006,1946,430,915,601,978,108,543,327
150000,内蒙古自治区,2005,1455,307,708,440,845,98,452,295
150000,内蒙古自治区,2004,1457,286,699,472,831,108,437,286
150000,内蒙古自治区,2003,1393,244,713,436,817,80,423,314
150000,内蒙古自治区,2002,1202,233,643,326,679,53,428,198
150000,内蒙古自治区,2001,1087,185,662,240,743,73,440,230
150000,内蒙古自治区,2000,1138,234,602,302,775,60,530,185
210000,辽宁省,2019,69732,22592,41694,5446,40037,7501,28237,4299
210000,辽宁省,2018,65686,25476,34534,5676,35149,7176,24088,3885
210000,辽宁省,2017,49871,20500,25456,3915,26495,7708,15821,2966
210000,辽宁省,2016,52603,25561,22996,4046,25104,6731,15515,2858
210000,辽宁省,2015,42153,19332,19554,3267,25182,6569,15706,2907
210000,辽宁省,2014,37860,18417,16404,3039,19525,3975,13432,2118
210000,辽宁省,2013,45996,25292,18077,2627,21656,3830,15582,2244
210000,辽宁省,2012,41152,19740,17530,3882,21223,3973,14852,2398
210000,辽宁省,2011,37102,14658,17715,4729,19176,3164,13584,2428
210000,辽宁省,2010,34216,9884,14994,9338,17093,2357,12067,2669
210000,辽宁省,2009,25803,7125,12633,6045,12198,1993,8585,1620
210000,辽宁省,2008,20893,6493,10348,4052,10665,1516,8256,893
210000,辽宁省,2007,19518,5516,8012,5990,9615,1220,7035,1360
210000,辽宁省,2006,17052,4368,8594,4090,7399,1063,5277,1059
210000,辽宁省,2005,15672,3267,8192,4213,6195,942,4235,1018
210000,辽宁省,2004,14695,2907,7494,4294,5749,911,3752,1086
210000,辽宁省,2003,13545,2584,7859,3102,5656,644,3905,1107
210000,辽宁省,2002,9851,1619,6388,1844,4551,385,3260,906
210000,辽宁省,2001,7514,1408,5169,937,4448,346,3470,632
210000,辽宁省,2000,7151,1299,4970,882,4842,458,3703,681
220000,吉林省,2019,31052,11269,17280,2503,15579,3006,10926,1647
220000,吉林省,2018,27034,10530,14520,1984,13885,2868,9493,1524
220000,吉林省,2017,20450,7780,10964,1706,11090,3057,6673,1360
220000,吉林省,2016,18922,7537,9647,1738,9995,2428,6179,1388
220000,吉林省,2015,14800,6154,7345,1301,8878,2240,5638,1000
220000,吉林省,2014,11933,5288,5658,987,6696,1434,4533,729
220000,吉林省,2013,10751,4549,5141,1061,6219,1496,3914,809
220000,吉林省,2012,9171,3913,4213,1045,5930,1583,3472,875
220000,吉林省,2011,8196,3334,3941,921,4920,1202,2993,725
220000,吉林省,2010,6445,2789,2993,663,4343,785,2806,752
220000,吉林省,2009,5934,2166,2912,856,3275,719,1931,625
220000,吉林省,2008,5536,1895,2302,1339,2984,574,2005,405
220000,吉林省,2007,5251,1635,2181,1435,2855,454,1943,458
220000,吉林省,2006,4578,1335,2241,1002,2319,449,1466,404
220000,吉林省,2005,4101,1290,1958,853,2023,391,1255,377
220000,吉林省,2004,3657,1048,1951,658,2145,451,1179,515
220000,吉林省,2003,4267,1172,2268,827,1690,233,1049,408
220000,吉林省,2002,3413,1004,1670,739,1507,157,902,448
220000,吉林省,2001,2627,639,1533,455,1443,138,988,317
220000,吉林省,2000,2501,585,1460,456,1650,154,1142,354
230000,黑龙江省,2019,37313,13125,20406,3782,19989,4144,13308,2537
230000,黑龙江省,2018,34582,12017,19530,3035,19435,4309,13066,2060
230000,黑龙江省,2017,30958,10607,17963,2388,18221,4947,11395,1879
230000,黑龙江省,2016,35293,13177,18856,3260,18046,4345,11707,1994
230000,黑龙江省,2015,34611,14663,16914,3034,18943,4024,12502,2417
230000,黑龙江省,2014,31856,13468,14557,3831,15412,2454,11036,1922
230000,黑龙江省,2013,32264,10338,16118,5808,19819,2238,12435,5146
230000,黑龙江省,2012,30610,7068,13359,10183,20268,2418,9689,8161
230000,黑龙江省,2011,23432,5063,9704,8665,12236,1953,5855,4428
230000,黑龙江省,2010,10269,4070,4815,1384,6780,1512,4391,877
230000,黑龙江省,2009,9014,3384,4357,1273,5079,1142,3212,725
230000,黑龙江省,2008,7974,3047,3877,1050,4574,740,3335,499
230000,黑龙江省,2007,7242,2386,3706,1150,4303,668,3079,556
230000,黑龙江省,2006,6535,1911,3418,1206,3622,565,2488,569
230000,黑龙江省,2005,6050,1598,3293,1159,2906,407,2067,432
230000,黑龙江省,2004,4919,1325,2932,662,2809,326,1997,486
230000,黑龙江省,2003,4972,1151,3173,648,2794,229,2097,468
230000,黑龙江省,2002,4392,939,2888,565,2083,138,1541,404
230000,黑龙江省,2001,3670,711,2380,579,1870,145,1411,314
230000,黑龙江省,2000,3106,666,2019,421,2252,208,1663,381
310000,上海市,2019,173586,71398,80604,21584,100587,22735,61640,16212
310000,上海市,2018,150233,62755,69564,17914,92460,21331,55581,15548
310000,上海市,2017,131740,54630,60925,16185,72806,20681,39942,12183
310000,上海市,2016,119937,54339,51836,13762,64230,20086,34101,10043
310000,上海市,2015,100006,46976,41736,11294,60623,17601,33131,9891
310000,上海市,2014,81664,39133,33264,9267,50488,11614,30704,8170
310000,上海市,2013,86450,39157,35584,11709,48680,10644,29859,8177
310000,上海市,2012,82682,37139,33166,12377,51508,11379,29543,10586
310000,上海市,2011,80215,32142,30926,17147,47960,9160,23351,15449
310000,上海市,2010,71196,26165,23188,21843,48215,6867,21821,19527
310000,上海市,2009,62241,22012,19650,20579,34913,5997,13158,15758
310000,上海市,2008,52835,17831,14325,20679,24468,4258,11973,8237
310000,上海市,2007,47205,15212,12112,19881,24481,3259,9718,11504
310000,上海市,2006,36042,12050,9881,14111,16602,2644,6739,7219
310000,上海市,2005,32741,10441,8711,13589,12603,1997,4437,6169
310000,上海市,2004,20471,6737,6131,7603,10625,1687,4040,4898
310000,上海市,2003,22374,5936,5992,10446,16671,880,3844,11947
310000,上海市,2002,19970,3968,4952,11050,6695,341,2805,3549
310000,上海市,2001,12777,3268,3610,5899,5371,242,2220,2909
310000,上海市,2000,11337,4713,2760,3864,4050,304,2083,1663
320000,江苏省,2019,594249,172409,373495,48345,314395,39681,233114,41600
320000,江苏省,2018,600306,198801,294090,107415,306996,42019,200333,64644
320000,江苏省,2017,514402,187005,219503,107894,227187,41518,126482,59187
320000,江苏省,2016,512429,184632,192636,135161,231033,40952,117827,72254
320000,江苏省,2015,428337,154608,154281,119448,250290,36015,119513,94762
320000,江苏省,2014,421907,146660,124980,150267,200032,19671,100810,79551
320000,江苏省,2013,504500,141259,128898,234343,239645,16790,98246,124609
320000,江苏省,2012,472656,110091,107091,255474,269944,16242,77944,175758
320000,江苏省,2011,348381,84678,81097,182606,199814,11043,53413,135358
320000,江苏省,2010,235873,50298,51436,134139,138382,7210,41161,90011
320000,江苏省,2009,174329,31779,36122,106428,87286,5322,21939,60025
320000,江苏省,2008,128002,22601,23379,82022,44438,3508,16029,24901
320000,江苏省,2007,88950,16578,16586,55786,31770,2220,12944,16606
320000,江苏省,2006,53267,10214,13386,29667,19352,1631,8849,8872
320000,江苏省,2005,34811,6582,11071,17158,13580,1241,6483,5856
320000,江苏省,2004,23532,4423,9405,9704,11330,1026,5474,4830
320000,江苏省,2003,18393,3279,8228,6886,9840,626,5381,3833
320000,江苏省,2002,13075,1940,7002,4133,7595,334,4304,2957
320000,江苏省,2001,10352,1394,5680,3278,6158,244,3738,2176
320000,江苏省,2000,8211,1160,4590,2461,6432,341,4095,1996
330000,浙江省,2019,435883,112981,218628,104274,285342,33964,168340,83038
330000,浙江省,2018,455590,143081,219206,93303,284621,32550,172451,79620
330000,浙江省,2017,377115,98975,191372,86768,213805,28742,114311,70752
330000,浙江省,2016,393147,93254,199244,100649,221456,26576,123744,71136
330000,浙江省,2015,307264,67674,150172,89418,234983,23345,124465,87173
330000,浙江省,2014,261435,52406,116011,93018,188544,13372,99508,75664
330000,浙江省,2013,294014,42744,127122,124148,202350,11139,106238,84973
330000,浙江省,2012,249373,33265,108599,107509,188463,11571,84826,92066
330000,浙江省,2011,177066,24745,75860,76461,130190,9135,56030,65025
330000,浙江省,2010,120742,18027,50231,52484,114643,6410,47617,60616
330000,浙江省,2009,108482,15646,40364,52472,79945,4818,25295,49832
330000,浙江省,2008,89931,12063,25134,52734,52953,3269,20000,29684
330000,浙江省,2007,68933,9532,19270,40131,42069,2213,16108,23748
330000,浙江省,2006,52980,8333,15940,28707,30968,1424,10503,19041
330000,浙江省,2005,43221,6776,12723,23722,19056,1110,6778,11168
330000,浙江省,2004,25294,3578,9021,12695,15249,785,5492,8972
330000,浙江省,2003,21463,2751,7750,10962,14402,429,4947,9026
330000,浙江省,2002,17265,1843,6390,9032,10479,188,3860,6431
330000,浙江省,2001,12828,1093,5216,6519,8312,174,3549,4589
330000,浙江省,2000,10316,859,4439,5018,7495,184,3439,3872
340000,安徽省,2019,166871,62743,90655,13473,82524,14958,57511,10055
340000,安徽省,2018,207428,108782,86914,11732,79747,14846,55445,9456
340000,安徽省,2017,175872,93527,72333,10012,58213,12440,38304,7469
340000,安徽省,2016,172552,95963,67031,9558,60983,15292,38773,6918
340000,安徽省,2015,127709,68314,51559,7836,59039,11180,41094,6765
340000,安徽省,2014,99160,49960,41889,7311,48380,5184,36748,6448
340000,安徽省,2013,93353,34857,45148,13348,48849,4241,36003,8605
340000,安徽省,2012,74888,19391,36641,18856,43321,3066,27191,13064
340000,安徽省,2011,48556,10982,23209,14365,32681,2026,16128,14527
340000,安徽省,2010,47128,6396,17367,23365,16012,1111,8839,6062
340000,安徽省,2009,16386,4465,7065,4856,8594,795,4226,3573
340000,安徽省,2008,10409,2729,3988,3692,4346,489,2512,1345
340000,安徽省,2007,6070,1602,2554,1914,3413,317,2003,1093
340000,安徽省,2006,4679,1274,2083,1322,2235,272,1308,655
340000,安徽省,2005,3516,903,1715,898,1939,238,1072,629
340000,安徽省,2004,2943,658,1597,688,1607,150,972,485
340000,安徽省,2003,2676,532,1516,628,1610,139,968,503
340000,安徽省,2002,2312,367,1287,658,1419,99,813,507
340000,安徽省,2001,2045,296,1214,535,1278,71,826,381
340000,安徽省,2000,1877,301,1080,496,1482,104,894,484
350000,福建省,2019,153133,30019,87345,35769,98955,8963,61530,28462
350000,福建省,2018,166610,37252,96220,33138,102622,9858,67822,24942
350000,福建省,2017,128079,26456,76724,24899,68304,8718,39608,19978
350000,福建省,2016,130376,27041,78176,25159,67142,7170,42110,17862
350000,福建省,2015,83146,17663,44339,21144,61621,5730,34086,21805
350000,福建省,2014,58075,12529,25410,20136,37857,3426,21013,13418
350000,福建省,2013,53701,9884,25769,18048,37511,2941,22152,12418
350000,福建省,2012,42773,8492,22081,12200,30497,2977,17708,9812
350000,福建省,2011,32325,6896,16688,8741,21857,1945,12697,7215
350000,福建省,2010,21994,5117,10846,6031,18063,1224,9664,7175
350000,福建省,2009,17559,3842,7844,5873,11282,824,4939,5519
350000,福建省,2008,13181,2701,5141,5339,7937,530,3921,3486
350000,福建省,2007,11341,2170,3878,5293,7761,336,3323,4102
350000,福建省,2006,10351,1437,3445,5469,6412,310,2578,3524
350000,福建省,2005,9460,1202,3182,5076,5147,242,1793,3112
350000,福建省,2004,7498,850,2524,4124,4758,160,1776,2822
350000,福建省,2003,7236,797,2554,3885,5377,137,1658,3582
350000,福建省,2002,6522,562,2233,3727,4001,63,1306,2632
350000,福建省,2001,4971,361,1756,2854,3296,82,1107,2107
350000,福建省,2000,4211,377,1516,2318,3003,93,1074,1836
360000,江西省,2019,91474,14101,53552,23821,59140,2744,37564,18832
360000,江西省,2018,86001,14519,49843,21639,52819,2524,34796,15499
360000,江西省,2017,70591,11507,39496,19588,33029,2238,17613,13178
360000,江西省,2016,60494,8202,32631,19661,31472,1914,17939,11619
360000,江西省,2015,36936,5722,18620,12594,24161,1639,13408,9114
360000,江西省,2014,25594,4688,11596,9310,13831,1033,7637,5161
360000,江西省,2013,16938,3931,7818,5189,9970,923,5913,3134
360000,江西省,2012,12458,3023,6132,3303,7985,892,4734,2359
360000,江西省,2011,9673,2796,4698,2179,5550,679,3088,1783
360000,江西省,2010,6307,1968,2947,1392,4349,411,2588,1350
360000,江西省,2009,5224,1502,2439,1283,2915,386,1515,1014
360000,江西省,2008,3746,1016,1726,1004,2295,218,1520,557
360000,江西省,2007,3548,1012,1658,878,2069,176,1316,577
360000,江西省,2006,3171,823,1551,797,1536,157,896,483
360000,江西省,2005,2815,713,1280,822,1361,142,717,502
360000,江西省,2004,2685,663,1152,870,1169,105,625,439
360000,江西省,2003,2434,832,1071,531,1238,97,685,456
360000,江西省,2002,2037,391,971,675,1044,63,525,456
360000,江西省,2001,1778,273,878,627,999,77,540,382
360000,江西省,2000,1557,267,806,484,1072,67,690,315
370000,山东省,2019,263211,69350,166858,27003,146481,20652,106429,19400
370000,山东省,2018,231585,72764,135461,23360,132382,20338,94249,17795
370000,山东省,2017,204859,67772,118252,18835,100522,19090,67005,14427
370000,山东省,2016,212911,88359,106100,18452,98093,19404,66068,12621
370000,山东省,2015,193220,93475,85872,13873,98101,16881,68776,12444
370000,山东省,2014,158619,77298,69323,11998,72818,10538,53555,8725
370000,山东省,2013,155170,67642,73862,13666,76976,8913,58938,9125
370000,山东省,2012,128614,40381,69170,19063,75496,7453,59084,8959
370000,山东省,2011,109599,25623,63004,20972,58844,5856,43443,9545
370000,山东省,2010,80856,17259,43441,20156,51490,4106,36391,10993
370000,山东省,2009,66857,13983,32091,20783,34513,2865,22635,9013
370000,山东省,2008,60247,13714,25562,20971,26688,1845,18785,6058
370000,山东省,2007,46849,8795,19106,18948,22821,1435,15356,6030
370000,山东省,2006,38284,7237,15583,15464,15937,1092,10389,4456
370000,山东省,2005,28835,4801,13100,10934,10743,903,6502,3338
370000,山东省,2004,18388,3230,9385,5773,9733,788,6028,2917
370000,山东省,2003,15794,2596,9186,4012,9067,580,5770,2717
370000,山东省,2002,12856,1682,7884,3290,7293,322,4700,2271
370000,山东省,2001,11170,1373,6484,3313,6725,333,4576,1816
370000,山东省,2000,10019,1245,5731,3043,6962,363,4627,1972
410000,河南省,2019,144010,30260,96203,17547,86247,6991,65341,13915
410000,河南省,2018,154381,46868,89620,17893,82318,8339,59417,14562
410000,河南省,2017,119240,35625,66803,16812,55407,7914,35822,11671
410000,河南省,2016,94669,28582,51358,14729,49145,6811,32197,10137
410000,河南省,2015,74373,21338,40778,12257,47766,5384,32592,9790
410000,河南省,2014,62434,19646,30716,12072,33366,3493,23539,6334
410000,河南省,2013,55920,15580,29420,10920,29482,3173,21153,5156
410000,河南省,2012,43442,10910,23594,8938,26791,3182,18680,4929
410000,河南省,2011,34076,8833,19120,6123,19259,2462,13032,3765
410000,河南省,2010,25149,6408,13856,4885,16539,1498,11048,3993
410000,河南省,2009,19589,4952,9912,4725,11425,1129,6630,3666
410000,河南省,2008,19090,4954,8167,5969,9133,668,5317,3148
410000,河南省,2007,14916,2875,5571,6470,6998,563,4517,1918
410000,河南省,2006,11538,2404,5376,3758,5242,450,3260,1532
410000,河南省,2005,8981,1703,4594,2684,3748,356,2304,1088
410000,河南省,2004,6318,1213,3448,1657,3318,306,2117,895
410000,河南省,2003,5261,1025,3219,1017,2961,256,1983,722
410000,河南省,2002,4441,876,2780,785,2590,149,1869,572
410000,河南省,2001,4093,744,2688,661,2582,171,1896,515
410000,河南省,2000,3823,655,2551,617,2766,209,2113,444
420000,湖北省,2019,141321,47450,81197,12674,73940,14178,50159,9603
420000,湖北省,2018,124535,50664,62754,11117,64106,11393,44350,8363
420000,湖北省,2017,110234,51569,49744,8921,46369,10880,28867,6622
420000,湖北省,2016,95157,43789,42181,9187,41822,8517,27209,6096
420000,湖北省,2015,74240,30204,35676,8360,38781,7766,25298,5717
420000,湖北省,2014,59050,22536,27829,8685,28290,4855,19801,3634
420000,湖北省,2013,50816,18189,26163,6464,28760,4052,19655,5053
420000,湖北省,2012,51316,14640,24078,12598,24475,4050,15876,4549
420000,湖北省,2011,42510,10327,17409,14774,19035,3160,11147,4728
420000,湖北省,2010,31311,7411,12791,11109,17362,2025,10431,4906
420000,湖北省,2009,27206,6065,10579,10562,11357,1478,6285,3594
420000,湖北省,2008,21147,4616,8793,7738,8374,1152,5732,1490
420000,湖北省,2007,17376,3705,7168,6503,6616,886,4400,1330
420000,湖北省,2006,14576,2827,5745,6004,4734,855,3031,848
420000,湖北省,2005,11534,2038,4835,4661,3860,733,2238,889
420000,湖北省,2004,7960,1674,3953,2333,3280,744,1966,570
420000,湖北省,2003,6635,1627,3406,1602,2871,420,1859,592
420000,湖北省,2002,4960,1179,2904,877,2209,192,1475,542
420000,湖北省,2001,4322,1086,2397,839,2204,186,1513,505
420000,湖北省,2000,3486,771,2102,613,2198,156,1573,469
430000,湖南省,2019,106113,39104,48462,18547,54685,8479,32699,13507
430000,湖南省,2018,94503,35414,43361,15728,48957,8261,29132,11564
430000,湖南省,2017,77934,31365,33073,13496,37916,7909,20337,9670
430000,湖南省,2016,67779,25524,29635,12620,34050,6967,18452,8631
430000,湖南省,2015,54501,19499,23641,11361,34075,6776,18467,8832
430000,湖南省,2014,44194,14474,19248,10472,26637,4160,15967,6510
430000,湖南省,2013,41336,11938,18327,11071,24392,3613,15205,5574
430000,湖南省,2012,35709,9974,16208,9527,23212,3353,13274,6585
430000,湖南省,2011,29516,8774,13598,7144,16064,2606,8732,4726
430000,湖南省,2010,22381,6438,9601,6342,13873,1920,7861,4092
430000,湖南省,2009,15948,4416,7075,4457,8309,1752,4218,2339
430000,湖南省,2008,14016,5335,4872,3809,6133,1196,3446,1491
430000,湖南省,2007,11233,3670,4158,3405,5687,735,3438,1514
430000,湖南省,2006,10249,3578,4142,2529,5608,581,2540,2487
430000,湖南省,2005,8763,2594,3730,2439,3659,533,2137,989
430000,湖南省,2004,7693,1734,3301,2658,3281,436,1801,1044
430000,湖南省,2003,6054,1492,3124,1438,3175,346,1888,941
430000,湖南省,2002,4859,1013,2788,1058,2347,158,1600,589
430000,湖南省,2001,4292,906,2572,814,2401,166,1730,505
430000,湖南省,2000,4117,814,2465,838,2555,197,1759,599
440000,广东省,2019,807700,203311,369143,235246,527390,59742,282741,184907
440000,广东省,2018,793819,216469,367938,209412,478082,53259,268508,156315
440000,广东省,2017,627834,182639,283564,161631,332652,45740,169017,117895
440000,广东省,2016,505667,155581,203609,146477,259032,38626,118157,102249
440000,广东省,2015,355939,103941,135717,116281,241176,33477,105254,102445
440000,广东省,2014,278358,75147,96144,107067,179953,22276,83202,74475
440000,广东省,2013,264265,68990,93592,101683,170430,20084,77503,72843
440000,广东省,2012,229514,60448,78731,90335,153598,22153,65946,65499
440000,广东省,2011,196272,52012,67333,76927,128413,18242,51402,58769
440000,广东省,2010,152907,40866,47706,64335,119343,13691,43900,61752
440000,广东省,2009,125673,32247,39027,54399,83621,11355,27438,44828
440000,广东省,2008,103883,28099,28883,46901,62031,7604,25072,29355
440000,广东省,2007,102449,26692,25389,50368,56451,3714,21636,31101
440000,广东省,2006,90886,21351,23886,45649,43516,2441,15644,25431
440000,广东省,2005,72220,12887,18951,40382,36894,1876,11017,24001
440000,广东省,2004,52201,8093,14682,29426,31446,1941,9307,20198
440000,广东省,2003,43186,6181,12985,24020,29235,953,7921,20361
440000,广东省,2002,34352,3819,9972,20561,22761,352,6395,16014
440000,广东省,2001,27596,2549,8144,16903,18259,301,5246,12712
440000,广东省,2000,21123,1760,6033,13330,15799,261,4797,10741
450000,广西壮族自治区,2019,41900,12412,22026,7462,22687,3413,14130,5144
450000,广西壮族自治区,2018,44224,20302,18105,5817,20551,4330,12069,4152
450000,广西壮族自治区,2017,56988,37976,14595,4417,15270,4553,7755,2962
450000,广西壮族自治区,2016,59239,43078,11599,4562,14858,5159,6535,3164
450000,广西壮族自治区,2015,43696,30815,9740,3141,13573,4017,7091,2465
450000,广西壮族自治区,2014,32298,22237,7911,2150,9664,1933,6138,1593
450000,广西壮族自治区,2013,23251,14382,6755,2114,7884,1295,5044,1545
450000,广西壮族自治区,2012,13610,6511,5017,2082,5900,902,3422,1576
450000,广西壮族自治区,2011,8106,2757,3614,1735,4402,634,2564,1204
450000,广西壮族自治区,2010,5117,1574,2512,1031,3647,426,2167,1054
450000,广西壮族自治区,2009,4277,1280,2091,906,2702,326,1506,870
450000,广西壮族自治区,2008,3884,1086,1863,935,2228,204,1441,583
450000,广西壮族自治区,2007,3480,945,1612,923,1907,188,1219,500
450000,广西壮族自治区,2006,2784,679,1381,724,1442,183,803,456
450000,广西壮族自治区,2005,2379,641,1183,555,1225,140,700,385
450000,广西壮族自治区,2004,2202,495,1114,593,1272,127,666,479
450000,广西壮族自治区,2003,2250,452,1212,586,1331,83,790,458
450000,广西壮族自治区,2002,1927,380,1110,437,1054,46,675,333
450000,广西壮族自治区,2001,1838,275,1171,392,1099,54,737,308
450000,广西壮族自治区,2000,1762,252,1059,451,1191,99,730,362
460000,海南省,2019,9302,2183,6073,1046,4423,530,3065,828
460000,海南省,2018,6451,2127,3355,969,3292,489,2052,751
460000,海南省,2017,4564,1627,2242,695,2133,373,1285,475
460000,海南省,2016,3658,1278,1854,526,1939,383,1171,385
460000,海南省,2015,3127,1211,1521,395,2061,417,1148,496
460000,海南省,2014,2416,969,957,490,1597,380,848,369
460000,海南省,2013,2359,921,994,444,1331,449,691,191
