年份,零售业资产总计,内资零售业企业资产总计,国有零售业企业资产总计,集体零售业企业资产总计,股份合作零售业企业资产总计,联营零售业企业资产总计,国有联营零售业企业资产总计,集体联营零售业企业资产总计,国有与集体联营零售业企业资产总计,其他联营零售业企业资产总计,有限责任公司零售业企业资产总计,国有独资公司零售业企业资产总计,其他有限责任公司零售业企业资产总计,股份有限公司零售业企业资产总计,私营零售业企业资产总计,私营独资零售业企业资产总计,私营合伙零售业企业资产总计,私营有限责任公司零售业企业资产总计,私营股份有限公司零售业企业资产总计,其他零售业企业资产总计,港澳台商投资零售业企业资产总计,港澳台商合资经营零售业企业资产总计,港澳台商合作经营零售业企业资产总计,港澳台商独资经营零售业企业资产总计,港澳台商投资股份有限公司零售业企业资产总计,其他港澳台商投资零售业企业资产总计,外商投资零售业企业资产总计,中外合资经营零售业企业资产总计,中外合作经营零售业企业资产总计,外资零售业企业资产总计,外商投资股份有限公司零售业企业资产总计,其他外商投资零售业企业资产总计
2009,19522.85682,16709.43946,1189.027,372.52374,135.67195,41.25674,25.42965,4.94213,4.72522,6.15974,5711.30134,140.16081,5571.14053,3766.18786,5322.71347,454.57062,72.84433,4386.8383,408.46022,170.75736,1080.07628,400.10933,96.1194,534.65062,49.19693,,1733.34108,668.88925,111.30831,908.05552,45.088,
2008,16380.7947,14186.7821,1123.5494,308.0921,113.707,64.1724,21.1989,4.1115,24.74,14.122,4726.0771,157.549,4568.5281,3276.8684,4464.545,397.5383,64.6531,3768.4197,233.934,109.7705,835.3004,301.9046,28.1981,484.1822,21.0154,,1358.7121,618.1108,169.5597,506.0728,64.9688,
2007,11809.2,10392.65698,848.97202,268.09384,121.94985,69.56526,14.17724,13.3336,28.39954,13.65488,3543.19035,187.57615,3355.6142,2414.86159,3029.15653,148.71306,37.13773,2677.41708,165.88866,96.86754,441.97882,244.08539,36.93944,158.30411,2.64988,,974.52587,541.75943,133.00724,296.82213,2.93707,
2006,9965.6,8911.381,852.4888,262.1829,96.9184,84.2063,31.4353,8.3727,29.4455,14.9529,2914.178,249.8512,2664.3267,2220.3753,2432.3118,99.6617,35.312,2149.1639,148.1742,48.7195,340.9031,229.4585,31.5212,79.5542,0.3692,,713.3223,379.2111,120.985,198.7066,14.4196,
2005,8426.2,7636.90565,841.23234,231.19655,106.19847,80.29739,27.03609,5.51833,27.14975,20.59322,2497.48294,139.95168,2357.53136,2002.60205,1857.56074,68.62008,32.03689,1639.74824,117.15553,20.33517,268.27727,220.66231,23.25624,22.78849,1.57023,,521.03763,301.03987,128.14151,91.17452,0.68173,
2004,7703.00243,7013.04477,888.77467,250.86348,96.20693,73.09624,26.72921,7.24141,27.24187,11.88375,2381.95635,114.01432,2267.94203,1617.97891,1689.64779,59.71061,23.62339,1508.20406,98.10973,14.5204,266.62789,234.56036,21.26483,10.35749,0.44521,0.0,423.32977,262.86524,106.12592,53.65355,0.68506,0.0
2003,5552.97003,5061.01479,1018.37313,243.60274,110.34281,63.03865,21.18894,2.70681,24.95285,14.19005,1484.08393,93.35663,1390.7273,1407.01041,728.27453,49.42169,14.77378,616.40037,47.67869,6.28859,176.85604,116.44045,34.78163,25.5295,0.10446,,315.41718,191.05154,47.21768,73.59433,3.55363,
2002,4635.6832,4222.317,1061.2727,257.151,108.0138,94.6192,46.8563,8.7699,22.9362,16.0569,998.6269,63.804,934.8229,1266.407,432.5669,23.0356,5.0123,368.2303,36.2887,3.6595,157.7751,116.6202,24.2815,4.6114,12.262,,255.5911,136.912,94.3261,20.9544,3.3987,
2001,4097.313,3729.5623,1187.9205,265.5518,100.025,57.0258,20.1213,2.3435,16.7709,17.7902,688.9139,65.563,623.351,1153.4297,273.8509,18.6006,3.4516,229.045,22.7537,2.8448,150.5653,106.4119,33.4164,2.1211,8.6158,,217.1854,138.5633,70.5463,8.0757,,
2000,3950.5019,3589.2269,1400.5779,353.8907,92.2985,53.8939,16.1378,11.1555,12.5747,14.026,485.4293,63.9423,421.487,1077.2607,124.6791,17.0977,2.6864,94.221,10.6741,1.1967,181.8746,93.7188,47.2689,5.2795,35.6074,,179.4004,116.8624,62.2233,0.02,0.2908,
