年份,零售业固定资产合计,内资零售业企业固定资产合计,国有零售业企业固定资产合计,集体零售业企业固定资产合计,股份合作零售业企业固定资产合计,联营零售业企业固定资产合计,国有联营零售业企业固定资产合计,集体联营零售业企业固定资产合计,国有与集体联营零售业企业固定资产合计,其他联营零售业企业固定资产合计,有限责任公司零售业企业固定资产合计,国有独资公司零售业企业固定资产合计,其他有限责任公司零售业企业固定资产合计,股份有限公司零售业企业固定资产合计,私营零售业企业固定资产合计,私营独资零售业企业固定资产合计,私营合伙零售业企业固定资产合计,私营有限责任公司零售业企业固定资产合计,私营股份有限公司零售业企业固定资产合计,其他零售业企业固定资产合计,港澳台商投资零售业企业固定资产合计,港澳台商合资经营零售业企业固定资产合计,港澳台商合作经营零售业企业固定资产合计,港澳台商独资经营零售业企业固定资产合计,港澳台商投资股份有限公司零售业企业固定资产合计,其他港澳台商投资零售业企业固定资产合计,外商投资零售业企业固定资产合计,中外合资经营零售业企业固定资产合计,中外合作经营零售业企业固定资产合计,外资零售业企业固定资产合计,外商投资股份有限公司零售业企业固定资产合计,其他外商投资零售业企业固定资产合计
2009,3647.9,3108.56876,340.82433,95.16975,33.31389,6.93478,3.99382,1.03774,1.1077,0.79552,946.30157,35.30317,910.9984,833.03601,815.4315,121.07042,19.19364,620.64086,54.52658,37.55693,205.79143,83.39806,7.58877,103.71133,11.09327,,333.4918,154.91423,17.43085,151.90487,9.24185,
2008,4542.1,3895.5863,437.2332,126.0065,37.4745,18.0118,7.7388,1.3932,4.0039,4.876,1126.7962,52.8267,1073.9696,1101.9374,1009.2926,137.0098,21.9489,791.7551,58.5788,38.834,238.8342,112.3822,12.6398,107.5048,6.3075,,407.6382,173.6601,38.2111,172.4949,23.2721,
2007,3357.0296,2874.27117,358.70193,91.34685,34.17126,16.76951,3.32539,6.61508,4.38618,2.44286,950.60779,72.52484,878.08295,816.31341,581.98812,37.30465,11.35114,491.97173,41.3606,24.3723,157.62013,109.79542,15.30182,31.31198,1.21091,,325.1383,179.65346,41.54406,102.93227,1.00851,
2006,3118.5265,2722.6514,366.6219,89.1456,33.7375,22.2475,10.41,4.9296,4.5037,2.4043,859.0153,109.3274,749.6879,875.2473,462.0715,21.9981,7.7961,401.3718,30.9055,14.5649,136.8932,107.8946,14.591,14.2266,0.181,,258.9819,139.232,39.7129,72.9137,7.1232,
2005,2087.1,1876.9679,270.9377,63.84441,28.65158,14.54826,4.9119,2.23764,3.3153,4.08342,574.0939,41.81558,532.27852,631.7011,289.58087,13.88022,9.74193,247.71241,18.24631,3.60998,66.11276,59.43843,2.67207,3.68609,0.31617,,143.99676,85.68124,26.85937,31.17774,0.27841,
2004,1875.59113,2199.01535,364.49853,96.88414,30.58087,18.18096,6.2285,3.67118,4.02576,4.25552,651.61433,43.61537,607.99896,705.08593,328.23778,15.86228,9.34857,284.46688,18.56005,3.93281,86.54601,80.38516,4.96787,1.02471,0.16827,0.0,161.60807,93.5922,41.22901,26.46193,0.32493,0.0
2003,1804.36441,1636.56322,430.26694,81.85202,31.49907,14.89721,3.88017,0.41269,6.35237,4.25198,389.52396,32.13561,357.38835,551.73066,136.16623,11.25417,3.22089,111.45042,10.24075,0.62713,65.87789,41.21418,12.6074,12.05564,,,101.93279,59.99964,15.58226,24.38829,1.9626,
2002,1665.4459,1509.1295,437.2664,84.82,34.3576,40.8825,28.408,0.4254,5.5377,6.5113,280.3159,25.5305,254.7854,537.9039,93.0353,6.5255,0.7942,75.4059,10.3098,0.548,63.1517,50.1289,8.9875,0.4568,3.5784,,93.1647,51.1714,32.2961,7.7442,1.953,
2001,1565.9668,1406.9228,481.2508,90.5901,35.5719,18.8942,6.9136,0.5679,3.6884,7.7243,216.8064,23.0962,193.7102,488.4502,74.8408,6.6457,0.4019,60.9998,6.7935,0.5184,68.6087,51.7592,13.791,0.4017,2.657,,90.4353,62.6304,25.9778,1.827,,
2000,1549.0602,1398.3888,539.5166,123.9954,33.3529,19.2929,4.7554,4.9778,4.3031,5.2566,169.0466,21.2651,147.7815,480.0286,32.5436,2.8686,0.6243,26.2731,2.7777,0.6122,71.4871,41.0096,15.2603,0.3438,14.8733,,79.1843,53.9111,25.2083,0.0201,0.0448,
