年份,亿元以上商品交易市场营业面积,综合市场营业面积,生产资料综合市场营业面积,工业消费品综合市场营业面积,农产品综合市场营业面积,其他综合市场营业面积,专业市场营业面积,生产资料市场营业面积,农业生产用具市场营业面积,农用生产资料市场营业面积,煤炭市场营业面积,木材市场营业面积,建材市场营业面积,化工材料及制品市场营业面积,金属材料市场营业面积,机械设备市场营业面积,其他生产资料市场营业面积,农产品市场营业面积,粮油市场营业面积,肉禽蛋市场营业面积,水产品市场营业面积,蔬菜市场营业面积,干鲜果品市场营业面积,棉麻土畜、烟叶市场营业面积,其他农产品市场营业面积,食品、饮料及烟酒市场营业面积,食品饮料市场营业面积,茶叶市场营业面积,烟酒市场营业面积,其他食品饮料及烟酒市场营业面积,纺织、服装、鞋帽市场营业面积,布料及纺织品市场营业面积,服装市场营业面积,鞋帽市场营业面积,其他纺织服装鞋帽市场营业面积,日用品及文化用品市场营业面积,小商品市场营业面积,箱包市场营业面积,玩具市场营业面积,文具市场营业面积,图书、报刊杂志市场营业面积,音像制品及电子出版物市场营业面积,体育用品市场营业面积,其他日用品及文化用品市场营业面积,黄金、珠宝、玉器等首饰市场营业面积,电器、通讯器材、电子设备市场营业面积,家电市场营业面积,通讯器材市场营业面积,照相、摄像器材市场营业面积,计算机及辅助设备市场营业面积,其他电器、通讯器材、电子设备市场营业面积,医药、医疗用品及器材市场营业面积,中药材市场营业面积,其他医药、医疗用品及器材市场营业面积,家具、五金及装饰材料市场营业面积,家具市场营业面积,装饰材料市场营业面积,灯具市场营业面积,厨具、盥洗设备市场营业面积,五金材料市场营业面积,其他装修市场营业面积,汽车、摩托车及零配件市场营业面积,汽车市场营业面积,摩托车市场营业面积,机动车零配件市场营业面积,花、鸟、鱼、虫市场营业面积,花卉市场营业面积,鸟市场营业面积,观赏鱼市场营业面积,其他花鸟鱼虫市场营业面积,旧货市场营业面积,古玩、古董、字画市场营业面积,邮票、硬币市场营业面积,其他旧货市场营业面积,其他专业市场营业面积
2009,23230.3299,5562.8735,807.1565,1883.5865,1493.559,1378.5715,17667.4564,5431.4796,139.0022,80.3648,376.5162,409.9949,1420.4115,174.2202,2162.0772,195.089,473.8036,3711.4723,378.1462,255.192,340.6164,1479.7725,524.3794,329.0326,404.3332,393.0052,169.4323,68.617,24.917,130.0389,2277.7957,660.2677,1101.0759,125.932,390.5201,312.2598,120.2648,50.6436,1.275,6.1637,10.2289,3.98,0.67,119.0338,59.1253,300.5444,135.7557,31.0671,0.39,114.747,18.5846,113.97,107.247,6.723,3190.3165,1467.5449,879.5682,55.228,10.473,377.5878,399.9146,1044.3558,760.328,35.4426,248.5852,610.7112,602.7068,,1.665,6.3394,56.7425,0.3,,56.4425,165.6781
2008,21225.2204,5254.8235,726.7199,1872.4838,1416.7667,1238.8531,15970.3969,5184.6688,178.1677,79.6922,628.0043,409.1699,1151.7395,154.8793,2150.007,175.1586,257.8503,3369.2221,312.0573,307.5224,275.6814,1303.5309,437.5635,222.8161,510.0505,332.084,128.6556,50.5428,35.5776,117.308,2171.0333,592.4645,1115.4411,103.8678,359.2599,295.4983,119.4432,40.7826,1.275,6.1637,7.9089,3.7068,0.67,115.5481,49.7273,272.2383,100.8333,24.4142,1.2358,130.7,15.055,91.5748,84.8897,6.6851,2284.4374,701.867,720.3123,59.808,7.348,343.2764,451.8257,972.6752,687.8075,30.1536,254.7141,647.2431,646.5874,,,0.6557,78.359,0.3,,78.059,221.6353
2007,19814.6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,18072.3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,13140.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12477.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,10984.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,10313.1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,9397.314024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,8261.561524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
