年份,亿元以上商品交易市场数量,综合市场数量,生产资料综合市场数量,工业消费品综合市场数量,农产品综合市场数量,其他综合市场数量,专业市场数量,生产资料市场数量,农业生产用具市场数量,农用生产资料市场数量,煤炭市场数量,木材市场数量,建材市场数量,化工材料及制品市场数量,金属材料市场数量,机械设备市场数量,其他生产资料市场数量,农产品市场数量,粮油市场数量,肉禽蛋市场数量,水产品市场数量,蔬菜市场数量,干鲜果品市场数量,棉麻土畜、烟叶市场数量,其他农产品市场数量,食品、饮料及烟酒市场数量,食品饮料市场数量,茶叶市场数量,烟酒市场数量,其他食品饮料及烟酒市场数量,纺织、服装、鞋帽市场数量,布料及纺织品市场数量,服装市场数量,鞋帽市场数量,其他纺织服装鞋帽市场数量,日用品及文化用品市场数量,小商品市场数量,箱包市场数量,玩具市场数量,文具市场数量,图书、报刊杂志市场数量,音像制品及电子出版物市场数量,体育用品市场数量,其他日用品及文化用品市场数量,黄金、珠宝、玉器等首饰市场数量,电器、通讯器材、电子设备市场数量,家电市场数量,通讯器材市场数量,照相、摄像器材市场数量,计算机及辅助设备市场数量,其他电器、通讯器材、电子设备市场数量,医药、医疗用品及器材市场数量,中药材市场数量,其他医药、医疗用品及器材市场数量,家具、五金及装饰材料市场数量,家具市场数量,装饰材料市场数量,灯具市场数量,厨具、盥洗设备市场数量,五金材料市场数量,其他装修市场数量,汽车、摩托车及零配件市场数量,汽车市场数量,摩托车市场数量,机动车零配件市场数量,花、鸟、鱼、虫市场数量,花卉市场数量,鸟市场数量,观赏鱼市场数量,其他花鸟鱼虫市场数量,旧货市场数量,古玩、古董、字画市场数量,邮票、硬币市场数量,其他旧货市场数量,其他专业市场数量
2009,4687,1280,53,286,657,284,3407,720,16,33,14,56,200,38,279,41,43,946,102,116,142,289,136,23,138,140,57,23,12,48,531,76,319,43,93,102,38,5,1,4,11,4,1,38,15,151,47,21,1,71,11,24,22,2.0,430,130,168,11,4,71,46,257,169,16,72,28,23,,1.0,4,25,1,,24,38
2008,4567,1248,45,287,630,286,3319,709,22,30,13,56,204,42,267,31,44,921,99,111,132,280,128,25,146,164,68,23,17,56,508,67,309,44,88,94,34,5,1,4,11,3,1,35,16,146,38,18,1,78,11,21,19,2.0,396,109,153,11,4,71,48,250,164,15,71,23,21,,,2,22,1,,21,49
2007,4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,3273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
