年份,批发业企业资产总计,内资批发业企业资产总计,国有批发业企业资产总计,集体批发业企业资产总计,股份合作批发业企业资产总计,联营批发业企业资产总计,国有联营批发业企业资产总计,集体联营批发业企业资产总计,国有与集体联营批发业企业资产总计,其他联营批发业企业资产总计,有限责任公司批发业企业资产总计,国有独资有限责任公司批发业企业资产总计,其他有限责任公司批发业企业资产总计,股份有限公司批发业企业资产总计,私营批发业企业资产总计,私营独资批发业企业资产总计,私营合伙批发业企业资产总计,私营有限责任公司资产总计,私营股份有限公司资产总计,其他批发业企业资产总计,港澳台投资批发业企业资产总计,港澳台合资经营(港或澳、台资)批发业企业资产总计,港澳台合作经营(港或澳、台资)批发业企业资产总计,港、澳、台商独资经营批发业企业资产总计,港、澳、台商投资股份有限公司批发业企业资产总计,其他港澳台商投资批发业企业资产总计,外商投资批发业企业资产总计,中外合资经营批发业企业资产总计,中外合作经营批发业企业资产总计,外资批发业企业资产总计,外商投资股份有限公司批发业企业资产总计,其他外商投资批发业企业资产总计
2009,65815.86776,58380.29822,13185.53798,1115.25671,186.62021,208.15735,109.80489,12.86316,31.51227,53.97703,20756.23009,3916.68298,16839.54711,7659.71489,14959.43769,462.27245,127.78515,13711.61893,657.76116,309.3433,1707.53169,308.28221,14.03843,1245.85033,139.36072,,5728.03785,873.70243,25.76341,4765.14535,63.42666,
2008,58737.4754,52153.6314,12769.6384,1086.4529,267.1741,223.9511,74.4276,58.6,49.112,41.8116,17699.3959,3460.0236,14239.3723,6132.2471,13727.9406,556.7691,165.0671,12442.5939,563.5104,246.8313,1485.7632,336.6586,26.5177,1055.8318,66.7552,,5098.0808,709.4974,121.992,4186.4396,80.1518,
2007,38697.7,35151.43342,10516.5696,909.6154,183.3978,183.70871,85.01176,12.19271,36.4302,50.07404,11654.17395,2599.73376,9054.44019,4160.14078,7437.28207,218.22329,43.2569,6891.94411,283.85777,106.54511,536.60944,114.89982,17.74266,372.21605,31.75091,,3009.66329,505.86419,12.96926,2327.5705,163.25934,
2006,31523.0,29105.23,9016.8818,867.6154,180.3775,157.1172,82.115,15.2998,17.1494,42.553,9491.9281,1411.9787,8079.9494,3586.8129,5674.6274,71.3048,32.9277,5346.6152,223.7798,129.8696,347.8722,72.917,16.9098,222.8913,35.1541,,2069.9305,296.3299,15.7281,1729.0203,28.8522,
2005,28105.8,25894.42997,8639.23815,925.32299,182.829,132.567,79.64271,3.45865,18.73087,30.73477,8135.87175,1320.97331,6814.89844,3384.69872,4448.68917,77.28198,22.97005,4218.33875,130.09839,45.21319,328.34544,50.88853,15.39654,235.84287,26.2175,,1883.05146,293.02228,79.60098,1498.11489,12.31331,
2004,27886.7,25754.24368,8648.7538,906.54047,197.00238,172.38135,87.57632,18.16952,30.10039,36.53512,8090.89325,1451.35186,6639.54139,3349.68106,4371.2741,94.28272,35.91275,4097.06907,144.00956,17.71727,302.77018,49.23034,15.21566,207.89087,30.43331,,1829.72886,408.10298,89.89506,1299.80722,31.9236,
2003,17827.57489,17124.52548,8002.11898,1178.76766,125.96414,144.12402,75.64425,14.86671,18.71572,34.89734,4140.30958,928.1852,3212.12438,2462.71628,1062.04975,49.26011,10.36938,942.67474,59.74552,8.47507,212.04648,42.32706,20.02804,111.26729,38.42409,,491.00293,108.57822,3.97697,378.31104,0.1367,
2002,16356.8388,15806.3446,8370.0897,1303.7019,144.6113,138.375,73.4376,3.5467,32.4222,28.9871,3171.2484,869.9629,2301.2855,2066.4967,609.3626,12.5015,5.1591,557.0807,34.6213,2.459,190.5173,27.3227,7.4223,128.2351,27.5373,,359.9769,97.0042,1.7886,258.7109,2.4733,
2001,15122.4624,14874.2,8816.3184,1462.577,158.1393,152.1386,73.6583,3.2228,40.7279,34.5296,2277.2844,692.2058,1585.0786,1668.8168,333.8278,9.2206,5.8123,300.8454,17.9495,5.0525,48.8456,10.5804,8.5899,18.5844,11.091,,199.4622,142.8538,2.1159,50.943,3.5495,
2000,15141.7114,14938.447,9968.9615,1744.0015,137.7679,144.9122,56.31,10.3053,45.9711,32.3259,1641.4755,597.2407,1044.2349,1157.4839,141.8691,8.1986,3.419,121.6123,8.6392,1.9753,28.8334,12.6345,4.6708,11.4951,0.03,,174.4311,136.6769,0.9321,28.3356,8.4865,
