年份,中国向拉丁美洲出口总额,中国向安提瓜和巴布达出口总额,中国向阿根廷出口总额,中国向阿鲁巴岛出口总额,中国向巴哈马出口总额,中国向巴巴多斯出口总额,中国向伯利兹出口总额,中国向玻利维亚出口总额,中国向博内尔出口总额,中国向巴西出口总额,中国向开曼群岛出口总额,中国向智利出口总额,中国向哥伦比亚出口总额,中国向多米尼克出口总额,中国向哥斯达黎加出口总额,中国向古巴出口总额,中国向库腊索岛出口总额,中国向多米尼加共和国出口总额,中国向厄瓜多尔出口总额,中国向法属圭亚那出口总额,中国向格林纳达出口总额,中国向瓜德罗普岛出口总额,中国向危地马拉出口总额,中国向圭亚那出口总额,中国向海地出口总额,中国向洪都拉斯出口总额,中国向牙买加出口总额,中国向马提尼克岛出口总额,中国向墨西哥出口总额,中国向蒙特塞拉特出口总额,中国向尼加拉瓜出口总额,中国向巴拿马出口总额,中国向巴拉圭出口总额,中国向秘鲁出口总额,中国向波多黎各出口总额,中国向萨巴出口总额,中国向圣卢西亚出口总额,中国向圣马丁岛出口总额,中国向圣文森特和格林纳丁斯出口总额,中国向萨尔瓦多出口总额,中国向苏里南出口总额,中国向特立尼达和多巴哥出口总额,中国向特克斯和凯科斯群岛出口总额,中国向乌拉圭出口总额,中国向委内瑞拉出口总额,中国向英属维尔京群岛出口总额,中国向圣其茨-尼维斯出口总额,中国向荷属安地列斯群岛出口总额,中国向拉美其他国家(地区)出口总额
2009,5709426.0,49369.0,348342.0,1170.0,42254.0,9155.0,3303.0,7.0,,1411886.0,1799.0,492817.0,239605.0,2232.0,53762.0,97287.0,1582.0,59211.0,100356.0,487.0,395.0,3006.0,65883.0,5908.0,14749.0,21216.0,19699.0,2217.0,1229627.0,4.0,19326.0,652299.0,51386.0,209895.0,47931.0,13.0,679.0,161.0,8179.0,25669.0,9618.0,24421.0,39.0,81956.0,281172.0,1568.0,122.0,4672.0,59.0
2008,7176203.900599999,52947.9125,505473.2598,1098.2988,38533.8947,2793.7429,4245.962,17856.0347,,1880745.7292,3567.1403,618680.3918,298793.06320000003,7574.9161,61915.7577,135479.5514,3675.1438,65788.572,154700.7581,346.077,377.5164,2855.6632,93441.7228,7097.8277,12589.8262,32360.8995,28869.0299,2719.6632,1386648.7521,4.1585,25561.3921,789390.7132,76350.92659999999,277437.1548,45997.6051,,668.903,262.0886,5858.6811,37447.1839,10272.8977,34963.1554,138.0139,102768.5159,336598.0685,5727.324,264.825,5154.7,160.4863
2007,5153939.5438,39523.6598,356635.0374,1043.0961,16261.063,3473.2317,2602.0104,9671.7855,,1137226.2044,1077.0143,441555.81279999996,226116.7876,7357.1903,56678.2836,117024.9096,3705.2446,51292.4762,94239.8565,302.265,297.4075,1793.0394,79622.2716,6529.5186,8160.1813,27311.1257,24610.6035,1513.4065,1170610.9497,66.561,21222.7812,557997.9326,46582.0264,167850.3354,42012.5822,2.2138,683.9687,260.1884,2659.8849,35218.3369,6716.8884,26302.7482,91.4968,61557.8533,283285.9292,11626.3035,257.821,3164.8943,144.365
2006,3602794.696,16105.080300000001,200389.6248,951.9037,16452.6644,7559.8603,2876.3912,5834.8869,,738010.5731,634.1208,310903.0073,149627.3908,6086.3592,40874.9465,126437.2734,5887.1893,40180.495,71434.5585,213.1012,406.3687,968.2579,68758.6449,8150.3763,5979.4468,22367.9114,17958.8717,464.8602,882355.4228,6.4943,16271.945000000002,386716.338,32749.618300000002,100853.5158,35263.0656,412.0,412.1705,202.3673,1484.1288,31522.4853,4293.9081,16475.3852,73.8703,40243.1508,169802.0719,12100.4448,63.5864,6198.0512,192.0
2005,2368050.0,14690.0,132443.0,564.0,15545.0,1921.0,3208.0,5054.0,,482721.0,404.0,214948.0,93015.0,4905.0,22877.0,63587.0,4753.0,26415.0,46735.0,147.0,273.0,615.0,47364.0,2721.0,3020.0,13381.0,10407.0,410.0,553769.0,8.0,11400.0,315112.0,25256.0,60888.0,28971.0,0.0,283.0,244.0,1521.0,19390.0,3868.0,10043.0,25.0,28257.0,90785.0,2218.0,58.0,3772.0,58.0
2004,1823808.6,11852.6,85230.2,374.7,9868.6,1037.6,2257.8,2359.1,,367410.4,246.9,168843.1,62927.3,4555.3,15441.8,32828.4,4288.7,23275.6,34359.8,108.2,78.5,381.8,39263.9,2118.4,2221.6,12314.0,12606.6,174.8,497275.4,3.9,10159.3,218695.1,23494.0,41840.8,20692.7,6.2,229.4,144.1,1319.6,19688.4,3027.0,7590.9,0.0,20955.1,59552.6,82.0,19.5,2487.8,119.0
2003,1187743.0,311.6,44719.0,221.8,12172.4,917.3,1027.0,1184.0,,214326.0,388.3,128344.0,39820.0,3357.8,9852.0,23629.8,3883.3,14814.5,23929.0,84.6,42.9,246.2,30561.8,1812.0,2638.1,7787.1,10203.6,114.2,326703.0,2.6,6931.0,147999.0,12619.3,35373.9,15953.0,5.3,153.5,140.4,764.6,15756.0,1977.0,5852.0,2.3,12762.0,19923.7,7631.5,15.3,714.3,76.4
2002,948824.0,295.0,18537.0,276.0,6287.0,1024.0,904.0,955.0,,146638.0,210.0,99826.0,28726.0,4543.0,8165.0,31066.0,4129.0,10548.0,19448.0,67.0,29.0,159.0,24467.0,1372.0,2347.0,5877.0,6596.0,79.0,286366.0,1.0,4917.0,127266.0,7903.0,24664.0,10430.0,1.0,269.0,98.0,821.0,13257.0,1515.0,4234.0,,9495.0,33267.0,1601.0,27.0,,122.0
2001,823674.0,120.0,57368.0,362.0,3477.0,541.0,628.0,774.0,,135114.0,50.0,81482.0,20528.0,8763.0,6308.0,33177.0,4654.0,3821.0,13410.0,60.0,25.0,170.0,16291.0,1241.0,1445.0,6484.0,8514.0,77.0,179039.0,4.0,3454.0,123963.0,7210.0,17656.0,7557.0,1.0,302.0,160.0,1308.0,9960.0,1263.0,3494.0,,18894.0,44344.0,55.0,11.0,,115.0
2000,718521.0,,61030.0,,,304.0,,468.0,,122355.0,,78352.0,15597.0,5770.0,,23280.0,3328.0,7541.0,7487.0,,,,13862.0,,,6217.0,4945.0,,133525.0,,4309.0,129016.0,8596.0,14433.0,5721.0,,,,,6264.0,1064.0,2674.0,,24302.0,25650.0,,,,
