年份,中国向非洲出口总额,中国向阿尔及利亚出口总额,中国向安哥拉出口总额,中国向贝宁出口总额,中国向博茨瓦那出口总额,中国向布隆迪出口总额,中国向喀麦隆出口总额,中国向加那利群岛出口总额,中国向佛得角出口总额,中国向中非出口总额,中国向塞卜泰(休达)出口总额,中国向乍得出口总额,中国向科摩罗出口总额,中国向刚果(布)出口总额,中国向吉布提出口总额,中国向埃及出口总额,中国向赤道几内亚出口总额,中国向埃塞俄比亚出口总额,中国向加蓬出口总额,中国向冈比亚出口总额,中国向加纳出口总额,中国向几内亚出口总额,中国向几内亚比绍出口总额,中国向科特迪瓦共和国出口总额,中国向肯尼亚出口总额,中国向利比里亚出口总额,中国向利比亚出口总额,中国向马达加斯加出口总额,中国向马拉维出口总额,中国向马里出口总额,中国向毛里塔尼亚出口总额,中国向毛里求斯出口总额,中国向摩洛哥出口总额,中国向莫桑比克出口总额,中国向纳米比亚出口总额,中国向尼日尔出口总额,中国向尼日利亚出口总额,中国向留尼汪出口总额,中国向卢旺达出口总额,中国向圣多美和普林西比出口总额,中国向塞内加尔出口总额,中国向塞舌尔出口总额,中国向塞拉利昂出口总额,中国向索马里出口总额,中国向南非出口总额,中国向西撒哈拉出口总额,中国向苏丹出口总额,中国向坦桑尼亚出口总额,中国向多哥出口总额,中国向突尼斯出口总额,中国向乌干达出口总额,中国向布基纳法索出口总额,中国向刚果(金)出口总额,中国向赞比亚出口总额,中国向津巴布韦出口总额,中国向莱索托出口总额,中国向梅利利亚出口总额,中国向斯威士兰出口总额,中国向厄立特里亚出口总额,中国向马约特岛出口总额,中国向南苏丹共和国出口总额,中国向非洲其他国家(地区)出口总额
2009,4773456.0,418084.0,238588.0,195270.0,16536.0,3399.0,41585.0,591.0,3541.0,1273.0,18.0,14871.0,1117.0,36690.0,29453.0,510776.0,35835.0,125244.0,15472.0,16752.0,153372.0,28129.0,2319.0,50487.0,127641.0,188155.0,200194.0,39539.0,6501.0,16750.0,24179.0,29213.0,212886.0,33919.0,26450.0,28391.0,547557.0,8390.0,5804.0,220.0,39934.0,1524.0,5466.0,6732.0,736575.0,7.0,170549.0,91395.0,112974.0,71115.0,23117.0,4268.0,32048.0,15254.0,15626.0,5039.0,215.0,1805.0,3949.0,518.0,,153.0
2008,5123992.452099999,375190.9956,294246.9756,231411.4926,16915.177900000002,1768.2014,37928.3504,1971.0787,1495.3954,1129.5054,61.9565,7992.9858,2544.4111,61428.0961,25226.7597,587426.0276,27739.0904,123071.9309,13960.2277,17572.482,174788.6207,33445.5925,614.6998,53150.0751,124933.2629,113705.3412,164044.7152,60259.325899999996,8105.0453,16773.2491,18909.3207,32008.7688,234892.6014,29599.4949,24316.5466,16681.2989,676705.2438,11556.9647,5937.4419,188.773,40155.1093,1412.9921,7877.0653,4033.8653,861762.1625,6.1115,187433.3641,95043.8907,121823.65190000001,69686.0678,23010.0406,4619.33,23458.0784,26434.7745,13309.9999,7963.9137,281.8089,2060.3929,2897.8356,583.2886,,441.1853
2007,3729772.6482,270548.1811,122974.8288,197055.6926,11874.9794,1303.4353,29657.725799999997,5394.2214,1468.8496,886.5449,64.575,6568.2978,764.9453,43397.9408,16406.4274,443279.6979,9268.2069,77449.3471,10254.8188,18532.187,122136.9317,26385.2212,727.4648,41257.4188,93090.8984,80264.7571,86257.8145,32847.4327,4207.0256,12527.0071,13723.7257,28439.5704,216221.8576,16024.9639,24553.5852,3073.54,379583.9087,8733.2299,3479.4711,177.9845,33291.8306,742.0486,5847.4239,2661.2024,742826.0983,2.4264,153679.0134,59358.4546,137280.71029999998,48190.6939,20219.4427,4369.0931,9305.5319,19780.5212,20161.367,5656.414699999999,413.1068,1321.202,2664.8172,526.0924,,610.445
2006,2668787.9416,194751.4487,89418.5633,145209.6313,6178.1657,1017.8765,19114.675,5256.9262,1009.409,169.2692,20.6038,1414.2811,619.528,24147.3522,15495.0084,297550.1314,4110.7988,43077.0158,6387.743,16243.8145,80309.19200000001,17549.1046,567.7056,22747.805,62104.0206,52984.374,70410.5006,22256.288,3074.1469,7498.7758,10924.0061,19775.39,156952.6374,12794.0363,13315.7864,7176.1552,285215.19389999995,4273.5048,1240.6055,121.7928,18726.678,530.2608,3897.8595,2757.7799,576770.9102,5.2549,141032.8737,38277.308,70401.4682,35754.531,13780.1795,1934.6382,6876.535,10252.5357,13629.2517,6442.2155,376.5399,722.251,3794.6081,153.7379,,187.2615
2005,1868160.0,140442.0,37279.0,95295.0,5851.0,1189.0,12987.0,3905.0,519.0,709.0,159.0,1493.0,183.0,14471.0,11146.0,193404.0,1880.0,28400.0,4128.0,12435.0,67242.0,14431.0,579.0,13703.0,45692.0,14963.0,36050.0,18264.0,1635.0,6594.0,7430.0,17734.0,120643.0,9148.0,6035.0,3390.0,230316.0,3133.0,1201.0,55.0,13308.0,340.0,3076.0,1657.0,382597.0,2.0,129359.0,30358.0,53810.0,29554.0,7937.0,1614.0,4971.0,4850.0,12537.0,5582.0,324.0,1103.0,783.0,92.0,,196.0
2004,1381321.8,98051.9,19351.8,57726.2,4954.1,481.4,10001.7,5267.8,274.6,332.4,144.3,593.9,129.5,9303.2,7222.0,138843.5,1012.5,19405.5,1415.8,12423.0,51040.0,9301.7,599.4,12301.4,34879.4,18180.8,25498.5,15207.9,1876.5,5876.8,6433.3,15119.0,94348.0,7515.4,5253.9,2499.5,171855.9,2363.5,513.0,22.3,10830.8,178.2,2825.7,952.2,295190.4,58.5,81588.7,21597.2,39865.4,24509.0,7642.7,1233.5,3698.6,5104.2,11306.3,4745.4,279.4,1149.1,754.2,69.0,,122.0
2003,1018185.0,64593.7,14579.1,47106.0,2277.0,345.0,6493.5,3753.1,259.6,212.7,90.7,168.0,69.4,5989.3,6585.8,93676.0,504.8,15274.7,889.0,11596.8,32178.6,7328.6,1235.0,22822.1,24171.2,2618.9,17473.5,11169.5,1078.1,3520.4,5648.6,10737.0,69579.0,4502.8,3762.4,1933.6,178597.0,1385.0,353.3,19.9,7285.1,178.7,1660.6,390.3,202936.0,55.8,47842.0,19147.0,26254.0,18384.0,5139.0,1171.0,2541.6,3488.0,3026.6,2488.3,215.0,668.3,546.7,34.9,,154.2
2002,696121.0,35191.0,6131.0,42086.0,1898.0,223.0,4397.0,3024.0,184.0,69.0,169.0,171.0,76.0,3961.0,4981.0,85292.0,329.0,9643.0,470.0,8190.0,18231.0,4338.0,450.0,21972.0,18056.0,3011.0,11153.0,4020.0,652.0,2162.0,5200.0,9000.0,45126.0,2593.0,2018.0,1474.0,104715.0,874.0,386.0,16.0,5768.0,146.0,1441.0,183.0,131064.0,37.0,39239.0,12142.0,13847.0,14411.0,2806.0,582.0,1899.0,3719.0,3216.0,2451.0,84.0,473.0,603.0,,,80.0
2001,600657.0,22235.0,4572.0,52043.0,1423.0,116.0,2936.0,3398.0,221.0,57.0,55.0,28.0,46.0,3818.0,4732.0,87289.0,336.0,7880.0,589.0,7251.0,14588.0,4406.0,830.0,25768.0,13893.0,11272.0,4098.0,7286.0,449.0,2290.0,2987.0,8718.0,29988.0,2204.0,2122.0,648.0,91734.0,770.0,289.0,126.0,5256.0,112.0,1199.0,112.0,104912.0,89.0,21989.0,9015.0,10875.0,10617.0,1624.0,406.0,1313.0,3884.0,3327.0,1676.0,99.0,299.0,284.0,,,78.0
2000,504201.0,17292.0,3374.0,37041.0,,363.0,2263.0,2448.0,,34.0,210.0,,,1834.0,5411.0,80530.0,355.0,5570.0,443.0,6163.0,10593.0,3402.0,462.0,22276.0,13308.0,12600.0,5231.0,7123.0,,3484.0,2468.0,8380.0,27782.0,2470.0,,702.0,54878.0,579.0,342.0,,5128.0,157.0,866.0,100.0,101365.0,,15838.0,8576.0,8037.0,9672.0,1440.0,296.0,1843.0,3286.0,3191.0,,,,,,,
