年份,中国向亚洲出口总额,中国向阿富汗出口总额,中国向巴林出口总额,中国向孟加拉国出口总额,中国向不丹出口总额,中国向文莱出口总额,中国向缅甸出口总额,中国向柬埔寨出口总额,中国向塞浦路斯出口总额,中国向朝鲜出口总额,中国向中国香港出口总额,中国向印度出口总额,中国向印度尼西亚出口总额,中国向伊朗出口总额,中国向伊拉克出口总额,中国向以色列出口总额,中国向日本出口总额,中国向约旦出口总额,中国向科威特出口总额,中国向老挝出口总额,中国向黎巴嫩出口总额,中国向中国澳门出口总额,中国向马来西亚出口总额,中国向马尔代夫出口总额,中国向蒙古出口总额,中国向尼泊尔出口总额,中国向阿曼出口总额,中国向巴基斯坦出口总额,中国向巴勒斯坦出口总额,中国向菲律宾出口总额,中国向卡塔尔出口总额,中国向沙特阿拉伯出口总额,中国向新加坡出口总额,中国向韩国出口总额,中国向斯里兰卡出口总额,中国向叙利亚出口总额,中国向泰国出口总额,中国向土耳其出口总额,中国向阿联酋出口总额,中国向也门共和国出口总额,中国向越南出口总额,中国向中华人民共和国出口总额,中国向中国台湾出口总额,中国向东帝汶出口总额,中国向哈萨克斯坦出口总额,中国向吉尔吉斯斯坦出口总额,中国向塔吉克斯坦出口总额,中国向土库曼斯坦出口总额,中国向乌兹别克斯坦出口总额,中国向亚洲其他国家(地区)出口总额
2009,56865091.0,21351.0,47527.0,444132.0,412.0,14044.0,225399.0,90726.0,120374.0,188692.0,16622857.0,2965604.0,1472053.0,791911.0,183835.0,365234.0,9786766.0,195839.0,154285.0,37717.0,105687.0,185009.0,1963178.0,4066.0,106788.0,40887.0,74750.0,552833.0,2357.0,859059.0,87211.0,897745.0,3005194.0,5366972.0,156893.0,221058.0,1328551.0,833367.0,1863180.0,116844.0,1629765.0,,2050126.0,2326.0,783345.0,528107.0,122168.0,91871.0,156998.0,3.0
2008,66411850.023,15162.6761,65507.6764,455607.4057,846.3342,13054.2756,197776.6301,109554.3284,112487.2302,203243.1315,19072903.4562,3158538.0667,1719311.43,816342.8066,127116.15649999998,425700.1665,11613245.4516,182613.1253,175130.1291,26811.353000000003,108344.9145,260211.54589999997,2145516.8798,3155.3833,90782.7596,37561.2156,79451.50749999999,605106.6209,4078.0342,913223.1065,107416.3869,1082346.7968,3230580.5355,7393198.9519,163009.3609,229335.5398,1563635.4387,1060631.1968,2364368.955,118458.3997,1512213.2632,,2587705.6257,942.636,982451.0357,921204.9706,147968.2759,80193.5714,127781.4306,23.8544
2007,56787402.5335,16943.7431,38469.9648,334489.3671,539.2665,11267.944,169969.9895,88292.7627,69783.3003,139249.2098,18443624.7613,2401145.511,1260133.4212,728404.8801,68738.375,365599.8987,10200858.9546,109928.7368,133863.2753,17793.6831,69872.243,264098.6963,1768926.6826,2478.7442,68294.9426,38557.7161,54756.044499999996,578905.4819,3750.0465,749792.0872,62087.8876,780728.3596,2962029.6522,5609885.6701,138407.9236,186846.5645,1197342.811,1047562.5669,1702362.0847,96305.21459999999,1189129.704,,2345980.3489,945.7826,744585.6215,366553.8631,51376.5566,30253.757400000002,76473.8986,14.5362
2006,45572692.3218,10048.6966,28391.8955,309040.2929,16.1386,9962.9763,120741.7933,69776.4757,35070.3693,123232.2985,15530906.8118,1458129.7367,944971.1801000001,448895.166,49115.8084,256131.5252,9162267.333,97774.7739,86131.0584,16871.6852,49943.9913,218538.6492,1353707.3744,1540.2118,43349.5138,25979.6484,33954.1394,423936.5171,2786.3838,573813.4532999999,43680.9052,505583.3989,2318529.143,4452220.6859,110641.1822,135555.0695,976406.4739,730328.4863,1140478.0331,80226.1351,746335.5015,0.0,2073308.4862,579.4277,475048.0904,211278.5558,30577.7847,16257.1335,40615.3766,16.5544
2005,36640758.0,5121.0,18700.0,240274.0,47.0,5314.0,93485.0,53603.0,28728.0,108110.0,12447325.0,893428.0,835037.0,329659.0,40811.0,195434.0,8398628.0,83181.0,62847.0,10338.0,47204.0,160507.0,1060635.0,1693.0,31889.0,18794.0,19099.0,342766.0,2360.0,468763.0,20367.0,382442.0,1663226.0,3510778.0,93967.0,88863.0,781930.0,425373.0,872984.0,54710.0,564390.0,0.0,1654956.0,127.0,389675.0,86715.0,14374.0,9088.0,23006.0,12.0
2004,29548697.6,5697.3,12057.0,190626.8,34.9,4789.1,93843.6,45177.4,18522.5,79950.0,10086856.6,593600.8,625642.3,255476.1,14955.3,154198.6,7350904.2,62227.0,48405.1,10088.3,48385.2,161759.9,808605.9,791.0,23335.4,16324.4,11102.1,246579.2,984.3,426871.8,10351.8,277545.8,1268760.0,2781156.0,69485.6,69265.4,580157.5,282129.2,684113.5,45770.4,426002.8,0.0,1354442.7,170.9,221181.4,49274.1,5356.1,8454.9,17244.2,43.3
2003,22257956.0,2644.7,8315.0,133467.0,197.3,3389.2,91022.0,29464.6,21836.0,62774.0,7627437.0,334323.0,448189.0,231516.0,5605.6,114090.0,5940870.0,46427.0,67499.0,9823.5,36542.0,128009.0,614089.0,334.2,15589.0,12201.0,8196.1,185499.0,669.5,309269.0,6180.2,214680.0,886377.0,2009477.0,50443.6,47992.0,382791.0,206514.0,503700.0,35338.0,318274.0,0.0,900409.0,107.0,157190.0,24515.6,2080.8,7882.8,14678.3,38.4
2002,17130288.0,1991.0,5792.0,106627.0,62.0,2102.0,72475.0,25156.0,22515.0,46754.0,5846315.0,267116.0,342645.0,139330.0,42082.0,89944.0,4843384.0,30476.0,26298.0,5431.0,27607.0,87612.0,497421.0,298.0,14003.0,10507.0,6018.0,124211.0,439.0,204224.0,4954.0,167154.0,698422.0,1553456.0,33675.0,35694.0,295735.0,108904.0,345090.0,30523.0,214838.0,,658572.0,,60010.0,14616.0,650.0,8678.0,10437.0,46.0
2001,14095658.0,1726.0,5209.0,95517.0,160.0,1715.0,49735.0,20561.0,11628.0,57313.0,4654664.0,189627.0,283654.0,88898.0,39697.0,83261.0,4495757.0,22598.0,19226.0,5441.0,23565.0,74346.0,322026.0,210.0,12285.0,14858.0,6674.0,81508.0,489.0,162031.0,3156.0,135411.0,579188.0,1252069.0,38661.0,22318.0,233745.0,67408.0,237738.0,20969.0,180445.0,,500024.0,,32772.0,7664.0,531.0,3149.0,5068.0,147.0
2000,13230823.0,1989.0,4901.0,89959.0,,1302.0,49644.0,16406.0,15186.0,45080.0,4451829.0,156073.0,306182.0,71344.0,32726.0,71884.0,4165431.0,20180.0,31667.0,3442.0,16894.0,70986.0,256487.0,134.0,11054.0,19707.0,5954.0,67032.0,,146441.0,3122.0,114474.0,576104.0,1129236.0,44545.0,17398.0,224325.0,107789.0,207843.0,17631.0,153726.0,,503900.0,,59875.0,11017.0,679.0,1210.0,3943.0,
