省份编码,省份,年份,地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政国内增值税(亿元),地方财政营业税(亿元),地方财政企业所得税(亿元),地方财政个人所得税(亿元),地方财政资源税(亿元),地方财政固定资产投资方向调节税(亿元),地方财政城市维护建设税(亿元),地方财政房产税(亿元),地方财政印花税(亿元),地方财政城镇土地使用税(亿元),地方财政土地增值税(亿元),地方财政车船税(亿元),地方财政耕地占用税(亿元),地方财政契税(亿元),地方财政烟叶税(亿元),地方财政其他税收收入(亿元),地方财政非税收入(亿元),地方财政专项收入(亿元),地方财政行政事业性收费收入(亿元),地方财政罚没收入(亿元),地方财政国有资本经营收入(亿元),地方财政国有资源(资产)有偿使用收入(亿元),地方财政其他非税收入(亿元)
120000,天津市,2002,209.7021,154.81,38.7315,51.6467,26.243,13.2035,0.424,0.3093,8.7309,6.4496,1.586,0.7545,,0.7415,0.8041,4.6775,,,,4.9095,7.3124,6.2545,,,
120000,天津市,2001,163.635,153.8,34.8737,42.9946,39.3829,16.5772,0.3851,0.2451,7.6875,5.0835,1.3325,0.6096,0.0,0.4121,0.3487,3.4989,,,,3.9989,4.3444,4.985,,,
120000,天津市,2000,133.6069,123.78,26.1214,38.159,29.2561,11.3352,0.3722,0.8629,7.0994,4.6716,1.1616,0.6852,,0.4354,0.2086,2.9892,,,,3.7624,5.6812,4.2987,,,
130000,河北省,2019,3738.9897,2630.7304,1013.5245,,411.3314,70.06,56.1293,,148.1921,75.2353,48.4087,139.0646,270.1071,53.9563,80.8613,234.5107,0.2522,1.7824,1108.2593,303.6303,179.4782,157.6383,35.8366,329.2008,102.4751
130000,河北省,2018,3513.8643,2555.8227,1009.0218,,406.0373,105.5976,48.0336,,149.9206,71.2839,44.5207,122.9769,247.6538,48.9544,63.3984,220.6555,0.1904,0.0062,958.0416,274.3798,155.1705,143.3438,22.596,258.2636,104.2879
130000,河北省,2017,3233.8332,2199.3496,913.7265,,351.7516,92.2945,44.9784,,129.0035,62.207,43.0205,112.1416,168.696,41.8595,58.5042,181.0813,0.085,,1034.4836,248.6136,189.1617,148.7525,27.9979,343.776,76.1819
130000,河北省,2016,2849.87,1996.12,595.2,342.41,272.99,71.52,30.2,,115.21,54.63,33.18,101.65,138.74,36.12,67.24,136.74,0.29,,853.75,187.8,208.65,113.47,31.6,224.37,42.55
130000,河北省,2015,2649.18,1934.29,315.35,651.54,266.94,62.86,28.36,,111.89,51.34,29.94,106.84,118.58,31.95,49.37,109.2,0.14,,714.89,217.22,185.8,113.27,22.83,142.31,33.47
130000,河北省,2014,2446.6166,1866.0576,310.0722,592.6441,256.2306,56.1247,54.6829,,105.9426,47.1821,31.3378,104.0373,116.0905,27.6058,49.1246,114.8381,0.1443,,580.559,95.2455,186.9822,103.1434,32.1153,127.7583,35.3143
130000,河北省,2013,2295.6203,1724.8687,255.3601,612.1031,231.6736,54.5958,56.9564,,101.6611,41.3224,30.4939,62.422,100.3757,23.8326,42.0345,111.9229,0.1145,0.0001,570.7516,94.0036,169.9542,97.2564,80.6078,95.7,33.2296
130000,河北省,2012,2084.2825,1560.5912,250.2965,533.4513,226.2031,50.1913,54.2601,,97.5908,35.665,27.8678,58.1184,69.715,20.7765,48.2542,88.1131,0.0881,,523.6913,96.8823,162.0512,97.5386,60.0152,82.9516,24.2524
130000,河北省,2011,1737.77,1348.51,229.85,457.27,199.08,57.39,32.77,,87.84,28.23,25.14,45.55,53.27,21.67,25.57,84.78,0.1,,389.26,99.98,118.25,81.21,38.32,39.53,11.98
130000,河北省,2010,1331.8547,1074.04,203.8448,362.6471,145.9251,47.05,25.77,,64.3,21.27,18.81,34.49,32.47,15.93,21.44,79.65,0.08,0.38,257.81,75.98,66.09,61.61,29.07,17.6,7.46
130000,河北省,2009,1067.1231,839.3286,190.6378,268.0491,117.7527,42.4092,23.6132,,51.1463,19.2864,14.0937,33.375,15.2163,10.663,13.1272,39.9124,0.0463,,227.7945,60.89,49.8148,53.8461,30.1084,11.5661,21.5691
130000,河北省,2008,947.5858,748.8871,196.8639,217.0775,112.2229,42.4823,23.6604,0.1918,48.7107,16.2274,12.4222,27.647,10.9204,6.2589,6.4937,27.609,0.0853,0.0137,198.6987,54.8216,52.3642,51.3106,21.1383,13.0805,5.9835
130000,河北省,2007,789.1198,618.2963,168.0787,178.3476,92.1078,36.6141,24.0888,,40.2442,14.0653,9.0866,17.2635,7.7585,2.7665,4.1515,23.6519,0.0628,0.0085,170.8235,47.9234,50.7118,42.5015,,,29.6868
130000,河北省,2006,620.534,,140.55,133.6099,66.3664,29.3536,17.5241,0.0159,33.4231,13.0461,6.7192,5.3728,3.6379,1.1205,3.9003,17.3577,,,,42.3728,43.1923,38.285,,,
130000,河北省,2005,515.7017,,121.0346,105.2792,53.3681,28.2403,11.0338,0.0208,29.2508,11.0806,5.15,4.4924,0.8539,0.9128,2.778,14.8178,,,,32.8512,38.4858,34.6513,,,
130000,河北省,2004,407.8273,,94.8119,85.5106,38.106,22.1514,8.1144,0.0368,22.9806,9.5302,3.2126,3.9373,0.2664,0.7461,2.3155,10.4314,,,,22.6207,34.2481,32.2612,,,
130000,河北省,2003,335.8263,255.456,68.7193,65.3546,28.6917,18.146,5.8092,0.0281,18.7733,9.0009,2.33,3.9236,0.238,0.7608,1.8644,5.9877,,,,16.6549,29.4368,25.974,,,
130000,河北省,2002,302.3068,202.75,55.2968,57.6808,33.3815,21.568,5.388,0.0477,16.5106,8.2934,1.6746,3.5172,0.1363,0.7648,1.4202,3.793,,,,14.0103,25.3454,22.0065,,,
130000,河北省,2001,283.5023,165.67,48.848,50.0222,54.1367,23.3082,4.9876,0.438,12.2231,7.059,1.3591,3.1928,0.0884,0.6904,1.4891,2.7813,,,,12.6067,26.3414,21.5931,,,
130000,河北省,2000,248.7621,152.9,43.6945,46.1942,35.4946,16.9936,4.7591,1.8415,11.8616,7.3719,1.2083,2.961,0.2583,0.8284,1.822,2.551,,,,11.8147,24.5937,17.9019,,,
140000,山西省,2019,2347.7478,1783.6582,718.7011,,271.4835,36.7602,383.0339,,78.0028,43.1293,31.1637,34.9055,60.8414,24.2133,10.5994,75.0681,0.181,1.3961,564.0896,131.7689,89.7082,66.7553,1.6769,227.1994,46.9809
140000,山西省,2018,2292.6982,1645.673,695.6004,,226.908,55.8199,325.1656,,79.9938,41.1064,30.2549,39.4896,57.5204,22.7489,11.6187,47.9051,0.2463,,647.0252,134.1112,77.3542,59.017,0.7036,333.4713,42.3679
140000,山西省,2017,1867.0022,1397.431,623.1118,,174.4151,47.8952,272.6921,,69.7628,34.3931,24.0713,35.5946,43.6263,20.8423,12.0832,38.6824,0.2608,,469.5712,115.8612,78.9199,43.2798,3.6276,176.5992,51.2835
140000,山西省,2016,1557.0,1036.67,349.45,161.56,116.55,35.18,140.35,,56.39,33.31,17.42,34.18,31.62,18.56,11.75,30.06,0.29,,520.33,149.46,75.72,48.17,3.92,201.51,17.31
140000,山西省,2015,1642.35,1056.6,201.14,299.81,143.05,36.25,143.18,,56.39,35.2,18.44,36.02,29.57,15.77,11.43,30.1,0.25,,585.75,386.54,76.36,50.08,1.93,53.34,17.5
140000,山西省,2014,1820.635,1134.3425,238.3303,345.823,167.3837,47.2035,58.8972,,67.2631,34.2896,22.2545,40.3968,30.9238,14.2201,20.3032,46.823,0.2307,,686.2925,444.2123,97.5636,60.9354,25.1467,34.1649,24.2696
140000,山西省,2013,1701.6227,1136.8875,214.6473,379.0637,202.073,48.8731,51.6503,,70.0687,25.8609,19.8225,33.8373,24.7362,12.6682,13.816,39.5549,0.2154,,564.7352,320.4666,96.7646,59.7829,27.988,32.1271,27.606
140000,山西省,2012,1516.378,1045.2161,242.8809,314.0623,214.3935,43.1029,43.7825,,67.7942,19.9799,17.7734,27.4659,15.3298,10.9528,8.9523,18.5844,0.1599,,471.1619,268.1784,88.7188,60.7817,16.0193,20.5212,16.9425
140000,山西省,2011,1213.43,872.88,239.97,242.81,150.22,42.84,38.76,,60.97,15.53,13.57,25.05,9.71,8.63,6.19,18.49,0.13,,340.55,180.61,78.41,49.39,4.34,19.18,8.63
140000,山西省,2010,969.6652,692.71,198.2571,191.9052,117.7458,31.95,32.65,,47.39,13.5,11.2,21.97,4.65,6.96,3.87,10.5,0.15,,276.96,153.6,54.54,43.23,3.36,10.35,11.88
140000,山西省,2009,805.8279,581.9108,175.6085,145.8223,101.8143,27.036,30.0528,,41.2507,12.9642,8.8236,22.3231,1.9954,3.5592,2.712,7.784,0.1451,0.0196,223.9171,115.1521,46.8682,36.0121,1.3421,6.4388,18.1038
140000,山西省,2008,748.0047,566.4935,197.07,129.7269,87.2894,25.6661,31.7432,0.0015,43.0142,10.6176,7.0708,20.1186,1.811,2.2139,2.2306,7.7482,0.0591,0.1124,181.5112,96.9561,40.5993,32.0611,0.4906,7.5678,3.8363
140000,山西省,2007,597.887,430.5002,146.1136,95.0788,84.3466,20.7426,25.8857,,29.8619,8.5946,5.2408,5.7295,1.1311,0.3081,1.7933,5.5753,0.0874,0.0109,167.3868,96.0966,37.0527,25.2054,,,9.0321
140000,山西省,2006,583.3752,,118.8365,74.4806,52.7204,15.6988,20.3968,0.0001,25.661,7.7599,3.9577,5.0608,0.4241,0.3271,1.2442,3.8885,,,,196.9464,27.75,21.8823,,,
140000,山西省,2005,368.3437,,102.6952,60.6999,36.9947,13.6805,18.1699,0.004,21.3095,6.5997,3.2805,4.498,0.153,0.2922,1.1477,3.1881,,,,48.0872,24.615,18.7501,,,
140000,山西省,2004,256.3634,170.7131,75.1383,48.3454,22.4324,10.4033,8.7022,0.0032,16.8322,5.4051,2.2838,2.4781,0.0214,0.3365,0.793,2.5036,,,,27.8083,18.3247,15.7007,,,
140000,山西省,2003,186.0547,147.5956,51.3574,36.6306,14.2312,8.586,8.0305,0.0541,12.9631,5.2527,1.7682,2.1206,0.01,0.3494,0.5807,1.5613,,,,10.9097,13.489,12.286,,,
140000,山西省,2002,150.8245,112.2,38.1066,31.3308,12.5977,9.9896,6.9803,0.1561,10.0959,4.9556,1.3986,2.1396,0.0051,0.343,0.8553,1.1617,,,,7.5808,8.129,9.6371,,,
140000,山西省,2001,132.7618,92.69,30.8705,26.1131,22.1608,9.0615,5.9428,0.4302,7.5565,4.4549,1.0685,1.9888,0.0161,0.3206,0.4653,0.7587,,,,5.9673,5.9683,8.149,,,
140000,山西省,2000,114.4762,81.88,25.5173,24.0567,11.1532,10.5842,5.0713,2.3044,6.4317,4.1342,0.7894,2.1138,0.0184,0.3674,0.6156,0.4349,,,,5.0817,4.3742,6.941,,,
150000,内蒙古自治区,2019,2059.694,1539.6884,566.0374,,181.6507,44.4873,302.3276,,72.1098,51.3189,22.0173,76.2408,61.743,21.6765,69.0851,52.0265,0.0888,2.5417,520.0056,123.1117,106.3492,58.3205,11.8549,195.4903,24.879
150000,内蒙古自治区,2018,1857.6493,1399.8574,533.7625,,165.085,63.2325,238.4879,,77.0985,59.0455,21.1722,89.2815,30.9309,21.7787,49.7768,41.4193,0.105,,457.7919,127.3884,122.7067,66.9384,7.5,107.205,26.0534
150000,内蒙古自治区,2017,1703.2095,1286.9065,513.7563,,128.8208,56.2193,204.03,,66.8931,51.6436,19.0178,81.1902,22.4195,19.1093,88.8133,34.8803,0.113,,416.303,113.9763,131.9644,44.3914,11.1199,94.3751,20.4759
150000,内蒙古自治区,2016,2016.43,1335.88,300.3,155.42,96.93,52.69,118.16,,57.2,49.2,15.89,122.03,40.06,17.36,262.01,48.44,0.19,,680.55,122.04,133.59,41.11,87.35,268.07,8.54
150000,内蒙古自治区,2015,1964.48,1320.75,167.58,317.89,101.77,44.62,105.3,,57.73,42.87,14.85,93.2,39.89,15.76,282.44,36.6,0.24,,643.74,198.17,123.25,38.87,78.07,189.41,15.96
150000,内蒙古自治区,2014,1843.6736,1251.0723,174.0186,339.005,109.6419,40.2007,72.6949,,61.0453,38.3902,16.5964,86.7353,51.2901,14.1274,201.207,45.8488,0.2707,,592.6013,162.5086,166.5715,41.542,103.8577,102.4585,15.663
150000,内蒙古自治区,2013,1720.9843,1215.1973,186.4448,353.0235,155.2566,44.9714,70.6431,,69.1734,31.8748,15.986,85.5164,49.0391,12.9387,89.478,50.5519,0.2996,,505.787,154.8152,124.3695,44.8692,59.08,105.2892,17.3639
150000,内蒙古自治区,2012,1552.7453,1119.8651,182.6838,319.7578,179.8497,47.6113,68.1045,,64.939,26.6069,15.7573,67.4702,35.0007,10.9903,65.8315,34.9806,0.2815,,432.8802,138.6399,113.5145,49.0989,46.0204,67.5553,18.0512
150000,内蒙古自治区,2011,1356.67,985.69,179.87,283.63,156.1,53.83,56.81,,59.87,23.35,13.91,52.14,30.57,7.82,30.65,36.93,0.2,,370.98,146.7,82.36,29.61,51.22,47.84,13.24
150000,内蒙古自治区,2010,1069.9776,752.81,135.9517,234.5705,101.266,39.34,36.82,,44.59,18.47,10.82,44.58,20.56,6.21,31.53,27.91,0.21,,317.16,124.5,62.09,25.86,58.92,33.62,12.17
150000,内蒙古自治区,2009,850.8588,576.8306,109.5639,170.2207,74.8124,29.6788,27.5457,,35.5506,15.6924,7.9981,37.4005,12.5519,4.9221,32.1657,18.0808,0.1936,0.4534,274.0282,109.7586,42.5362,21.9138,70.7123,20.6966,8.4107
150000,内蒙古自治区,2008,650.6764,464.4481,103.3422,134.7653,58.7981,24.0201,22.0576,0.1873,29.6385,12.571,6.9385,34.0544,10.6024,3.1645,10.1264,13.98,0.2018,,186.2283,72.1142,40.6135,20.0524,41.5549,8.3279,3.5654
150000,内蒙古自治区,2007,492.3615,347.9057,78.8928,115.2259,41.8011,17.5951,16.6767,,23.5883,10.7348,5.6054,15.4449,7.2772,1.3097,3.7356,9.7385,0.2099,0.0698,144.4558,62.4687,30.7863,18.5318,,,32.669
150000,内蒙古自治区,2006,343.3774,,59.4813,88.8508,27.2831,12.0836,12.7755,0.0747,18.0537,9.2741,4.567,8.3743,3.478,1.3084,7.1987,7.6906,,,,18.4955,27.7816,13.3562,,,
150000,内蒙古自治区,2005,277.4553,,48.4469,78.2709,19.355,10.0684,6.6395,0.3031,14.2453,7.21,3.2516,6.2537,1.2422,0.9362,6.0179,4.5345,,,,24.0019,17.0942,11.3281,,,
150000,内蒙古自治区,2004,196.7589,,32.8885,55.0223,8.6995,7.364,2.5921,0.1968,10.7499,6.9883,1.857,5.2895,0.5941,0.7622,3.917,3.7982,,,,11.2404,17.0085,7.3347,,,
150000,内蒙古自治区,2003,138.7157,106.5414,22.594,36.3318,7.1615,5.4288,2.0144,0.1996,6.9675,5.862,1.2052,4.1839,0.3688,0.576,2.6132,2.8108,,,,5.1762,12.3014,6.1011,,,
150000,内蒙古自治区,2002,112.8546,162.48,17.4936,26.4715,9.0287,5.7077,1.7244,0.6025,5.6654,4.9408,0.9686,2.9312,0.1886,0.5138,0.7294,1.7723,,,,4.254,9.3463,5.3965,,,
150000,内蒙古自治区,2001,99.4313,131.53,14.8386,19.6127,15.1985,6.671,2.0247,0.1452,4.8921,4.2363,0.7731,2.5587,0.1208,0.4555,0.4935,1.0728,,,,3.3623,8.2459,4.7363,,,
150000,内蒙古自治区,2000,95.032,122.65,13.3854,18.6796,10.5983,5.0865,2.0415,0.6935,4.606,4.3785,0.6825,2.8918,0.1581,0.4873,0.4382,0.6699,,,,3.6734,7.0349,3.6595,,,
210000,辽宁省,2019,2652.4028,1929.5158,783.3437,,330.1784,65.5171,42.451,,134.1116,97.1676,37.4377,132.862,90.1135,41.078,14.6216,153.5965,0.463,0.6991,722.887,138.469,118.7113,183.6019,10.5161,194.4191,77.1696
210000,辽宁省,2018,2616.0832,1976.1342,836.2794,,316.708,99.2018,41.3166,,144.7282,101.8324,34.0896,142.6004,76.3928,37.0727,10.1443,130.5621,0.7174,,639.949,156.3716,112.5856,157.048,8.5862,151.212,54.1456
210000,辽宁省,2017,2392.7653,1812.4175,785.7619,4.8,278.4146,90.4056,42.2786,,129.7657,95.2195,31.4446,139.1027,65.7383,34.3141,13.2673,105.424,1.2806,,580.3478,149.1834,120.6669,106.7606,5.1008,153.5066,45.1295
210000,辽宁省,2016,2200.49,1687.45,534.57,238.91,238.68,76.68,29.84,,124.28,84.1,27.51,125.21,60.08,31.28,14.97,100.25,0.92,0.17,513.04,152.91,131.8,77.94,19.03,85.18,16.06
210000,辽宁省,2015,2127.39,1650.45,286.17,471.3,235.26,72.43,37.63,,117.56,82.37,25.98,125.41,46.14,28.81,15.07,105.05,1.08,0.19,476.94,161.04,112.81,76.64,22.99,87.45,16.01
210000,辽宁省,2014,3192.7813,2330.5706,291.3264,562.2436,252.1008,70.2784,102.1414,,118.2248,82.1994,30.5318,248.0538,177.5671,26.3098,203.8868,163.8422,1.467,0.3973,862.2107,105.5338,182.4615,69.6315,199.7329,257.4587,47.3923
210000,辽宁省,2013,3343.8106,2521.6155,248.4078,657.0015,250.6806,64.1467,142.045,,119.2459,72.3539,30.2845,246.2844,190.2117,23.5865,239.9184,235.5501,1.4471,0.4514,822.1951,107.1182,198.0382,78.9375,180.8612,225.5757,31.6643
210000,辽宁省,2012,3105.3785,2317.1856,216.6971,606.4863,242.3854,60.9182,109.2976,,108.4068,64.1736,28.1525,221.9215,190.375,19.9004,225.198,217.4704,1.0691,4.7337,788.1929,110.5292,194.5887,88.0571,157.4268,206.2856,31.3055
210000,辽宁省,2011,2643.15,1974.85,218.32,556.2,227.16,76.94,68.12,,102.79,55.87,27.71,145.75,128.8,14.98,140.4,209.84,0.83,1.13,668.3,99.28,158.64,69.96,142.77,171.42,26.23
210000,辽宁省,2010,2004.8352,1516.65,188.8415,453.7483,174.055,64.2,46.45,,71.62,45.91,22.81,108.05,77.59,12.28,96.43,152.94,0.53,1.2,488.18,55.02,131.92,60.1,131.19,97.84,12.1
210000,辽宁省,2009,1591.2197,1183.9821,163.5645,363.9375,125.0874,48.9445,32.6543,,57.6854,41.0853,16.6701,85.181,47.9918,9.8033,69.5575,116.8939,0.8271,4.0985,407.2376,45.6725,93.7596,41.8909,145.6594,69.4592,10.796
210000,辽宁省,2008,1356.0812,1017.0987,172.764,303.995,142.4442,51.7291,28.2451,0.4493,58.7061,35.3834,16.3812,66.0309,24.7767,11.1117,24.3289,78.1487,0.5326,2.0718,338.9825,50.6693,117.1712,35.9058,92.9345,39.0307,3.271
210000,辽宁省,2007,1082.6948,815.6685,149.1115,252.0123,108.0575,45.7779,24.2627,,51.5751,29.855,12.6599,49.4187,18.2388,3.0246,5.968,64.7395,0.4614,0.5056,267.0263,50.8452,96.5376,32.905,,,86.7385
