省份编码,省份,年份,地方财政一般预算支出(亿元),地方财政一般公共服务支出(亿元),地方财政外交支出(亿元),地方财政国防支出(亿元),地方财政公共安全支出(亿元),地方财政教育支出(亿元),地方财政科学技术支出(亿元),地方财政文化体育与传媒支出(亿元),地方财政社会保障和就业支出(亿元),地方财政医疗卫生支出(亿元),地方财政环境保护支出(亿元),地方财政城乡社区事务支出(亿元),地方财政农林水事务支出(亿元),地方财政交通运输支出(亿元),地方财政资源勘探电力信息等事务支出(亿元),地方财政商业服务业等事务支出(亿元),地方财政金融监管支出(亿元),地方财政地震灾后重建支出(亿元),地方财政国土资源气象等事务支出决策数(亿元),地方财政住房保障支出支出(亿元),地方财政粮油物资储备管理等事务(亿元),地方财政国债还本付息支出(亿元),地方财政其他支出(亿元)
120000,天津市,2007,674.3262,72.319,,1.0148,53.8765,110.0248,22.3384,15.9616,79.5714,33.0964,5.9143,155.7246,26.795,8.4864,,,,,,,,,36.2297
120000,天津市,2006,543.1219,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2005,442.1207,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2004,375.0212,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2003,312.0771,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2002,265.2103,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2001,234.6673,,,,,,,,,,,,,,,,,,,,,,
120000,天津市,2000,187.0521,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2019,8309.0391,792.6288,,12.6344,432.4816,1537.0851,90.7006,157.9951,1227.9484,695.0707,502.4972,707.2007,978.2658,382.7991,131.889,27.3991,9.5858,,129.6042,209.2484,20.2266,167.2465,40.0377
130000,河北省,2018,7726.2086,712.3979,,9.4197,422.4775,1385.5919,77.0445,115.1706,1137.8417,691.3315,433.5468,668.088,906.2657,395.3309,121.1456,39.0891,9.7442,,110.0782,199.2025,19.4678,124.6601,137.9071
130000,河北省,2017,6639.184,633.1839,,8.8111,367.5478,1276.5528,69.0827,103.1861,976.8845,605.1038,353.4535,455.3527,782.9133,352.4174,114.0496,39.1991,4.0945,,118.3932,175.1153,18.9744,115.3602,60.9636
130000,河北省,2016,6049.53,551.81,,10.0,336.57,1134.9,73.18,87.54,839.27,547.86,262.8,555.7,800.79,251.8,125.35,35.8,7.5,,73.65,182.01,25.65,80.32,58.14
130000,河北省,2015,5632.1909,503.32,,10.31,287.08,1041.16,45.5,88.34,763.68,535.09,282.72,476.59,712.49,323.82,111.93,36.53,3.19,,73.29,161.15,37.43,46.52,85.49
130000,河北省,2014,4677.2981,476.5942,,12.3801,248.2869,868.8707,51.3193,82.6581,585.6183,446.7914,193.4322,367.832,583.5187,310.23,104.1274,29.062,1.9763,,66.3189,126.8604,28.5988,28.5432,58.2427
130000,河北省,2013,4409.5849,524.1439,,10.863,243.0477,837.628,49.76,72.7136,528.6169,380.747,171.8643,321.2777,511.1085,286.5741,106.8499,43.2086,7.8434,,72.4505,135.0136,26.4182,14.4074,61.4505
130000,河北省,2012,4079.4366,481.9733,,10.4805,227.1721,865.5393,44.7388,59.2883,470.2055,323.1682,127.9295,283.5052,443.6217,287.0414,89.7115,49.4784,4.8871,,63.9138,135.8057,26.8057,10.1194,70.6405
130000,河北省,2011,3537.39,414.93,,11.55,200.98,652.11,33.22,50.45,426.23,302.75,105.48,239.37,366.1,261.36,82.86,54.17,2.08,,73.68,142.56,25.14,6.61,85.75
130000,河北省,2010,2820.2439,358.1314,,7.08,176.08,514.2968,29.6492,37.094,358.7752,235.4805,115.1556,178.75,312.66,155.72,,,,0.0,,,,,101.62
130000,河北省,2009,2347.5894,346.4861,,4.5061,151.2021,439.3347,26.4283,38.0212,317.4182,174.6791,104.1989,149.5722,264.7835,161.0607,,,,0.1338,,,,,74.6725
130000,河北省,2008,1881.6696,317.6185,,2.5845,136.7819,376.9819,21.6674,29.0023,271.3726,120.2379,76.3556,132.4967,151.8977,28.9207,,,,0.6835,,,,,66.5109
130000,河北省,2007,1506.6482,269.4348,,2.6426,108.9217,283.3938,17.405,20.7547,220.1343,78.1096,43.7978,99.3755,111.9743,32.9879,,,,,,,,,118.4858
130000,河北省,2006,1180.359,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2005,979.1635,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2004,785.5591,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2003,646.7439,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2002,576.5891,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2001,514.1754,,,,,,,,,,,,,,,,,,,,,,
130000,河北省,2000,415.5374,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2019,4710.7629,391.6495,,3.8245,252.2801,696.2768,57.7171,112.2438,711.3372,366.6779,226.1475,483.5913,626.0441,320.7398,87.2852,14.1883,13.8235,,69.8646,121.9044,16.9664,67.8012,28.8795
140000,山西省,2018,4283.9099,362.6042,,3.6919,248.2509,668.0275,59.0845,92.8543,671.6478,358.9892,170.2941,370.524,581.335,208.6405,89.618,19.0774,20.3008,,79.5327,126.119,16.8158,55.3819,77.8974
140000,山西省,2017,3756.4199,314.0692,,3.6659,215.9961,620.6738,50.2451,71.9219,646.6265,321.3388,128.8667,281.9085,477.9052,164.7866,73.0109,19.5171,7.189,,119.9562,138.193,16.8325,42.4098,38.1828
140000,山西省,2016,3428.86,266.28,,4.84,203.52,606.97,34.56,72.64,542.28,300.86,115.54,256.7,432.02,193.17,60.55,15.91,7.95,,91.18,148.7,17.88,30.24,23.94
140000,山西省,2015,3422.9731,245.51,,5.34,173.79,602.85,37.47,73.08,533.45,290.71,99.46,255.47,394.46,208.84,54.42,15.31,5.61,,222.95,126.61,20.69,16.61,37.19
140000,山西省,2014,3085.2826,237.9414,,5.4444,160.8037,507.2806,54.2635,63.9515,450.7152,243.9413,95.2555,219.0533,327.853,170.3539,49.5982,13.9501,2.9142,,319.7137,93.3768,19.0705,9.304,38.1315
140000,山西省,2013,3030.1263,284.1306,,5.5779,156.0946,542.4434,62.0613,66.6886,419.019,201.6269,98.1575,186.0784,339.6864,180.5435,59.3324,26.5246,9.347,,244.2073,95.6298,19.527,5.2564,25.9992
140000,山西省,2012,2759.4582,274.4651,,4.6405,143.7926,558.0258,33.3189,60.1986,354.6147,180.341,88.1725,160.4545,309.6278,194.8179,47.781,23.6744,5.1483,,183.4317,85.6485,20.6691,4.1031,24.376
140000,山西省,2011,2363.85,251.58,,4.41,130.31,421.79,27.17,48.17,321.6,159.62,82.18,142.33,241.45,178.93,44.84,22.99,8.57,0.01,134.76,84.85,17.47,3.07,37.77
140000,山西省,2010,1931.3641,215.8294,,3.3,121.84,328.5846,20.119,31.2405,274.4625,113.8608,82.3735,111.57,201.71,131.65,,,,5.61,,,,,34.44
140000,山西省,2009,1561.7047,247.9368,,2.7036,98.4398,278.0654,17.6069,27.9714,236.9403,101.7292,70.6122,85.3077,198.4698,93.6834,,,,6.3953,,,,,30.902
140000,山西省,2008,1315.0175,223.4833,,2.3019,90.7536,234.9868,17.6381,27.1892,218.3811,71.4959,64.2863,101.1763,109.6934,33.6037,,,,1.0,,,,,28.8772
140000,山西省,2007,1049.9228,210.0764,,1.8051,70.6119,181.2182,15.7971,26.8075,182.8223,52.0956,44.9696,62.5721,84.5355,28.1527,,,,,,,,,30.8972
140000,山西省,2006,915.5698,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2005,668.7508,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2004,519.0569,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2003,415.6866,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2002,334.2741,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2001,289.5027,,,,,,,,,,,,,,,,,,,,,,
140000,山西省,2000,225.0554,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2019,5100.9101,365.4444,0.0367,3.9483,249.0576,609.9668,28.4875,119.3392,726.5233,322.1779,154.4824,541.2176,874.7335,403.3813,124.3911,21.2924,58.3692,,55.2201,172.7628,17.1089,165.9549,63.5247
150000,内蒙古自治区,2018,4831.4587,355.9778,0.0366,4.7056,247.4528,576.3281,26.0519,109.2702,707.1955,315.6153,162.7228,414.9194,903.9647,430.6869,80.3761,36.2062,29.4159,,52.9767,182.2127,18.6479,156.5074,18.8398
150000,内蒙古自治区,2017,4529.9252,349.1037,0.0568,4.3373,250.0914,561.8498,33.6737,116.7946,704.1436,323.4802,143.6651,340.1224,807.7146,344.3797,94.2413,41.8394,19.4306,,51.9804,164.3128,19.9079,119.1364,38.6984
150000,内蒙古自治区,2016,4512.71,324.69,0.03,4.04,222.17,554.97,32.38,89.25,642.54,284.63,159.39,592.33,729.02,299.43,94.92,37.04,4.44,,58.34,210.71,20.6,66.15,83.27
150000,内蒙古自治区,2015,4252.9613,299.14,0.03,5.4,188.37,536.53,35.72,95.81,605.26,257.15,175.25,560.2,675.58,292.78,76.63,45.79,13.16,,81.94,190.36,20.07,24.53,72.01
150000,内蒙古自治区,2014,3879.9789,297.5537,0.018,4.7699,180.4497,477.7716,32.8653,91.9029,531.7643,227.7786,142.7534,540.2959,517.6937,292.7154,92.0915,27.9643,3.2125,,89.1909,157.6127,76.2303,21.7242,72.8371
150000,内蒙古自治区,2013,3686.516,338.1002,0.0508,5.2559,175.7703,456.8693,31.6369,88.0481,491.0111,196.0264,132.1085,480.2209,466.5816,295.2267,109.306,27.0717,2.437,,81.6708,169.535,74.9512,17.9436,45.059
150000,内蒙古自治区,2012,3425.9895,341.8268,0.099,6.1896,173.3569,439.9688,27.6056,87.2054,435.4719,177.9085,131.5865,363.2394,450.8331,301.2441,88.8639,29.9525,3.2549,,73.2465,164.8304,75.7231,13.9218,36.5508
150000,内蒙古自治区,2011,2989.21,304.53,0.06,4.46,145.88,390.69,28.21,68.78,363.97,164.59,117.55,301.4,391.68,281.48,71.04,25.82,4.3,,70.25,140.35,59.7,10.22,44.23
150000,内蒙古自治区,2010,2273.5046,254.5346,,3.88,120.45,322.1072,21.3949,52.956,292.435,120.7166,107.9897,237.75,281.0,121.05,,,,,,,,,35.03
150000,内蒙古自治区,2009,1926.8365,295.223,,3.2586,96.9021,243.48,18.0652,47.3307,274.9737,102.9385,97.8972,210.0252,222.3599,132.8976,,,,,,,,,44.1128
150000,内蒙古自治区,2008,1454.5732,243.3914,0.0354,1.5909,76.4478,206.4017,15.3634,31.6243,191.5179,59.8205,79.6815,170.4399,160.7177,49.3087,,,,,,,,,42.8754
150000,内蒙古自治区,2007,1082.3054,194.0317,0.012,1.356,60.8509,153.5674,9.2228,27.7115,152.0235,43.8658,61.7283,121.9317,108.5176,48.4945,,,,,,,,,27.6878
150000,内蒙古自治区,2006,812.133,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2005,681.8772,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2004,564.1117,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2003,447.2566,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2002,393.5743,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2001,319.257,,,,,,,,,,,,,,,,,,,,,,
150000,内蒙古自治区,2000,247.2681,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2019,5745.0884,451.1273,,4.9145,390.0485,702.3767,74.0289,85.976,1441.3046,364.54,129.7274,546.4206,502.5729,188.5073,146.1885,25.4894,73.4526,,75.8094,180.9648,25.1973,235.7129,60.5802
210000,辽宁省,2018,5337.715,423.0338,,5.6782,354.4898,653.8765,75.0452,71.5933,1463.5736,350.6183,94.2119,462.5052,461.7437,211.9013,169.617,29.0962,3.7724,,54.1964,151.0821,22.0436,212.0052,53.5273
210000,辽宁省,2017,4879.4234,386.0356,,6.1394,301.6561,648.0636,57.382,86.4416,1340.5402,336.6275,106.5333,409.6408,459.2318,215.1643,105.9048,31.7658,2.1759,,45.7789,124.7688,21.8899,152.1808,28.7297
210000,辽宁省,2016,4577.47,370.92,,8.17,297.15,633.96,61.61,84.7,1145.49,307.31,87.24,392.74,480.73,188.37,94.34,33.24,28.1,,38.78,154.4,23.97,100.23,33.26
210000,辽宁省,2015,4481.6056,356.51,,7.9,256.72,610.24,68.92,88.59,995.1,281.96,116.79,494.34,446.07,269.98,114.42,45.76,12.37,,54.72,136.93,21.32,59.25,31.88
210000,辽宁省,2014,5080.4858,436.2899,,11.9679,235.6723,604.4946,108.8151,92.5975,895.9057,273.6145,106.0954,849.5013,443.8501,310.894,225.3229,59.3439,3.8882,,72.9166,174.3284,33.2059,41.3521,88.9801
210000,辽宁省,2013,5197.4158,501.3367,,11.9947,244.5721,669.4754,118.9861,95.3397,824.0326,229.4966,108.5925,807.2591,466.5248,302.513,304.2796,57.4843,4.8221,,87.3056,152.4595,33.725,29.0309,146.3266
210000,辽宁省,2012,4558.5851,485.7138,,13.7544,228.8026,728.7872,101.2421,79.253,727.7124,200.1896,93.2663,595.1854,405.0175,256.0985,263.3259,44.9924,7.6173,0.0086,60.3349,120.8961,36.8049,24.0313,83.3428
210000,辽宁省,2011,3905.85,415.23,,11.43,210.29,544.09,87.2,68.6,657.36,182.07,74.2,442.58,329.2,220.53,229.09,56.39,13.32,0.05,74.04,152.44,36.43,25.3,76.0
210000,辽宁省,2010,3195.8156,352.3998,,7.58,191.29,405.3855,68.9037,56.7604,579.8358,151.3593,77.4426,360.31,289.0,140.29,,,,0.05,,,,,73.38
210000,辽宁省,2009,2682.3864,329.1556,,7.4942,154.161,346.7304,57.4857,76.2536,518.0686,163.3201,55.7077,289.6569,240.7097,106.6002,,,,0.1506,,,,,125.3989
210000,辽宁省,2008,2153.4348,307.6503,,5.3771,147.5833,306.36,49.0226,29.9409,469.9675,83.9012,48.1798,217.2211,149.2933,37.2513,,,,,,,,,80.4038
210000,辽宁省,2007,1764.2805,271.1576,,5.8909,126.7721,252.1317,38.6889,24.7967,402.9808,66.6,30.729,171.7831,121.8008,26.9157,,,,,,,,,76.4774
210000,辽宁省,2006,1422.7471,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2005,1204.3636,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2004,931.3979,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2003,784.3764,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2002,690.9202,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2001,635.4295,,,,,,,,,,,,,,,,,,,,,,
210000,辽宁省,2000,518.0841,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2019,3933.4231,302.5179,,3.8715,222.2086,500.5285,39.1824,71.7526,687.7813,281.6938,147.9673,330.0765,564.3475,314.4481,71.0251,13.2528,45.0254,,40.9844,124.6235,36.1123,100.1068,12.0641
220000,吉林省,2018,3789.5894,308.8837,,5.2897,218.4806,513.8182,41.0991,70.2381,634.098,281.216,120.7852,375.1738,537.5508,232.5027,81.0679,26.1992,17.2921,,58.6604,124.4266,37.5302,83.776,17.39
220000,吉林省,2017,3725.722,294.4998,,5.0566,212.4403,508.0895,46.8447,70.6923,550.8036,279.216,115.1197,394.4485,554.7674,257.3348,88.4958,31.1362,6.9404,,67.8758,128.0396,48.728,55.3597,6.5195
220000,吉林省,2016,3586.09,260.91,,4.35,205.08,499.7,41.01,72.03,497.59,273.62,122.14,383.35,550.5,202.05,125.81,30.01,34.25,,45.61,136.45,49.47,41.58,7.45
220000,吉林省,2015,3217.0995,247.13,,5.39,168.87,477.57,41.39,73.01,462.28,245.81,117.7,341.86,408.61,191.83,127.26,28.68,5.54,,38.7,135.91,49.29,23.71,23.31
220000,吉林省,2014,2913.2468,253.5001,,5.1842,154.6255,407.1041,36.4479,61.1571,390.1986,206.4415,140.3017,273.2923,308.6795,229.105,99.5793,28.296,18.6163,,29.7671,137.2994,55.2772,60.1232,15.6636
220000,吉林省,2013,2744.8114,267.3093,,6.0791,147.7718,422.0946,37.2231,56.5462,360.1899,181.511,126.8326,214.216,318.2647,170.0467,101.0144,24.4507,10.4723,,29.7882,139.1355,49.8702,57.4024,22.376
220000,吉林省,2012,2471.1956,249.3754,,5.3774,135.6676,451.0537,24.9624,47.4757,304.0037,160.3586,113.8468,166.2941,291.3003,128.1597,74.3071,23.3849,4.6191,,23.7806,145.1894,55.1569,55.2167,9.9511
220000,吉林省,2011,2201.74,231.4,,4.48,118.81,319.82,21.18,44.25,298.99,143.87,102.42,154.17,255.57,149.79,73.82,22.46,7.12,0.6,24.97,124.15,55.45,34.52,13.9
220000,吉林省,2010,1787.2484,198.0449,,3.7,109.3,250.2028,19.1233,32.9349,253.3641,110.9132,71.5473,108.9,238.94,89.78,,,,4.33,,,,,13.01
220000,吉林省,2009,1479.2092,182.6715,,3.0798,98.1921,216.9899,18.979,29.3635,250.4396,107.3413,49.4809,82.5783,204.4452,57.6567,,,,3.3224,,,,,22.9606
220000,吉林省,2008,1180.1223,174.2481,,1.386,71.9504,188.0346,13.4116,28.2109,199.8556,59.5176,45.6067,85.3743,107.3357,29.2976,,,,0.3939,,,,,15.6267
220000,吉林省,2007,883.7597,141.6557,,1.3421,61.0183,144.416,11.087,22.3293,154.3673,42.3106,30.4523,46.1155,80.0709,23.4909,,,,,,,,,11.5979
220000,吉林省,2006,718.3588,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2005,631.1212,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2004,507.7758,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2003,409.2265,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2002,362.617,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2001,326.4343,,,,,,,,,,,,,,,,,,,,,,
220000,吉林省,2000,260.6694,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2019,5011.5589,300.9978,,4.662,253.8635,555.1255,42.1622,54.7005,1113.2672,314.4235,211.0589,555.7916,881.9893,220.6055,92.7609,10.9027,7.5874,,36.815,166.8965,47.2599,103.3566,2.7821
230000,黑龙江省,2018,4676.7503,307.6072,,5.5208,247.2225,544.3838,39.5249,46.2012,1024.0862,300.9978,154.0926,415.698,834.4713,244.7099,90.182,18.3753,2.3421,,32.4406,240.9575,54.6516,63.9464,4.9658
230000,黑龙江省,2017,4641.0771,279.0825,,5.3419,223.3909,573.1126,46.9094,53.5564,928.5487,297.1657,193.204,456.6972,815.1611,252.5594,70.3486,18.2754,2.9221,,47.8266,265.1544,48.3161,55.1806,4.8209
230000,黑龙江省,2016,4227.34,266.7,,4.88,210.3,558.87,44.92,53.21,732.41,280.56,113.44,387.08,801.77,250.4,81.99,17.47,5.9,,35.73,271.95,62.32,35.52,8.12
230000,黑龙江省,2015,4020.6554,242.67,,5.34,180.94,549.66,42.91,53.17,728.73,273.96,155.52,350.52,681.48,272.07,106.45,23.89,0.8,,34.92,212.34,65.86,17.14,17.99
230000,黑龙江省,2014,3434.2184,256.1959,,4.8777,170.7654,505.9364,39.4571,45.6292,602.6792,235.3133,111.5668,332.1053,487.667,236.9728,91.3369,21.4496,1.1542,,32.8086,147.1889,71.644,13.1048,23.6189
230000,黑龙江省,2013,3369.1827,278.7957,0.027,5.578,173.3455,501.2788,38.6146,52.3705,542.3259,190.495,115.7524,301.0704,461.6956,244.1954,95.0326,22.5385,1.6658,,45.5967,180.9806,66.7539,8.4241,40.2333
230000,黑龙江省,2012,3171.5236,271.2624,0.0356,4.995,168.4036,544.7877,37.6423,47.2688,458.2007,173.3286,104.8634,205.6038,430.3941,226.5099,94.6791,28.4332,2.6133,,32.1893,218.7777,65.8112,5.3631,50.3608
230000,黑龙江省,2011,2794.08,256.37,0.09,5.13,141.22,373.83,33.23,44.94,392.05,170.78,92.27,179.71,355.98,249.88,108.67,28.72,2.56,0.05,34.41,183.17,69.0,3.14,68.89
230000,黑龙江省,2010,2253.2694,222.5718,,4.92,134.85,299.1445,27.6916,39.4962,306.0615,135.1796,88.9983,141.13,338.06,147.72,,,,0.58,,,,,40.38
230000,黑龙江省,2009,1877.738,229.3057,,3.4689,109.1058,266.6094,19.9577,33.4589,339.6439,135.5024,59.0693,104.1707,192.4199,103.7814,,,,,,,,,51.7732
230000,黑龙江省,2008,1542.3004,240.4474,0.0975,2.7653,92.4983,256.6199,20.0885,23.9638,228.6253,71.6984,48.5105,98.5375,148.1514,52.3281,,,,0.5155,,,,,35.0422
230000,黑龙江省,2007,1187.2711,167.9521,0.042,2.5354,79.9519,199.7524,17.4743,20.3474,217.0582,57.5415,44.3402,69.1666,106.0181,42.563,,,,,,,,,23.3435
230000,黑龙江省,2006,968.5255,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2005,787.7854,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2004,697.5516,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2003,564.908,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2002,531.8682,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2001,478.2724,,,,,,,,,,,,,,,,,,,,,,
230000,黑龙江省,2000,381.8736,,,,,,,,,,,,,,,,,,,,,,
