省份编码,省份,年份,参加失业保险人数(万人),年末领取失业保险金人数(万人),失业保险基金收入(万元),失业保险基金支出(万元),失业保险累计结余(万元)
130000,河北省,2015,510.979,8.024,428624.740843,279097.76275,1690636.861382
130000,河北省,2014,508.728,7.101,514798.697341,206030.180909,1541109.883289
130000,河北省,2013,505.009,7.106,466154.00796,194071.133368,1232341.366857
130000,河北省,2012,501.745,7.884,410800.670622,156959.063853,960258.492265
130000,河北省,2011,498.6953,8.3503,326630.652857,167817.542304,706416.89
130000,河北省,2010,493.4,9.014,276000,235000,548000
130000,河北省,2009,484.4058,10.4266,249130.712658,242104.97747,506233.78
130000,河北省,2008,481.6944,9.75,219009.16683,82029.110278,498973.88
130000,河北省,2007,473.3331,11.6192,160456.73427,107086.492835,361971.83
130000,河北省,2006,470.7696,13.3801,136812.798608,81533.98401,308724.7
130000,河北省,2005,461.2011,13.2532,,,
130000,河北省,2004,478.9942,11.0195,,,
130000,河北省,2003,484.1768,8.2734,,,
130000,河北省,2002,488.6,7.2094,,,
130000,河北省,2001,513.973,7.3387,,,
130000,河北省,2000,542.166,7.2425,,,
140000,山西省,2019,443.9037,3.1148,237680,143941,1639698
140000,山西省,2018,431.13,2.893,265512,117722,1932960
140000,山西省,2017,420.5592,2.9575,251780.792804,123063.849067,1785168.116248
140000,山西省,2016,415.151,3.0,275095.184273,118714.047569,1656451.172511
140000,山西省,2015,411.285,3.076,306145.196646,137881.93436,1500070.035807
140000,山西省,2014,407.677,3.047,365372.513478,123789.713866,1331806.773521
140000,山西省,2013,400.734,3.127,341317.133502,52174.845414,1090223.973909
140000,山西省,2012,390.955,3.792,263477.523109,49618.896314,801081.685821
140000,山西省,2011,309.3517,4.3246,187751.070125,52477.609848,587228.06
140000,山西省,2010,305.7,4.5933,138000,67000,452000
140000,山西省,2009,293.3076,6.0546,119325.367746,61571.954108,380826.98
140000,山西省,2008,312.153,7.2976,127481.158288,46635.597038,323064.62
140000,山西省,2007,298.9666,6.0498,102925.724775,32556.38719,242232.3
140000,山西省,2006,295.9506,5.1877,63151.335328,26351.241648,171861.02
140000,山西省,2005,288.5397,4.8432,,,
140000,山西省,2004,286.5426,5.4145,,,
140000,山西省,2003,284.0504,5.7493,,,
140000,山西省,2002,278.9,4.4886,,,
140000,山西省,2001,268.376,5.8559,,,
140000,山西省,2000,254.743,3.2961,,,
150000,内蒙古自治区,2019,267.3728,2.3287,197205,122775,1191576
150000,内蒙古自治区,2018,255.535,2.511,211690,99050,1397150
150000,内蒙古自治区,2017,247.0825,2.5439,169570.888591,73442.505102,1289327.521962
150000,内蒙古自治区,2016,241.127,3.002,241052.222023,138132.5048,1188374.147935
150000,内蒙古自治区,2015,242.057,2.93,262292.174597,97723.294646,1085454.430712
150000,内蒙古自治区,2014,236.302,2.358,274815.675495,64446.038788,920885.550761
150000,内蒙古自治区,2013,233.415,2.322,242533.59533,63423.381639,710515.914054
150000,内蒙古自治区,2012,232.771,2.494,196882.7323,44843.742929,531405.700363
150000,内蒙古自治区,2011,232.4934,2.5304,150411.96625,58008.582263,379366.71
150000,内蒙古自治区,2010,230.9,2.1484,116000,47000,287000
150000,内蒙古自治区,2009,229.704,2.48,97215.149868,52452.161189,217834.31
150000,内蒙古自治区,2008,225.5094,3.0948,76045.227178,31922.884406,173626.54
150000,内蒙古自治区,2007,223.7136,4.736,60063.508579,29612.326897,129602.21
150000,内蒙古自治区,2006,223.4689,4.9526,49758.017099,24173.04832,98866.98
150000,内蒙古自治区,2005,222.249,4.8885,,,
150000,内蒙古自治区,2004,222.3007,5.826,,25406,
150000,内蒙古自治区,2003,221.582,5.7181,,,
150000,内蒙古自治区,2002,219.7,7.1221,,,
150000,内蒙古自治区,2001,216.495,5.3874,,,
150000,内蒙古自治区,2000,220.4189,6.4044,,,
210000,辽宁省,2019,668.2072,12.5743,425923,368095,2336992
210000,辽宁省,2018,679.606,11.219,378940,354625,2849320
210000,辽宁省,2017,679.9288,10.5154,388577.031052,266324.640003,2825006.276338
210000,辽宁省,2016,665.356,10.686,468486.040415,350072.975139,2702753.885289
210000,辽宁省,2015,665.323,9.702,491866.958271,181963.753518,2584340.820013
210000,辽宁省,2014,664.325,8.508,529233.770886,177291.068806,2274437.61526
210000,辽宁省,2013,663.181,7.55,645510.80441,159485.306385,1922494.91318
210000,辽宁省,2012,660.746,7.401,662689.165945,169800.011365,1436469.415155
210000,辽宁省,2011,632.3021,9.6519,516154.342699,193038.421668,943580.26
210000,辽宁省,2010,626.9,11.3634,393000,163000,620000
210000,辽宁省,2009,625.278,13.3776,355104.500729,216423.944652,390385.48
210000,辽宁省,2008,622.7325,15.7493,307042.90373,138673.681948,251631.91
210000,辽宁省,2007,622.1366,19.5891,249458.525064,133693.848729,84164.62
210000,辽宁省,2006,614.0812,25.918,205055.962172,156104.508559,-31954.98
210000,辽宁省,2005,607.7019,46.5482,,,
210000,辽宁省,2004,616.1865,81.6839,,,
210000,辽宁省,2003,622.2435,67.0082,,,
210000,辽宁省,2002,591.2,82.2336,,,
210000,辽宁省,2001,648.06,20.2791,,,
210000,辽宁省,2000,648.0819,23.8455,,,
220000,吉林省,2019,273.6266,2.4655,187439,157610,1100338
220000,吉林省,2018,269.461,2.358,190910,109927,1338220
220000,吉林省,2017,263.6615,2.7653,214106.852104,120548.769822,1257239.360349
220000,吉林省,2016,262.007,2.722,225387.274334,117288.350214,1163681.278067
220000,吉林省,2015,261.24,2.221,270736.11523,78986.236147,1055582.353947
220000,吉林省,2014,258.717,2.237,268063.600894,114395.663718,863832.474864
220000,吉林省,2013,258.792,6.034,241669.380366,103599.146595,710164.537688
220000,吉林省,2012,251.549,4.551,200591.114637,56938.060271,572094.303917
220000,吉林省,2011,247.1901,5.114,157586.042582,60810.997975,428441.25
220000,吉林省,2010,245.1,7.7767,120000,58000,332000
220000,吉林省,2009,241.4469,14.2638,120167.510745,83627.291314,270633.94
220000,吉林省,2008,233.7126,16.4583,95939.903402,57369.046088,234093.72
220000,吉林省,2007,228.7096,13.9275,91891.535486,44311.155596,195517.32
220000,吉林省,2006,224.3779,10.1976,65754.228218,22109.580579,147913.15
220000,吉林省,2005,199.4377,7.4906,,,
220000,吉林省,2004,282.1872,12.1507,,,
220000,吉林省,2003,292.8848,16.2043,,,
220000,吉林省,2002,284.0,15.6423,,,
220000,吉林省,2001,283.809,13.1773,,,
220000,吉林省,2000,279.3,5.127,,,
230000,黑龙江省,2019,324.0305,3.3213,212753,244972,1285227
230000,黑龙江省,2018,318.046,3.543,180134,140865,1716940
230000,黑龙江省,2017,315.1283,4.144,197485.361363,171869.348779,1677673.103519
230000,黑龙江省,2016,313.244,3.946,246594.381983,182840.028482,1652057.090935
230000,黑龙江省,2015,312.836,3.712,298139.879303,167273.445885,1588302.737434
230000,黑龙江省,2014,478.424,4.754,338635.775163,69904.625605,1457436.304016
230000,黑龙江省,2013,477.357,7.135,307166.704093,79573.573736,1188705.154458
230000,黑龙江省,2012,476.214,7.669,322826.785961,73535.62811,961112.024101
230000,黑龙江省,2011,474.5013,7.0746,223470.336653,56868.724804,711820.87
230000,黑龙江省,2010,472.9,8.7689,138000,164000,545000
230000,黑龙江省,2009,471.2644,9.3367,144934.556539,81990.471218,570434.49
230000,黑龙江省,2008,467.5747,10.3127,160692.658494,54107.803232,506467.17
230000,黑龙江省,2007,464.0819,15.3123,135999.682091,61688.044985,399855.82
230000,黑龙江省,2006,457.4589,17.7836,111402.288718,44314.027289,325548.88
230000,黑龙江省,2005,459.6296,10.3301,,,
230000,黑龙江省,2004,475.774,9.6802,,,
230000,黑龙江省,2003,478.9778,12.6435,,,
230000,黑龙江省,2002,466.0,19.6125,,,
230000,黑龙江省,2001,532.692,12.4945,,,
230000,黑龙江省,2000,538.7155,6.0014,,,
310000,上海市,2019,984.8563,10.6044,1050875,1270986,926073
310000,上海市,2018,977.196,10.791,967692,1234198,1432190
310000,上海市,2017,961.8375,11.1281,871726.228251,984806.272157,1698692.419995
310000,上海市,2016,947.32,10.537,1044652.315228,933779.443795,1811772.463901
310000,上海市,2015,641.766,9.538,987029.322362,856432.584732,1700899.592468
310000,上海市,2014,634.076,9.809,897589.218209,835927.852437,1570302.854838
310000,上海市,2013,625.739,9.928,995146.710271,778730.558933,1508641.489066
310000,上海市,2012,617.353,10.874,915376.806857,694657.264562,1292225.337728
310000,上海市,2011,604.2213,11.2205,816312.330984,618363.76713,1071505.8
310000,上海市,2010,556.2,11.607,717000,607000,874000
310000,上海市,2009,523.5333,14.5606,617815.6149,546919.713831,764042.04
310000,上海市,2008,511.8263,13.9722,539007.277981,443032.421804,693171.2
310000,上海市,2007,491.5419,14.8901,454290.877917,296725.982125,597218.67
310000,上海市,2006,476.411,18.538,499397.323919,261064.26625,415143.23
310000,上海市,2005,466.0576,17.7777,,,
310000,上海市,2004,487.7549,15.8658,,,
310000,上海市,2003,441.136,13.9617,,,
310000,上海市,2002,436.0,14.4137,,,
310000,上海市,2001,430.705,13.1312,,,
310000,上海市,2000,434.9,38.6537,,,
320000,江苏省,2019,1794.2001,30.5512,1145486,1157456,3495953
320000,江苏省,2018,1671.309,30.408,999689,1020920,4384920
320000,江苏省,2017,1582.9504,32.1402,880255.274653,999508.267827,4280468.44525
320000,江苏省,2016,1538.122,33.979,1124389.400383,1097737.151212,4399721.438424
320000,江苏省,2015,1490.911,34.227,1300741.471877,761268.45655,4373069.189253
320000,江苏省,2014,1442.673,32.056,1148586.058916,701609.211585,3833596.173926
320000,江苏省,2013,1389.335,29.884,1342018.152847,628475.175379,3386619.326595
320000,江苏省,2012,1332.178,32.707,1216333.988955,573547.961244,2673076.349127
320000,江苏省,2011,1238.1581,29.8746,1007508.379997,699563.671129,2030309.82
320000,江苏省,2010,1153.8,19.737,685000,374000,1723000
320000,江苏省,2009,1079.1372,19.6753,584795.822657,362572.379378,1411835.03
320000,江苏省,2008,1052.2368,21.5137,593462.286752,274658.151425,1190443.38
320000,江苏省,2007,968.4993,21.1699,465213.175837,176202.713407,871625.75
320000,江苏省,2006,901.0778,22.6642,369755.411138,177925.090784,582613.42
320000,江苏省,2005,838.2922,30.175,,,
320000,江苏省,2004,797.0893,43.5972,,,
320000,江苏省,2003,761.6192,48.931,,,
320000,江苏省,2002,735.6,49.6858,,,
320000,江苏省,2001,750.9,39.4886,,,
320000,江苏省,2000,757.067,43.818,,,
330000,浙江省,2019,1561.7225,13.5588,878432,1870187,2484016
330000,浙江省,2018,1478.357,12.989,816068,590590,4344770
330000,浙江省,2017,1380.8658,8.9074,742268.797216,633129.151766,4119295.274523
330000,浙江省,2016,1317.0,9.039,898210.565868,686959.421748,4010155.629073
330000,浙江省,2015,1260.248,9.005,981407.205907,613985.779115,3798904.484953
330000,浙江省,2014,1210.349,8.225,1095249.005879,502047.541782,3431483.058161
330000,浙江省,2013,1144.325,7.835,933390.47161,434523.969825,2838281.594064
330000,浙江省,2012,1065.562,6.977,835687.175991,369229.657859,2339415.092279
330000,浙江省,2011,980.5932,7.3791,641957.055907,330670.660308,1873032.57
330000,浙江省,2010,875.0,5.8181,518000,234000,1562000
330000,浙江省,2009,784.4627,5.5153,438449.994291,175879.513419,1277682.54
330000,浙江省,2008,731.0954,6.3465,362363.487032,98895.334834,1015676.06
330000,浙江省,2007,584.7461,6.3321,287583.575215,81180.176275,752400.85
330000,浙江省,2006,504.384,6.534,227260.07618,61705.967435,546255.67
330000,浙江省,2005,444.6677,7.2021,,,
330000,浙江省,2004,428.4441,11.2766,,,
330000,浙江省,2003,396.844,17.4445,,,
330000,浙江省,2002,390.0,27.5207,,,
330000,浙江省,2001,391.058,32.9708,,,
330000,浙江省,2000,392.4477,34.5476,,,
340000,安徽省,2019,518.7871,7.2348,380559,511695,847541
340000,安徽省,2018,505.528,7.549,287831,228550,1223680
340000,安徽省,2017,472.41,8.1023,260926.026515,252110.49505,1164398.09161
340000,安徽省,2016,448.489,8.802,360449.552735,266819.612917,1155582.560145
340000,安徽省,2015,436.644,7.733,366833.209958,229115.787458,1061952.620327
340000,安徽省,2014,422.036,6.511,385559.467603,176267.662858,924235.197827
340000,安徽省,2013,409.037,6.059,328357.594877,189612.383133,714943.393082
340000,安徽省,2012,402.155,6.129,267619.596369,142706.28088,576198.181338
340000,安徽省,2011,397.7226,6.7266,234153.311227,65131.102317,451487.37
340000,安徽省,2010,384.0,7.8226,164000,96000,283000
340000,安徽省,2009,377.8154,10.5242,144190.470862,114844.794559,213963.21
340000,安徽省,2008,373.0891,12.8352,143644.997593,71589.569272,184701.87
340000,安徽省,2007,364.5339,14.1088,116534.647903,64610.263832,112645.17
340000,安徽省,2006,362.5607,17.857,103498.243347,80304.177963,60829.37
340000,安徽省,2005,360.2547,24.2791,,,
340000,安徽省,2004,371.0769,26.3757,,,
340000,安徽省,2003,380.8134,23.4346,,,
340000,安徽省,2002,378.8,17.5215,,,
340000,安徽省,2001,375.589,11.5152,,,
340000,安徽省,2000,364.926,14.4361,,,
350000,福建省,2019,610.6154,5.9053,246378,199562,1470308
350000,福建省,2018,570.272,5.046,227654,164100,1779490
350000,福建省,2017,612.3266,4.9341,242650.291626,165748.377202,1715940.983221
350000,福建省,2016,575.52,5.179,292284.470911,168218.017665,1639039.068797
350000,福建省,2015,546.272,5.023,345421.120088,110603.920041,1514972.615551
350000,福建省,2014,524.081,4.459,348003.405006,99910.050124,1280155.415504
350000,福建省,2013,496.659,4.201,299894.058201,96650.610319,1032062.060622
350000,福建省,2012,459.12,4.61,226503.212907,79013.912297,828977.51274
350000,福建省,2011,430.9038,3.5701,222303.302126,63344.639713,681488.21
350000,福建省,2010,374.2,3.1738,116000,56000,523000
350000,福建省,2009,348.1418,3.6057,113001.930006,43021.648095,462298.97
350000,福建省,2008,338.6891,4.6391,139625.804966,39760.940506,392352.96
350000,福建省,2007,318.1539,5.7104,120831.420416,41139.931028,292716.11
350000,福建省,2006,293.0658,6.7744,93058.075926,43944.420936,212267.8
350000,福建省,2005,266.5902,8.6088,,,
350000,福建省,2004,266.4067,9.4893,70000,42200,124400
350000,福建省,2003,266.3636,10.0099,,,
350000,福建省,2002,249.5,11.104,,,
350000,福建省,2001,239.637,9.5927,,,
350000,福建省,2000,165.7245,6.9888,,,
360000,江西省,2019,289.684,1.6018,137531,65749,757853
360000,江西省,2018,287.981,1.747,134880,40400,866070
360000,江西省,2017,286.252,1.6615,95574.444561,37947.959846,771587.6903
360000,江西省,2016,282.641,1.623,106585.55996,37414.744579,713961.205585
360000,江西省,2015,281.493,1.431,135812.501303,42418.405514,644790.390204
360000,江西省,2014,271.752,1.315,131229.222079,22811.602478,551411.756415
360000,江西省,2013,271.058,1.505,110988.669546,32299.544747,442994.136814
360000,江西省,2012,272.203,3.291,102753.128734,34977.98751,362522.312115
360000,江西省,2011,263.4844,5.405,82323.393136,45427.168635,294697.67
360000,江西省,2010,265.3,8.1888,81000,47000,258000
360000,江西省,2009,275.4731,3.4424,69898.988914,28401.457013,224274.54
360000,江西省,2008,266.2969,3.4268,63670.174875,20229.619988,183271.84
360000,江西省,2007,251.4553,5.2845,51651.245435,20082.287133,139842.8
360000,江西省,2006,241.0454,4.8554,45869.136485,22435.241609,108632.47
360000,江西省,2005,230.7383,6.0165,,,
360000,江西省,2004,226.5597,7.2067,,,
360000,江西省,2003,215.5403,5.909,,,
360000,江西省,2002,226.7,3.8625,,,
360000,江西省,2001,234.528,2.0529,,,
360000,江西省,2000,231.5861,0.8051,,,
370000,山东省,2019,1365.9578,17.6725,821445,776935,2521928
370000,山东省,2018,1318.516,18.745,740733,644590,3097620
370000,山东省,2017,1268.337,20.097,675843.782357,652143.577811,3001474.376183
370000,山东省,2016,1222.877,21.971,923996.988206,699619.266621,2977774.173443
370000,山东省,2015,1203.784,21.599,716173.074657,572739.320682,2753396.451858
370000,山东省,2014,1154.309,19.887,685941.838744,492805.516637,2609962.697883
370000,山东省,2013,1089.625,17.812,572887.453592,463266.347696,2416826.375776
370000,山东省,2012,1009.836,19.063,832141.51349,353487.28102,2307205.26988
370000,山东省,2011,964.8795,19.7911,654749.068266,258663.426753,1828551.04
370000,山东省,2010,931.2,20.6631,430000,313000,1432000
370000,山东省,2009,899.5414,22.9536,415148.944223,222286.163647,1315361.48
370000,山东省,2008,864.1354,24.8973,453060.32587,143760.028886,1120768.82
370000,山东省,2007,814.9359,27.7932,364913.140281,134721.445221,812613.08
370000,山东省,2006,789.7347,30.2662,312362.895209,110528.641174,604318.27
370000,山东省,2005,771.0849,32.2498,,,
370000,山东省,2004,747.4802,30.6147,,,
370000,山东省,2003,719.1386,30.1269,,,
370000,山东省,2002,701.2,30.1175,,,
370000,山东省,2001,692.0,20.4768,,,
370000,山东省,2000,715.0,18.5898,,,
410000,河南省,2019,837.2629,6.8405,421967,484774,1571870
410000,河南省,2018,819.905,7.214,362550,207210,2039580
410000,河南省,2017,805.5697,7.4623,325458.136772,197551.671547,1883826.07444
410000,河南省,2016,788.072,7.569,385792.597942,225645.925673,1750145.610926
410000,河南省,2015,783.338,8.29,436735.256889,186169.79519,1590348.643657
410000,河南省,2014,773.302,10.188,485981.913933,163775.296141,1339190.919055
410000,河南省,2013,741.292,10.503,412100.345016,162200.00651,1010997.27502
410000,河南省,2012,724.195,11.426,339264.209938,147944.126614,766989.505816
410000,河南省,2011,701.187,13.2651,274677.825726,135195.087213,570273.57
410000,河南省,2010,696.7,14.6894,188000,148000,429000
410000,河南省,2009,690.1925,16.7328,177989.281845,123086.999478,389964.79
410000,河南省,2008,683.4087,18.419,180966.269871,127870.467994,334399.32
410000,河南省,2007,682.949,21.587,151552.380582,114829.526685,282286.84
410000,河南省,2006,682.8178,27.999,139518.253785,122501.144458,246004.48
410000,河南省,2005,681.8761,29.2429,,,
410000,河南省,2004,681.6399,22.3299,,,
410000,河南省,2003,679.9742,18.6991,,,
410000,河南省,2002,670.4,16.7616,,,
410000,河南省,2001,674.518,9.9883,,,
410000,河南省,2000,677.609,9.5803,,,
420000,湖北省,2019,619.5108,6.1902,373774,256733,1625192
420000,湖北省,2018,590.819,6.052,312129,212020,1885190
420000,湖北省,2017,561.3148,6.3801,261927.102624,209759.35965,1785082.648271
420000,湖北省,2016,541.878,6.862,309713.383978,238871.535987,1732914.905297
420000,湖北省,2015,528.385,6.019,405481.608447,137140.503749,1662073.057306
420000,湖北省,2014,519.03,5.637,450060.179494,258996.061081,1393731.952608
420000,湖北省,2013,511.266,5.19,387917.787871,93309.457474,1202667.834195
420000,湖北省,2012,508.59,4.834,331495.635572,84375.601381,908059.503798
420000,湖北省,2011,498.1763,5.1234,249413.769298,58191.662719,660939.47
420000,湖北省,2010,469.7,6.4197,159000,84000,470000
420000,湖北省,2009,440.291,6.9554,145848.378108,88595.559545,393653.41
420000,湖北省,2008,422.9236,7.4024,153842.584573,83764.173461,337132.79
420000,湖北省,2007,405.6732,8.9352,118152.315114,46507.643448,269157.06
420000,湖北省,2006,395.474,11.969,102733.193609,42795.509071,197462.83
420000,湖北省,2005,391.5293,14.7951,,,
420000,湖北省,2004,391.3404,17.0123,,,
420000,湖北省,2003,390.1408,18.7281,,,
420000,湖北省,2002,416.1,25.1424,,,
420000,湖北省,2001,420.812,26.1388,,,
420000,湖北省,2000,459.596,16.5225,,,
430000,湖南省,2019,606.5933,6.326,249135,159073,1233419
430000,湖南省,2018,584.161,5.927,247600,146840,1429360
430000,湖南省,2017,563.7163,6.7757,232420.652798,164734.229387,1328594.026103
430000,湖南省,2016,537.535,7.012,276364.579748,167506.342864,1260907.602692
430000,湖南省,2015,521.156,6.71,290435.55133,127352.770427,1152049.365808
430000,湖南省,2014,509.498,6.875,309502.226205,108850.446572,988966.584905
430000,湖南省,2013,461.664,6.136,262205.626088,87548.210382,788314.805271999
430000,湖南省,2012,449.921,5.954,223262.963483,86285.099874,613657.389566
430000,湖南省,2011,415.6296,7.0134,176819.177541,73065.439663,476850.53
430000,湖南省,2010,399.5,6.8873,145000,75000,373000
430000,湖南省,2009,392.0093,8.2798,137203.225391,73079.481555,303820.81
430000,湖南省,2008,390.1182,8.2867,115186.477913,65994.39435,240213.76
430000,湖南省,2007,388.9693,8.6499,92588.832408,57663.910026,191020.28
430000,湖南省,2006,386.2923,10.1799,81321.502771,59000.988904,156211.9
430000,湖南省,2005,382.6723,11.2849,,,
430000,湖南省,2004,380.4641,9.7904,,,
430000,湖南省,2003,347.4972,10.5056,,,
430000,湖南省,2002,326.6,7.9293,,,
430000,湖南省,2001,325.565,4.3928,,,
430000,湖南省,2000,346.3,4.7182,,,
440000,广东省,2019,3498.7931,17.5221,1580223,1126473,6310093
440000,广东省,2018,3361.747,16.188,1218700,731160,7320340
440000,广东省,2017,3163.6678,14.6372,1135192.445384,714748.346766,6832805.982946
440000,广东省,2016,3020.099,15.416,1019791.930134,953036.034125,6412361.884328
440000,广东省,2015,2930.129,13.887,1551682.987923,363175.183725,6345616.262819
440000,广东省,2014,2840.183,10.917,1355815.930866,276707.861813,5156808.458621
440000,广东省,2013,2702.181,8.796,1277208.502785,242767.053393,4078000.389568
440000,广东省,2012,2008.711,9.804,911732.952408,206926.350091,3043558.940176
440000,广东省,2011,1875.3818,10.5417,789449.96036,325869.118139,2338752.34
440000,广东省,2010,1627.3,10.6078,323000,310000,1875000
440000,广东省,2009,1470.7284,12.7963,309596.20072,180578.293437,1862236.73
440000,广东省,2008,1471.8889,13.6977,553323.706636,134941.483149,1733369.41
440000,广东省,2007,1295.536,14.2582,438495,124812,1315043
440000,广东省,2006,1208.1835,16.6896,391476.417233,136752.66833,1001187.55
440000,广东省,2005,1099.0672,20.3781,,,
440000,广东省,2004,1005.7955,23.4308,,,
440000,广东省,2003,954.0915,25.8783,,,
440000,广东省,2002,890.2,26.1916,,,
440000,广东省,2001,819.478,21.2076,,,
440000,广东省,2000,748.485,27.3127,,,
450000,广西壮族自治区,2019,362.9553,5.4906,242936,206549,1203962
450000,广西壮族自治区,2018,323.518,5.488,233408,162540,1409570
450000,广西壮族自治区,2017,302.132,5.3787,194390.686638,151643.41739,1338707.414151
450000,广西壮族自治区,2016,283.707,5.931,223581.922051,192454.74772,1295960.144903
450000,广西壮族自治区,2015,273.18,6.19,288754.388753,127819.038512,1264832.970572
450000,广西壮族自治区,2014,258.976,6.065,311005.446083,82235.32095,1103897.620331
450000,广西壮族自治区,2013,253.36,5.64,247485.238878,77058.262294,875127.495198
450000,广西壮族自治区,2012,243.378,5.537,214248.470454,63575.510673,704700.518614
450000,广西壮族自治区,2011,240.7687,5.2188,176648.538388,59431.23867,554027.56
450000,广西壮族自治区,2010,238.4,6.2053,111000,63000,437000
450000,广西壮族自治区,2009,236.9986,7.5689,104545.117104,52731.670245,388830.51
450000,广西壮族自治区,2008,234.6059,7.9572,116898.367019,43053.259415,337044.27
450000,广西壮族自治区,2007,223.7517,7.2243,95511.056773,35726.597937,263242.25
450000,广西壮族自治区,2006,222.3031,8.1438,77130.562368,38652.834332,203496.43
450000,广西壮族自治区,2005,219.8887,9.3956,,,
450000,广西壮族自治区,2004,226.3716,9.8472,,,
450000,广西壮族自治区,2003,219.0713,8.8721,,,
450000,广西壮族自治区,2002,215.5,7.5712,,,
450000,广西壮族自治区,2001,217.68,4.9721,,,
450000,广西壮族自治区,2000,224.6213,3.8065,,,
460000,海南省,2019,178.5876,2.6218,81970,73685,301234
460000,海南省,2018,173.442,2.288,71483,56360,366180
460000,海南省,2017,168.1489,2.2198,58966.466326,52499.740212,351065.286321
460000,海南省,2016,170.204,2.158,64914.938807,44960.304519,344598.560207
460000,海南省,2015,164.773,2.003,65437.589895,40301.678107,324650.877347
460000,海南省,2014,157.525,2.007,60495.570333,41547.92632,299514.965559
460000,海南省,2013,150.823,2.084,53680.600571,33603.045007,280567.321546
460000,海南省,2012,139.514,1.837,85473.809824,25382.936604,260489.765982
460000,海南省,2011,125.9526,1.8024,73792.596266,16107.566078,200398.89
460000,海南省,2010,112.5,1.5672,37000,18000,143000
460000,海南省,2009,97.4507,2.7502,38047.966431,19770.426579,122814.59
460000,海南省,2008,84.6522,3.2652,37929.320618,17440.966645,104537.05
460000,海南省,2007,66.2308,2.4877,31671.574034,10938.764355,84048.7
460000,海南省,2006,59.1296,2.3019,24331.149465,9942.616938,63315.89
460000,海南省,2005,56.7479,2.016,,,
460000,海南省,2004,57.9317,2.0863,,,
460000,海南省,2003,57.7145,1.7551,,,
460000,海南省,2002,60.2,1.6793,,,
460000,海南省,2001,42.734,0.7315,,,
460000,海南省,2000,49.806,0.9011,,,
500000,重庆市,2019,514.9505,5.5632,240601,572099,615786
500000,重庆市,2018,489.783,3.442,195649,149820,1184280
500000,重庆市,2017,466.2761,3.8947,171633.108165,155187.226285,1138458.207033
500000,重庆市,2016,447.101,4.225,200183.535781,157997.343457,1122012.325153
500000,重庆市,2015,439.515,3.49,280949.070895,149203.335098,1079826.132829
