省份编码,省份,年份,房地产开发企业平均从业人数(人),内资房地产开发企业平均从业人数(人),国有房地产开发企业平均从业人数(人),集体房地产开发企业平均从业人数(人),港、澳、台投资房地产开发企业平均从业人数(人),外商投资房地产开发企业平均从业人数(人)
540000,西藏自治区,2019,2126,2126,39,,,
540000,西藏自治区,2018,1711,1711,55,,,
540000,西藏自治区,2017,1499,1499,61,,,
540000,西藏自治区,2016,2093,2093,127,,,
540000,西藏自治区,2015,1865,1865,127,,,
540000,西藏自治区,2014,2129,2129,197,,,
540000,西藏自治区,2013,958,958,,,,
540000,西藏自治区,2012,1454,1454,242,80,,
540000,西藏自治区,2011,1192,1192,168,80,,
540000,西藏自治区,2010,4908,4908,498,63,,
540000,西藏自治区,2009,2809,2809,520,,,
540000,西藏自治区,2008,3557,3557,1011,,,
540000,西藏自治区,2007,3039,3039,1264,,,
540000,西藏自治区,2006,2400,2400,1000,,,
540000,西藏自治区,2005,840,840,253,,,
540000,西藏自治区,2004,1226,1221,212,,,5
540000,西藏自治区,2003,398,398,87,,,
540000,西藏自治区,2002,101,101,43,,,
540000,西藏自治区,2001,178,178,62,,,
540000,西藏自治区,2000,58,58,38,,,
610000,陕西省,2019,86269,85254,2451,151,646,369
610000,陕西省,2018,86693,85103,4734,221,1056,534
610000,陕西省,2017,81737,80009,4982,209,1004,724
610000,陕西省,2016,84311,81897,5255,224,1631,783
610000,陕西省,2015,84861,82305,10890,289,1647,909
610000,陕西省,2014,81398,78918,11000,295,1053,1427
610000,陕西省,2013,71002,68982,7843,172,889,1131
610000,陕西省,2012,71866,69872,12269,550,765,1229
610000,陕西省,2011,57567,55628,9966,588,667,1272
610000,陕西省,2010,45448,43859,6451,706,753,836
610000,陕西省,2009,44326,42916,5881,612,808,602
610000,陕西省,2008,49631,48048,5669,681,1003,580
610000,陕西省,2007,34734,33298,4633,436,998,438
610000,陕西省,2006,31196,30100,4632,578,726,370
610000,陕西省,2005,30342,29301,5419,780,668,373
610000,陕西省,2004,31834,30558,5044,714,756,520
610000,陕西省,2003,25957,24885,5039,1188,677,395
610000,陕西省,2002,20216,19455,5202,1964,586,175
610000,陕西省,2001,17448,16397,5012,1062,699,352
610000,陕西省,2000,13658,12947,5497,1556,486,225
620000,甘肃省,2019,43583,43260,821,55,249,74
620000,甘肃省,2018,42057,41699,721,106,278,80
620000,甘肃省,2017,44915,44457,1068,119,368,90
620000,甘肃省,2016,44756,44313,1242,124,346,97
620000,甘肃省,2015,43098,42504,1388,165,480,114
620000,甘肃省,2014,40971,39840,1332,174,495,636
620000,甘肃省,2013,41286,39798,1323,237,867,621
620000,甘肃省,2012,35074,33971,2545,292,852,251
620000,甘肃省,2011,26422,25605,2236,298,561,256
620000,甘肃省,2010,24242,23408,1540,528,537,297
620000,甘肃省,2009,27394,26392,1692,626,726,276
620000,甘肃省,2008,32911,31775,1508,949,726,410
620000,甘肃省,2007,19151,17844,1511,524,880,427
620000,甘肃省,2006,21424,19986,1644,695,938,500
620000,甘肃省,2005,19958,18510,1599,553,895,553
620000,甘肃省,2004,21524,19991,2162,1099,1055,478
620000,甘肃省,2003,19461,17903,3548,1448,1051,507
620000,甘肃省,2002,14734,13567,2346,919,802,365
620000,甘肃省,2001,10479,9742,2629,1225,340,397
620000,甘肃省,2000,8225,7658,3541,1009,302,265
630000,青海省,2019,9280,9259,,,,21
630000,青海省,2018,9383,9357,,,,26
630000,青海省,2017,10201,10131,,,43,27
630000,青海省,2016,10899,10872,,,,27
630000,青海省,2015,10427,10399,112,,,28
630000,青海省,2014,10635,10565,242,,34,36
630000,青海省,2013,10027,9958,261,,39,30
630000,青海省,2012,8150,8078,517,,42,30
630000,青海省,2011,8594,8448,661,,44,102
630000,青海省,2010,4422,4258,249,2,93,71
630000,青海省,2009,6605,6288,296,22,138,179
630000,青海省,2008,8469,8182,324,22,136,151
630000,青海省,2007,6309,6009,240,69,204,96
630000,青海省,2006,6612,6236,316,142,275,101
630000,青海省,2005,5467,5185,290,83,219,63
630000,青海省,2004,8447,7906,202,245,370,171
630000,青海省,2003,5464,5231,688,60,78,155
630000,青海省,2002,5590,5433,898,102,40,117
630000,青海省,2001,4360,4224,715,106,53,83
630000,青海省,2000,8110,7744,1506,460,96,270
640000,宁夏回族自治区,2019,15306,14976,,,179,151
640000,宁夏回族自治区,2018,14847,14607,,,158,82
640000,宁夏回族自治区,2017,16232,16089,44,,121,22
640000,宁夏回族自治区,2016,17166,17017,46,,121,28
640000,宁夏回族自治区,2015,17941,17773,40,,134,34
640000,宁夏回族自治区,2014,18831,18573,23,,113,145
640000,宁夏回族自治区,2013,17444,17221,25,43,113,110
640000,宁夏回族自治区,2012,15944,15738,55,53,118,88
640000,宁夏回族自治区,2011,14844,14652,54,29,79,113
640000,宁夏回族自治区,2010,10883,10769,23,23,,114
640000,宁夏回族自治区,2009,10366,10281,61,23,,85
640000,宁夏回族自治区,2008,8932,8567,66,33,,365
640000,宁夏回族自治区,2007,8678,8577,92,7,,101
640000,宁夏回族自治区,2006,8729,8565,150,23,,164
640000,宁夏回族自治区,2005,8832,8495,165,23,,337
640000,宁夏回族自治区,2004,9028,8765,184,28,18,245
640000,宁夏回族自治区,2003,6627,6498,44,250,55,74
640000,宁夏回族自治区,2002,6829,6689,556,469,33,107
640000,宁夏回族自治区,2001,5511,5268,1157,469,107,136
640000,宁夏回族自治区,2000,6109,5847,1305,574,101,161
650000,新疆维吾尔自治区,2019,37773,37682,24,4,91,
650000,新疆维吾尔自治区,2018,38523,38421,134,4,102,
650000,新疆维吾尔自治区,2017,41437,41223,334,4,214,
650000,新疆维吾尔自治区,2016,42479,42252,394,4,215,12
650000,新疆维吾尔自治区,2015,42785,42532,444,5,241,12
650000,新疆维吾尔自治区,2014,41923,41631,513,5,290,2
650000,新疆维吾尔自治区,2013,36737,36463,266,5,270,4
650000,新疆维吾尔自治区,2012,30554,30434,593,5,115,5
650000,新疆维吾尔自治区,2011,27429,27336,473,5,89,4
650000,新疆维吾尔自治区,2010,24514,24422,751,4,88,4
650000,新疆维吾尔自治区,2009,21610,21504,721,5,89,17
650000,新疆维吾尔自治区,2008,21172,21052,616,6,102,18
650000,新疆维吾尔自治区,2007,19589,19328,575,52,220,41
650000,新疆维吾尔自治区,2006,19481,19204,702,57,206,71
650000,新疆维吾尔自治区,2005,18585,18035,849,47,437,113
650000,新疆维吾尔自治区,2004,15434,14940,761,131,332,162
650000,新疆维吾尔自治区,2003,14036,13177,930,155,779,80
650000,新疆维吾尔自治区,2002,21039,12779,841,133,8214,46
650000,新疆维吾尔自治区,2001,18945,18663,6263,478,241,41
650000,新疆维吾尔自治区,2000,12901,10773,2360,412,2035,93
