省份编码,省份,年份,商品房销售面积(万平方米),住宅商品房销售面积(万平方米),别墅、高档公寓销售面积(万平方米),办公楼商品房销售面积(万平方米),商业营业用房销售面积(万平方米),其他商品房销售面积(万平方米)
220000,吉林省,2004,401.8787,346.5933,,9.3503,39.8977,6.0374
220000,吉林省,2003,501.1405,436.3248,0.2099,12.2582,46.0298,6.5277
220000,吉林省,2002,518.28,432.67,11.86,8.33,72.41,4.87
220000,吉林省,2001,385.132,337.8449,8.4741,2.3162,43.7003,1.2706
220000,吉林省,2000,309.3425,267.4873,2.2462,4.449,34.4884,2.9178
230000,黑龙江省,2019,1684.4978,1461.1244,24.2771,10.6093,161.74,51.0241
230000,黑龙江省,2018,1913.2548,1665.5768,21.7147,14.8835,182.3878,50.4067
230000,黑龙江省,2017,2255.8104,1868.1422,27.7607,45.5829,252.7381,89.3472
230000,黑龙江省,2016,2117.2915,1797.0213,31.986,26.3493,221.965,71.9559
230000,黑龙江省,2015,1996.6142,1710.6037,15.0395,18.1983,198.2818,69.5304
230000,黑龙江省,2014,2475.7412,2131.4633,21.2268,15.336,239.5608,89.3811
230000,黑龙江省,2013,3339.9501,2944.2296,15.8394,24.8432,256.209,114.6683
230000,黑龙江省,2012,3806.8231,3226.2165,22.954,24.2575,410.8684,145.4807
230000,黑龙江省,2011,3432.8444,2947.8359,19.8249,7.9085,360.3816,116.7184
230000,黑龙江省,2010,2720.95,2385.68,51.82,8.38,234.74,92.15
230000,黑龙江省,2009,2016.98,1751.22,57.51,19.42,192.21,54.13
230000,黑龙江省,2008,1486.57,1286.62,25.82,8.95,159.35,31.64
230000,黑龙江省,2007,1709.2455,1518.5671,58.0064,11.4405,143.6368,35.6011
230000,黑龙江省,2006,1482.7148,1298.5068,18.0519,20.4711,141.1379,22.599
230000,黑龙江省,2005,1242.8124,1048.2603,7.2356,29.0082,138.2206,27.3233
230000,黑龙江省,2004,857.1492,693.7786,,15.5427,123.9862,23.8417
230000,黑龙江省,2003,814.6447,673.1129,2.2275,14.6593,115.4425,11.43
230000,黑龙江省,2002,692.47,574.33,9.99,13.14,96.88,8.12
230000,黑龙江省,2001,594.641,490.6264,8.4552,18.2549,76.329,9.4307
230000,黑龙江省,2000,499.8452,424.4271,15.6915,10.6813,58.5997,6.1371
310000,上海市,2019,1696.3432,1353.6992,234.6227,100.8329,88.4848,153.3263
310000,上海市,2018,1767.01,1333.2914,179.7696,147.0804,101.7463,184.8919
310000,上海市,2017,1691.6016,1341.6197,212.0445,124.1048,79.327,146.5501
310000,上海市,2016,2705.6889,2019.7967,445.418,306.3957,205.8703,173.6262
310000,上海市,2015,2431.3599,2009.1663,390.9749,197.4144,113.699,111.0802
310000,上海市,2014,2084.6637,1780.9092,257.2362,120.28,102.8615,80.613
310000,上海市,2013,2382.2014,2015.8086,314.1986,161.2163,116.4676,88.7089
310000,上海市,2012,1898.459,1592.6284,234.5559,111.7263,120.0053,74.099
310000,上海市,2011,1790.8598,1499.9998,254.2431,141.1054,90.2599,59.4947
310000,上海市,2010,2060.96,1690.82,341.71,162.89,125.74,81.51
310000,上海市,2009,3372.45,2928.04,450.42,203.0,126.49,114.92
310000,上海市,2008,2339.29,2007.48,265.54,146.94,117.4,67.47
310000,上海市,2007,3694.9578,3279.1745,503.1365,150.9264,198.384,66.4729
310000,上海市,2006,3025.4003,2615.4915,498.5628,139.0533,188.5084,82.3471
310000,上海市,2005,3158.8749,2845.6969,449.38,97.8911,150.1959,65.091
310000,上海市,2004,3300.8197,3059.5298,,80.2099,114.8685,46.2115
310000,上海市,2003,2376.4,2224.5,217.6603,45.1774,78.0477,28.7006
310000,上海市,2002,1971.5,1846.4,182.55,42.35,73.93,8.8
310000,上海市,2001,1796.639,1681.475,87.6281,40.9776,56.5472,17.6392
310000,上海市,2000,1557.8668,1445.874,53.4491,47.7604,54.5352,9.6972
320000,江苏省,2019,13972.8504,12545.0411,522.4328,246.0774,750.3273,431.4046
320000,江苏省,2018,13484.2091,12040.678,659.4286,278.7342,812.8569,351.94
320000,江苏省,2017,14211.1218,12486.6631,679.2594,385.967,967.7218,370.7699
320000,江苏省,2016,13962.0913,12657.6599,782.2421,265.678,849.9243,188.8291
320000,江苏省,2015,11414.0486,10275.9451,539.4388,238.3017,728.0213,171.7805
320000,江苏省,2014,9846.8369,8800.9347,371.7184,210.6857,688.2511,146.9654
320000,江苏省,2013,11454.7743,10191.5174,431.1496,286.8097,817.477,158.9702
320000,江苏省,2012,9019.1799,7923.367,411.7368,200.8261,763.9475,131.0393
320000,江苏省,2011,7970.4907,6767.2538,409.7744,219.8682,851.6597,131.709
320000,江苏省,2010,9485.47,8112.37,523.75,209.88,988.23,174.99
320000,江苏省,2009,10248.2,9034.69,688.68,190.81,867.99,154.71
320000,江苏省,2008,6091.86,5282.89,307.05,105.34,596.57,107.07
320000,江苏省,2007,7598.483,6772.7134,461.3628,133.4618,586.7232,105.5846
320000,江苏省,2006,6101.1488,5317.2013,357.9191,114.2974,594.6519,74.9982
320000,江苏省,2005,5135.548,4523.1432,297.0386,119.0953,440.0822,53.2273
320000,江苏省,2004,3178.9124,2759.4058,,52.5113,311.9513,55.044
320000,江苏省,2003,2721.5735,2364.3161,121.6838,60.7812,259.6409,36.8353
320000,江苏省,2002,2321.85,2074.47,123.84,37.19,178.94,31.26
320000,江苏省,2001,1904.1583,1714.6192,50.3054,34.7507,139.3868,15.4016
320000,江苏省,2000,1740.9335,1555.9702,54.24,35.5812,124.2733,25.1088
330000,浙江省,2019,9378.3066,7803.9882,423.2859,347.8287,514.6564,711.8333
330000,浙江省,2018,9755.487,7936.1682,420.3488,424.1177,642.1431,753.058
330000,浙江省,2017,9599.6733,7669.6987,412.0079,493.4779,698.3748,738.1219
330000,浙江省,2016,8636.7871,7234.1898,351.2672,410.0684,529.6788,462.8501
330000,浙江省,2015,5985.3024,5131.8786,306.1057,205.0471,384.5725,263.8042
330000,浙江省,2014,4676.8251,3941.4881,220.9539,185.2182,333.8757,216.2431
330000,浙江省,2013,4886.9875,4097.6313,225.9253,218.288,344.405,226.6632
330000,浙江省,2012,4005.2939,3316.227,168.4006,188.7546,332.6371,167.6752
330000,浙江省,2011,3531.3567,2757.1846,166.5244,216.4949,368.2743,189.4029
330000,浙江省,2010,4816.53,3833.74,272.64,272.11,459.29,251.38
330000,浙江省,2009,5538.13,4760.12,356.32,200.65,360.88,216.49
330000,浙江省,2008,2992.2,2480.74,159.35,129.55,239.71,142.2
330000,浙江省,2007,4541.9663,3924.9182,299.0109,157.1809,289.1449,170.7223
330000,浙江省,2006,3544.9637,3039.5413,167.6328,121.629,263.532,120.2614
330000,浙江省,2005,3305.8402,2824.6482,166.0648,111.3864,263.9391,105.8665
330000,浙江省,2004,2794.2504,2369.725,,81.9648,256.7642,85.7964
330000,浙江省,2003,2781.8419,2356.7831,92.7393,61.9359,272.7929,90.33
330000,浙江省,2002,2219.3,1873.97,80.76,70.43,204.6,70.29
330000,浙江省,2001,1801.4546,1544.0368,41.953,56.6729,155.5505,45.1944
330000,浙江省,2000,1502.2313,1308.98,26.2866,48.9318,113.8169,30.5026
340000,安徽省,2019,9229.3794,8323.885,109.6013,130.9389,599.3961,175.1594
340000,安徽省,2018,10038.4259,8901.2495,98.7687,169.3892,784.3176,183.4696
340000,安徽省,2017,9200.7052,7949.2796,107.3928,179.4653,871.9989,199.9614
340000,安徽省,2016,8499.6513,7506.8714,116.5655,185.3468,670.9558,136.4773
340000,安徽省,2015,6174.0927,5356.8083,77.6416,109.404,627.3977,80.4827
340000,安徽省,2014,6202.1807,5364.9404,90.9201,111.0978,647.958,78.1845
340000,安徽省,2013,6265.3523,5573.5341,78.1947,94.9839,506.2905,90.5438
340000,安徽省,2012,4828.8149,4275.4287,71.7689,61.9992,428.4155,62.9715
340000,安徽省,2011,4605.5788,3991.9945,55.0137,93.6855,478.3165,41.5823
340000,安徽省,2010,4154.26,3641.88,82.73,87.28,389.6,35.5
340000,安徽省,2009,4030.92,3646.44,77.52,49.54,299.02,35.92
340000,安徽省,2008,2785.83,2542.6,34.45,31.02,192.14,20.07
340000,安徽省,2007,3083.3856,2775.6617,48.1923,42.4208,243.031,22.2721
