省份编码,省份,年份,房地产开发企业个数(个),内资房地产开发企业个数(个),国有房地产开发企业个数(个),集体房地产开发企业个数(个),港、澳、台投资房地产开发企业个数(个),外商投资房地产开发企业个数(个)
130000,河北省,2017,3317,3269,6,,27,21
130000,河北省,2016,3279,3228,7,,32,19
130000,河北省,2015,3181,3130,9,,33,18
130000,河北省,2014,3387,3332,16,,35,20
130000,河北省,2013,3283,3225,23,,33,25
130000,河北省,2012,3178,3116,40,5,37,25
130000,河北省,2011,3226,3159,45,5,39,28
130000,河北省,2010,2997,2933,50,6,34,30
130000,河北省,2009,2710,2642,56,5,37,31
130000,河北省,2008,2564,2499,55,6,39,26
130000,河北省,2007,1497,1440,60,11,37,20
130000,河北省,2006,1272,1215,57,10,37,20
130000,河北省,2005,1169,1111,66,5,37,21
130000,河北省,2004,1653,1574,101,16,49,30
130000,河北省,2003,749,705,108,14,30,14
130000,河北省,2002,530,497,125,21,23,10
130000,河北省,2001,483,445,161,16,22,16
130000,河北省,2000,460,416,181,31,22,22
140000,山西省,2019,2389,2378,40,4,6,5
140000,山西省,2018,2418,2405,51,4,7,6
140000,山西省,2017,2379,2362,56,5,12,5
140000,山西省,2016,2485,2465,63,7,13,7
140000,山西省,2015,2430,2410,66,7,13,7
140000,山西省,2014,2452,2434,71,8,12,6
140000,山西省,2013,2269,2254,73,10,9,6
140000,山西省,2012,2221,2201,99,16,13,7
140000,山西省,2011,2156,2133,105,17,17,6
140000,山西省,2010,1990,1968,117,21,16,6
140000,山西省,2009,1899,1873,122,25,20,6
140000,山西省,2008,1836,1813,127,25,20,3
140000,山西省,2007,1608,1582,132,26,21,5
140000,山西省,2006,1393,1368,130,27,20,5
140000,山西省,2005,1181,1155,141,31,21,5
140000,山西省,2004,1053,1027,132,34,21,5
140000,山西省,2003,711,688,141,28,16,7
140000,山西省,2002,621,591,157,33,20,10
140000,山西省,2001,525,498,163,34,18,9
140000,山西省,2000,262,246,119,30,13,3
150000,内蒙古自治区,2019,1739,1737,4,,1,1
150000,内蒙古自治区,2018,1741,1738,3,,2,1
150000,内蒙古自治区,2017,1803,1799,4,,2,2
150000,内蒙古自治区,2016,1989,1984,6,,3,2
150000,内蒙古自治区,2015,2048,2043,7,1,2,3
150000,内蒙古自治区,2014,2079,2073,10,1,3,3
150000,内蒙古自治区,2013,2192,2184,16,1,4,4
150000,内蒙古自治区,2012,2250,2243,33,2,4,3
150000,内蒙古自治区,2011,2322,2315,29,4,4,3
150000,内蒙古自治区,2010,2119,2109,27,4,6,4
150000,内蒙古自治区,2009,1893,1883,32,4,6,4
150000,内蒙古自治区,2008,2243,2232,36,5,6,5
150000,内蒙古自治区,2007,1415,1405,36,6,6,4
150000,内蒙古自治区,2006,1173,1163,35,6,5,5
150000,内蒙古自治区,2005,1012,1003,35,8,5,4
150000,内蒙古自治区,2004,958,947,28,12,5,6
150000,内蒙古自治区,2003,687,685,45,10,1,1
150000,内蒙古自治区,2002,604,602,48,11,1,1
150000,内蒙古自治区,2001,479,475,54,20,1,3
150000,内蒙古自治区,2000,364,360,69,31,1,3
210000,辽宁省,2019,2848,2616,6,2,171,61
210000,辽宁省,2018,2998,2750,11,3,180,68
210000,辽宁省,2017,3119,2819,14,2,213,87
210000,辽宁省,2016,3257,2935,14,3,223,99
210000,辽宁省,2015,3514,3166,19,4,233,115
210000,辽宁省,2014,4021,3617,24,6,263,141
210000,辽宁省,2013,4082,3671,33,6,268,143
210000,辽宁省,2012,3961,3563,80,14,256,142
210000,辽宁省,2011,3648,3249,75,15,243,156
210000,辽宁省,2010,4181,3725,108,28,245,211
210000,辽宁省,2009,3920,3491,114,30,226,203
210000,辽宁省,2008,4841,4326,131,47,254,261
210000,辽宁省,2007,2981,2634,94,23,184,163
210000,辽宁省,2006,2771,2456,103,27,165,150
210000,辽宁省,2005,2744,2451,121,29,157,136
210000,辽宁省,2004,2867,2566,150,49,159,142
210000,辽宁省,2003,1800,1629,116,41,93,78
210000,辽宁省,2002,1635,1471,149,44,94,70
210000,辽宁省,2001,1546,1364,197,66,103,79
210000,辽宁省,2000,1417,1235,282,120,109,73
220000,吉林省,2019,1500,1480,3,,13,7
220000,吉林省,2018,1702,1682,3,,14,6
220000,吉林省,2017,1782,1761,4,1,16,5
220000,吉林省,2016,1791,1768,6,1,18,5
220000,吉林省,2015,1727,1702,6,1,17,8
220000,吉林省,2014,1681,1653,6,1,21,7
220000,吉林省,2013,1700,1670,6,1,21,9
220000,吉林省,2012,1709,1679,21,4,21,9
220000,吉林省,2011,1563,1532,22,5,23,8
220000,吉林省,2010,1352,1319,25,6,23,10
220000,吉林省,2009,1370,1333,27,7,25,12
220000,吉林省,2008,1361,1323,31,7,25,13
220000,吉林省,2007,1041,996,49,5,31,14
220000,吉林省,2006,902,860,49,6,29,13
220000,吉林省,2005,758,720,56,4,26,12
220000,吉林省,2004,807,769,78,4,23,15
220000,吉林省,2003,457,438,55,4,14,5
220000,吉林省,2002,418,396,63,12,13,9
220000,吉林省,2001,351,329,79,10,16,6
220000,吉林省,2000,271,250,82,10,9,12
230000,黑龙江省,2019,1836,1815,21,,12,9
230000,黑龙江省,2018,1853,1828,27,1,14,11
230000,黑龙江省,2017,1968,1941,27,1,18,9
230000,黑龙江省,2016,1956,1931,31,1,15,10
230000,黑龙江省,2015,2041,2012,39,1,19,10
230000,黑龙江省,2014,2154,2119,47,1,24,11
230000,黑龙江省,2013,2118,2081,49,1,24,13
230000,黑龙江省,2012,2134,2094,78,4,23,17
230000,黑龙江省,2011,2157,2113,88,6,25,19
230000,黑龙江省,2010,1890,1848,97,9,23,19
230000,黑龙江省,2009,1576,1534,101,7,25,17
230000,黑龙江省,2008,1589,1547,102,11,23,19
230000,黑龙江省,2007,1320,1277,117,7,25,18
230000,黑龙江省,2006,1214,1172,127,6,24,18
230000,黑龙江省,2005,1050,1012,124,7,21,17
230000,黑龙江省,2004,1009,974,118,15,23,12
230000,黑龙江省,2003,776,734,144,21,25,17
230000,黑龙江省,2002,606,565,142,24,23,18
230000,黑龙江省,2001,483,452,152,32,23,8
230000,黑龙江省,2000,439,405,170,32,25,9
310000,上海市,2019,2539,2176,18,10,255,108
310000,上海市,2018,2568,2204,16,11,252,112
310000,上海市,2017,2637,2253,32,13,268,116
310000,上海市,2016,2682,2286,39,13,279,117
310000,上海市,2015,2758,2354,54,15,273,131
310000,上海市,2014,2938,2486,68,17,303,149
310000,上海市,2013,3045,2579,86,23,296,170
310000,上海市,2012,3132,2663,288,80,295,174
310000,上海市,2011,3300,2822,298,92,304,174
310000,上海市,2010,3247,2773,316,91,305,169
310000,上海市,2009,3306,2834,390,199,296,176
310000,上海市,2008,3898,3384,326,128,306,208
310000,上海市,2007,3116,2674,260,127,276,166
310000,上海市,2006,3255,2813,293,122,269,173
310000,上海市,2005,4064,3587,363,188,277,200
310000,上海市,2004,5000,4491,409,273,293,216
310000,上海市,2003,2199,1945,282,136,161,93
310000,上海市,2002,2588,2308,420,184,197,83
310000,上海市,2001,2588,2299,521,233,194,95
310000,上海市,2000,2549,2264,571,298,201,84
320000,江苏省,2019,6560,6017,33,15,388,155
320000,江苏省,2018,6723,6175,39,20,386,162
320000,江苏省,2017,6530,5980,47,21,385,165
320000,江苏省,2016,6626,6053,50,29,395,178
320000,江苏省,2015,6642,6056,69,32,396,190
320000,江苏省,2014,6829,6215,79,33,408,206
320000,江苏省,2013,6784,6164,101,43,392,228
320000,江苏省,2012,6357,5763,236,73,364,230
320000,江苏省,2011,6404,5780,236,97,361,263
320000,江苏省,2010,6070,5450,227,103,352,268
320000,江苏省,2009,5809,5215,202,105,335,259
320000,江苏省,2008,7005,6324,222,127,388,293
320000,江苏省,2007,4648,4103,210,109,316,229
320000,江苏省,2006,4137,3655,218,131,289,193
320000,江苏省,2005,3810,3384,216,142,277,149
320000,江苏省,2004,4100,3655,251,214,296,149
320000,江苏省,2003,2580,2311,373,264,186,83
320000,江苏省,2002,2122,1878,402,260,163,81
320000,江苏省,2001,2022,1761,471,345,179,82
320000,江苏省,2000,1930,1636,563,411,197,97
330000,浙江省,2019,6824,6509,22,8,184,131
330000,浙江省,2018,6818,6511,27,10,207,100
330000,浙江省,2017,6336,6020,36,9,221,95
330000,浙江省,2016,6274,5935,40,9,232,107
330000,浙江省,2015,6252,5911,51,15,225,116
330000,浙江省,2014,6383,6037,56,18,222,124
330000,浙江省,2013,6114,5801,56,25,193,120
330000,浙江省,2012,6221,5917,165,45,184,120
330000,浙江省,2011,6080,5775,164,49,181,124
330000,浙江省,2010,5577,5279,162,52,163,135
330000,浙江省,2009,5335,5052,162,54,155,128
330000,浙江省,2008,5600,5289,163,67,162,149
330000,浙江省,2007,3872,3645,144,56,116,111
330000,浙江省,2006,3685,3494,139,54,107,84
330000,浙江省,2005,3549,3369,150,66,98,82
330000,浙江省,2004,3685,3488,178,82,112,85
330000,浙江省,2003,2301,2199,189,110,57,45
330000,浙江省,2002,2044,1945,200,138,56,43
330000,浙江省,2001,1922,1815,303,189,67,40
330000,浙江省,2000,1750,1637,354,258,69,44
340000,安徽省,2019,4112,4066,26,1,34,12
340000,安徽省,2018,3939,3903,31,1,28,8
340000,安徽省,2017,3889,3817,30,4,55,17
340000,安徽省,2016,3768,3688,36,5,54,26
340000,安徽省,2015,3620,3537,46,6,55,28
340000,安徽省,2014,3731,3634,58,6,62,35
340000,安徽省,2013,3418,3321,70,6,59,38
340000,安徽省,2012,3402,3300,120,17,62,40
340000,安徽省,2011,3209,3094,119,20,68,47
340000,安徽省,2010,3281,3149,130,23,78,54
340000,安徽省,2009,3097,2966,125,28,74,57
340000,安徽省,2008,3277,3139,140,32,79,59
340000,安徽省,2007,2391,2263,146,32,67,61
340000,安徽省,2006,2182,2059,132,44,66,57
340000,安徽省,2005,1909,1803,145,51,56,50
340000,安徽省,2004,2013,1901,181,65,56,56
340000,安徽省,2003,1388,1303,218,83,53,32
340000,安徽省,2002,1220,1141,252,109,48,31
340000,安徽省,2001,1112,1016,261,123,60,36
340000,安徽省,2000,988,901,291,118,65,22
350000,福建省,2019,3519,3187,42,9,228,104
350000,福建省,2018,3351,3044,46,10,224,83
350000,福建省,2017,3240,2899,63,12,254,87
350000,福建省,2016,3177,2817,62,15,273,87
350000,福建省,2015,3151,2773,71,17,283,95
350000,福建省,2014,3280,2857,74,19,315,108
350000,福建省,2013,3187,2725,88,23,351,111
350000,福建省,2012,3140,2644,170,35,386,110
350000,福建省,2011,3576,2950,200,43,486,140
350000,福建省,2010,3634,2926,216,52,529,179
350000,福建省,2009,3316,2594,223,51,527,195
350000,福建省,2008,3268,2540,221,58,529,199
350000,福建省,2007,2693,2028,187,60,443,222
350000,福建省,2006,2754,2015,217,71,488,251
350000,福建省,2005,2596,1866,225,91,470,260
350000,福建省,2004,2693,1887,253,99,515,291
350000,福建省,2003,1900,1235,253,96,455,210
350000,福建省,2002,1774,1115,262,95,462,197
350000,福建省,2001,1941,1163,301,134,570,208
350000,福建省,2000,1777,1093,337,163,474,210
360000,江西省,2019,2666,2608,21,,48,10
360000,江西省,2018,2601,2542,31,,48,11
360000,江西省,2017,2452,2377,32,,58,17
360000,江西省,2016,2297,2214,36,2,67,16
360000,江西省,2015,2187,2095,37,5,71,21
360000,江西省,2014,2077,1985,42,5,69,23
360000,江西省,2013,2080,1980,50,8,73,27
360000,江西省,2012,2005,1901,96,14,79,25
360000,江西省,2011,2099,1984,109,12,86,29
360000,江西省,2010,2141,1989,132,20,109,43
360000,江西省,2009,2050,1899,139,21,108,43
360000,江西省,2008,2410,2247,155,29,118,45
360000,江西省,2007,2043,1843,165,40,132,68
360000,江西省,2006,1859,1662,151,39,128,69
360000,江西省,2005,1824,1619,170,41,131,74
360000,江西省,2004,1756,1581,178,49,114,61
360000,江西省,2003,1217,1035,172,53,114,68
360000,江西省,2002,814,707,152,53,72,35
360000,江西省,2001,727,612,185,64,75,40
360000,江西省,2000,539,446,186,61,61,32
370000,山东省,2019,7445,7207,60,35,167,71
370000,山东省,2018,7721,7496,70,48,155,70
370000,山东省,2017,7126,6909,81,48,155,62
370000,山东省,2016,6928,6705,89,55,159,64
370000,山东省,2015,6606,6395,104,59,145,66
370000,山东省,2014,6373,6150,112,64,154,69
370000,山东省,2013,6113,5885,130,79,151,77
370000,山东省,2012,5841,5608,223,119,148,85
370000,山东省,2011,5589,5353,222,124,149,87
370000,山东省,2010,5798,5536,240,161,157,105
370000,山东省,2009,5483,5218,232,146,154,111
370000,山东省,2008,5748,5477,239,156,153,118
370000,山东省,2007,3436,3226,230,141,128,82
370000,山东省,2006,3172,2971,240,147,125,76
370000,山东省,2005,3039,2855,267,166,119,65
370000,山东省,2004,3201,2983,291,194,135,83
370000,山东省,2003,2152,1986,330,227,120,46
370000,山东省,2002,1759,1590,356,242,124,45
370000,山东省,2001,1506,1332,402,271,128,46
370000,山东省,2000,1297,1138,399,249,115,44
410000,河南省,2019,7930,7864,38,1,47,19
410000,河南省,2018,7536,7466,49,3,50,20
410000,河南省,2017,7205,7116,56,3,65,24
410000,河南省,2016,6687,6598,58,4,62,27
410000,河南省,2015,6158,6069,66,6,60,29
410000,河南省,2014,5662,5559,73,11,67,36
410000,河南省,2013,5438,5318,91,19,78,42
410000,河南省,2012,5316,5188,127,33,85,43
410000,河南省,2011,4963,4824,124,34,75,64
410000,河南省,2010,4176,4039,120,35,70,67
410000,河南省,2009,3798,3661,130,37,67,70
410000,河南省,2008,4146,4000,134,32,66,80
410000,河南省,2007,2586,2461,149,47,63,62
410000,河南省,2006,2100,1984,150,42,61,55
410000,河南省,2005,1906,1795,173,58,59,52
410000,河南省,2004,2047,1927,194,67,68,52
410000,河南省,2003,1430,1320,200,78,74,36
410000,河南省,2002,1107,1002,188,74,74,31
410000,河南省,2001,706,633,172,68,54,19
410000,河南省,2000,1020,902,247,117,85,33
420000,湖北省,2019,4275,4180,43,9,64,31
420000,湖北省,2018,4300,4195,41,11,72,33
420000,湖北省,2017,4059,3954,48,12,78,27
420000,湖北省,2016,4200,4095,63,12,82,23
420000,湖北省,2015,4212,4107,75,14,78,27
420000,湖北省,2014,4214,4104,84,17,82,28
420000,湖北省,2013,4267,4139,101,21,89,39
420000,湖北省,2012,3785,3660,165,32,90,35
420000,湖北省,2011,3648,3504,170,40,100,44
420000,湖北省,2010,3558,3397,166,45,106,55
420000,湖北省,2009,3460,3299,175,48,109,52
420000,湖北省,2008,3410,3245,166,53,109,56
420000,湖北省,2007,2364,2154,185,43,128,82
420000,湖北省,2006,2170,1951,195,45,136,83
420000,湖北省,2005,1990,1782,213,47,129,79
420000,湖北省,2004,1917,1701,229,52,137,79
420000,湖北省,2003,1309,1145,222,53,107,57
420000,湖北省,2002,1077,918,251,57,104,55
420000,湖北省,2001,1067,874,325,78,144,49
420000,湖北省,2000,1052,848,370,87,149,55
430000,湖南省,2019,4366,4284,34,3,59,23
430000,湖南省,2018,4128,4048,39,4,58,22
430000,湖南省,2017,3898,3811,48,4,66,21
430000,湖南省,2016,3769,3677,55,5,69,23
430000,湖南省,2015,3710,3623,65,6,62,25
430000,湖南省,2014,3808,3707,72,6,73,28
430000,湖南省,2013,3739,3621,87,8,84,34
430000,湖南省,2012,3564,3435,138,23,91,38
430000,湖南省,2011,3524,3390,148,26,94,40
430000,湖南省,2010,3437,3286,165,28,98,53
430000,湖南省,2009,3227,3056,170,32,103,68
430000,湖南省,2008,3596,3423,189,33,112,61
430000,湖南省,2007,2501,2320,172,35,114,67
430000,湖南省,2006,2282,2121,174,39,106,55
430000,湖南省,2005,2006,1853,172,40,101,52
430000,湖南省,2004,2112,1933,211,52,124,55
430000,湖南省,2003,1157,1038,178,43,88,31
430000,湖南省,2002,942,824,199,48,86,32
430000,湖南省,2001,782,689,208,57,70,23
430000,湖南省,2000,703,620,217,61,63,20
440000,广东省,2019,9239,8449,59,97,598,192
440000,广东省,2018,8721,7923,66,111,603,195
440000,广东省,2017,8203,7381,74,130,639,183
440000,广东省,2016,7658,6792,92,136,677,189
440000,广东省,2015,7341,6451,103,146,689,201
440000,广东省,2014,7138,6232,113,164,697,209
440000,广东省,2013,6581,5706,134,191,669,206
440000,广东省,2012,6492,5601,213,228,685,206
440000,广东省,2011,6219,5337,219,256,677,205
440000,广东省,2010,6527,5567,261,327,737,223
440000,广东省,2009,6079,5107,271,339,737,235
440000,广东省,2008,6651,5594,319,433,797,260
440000,广东省,2007,5695,4663,345,420,798,234
440000,广东省,2006,5504,4508,391,457,794,202
440000,广东省,2005,5410,4410,439,511,792,208
440000,广东省,2004,5982,4940,541,726,757,285
440000,广东省,2003,4171,3370,487,536,692,109
440000,广东省,2002,3806,3038,509,595,693,75
440000,广东省,2001,3788,3005,655,713,702,81
440000,广东省,2000,3792,3029,789,836,685,78
450000,广西壮族自治区,2019,3056,2984,20,6,37,35
450000,广西壮族自治区,2018,2684,2620,27,7,34,30
450000,广西壮族自治区,2017,2541,2458,32,7,48,35
450000,广西壮族自治区,2016,2474,2381,35,10,58,35
450000,广西壮族自治区,2015,2423,2329,52,11,57,37
450000,广西壮族自治区,2014,2491,2383,59,12,64,44
450000,广西壮族自治区,2013,2685,2557,75,19,76,52
450000,广西壮族自治区,2012,2934,2793,119,26,85,56
450000,广西壮族自治区,2011,3154,2993,141,32,93,68
450000,广西壮族自治区,2010,3212,3035,159,42,99,78
450000,广西壮族自治区,2009,3015,2832,176,47,106,77
450000,广西壮族自治区,2008,3115,2916,184,51,113,86
450000,广西壮族自治区,2007,1949,1777,144,38,112,60
450000,广西壮族自治区,2006,1750,1593,151,41,97,60
450000,广西壮族自治区,2005,1730,1542,196,51,112,76
450000,广西壮族自治区,2004,1674,1488,215,54,118,68
450000,广西壮族自治区,2003,749,641,132,46,81,27
450000,广西壮族自治区,2002,577,470,126,53,88,19
450000,广西壮族自治区,2001,532,435,136,71,72,25
450000,广西壮族自治区,2000,528,407,156,71,92,29
460000,海南省,2019,1188,1133,18,4,41,14
460000,海南省,2018,1199,1140,16,4,45,14
460000,海南省,2017,1251,1189,17,2,48,14
460000,海南省,2016,1189,1126,19,2,49,14
460000,海南省,2015,1103,1037,24,1,51,15
460000,海南省,2014,1180,1099,28,,61,20
460000,海南省,2013,1030,951,26,1,56,23
460000,海南省,2012,971,895,48,1,54,22
460000,海南省,2011,859,796,43,1,45,18
460000,海南省,2010,545,504,23,2,27,14
460000,海南省,2009,405,369,13,2,23,13
460000,海南省,2008,1563,1437,67,27,86,40
460000,海南省,2007,405,354,18,3,29,22
460000,海南省,2006,310,270,13,5,27,13
460000,海南省,2005,306,263,22,4,26,17
460000,海南省,2004,832,695,105,27,80,57
460000,海南省,2003,186,154,22,5,23,9
460000,海南省,2002,155,118,28,9,22,15
460000,海南省,2001,127,93,26,9,19,15
460000,海南省,2000,97,68,22,8,15,14
500000,重庆市,2019,2226,2128,9,,67,31
500000,重庆市,2018,2250,2142,8,,78,30
500000,重庆市,2017,2316,2191,10,,96,29
500000,重庆市,2016,2467,2332,14,2,102,33
500000,重庆市,2015,2585,2450,31,2,99,36
500000,重庆市,2014,2695,2560,35,2,96,39
500000,重庆市,2013,2594,2470,37,5,82,42
500000,重庆市,2012,2552,2441,101,8,72,39
500000,重庆市,2011,2453,2341,99,7,70,42
500000,重庆市,2010,2391,2275,101,10,77,39
500000,重庆市,2009,2359,2235,124,10,84,40
500000,重庆市,2008,2280,2157,85,10,78,45
500000,重庆市,2007,2039,1927,70,16,83,29
500000,重庆市,2006,1936,1828,70,19,83,25
500000,重庆市,2005,1862,1752,68,17,84,26
500000,重庆市,2004,1828,1714,71,24,83,31
500000,重庆市,2003,1597,1486,81,36,78,33
500000,重庆市,2002,1559,1411,104,50,112,36
500000,重庆市,2001,1474,1319,133,69,118,37
500000,重庆市,2000,1339,1189,149,80,102,48
510000,四川省,2019,4350,4264,15,3,51,35
510000,四川省,2018,4166,4073,20,3,58,35
510000,四川省,2017,4010,3893,23,4,73,44
510000,四川省,2016,4061,3934,32,6,76,51
510000,四川省,2015,4032,3903,43,8,75,54
510000,四川省,2014,4061,3919,47,11,76,66
510000,四川省,2013,3962,3829,56,14,70,63
510000,四川省,2012,4221,4059,121,22,87,75
510000,四川省,2011,4314,4158,130,30,84,72
510000,四川省,2010,3915,3762,131,34,79,74
510000,四川省,2009,3769,3625,132,35,74,70
510000,四川省,2008,3946,3787,142,37,83,76
510000,四川省,2007,2816,2712,106,40,54,50
510000,四川省,2006,3057,2920,127,57,80,57
510000,四川省,2005,2848,2725,139,67,76,47
510000,四川省,2004,2753,2636,147,84,73,44
510000,四川省,2003,2014,1936,148,92,58,20
510000,四川省,2002,1646,1573,159,106,54,19
510000,四川省,2001,1478,1395,179,138,60,23
510000,四川省,2000,1273,1190,220,152,56,27
520000,贵州省,2019,2763,2730,18,1,24,9
520000,贵州省,2018,2651,2618,18,1,23,10
520000,贵州省,2017,2674,2632,24,1,33,9
520000,贵州省,2016,2638,2597,26,2,32,9
520000,贵州省,2015,2633,2595,29,3,29,9
520000,贵州省,2014,2591,2552,29,3,30,9
520000,贵州省,2013,2300,2261,30,4,30,9
520000,贵州省,2012,2133,2091,76,8,32,10
520000,贵州省,2011,1946,1902,77,9,33,11
520000,贵州省,2010,1876,1832,78,16,29,15
520000,贵州省,2009,1840,1792,73,21,31,17
520000,贵州省,2008,1998,1950,85,24,32,16
520000,贵州省,2007,1575,1528,77,24,32,15
520000,贵州省,2006,1432,1382,84,28,33,17
520000,贵州省,2005,1465,1405,91,32,39,21
520000,贵州省,2004,1480,1414,99,38,43,23
520000,贵州省,2003,1157,1095,91,46,45,17
520000,贵州省,2002,974,909,86,53,51,14
520000,贵州省,2001,610,567,75,40,26,17
520000,贵州省,2000,541,483,87,55,31,27
530000,云南省,2019,2860,2822,25,3,27,11
530000,云南省,2018,2768,2732,29,4,26,10
530000,云南省,2017,2605,2568,28,5,31,6
530000,云南省,2016,2618,2581,28,4,29,8
530000,云南省,2015,2649,2610,37,4,30,9
530000,云南省,2014,2783,2745,44,4,31,7
530000,云南省,2013,2736,2697,51,4,32,7
530000,云南省,2012,2707,2664,94,10,34,9
530000,云南省,2011,2675,2633,84,12,35,7
530000,云南省,2010,2344,2303,83,11,36,5
530000,云南省,2009,2121,2080,83,12,35,6
530000,云南省,2008,2208,2168,81,13,34,6
530000,云南省,2007,1228,1190,69,10,29,9
530000,云南省,2006,1072,1039,68,35,27,6
530000,云南省,2005,875,848,58,9,21,6
530000,云南省,2004,969,924,88,11,33,12
530000,云南省,2003,393,374,67,7,15,4
530000,云南省,2002,355,336,89,8,14,5
530000,云南省,2001,361,338,119,12,16,7
530000,云南省,2000,329,301,128,12,21,7
540000,西藏自治区,2019,94,94,1,,,
540000,西藏自治区,2018,60,60,1,,,
540000,西藏自治区,2017,49,49,1,,,
540000,西藏自治区,2016,49,49,1,,,
540000,西藏自治区,2015,45,45,1,,,
540000,西藏自治区,2014,45,45,1,,,
540000,西藏自治区,2013,29,29,,,,
540000,西藏自治区,2012,45,45,7,1,,
540000,西藏自治区,2011,49,49,8,1,,
540000,西藏自治区,2010,61,61,9,1,,
540000,西藏自治区,2009,53,53,10,,,
540000,西藏自治区,2008,53,53,7,,,
540000,西藏自治区,2007,35,35,11,,,
540000,西藏自治区,2006,47,47,11,0,0,0
540000,西藏自治区,2005,21,21,5,,,
540000,西藏自治区,2004,28,27,5,,,1
540000,西藏自治区,2003,4,4,2,,,
540000,西藏自治区,2002,3,3,2,,,
540000,西藏自治区,2001,7,7,2,,,
540000,西藏自治区,2000,2,2,1,,,
610000,陕西省,2019,2640,2608,34,7,18,14
610000,陕西省,2018,2508,2471,40,8,23,14
610000,陕西省,2017,2326,2288,42,8,24,14
610000,陕西省,2016,2177,2135,50,9,28,14
610000,陕西省,2015,2070,2031,62,10,23,16
610000,陕西省,2014,1941,1904,61,8,18,19
610000,陕西省,2013,1690,1656,62,7,17,17
610000,陕西省,2012,1646,1612,103,18,15,19
610000,陕西省,2011,1430,1399,87,20,14,17
610000,陕西省,2010,1274,1243,90,23,17,14
610000,陕西省,2009,1194,1165,85,18,18,11
610000,陕西省,2008,1366,1329,111,18,21,16
610000,陕西省,2007,946,910,87,16,21,15
610000,陕西省,2006,918,887,88,19,21,10
610000,陕西省,2005,933,901,98,24,22,10
610000,陕西省,2004,967,931,116,24,23,13
610000,陕西省,2003,622,592,103,32,20,10
610000,陕西省,2002,509,479,115,40,20,10
610000,陕西省,2001,466,431,123,38,21,14
610000,陕西省,2000,359,334,133,34,13,12
620000,甘肃省,2019,1711,1700,21,4,7,4
620000,甘肃省,2018,1668,1656,22,7,8,4
620000,甘肃省,2017,1716,1701,27,7,11,4
620000,甘肃省,2016,1664,1649,29,9,11,4
620000,甘肃省,2015,1533,1516,30,12,12,5
620000,甘肃省,2014,1479,1460,31,13,13,6
620000,甘肃省,2013,1399,1378,36,16,14,7
620000,甘肃省,2012,1359,1336,57,23,15,8
620000,甘肃省,2011,1284,1261,57,24,14,9
620000,甘肃省,2010,1185,1158,60,24,16,11
620000,甘肃省,2009,1110,1083,57,31,16,11
620000,甘肃省,2008,1058,1031,57,28,17,10
620000,甘肃省,2007,1045,989,74,39,32,24
620000,甘肃省,2006,895,841,68,39,31,23
620000,甘肃省,2005,825,770,68,37,31,24
620000,甘肃省,2004,800,745,82,37,31,24
620000,甘肃省,2003,721,654,91,58,37,30
620000,甘肃省,2002,633,567,91,66,38,28
620000,甘肃省,2001,364,333,95,49,15,16
620000,甘肃省,2000,387,343,110,57,21,23
630000,青海省,2019,304,303,,,,1
630000,青海省,2018,293,292,,,,1
630000,青海省,2017,321,318,,,2,1
