省份编码,省份,年份,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
210000,辽宁省,2005,2797.58210518254,2651.71626055459,5286.25890490529,3841.81106070747,4541.29362059045,3035.82776464273
210000,辽宁省,2004,2412.02966415958,2315.64603658821,,3262.03467090269,3544.05088470732,2369.5888698918
210000,辽宁省,2003,2291,2131,3226,3363,3656.99,2323.33
210000,辽宁省,2002,2139,1991,4232,4015,3117,2391
210000,辽宁省,2001,2126,1999,4171,2903,3016.65,1542.32
210000,辽宁省,2000,2076,1882,3651,4007,3070.1,2384.11
220000,吉林省,2019,7452,7329,11211,8396,8876,7151
220000,吉林省,2018,7001.48877456075,6800.56113492819,12015.9685909963,7787.9382867126,9720.80301289417,5090.97717197414
220000,吉林省,2017,6021,5748,10357,7811,8283,5095
220000,吉林省,2016,5364,4946,10997,6452,8550,6457
220000,吉林省,2015,5476,5213,11041,7180,8113,4744
220000,吉林省,2014,5112,4810,9540,7015,7847,5537
220000,吉林省,2013,4483,4228,9505,6484,7068,5618
220000,吉林省,2012,4146.70461822576,3875.10189606918,8346.17550492989,7990.33528299457,6437.92427901043,4604.5130904133
220000,吉林省,2011,4363.89213129708,4161.17046220888,10584.365733128,8346.30584364782,5947.09684868606,4561.67292925992
220000,吉林省,2010,3647,3495,10031,3278,5053,3905
220000,吉林省,2009,2917,2788,6505,3079,4482,3132
220000,吉林省,2008,2507,2399,6175,3256,3687,3213
220000,吉林省,2007,2302.46512847932,2191.77118751324,5290.1839845162,3650.06953516794,3596.54598047573,2960.56381100655
220000,吉林省,2006,2009.59103622149,1858.42656553672,4612.79330530935,2974.62075518274,3715.52476151468,2309.33817926021
220000,吉林省,2005,1888.1906711347,1755.55091997629,3870.93039990489,3044.98948464623,3136.36993767998,2274.92523545253
220000,吉林省,2004,1880.0050861118,1758.4529187379,,2227.84295691047,2750.55955606464,2566.33650246795
220000,吉林省,2003,1574,1447,3440,2361,2413.05,2651.47
220000,吉林省,2002,1665,1499,3983,1537,2682,1529
220000,吉林省,2001,1552,1451,3393,2157,2287.58,2240.67
220000,吉林省,2000,1408,1299,2291,2125,2079.57,2383.99
230000,黑龙江省,2019,7529,7323,13630,12671,9428,6327
230000,黑龙江省,2018,6900.87540875371,6678.0565147161,12908.0300441636,11721.7724325595,8710.75258323199,6291.246996927
230000,黑龙江省,2017,6471,6073,12057,11444,8720,5897
230000,黑龙江省,2016,5295,5029,9468,8119,6986,5687
230000,黑龙江省,2015,5144,4818,8049,7415,7716,5240
230000,黑龙江省,2014,4882,4517,11906,7799,8013,4691
230000,黑龙江省,2013,4738,4435,6578,7090,7685,5401
230000,黑龙江省,2012,4067.16534845026,3725.51036175037,9336.84760826,5698.40255591054,6438.43868255626,4674.81940903501
230000,黑龙江省,2011,3966.40203092223,3682.77759287754,8171.89494020146,4850.22444205602,6210.46967991707,4140.90666081783
230000,黑龙江省,2010,3719,3492,6154,4274,5828,4181
230000,黑龙江省,2009,3241,3067,5618,4142,4554,3890
230000,黑龙江省,2008,2832,2642,5414,2804,4330,3019
230000,黑龙江省,2007,2471.31614504763,2354.24302291285,4499.96896894136,2613.08509243477,3557.73729295,3036.22640873456
230000,黑龙江省,2006,2195.55170016513,2035.16993519017,3243.5366914286,3449.20399978506,3358.16247797367,3014.38116730829
230000,黑龙江省,2005,2099.12212012046,1872.80296697299,4238.34927303886,4119.1456208934,3276.32784114669,2682.14307934986
230000,黑龙江省,2004,1938.99031813831,1692.5111267485,,3349.73974920702,2995.47852906211,2697.54254101008
230000,黑龙江省,2003,1799,1622,3636,3025,2617.67,2405.86
230000,黑龙江省,2002,1803,1599,3902,2801,2854,2121
230000,黑龙江省,2001,1784,1631,4787,2744,2511.6,1988.51
230000,黑龙江省,2000,1739,1578,4495,2947,2638.58,2186.7
310000,上海市,2019,30677,32926,64003,37890,29003,7041
310000,上海市,2018,26890.0770227673,28981.1057057744,65458.331108263,32963.7803541464,26475.0659237732,7208.04967659481
310000,上海市,2017,23804,24866,54399,31753,26249,6024
310000,上海市,2016,24747,25910,42735,29477,22854,5120
310000,上海市,2015,20949,21501,37415,24754,20043,5136
310000,上海市,2014,16787,16415,33415,24978,22014,6105
310000,上海市,2013,16420,16192,28917,23623,19294,4732
310000,上海市,2012,14061.3739880608,13869.8832696943,28195.6326828701,20999.5855944393,16217.9503738585,4223.07993360234
310000,上海市,2011,14603.2352728002,13565.8338087778,26396.1303177943,25996.8009728898,19526.8441467363,6266.42373186183
310000,上海市,2010,14464,14290,24952,18888,15779,7200
310000,上海市,2009,12840,12364,22131,21598,15237,6860
310000,上海市,2008,8195,8115,12792,11783,6610,5529
310000,上海市,2007,8360.99995512804,8252.99995471421,12999.3212577501,14223.3963044239,6612.9980240342,5595.00187294371
310000,上海市,2006,7196.00014583194,7039.00012674482,10835.0001243575,12077.9945531677,6479.00040528698,5580.0993599046
310000,上海市,2005,6841.9999791698,6698.00005756059,7719.83176821398,11866.7989224761,7100.99942808026,4983.00840361955
310000,上海市,2004,5854.99989593494,5761.21075859434,,9654.75583437955,6308.37000570217,4342.25246962336
310000,上海市,2003,5118,4989,6539,9711,6461.87,4239.98
310000,上海市,2002,4134,4007,5787,8343,4968,3489
310000,上海市,2001,3866,3658,6126,9501,6156.08,3256.72
310000,上海市,2000,3565,3326,6108,9223,5110.85,2644.06
320000,江苏省,2019,11637,11873,17547,11084,11524,5272
320000,江苏省,2018,10773.5436259291,10542.4829066935,16357.5813969852,12082.5933810777,16043.1079566403,5471.07461499119
320000,江苏省,2017,9195,9070,14010,10923,11633,5222
320000,江苏省,2016,8805,8734,13584,9612,10519,4676
320000,江苏省,2015,7356,7177,13110,9336,9976,4224
320000,江苏省,2014,7006,6783,12849,8798,9929,4088
320000,江苏省,2013,6909,6650,12196,7617,10416,4156
320000,江苏省,2012,6726.78332982359,6422.84750914605,11604.0708530304,9049.2968792403,9774.10751393257,3779.40816228414
320000,江苏省,2011,6554.41489944904,6145.19940126969,11643.3603465712,9634.65385171662,9374.88529749617,4200.26725584432
320000,江苏省,2010,5841,5592,10191,7962,7892,3239
320000,江苏省,2009,4983,4805,8348,6895,6831,2642
320000,江苏省,2008,4049,3802,7729,5906,6172,2567
320000,江苏省,2007,4024.358809515,3834.19900803716,7043.33552683485,7190.31962703935,5832.39933242797,2173.17677009715
320000,江苏省,2006,3592.19496498758,3375.16712034205,5599.47205946819,5246.63728133798,5401.68626384613,2110.35731524223
320000,江苏省,2005,3358.75781902925,3145.5833633567,5002.16470182663,5215.68021575998,5179.7891393926,2262.78620181749
320000,江苏省,2004,2651.41058935754,2417.84590001224,,5194.69142832114,4512.22995384215,1388.12586294601
320000,江苏省,2003,2197,2017,3240,4136,3487.47,1448.12
320000,江苏省,2002,1925,1806,2654,3547,3065,1413
320000,江苏省,2001,1801,1665,2376,3267,3153.8,1341.81
320000,江苏省,2000,1643,1527,2282,2988,2845.6,974
330000,浙江省,2019,15304,16303,19735,14795,14731,5005
330000,浙江省,2018,14442.9980789273,15242.0072195546,20148.9667628408,14833.1842787981,15346.4936398133,5032.39591107192
330000,浙江省,2017,12855,13430,15779,13661,13906,5343
330000,浙江省,2016,11121,11447,14695,11330,12329,4463
330000,浙江省,2015,10525,10755,12883,10551,11626,4425
330000,浙江省,2014,10526,10586,13127,11118,13466,4389
330000,浙江省,2013,11042,11016,14747,13917,13971,4288
330000,浙江省,2012,10642.5755673011,10679.6856789357,14081.1018488058,12742.7358061737,12186.2263710212,4482.1178087159
330000,浙江省,2011,9838.0619550554,9801.15259602132,14921.9814033259,11903.22266252,11765.7191935468,4266.67173522686
330000,浙江省,2010,9258,9332,12507,11033,10627,3710
330000,浙江省,2009,7826,7890,10299,8674,9049,3595
330000,浙江省,2008,6262,6144,9424,9716,7446,3180
330000,浙江省,2007,5786.02950004275,5623.27388122382,9602.69006915801,7748.67684305154,8181.51383614236,3663.69244088206
330000,浙江省,2006,4774.44324747246,4510.11736540642,7131.44444285367,7148.05679566551,7455.356465249,3179.77339362422
330000,浙江省,2005,4279.96640611969,3973.03812913764,6411.65978581855,5892.75710499666,7348.35801137459,3122.40415995617
330000,浙江省,2004,3108.19424057343,2785.67724103008,,5422.52283907238,5605.15056226686,2332.56873248761
330000,浙江省,2003,2737,2451,4276,3525,5190.42,2240.89
330000,浙江省,2002,2387,2128,3339,3929,4446,1769
330000,浙江省,2001,2050,1821,2659,3529,3969.37,1428.34
330000,浙江省,2000,1947,1758,2337,2643,3959.56,1443.52
340000,安徽省,2019,7393,7360,9154,7908,8858,3557
340000,安徽省,2018,7049.86446131958,6937.05529768602,10458.3334598916,8452.12091443847,8614.18894590661,4540.93757221905
340000,安徽省,2017,6375,6137,8932,8067,8781,3838
340000,安徽省,2016,5924,5637,7937,7860,9041,3786
340000,安徽省,2015,5457,5067,7713,7339,8596,4412
340000,安徽省,2014,5394,5017,8804,6827,8513,3316
340000,安徽省,2013,5080,4776,8208,7276,8301,3473
340000,安徽省,2012,4824.95446242928,4495.1218576046,7406.91302221436,7420.41832797843,7853.96653482425,4056.08886559793
340000,安徽省,2011,4776.10414569391,4371.23623291565,7887.56255260053,6779.72578467319,7913.1265595061,3045.33419267333
340000,安徽省,2010,4205,3899,5950,6208,6699,3296
340000,安徽省,2009,3420,3235,4325,4327,5609,2657
340000,安徽省,2008,2949,2808,4058,4596,4627,2139
340000,安徽省,2007,2664.36899750716,2504.78291356616,3214.49692170741,3997.68509787651,4330.64506174109,1831.03524140068
340000,安徽省,2006,2321.88606583851,2152.78320029004,3154.79313649392,3571.56418671513,3713.62258603165,2104.90438775876
340000,安徽省,2005,2220.19546399169,2064.63715007748,3356.19009761053,3662.94027046697,3488.46681208581,2198.16242670483
340000,安徽省,2004,1782.14297783652,1571.0734818832,,3097.39955731252,2802.72561650556,1268.34804303173
340000,安徽省,2003,1513,1346,1942,2212,2454.65,1256.88
340000,安徽省,2002,1290,1171,1762,1462,2172,1675
340000,安徽省,2001,1163,994,1254,1687,2434.96,888.55
340000,安徽省,2000,1173,1020,2581,1692,2273,1032.2
350000,福建省,2019,10748,11205,15031,12847,11099,5683
350000,福建省,2018,10589.1848447884,10612.6405701143,14523.6572960145,15784.3632299716,12783.8843520357,6556.72648211826
350000,福建省,2017,9746,9284,15557,17560,12279,6678
350000,福建省,2016,9218,9175,14003,12143,11569,5573
350000,福建省,2015,8881,8565,14633,12551,12653,6514
350000,福建省,2014,9136,8843,14040,11131,13017,7603
350000,福建省,2013,9050,8618,14085,13723,15412,5952
350000,福建省,2012,8646.05078007271,8365.9154792634,14467.7663828308,12117.3856025417,12483.6001212124,5056.94801633796
350000,福建省,2011,7764.28919028476,7451.95426291707,14286.2313991652,10354.2992609529,14347.3954559992,3763.29287565239
350000,福建省,2010,6256,6077,11277,8732,10239,3310
350000,福建省,2009,5427,5366,7910,6273,9749,2690
350000,福建省,2008,4384,4498,7334,5386,8303,1686
350000,福建省,2007,4684.34213415464,4475.95315881666,8694.96305291616,4734.14131992204,8478.41280751275,2943.64497735666
350000,福建省,2006,3993.96219329687,3655.74285598911,6289.61687774454,5377.45851990338,8918.70472529973,2250.54392638269
350000,福建省,2005,3161.67471873495,2800.85902514014,5558.01830203195,4293.35740758339,8511.98683026158,2207.24772549332
350000,福建省,2004,2559.67993160166,2296.70965262145,,3073.76543350963,5776.77281828052,2238.81894784547
350000,福建省,2003,2297,2053,3344,2899,4823.43,1523.7
350000,福建省,2002,2152,1744,2857,2674,5258,1526
350000,福建省,2001,2015,1788,3318,2561,3949.51,2007.21
350000,福建省,2000,2084,1767,3110,2617,4560.59,2049.18
360000,江西省,2019,7293,7110,8802,8453,9324,5898
360000,江西省,2018,6805.49240417507,6539.84017934597,8654.42764097571,8569.3272269277,9251.79756507415,5550.5117252092
360000,江西省,2017,6150,5800,7773,8582,8808,5340
360000,江西省,2016,5709,5331,7437,7634,9631,5508
360000,江西省,2015,5358,5107,7768,6785,8683,5098
360000,江西省,2014,5288,4971,7443,9085,8998,5084
360000,江西省,2013,5203,4905,6573,9083,8172,5077
360000,江西省,2012,4744.66496753269,4381.17894738229,7712.27621483376,10643.6568929446,7401.59878388971,4417.30477867409
360000,江西省,2011,4147.70240473872,3821.99562429348,6730.21723145635,9138.49581020683,7492.44184957772,3144.26790032775
360000,江西省,2010,3144,2959,5252,8256,5342,2863
360000,江西省,2009,2643,2517,2747,4566,4677,2699
360000,江西省,2008,2136,2022,3141,2840,4039,2057
360000,江西省,2007,2071.88673963694,1998.2617171667,3189.42834727196,3288.67537271354,3366.36781973275,1989.80196260391
360000,江西省,2006,1707.99229793618,1590.59765879547,3485.17955035635,2379.26194997111,3259.20623532744,1587.94814391923
360000,江西省,2005,1528.67538991738,1335.77447281287,2472.97492072643,2892.71308262772,3079.73722220699,1289.43387616094
360000,江西省,2004,1325,1158,,1306,2373,1090
360000,江西省,2003,1210,964,1419,2028,2255,1459.66
360000,江西省,2002,1062,907,1658,1342,1961,865
360000,江西省,2001,972,864,1380,1642,1654.71,893.24
360000,江西省,2000,949,854,2026,850,1576.55,941.01
370000,山东省,2019,8070,8126,12261,10568,9688,4022
370000,山东省,2018,7481.15796984404,7386.25140140194,13129.8198059126,10896.2432049105,8950.69992914472,5373.16231364015
370000,山东省,2017,6319,6153,10876,9787,8796,4138
370000,山东省,2016,5855,5728,11481,9411,7807,4210
370000,山东省,2015,5560,5290,10051,9290,7975,4213
370000,山东省,2014,5315,5029,9179,9686,8224,3903
370000,山东省,2013,5049,4797,9856,9305,8034,3990
370000,山东省,2012,4763.01406870807,4556.63457611308,10039.2744766516,8696.32178270478,7082.65643634231,3658.55767567879
370000,山东省,2011,4447.73008643539,4298.78130430953,8156.57882359684,7696.95008879701,6445.02886508161,3592.15932732588
370000,山东省,2010,3944,3809,9280,6606,5703,2964
370000,山东省,2009,3505,3390,8787,7379,5119,2260
370000,山东省,2008,2970,2851,7256,5601,4601,2440
370000,山东省,2007,2904.1411680766,2799.25475482281,5058.80114021212,6430.43253763355,4195.57436284325,2238.95381813243
370000,山东省,2006,2540.50261905843,2399.93613663956,5984.2425781235,6816.89084057399,3841.08566275924,2512.04326250686
370000,山东省,2005,2425.22000109456,2294.62753169394,4679.48942531152,5848.14414376029,3549.50031506357,2867.02445695955
370000,山东省,2004,2045.28749097536,1885.87349637486,,5099.96644044144,3008.58311400754,1464.61410913476
370000,山东省,2003,1698,1624,3448,2150,2443.06,1172.54
370000,山东省,2002,1605,1535,4195,3307,2100,937
370000,山东省,2001,1457,1361,3891,3307,2032.52,1672
370000,山东省,2000,1427,1343,3533,2704,2019.07,870.35
410000,河南省,2019,6311,6176,10262,10444,7525,5215
410000,河南省,2018,5757.69013822559,5530.60494755395,10450.6927831791,10056.4554075495,7687.70633827059,5171.84298895227
410000,河南省,2017,5355,5038,10155,9555,7658,5691
410000,河南省,2016,4964,4774,8193,8143,6766,4477
410000,河南省,2015,4611,4317,7755,8239,7162,5273
410000,河南省,2014,4366,3909,9038,9049,7891,7359
410000,河南省,2013,4205,3835,7854,9110,7518,3679
410000,河南省,2012,3831.23136524845,3511.26230203239,6583.81147723461,8820.35818785691,7657.20881029828,3543.71075824197
410000,河南省,2011,3500.79766051666,3123.15414388083,6193.57205410552,9303.08069849454,7524.13807256231,3270.64853621183
410000,河南省,2010,3042,2856,4997,8276,5563,3203
410000,河南省,2009,2666,2501,3479,4511,5202,2319
410000,河南省,2008,2339,2138,3618,4367,5065,1933
410000,河南省,2007,2253.42867833039,2081.22116689509,3447.27555842803,3590.1700495721,4393.91464844448,1391.63178180892
410000,河南省,2006,2011.84355877047,1842.62630853512,2814.21454931351,3456.38321248077,3853.98036349064,1514.55255225577
410000,河南省,2005,1866.94528876702,1658.67673540034,2571.79491813928,3058.55183484947,3764.7433236653,1325.53320251609
410000,河南省,2004,1572.89959883386,1443.30864983909,,2462.423500612,2856.7560634993,1098.27860259055
410000,河南省,2003,1388,1289,1276,2081,2756.1,1570.64
410000,河南省,2002,1380,1291,2450,2572,2543,1079
410000,河南省,2001,1236,1173,1915,1840,2161.74,963.41
410000,河南省,2000,1260,1152,2107,1996,1952.02,1668.37
420000,湖北省,2019,9012,8665,11932,19923,12745,8157
420000,湖北省,2018,8495.26652233452,8135.76215514169,9845.71855430964,16906.2057117876,11743.6333048939,7660.2810487309
420000,湖北省,2017,7675,7307,9037,14474,10794,7695
420000,湖北省,2016,6724,6457,9086,11889,9651,7610
420000,湖北省,2015,5863,5663,8208,7867,8667,4780
420000,湖北省,2014,5513,5085,7902,10470,9916,5066
420000,湖北省,2013,5266,4847,8475,8384,9898,5847
420000,湖北省,2012,5042.79373316352,4667.99946774879,9865.64146675155,12282.0255487534,8744.46216206536,3956.65217496264
420000,湖北省,2011,4486.39344903138,4142.12711535573,8547.37118923461,8088.5979464646,8502.70010664018,5038.75532763421
420000,湖北省,2010,3743,3506,6659,5534,7712,3588
420000,湖北省,2009,3532,3413,7046,4419,6423,2903
420000,湖北省,2008,3001,2898,6191,5122,4863,3513
420000,湖北省,2007,3053.1162318015,2937.45031819446,6880.32599291077,4608.00199426648,5143.13919823305,2413.91133680545
420000,湖北省,2006,2555.65774038294,2422.14130177018,4282.49115413668,3992.36145781328,5225.28946268561,2209.22332820164
420000,湖北省,2005,2263.25516013099,2163.64962103339,4297.3356753353,2665.15552979493,4048.54844688109,1452.56568891477
420000,湖北省,2004,1671.66908292295,1599.12951786236,,3172.63134666693,2687.56388531376,1702.6736595615
420000,湖北省,2003,1506,1452,2555,2476,2759.24,1316.44
420000,湖北省,2002,1456,1408,2284,1847,1899,1787
420000,湖北省,2001,1363,1311,1835,2069,2198.54,1932.76
420000,湖北省,2000,1368,1280,2755,2295,2956.12,1054.44
430000,湖南省,2019,6127,5848,9191,12025,9808,3882
430000,湖南省,2018,5794.89186554688,5473.14087086086,8428.68748862138,11304.5515286436,9553.10465526391,3855.97193103986
430000,湖南省,2017,5228,4846,8089,9101,8877,4011
430000,湖南省,2016,4640,4330,6955,8968,8213,3869
430000,湖南省,2015,4304,3974,7318,8233,8076,3485
430000,湖南省,2014,4227,3830,6662,9881,8110,4227
430000,湖南省,2013,4243,3908,8116,11019,8191,3581
430000,湖南省,2012,4048.62311094427,3669.63005106943,7130.42145914078,9696.83857280497,8578.97654210726,3071.39811961195
