年份,国内实物交易资金来源_净出口,国内实物交易资金来源_增加值,国内实物交易资金来源_劳动者报酬,国内实物交易资金来源_工资及工资性收入,国内实物交易资金来源_单位社会保险付款,国内实物交易资金来源_生产税净额,国内实物交易资金来源_生产税,国内实物交易资金来源_生产补贴,国内实物交易资金来源_财产收入,国内实物交易资金来源_利息,国内实物交易资金来源_红利,国内实物交易资金来源_地租,国内实物交易资金来源_其他财产收入,国内实物交易资金来源_初次分配总收入,国内实物交易资金来源_经常转移,国内实物交易资金来源_收入税,国内实物交易资金来源_社会保险缴款,国内实物交易资金来源_社会保险福利,国内实物交易资金来源_社会补助,国内实物交易资金来源_其他经常转移,国内实物交易资金来源_可支配总收入,国内实物交易资金来源_最终消费,国内实物交易资金来源_居民消费,国内实物交易资金来源_政府消费,国内实物交易资金来源_总储蓄,国内实物交易资金来源_资本转移,国内实物交易资金来源_投资性补助,国内实物交易资金来源_其他资本转移,国内实物交易资金来源_资本形成总额,国内实物交易资金来源_固定资本形成总额,国内实物交易资金来源_存货增加,国内实物交易资金来源_其他非金融资产获得减处置,国内实物交易资金来源_净金融投资
2009,,340902.812581147,166957.943999446,,,41962.7575438905,,,55484.716182013,41421.256,10027.675146869,1733.808814,2301.97622114401,340319.951541934,58975.0062404726,15486.184512,16115.6,12302.6,6246.031731,8824.58999747261,342482.489268583,,,,173207.689268583,4823.75434893689,3817.29234893689,1006.462,,,,,
2008,,314045.425793764,150511.686239537,,,39556.3366666667,,,56576.3144329173,43471.4971,9709.27320978737,1337.06,2058.48412312994,316030.337526745,52483.3220080107,14897.94,13696.1,9925.1,5156.87594,8807.30606801071,319027.493379762,,,,165604.993379762,3930.60203644007,3162.56915715007,768.03287929,,,,,
2007,,265810.30584365,127918.919044464,,,35304.8632,,,42506.5547073662,31292.06,7861.60420736618,965.6565,2387.234,266421.999212496,41307.7454630886,11964.83,10812.3,7887.9,3364.59583,7278.11963308859,269243.210697663,,,,137010.310697663,3162.80897560924,2507.65918760924,655.149788,,,,,
2006,,216314.380142192,106368.998961,,,27656.6856117,,,32338.0905849854,24986.86,5590.465218574,579.864,1180.90136641136,215904.359776762,32331.8562888907,8814.8529,8643.2,6477.4,2807.754,5588.64938889074,218141.812916908,,,,105037.912916908,2523.59690254759,1965.08540190759,558.51150064,,,,,
2005,,184937.4,93147.994923299,,,23685.681399,,,20441.070294296,15451.939,4289.42149281317,306.0631,393.646701482856,183617.408975621,26335.6928954321,6949.2665,6975.2,5400.8,2241.91,4768.51639543211,185572.364120577,,,,86214.8341205773,2262.65691161863,1781.96573481963,480.691176799,,,,,
2004,,159878.3,80950.745184688,,,20608.8261,,,16305.485549104,13186.32,2751.575549104,175.1,192.49,159453.566820752,21828.6246675387,5408.8443,5780.3,4627.4,2020.72,3991.36036753869,161348.78184535,,,,73796.1818453498,1569.51405628342,1494.47405628342,75.04,,,,,
2003,,135822.8,71735.73861997,,,17516.1702,,,13886.00735146,11557.62,2009.97735146,126.15,192.26,134977.01566547,17722.8188926656,4195.8818,4882.9,4016.4,1519.85034782609,3107.78674483952,136421.247805692,,,,58735.7478056919,4074.65053745726,4037.37053745726,37.28,,,,,
2002,,120332.7,64501.50788725,,,14761.7561,,,12499.60699209,10037.0783,2236.18869209,110.53,115.81,119095.70001727,14700.5177031711,3542.89,4048.7,3471.5,1164.77421550095,2472.65348767011,120170.410323011,,,,48353.9103230106,3672.07240519552,3651.56240519552,20.51,,,,,
2001,,109655.2,57529.83341835,,,12968.1697732936,,,11581.8622893,10089.87,1289.8822893,92.84,109.27,108068.22935257,12139.1077742522,3363.0008,3101.9,2748.0,1160.5988830443,1765.60809120794,108771.130088881,,,,41837.2300888806,3455.09057631822,3444.76057631822,10.33,,,,,
2000,,99214.6,52242.87146784,,,11975.3053093033,,,11906.830108672,10510.0919,1201.398208672,84.17,111.17,98000.527853856,9489.59125886958,2118.8631,2644.9,2385.6,980.564076560261,1359.66408230932,98522.9958851383,,,,37006.9958851383,2943.49519232725,2935.10519232725,8.39,,,,,
