年份,国内实物交易资金运用_净出口,国内实物交易资金运用_增加值,国内实物交易资金运用_劳动者报酬,国内实物交易资金运用_工资及工资性收入,国内实物交易资金运用_单位社会保险付款,国内实物交易资金运用_生产税净额,国内实物交易资金运用_生产税,国内实物交易资金运用_生产补贴,国内实物交易资金运用_财产收入,国内实物交易资金运用_利息,国内实物交易资金运用_红利,国内实物交易资金运用_地租,国内实物交易资金运用_其他财产收入,国内实物交易资金运用_初次分配总收入,国内实物交易资金运用_经常转移,国内实物交易资金运用_收入税,国内实物交易资金运用_社会保险缴款,国内实物交易资金运用_社会保险福利,国内实物交易资金运用_社会补助,国内实物交易资金运用_其他经常转移,国内实物交易资金运用_可支配总收入,国内实物交易资金运用_最终消费,国内实物交易资金运用_居民消费,国内实物交易资金运用_政府消费,国内实物交易资金运用_总储蓄,国内实物交易资金运用_资本转移,国内实物交易资金运用_投资性补助,国内实物交易资金运用_其他资本转移,国内实物交易资金运用_资本形成总额,国内实物交易资金运用_固定资本形成总额,国内实物交易资金运用_存货增加,国内实物交易资金运用_其他非金融资产获得减处置,国内实物交易资金运用_净金融投资
2009,,,166468.992358906,,,41962.7575438905,,,56556.5288617661,41421.2564994131,11099.487327209,1733.808814,2301.97622114401,,56812.4685138234,15486.184512,16115.6,12302.6,6246.031731,6662.05227082338,,169274.8,123584.6,45690.2,,4550.51434893689,3817.29234893689,733.222,164463.2,156679.8,7783.4,,9017.72926858295
2008,,,150067.189005181,,,39556.3366666667,,,55035.8999342923,43392.32296,8248.03285116237,1337.06,2058.48412312994,,49486.1661549938,14897.94,13696.1,9925.1,5156.87594,5810.15021499375,,153422.5,111670.4,41752.1,,3718.64526799007,3162.56915715007,556.07611084,138325.18,128084.4,10240.78,,27491.7701482123
2007,,,127588.9,,,35304.8632,,,42224.8803829843,31292.06,7579.92988298433,965.6565,2387.234,,38486.533977921,11964.83,10812.3,7887.9,3364.59583,4456.90814792102,,132232.9,96332.5,35900.37,,2927.15493240924,2507.65918760924,419.4957448,110943.25,103948.61,6994.64,,26302.7147408634
2006,,,106210.4,,,27656.6856117,,,32906.7099114154,24986.86,6159.084545004,579.864,1180.90136641136,,30094.4031487444,8814.8529,8643.2,6477.4,2807.754,3351.19624874438,,113103.9,82575.5,30528.4,,2203.12097638759,1965.08540190759,238.03557448,92954.08,87954.06,5000.02,,12404.3088430679
2005,,,93023.51,,,23685.681399,,,21885.5462419739,15451.939,5733.897440491,306.0631,393.646701482856,,24380.7377504759,6949.2665,6975.2,5400.8,2241.91,2813.56125047595,,99357.53,72958.7,26398.83,,1926.64973481963,1781.96573481963,144.684,77856.9,74232.9,3624.0,,8693.94129737635
2004,,,80898.42,,,20608.8261,,,16782.54391304,13186.32,3228.63391304,175.1,192.49,,19933.4096429408,5408.8443,5780.3,4627.4,2020.72,2096.14534294083,,87552.6,65218.48,22334.12,,1575.22725628342,1494.47405628342,80.7532,69168.4,65117.7,4050.7,,4622.06864534986
2003,,,71722.3,,,17516.1702,,,14745.23030596,11557.62,2869.20030596,126.15,192.26,,16278.5867524437,4195.8818,4882.9,4016.4,1519.85034782609,1663.55460461757,,77685.5,57649.8,20035.7,,4078.62349745726,4041.34349745726,37.28,55963.0,53490.7,2472.3,,2768.77484569194
2002,,,64524.4,,,14761.7561,,,13713.71486207,10037.0783,3450.29656207,110.53,115.81,,13625.8073974305,3542.89,4048.7,3471.5,1164.77421550095,1397.94318192954,,71816.5,53056.6,18759.9,,3676.21090519552,3655.70090519552,20.51,45565.0279238529,43632.1279238529,1932.9,,2784.74389915763
2001,,,57575.7,,,12968.1697732936,,,13122.96635508,10089.87,2830.98635508,92.84,109.27,,11436.2070379416,3363.0008,3101.9,2748.0,1160.5988830443,1062.70735489733,,66933.9,49435.9,17498.0,,3459.56015631822,3449.23015631822,10.33,39769.4,37754.5,2014.9,,2063.36050888061
2000,,,52282.4,,,11975.3053093033,,,13081.373722656,10510.0919,2375.941822656,84.17,111.17,,8967.12322758726,2118.8631,2644.9,2385.6,980.564076560261,837.196051027,,61516.0,45854.6,15661.4,,2946.39263232725,2938.00263232725,8.39,34842.8,33844.4,998.399999999998,,2161.29844513832
