省份编码,省份,年份,私营企业户数(万户),私营企业就业人数(万人),私营企业投资者就业人数(万人),城镇私营企业就业人数(万人),城镇私营企业投资者就业人数(万人),乡村私营企业就业人数(万人),乡村私营企业投资者就业人数(万人)
140000,山西省,2004,5.5829,95.3774,13.5452,52.6857,8.6491,42.6917,4.8961
140000,山西省,2003,4.2874,110.4107,10.6117,72.6765,5.3083,37.7342,5.3034
140000,山西省,2002,3.4,52.7,9.8,26.8,5.3,25.9,4.4
140000,山西省,2001,2.8,43.7643,6.9259,24.5611,4.468,19.2032,2.4579
140000,山西省,2000,2.5,38.6433,5.9073,22.508,3.8612,16.1353,2.0461
150000,内蒙古自治区,2019,40.0283,303.2587,,189.1015,,114.1572,
150000,内蒙古自治区,2018,36.6809,285.3841,,205.4176,,79.9665,
150000,内蒙古自治区,2017,32.7499,264.2453,,220.8409,,43.4044,
150000,内蒙古自治区,2016,28.5438,220.7676,51.6549,176.8113,45.2414,43.9563,6.4135
150000,内蒙古自治区,2015,24.9611,208.5856,,168.0831,,40.5025,
150000,内蒙古自治区,2014,20.171,207.8854,41.5045,173.2372,35.904,34.6482,5.6005
150000,内蒙古自治区,2013,16.6,195.7579,36.0986,124.7527,29.9373,71.0052,6.1613
150000,内蒙古自治区,2012,14.6618,153.1161,32.3821,133.0628,29.2759,20.0533,3.1062
150000,内蒙古自治区,2011,13.266,135.6184,30.1421,117.3748,27.5436,18.2436,2.5985
150000,内蒙古自治区,2010,11.3351,121.478,25.4245,103.0509,23.2188,18.4271,2.2057
150000,内蒙古自治区,2009,9.4844,105.3277,22.1041,89.1683,19.7856,16.1594,2.3185
150000,内蒙古自治区,2008,8.2426,98.4277,19.8858,80.4407,16.7906,17.987,3.0952
150000,内蒙古自治区,2007,6.327,82.8767,16.9889,61.8015,13.535,21.0752,3.4539
150000,内蒙古自治区,2006,5.4381,73.642,14.8315,53.3404,11.1796,20.3016,3.6519
150000,内蒙古自治区,2005,4.8317,68.2137,13.5877,47.0827,10.0602,21.131,3.5275
150000,内蒙古自治区,2004,4.2681,61.2096,11.8669,44.1778,9.1676,17.0318,2.6993
150000,内蒙古自治区,2003,3.5114,51.3509,10.2538,35.7308,7.1825,15.6201,3.0713
150000,内蒙古自治区,2002,3.4,51.2,9.6,28.5,5.4,22.6,4.1
150000,内蒙古自治区,2001,3.0,45.5443,8.4628,30.4258,5.911,15.1185,2.5518
150000,内蒙古自治区,2000,2.7,41.4173,7.8169,28.637,5.6222,12.7803,2.1947
210000,辽宁省,2019,88.343,498.0082,,238.383,,259.6252,
210000,辽宁省,2018,78.9846,471.7714,,251.858,,219.9134,
210000,辽宁省,2017,69.6603,442.9645,,265.126,,177.8385,
210000,辽宁省,2016,59.4585,355.4936,,220.6454,,134.8482,
210000,辽宁省,2015,53.8559,344.81,,240.4537,,104.3563,
210000,辽宁省,2014,45.8812,483.655,82.9594,380.2668,69.0696,103.3882,13.8898
210000,辽宁省,2013,39.1,435.6991,73.2835,337.0067,60.8361,98.6924,12.4474
210000,辽宁省,2012,37.4024,421.6269,68.6483,318.7414,56.5102,102.8855,12.1381
210000,辽宁省,2011,33.717,402.5672,60.0577,303.272,48.76,99.2952,11.2977
210000,辽宁省,2010,30.7733,371.0618,56.4044,271.5551,45.0242,99.5067,11.3802
210000,辽宁省,2009,26.6809,337.5798,50.62,240.6793,39.107,96.9005,11.513
210000,辽宁省,2008,24.0342,289.025,46.9793,206.1185,35.3369,82.9065,11.6424
210000,辽宁省,2007,21.1645,288.7356,45.8054,202.9271,34.8122,85.8085,10.9932
210000,辽宁省,2006,18.9394,277.7862,43.6968,184.6276,31.0559,93.1586,12.6409
210000,辽宁省,2005,16.5217,252.1363,41.5598,189.4802,34.4902,62.6561,7.0696
210000,辽宁省,2004,13.687,225.7715,33.1378,177.0493,28.5194,48.7222,4.6184
210000,辽宁省,2003,11.4415,206.95,24.6134,152.3284,19.91,54.6216,4.7034
210000,辽宁省,2002,9.8,186.0,20.2,130.8,15.6,55.2,4.6
210000,辽宁省,2001,8.4,157.7157,16.9066,110.561,13.5384,47.1547,3.3682
210000,辽宁省,2000,7.4,124.8946,13.762,83.273,10.7699,41.6216,2.9921
220000,吉林省,2019,43.2334,281.046,,151.2637,,129.7823,
220000,吉林省,2018,39.6071,292.2588,,182.7797,,109.4791,
220000,吉林省,2017,34.3144,266.1682,,180.2492,,85.919,
220000,吉林省,2016,28.4264,239.8207,,182.0151,,57.8056,
220000,吉林省,2015,25.8267,244.2584,,196.7619,,47.4965,
220000,吉林省,2014,21.5671,222.4812,41.9859,183.1444,35.7933,39.3368,6.1926
220000,吉林省,2013,18.0,199.018,35.6951,165.6876,30.8977,33.3304,4.7974
220000,吉林省,2012,16.0352,166.1397,31.944,139.7342,28.4035,26.4055,3.5405
220000,吉林省,2011,14.2331,151.3132,29.3431,126.0013,26.3336,25.3119,3.0095
220000,吉林省,2010,12.7445,140.0897,25.4707,118.852,22.9542,21.2377,2.5165
220000,吉林省,2009,11.1565,106.8006,22.6873,85.7747,19.0105,21.0259,3.6768
220000,吉林省,2008,9.8159,99.8031,19.3325,76.6771,15.1431,23.126,4.1894
220000,吉林省,2007,7.6971,82.6467,16.2239,55.6929,11.8914,26.9538,4.3325
220000,吉林省,2006,7.0241,77.136,14.2016,61.9162,11.7224,15.2198,2.4792
220000,吉林省,2005,6.0007,87.9919,12.8371,77.1643,10.3409,10.8276,2.4962
220000,吉林省,2004,5.0858,99.1487,8.7969,91.1177,7.409,8.031,1.3879
220000,吉林省,2003,3.8135,41.1529,8.4378,31.9117,6.9756,9.2412,1.4622
220000,吉林省,2002,3.3,34.0,8.0,26.6,6.3,7.4,1.6
220000,吉林省,2001,3.2,36.1044,6.7906,29.7346,5.8299,6.3698,0.9607
220000,吉林省,2000,2.7,28.5483,5.0328,21.537,3.9749,7.0113,1.0579
230000,黑龙江省,2019,43.4337,81.151,,58.6807,,22.4703,
230000,黑龙江省,2018,39.2751,75.1386,,65.4692,,9.6694,
230000,黑龙江省,2017,34.7763,68.0255,,59.3547,,8.6708,
230000,黑龙江省,2016,30.2043,58.5073,,50.2797,,8.2276,
230000,黑龙江省,2015,25.2777,47.3359,,38.703,,8.6329,
230000,黑龙江省,2014,23.2977,175.3168,47.827,129.5494,37.9779,45.7674,9.8491
230000,黑龙江省,2013,20.4,217.3083,42.9908,159.764,35.0866,57.5443,7.9042
230000,黑龙江省,2012,19.7804,217.1396,46.8125,158.6798,35.6421,58.4598,11.1704
230000,黑龙江省,2011,17.3677,192.7597,39.4492,145.1423,31.0548,47.6174,8.3944
230000,黑龙江省,2010,15.6651,190.5148,36.4543,147.7075,28.7207,42.8073,7.7336
230000,黑龙江省,2009,14.0499,149.2088,31.811,112.0931,25.1092,37.1157,6.7018
230000,黑龙江省,2008,12.6341,141.4558,29.8267,108.4579,22.7846,32.9979,7.0421
230000,黑龙江省,2007,9.8554,116.9695,26.3562,92.4938,21.0,24.4757,5.3562
230000,黑龙江省,2006,7.791,102.8021,22.3185,82.7877,18.3987,20.0144,3.9198
230000,黑龙江省,2005,6.82,95.2034,19.7489,77.502,16.649,17.7014,3.0999
230000,黑龙江省,2004,5.7836,84.0246,16.7496,68.2339,14.0443,15.7907,2.7053
230000,黑龙江省,2003,5.1402,76.2369,13.4603,52.5238,9.7793,23.7131,3.681
230000,黑龙江省,2002,4.4,65.7,11.1,52.6,9.6,13.0,1.5
230000,黑龙江省,2001,4.2,60.2152,9.8086,47.6712,8.5023,12.544,1.3063
230000,黑龙江省,2000,4.2,53.6665,8.3563,40.4544,6.9264,13.2121,1.4299
310000,上海市,2019,201.7724,1488.5409,,755.3662,,733.1747,
310000,上海市,2018,189.073,1405.7452,,730.3146,,675.4306,
310000,上海市,2017,170.8329,1284.889,,674.4178,,610.4712,
310000,上海市,2016,148.9541,1139.0172,,603.973,,535.0442,
310000,上海市,2015,133.4766,1031.168,,551.0828,,480.0852,
310000,上海市,2014,112.1769,874.7245,207.657,467.4954,116.692,407.2291,90.965
310000,上海市,2013,93.9,734.8032,176.0077,395.3502,98.8353,339.453,77.1724
310000,上海市,2012,84.7131,666.4619,158.6124,362.5932,89.073,303.8687,69.5394
310000,上海市,2011,77.7335,616.1395,145.6931,337.4799,81.8811,278.6596,63.812
310000,上海市,2010,70.6199,572.5083,131.9373,314.1054,74.7369,258.4029,57.2004
310000,上海市,2009,63.0701,548.2494,117.6259,311.0971,67.3137,237.1523,50.3122
310000,上海市,2008,58.7586,512.9066,110.1369,282.6323,63.3202,230.2743,46.8167
310000,上海市,2007,49.8905,476.3272,104.0084,266.4004,60.8839,209.9268,43.1245
310000,上海市,2006,50.6626,472.915,106.1563,259.7618,60.967,213.1532,45.1893
310000,上海市,2005,47.3949,465.8145,100.6191,256.7304,56.778,209.0841,43.8411
310000,上海市,2004,38.4927,404.861,82.5889,211.1202,45.3521,193.7408,37.2368
310000,上海市,2003,29.1711,318.084,62.3776,158.1492,33.4038,159.9348,28.9738
310000,上海市,2002,22.5,250.6,47.8,119.0,25.2,131.7,22.7
310000,上海市,2001,17.6,197.8872,36.7546,88.3453,18.2281,109.5419,18.5265
310000,上海市,2000,13.8,150.9218,28.2835,58.2301,11.8354,92.6917,16.4481
320000,江苏省,2019,311.9796,2332.2415,,1767.2732,,564.9683,
320000,江苏省,2018,286.7875,2534.4052,,1908.8664,,625.5388,
320000,江苏省,2017,258.5814,2460.6934,,1828.1078,,632.5856,
320000,江苏省,2016,222.9081,2312.2388,,1680.2218,,632.017,
320000,江苏省,2015,182.1504,2093.2991,,1459.3631,,633.936,
320000,江苏省,2014,157.403,1972.9315,269.3269,1303.0651,200.8911,669.8664,68.4358
320000,江苏省,2013,145.1,1918.8462,253.4072,1236.0974,183.4343,682.7488,69.9729
320000,江苏省,2012,131.2895,1662.4549,233.2249,1064.7291,168.3715,597.7258,64.8534
320000,江苏省,2011,119.788,1592.137,216.6603,1015.2731,155.1428,576.8639,61.5175
320000,江苏省,2010,104.8108,1528.6132,193.7603,958.8546,140.5532,569.7586,53.2071
320000,江苏省,2009,91.1554,1367.6648,167.1751,855.5118,120.5797,512.153,46.5954
320000,江苏省,2008,81.6376,1287.2488,165.6007,778.1889,111.9978,509.0599,53.6029
320000,江苏省,2007,67.5535,1066.1161,141.8308,619.6653,94.2975,446.4508,47.5333
320000,江苏省,2006,59.8779,917.9197,129.2852,514.5081,81.5609,403.4116,47.7243
320000,江苏省,2005,50.7378,797.1607,114.2527,397.1772,64.5624,399.9835,49.6903
320000,江苏省,2004,41.8012,562.0987,97.1585,300.906,51.4625,261.1927,45.696
320000,江苏省,2003,34.368,467.9897,81.4431,236.2698,39.4292,231.7199,42.0139
320000,江苏省,2002,28.6,363.7,68.1,146.1,30.9,217.6,37.2
320000,江苏省,2001,22.5,291.318,51.1061,139.5859,28.2397,151.7321,22.8664
320000,江苏省,2000,17.4,234.3429,39.8469,96.5717,19.3997,137.7712,20.4472
330000,浙江省,2019,234.9483,1811.2731,,1252.636,,558.6371,
330000,浙江省,2018,206.811,1746.9515,,1183.4579,,563.4936,
330000,浙江省,2017,180.0585,1859.8634,,1207.6755,,652.1879,
330000,浙江省,2016,152.1441,1765.4089,,1086.3269,,679.082,
330000,浙江省,2015,129.2107,1692.8046,,1028.4885,,664.3161,
330000,浙江省,2014,111.263,1345.4926,224.2469,811.0307,157.0812,534.4619,67.1657
330000,浙江省,2013,93.6,1222.5573,188.8119,671.586,128.4554,550.9713,60.3565
330000,浙江省,2012,77.529,986.9018,161.8556,561.9483,110.5804,424.9535,51.2752
330000,浙江省,2011,71.9499,958.0183,149.913,548.8338,101.2066,409.1845,48.7064
330000,浙江省,2010,63.8905,870.6045,132.5706,472.2872,86.5294,398.3173,46.0412
330000,浙江省,2009,56.6595,798.491,117.3618,431.2767,75.5792,367.2143,41.7826
330000,浙江省,2008,51.7852,757.4798,107.6273,406.3851,67.9558,351.0947,39.6715
330000,浙江省,2007,45.0304,759.0869,102.3445,387.0479,61.1299,372.039,41.2146
330000,浙江省,2006,40.6382,601.2507,92.6065,273.16657,46.73591,328.08413,45.87059
330000,浙江省,2005,35.9039,534.8221,81.9845,218.4639,41.007,316.3582,40.9775
330000,浙江省,2004,33.3164,517.3485,76.227,236.3566,43.3122,280.9919,32.9148
330000,浙江省,2003,30.2136,483.9964,69.6864,218.268,39.0426,265.7284,30.6438
330000,浙江省,2002,24.7,404.0,58.8,165.4,29.8,238.6,29.0
330000,浙江省,2001,20.9,347.1061,51.7857,133.4168,23.5468,213.6893,28.2389
330000,浙江省,2000,17.9,300.4728,45.0602,110.6039,21.6567,189.8689,23.4035
340000,安徽省,2019,134.5811,741.3152,,429.0358,,312.2794,
340000,安徽省,2018,112.8262,672.7114,,463.8063,,208.9051,
340000,安徽省,2017,91.5621,588.7534,,449.5617,,139.1917,
340000,安徽省,2016,73.3289,496.7119,,386.7098,,110.0021,
340000,安徽省,2015,57.4244,429.1251,,326.8689,,102.2562,
340000,安徽省,2014,45.2344,373.1555,92.9083,272.4092,72.464,100.7463,20.4443
340000,安徽省,2013,35.4,323.1604,75.7489,222.6542,55.5401,100.5062,20.2088
340000,安徽省,2012,30.4265,295.5214,66.2272,195.2596,45.7485,100.2618,20.4787
340000,安徽省,2011,26.3483,270.7088,58.1356,165.0453,36.5985,105.6635,21.5371
340000,安徽省,2010,22.867,239.2061,49.0754,133.2913,27.0648,105.9148,22.0106
340000,安徽省,2009,18.9525,197.0807,39.579,92.5024,18.1707,104.5783,21.4083
340000,安徽省,2008,17.4046,199.6617,37.6738,92.1748,16.9862,107.4869,20.6876
340000,安徽省,2007,14.4895,217.9457,36.3612,122.6942,22.2808,95.2515,14.0804
340000,安徽省,2006,13.0476,230.1402,31.43,86.1291,16.0332,144.0111,15.3968
340000,安徽省,2005,10.5998,165.6948,27.0425,86.4874,16.004,79.2074,11.0385
340000,安徽省,2004,8.901,141.3199,22.8734,82.4019,14.53,58.918,8.3434
340000,安徽省,2003,7.4815,118.7954,18.8233,70.7726,11.8506,48.0228,6.9727
340000,安徽省,2002,6.2,96.1,15.0,59.7,9.9,36.4,5.1
340000,安徽省,2001,5.6,78.5162,13.4603,46.509,8.8677,32.0072,4.5926
340000,安徽省,2000,4.7,65.1992,11.035,37.576,7.2252,27.6232,3.8098
350000,福建省,2019,128.9998,1059.2126,,777.0915,,282.1211,
350000,福建省,2018,114.1538,997.2478,,567.6938,,429.554,
350000,福建省,2017,97.1049,834.9661,,653.8373,,181.1288,
350000,福建省,2016,81.0231,713.5946,,564.9835,,148.6111,
350000,福建省,2015,64.5875,568.6721,,454.0322,,114.6399,
350000,福建省,2014,50.5977,476.61,100.3165,385.6547,84.7692,90.9553,15.5473
350000,福建省,2013,40.2,419.0787,82.129,344.0565,70.5606,75.0222,11.5684
350000,福建省,2012,34.7364,393.8577,79.6591,336.3296,70.0056,57.5281,9.6535
350000,福建省,2011,30.7383,354.8772,71.0391,298.6084,61.8642,56.2688,9.1749
350000,福建省,2010,26.6693,301.5087,61.0753,188.4325,32.5665,113.0762,28.5088
350000,福建省,2009,23.0577,267.866,53.0688,208.2668,43.2255,59.5992,9.84330000000001
350000,福建省,2008,20.4975,232.2267,41.5382,182.6636,34.1634,49.5631,7.3748
350000,福建省,2007,16.2247,202.56,35.2111,156.4606,28.835,46.0994,6.3761
350000,福建省,2006,14.5403,162.9624,32.733,124.2906,26.6067,38.6718,6.1263
350000,福建省,2005,12.7421,134.6968,26.8433,100.7507,21.7165,33.9461,5.1268
350000,福建省,2004,11.0185,111.3152,23.2424,75.4215,18.3353,35.8937,4.9071
350000,福建省,2003,8.751,106.2491,19.4021,75.4518,14.6078,30.7973,4.7943
350000,福建省,2002,6.6,84.9,15.2,60.7,11.5,24.2,3.8
350000,福建省,2001,5.5,76.8077,13.0302,51.2148,9.1566,25.5929,3.8736
350000,福建省,2000,4.9,67.9542,11.6024,44.4489,8.0413,23.5053,3.5611
360000,江西省,2019,75.775,621.697,,386.5978,,235.0992,
360000,江西省,2018,64.7583,571.4366,,340.6383,,230.7983,
360000,江西省,2017,54.4319,514.0936,,296.434,,217.6596,
360000,江西省,2016,47.9496,490.8521,,279.7194,,211.1327,
360000,江西省,2015,40.4342,459.0163,,261.5173,,197.499,
360000,江西省,2014,32.8941,398.5677,66.3549,218.0572,47.4818,180.5105,18.8731
360000,江西省,2013,26.3,330.7956,54.6139,164.8923,37.9119,165.9033,16.702
360000,江西省,2012,22.5897,329.7069,48.2534,140.7416,28.2743,188.9653,19.9791
360000,江西省,2011,19.4035,315.3863,42.858,138.0196,23.5534,177.3667,19.3046
360000,江西省,2010,16.9947,260.6913,38.7348,87.5299,13.7273,173.1614,25.0075
360000,江西省,2009,13.6628,228.0482,33.204,100.6541,20.9973,127.3941,12.2067
360000,江西省,2008,11.3168,209.6102,27.9473,115.9962,19.1357,93.614,8.8116
360000,江西省,2007,9.9231,172.1925,25.1033,114.1703,18.2676,58.0222,6.8357
360000,江西省,2006,8.4709,160.6206,22.3069,108.0592,16.3365,52.5614,5.9704
360000,江西省,2005,7.1129,134.2365,18.7223,89.0653,13.6103,45.1712,5.112
360000,江西省,2004,6.0855,114.1598,15.6612,75.8207,11.2852,38.3391,4.376
360000,江西省,2003,4.8995,93.2967,11.2735,42.6979,6.751,50.5988,4.5225
360000,江西省,2002,3.9,72.0,12.1,42.5,7.8,29.6,4.2
360000,江西省,2001,2.9,57.2163,9.2234,34.3931,6.0746,22.8232,3.1488
360000,江西省,2000,2.6,47.181,7.0327,27.093,4.7379,20.088,2.2948
370000,山东省,2019,290.3706,1905.857,,489.9564,,1415.9006,
370000,山东省,2018,245.1591,1699.0287,,503.1953,,1195.8334,
370000,山东省,2017,209.748,1499.5686,,494.0164,,1005.5522,
370000,山东省,2016,174.9493,1298.2383,,481.7491,,816.4892,
370000,山东省,2015,134.3366,1083.7357,,481.8665,,601.8692,
370000,山东省,2014,99.6556,926.118,187.4511,477.3218,127.685,448.7962,59.7661
370000,山东省,2013,75.3,792.5524,153.6878,428.4902,106.1462,364.0622,47.5416
370000,山东省,2012,66.0514,755.4068,139.9056,431.2326,97.9055,324.1742,42.0001
370000,山东省,2011,59.7546,701.7695,128.8757,410.9208,91.4488,290.8487,37.4269
370000,山东省,2010,53.0402,647.6782,117.1314,374.1223,82.0999,273.5559,35.0315
370000,山东省,2009,47.1213,573.0412,107.4159,311.0729,70.0819,261.9683,37.334
370000,山东省,2008,42.2085,500.5846,99.3133,304.7131,71.8067,195.8715,27.5066
370000,山东省,2007,37.1418,522.7471,100.9603,314.4514,71.4134,208.2957,29.5469
370000,山东省,2006,36.3057,507.6042,100.592,289.5484,65.6256,218.0558,34.9664
370000,山东省,2005,31.541,444.1338,92.2869,262.8775,62.477,181.2563,29.8099
370000,山东省,2004,27.6111,390.1525,78.2087,228.9334,52.9002,161.2191,25.3085
370000,山东省,2003,22.8554,366.4544,60.0713,203.0006,42.2178,163.4538,17.8535
370000,山东省,2002,17.6,253.3,45.0,152.2,32.2,101.1,12.8
370000,山东省,2001,14.5,212.1916,35.6604,117.8048,24.534,94.3868,11.1264
370000,山东省,2000,14.1,214.0586,34.7844,105.2855,21.6036,108.7731,13.1808
410000,河南省,2019,166.896,861.9737,,499.2983,,362.6754,
410000,河南省,2018,137.7333,757.6887,,531.0998,,226.5889,
410000,河南省,2017,112.3242,662.5582,,488.2376,,174.3206,
410000,河南省,2016,90.9259,529.4015,,356.7763,,172.6252,
410000,河南省,2015,70.5237,453.7415,,285.8752,,167.8663,
410000,河南省,2014,54.8099,391.8375,119.0049,224.5572,81.3912,167.2803,37.6137
410000,河南省,2013,40.1,329.4276,94.5076,168.5291,57.9609,160.8985,36.5467
410000,河南省,2012,39.3625,365.3666,92.8249,207.7933,61.3475,157.5733,31.4774
410000,河南省,2011,34.9532,353.5773,79.6653,196.0044,49.857,157.5729,29.8083
410000,河南省,2010,30.2174,315.1435,69.507,177.4499,43.4053,137.6936,26.1017
410000,河南省,2009,26.0613,267.8667,59.6222,160.7025,38.0011,107.1642,21.6211
410000,河南省,2008,22.6889,207.9543,53.3839,106.3103,30.4675,101.644,22.9164
410000,河南省,2007,17.9873,182.0248,46.9265,88.4976,24.5367,93.5272,22.3898
410000,河南省,2006,15.5908,174.2619,40.5696,87.6615,23.1237,86.6004,17.4459
410000,河南省,2005,13.3535,138.5905,33.64,72.9091,20.2796,65.6814,13.3604
410000,河南省,2004,10.7616,119.5017,29.0009,56.8876,14.918,62.6141,14.0829
410000,河南省,2003,8.13,80.454,19.0686,40.981,11.7173,39.473,7.3513
410000,河南省,2002,6.6,65.3,17.0,34.7,12.0,30.6,5.0
410000,河南省,2001,5.5,56.1662,14.3211,27.867,10.0783,28.2992,4.2428
410000,河南省,2000,4.8,56.973,12.6425,27.9025,8.7108,29.0705,3.9317
420000,湖北省,2019,121.7946,801.3923,,403.253,,398.1393,
420000,湖北省,2018,108.4006,761.8804,,361.6608,,400.2196,
420000,湖北省,2017,92.4699,707.7664,,345.8851,,361.8813,
420000,湖北省,2016,81.1747,620.7583,,313.147,,307.6113,
420000,湖北省,2015,70.4127,569.7449,,313.3029,,256.442,
420000,湖北省,2014,58.2974,498.157,118.0225,292.9634,83.8554,205.1936,34.1671
420000,湖北省,2013,46.3,409.5256,95.5893,206.0631,69.5404,203.4625,26.0489
420000,湖北省,2012,34.5849,338.6809,78.7221,246.7018,62.5275,91.9791,16.1946
