省份编码,省份,年份,城镇单位就业人员平均工资(元),城镇单位在岗职工平均工资(元),城镇国有单位就业人员平均工资(元),城镇集体单位就业人员平均工资(元),城镇其他单位就业人员平均工资(元),城镇单位就业人员平均货币工资指数(上年=100),城镇单位在岗职工平均货币工资指数(上年=100),国有城镇单位就业人员平均货币工资指数(上年=100),城镇集体单位就业人员平均货币工资指数(上年=100),其他城镇单位就业人员平均货币工资指数(上年=100),城镇单位就业人员平均实际工资指数(上年=100),城镇单位在岗职工平均实际工资指数(上年=100),国有城镇单位就业人员平均实际工资指数(上年=100),城镇集体单位就业人员平均实际工资指数(上年=100),其他城镇单位就业人员平均实际工资指数(上年=100)
150000,内蒙古自治区,2011,41118,41481,43788,37382,36317,116.776007497657,116.824851437745,117.535901221313,127.640249940247,116.121502797762,110.898392685334,110.94477819349,111.620039146546,121.215811909066,110.276830767105
150000,内蒙古自治区,2010,35211,35507,37255,29287,31275,115.5,115.7,116.0,121.3,113.3,112.2,112.4,112.7,117.8,110.0
150000,内蒙古自治区,2009,30486,30699,32108,24145,27597,117.5,117.6,118.3,130.3,113.0,117.895066367397,118.0,118.697756180962,130.738103384441,113.379936166093
150000,内蒙古自治区,2008,25949,26114,27130,18526,24417,119.1,119.3,119.5,129.8,116.6,,113.231182292048,,,
150000,内蒙古自治区,2007,21794,21884,22711,14278,20936,118.6,118.5,117.8,115.1,120.6,,113.397129186603,,,
150000,内蒙古自治区,2006,18382,18469,19275,12404,17360,115.537397862979,115.539568345324,116.719147390093,115.7413455258,112.209941180273,,113.832087039728,,,
150000,内蒙古自治区,2005,,15985,,,,,120.0,,,,,117.647058823529,,,
150000,内蒙古自治区,2004,,13324,,,,,118.1,,,,,114.32720232333,,,
150000,内蒙古自治区,2003,,11279,,,,,116.5,,,,,115.460852329039,,,
150000,内蒙古自治区,2002,,9683,,,,,117.4,,,,,118.6,,,
150000,内蒙古自治区,2001,,8250,,,,,118.3,,,,,117.477656405164,,,
150000,内蒙古自治区,2000,,6974,,,,,109.9,,,,,109.027777777778,,,
210000,辽宁省,2019,72891,75264,72055,42722,74611,108.268967975759,108.93144023273,106.88115580871,102.66503256194,108.795695475291,105.32000775852,105.964436024056,103.96999592287,99.8687087178402,105.832388594641
210000,辽宁省,2018,67324,69093,67416,41613,68579,110.1,110.5,108.7,108.4,110.7,107.835455435847,108.22722820764,106.464250734574,106.17042115573,108.423114593536
210000,辽宁省,2017,61153,62545,61998,38397,61956,109.172543068821,109.443900048996,108.29912484497,102.310151878497,109.693525256281,107.347633302675,107.614454325463,106.488814990138,100.599952682888,107.859906840001
210000,辽宁省,2016,56015,57148,57247,37530,56481,107.037758923794,106.902615137117,106.686669524218,108.177442135301,106.951334974437,104.836198750043,104.703834610301,104.492330581996,105.952440876886,104.751552374571
210000,辽宁省,2015,52332,53458,53659,34693,52810,108.595144220793,108.853593972714,112.332523865349,105.485116604336,105.482872266054,106.990289872702,107.244920170162,110.672437305763,103.926223255503,103.924012084782
210000,辽宁省,2014,48190,49110,47768,32889,50065,105.9,106.0,104.0,103.5,107.5,103.722282566058,103.819784524976,101.84932168113,101.332337376757,105.275579778997
210000,辽宁省,2013,45505,46310,45936,31789,46578,108.7,109.0,106.4,112.8,110.4,105.945419103314,106.237816764133,103.703703703704,109.941520467836,107.602339181287
210000,辽宁省,2012,41858,42503,43177,28183,42200,109.7,109.8,108.2,118.2,110.7,106.577538201213,106.674691836766,105.120233667924,114.835597223185,107.549074556739
210000,辽宁省,2011,38154,38713,39910,23845,38116,110.793623137904,110.428730353424,112.352908056979,119.800040192926,108.311784263022,105.217115990412,104.870589129558,106.697918382696,113.770218606767,102.860193981977
210000,辽宁省,2010,34437,35057,35522,19904,35191,112.8,112.7,111.4,118.0,113.9,109.7,109.6,108.4,114.8,110.8
210000,辽宁省,2009,30523,31104,31878,16870,30885,112.3,112.2,110.6,111.8,115.6,112.298540118978,112.2,110.598562218691,111.798546618894,115.598497219536
210000,辽宁省,2008,27179,27729,28834,15093,26726,118.8,119.5,118.8,124.6,117.5,,114.493442208453,,,
210000,辽宁省,2007,22882,23202,24281,12117,22742,118.2,118.2,119.6,112.3,115.4,,113.11004784689,,,
210000,辽宁省,2006,19365,19624,20305,10793,19703,112.875961762649,113.230627199815,112.536717840714,117.66052545514,111.993406468482,,111.557268177158,,,
210000,辽宁省,2005,,17331,,,,,116.1,,,,,115.178571428571,,,
210000,辽宁省,2004,,14921,,,,,114.7,,,,,111.035818005808,,,
210000,辽宁省,2003,,13008,,,,,111.6,,,,,110.604558969277,,,
210000,辽宁省,2002,,11659,,,,,114.9,,,,,116.1,,,
210000,辽宁省,2001,,10145,,,,,115.1,,,,,114.299900695134,,,
210000,辽宁省,2000,,8811,,,,,111.6,,,,,110.714285714286,,,
220000,吉林省,2019,73813,76401,75317,59828,72694,107.704317628004,108.664609082763,106.835654912196,106.044170300259,108.621720160182,104.770736992222,105.704872648602,103.925734350385,103.155807685077,105.663151906792
220000,吉林省,2018,68533,70309,70498,56418,66924,111.5,111.8,103.5,109.6,122.9,109.20666013712,109.500489715965,101.371204701273,107.345739471107,120.372184133203
220000,吉林省,2017,61451,62908,68132,51487,54475,109.542229669507,109.431861670668,109.87791700937,116.946804161177,108.057445500169,107.711140284668,107.602617178631,108.04121633173,114.991941161433,106.25117551639
220000,吉林省,2016,56098,57486,62007,44026,50413,108.805616975057,108.61375101555,110.663549400343,107.498473934806,106.32065125696,106.56769537224,106.379775725318,108.387413712383,105.28743774222,104.13384060427
220000,吉林省,2015,51558,52927,56032,40955,47416,110.839281107576,110.997630182665,113.731300870765,109.649005381382,107.587583953531,109.201262174952,109.357271115926,112.050542729818,108.028576730426,105.997619658651
220000,吉林省,2014,46516,47683,49267,37351,44072,108.6,108.8,108.0,108.0,109.4,106.33257627721,106.562193927522,105.777703690946,105.822279427368,107.139725473659
220000,吉林省,2013,42846,43821,45618,34570,40289,111.6,112.1,116.0,117.2,106.8,108.771929824561,109.259259259259,113.060428849903,114.230019493177,104.093567251462
220000,吉林省,2012,38407,39092,39335,29506,37717,114.3,114.3,114.9,116.8,113.0,111.50040485158,111.50040485158,112.085708814056,113.939171361895,110.232246266217
220000,吉林省,2011,33610,34197,34230,25252,33366,115.884563665828,116.320283002823,113.788976796756,149.623748296498,115.557248735887,110.051817346465,110.46560589062,108.061706359692,142.092828391736,109.740976957158
220000,吉林省,2010,29003,29399,30082,16877,28874,111.8,112.1,111.1,117.7,112.1,108.1,108.4,107.4,113.8,108.4
220000,吉林省,2009,25943,26230,27070,14335,25756,111.4,111.7,110.6,113.1,112.9,111.489637668686,111.8,110.688993951137,113.191005568477,112.99084463909
220000,吉林省,2008,23294,23486,24481,12675,22804,114.3,114.5,113.9,114.3,114.9,,108.980570049284,,,
220000,吉林省,2007,20371,20513,21502,11087,19854,124.3,123.7,126.6,121.8,115.8,,118.373205741627,,,
220000,吉林省,2006,16393,16583,16983,9106,17138,113.998609179416,115.087792352002,117.180707927965,104.618566176471,107.280125195618,,113.386987538918,,,
220000,吉林省,2005,,14409,,,,,115.9,,,,,114.299802761341,,,
220000,吉林省,2004,,12431,,,,,112.2,,,,,108.615682478219,,,
220000,吉林省,2003,,11081,,,,,110.9,,,,,109.910802775025,,,
220000,吉林省,2002,,9990,,,,,113.9,,,,,115.1,,,
220000,吉林省,2001,,8771,,,,,110.7,,,,,109.930486593843,,,
220000,吉林省,2000,,7924,,,,,110.7,,,,,109.821428571429,,,
230000,黑龙江省,2019,68416,72603,64184,63906,72922,112.563343205002,111.018854075875,107.482081854109,123.280219144257,115.142424051033,109.497415569068,107.994994237233,104.554554332791,119.922392163674,112.00624907688
230000,黑龙江省,2018,60780,65397,59716,51838,63332,108.4,109.0,107.0,113.1,110.5,106.17042115573,106.758080313418,104.799216454456,110.77375122429,108.22722820764
230000,黑龙江省,2017,56067,59995,55789,45814,57290,106.926671116621,108.492016130491,105.567014210835,110.082175981546,108.872883449573,105.139302966195,106.678481937552,103.802373855295,108.242060945473,107.052982742943
230000,黑龙江省,2016,52435,55299,52847,41618,52621,107.270718684151,107.919439511329,107.179507980611,106.540716278832,107.254086665851,105.064366977621,105.699744869078,104.975032302264,104.349379313253,105.048077047847
230000,黑龙江省,2015,48881,51241,49307,39063,49062,111.00236170406,111.306368928665,115.219423283638,103.505564387917,104.887121600821,109.36193271336,109.661447220359,113.51667318585,101.975925505337,103.337065616572
230000,黑龙江省,2014,44036,46036,42794,37740,46776,107.9,107.7,109.5,105.4,105.4,105.726980552584,105.484818805093,107.273264716947,103.195960296516,103.228651750521
230000,黑龙江省,2013,40794,42744,39072,35819,44381,112.1,110.7,106.1,124.5,122.0,109.259259259259,107.894736842105,103.411306042885,121.345029239766,118.908382066277
230000,黑龙江省,2012,36406,38598,36814,28762,36378,116.3,115.2,116.2,116.4,116.6,112.607012268903,111.541941645551,112.51018766678,112.703836871026,112.897486075272
230000,黑龙江省,2011,31302,33503,31693,24712,31200,112.861005949162,113.174340438469,111.701265287421,126.107368850786,113.582584003786,107.18044249683,107.478006114406,106.079074347029,119.760084378714,107.865701807964
230000,黑龙江省,2010,27735,29603,28373,19596,27469,111.8,111.6,110.7,121.0,111.5,108.0,107.8,106.9,116.8,107.7
230000,黑龙江省,2009,24805,26535,25635,16190,24631,114.0,115.1,119.0,123.7,101.0,114.216440154092,115.3,119.225933143307,123.934856553168,101.191758382134
230000,黑龙江省,2008,21764,23046,21549,13088,24391,117.8,118.9,117.2,121.3,119.6,,113.275314269927,,,
230000,黑龙江省,2007,18481,19386,18392,10791,20386,116.3,117.5,118.2,117.4,111.2,,112.44019138756,,,
230000,黑龙江省,2006,15894,16505,15555,9194,18331,113.690987124464,114.158251487066,112.750072484778,118.846949327818,113.287188678079,,112.4711837311,,,
230000,黑龙江省,2005,,14458,,,,,115.1,,,,,114.186507936508,,,
230000,黑龙江省,2004,,12557,,,,,113.8,,,,,110.164569215876,,,
230000,黑龙江省,2003,,11038,,,,,111.2,,,,,110.208126858276,,,
230000,黑龙江省,2002,,9926,,,,,111.4,,,,,112.5,,,
230000,黑龙江省,2001,,8910,,,,,113.7,,,,,112.909632571996,,,
230000,黑龙江省,2000,,7835,,,,,110.4,,,,,109.52380952381,,,
310000,上海市,2019,149377,151772,169957,82514,147374,106.393874643875,106.146884594672,131.455112190519,99.2530221928189,102.672463041146,103.49598700766,103.255724313883,127.874622753423,96.5496324832869,99.8759368104532
310000,上海市,2018,140400,142983,129289,83135,143538,108.2,109.3,104.8,111.3,108.5,105.974534769834,107.051909892263,102.644466209598,109.010773751224,106.268364348678
310000,上海市,2017,129795,130765,123411,74669,132255,108.22111977321,108.51597055675,108.856840433977,110.817750074206,107.926262016288,106.412113837965,106.702035945673,107.037207899683,108.965339306004,106.12218487344
310000,上海市,2016,119935,120503,113370,67380,122542,109.856742447836,110.270957823553,107.416952492846,106.845535416964,110.333588439202,107.59720122217,108.002896986829,105.207593039027,104.647928909857,108.06423941156
310000,上海市,2015,109174,109279,105542,63063,111065,108.900659345044,108.602407004363,103.192311076782,105.090987868284,110.069967493856,107.291289995117,106.997445324495,101.667301553479,103.537919082053,108.443317727936
310000,上海市,2014,100251,100623,102277,60008,100904,110.3,110.0,107.0,108.9,111.2,108.009229509383,107.737512242899,104.81345092392,106.671297005862,108.922442123969
310000,上海市,2013,90908,91477,95573,55098,90733,115.6,114.1,106.5,104.4,120.1,112.670565302144,111.208576998051,103.801169590643,101.754385964912,117.056530214425
310000,上海市,2012,78673,80191,89739,52786,75568,104.1,104.1,107.4,102.7,103.6,101.230699244024,101.230699244024,104.439741583172,99.8692873425677,100.74448070779
310000,上海市,2011,75591,77031.27,83519,51422,72935,114.332602283899,107.17505634861,116.184183070182,125.096093027782,114.778735993957,108.577969880246,101.780680293077,110.336356192005,118.799708478425,109.001648617243
310000,上海市,2010,66115,71874,71885,41106,63544,113.3,113.1,111.2,112.1,114.6,109.9,109.7,107.9,108.7,111.1
310000,上海市,2009,58336,63549,64639,36663,55433,111.9,112.3,113.4,120.0,110.3,112.358309544633,112.8,113.864453104212,120.491484766362,110.751756414414
310000,上海市,2008,52122,56565,57025,30562,50263,115.9,114.7,113.3,109.3,118.4,,108.429961571174,,,
310000,上海市,2007,44976,49310,50311,27949,42463,119.7,119.7,125.3,121.7,115.7,,114.545454545455,,,
310000,上海市,2006,37585,41188,40141,22959,36707,119.022737348787,119.924297568787,120.670374267248,113.467431056637,117.752542264139,,118.15201730915,,,
310000,上海市,2005,,34345,,,,,114.2,,,,,113.069306930693,,,
310000,上海市,2004,,30085,,,,,110.2,,,,,106.679574056147,,,
310000,上海市,2003,,27304,,,,,114.0,,,,,112.983151635282,,,
310000,上海市,2002,,23959,,,,,110.0,,,,,111.1,,,
310000,上海市,2001,,21781,,,,,117.5,,,,,116.683217477656,,,
310000,上海市,2000,,18531,,,,,111.4,,,,,110.515873015873,,,
320000,江苏省,2019,96527,98669,131956,91139,87635,113.97954846023,113.949647765331,115.500625837002,111.233294684811,111.989316703513,110.875047140302,110.845960861217,112.354694393971,108.203594051373,108.939024030655
320000,江苏省,2018,84688,86590,114247,81935,78253,108.2,108.6,111.6,114.7,107.8,105.974534769834,106.366307541626,109.304603330069,112.340842311459,105.582761998041
320000,江苏省,2017,78267,79741,102328,71426,72609,109.35116103613,109.709151945408,114.6892022147,113.060546102097,107.699724109288,107.523265522252,107.875272316035,112.772076907277,111.170645134806,105.89943373578
320000,江苏省,2016,71574,72684,89222,63175,67418,108.124357967249,108.160714285714,112.009139298986,109.758851940651,106.692620551045,105.900448547746,105.93605708689,109.705327423101,107.50132413384,104.498159207684
320000,江苏省,2015,66196,67200,79656,57558,63189,108.755154681519,108.767784018257,110.235261555494,108.350589209744,108.267082448084,107.147935646816,107.160378343111,108.606169020191,106.749348975117,106.667076303531
320000,江苏省,2014,60867,61783,72260,53122,58364,106.5,106.6,106.5,105.1,106.7,104.264097892009,104.407443682664,104.346049043567,102.906216293284,104.520972613818
320000,江苏省,2013,57177,57984,67826,50560,54691,112.9,113.1,110.8,119.3,121.6,110.038986354776,110.233918128655,107.992202729045,116.276803118908,118.518518518519
320000,江苏省,2012,50639,51279,61221,42368,44978,111.3,111.5,110.3,117.4,112.1,108.523167806385,108.718177991123,107.548116882698,114.470978440877,109.303208545335
320000,江苏省,2011,45487,45987,55522,36085,40126,114.369405611988,113.534131588693,112.045688454786,119.238013415722,117.077582937006,108.612920809106,107.819688118417,106.40616187539,113.236479976944,111.184789113966
320000,江苏省,2010,39772,40505,49553,30263,34273,112.9,112.9,112.6,116.6,114.7,109.0,109.0,108.7,112.5,110.7
320000,江苏省,2009,35217,35890,44013,25955,29883,112.5,113.3,115.0,116.1,109.7,112.962808626945,113.8,115.473093263099,116.577618503007,110.151289834452
320000,江苏省,2008,31297,31667,38278,22357,27249,115.0,115.7,116.9,120.9,113.7,,109.942414690815,,,
