年份,电视节目出口量,向欧洲出口电视节目量,向非洲出口电视节目量,向美洲出口电视节目量,向美国出口电视节目量,向亚洲出口电视节目量,向日本出口电视节目量,向韩国出口电视节目量,向东南亚出口电视节目量,向中国香港出口电视节目量,向中国台湾出口电视节目量,向大洋洲出口电视节目量,电视剧出口量(部),向欧洲出口电视剧量(部),向非洲出口电视剧量(部),向美洲出口电视剧量(部),向美国出口电视剧量(部),向亚洲出口电视剧量(部),向日本出口电视剧量(部),向韩国出口电视剧量(部),向东南亚出口电视剧量(部),向中国香港出口电视剧量(部),向中国台湾出口电视剧量(部),向大洋洲出口电视剧量(部),电视剧出口量(集),向欧洲出口电视剧量(集),向非洲出口电视剧量(集),向美洲出口电视剧量(集),向美国出口电视剧量(集),向亚洲出口电视剧量(集),向日本出口电视剧量(集),向韩国出口电视剧量(集),向东南亚出口电视剧量(集),向中国香港出口电视剧量(集),向中国台湾出口电视剧量(集),向大洋洲出口电视剧量(集),动画电视出口量,向欧洲出口动画电视量,向非洲出口动画电视量,向美洲出口动画电视量,向美国出口动画电视量,向亚洲出口动画电视量,向日本出口动画电视量,向韩国出口动画电视量,向东南亚出口动画电视量,向中国香港出口动画电视量,向中国台湾出口动画电视量,向大洋洲出口动画电视量,纪录片出口量,向欧洲出口纪录片量,向非洲出口纪录片量,向美洲出口纪录片量,向美国出口纪录片量,向亚洲出口纪录片量,向日本出口纪录片量,向韩国出口纪录片量,向东南亚出口纪录片量,向中国香港出口纪录片量,向中国台湾出口纪录片量,向大洋洲出口纪录片量
2009,10238.0,278.0,48.0,,1372.0,,367.0,525.0,,,,,128.0,7.0,4.0,,18.0,,12.0,10.0,,,,,5825.0,168.0,37.0,,805.0,,384.0,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,10300.0,346.0,500.0,,1464.0,,846.0,410.0,,,,,149.0,11.0,13.0,,12.0,,19.0,9.0,,,,,6662.0,239.0,542.0,,898.0,,801.0,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
