年份,谷物及谷物粉进口金额,小麦进口金额,稻谷和大米进口金额,大豆进口金额,食用植物油进口金额,食糖进口金额,天然橡胶进口金额,合成橡胶进口金额,原木进口金额,锯材进口金额,纸浆进口金额,羊毛及毛条进口金额,棉花进口金额,纺织用合成纤维进口金额,聚酯纤维进口金额,聚丙烯腈纤维进口金额,铁矿砂及其精矿进口金额,锰矿砂及其精矿进口金额,铜矿砂及其精矿进口金额,铬矿砂及其精矿进口金额,氧化铝进口金额,煤进口金额,原油进口金额,成品油进口金额,乙二醇进口金额,对苯二甲酸进口金额,己内酰胺进口金额,医药品进口金额,肥料进口金额,尿素进口金额,氮、磷、钾复合肥进口金额,磷酸氢二胺进口金额,氯化钾进口金额,原形聚乙烯进口金额,原形聚丙烯进口金额,原形聚苯乙烯进口金额,ABS树脂进口金额,原形聚氯乙烯进口金额,聚酯切片进口金额,农药进口金额,纸及纸板进口金额,钢材进口金额,未锻造的铜及铜合金进口金额,铜材进口金额,未锻造的铝及铝合金进口金额,铝材进口金额,锅炉进口金额,制冷设备用压缩机进口金额,金属加工机床进口金额,阀门进口金额,自动数据处理设备及其部件进口金额,电话机进口金额,收音设备(包括收录音组合机及整套散件)进口金额,电视机进口金额,电视显像管进口金额,汽车进口金额,小轿车进口金额,货车进口金额,自卸车进口金额,装有引擎的汽车底盘进口金额,汽车零件进口金额,飞机进口金额,船舶进口金额,医疗仪器及器械进口金额,机电产品进口金额,高新技术产品进口金额
2009,898.07,211.17,215.58,18787.28,5895.19,378.4,2813.71,3000.42,4086.52,2319.27,6843.7,1540.48,2114.64,699.56,202.98,378.35,50140.4,1772.83,8478.68,1310.7,1303.85,10573.67,89255.59,16983.96,3515.45,5008.98,978.38,6705.52,2008.32,7.7,526.87,168.04,1177.91,5827.79,4558.45,5409.7,3395.77,1598.02,276.1,334.29,3145.78,19479.77,17125.93,5499.31,2742.58,2602.59,116.5,841.56,5896.98,4392.18,23773.87,1820.86,179.22,24.91,108.21,15356.16,6566.1,512.06,186.96,46.48,12821.87,9289.56,1001.54,3594.27,491419.81,309843.0
2008,731.789,14.798,208.407,21812.654,8977.344,318.501,4301.821,3340.311,5183.623,2024.164,6705.563,1801.932,3492.381,746.153,232.058,372.905,60531.628,3469.752,10440.152,2714.382,1775.694,3509.106,129334.996,30044.32,5278.062,5325.74,1084.227,5516.821,3481.211,0.097,402.556,126.104,2831.054,4663.084,4012.126,5899.708,3628.292,1256.51,2230.884,295.383,3524.582,23432.531,11660.119,7567.25,564.138,3188.836,92.053,957.931,7587.415,4361.612,25401.729,1903.951,254.516,85.337,226.54,15125.288,6355.66,553.615,172.525,47.347,11086.889,8765.23,1137.225,2879.193,538655.857,341940.91
2007,533.944,28.711,228.043,11472.172,6236.061,379.599,3257.413,2843.06,5350.61,1766.271,5549.027,1905.071,3479.163,1046.769,292.734,633.552,33795.57,1302.356,8816.441,1549.656,1973.987,2421.605,79770.911,16436.753,4847.738,6141.966,1100.999,3889.087,2906.272,0.27,385.283,149.97,2287.243,3863.072,3862.929,5909.589,3617.497,1277.539,366.918,231.442,3479.885,20552.611,11929.129,7738.033,629.931,3184.735,107.886,887.439,7072.196,3184.091,22396.525,1901.063,382.992,137.995,325.209,10895.36,5009.727,440.786,376.392,30.551,10642.485,9265.439,885.897,2430.803,498984.205,286985.667
2006,838.652,119.31,293.681,7488.868,3150.919,548.672,3029.317,2371.756,3929.334,1688.757,4392.269,1359.678,4868.408,1124.733,341.047,687.387,20913.154,645.635,6113.902,739.268,3023.535,1617.785,66411.903,15548.76,3428.858,6152.202,884.74,2719.727,2484.398,5.978,478.105,396.93,1455.45,3998.37,3316.014,4807.56,2893.62,1272.24,234.865,212.81,3367.21,19826.602,6051.3,6360.823,998.96,2782.15,106.589,928.184,7239.131,2926.519,19924.551,74.96,604.372,76.113,650.056,7517.766,3998.436,282.117,52.902,8.155,9034.409,9801.575,465.286,2065.226,427653.229,247298.33
2005,1408.87,772.87,199.45,7778.32,2815.08,383.27,1854.53,1798.18,3243.54,1507.85,3725.46,1317.97,3196.79,1382.77,423.28,878.81,18379.48,683.18,3720.78,595.38,2594.74,1383.45,47722.93,10434.65,3528.38,5214.96,1072.67,2312.51,3051.43,12.72,528.96,497.38,1824.14,3717.69,3015.51,4386.9,2578.62,1415.67,143.82,182.22,3544.89,24607.75,4950.32,4378.2,1018.49,2251.02,74.21,1011.81,6479.45,2382.87,18022.98,117.52,162.07,124.4,657.99,5113.69,2594.23,152.12,45.01,13.98,6723.28,5716.2,412.72,2217.22,350218.48,197660.42
2004,2228.88,1649.61,253.45,6979.17,3665.35,275.58,1524.27,1414.23,2804.32,1382.56,3567.72,1207.15,3176.24,1377.6,532.21,776.81,12699.13,585.58,2238.04,381.34,2043.6,891.81,33911.68,9239.3,3047.85,4172.67,722.15,1902.59,2287.69,5.49,411.43,575.65,1158.6,3330.21,2563.74,4033.29,2271.08,1705.41,180.67,146.8,3848.52,20784.71,3812.21,3907.2,1571.1,1943.75,75.14,1088.23,5915.46,1963.75,14456.09,49.45,78.22,148.08,996.76,5333.62,3269.45,392.62,11.67,15.86,7325.79,4231.26,670.18,1951.64,302045.64,161414.39
2003,454.89,85.52,97.18,5416.86,2578.69,174.11,1154.95,1152.48,2447.15,1190.44,2660.62,913.354,1168.85,1240.38,517.82,666.41,4856.21,204.15,1291.28,150.83,1375.76,363.4,19782.4,5863.49,1586.35,2566.08,430.6,1706.67,1763.1,15.42,380.7,503.9,739.43,2398.61,2023.34,3432.55,1881.73,1500.64,137.64,133.99,3727.46,19916.34,2818.86,2782.75,1227.1,1490.69,50.49,870.77,4129.22,1233.19,11411.21,74.54,76.82,85.51,1087.27,5209.84,3082.49,417.03,9.18,31.04,6235.64,3500.64,285.68,1653.65,224936.95,
2002,493.501,112.713,80.31,2482.838,1309.648,238.458,694.285,939.475,2138.26,1159.097,2167.674,1037.772,186.436,1062.855,465.846,554.187,2769.066,151.438,809.448,78.909,752.952,328.46,12757.314,3798.258,886.202,2099.433,312.848,1434.746,2353.471,91.825,452.84,859.46,768.327,2697.858,1635.289,3208.095,1676.747,1335.694,114.747,136.088,3539.585,12365.554,2154.181,2282.389,782.634,1272.129,42.296,661.552,3150.004,806.74,6733.327,43.573,33.78,36.988,771.658,3174.493,1613.549,259.699,24.42,9.306,2995.705,2842.305,363.552,1214.571,155562.991,
2001,634.26,121.36,98.85,2809.52,477.56,313.28,591.95,794.25,1693.98,986.69,2076.12,1049.17,71.04,962.95,430.91,495.25,2502.75,131.07,898.0,80.98,624.89,87.5,11666.45,3769.4,728.61,1390.56,309.05,1217.53,1556.36,0.02,905.41,,603.63,2655.75,1361.39,1393.79,1456.06,1460.04,86.1,165.03,3057.31,8963.59,1575.59,1931.31,735.21,1118.52,95.44,556.32,2405.74,580.14,4981.5,102.45,22.35,40.31,576.2,1748.1,947.3,120.47,59.54,21.94,2527.74,3656.37,488.34,1350.35,120523.51,
2000,593.75,147.37,112.71,,627.14,115.33,583.74,721.84,1655.64,978.52,2120.97,1037.31,74.11,1097.35,,,1857.7,95.4,805.78,96.83,638.46,68.6,14860.66,3657.06,582.7,1225.17,338.4,952.53,1730.06,,976.01,,715.72,2133.65,1144.16,1442.53,1527.5,1352.8,246.1,192.23,3295.53,8535.89,1501.37,1996.89,1325.44,1219.33,63.53,455.58,1890.27,450.72,4516.45,138.64,38.87,60.54,847.12,1193.11,483.1,97.46,13.73,15.0,2112.81,1629.53,128.31,921.71,102871.5,
