年份,资本和金融项目差额(贷-借),资本项目差额(贷-借),金融项目差额(贷-借),金融项目中直接投资差额(贷-借),金融项目中我国在外直接投资差额(贷-借),金融项目中外国在华直接投资差额(贷-借),金融项目中证券投资差额(贷-借),金融项目中证券投资的资产差额(贷-借),金融项目中股本证券投资的资产差额(贷-借),金融项目中债务证券投资的资产差额(贷-借),金融项目中(中)长期债券的债务证券投资资产差额(贷-借),金融项目中货币市场工具的债务证券投资资产差额(贷-借),金融项目中证券投资的负债差额(贷-借),金融项目中股本证券投资的负债差额(贷-借),金融项目中债务证券投资的负债差额(贷-借),金融项目中(中)长期债券的债务证券投资的负债差额(贷-借),金融项目中货币市场工具的债务证券投资的负债差额(贷-借),金融项目中其它投资差额(贷-借),金融项目中其它投资的资产差额(贷-借),金融项目中其它投资的贸易信贷资产差额(贷-借),金融项目中其它投资的长期贸易信贷资产差额(贷-借),金融项目中其它投资的短期贸易信贷资产差额(贷-借),金融项目中其它投资的贷款资产差额(贷-借),金融项目中其它投资的长期贷款资产差额(贷-借),金融项目中其它投资的短期贷款资产差额(贷-借),金融项目中其它投资的货币和存款资产差额(贷-借),金融项目中其它投资的其它资产差额(贷-借),金融项目中其它投资的长期其它资产差额(贷-借),金融项目中其它投资的短期其它资产差额(贷-借),金融项目中其它投资的负债差额(贷-借),金融项目中其它投资的贸易信贷负债差额(贷-借),金融项目中其它投资的长期贸易信贷负债差额(贷-借),金融项目中其它投资的短期贸易信贷负债差额(贷-借),金融项目中其它投资的贷款负债差额(贷-借),金融项目中其它投资的长期贷款负债差额(贷-借),金融项目中其它投资的短期贷款负债差额(贷-借),金融项目中其它投资的货币和存款负债差额(贷-借),金融项目中其它投资的其它负债差额(贷-借),金融项目中其它投资的长期其它负债差额(贷-借),金融项目中其它投资的短期其它负债差额(贷-借)
2009,19847012.4094215,393930.039756,19453082.3696655,8716706.73695,-4388998.55,13105705.28695,2708736.37980013,-252569.852374999,-4064690.637925,3812120.78555,3472288.49534,339832.29021,2961306.23217513,2911666.90217513,49639.3300000001,49659.4,-20.07,8027639.25291538,1841440.97656356,-3427060.89723569,-239894.262806499,-3187166.63442919,309544.012943999,-4129295.296065,4438839.309009,203481.156680748,4755476.7041745,0.0,4755476.7041745,6186198.27635182,3208239.18391943,224576.74287436,2983662.44104507,706618.130000001,-968754.19,1675372.32,1157548.1227032,1113792.8397292,1102881.0997292,10911.74
2008,4012619.90823782,305144.8,3707475.14051862,11479237.3681871,-5674227.66296974,17153465.0311569,3485239.5243912,2519796.28529438,-218131.8,2737928.08529438,3996808.00713138,-1258879.921837,965443.239096817,846402.799096817,119040.44,118911.6,128.84,-11257001.7520597,-9757755.31050873,586695.302234496,41068.6711564147,545626.631078081,-1850112.26868157,-656900.0,-1193212.26868157,-2398743.88414826,-6095594.45991339,0.0,-6095594.45991339,-1499246.44155099,-1904907.12986228,-133343.49909036,-1771563.63077192,362097.790000004,672407.7,-310309.909999996,270229.69478704,-226666.796475761,-223617.966475761,-3048.82999999998
2007,9423153.49512179,309907.5,9113246.00110547,13909453.5501613,-1715479.97015885,15624933.5203202,1644297.36996943,-452154.346532489,-1518860.0,1066705.65346751,839305.653467511,227400.0,2096451.71650192,1847812.04650192,248639.67,248639.67,0.0,-6440504.91902524,-15476919.4250927,-2380000.0,-166600.0,-2213400.0,-2082298.16499867,-411900.0,-1670398.16499867,-626475.895112162,-10388145.3649818,0.0,-10388145.3649818,9036414.50606742,2910000,203700.0,2706300.0,1729602.80000001,698811.02,1030791.78000001,4083034.77311841,313776.932949,68604.4329490003,245172.499999999
2006,4930536.88513262,402011.5,4528525.41855941,10014983.7150968,-2393219.84675382,12408203.5618506,-6841651.50860359,-11127771.5086036,-145400.0,-10982371.5086036,-10632241.5086036,-350130.000000001,4286120.0,4286120.0,0.0,0.0,0.0,1355193.21206625,-3194002.97166279,-2614845.0408605,-169693.80163442,-2445151.23922608,431944.328201088,-294700.0,726644.328201087,-1248828.81015269,237726.551149309,0.0,237726.551149309,4549196.18372903,1322704.69252431,83404.4158561184,1239300.2766682,1054885.98667209,409326.153257,645559.833415085,1119883.69174878,1051721.81278386,386251.912783858,665469.9
2005,9534904.7773604,410200.0,9124725.53198962,9037912.75642215,-1372956.63028637,10410869.3867085,-470983.717226236,-2615688.9286378,0.0,-2615688.9286378,-2229335.23859229,-386353.690045512,2144705.21141156,2056900.0,87805.211411564,56731.811411564,31073.4,557796.492793703,-4465962.73108462,-2290528.09706535,-91621.123882614,-2198906.97318274,-1296841.98048576,-150500.0,-1146341.98048576,-1031734.16624584,153141.512712332,-342176.366821724,495317.879534057,5023759.22387832,2541152.37619129,116893.009304799,2424259.36688649,533474.9520841,335920.607294101,197554.34479,1627114.51778948,322017.377813453,46145.3778134534,275872.0
2004,10815218.101907,-6934.5,10822152.6327479,6014467.04675078,-196337.253336065,6210804.30008684,1974360.15920469,654016.609204692,0.0,654016.609204692,1582816.60920469,-928800.000000001,1320343.55,1092320.0,228023.55,228347.35,-323.8,2833325.42679241,-613788.883207588,-1589700.0,-133600.0,-1456100.0,-1777548.33874039,-105700.0,-1671848.33874039,2020667.92632909,732791.52920371,0.0,732791.52920371,3447114.31,1859500,286200.0,1573300.0,1128383.27,349456.55,778926.719999999,156102.069999999,303128.97,1370.7,301758.27
2003,5487300.11108322,-4800.0,5492108.36199901,4944485.3743823,-1199.3358633515,4945684.71024565,1143711.58199986,299347.991999863,0.0,299347.991999863,797247.991999863,-497900.0,844363.59,772900.0,71463.59,71678.53,-214.94,-596088.594383153,-1800440.07459551,-146499.099502488,0.0,-146499.099502488,1384451.52529628,-80100.0,1464551.52529628,-655210.5497919,-2383181.9505974,-4500000.0,2116818.0494026,1204351.48021235,472030.360212349,0.0,472030.360212349,661803.040000001,-535588.06,1197391.1,74244.0100000001,-3725.9299999998,-101579.94,97854.01
2002,3229083.71224323,-5000.0,3234046.85402461,4678956.91787806,-251840.745037838,4930797.6629159,-1034248.50518252,-1209450.99518252,0.0,-1209450.99518252,-327318.99518252,-882132.0,175202.49,224900.0,-49697.51,-50507.68,810.17,-410661.558670929,-307673.981050629,109800.637211621,0.0,109800.637211621,-539112.00064717,-2900.0,-536212.00064717,-248628.75234844,370266.13473336,0.0,370266.13473336,-102987.5776203,284934.982379699,0.0,284934.982379699,-413962.389999999,-453103.74,39141.3500000011,28681.76,-2641.93000000001,714.889999999997,-3356.82000000001
2001,3477542.69036882,-5400.0,3482896.6409771,3735589.30638425,-688539.80766725,4424129.1140515,-1940592.94925703,-2065427.82925703,3158.6,-2068586.42925703,-558800.42925703,-1509786.0,124834.88,84900.0,39934.88,39934.88,0.0,1687900.28384988,2081275.84384988,70232.8878622583,0.0,70232.8878622583,1531355.48421734,-17700.0,1549055.48421734,-321381.58222096,801069.05399124,-538729.7878875,1339798.84187874,-393375.56,-244193.54,1.39e-13,-244193.54,-149008.22,-119819.34,-29188.88,49218.53,-49392.3300000001,-110594.84,61202.51
2000,192222.427217533,-3500.0,195750.727217533,3748288.7097,-91577.6903,3839866.4,-399073.18,-1130747.0,0.0,-1130747.0,-1130747.0,0.0,731673.82,691200.0,40473.82,40473.82,0.0,-3153464.80248247,-4386349.08843322,-1295987.54438822,0.0,-1295987.54438822,-1842964.7,6.25e-13,-1842964.7,-604894.4,-642502.444045,-726085.044045,83582.6,1232884.28595075,1823237.87595075,0.0,1823237.87595075,-239122.39,-185623.39,-53499.0,-5356.44,-345874.76,47572.74,-393447.5
