省份编码,省份,年份,卫生机构床位数(万张),医院床位数(万张),基层医疗卫生机构床位数(万张),社区卫生服务中心床位数(万张),街道卫生院床位数(万张),乡镇卫生院床位数(万张),专业公共卫生机构床位数(万张),妇幼保健院(所、站)床位数(万张),专科疾病防治院(所、站)床位数(万张)
140000,山西省,2013,17.262,12.8294,3.8952,,,2.8508,0.3669,0.3464,0.019
140000,山西省,2012,16.5309,11.9856,3.9956,,,2.8378,0.3692,0.3478,0.0199
140000,山西省,2011,15.7132,11.0741,4.0348,0.4268,0.5907,2.8518,0.3831,0.3541,0.0258
140000,山西省,2010,15.5885,10.826,,0.4523,0.5925,2.8891,,0.3739,0.0751
140000,山西省,2009,14.4517,,,,,,,,
140000,山西省,2008,,,,,,,,,
140000,山西省,2007,10.8742,,,,,,,,
140000,山西省,2006,11.2105,,,,,,,,
140000,山西省,2005,10.798,,,,,,,,
140000,山西省,2004,10.793,,,,,,,,
140000,山西省,2003,10.3368,,,,,,,,
140000,山西省,2002,10.358,,,,,,,,
140000,山西省,2001,11.0231,,,,,,,,
140000,山西省,2000,11.188,,,,,,,,
150000,内蒙古自治区,2019,16.1083,12.8769,2.7228,,,2.213,0.4754,0.4363,0.0391
150000,内蒙古自治区,2018,15.9006,12.6378,2.7783,,,2.2443,0.4338,0.3989,0.0349
150000,内蒙古自治区,2017,15.0325,11.8697,2.6763,,,2.1807,0.4313,0.394,0.0373
150000,内蒙古自治区,2016,13.9236,10.9676,2.4802,,,2.0002,0.4242,0.3848,0.0394
150000,内蒙古自治区,2015,13.3889,10.5185,2.4032,,,1.9486,0.3828,0.3474,0.0354
150000,内蒙古自治区,2014,12.9011,9.905,2.546,,,1.8945,0.3811,0.3471,0.034
150000,内蒙古自治区,2013,12.0065,9.1604,2.4245,,,1.7855,0.3576,0.3272,0.0304
150000,内蒙古自治区,2012,11.0788,8.2244,2.4543,,,1.7502,0.3361,0.3075,0.0286
150000,内蒙古自治区,2011,10.0633,7.2871,2.3992,0.3914,0.0017,1.6892,0.313,0.2903,0.0227
150000,内蒙古自治区,2010,9.335,6.7016,,0.3276,0.0023,1.6412,,0.2716,0.025
150000,内蒙古自治区,2009,8.739,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,
150000,内蒙古自治区,2007,7.39,,,,,,,,
150000,内蒙古自治区,2006,6.9753,,,,,,,,
150000,内蒙古自治区,2005,6.9047,,,,,,,,
150000,内蒙古自治区,2004,6.6253,,,,,,,,
150000,内蒙古自治区,2003,6.4898,,,,,,,,
150000,内蒙古自治区,2002,6.5115,,,,,,,,
150000,内蒙古自治区,2001,6.6682,,,,,,,,
150000,内蒙古自治区,2000,6.691,,,,,,,,
210000,辽宁省,2019,31.3847,26.7138,3.9284,,,3.1565,0.3635,0.1715,0.18
210000,辽宁省,2018,31.444,26.5968,4.0441,,,3.1889,0.3591,0.1563,0.1908
210000,辽宁省,2017,29.8609,25.2969,3.7918,,,3.0515,0.3572,0.1378,0.2074
210000,辽宁省,2016,28.4384,23.935,3.672,,,3.0424,0.3334,0.121,0.1995
210000,辽宁省,2015,26.6986,22.2644,3.5256,,,2.9568,0.3376,0.1227,0.202
210000,辽宁省,2014,25.5513,21.0154,3.5295,,,2.9381,0.3728,0.1227,0.2371
210000,辽宁省,2013,24.186,19.7453,3.4769,,,2.8855,0.3692,0.123,0.2342
210000,辽宁省,2012,23.0962,18.5573,3.6464,,,2.8057,0.2919,0.1233,0.1586
210000,辽宁省,2011,21.5815,17.1032,3.4236,0.4673,0.055,2.6995,0.2735,0.1212,0.1423
210000,辽宁省,2010,20.4208,16.0894,,0.366,0.0532,2.6411,,0.1281,0.1366
210000,辽宁省,2009,19.1492,,,,,,,,
210000,辽宁省,2008,,,,,,,,,
210000,辽宁省,2007,17.9952,,,,,,,,
210000,辽宁省,2006,17.9415,,,,,,,,
210000,辽宁省,2005,17.7524,,,,,,,,
210000,辽宁省,2004,17.6886,,,,,,,,
210000,辽宁省,2003,17.0636,,,,,,,,
210000,辽宁省,2002,17.2131,,,,,,,,
210000,辽宁省,2001,18.7873,,,,,,,,
210000,辽宁省,2000,19.0731,,,,,,,,
220000,吉林省,2019,17.0332,14.5128,2.0502,,,1.6944,0.2934,0.1952,0.0982
220000,吉林省,2018,16.6994,14.0384,2.1627,,,1.8015,0.2891,0.1954,0.0937
220000,吉林省,2017,15.3657,12.6595,2.1725,,,1.7945,0.3065,0.2028,0.1037
220000,吉林省,2016,15.1195,12.4837,2.0896,,,1.7429,0.3164,0.2109,0.1055
220000,吉林省,2015,14.45,11.7699,2.1042,,,1.7504,0.3061,0.2058,0.1003
220000,吉林省,2014,14.0995,11.396,2.125,,,1.7982,0.3027,0.2051,0.0976
220000,吉林省,2013,13.3245,10.6342,2.1034,,,1.7789,0.3111,0.2134,0.0977
220000,吉林省,2012,12.7756,10.0183,2.1577,,,1.8241,0.3248,0.2215,0.1033
220000,吉林省,2011,12.124,9.4636,2.104,0.2791,0.0017,1.7548,0.2836,0.1851,0.0985
220000,吉林省,2010,11.5057,8.9341,,0.1914,0.0138,1.7047,,0.1877,0.0871
220000,吉林省,2009,10.8345,,,,,,,,
220000,吉林省,2008,,,,,,,,,
220000,吉林省,2007,9.4373,,,,,,,,
220000,吉林省,2006,9.0492,,,,,,,,
220000,吉林省,2005,8.7279,,,,,,,,
220000,吉林省,2004,8.5942,,,,,,,,
220000,吉林省,2003,8.5828,,,,,,,,
220000,吉林省,2002,8.5117,,,,,,,,
220000,吉林省,2001,9.1533,,,,,,,,
220000,吉林省,2000,8.9264,,,,,,,,
230000,黑龙江省,2019,26.2575,21.9027,3.6038,,,2.3908,0.671,0.4334,0.237
230000,黑龙江省,2018,25.0129,20.9578,3.1635,,,2.3886,0.7966,0.4316,0.3644
230000,黑龙江省,2017,24.1732,20.0838,3.2216,,,2.3947,0.7728,0.4151,0.3571
230000,黑龙江省,2016,22.0054,18.1514,3.0039,,,2.2469,0.7551,0.4044,0.3503
230000,黑龙江省,2015,21.259,17.3642,3.0016,,,2.2151,0.7982,0.3975,0.4003
230000,黑龙江省,2014,20.1337,16.3122,2.9286,,,2.1529,0.7329,0.3848,0.3477
230000,黑龙江省,2013,18.9183,15.1349,2.8852,,,2.0852,0.7382,0.3724,0.3654
230000,黑龙江省,2012,17.821,14.1239,2.8422,,,2.05,0.6939,0.3545,0.339
230000,黑龙江省,2011,16.5255,12.9449,2.7081,0.6541,0.0028,1.8732,0.6076,0.3131,0.2941
230000,黑龙江省,2010,15.9914,12.3928,,0.65,0.0068,1.8418,,0.3009,0.2943
230000,黑龙江省,2009,14.6572,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,
230000,黑龙江省,2007,12.6058,,,,,,,,
230000,黑龙江省,2006,12.3176,,,,,,,,
230000,黑龙江省,2005,11.9692,,,,,,,,
230000,黑龙江省,2004,11.9463,,,,,,,,
230000,黑龙江省,2003,11.5594,,,,,,,,
230000,黑龙江省,2002,11.9565,,,,,,,,
230000,黑龙江省,2001,11.8037,,,,,,,,
230000,黑龙江省,2000,12.0454,,,,,,,,
310000,上海市,2019,14.6454,12.8499,1.5827,,,,0.1248,0.1214,0.0034
310000,上海市,2018,13.9029,12.0787,1.6042,,,,0.1337,0.1303,
310000,上海市,2017,13.4607,11.5916,1.635,,,,0.1478,0.1327,0.0151
310000,上海市,2016,12.9166,11.0148,1.669,,,,0.1465,0.1317,0.0148
310000,上海市,2015,12.2813,10.3526,1.7099,,,,0.1465,0.1317,0.0148
310000,上海市,2014,11.751,9.8261,1.7074,,,,0.1452,0.1282,0.017
310000,上海市,2013,11.4314,9.4722,1.7268,,,,0.1602,0.1322,0.028
310000,上海市,2012,10.9784,9.0151,1.7389,,,,0.1482,0.1322,0.016
310000,上海市,2011,10.713,8.7548,1.7955,1.7932,,,0.1362,0.1202,0.016
310000,上海市,2010,10.5083,8.4825,,1.8618,,,,0.1195,0.0168
310000,上海市,2009,9.9704,,,,,,,,
310000,上海市,2008,,,,,,,,,
310000,上海市,2007,9.596,,,,,,,,
310000,上海市,2006,9.3214,,,,,,,,
310000,上海市,2005,8.9758,,,,,,,,
310000,上海市,2004,8.5315,,,,,,,,
310000,上海市,2003,8.336,,,,,,,,
310000,上海市,2002,8.4512,,,,,,,,
310000,上海市,2001,7.8822,,,,,,,,
310000,上海市,2000,7.531,,,,,,,,
320000,江苏省,2019,51.6015,40.7248,9.8511,,,7.46,0.7894,0.6462,0.1381
320000,江苏省,2018,49.1522,38.7981,9.3529,,,7.0655,0.745,0.6035,0.1334
320000,江苏省,2017,46.9182,36.9784,8.9444,,,6.7806,0.7357,0.5687,0.1665
320000,江苏省,2016,44.306,35.6188,7.7546,,,5.8768,0.6495,0.5411,0.1079
320000,江苏省,2015,41.3612,32.85,7.6133,,,5.6396,0.653,0.54,0.1125
320000,江苏省,2014,39.2293,30.9301,7.4803,,,5.5551,0.5572,0.4482,0.1085
320000,江苏省,2013,36.8287,28.6183,7.4118,,,5.5025,0.5443,0.4247,0.1182
320000,江苏省,2012,33.3118,25.5853,6.9513,,,5.176,0.4957,0.3636,0.1303
320000,江苏省,2011,29.639,22.1674,6.8097,1.5703,0.0085,5.1247,0.4026,0.2956,0.1067
320000,江苏省,2010,26.9548,19.534,,1.5724,0.0185,5.1771,,0.251,0.091
320000,江苏省,2009,25.0809,,,,,,,,
320000,江苏省,2008,,,,,,,,,
320000,江苏省,2007,22.0369,,,,,,,,
320000,江苏省,2006,20.8902,,,,,,,,
320000,江苏省,2005,19.7515,,,,,,,,
320000,江苏省,2004,18.6282,,,,,,,,
320000,江苏省,2003,17.6101,,,,,,,,
320000,江苏省,2002,17.4259,,,,,,,,
320000,江苏省,2001,17.318,,,,,,,,
320000,江苏省,2000,17.3081,,,,,,,,
330000,浙江省,2019,35.0191,30.7128,2.9964,,,2.1095,1.1463,1.1019,0.0357
330000,浙江省,2018,33.2086,29.369,2.7589,,,1.8781,0.9339,0.882,0.0446
330000,浙江省,2017,31.352,27.7076,2.5775,,,1.7917,0.9,0.8485,0.0448
330000,浙江省,2016,28.987,25.4793,2.4605,,,1.7096,0.85,0.7985,0.0448
330000,浙江省,2015,27.2509,23.9444,2.3393,,,1.5666,0.815,0.7549,0.0548
330000,浙江省,2014,24.5756,21.3365,2.3061,,,1.5398,0.7813,0.7194,0.0598
330000,浙江省,2013,23.0056,19.7096,2.341,,,1.5086,0.7528,0.6794,0.0715
330000,浙江省,2012,21.3286,18.0722,2.3852,,,1.4781,0.7221,0.6568,0.0634
330000,浙江省,2011,19.4759,16.2905,2.3967,0.9262,0.0115,1.4159,0.6474,0.5845,0.061
330000,浙江省,2010,18.4097,15.0986,,0.6098,0.033,1.8009,,0.5491,0.0722
330000,浙江省,2009,17.0199,,,,,,,,
330000,浙江省,2008,,,,,,,,,
330000,浙江省,2007,15.4663,,,,,,,,
330000,浙江省,2006,14.8122,,,,,,,,
330000,浙江省,2005,14.0734,,,,,,,,
330000,浙江省,2004,13.4491,,,,,,,,
330000,浙江省,2003,12.6363,,,,,,,,
330000,浙江省,2002,11.8881,,,,,,,,
330000,浙江省,2001,11.5404,,,,,,,,
330000,浙江省,2000,11.3727,,,,,,,,
340000,安徽省,2019,34.7395,27.2106,6.8651,,,6.0258,0.6208,0.4801,0.1407
340000,安徽省,2018,32.8123,25.3595,6.7023,,,5.8458,0.7045,0.4499,0.2542
340000,安徽省,2017,30.5746,23.3219,6.502,,,5.6758,0.6837,0.4026,0.2781
340000,安徽省,2016,28.172,21.6281,5.8613,,,5.1305,0.6156,0.3787,0.2339
340000,安徽省,2015,26.7405,20.2713,5.8563,,,5.0973,0.5302,0.3454,0.1818
340000,安徽省,2014,25.2044,18.773,5.8561,,,5.0851,0.4831,0.339,0.1438
340000,安徽省,2013,23.5959,17.1508,5.7785,,,4.9781,0.5744,0.3569,0.2172
340000,安徽省,2012,22.2315,15.7827,5.7826,,,4.8289,0.5594,0.3403,0.2188
340000,安徽省,2011,20.421,14.0997,5.6291,0.7145,0.0128,4.7189,0.5704,0.3551,0.215
340000,安徽省,2010,18.801,12.3427,,0.6366,0.0274,4.8933,,0.3265,0.2066
340000,安徽省,2009,17.4483,,,,,,,,
340000,安徽省,2008,,,,,,,,,
340000,安徽省,2007,13.9625,,,,,,,,
340000,安徽省,2006,13.3321,,,,,,,,
340000,安徽省,2005,12.6587,,,,,,,,
340000,安徽省,2004,12.1716,,,,,,,,
340000,安徽省,2003,11.8882,,,,,,,,
340000,安徽省,2002,11.8289,,,,,,,,
340000,安徽省,2001,12.5182,,,,,,,,
340000,安徽省,2000,12.3873,,,,,,,,
350000,福建省,2019,20.2211,15.6264,3.5522,,,3.1521,0.8867,0.6628,0.2193
350000,福建省,2018,19.2473,14.8012,3.4484,,,3.0845,0.8558,0.6524,0.2003
350000,福建省,2017,18.2375,13.9362,3.3457,,,2.994,0.7795,0.6015,0.1749
350000,福建省,2016,17.4767,13.1892,3.2833,,,2.9449,0.7502,0.5917,0.1554
350000,福建省,2015,17.3007,12.9559,3.3518,,,3.0278,0.7421,0.5709,0.1681
350000,福建省,2014,16.4781,12.2838,3.2727,,,2.9671,0.6842,0.5355,0.1456
350000,福建省,2013,15.6149,11.4849,3.2219,,,2.9283,0.6648,0.5197,0.142
350000,福建省,2012,13.9341,10.2011,2.991,,,2.7282,0.5047,0.4008,0.1008
350000,福建省,2011,12.4232,8.9947,2.7626,0.243,,2.5096,0.4674,0.3648,0.0995
350000,福建省,2010,11.3043,8.0896,,0.26,,2.3407,,0.3421,0.0706
350000,福建省,2009,10.429,,,,,,,,
350000,福建省,2008,,,,,,,,,
350000,福建省,2007,7.9645,,,,,,,,
350000,福建省,2006,8.4536,,,,,,,,
350000,福建省,2005,8.1645,,,,,,,,
350000,福建省,2004,8.0272,,,,,,,,
350000,福建省,2003,7.8309,,,,,,,,
350000,福建省,2002,7.3465,,,,,,,,
350000,福建省,2001,8.9769,,,,,,,,
350000,福建省,2000,9.0091,,,,,,,,
360000,江西省,2019,26.7135,18.9562,6.1313,,,5.6975,1.5007,1.1183,0.3818
360000,江西省,2018,24.949,17.2843,6.0615,,,5.6328,1.4022,1.0443,0.3577
360000,江西省,2017,23.4047,16.0095,5.9242,,,5.4432,1.28,0.9685,0.3115
360000,江西省,2016,20.9097,14.3049,5.224,,,4.7672,1.1998,0.8994,0.3004
360000,江西省,2015,19.7837,13.4277,5.0074,,,4.5861,1.1676,0.88,0.2876
360000,江西省,2014,18.6727,12.511,4.8987,,,4.4802,1.082,0.8295,0.2525
360000,江西省,2013,17.4299,11.4782,4.7427,,,4.3314,1.028,0.7901,0.2379
360000,江西省,2012,16.3721,10.3184,4.9312,,,4.0902,0.9441,0.72,0.2241
360000,江西省,2011,13.557,8.7184,3.8211,0.2369,0.0055,3.4287,0.8365,0.6425,0.194
360000,江西省,2010,12.464,7.7805,,0.2834,0.0083,3.1912,,0.5594,0.3095
360000,江西省,2009,11.5445,,,,,,,,
360000,江西省,2008,,,,,,,,,
360000,江西省,2007,9.4862,,,,,,,,
360000,江西省,2006,8.8061,,,,,,,,
360000,江西省,2005,8.4836,,,,,,,,
360000,江西省,2004,8.3832,,,,,,,,
360000,江西省,2003,8.2394,,,,,,,,
360000,江西省,2002,9.0207,,,,,,,,
360000,江西省,2001,9.0249,,,,,,,,
360000,江西省,2000,9.093,,,,,,,,
370000,山东省,2019,62.9722,48.1301,11.9274,,,9.7779,2.655,2.069,0.5796
370000,山东省,2018,60.8459,46.0703,11.9373,,,9.7171,2.5871,2.0365,0.5442
370000,山东省,2017,58.4812,44.1032,11.6629,,,9.5369,2.4091,2.0092,0.3935
370000,山东省,2016,54.0994,39.9427,11.5017,,,9.7894,2.3404,1.8611,0.4663
370000,山东省,2015,51.9369,37.8884,11.6196,,,9.8577,2.1208,1.67,0.4378
370000,山东省,2014,50.0631,35.9637,11.7092,,,9.9716,2.067,1.6222,0.4318
370000,山东省,2013,48.9737,34.2104,12.2665,,,10.4232,2.0202,1.5437,0.44
370000,山东省,2012,47.3768,32.2007,12.5877,,,10.758,1.9794,1.5065,0.4311
370000,山东省,2011,41.6148,28.0385,11.2951,1.1058,,9.7391,1.7412,1.3273,0.3791
370000,山东省,2010,38.2254,25.5764,,0.6995,0.3445,9.1321,,1.2267,0.2686
370000,山东省,2009,34.7052,,,,,,,,
370000,山东省,2008,,,,,,,,,
370000,山东省,2007,27.8791,,,,,,,,
370000,山东省,2006,25.8425,,,,,,,,
370000,山东省,2005,24.7574,,,,,,,,
370000,山东省,2004,22.9418,,,,,,,,
370000,山东省,2003,21.6116,,,,,,,,
370000,山东省,2002,21.8857,,,,,,,,
370000,山东省,2001,21.8108,,,,,,,,
370000,山东省,2000,21.4809,,,,,,,,
410000,河南省,2019,64.0147,48.1174,13.2281,,,11.8966,2.6547,2.4954,0.1568
410000,河南省,2018,60.8519,45.5677,12.6978,,,11.4445,2.5719,2.4169,0.1525
410000,河南省,2017,55.8998,41.3827,12.1016,,,10.8084,2.399,2.2393,0.1572
410000,河南省,2016,52.1546,38.7054,11.1968,,,9.9994,2.2379,2.0894,0.1455
410000,河南省,2015,48.9621,35.8341,10.9941,,,9.7821,2.1194,1.9749,0.1415
410000,河南省,2014,45.9338,33.2705,10.6408,,,9.5562,2.008,1.8711,0.1339
410000,河南省,2013,42.981,30.6546,10.416,,,9.3725,1.8959,1.768,0.1194
410000,河南省,2012,39.3993,27.454,10.1176,,,9.1155,1.7432,1.6249,0.1098
410000,河南省,2011,34.9612,23.9793,9.4056,0.7185,,8.4963,1.4918,1.379,0.1078
410000,河南省,2010,32.7569,22.0974,,0.6369,0.009,8.3359,,1.3149,0.0988
410000,河南省,2009,30.2378,,,,,,,,
410000,河南省,2008,,,,,,,,,
410000,河南省,2007,23.9511,,,,,,,,
410000,河南省,2006,22.381,,,,,,,,
410000,河南省,2005,21.2407,,,,,,,,
410000,河南省,2004,20.756,,,,,,,,
410000,河南省,2003,20.2334,,,,,,,,
410000,河南省,2002,19.7245,,,,,,,,
410000,河南省,2001,19.9934,,,,,,,,
410000,河南省,2000,19.8635,,,,,,,,
420000,湖北省,2019,40.33,28.8159,9.8108,,,8.0549,1.6953,1.4469,0.248
420000,湖北省,2018,39.3514,28.1455,9.4949,,,7.7677,1.711,1.4594,0.2512
420000,湖北省,2017,37.6185,27.0862,8.885,,,7.2127,1.6473,1.4136,0.2333
420000,湖北省,2016,36.0558,25.6909,8.7662,,,7.1546,1.5987,1.3752,0.2231
420000,湖北省,2015,34.3147,24.3481,8.3932,,,6.8933,1.5734,1.3262,0.2472
420000,湖北省,2014,31.75,22.2388,8.0287,,,6.6557,1.4825,1.2339,0.2486
420000,湖北省,2013,28.8169,20.022,7.4716,,,6.1845,1.3233,1.071,0.2523
420000,湖北省,2012,25.2991,17.3784,6.8293,,,5.5753,1.0914,0.8522,0.2392
420000,湖北省,2011,22.398,15.2062,6.233,0.9722,0.1273,5.0467,0.9588,0.7608,0.198
420000,湖北省,2010,20.0394,13.5006,,0.7683,0.1755,4.6382,,0.6477,0.1959
420000,湖北省,2009,18.7156,,,,,,,,
420000,湖北省,2008,,,,,,,,,
420000,湖北省,2007,15.0633,,,,,,,,
420000,湖北省,2006,14.2152,,,,,,,,
420000,湖北省,2005,13.9147,,,,,,,,
420000,湖北省,2004,13.7515,,,,,,,,
420000,湖北省,2003,13.6002,,,,,,,,
420000,湖北省,2002,13.1889,,,,,,,,
420000,湖北省,2001,14.067,,,,,,,,
420000,湖北省,2000,14.3229,,,,,,,,
430000,湖南省,2019,50.633,36.5129,12.1344,,,10.547,1.9658,1.4522,0.5126
430000,湖南省,2018,48.2439,34.635,11.6861,,,10.1561,1.9068,1.426,0.4808
430000,湖南省,2017,45.2335,31.9455,11.3958,,,10.0353,1.8762,1.4252,0.451
430000,湖南省,2016,42.5757,29.9251,10.7788,,,9.6111,1.8618,1.3627,0.4991
430000,湖南省,2015,39.695,27.5881,10.3475,,,9.2557,1.7494,1.221,0.5284
430000,湖南省,2014,35.5485,24.7018,9.3562,,,8.3407,1.4778,1.0865,0.3913
430000,湖南省,2013,31.409,21.5039,8.5417,,,7.7343,1.3507,0.9794,0.3713
430000,湖南省,2012,28.7013,18.8127,8.6069,,,7.788,1.2696,0.9202,0.3494
430000,湖南省,2011,25.7687,16.8428,7.7251,0.6214,0.01,6.9832,1.1839,0.861,0.3229
430000,湖南省,2010,23.351,15.0141,,0.4908,0.0804,6.5168,,0.8172,0.3007
430000,湖南省,2009,21.2043,,,,,,,,
430000,湖南省,2008,,,,,,,,,
430000,湖南省,2007,17.2394,,,,,,,,
430000,湖南省,2006,15.9377,,,,,,,,
430000,湖南省,2005,15.1297,,,,,,,,
430000,湖南省,2004,14.7164,,,,,,,,
430000,湖南省,2003,14.3631,,,,,,,,
430000,湖南省,2002,13.9763,,,,,,,,
430000,湖南省,2001,14.6165,,,,,,,,
430000,湖南省,2000,14.3436,,,,,,,,
440000,广东省,2019,54.5196,44.1895,7.1376,,,6.1494,3.1209,2.5398,0.5809
440000,广东省,2018,51.6929,41.6243,7.0741,,,6.0584,2.9469,2.4462,0.5007
440000,广东省,2017,49.2064,39.3449,6.8548,,,5.8822,2.9281,2.3126,0.6155
440000,广东省,2016,46.5142,37.1685,6.5634,,,5.6075,2.6787,2.0965,0.5822
440000,广东省,2015,43.5666,34.5258,6.3792,,,5.445,2.5031,1.9993,0.5036
440000,广东省,2014,40.5751,31.9729,6.0605,,,5.2042,2.3852,1.8692,0.516
440000,广东省,2013,37.8367,29.4219,5.988,,,5.1105,2.2399,1.7438,0.4961
440000,广东省,2012,35.5274,27.2873,5.9457,,,5.0605,2.1075,1.6193,0.4882
440000,广东省,2011,32.5038,24.605,5.9128,0.6946,0.1649,5.0371,1.8093,1.4717,0.3376
440000,广东省,2010,30.0083,22.4114,,0.5535,0.44,4.8612,,1.2516,0.3019
440000,广东省,2009,27.1982,,,,,,,,
440000,广东省,2008,,,,,,,,,
440000,广东省,2007,23.4179,,,,,,,,
440000,广东省,2006,22.0315,,,,,,,,
440000,广东省,2005,20.8936,,,,,,,,
440000,广东省,2004,19.8645,,,,,,,,
440000,广东省,2003,18.6865,,,,,,,,
440000,广东省,2002,17.9553,,,,,,,,
440000,广东省,2001,17.2735,,,,,,,,
440000,广东省,2000,16.8143,,,,,,,,
450000,广西壮族自治区,2019,27.7357,18.8283,7.274,,,6.993,1.5609,1.5087,0.0521
450000,广西壮族自治区,2018,25.594,17.3207,6.7497,,,6.5278,1.4477,1.3924,0.0552
450000,广西壮族自治区,2017,24.114,16.1506,6.5031,,,6.3035,1.3816,1.3338,0.0477
450000,广西壮族自治区,2016,22.4471,14.848,6.2207,,,6.0565,1.2883,1.2442,0.044
450000,广西壮族自治区,2015,21.4485,14.0306,6.0853,,,5.9406,1.2425,1.1971,0.0453
450000,广西壮族自治区,2014,20.16,12.9383,5.9733,,,5.8319,1.1683,1.1267,0.0416
