省份编码,省份,年份,医疗卫生机构数(个),医院数(个),综合医院数(个),中医医院数(个),专科医院数(个),基层医疗卫生机构(个),社区卫生服务中心(站)数(个),街道卫生院数(个),乡镇卫生院数(个),村卫生室数(个),门诊部(所)数(个),专业公共卫生机构数(个),疾病预防控制中心数(个),专科疾病防治院(所/站)数(个),妇幼保健院(所/站)数(个),卫生监督所(中心)数(个)
120000,天津市,2017,5539,426,284,51,88,4960,587,,142,2541,1685,97,23,15,20,19
120000,天津市,2016,5443,421,278,53,87,4844,585,,145,2528,1581,126,24,16,21,19
120000,天津市,2015,5223,402,272,48,79,4618,574,1,144,2437,1462,151,24,16,21,19
120000,天津市,2014,4990,373,254,40,75,4419,569,1,148,2350,1351,145,24,17,22,19
120000,天津市,2013,4689,333,220,37,70,4209,563,1,148,2247,1250,96,24,17,23,20
120000,天津市,2012,4551,304,201,31,66,4095,559,1,160,2157,1218,95,24,17,23,19
120000,天津市,2011,4428,296,195,30,65,3981,536,1,164,2157,1123,95,24,17,23,19
120000,天津市,2010,4542,277,183,28,62,4115,877,1,160,1855,1222,93,24,16,23,17
120000,天津市,2009,4238,255,167,26,58,,769,1,181,1616,1268,,24,16,23,17
120000,天津市,2008,2784,247,160,27,56,,776,1,180,,1435,,24,16,23,
120000,天津市,2007,2334,,,,,,,,,,1576,,24,,23,
120000,天津市,2006,2367,,,,,,,,,,1633,,24,,23,
120000,天津市,2005,2472,,,,,,,,,,1748,,24,,23,
120000,天津市,2004,2560,,,,,,,,,2252,1814,,24,,23,
120000,天津市,2003,7132,,,,,,,,,2266,6183,,25,,22,
120000,天津市,2002,2641,,,,,,,,,,1781,,25,,21,
120000,天津市,2001,2803,,,,,,,,,3643,2068,,23,,13,
120000,天津市,2000,2983,,,,,,,,,,2249,,24,,18,
130000,河北省,2019,84651,2120,1456,249,372,81790,1425,,1998,59526,18841,662,187,11,187,178
130000,河北省,2018,85088,2108,1470,243,352,82236,1385,,2005,59047,19799,684,188,12,187,178
130000,河北省,2017,80912,1846,1265,218,322,78207,1274,,1972,60225,14728,801,189,11,192,178
130000,河北省,2016,78795,1618,1086,201,295,76003,1197,,1970,60371,12465,1089,192,11,191,179
130000,河北省,2015,78594,1543,1041,193,275,75562,1188,,1960,60492,11922,1264,193,9,204,180
130000,河北省,2014,78895,1341,894,179,237,75623,1169,,1960,61450,11044,1657,193,7,222,180
130000,河北省,2013,78485,1268,826,177,231,75178,1115,,1960,62311,9792,1689,194,9,265,191
130000,河北省,2012,79119,1249,809,175,230,77177,1130,,1961,64513,9573,597,193,8,185,188
130000,河北省,2011,80185,1247,824,179,209,78246,1119,,1960,65375,9792,598,196,8,185,185
130000,河北省,2010,81403,1226,812,178,204,79493,1172,,1962,66277,10082,592,195,7,186,179
130000,河北省,2009,80963,1123,746,169,185,,1027,,1962,66389,9783,,194,7,185,177
130000,河北省,2008,15632,1111,733,168,186,,983,,1958,,10989,,190,7,185,
130000,河北省,2007,19425,,,,,,,,,,14808,,193,,186,
130000,河北省,2006,17733,,,,,,,,,,13778,,192,,183,
130000,河北省,2005,18046,,,,,,,,,,14096,,192,,184,
130000,河北省,2004,17760,,,,,,,,,46104,13726,,201,,183,
130000,河北省,2003,9018,,,,,,,,,45392,4313,,194,,186,
130000,河北省,2002,18701,,,,,,,,,,13531,,190,,181,
130000,河北省,2001,20116,,,,,,,,,61860,14835,,199,,161,
130000,河北省,2000,20663,,,,,,,,,,15357,,199,,161,
140000,山西省,2019,42162,1405,665,218,482,40249,985,,1313,28106,9569,445,134,7,131,128
140000,山西省,2018,42079,1368,654,213,469,40198,965,,1313,28338,9286,449,135,8,134,128
140000,山西省,2017,42490,1388,684,213,464,40581,937,,1308,28942,9097,455,135,8,135,131
140000,山西省,2016,42204,1393,693,210,463,40288,929,,1353,29027,8713,455,136,7,134,131
140000,山西省,2015,41002,1274,654,194,407,39196,887,370,1249,28099,8591,460,134,8,132,131
140000,山西省,2014,40777,1234,638,188,394,39010,854,451,1202,28248,8255,463,134,8,133,131
140000,山西省,2013,40281,1219,637,191,377,38529,814,464,1201,28241,7809,462,134,8,132,131
140000,山西省,2012,40192,1215,638,193,369,38443,791,477,1199,28285,7691,457,135,10,132,130
140000,山西省,2011,40339,1206,632,199,362,38587,778,484,1202,28471,7652,469,146,11,131,130
140000,山西省,2010,41098,1198,632,204,348,39351,754,513,1201,29253,7630,470,146,15,133,130
140000,山西省,2009,39917,1163,613,199,331,,807,444,1201,28113,7643,,151,15,135,130
140000,山西省,2008,9431,1025,576,160,271,,531,42,1527,,5854,,131,12,132,
140000,山西省,2007,9780,,,,,,,,,,6246,,162,,148,
140000,山西省,2006,9776,,,,,,,,,,6442,,147,,133,
140000,山西省,2005,9430,,,,,,,,,,6094,,157,,131,
140000,山西省,2004,9510,,,,,,,,,20102,6199,,154,,129,
140000,山西省,2003,12960,,,,,,,,,19218,9804,,150,,133,
140000,山西省,2002,9603,,,,,,,,,,5911,,152,,134,
140000,山西省,2001,16293,,,,,,,,,28443,13075,,144,,130,
140000,山西省,2000,13736,,,,,,,,,,10463,,145,,136,
150000,内蒙古自治区,2019,24564,794,397,122,161,23238,1197,,1271,13321,7449,466,119,43,114,117
150000,内蒙古自治区,2018,24610,818,424,117,159,23235,1197,,1301,13539,7198,488,118,50,114,113
150000,内蒙古自治区,2017,24218,775,422,113,145,22868,1194,,1313,13625,6736,508,119,51,113,116
150000,内蒙古自治区,2016,24002,720,402,110,134,22606,1195,,1321,13632,6458,600,117,54,113,114
150000,内蒙古自治区,2015,23886,702,409,95,126,22421,1193,2,1320,13645,6261,664,119,53,114,114
150000,内蒙古自治区,2014,23426,639,379,79,111,22053,1180,3,1332,13835,5703,660,119,53,117,114
150000,内蒙古自治区,2013,23257,566,353,68,85,21984,1148,3,1329,14028,5476,629,119,53,116,110
150000,内蒙古自治区,2012,23046,519,325,62,77,22009,1162,3,1326,14022,5496,447,119,52,117,111
150000,内蒙古自治区,2011,22908,488,308,61,68,21905,1148,3,1323,14433,4998,446,121,50,117,112
150000,内蒙古自治区,2010,22565,467,296,61,61,21571,1027,4,1331,14500,4709,450,127,50,117,111
150000,内蒙古自治区,2009,22677,469,298,56,64,,886,5,1327,14719,4749,,133,50,116,106
150000,内蒙古自治区,2008,7162,471,303,56,63,,690,5,1324,,4168,,137,49,115,
150000,内蒙古自治区,2007,9076,,,,,,,,,,5713,,160,,134,
150000,内蒙古自治区,2006,7958,,,,,,,,,,5101,,140,,113,
150000,内蒙古自治区,2005,7629,,,,,,,,,,4863,,146,,116,
150000,内蒙古自治区,2004,7416,,,,,,,,,12518,4669,,147,,117,
150000,内蒙古自治区,2003,4036,,,,,,,,,10496,1728,,146,,117,
150000,内蒙古自治区,2002,6574,,,,,,,,,,3908,,148,,118,
150000,内蒙古自治区,2001,8559,,,,,,,,,12891,6012,,147,,107,
150000,内蒙古自治区,2000,7852,,,,,,,,,,5200,,148,,108,
210000,辽宁省,2019,34238,1364,740,193,401,32275,1321,,1022,17963,11949,456,103,64,97,13
210000,辽宁省,2018,36029,1369,761,186,395,33777,1325,,1032,19127,12275,672,122,72,102,74
210000,辽宁省,2017,35767,1268,713,155,378,33540,1238,,1014,19519,11750,775,131,80,109,90
210000,辽宁省,2016,36131,1190,694,139,339,33931,1165,,1014,20120,11612,854,133,85,110,90
210000,辽宁省,2015,35236,1020,610,115,282,33105,1142,17,1008,19774,11164,955,131,85,110,89
210000,辽宁省,2014,35441,962,584,106,262,33297,1138,13,1012,19844,11290,1031,131,86,110,89
210000,辽宁省,2013,35612,905,555,106,235,33521,1136,14,1014,20006,11351,1035,128,87,110,86
210000,辽宁省,2012,35792,860,537,100,216,34249,1121,24,999,21245,10860,497,130,88,110,118
210000,辽宁省,2011,35229,831,515,98,211,33712,1038,29,990,21031,10624,492,131,90,110,110
210000,辽宁省,2010,34805,821,507,98,209,33300,947,33,1001,20591,10728,487,132,88,110,111
210000,辽宁省,2009,34729,829,510,102,211,,852,35,1002,20463,10907,,134,90,110,64
210000,辽宁省,2008,14627,854,535,106,207,,796,48,1014,,11277,,133,91,111,
210000,辽宁省,2007,14819,,,,,,,,,,11516,,133,,111,
210000,辽宁省,2006,15876,,,,,,,,,,12198,,131,,111,
210000,辽宁省,2005,14925,,,,,,,,,,11433,,128,,114,
210000,辽宁省,2004,14230,,,,,,,,,19944,10827,,128,,116,
210000,辽宁省,2003,12533,,,,,,,,,19423,8057,,129,,117,
210000,辽宁省,2002,13162,,,,,,,,,,9588,,132,,118,
210000,辽宁省,2001,13237,,,,,,,,,18798,9918,,127,,106,
210000,辽宁省,2000,12564,,,,,,,,,,9236,,129,,108,
220000,吉林省,2019,22198,797,422,114,240,20917,300,,761,9615,10240,377,67,54,70,42
220000,吉林省,2018,22691,780,417,108,237,21371,376,,777,9901,10316,406,66,55,70,41
220000,吉林省,2017,20828,654,360,87,192,19647,388,,780,10108,8370,404,67,54,70,40
220000,吉林省,2016,20829,662,375,84,188,19589,395,,774,10172,8247,428,68,54,71,39
220000,吉林省,2015,20612,616,353,79,170,19409,425,1,775,10229,7979,432,68,54,70,38
220000,吉林省,2014,19891,582,346,73,154,18856,364,,773,11225,6494,348,68,50,68,38
220000,吉林省,2013,19913,576,345,71,148,18968,361,,775,11527,6305,293,94,51,68,36
220000,吉林省,2012,19734,576,349,72,144,18804,353,,771,11475,6205,274,67,52,69,56
220000,吉林省,2011,19785,560,343,75,131,18882,538,1,766,11612,5965,260,67,53,70,40
220000,吉林省,2010,19385,568,346,76,134,18475,2076,9,768,9862,5760,259,67,54,70,38
220000,吉林省,2009,18543,560,351,76,119,,2228,13,788,8978,5640,,67,53,70,36
220000,吉林省,2008,9659,568,355,78,121,,2290,12,790,,5664,,68,53,70,
220000,吉林省,2007,9683,,,,,,,,,,5589,,70,,72,
220000,吉林省,2006,9696,,,,,,,,,,5461,,71,,72,
220000,吉林省,2005,8755,,,,,,,,,,5098,,74,,71,
220000,吉林省,2004,8219,,,,,,,,,8788,4972,,76,,70,
220000,吉林省,2003,7695,,,,,,,,,8905,4775,,75,,72,
220000,吉林省,2002,7556,,,,,,,,,,4613,,75,,73,
220000,吉林省,2001,7417,,,,,,,,,10619,5566,,64,,52,
220000,吉林省,2000,5544,,,,,,,,,,3699,,82,,58,
230000,黑龙江省,2019,20375,1144,755,169,201,18478,631,,966,10448,6426,704,162,88,141,140
230000,黑龙江省,2018,20349,1105,729,161,196,18460,614,,972,10740,6130,736,165,95,145,139
230000,黑龙江省,2017,20283,1089,724,152,196,18398,629,,982,10842,5939,746,164,108,144,139
230000,黑龙江省,2016,20375,1031,684,138,195,18256,653,,988,11384,5220,1037,168,109,139,139
230000,黑龙江省,2015,20752,1012,671,132,195,18386,702,8,990,11444,5242,1301,167,111,142,138
230000,黑龙江省,2014,21229,1002,672,130,185,18725,765,4,992,11638,5326,1443,169,112,148,138
230000,黑龙江省,2013,21369,993,671,128,179,18883,774,4,996,11778,5331,1433,174,113,148,131
230000,黑龙江省,2012,21158,996,684,127,169,19470,776,4,996,12316,5378,634,174,112,146,154
230000,黑龙江省,2011,21749,911,635,122,143,20142,774,9,958,13107,5294,646,188,109,150,156
230000,黑龙江省,2010,22073,917,650,120,135,20461,1035,13,954,13141,5318,642,188,110,147,154
230000,黑龙江省,2009,21825,918,648,120,139,,750,18,977,13147,5328,,189,114,142,147
230000,黑龙江省,2008,7928,911,640,126,132,,359,19,919,,5065,,192,111,136,
230000,黑龙江省,2007,8464,,,,,,,,,,5493,,200,,140,
230000,黑龙江省,2006,8181,,,,,,,,,,5510,,196,,143,
230000,黑龙江省,2005,8326,,,,,,,,,,5716,,195,,148,
230000,黑龙江省,2004,8230,,,,,,,,,12689,5670,,198,,150,
230000,黑龙江省,2003,8469,,,,,,,,,12339,5927,,202,,150,
230000,黑龙江省,2002,8755,,,,,,,,,,6035,,205,,155,
230000,黑龙江省,2001,7944,,,,,,,,,13985,5250,,228,,158,
230000,黑龙江省,2000,8038,,,,,,,,,,5250,,229,,159,
310000,上海市,2019,5597,374,169,21,122,5021,1066,,,1179,2776,106,19,15,19,17
310000,上海市,2018,5293,358,171,19,120,4729,1038,,,1162,2529,108,19,16,20,17
310000,上海市,2017,5144,363,180,19,118,4574,1009,,,1187,2378,112,19,20,20,17
310000,上海市,2016,5016,349,181,19,113,4470,1039,,,1218,2213,117,20,21,21,18
310000,上海市,2015,5016,338,181,18,106,4480,1035,,,1271,2174,116,19,21,21,18
310000,上海市,2014,4984,332,182,18,102,4489,1027,,,1310,2152,116,20,19,21,18
310000,上海市,2013,4929,328,185,18,97,4439,1009,,,1342,2088,116,20,19,21,18
310000,上海市,2012,4845,320,186,17,93,4379,1013,,,1361,2005,101,21,20,21,18
310000,上海市,2011,4740,308,180,17,91,4289,971,,,1384,1934,101,21,19,21,19
310000,上海市,2010,4708,306,185,17,85,4261,931,,,1437,1893,101,21,19,21,19
310000,上海市,2009,4460,296,179,17,84,,640,,,1447,1933,,21,20,22,20
310000,上海市,2008,2822,299,183,17,83,,469,,,,1906,,22,19,24,
310000,上海市,2007,2678,,,,,,,,,,1876,,22,,23,
310000,上海市,2006,2519,,,,,,,,,,1879,,22,,24,
310000,上海市,2005,2526,,,,,,,,,,1865,,22,,24,
310000,上海市,2004,2551,,,,,,,,,1764,1903,,22,,21,
310000,上海市,2003,7500,,,,,,,,,1688,5712,,22,,23,
310000,上海市,2002,2308,,,,,,,,,,1674,,23,,24,
310000,上海市,2001,4536,,,,,,,,,2599,3929,,26,,16,
310000,上海市,2000,5136,,,,,,,,,,4501,,28,,14,
320000,江苏省,2019,34796,1941,995,151,509,31821,2706,,1028,15169,12905,685,118,42,115,105
320000,江苏省,2018,33254,1853,1029,138,473,30295,2769,,1053,15311,11158,808,117,41,114,104
320000,江苏省,2017,32037,1727,1015,121,420,29118,2780,,1057,15319,9960,911,116,43,110,104
320000,江苏省,2016,32117,1678,1032,111,403,29099,2660,,1039,15475,9923,1059,117,42,110,106
320000,江苏省,2015,31925,1581,1013,104,364,28841,2782,2,1033,15391,9633,1244,120,44,109,108
320000,江苏省,2014,31995,1524,999,102,343,28921,2803,2,1044,15523,9549,1290,123,43,110,109
320000,江苏省,2013,30998,1490,991,97,331,28815,2747,2,1064,15575,9427,466,124,45,109,113
320000,江苏省,2012,31050,1426,964,89,321,28888,2613,2,1115,15835,9323,505,128,48,110,114
320000,江苏省,2011,31680,1283,849,86,308,29659,2551,3,1220,16694,9191,497,129,53,106,111
320000,江苏省,2010,30956,1155,754,86,284,29095,2177,8,1268,17127,8515,449,130,46,103,109
320000,江苏省,2009,30571,1114,722,86,282,,1677,26,1415,17124,8505,,171,46,105,111
320000,江苏省,2008,13357,1094,715,86,270,,1846,33,1396,,8290,,168,45,104,
320000,江苏省,2007,19116,,,,,,,,,,8990,,166,,106,
320000,江苏省,2006,17143,,,,,,,,,,9833,,153,,107,
320000,江苏省,2005,15324,,,,,,,,,,9497,,154,,112,
320000,江苏省,2004,13400,,,,,,,,,16448,8175,,143,,107,
320000,江苏省,2003,8870,,,,,,,,,19112,5492,,135,,110,
320000,江苏省,2002,12367,,,,,,,,,,7715,,145,,116,
320000,江苏省,2001,13208,,,,,,,,,26319,10042,,134,,112,
320000,江苏省,2000,12813,,,,,,,,,,9533,,137,,112,
330000,浙江省,2019,34119,1372,577,179,509,32145,4922,,1081,11590,14541,403,100,15,92,100
330000,浙江省,2018,32754,1288,555,171,473,30883,5312,,1155,11483,12922,393,100,16,89,99
330000,浙江省,2017,31979,1204,529,162,438,30189,5687,,1150,11535,11806,394,100,16,88,100
330000,浙江省,2016,31546,1130,505,152,411,29811,5871,,1194,11677,11062,420,101,16,87,101
330000,浙江省,2015,31137,1049,485,144,366,29431,6019,5,1194,11868,10345,483,101,16,88,101
330000,浙江省,2014,30358,935,444,132,319,28673,6166,9,1139,12042,9317,577,100,20,89,101
330000,浙江省,2013,30063,843,405,129,278,28655,6263,6,1141,12504,8741,396,100,25,87,106
330000,浙江省,2012,30271,782,392,122,248,28939,6622,7,1144,13091,8075,377,100,22,86,103
330000,浙江省,2011,30515,731,368,113,230,29207,6526,8,1197,13851,7625,372,100,25,85,100
330000,浙江省,2010,29939,687,354,109,208,28642,6103,42,1508,13643,7346,378,101,25,87,100
330000,浙江省,2009,29549,652,353,103,178,,5318,151,1670,13922,7206,,101,25,87,99
330000,浙江省,2008,15290,635,357,101,162,,5168,162,1709,,6989,,101,27,87,
330000,浙江省,2007,15669,,,,,,,,,,7351,,103,,87,
330000,浙江省,2006,14230,,,,,,,,,,7322,,100,,87,
330000,浙江省,2005,12555,,,,,,,,,,6581,,138,,87,
330000,浙江省,2004,11937,,,,,,,,,16249,6384,,138,,88,
330000,浙江省,2003,6261,,,,,,,,,15515,2286,,103,,88,
330000,浙江省,2002,10708,,,,,,,,,,5501,,101,,88,
330000,浙江省,2001,16536,,,,,,,,,20898,12860,,96,,57,
330000,浙江省,2000,17034,,,,,,,,,,13219,,97,,67,
340000,安徽省,2019,26435,1241,770,125,298,24558,1858,,1380,15549,5770,544,119,42,121,112
340000,安徽省,2018,24925,1140,723,113,262,23076,1891,,1365,15317,4502,604,120,45,120,111
340000,安徽省,2017,24491,1095,701,107,251,22635,1881,,1367,15331,4055,666,121,48,118,112
340000,安徽省,2016,24385,1039,678,99,236,22271,1908,,1371,15276,3715,983,121,47,120,112
340000,安徽省,2015,24853,1018,670,97,230,22030,1930,1,1382,15295,3422,1721,121,47,121,113
340000,安徽省,2014,24824,968,640,96,215,22014,1941,1,1398,15288,3386,1755,121,48,121,113
340000,安徽省,2013,24645,938,633,92,197,21872,1942,1,1387,15310,3232,1748,120,50,121,113
340000,安徽省,2012,23275,930,641,91,183,21812,1948,1,1384,15306,3173,446,121,52,118,116
340000,安徽省,2011,22884,916,644,88,168,21434,1924,2,1395,15321,2792,443,124,52,119,111
340000,安徽省,2010,22997,728,501,85,132,21751,1711,9,1437,15636,2958,440,124,50,119,110
340000,安徽省,2009,24799,710,489,86,125,,986,14,1700,17788,3096,,124,47,118,103
340000,安徽省,2008,7837,720,495,87,128,,917,20,1825,,3854,,127,44,119,
340000,安徽省,2007,8502,,,,,,,,,,4649,,129,,118,
340000,安徽省,2006,9288,,,,,,,,,,5313,,130,,116,
340000,安徽省,2005,9197,,,,,,,,,,5415,,132,,117,
340000,安徽省,2004,8973,,,,,,,,,21855,5369,,132,,116,
340000,安徽省,2003,15688,,,,,,,,,18207,11872,,133,,117,
340000,安徽省,2002,8827,,,,,,,,,,5143,,137,,119,
340000,安徽省,2001,7038,,,,,,,,,29849,3346,,127,,110,
340000,安徽省,2000,6705,,,,,,,,,,3012,,128,,110,
350000,福建省,2019,27788,677,376,82,199,26596,663,,882,17596,7455,421,96,25,91,87
350000,福建省,2018,27590,641,369,80,174,26423,691,,881,18283,6568,450,97,25,90,86
350000,福建省,2017,27217,606,360,80,153,26078,676,,881,18608,5913,470,96,26,88,85
350000,福建省,2016,27656,587,356,79,139,26190,555,,880,18945,5810,809,96,24,87,85
350000,福建省,2015,27921,570,348,78,133,25876,528,,880,19008,5460,1401,96,23,87,85
350000,福建省,2014,28030,557,345,78,123,25994,531,,879,19242,5342,1404,96,24,87,85
350000,福建省,2013,28175,541,339,77,116,26151,533,,880,19408,5330,1406,96,25,88,86
350000,福建省,2012,27276,519,328,75,106,26374,532,,880,19691,5271,307,96,25,87,82
350000,福建省,2011,27147,482,307,71,93,26287,511,,873,19862,5041,304,96,25,87,77
350000,福建省,2010,27017,455,292,71,81,26193,486,,869,20032,4806,297,94,25,87,73
350000,福建省,2009,26613,411,263,70,69,,429,,874,19632,4900,,93,27,86,71
350000,福建省,2008,4478,332,215,64,46,,251,11,860,,2705,,87,27,85,
350000,福建省,2007,4556,,,,,,,,,,2839,,81,,85,
350000,福建省,2006,9652,,,,,,,,,,7695,,93,,88,
350000,福建省,2005,7934,,,,,,,,,,5876,,93,,89,
350000,福建省,2004,8672,,,,,,,,,15740,6618,,95,,91,
350000,福建省,2003,8525,,,,,,,,,15004,6492,,94,,91,
350000,福建省,2002,16941,,,,,,,,,,14471,,96,,93,
350000,福建省,2001,9765,,,,,,,,,17358,7921,,96,,72,
350000,福建省,2000,9807,,,,,,,,,,7982,,95,,73,
360000,江西省,2019,37029,807,506,110,176,35398,585,,1590,28088,5129,742,136,112,112,111
360000,江西省,2018,36545,716,450,106,147,35020,556,,1588,28309,4561,739,147,108,112,111
360000,江西省,2017,37791,669,427,104,125,36311,573,,1582,29734,4414,744,149,108,112,111
360000,江西省,2016,38272,592,382,101,100,36784,591,,1585,30394,4208,794,147,109,112,110
360000,江西省,2015,38557,568,364,101,95,37066,610,6,1585,30697,4168,812,148,111,112,110
360000,江西省,2014,38873,565,371,100,86,37372,610,6,1593,31017,4146,827,148,110,112,110
360000,江西省,2013,38902,548,359,98,84,37425,607,5,1591,31337,3885,823,147,111,112,109
360000,江西省,2012,39509,548,360,98,83,38369,611,5,1582,32369,3802,512,147,112,113,110
360000,江西省,2011,39154,542,356,97,81,38063,617,9,1582,32040,3815,474,115,110,110,109
360000,江西省,2010,34068,504,329,96,72,33019,700,10,1570,26904,3835,471,113,109,111,109
360000,江西省,2009,34005,502,332,97,66,,620,20,1553,26937,3831,,120,109,111,109
360000,江西省,2008,8229,491,331,98,55,,628,16,1529,,5023,,137,112,111,
360000,江西省,2007,9456,,,,,,,,,,6406,,127,,113,
360000,江西省,2006,10210,,,,,,,,,,7240,,124,,112,
360000,江西省,2005,10669,,,,,,,,,,7914,,115,,112,
360000,江西省,2004,12080,,,,,,,,,17603,9438,,117,,112,
360000,江西省,2003,3348,,,,,,,,,15854,763,,112,,110,
360000,江西省,2002,11286,,,,,,,,,,8578,,114,,120,
360000,江西省,2001,7581,,,,,,,,,22839,4642,,116,,117,
360000,江西省,2000,8048,,,,,,,,,,5083,,117,,119,
370000,山东省,2019,83616,2615,1507,320,679,79825,2421,,1539,53663,22153,973,199,127,161,105
370000,山东省,2018,81470,2580,1550,290,646,77614,2443,,1592,53246,20285,1081,175,132,162,106
370000,山东省,2017,79050,2451,1502,263,611,75106,2372,,1612,53024,18052,1302,172,133,161,104
370000,山东省,2016,76997,2018,1250,196,532,72904,2310,,1621,53226,15743,1891,184,125,156,106
370000,山东省,2015,77259,1927,1217,189,494,73041,2310,,1630,53780,15321,2086,182,128,158,104
370000,山东省,2014,77012,1854,1195,179,454,72834,2308,,1637,53870,15019,2108,181,131,161,105
370000,山东省,2013,75426,1783,1158,169,436,72108,2308,,1643,53773,14384,1338,182,133,160,103
370000,山东省,2012,68840,1549,1016,158,360,66462,2251,,1639,51055,11517,677,182,134,158,155
370000,山东省,2011,68275,1490,974,157,347,65954,2281,,1645,51277,10751,681,184,132,158,162
370000,山东省,2010,66967,1377,917,149,302,64797,2248,76,1646,50471,10356,676,204,121,148,165
370000,山东省,2009,63885,1319,892,148,271,,1361,144,1561,48791,10002,,173,124,149,81
370000,山东省,2008,14973,1253,855,147,245,,959,119,1636,,10314,,177,126,149,
370000,山东省,2007,15270,,,,,,,,,,10725,,171,,149,
370000,山东省,2006,17016,,,,,,,,,,11254,,178,,150,
370000,山东省,2005,16323,,,,,,,,,,11138,,176,,150,
370000,山东省,2004,16526,,,,,,,,,50699,11555,,176,,148,
370000,山东省,2003,4855,,,,,,,,,41195,1116,,175,,149,
370000,山东省,2002,16571,,,,,,,,,,11740,,176,,146,
370000,山东省,2001,17348,,,,,,,,,62944,13440,,152,,111,
370000,山东省,2000,17118,,,,,,,,,,13061,,166,,127,
410000,河南省,2019,70734,1974,1209,317,388,67561,1523,,2041,56079,7910,1013,180,22,163,178
410000,河南省,2018,71351,1825,1118,287,371,67730,1498,,2042,56173,8011,1589,180,21,163,178
410000,河南省,2017,71089,1632,1003,257,331,67307,1391,,2055,56462,7392,1897,179,22,161,178
410000,河南省,2016,71271,1596,985,258,322,67174,1329,,2059,56774,7006,2223,180,21,164,177
410000,河南省,2015,71394,1521,951,238,310,67092,1316,7,2057,56918,6794,2471,179,22,164,176
410000,河南省,2014,71154,1412,877,233,285,66952,1312,3,2055,56721,6861,2478,180,22,164,177
410000,河南省,2013,71464,1402,879,220,287,67281,1281,1,2068,56955,6976,2472,180,22,165,176
410000,河南省,2012,69258,1285,832,201,243,67252,1135,,2072,57112,6933,581,180,20,165,168
410000,河南省,2011,76128,1220,797,197,217,74208,1017,,2068,64074,7049,560,180,20,166,158
410000,河南省,2010,75741,1198,794,186,207,73865,861,5,2079,64140,6780,547,180,20,167,146
410000,河南省,2009,75722,1193,801,186,196,,724,5,2084,63565,7492,,180,21,167,133
410000,河南省,2008,11683,1174,798,184,182,,533,4,2085,,7239,,181,21,167,
410000,河南省,2007,11888,,,,,,,,,,7481,,185,,165,
410000,河南省,2006,14629,,,,,,,,,,9915,,182,,166,
410000,河南省,2005,14554,,,,,,,,,,10021,,183,,167,
410000,河南省,2004,13821,,,,,,,,,48727,9482,,184,,165,
410000,河南省,2003,13621,,,,,,,,,44330,9308,,180,,165,
410000,河南省,2002,13291,,,,,,,,,,9347,,182,,162,
410000,河南省,2001,10719,,,,,,,,,62961,6852,,179,,136,
410000,河南省,2000,10764,,,,,,,,,,6856,,179,,136,
420000,湖北省,2019,35515,1035,562,126,310,33919,1148,,1129,23242,8376,491,112,75,101,106
420000,湖北省,2018,36486,995,561,123,279,34912,1161,,1139,24411,8180,504,116,74,103,106
420000,湖北省,2017,36357,979,569,118,261,34756,1182,,1137,24636,7776,534,115,73,102,107
420000,湖北省,2016,36354,927,551,115,237,34703,1231,,1139,24792,7510,557,115,74,105,105
