年份,固定资产投资(不含农户)设备工器具购置,农、林、牧、渔业固定资产投资(不含农户)设备工器具购置,农业固定资产投资(不含农户)设备工器具购置,林业固定资产投资(不含农户)设备工器具购置,畜牧业固定资产投资(不含农户)设备工器具购置,渔业固定资产投资(不含农户)设备工器具购置,农、林、牧、渔服务业固定资产投资(不含农户)设备工器具购置,采矿业固定资产投资(不含农户)设备工器具购置,煤炭开采和洗选业固定资产投资(不含农户)设备工器具购置,石油和天然气开采业固定资产投资(不含农户)设备工器具购置,黑色金属矿采选业固定资产投资(不含农户)设备工器具购置,有色金属矿采选业固定资产投资(不含农户)设备工器具购置,非金属矿采选业固定资产投资(不含农户)设备工器具购置,其他采矿业固定资产投资(不含农户)设备工器具购置,制造业固定资产投资(不含农户)设备工器具购置,农副食品加工业固定资产投资(不含农户)设备工器具购置,食品制造业固定资产投资(不含农户)设备工器具购置,饮料制造业固定资产投资(不含农户)设备工器具购置,烟草制品业固定资产投资(不含农户)设备工器具购置,纺织业固定资产投资(不含农户)设备工器具购置,纺织服装、鞋、帽制造业固定资产投资(不含农户)设备工器具购置,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)设备工器具购置,木材加工及木竹藤棕草制品业固定资产投资(不含农户)设备工器具购置,家具制造业固定资产投资(不含农户)设备工器具购置,造纸及纸制品业固定资产投资(不含农户)设备工器具购置,印刷业和记录媒介的复制固定资产投资(不含农户)设备工器具购置,文教体育用品制造业固定资产投资(不含农户)设备工器具购置,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)设备工器具购置,化学原料及化学制品制造业固定资产投资(不含农户)设备工器具购置,医药制造业固定资产投资(不含农户)设备工器具购置,化学纤维制造业固定资产投资(不含农户)设备工器具购置,橡胶制品业固定资产投资(不含农户)设备工器具购置,塑料制品业固定资产投资(不含农户)设备工器具购置,非金属矿物制品业固定资产投资(不含农户)设备工器具购置,黑色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,有色金属冶炼及压延加工业固定资产投资(不含农户)设备工器具购置,金属制品业固定资产投资(不含农户)设备工器具购置,通用设备制造业固定资产投资(不含农户)设备工器具购置,专用设备制造业固定资产投资(不含农户)设备工器具购置,交通运输设备制造业固定资产投资(不含农户)设备工器具购置,电气机械及器材制造业固定资产投资(不含农户)设备工器具购置,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)设备工器具购置,仪器仪表文化办公用机械制造业固定资产投资(不含农户)设备工器具购置,工艺品及其他制造业固定资产投资(不含农户)设备工器具购置,废弃资源和废旧材料回收加工业固定资产投资(不含农户)设备工器具购置,电力燃气水的生产供应业固定资产投资(不含农户)设备工器具购置,电力、热力的生产和供应业固定资产投资(不含农户)设备工器具购置,燃气生产和供应业固定资产投资(不含农户)设备工器具购置,水的生产和供应业固定资产投资(不含农户)设备工器具购置,建筑业固定资产投资(不含农户)设备工器具购置,房屋和土木工程建筑业固定资产投资(不含农户)设备工器具购置,建筑安装业固定资产投资(不含农户)设备工器具购置,建筑装饰业固定资产投资(不含农户)设备工器具购置,其他建筑业固定资产投资(不含农户)设备工器具购置,交通运输、仓储和邮政业固定资产投资(不含农户)设备工器具购置,铁路运输业固定资产投资(不含农户)设备工器具购置,道路运输业固定资产投资(不含农户)设备工器具购置,城市公共交通业固定资产投资(不含农户)设备工器具购置,水上运输业固定资产投资(不含农户)设备工器具购置,航空运输业固定资产投资(不含农户)设备工器具购置,管道运输业固定资产投资(不含农户)设备工器具购置,装卸搬运和其他运输服务业固定资产投资(不含农户)设备工器具购置,仓储业固定资产投资(不含农户)设备工器具购置,邮政业固定资产投资(不含农户)设备工器具购置,信息传输、计算机服务和软件业固定资产投资(不含农户)设备工器具购置,电信和其他信息传输服务业固定资产投资(不含农户)设备工器具购置,计算机服务业固定资产投资(不含农户)设备工器具购置,软件业固定资产投资(不含农户)设备工器具购置,批发和零售业固定资产投资(不含农户)设备工器具购置,批发业固定资产投资(不含农户)设备工器具购置,零售业固定资产投资(不含农户)设备工器具购置,住宿和餐饮业固定资产投资(不含农户)设备工器具购置,住宿业固定资产投资(不含农户)设备工器具购置,餐饮业固定资产投资(不含农户)设备工器具购置,金融业固定资产投资(不含农户)设备工器具购置,银行业固定资产投资(不含农户)设备工器具购置,证券业固定资产投资(不含农户)设备工器具购置,保险业固定资产投资(不含农户)设备工器具购置,其他金融活动固定资产投资(不含农户)设备工器具购置,房地产业固定资产投资(不含农户)设备工器具购置,租赁和商务服务业固定资产投资(不含农户)设备工器具购置,租赁业固定资产投资(不含农户)设备工器具购置,商务服务业固定资产投资(不含农户)设备工器具购置,科学研究、技术服务和地质勘查业固定资产投资(不含农户)设备工器具购置,研究与试验发展固定资产投资(不含农户)设备工器具购置,专业技术服务业固定资产投资(不含农户)设备工器具购置,科技交流和推广服务业固定资产投资(不含农户)设备工器具购置,地质勘查业固定资产投资(不含农户)设备工器具购置,水利、环境和公共设施管理业固定资产投资(不含农户)设备工器具购置,水利管理业固定资产投资(不含农户)设备工器具购置,环境管理业固定资产投资(不含农户)设备工器具购置,公共设施管理业固定资产投资(不含农户)设备工器具购置,居民服务和其他服务业固定资产投资(不含农户)设备工器具购置,居民服务业固定资产投资(不含农户)设备工器具购置,其他服务业固定资产投资(不含农户)设备工器具购置,教育固定资产投资(不含农户)设备工器具购置,卫生、社会保障和社会福利业固定资产投资(不含农户)设备工器具购置,卫生固定资产投资(不含农户)设备工器具购置,社会保障业固定资产投资(不含农户)设备工器具购置,社会福利业固定资产投资(不含农户)设备工器具购置,文化、体育和娱乐业固定资产投资(不含农户)设备工器具购置,新闻出版业固定资产投资(不含农户)设备工器具购置,广播、电视、电影和音像业固定资产投资(不含农户)设备工器具购置,文化艺术业固定资产投资(不含农户)设备工器具购置,体育固定资产投资(不含农户)设备工器具购置,娱乐业固定资产投资(不含农户)设备工器具购置,公共管理和社会组织固定资产投资(不含农户)设备工器具购置,中国共产党机关固定资产投资(不含农户)设备工器具购置,国家机构固定资产投资(不含农户)设备工器具购置,人民政协和民主党派固定资产投资(不含农户)设备工器具购置,群众团体、社会团体和宗教组织固定资产投资(不含农户)设备工器具购置,基层群众自治组织固定资产投资(不含农户)设备工器具购置,国际组织固定资产投资(不含农户)设备工器具购置
2009,42333.8463,446.2944,72.8966,23.6928,179.9062,31.8867,137.9121,2426.9285,1056.5636,551.6413,304.7932,245.689,259.3174,8.924,25797.4359,1089.7995,607.0331,447.2785,99.991,875.7582,411.6998,164.1729,426.4435,226.4358,581.9984,253.5673,82.871,839.195,2778.9798,564.9975,143.1372,317.0306,613.15,2525.6278,1711.0663,926.5866,1206.7334,1992.6119,1229.4353,2274.3962,1485.6652,1392.4134,232.3007,202.8552,94.2048,4980.5893,4492.5647,181.2704,306.7542,310.952,231.9899,25.7948,18.0294,35.1379,2771.8787,1020.4719,323.9573,367.9086,548.7006,235.4644,22.3563,48.1542,195.4878,9.3776,1278.6875,1223.2437,20.4611,34.9827,767.457,431.1655,336.2915,331.8169,171.3805,160.4364,113.9941,95.3577,6.484,4.9021,7.2503,610.4113,239.6996,89.2885,150.4111,248.4998,89.2961,68.7637,45.2013,45.2387,621.55,92.9627,138.0721,390.5152,101.8055,54.1291,47.6764,276.6913,311.1746,292.9887,8.6893,9.4966,242.4627,10.0713,44.5542,49.44,20.6865,117.7107,455.5172,2.2372,405.8697,2.0623,12.5343,32.8137,
2008,33572.2879,318.448,45.4106,14.2288,108.4867,28.3523,121.9696,1888.5548,849.0977,444.2211,227.6074,196.5526,167.3741,3.7019,20622.4295,819.9493,452.0636,390.2809,64.5727,747.3091,339.6823,132.9152,337.9972,176.4943,509.2241,204.6282,68.6042,817.2043,2324.9617,420.5589,171.1481,266.1951,476.9752,1765.3329,1639.1821,806.7639,954.1994,1389.1577,888.0138,1672.458,1032.7305,1348.2988,202.715,151.5782,51.2348,3843.349,3550.3807,101.6988,191.2695,257.4357,190.625,25.6509,13.93,27.2298,2302.5295,746.8635,389.3262,300.4757,345.497,321.3369,26.9002,31.4595,135.1337,5.5368,1105.3053,1057.3467,19.23,28.7286,488.3286,264.046,224.2826,233.0887,131.4446,101.6441,100.7296,85.2889,4.9374,6.4952,4.0081,546.1523,137.6949,28.7055,108.9894,167.029,76.4458,49.7483,15.935,24.8999,408.0108,52.1533,86.0447,269.8128,66.0642,30.9258,35.1384,230.515,238.905,233.2464,0.7853,4.8733,163.2605,17.398,40.7034,28.4945,14.9099,61.7547,454.4575,1.9207,417.647,1.6752,7.4779,25.7367,
2007,25694.8395,199.6974,31.9223,10.758,55.347,21.5423,80.1278,1292.5869,626.5958,258.609,147.1311,137.3403,120.2865,2.6242,15540.7851,637.2276,396.1394,317.0749,53.1934,756.8111,261.8131,115.8114,266.7108,118.5602,416.0384,166.3073,57.4648,616.1844,1644.8093,334.3367,164.6804,230.2371,358.8482,1209.3778,1278.1668,555.8121,650.2554,995.4224,656.6425,1200.3601,655.7606,1152.0748,113.0074,132.6141,29.0426,3223.9236,2994.2462,73.6035,156.0739,182.009,136.7677,19.6816,9.5016,16.0581,1950.8146,673.1436,324.0558,246.841,304.3468,260.9991,17.473,41.9861,76.2344,5.7348,1004.2274,974.099,12.3249,17.8035,310.2492,161.8078,148.4414,158.3659,91.2111,67.1548,60.433,51.7863,2.8562,4.4337,1.3568,405.7555,80.9916,17.5121,63.4795,121.7274,60.0223,27.6337,6.7802,27.2912,277.4129,39.6077,71.5872,166.218,40.7413,20.459,20.2823,182.4985,183.2157,178.6742,0.8818,3.6597,119.2419,4.8358,33.1469,24.1193,15.0574,42.0825,360.1626,2.0981,340.2347,1.6871,4.644,11.4987,
2006,20397.569,141.6714,25.0197,9.2166,39.7814,12.3385,55.3152,1025.2218,476.9491,250.836,122.9205,90.0946,82.6222,1.7994,11946.5769,485.3158,326.8431,248.2611,56.5708,616.4642,197.7843,96.6645,174.2784,87.243,351.4393,143.6133,40.6449,342.0876,1195.7662,316.8587,113.8658,200.659,308.7995,822.4296,1171.8864,440.4753,451.723,675.3896,432.5777,969.9919,456.8347,999.0547,106.6326,101.5918,14.8301,2940.9956,2755.1684,78.6832,107.144,149.2594,119.4752,10.9298,4.6502,14.2042,1301.3566,419.4531,125.509,226.483,253.411,195.1117,20.6787,9.2917,46.074,5.3444,976.1937,948.34,13.2763,14.5774,234.9453,114.9813,119.964,116.2814,67.4482,48.8332,44.197,38.8679,1.0583,3.5691,0.7017,316.1845,54.3331,11.5863,42.7468,105.4095,52.5296,25.7461,8.4266,18.7072,230.7997,29.1328,59.5715,142.0954,34.1339,16.5554,17.5785,165.6617,147.831,145.3081,1.3478,1.1751,102.9306,5.2179,28.5921,14.0597,15.9601,39.1008,363.5859,1.6854,350.2087,0.4126,2.0949,9.1843,
2005,16439.2257,97.34,23.46,5.31,28.25,9.54,30.78,852.2,434.66,198.39,105.6,54.28,57.99,1.28,9322.84,367.32,228.59,161.33,45.83,529.61,121.43,69.65,124.32,58.73,286.94,106.57,26.54,365.91,952.99,257.73,97.91,104.24,216.19,640.12,1225.1,338.92,315.43,429.43,314.29,754.4,337.04,703.06,77.53,59.36,6.36,2561.99,2429.35,54.34,78.3,96.71,74.39,9.81,3.63,8.88,1163.67,359.25,244.27,173.75,199.83,131.92,9.66,8.35,31.73,4.9,838.97,823.89,4.58,10.5,187.16,93.99,93.17,77.14,39.95,37.2,30.09,26.39,0.6,2.41,0.69,258.51,45.17,11.18,33.99,75.68,33.77,17.56,5.09,19.27,155.13,31.42,39.89,83.82,20.3,9.78,10.51,138.69,135.04,131.79,1.82,1.43,79.16,1.4,21.79,16.26,11.47,28.24,303.44,2.07,282.0,0.16,4.67,14.55,
2004,12455.57,86.05,27.24,12.63,15.88,7.54,22.76,519.97,257.69,136.3,53.2,40.7,31.38,0.7,6898.17,225.35,158.64,113.29,52.71,407.29,85.11,36.99,82.47,30.47,222.71,88.05,16.64,265.14,678.19,215.89,102.34,103.5,165.99,520.08,928.98,278.27,177.04,250.02,181.64,534.9,231.34,635.12,61.86,44.43,3.73,1907.81,1793.41,42.08,72.32,65.89,47.76,6.9,2.82,8.41,877.6477,240.9105,190.7474,144.4433,110.5569,116.1118,40.7211,5.5905,22.2969,6.2693,930.313,918.5437,4.6596,7.1097,125.2438,47.5331,77.7107,54.2017,27.9933,26.2084,33.0375,29.433,0.515,2.2203,0.8692,208.9,36.0737,4.5936,31.4801,63.1649,33.966,12.9605,4.4442,11.7942,123.5324,27.4867,35.7486,60.2971,28.645,6.9928,21.6522,104.529,97.1987,95.6916,0.8901,0.617,58.2875,3.0142,18.2427,11.1335,6.0189,19.8782,236.8361,2.065,224.9347,0.2392,1.504,8.0932,
2003,9300.67,54.3371,14.6281,5.709,12.1165,4.2329,17.6506,333.7172,156.1003,116.0142,19.5663,22.4435,19.1548,0.4381,5126.9482,165.5904,140.2295,103.3082,50.0533,345.8368,73.3133,35.2587,58.1191,19.4514,184.8478,68.7311,14.4246,134.5879,489.1048,177.7212,80.1747,89.5901,130.8701,367.5724,707.1093,202.3195,121.0981,171.9003,146.6389,378.6685,147.7927,438.071,51.8585,30.8536,1.8524,1222.9815,1141.6764,28.3046,53.0005,52.3709,41.6514,5.1018,2.3449,3.2728,726.8835,229.7763,107.7762,126.5443,70.4928,96.2936,72.2062,1.7286,16.4856,5.5799,956.4884,948.6754,3.2187,4.5943,74.5238,28.424,46.0998,35.276,19.7152,15.5608,26.8528,23.7627,1.0732,1.6141,0.4028,154.5485,22.1009,1.7191,20.3818,44.0998,22.5243,7.9944,2.0059,11.5752,105.7828,22.8212,30.9008,52.0608,5.6269,3.7713,1.8556,79.8252,87.9923,85.4109,1.4524,1.129,54.5509,3.4227,19.1867,10.2931,8.2922,13.3562,135.7655,2.9353,125.5326,0.8006,1.5553,4.9417,0.0016
2002,7268.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6509.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5846.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
